"emperor","born - died","reign as emperor","succession","cause of death"
"pertinax","126 ad - 193 ad","193 ad -  193 ad","proclaimed emperor by praetorian guard","murdered by praetorian guard"
"didius julianus","133 or 137 ad - 193 ad","193 ad - 193 ad","won auction held by the praetorian guard for the position of emperor","executed on orders of the senate"
"septimius severus","145 ad - 211 ad","193 ad -  211 ad","seized power with support of pannonian legionsa","natural causes"
"caracalla","{188 ad -|217 ad}","198 ad -  217 ad","son of septimius severus; co-emperor with severus from 198 ad; with severus and geta from 209 ad until february 211 ad; co-emperor with geta until december 211 ad","murdered by a soldier; probably as part of a conspiracy involving macrinus"
"geta","189 ad - 211 ad","209 ad -  211 ad","son of septimius severus; co-emperor with severus and caracalla from 209 ad until february 211 ad; co-emperor with caracalla until december 211 ad","murdered on the orders of caracalla"
"macrinus                                          with              diadumenian","c. 165 ad - 218 ad","217 ad -  218 ad","praetorian prefect to caracalla probably conspired to have caracalla murdered and proclaimed himself emperor after caracalla's death; appointed his son diadumenian junior emperor in may 217","both executed in favour of elagabalus"
"elagabalus","c. 203 ad -  222 ad","218 ad -  222 ad","grandson of septimius severus's sister-in-law alleged illegitimate son of caracalla; proclaimed emperor by syrian legions","murdered by praetorian guard"
"alexander severus","08 ad - 235 ad","222 ad - 235 ad","grandson of septimius severus's sister-in-law cousin and adoptive heir of elagabalus","murdered by the army"
"maximinus thrax","{c.173 ad -|238 ad}","235 ad - 238 ad","proclaimed emperor by german legions after the murder of alexander severus","assassinated by praetorian guard"
"gordian i","c.159 ad - 238 ad","238 ad -  238 ad","proclaimed emperor whilst pro-consul in africa during a revolt against maximinus. ruled jointly with his son gordian ii and in opposition to maximinus. technically a usurper but retrospectively legitimised by the accession of gordian iii","committed suicide upon hearing of the death of gordian ii."
"gordian ii","c.192 ad&#160;? - 238 ad","238 ad -  238 ad","proclaimed emperor alongside father gordian i in opposition to maximinus. technically a usurper but retrospectively legitimised by the accession of gordian iii","killed during the battle of carthage fighting a pro-maximinus army"
"pupienus maximus","c. 178 ad&#160;?","238 ad - 238 ad","proclaimed joint emperor with balbinus by the senate in opposition to maximinus; later co-emperor with balbinus and gordian iii","assassinated by the praetorian guard"
"balbinus","&#160;? - 238 ad","238 ad - 238 ad","proclaimed joint emperor with pupienus by the senate after death of gordian i &amp; ii in opposition to maximinus; later co-emperor with pupienus and gordian iii","assassinated by praetorian guard"
"gordian iii","225 ad - 244 ad","238 ad -  244 ad","proclaimed emperor by supporters of gordian i &amp; ii then by the senate; joint-emperor with pupienus and balbinus until july 238 ad.","unknown; possibly murdered on orders of philip the arab"
"philip the arab","c. 204 ad - 249 ad","244 ad -  249 ad","praetorian prefect to gordian iii took power after his death","killed in battle against decius near verona"
"decius                                          with herennius etruscus","{c. 201 ad|251 ad}","249 ad -  251 ad","governor under philip the arab; proclaimed emperor by danubian legions and defeated philip in battle; made his son herennius etruscus co-emperor in early 251 ad","both killed in the battle of abrittus fighting against the goths"
"hostilian","unknown - 251 ad","251 ad - late 251 ad","son of decius accepted as heir by the senate","natural causes (plague)"
"trebonianus gallus                                          with              volusianus","{206 ad -|253 ad}","251 ad - 253 ad","governor of moesia superior proclaimed emperor by danubian legions after decius's death (and in opposition to hostilian); made his son volusianus co-emperor in late 251 ad.","assassinated by their own troops in favour of aemilianus"
"aemilianus","c. 207 ad - 253 ad","253 ad - 253 ad","governor of moesia superior proclaimed emperor by danubian legions after defeating the goths; accepted as emperor after death of gallus","assassinated by his own troops in favour of valerian"
"valerian","c. 200 ad - 260 ad","253 ad - 260 ad","governor of noricum and raetia proclaimed emperor by rhine legions after death of gallus; accepted as emperor after death of aemilianus","captured in battle of edessa against persians died in captivity"
"gallienus","&#160;? - 268 ad","253 ad - 268 ad","son of valerian made co-emperor in 253 ad","murdered in unclear circumstances"
"claudius gothicus","213 ad/214 ad - 270 ad","268 ad -  270 ad","victorious general at battle of naissus seized power after gallienus's death","natural causes (plague)"
"quintilus","&#160;? - 270 ad","270 ad - 270 ad","brother of claudius gothicus seized power after his death","unclear; possibly suicide or murder"
"aurelian","214 ad/215 ad - 275 ad","(?) 270 ad -  275 ad","proclaimed emperor by danubian legions after claudius gothicus's death in opposition to quintillus","assassinated by praetorian guard"
"tacitus","&#160;? - 276 ad","275 ad - 276 ad","elected by the senate to replace aurelian after a short interregnum","natural causes (possibly assassinated)"
"florianus","&#160;? - 276 ad","ad -  276 ad","possibly half-brother of tacitus elected by the army in the west to replace him","assassinated by his own troops in favour of probus"
"probus","232 ad - 282 ad","276 ad - r 282 ad","governor of the eastern provinces proclaimed emperor by danubian legions in opposition to florianus","assassinated by his own troops in favour of carus"
"carus","c. 230 ad - 283 ad","282 ad -   283 ad","praetorian prefect to probus; seized power either before or after probus was murdered","natural causes? (possibly killed by lightning)"
"numerian","&#160;? - 284 ad","283 ad - 284 ad?","son of carus succeeded him jointly with his brother carinus","unclear; possibly assassinated"
"carinus","{&#160;?|285 ad}","283 ad - 285 ad","son of carus succeeded him jointly with his brother numerian","died in battle against diocletian?"
"diocletian","244 ad - 311 ad","284 ad - 305 ad","proclaimed emperor by army after death of numerian and in opposition to carinus; adopted maximian as senior co-emperor in 286 ad","abdicated; died of natural causes"
"maximian","c. 250 ad - 310 ad","286 ad - 305 ad","adopted as senior co-emperor ('augustus') in the west by diocletian in 286 ad","abdicated with diocletian; twice tried to regain throne with and then from maxentius; captured by constantine i and committed suicide at his behest"
"constantius i chlorus","c. 250 ad - 306 ad","305 ad - 306 ad","adopted as junior co-emperor ('caesar') and heir by maximian in 293 ad","natural causes"
"galerius","{c. 260 ad|311 ad}","305 ad -  311 ad","adopted as junior co-emperor ('caesar') and heir by diocletian in 293 ad","natural causes"
"severus              s","{&#160;?|307 ad}","306 ad - 307 ad","adopted as junior co-emperor ('caesar') and heir by constantius chlorus in 305 ad; succeeded as augustus in 306; opposed by maxentius and constantine i","captured by maxentius and forced to commit suicide (or murdered)"
"constantine i","{c. 272 ad|337 ad}","306 ad - 337 ad","son of constantius chlorus proclaimed emperor by his father's troops; accepted as caesar (west) by galerius in 306 ad; promoted to augustus (west) in 307 ad by maximian after death of severus; refused relegation to caesar in 309 ad","natural causes"
"maxentius","c. 278 ad","306 ad -  312 ad","son of maximian seized power in 306 after death of constantius chlorus in opposition to severus and constantine i; made caesar (west) by maximian in 307 ad after the death of severus","312 ad              died at the battle of the milvian bridge against constantine i"
"maximinus daia",". 270 ad","311 ad - 313 ad","nephew of galerius adopted as caesar and his heir in 305 ad; succeeded as augustus (shared with licinius) in 311 ad","313 ad                            defeated in civil war against licinius; probably committed suicide thereafter"
"licinius                                          with              valerius valens              martinianus","c. 250 ad - 325 ad","308 ad - 324 ad","appointed augustus in the west by galerius in 308 bc in opposition to maxentius; became augustus in the east in 311 ad after the death of galerius (shared with maximinus); defeated maximinus in civil war to become sole eastern augustus in 313 bc; appointed valerius valens in 317 ad and martinianus in 324 ad as western augustus in opposition to constantine both nominally ruled for a few months before being executed","defeated in civil war against constantine i in 324 ad and captured; executed on the orders of constantine the next year"
"constantine ii","316 ad","337 ad - 340 ad","son of constantine i; appointed caesar in 317 ad succeeded as joint augustus with his brothers constantius ii and constans","340 ad                            died in battle against constans"
"constantius ii","317 ad","337 ad -  361 ad","son of constantine i; succeeded as joint augustus with his brothers constantine ii and constans; sole emperor from 350 ad","361 ad                            natural causes"
"constans","320 ad - 350 ad","337 ad - 350 ad","son of constantine i; succeeded as joint augustus with his brothers constantine ii and constantius ii","assassinated on the orders of the usurper magnentius"
"julian","331 ad/332 ad","360 ad - 363 ad","cousin of constantius ii; made caesar of the west in 355 ad; proclaimed augustus by his troops in 360; sole emperor after the death of constantius","june 26 363 ad                            mortally wounded in battle"
"jovian","331 ad","363 ad -  364 ad","general of julian's army; proclaimed emperor by the troops on julian's death","february 17 364 ad                            natural causes (suffocated on fumes)"
"valentinian i","321 ad","364 ad - 375 ad","elected to replace jovian by the army","november 17 375 ad                            natural causes"
"valens","328 ad","364 ad - 378 ad","brother of valentinian i appointed co-augustus (for the east) by him","august 9 378 ad                            killed in battle of adrianople against the goths"
"gratian","359 ad","367 ad -  383 ad","son of valentinian i appointed 'junior' augustus by him in 367 became 'senior' augustus (for the west) after valentinian's death.","august 25 383 ad                            murdered by rebellious army faction"
"valentinian ii","371 ad","375 ad - 392 ad","son of valentinian i proclaimed emperor by pannonian army after valentinian's death; accepted as co-augustus for the west by gratian","may 15 392 ad                            unclear; possibly murdered or committed suicide"
"theodosius i","347 ad","379 ad -  395 ad","appointed as augustus for the east by gratian after the death of valens; became sole 'senior' augustus after death of valentinian ii","january 17 395 ad                            natural causes"
"arcadius","c. 377 ad - 408 ad","383 ad - 408 ad","son of theodosius i; appointed as 'junior' augustus for the east by theodosius in 383 (after the death of gratian); became 'senior' augustus for the east after his father's death","natural causes"
"honorius","384 ad - 423 ad","393 ad - 423 ad","son of theodosius i; appointed as 'junior' augustus for the west by theodosius in 393 (after the death of valentinian ii); became 'senior' augustus for the west after his father's death","natural causes"
"theodosius ii","401 ad - 450 ad","408 ad -  450 ad","son of arcadius succeeded to the throne after his father's death","natural causes"
"consantius iii","&#160;? - 421 ad","421 ad -  421 ad","married to theodosius i's daughter galla placidia elevated to co-augustus for the west by honorius","natural causes"
"joannes","&#160;? - 425 ad","423 ad - 425 ad","a senior civil servant under honorius proclaimed emperor by castinus; initially undisputed","deafeated in battle by theodosius ii and valentinian iii captured and executed"
"valentinian iii","419 ad - 455 ad","424 ad -  455 ad","son of constantius iii appointed caesar for the west by theodosius ii after the death of honorius in opposition to the joannes; became augustus for the west after the defeat of joannes","assassinated possibly at the behest of petronius maximus"
"marcian","396 ad - 457 ad","450 ad - 457 ad","nominated as successor (and husband) by pulcheria sister of theodosius ii","natural causes"
"petronius maximus","c. 396 ad - 455 ad","455 ad - 455 ad","proclaimed himself emperor with the support of the army after the death of valentinian iii","murdered probably stoned to death by the roman mob"
"avitus","c. 385 ad - 456 ad","455 ad - 456 ad","magister militum under petronius maximus proclaimed emperor by the visigoth king theoderic ii after petronius's death","deposed by his magister militum ricimer; became bishop of placentia; murdered at some point afterwards"
"majorian","420 ad&#160;?","457 ad - 461 ad","appointed emperor by ricimer","461 ad              deposed by his troops (probably at the behest of ricimer); died shortly afterwards in unclear circumstances"
"libius severus","&#160;? - 465 ad","461 ad - 465 ad","appointed emperor by ricimer","probably assassinated by ricimer"
"anthemius","{c. 420 ad|472 ad}","467 ad -472 ad","appointed emperor by ricimer with the backing of the eastern emperor leo i","executed by ricimer"
"olybrius","c. 420 ad - 472 ad","472 ad -  472 ad","son-in-law of valentinian iii; appointed emperor by ricimer","natural causes"
"glycerius","&#160;? - 480 ad","473 ad - 474 ad","appointed emperor by gundobad (ricimer's successor)","deposed by julius nepos became bishop of salona time and manner of death unknown"
"julius nepos","c. 430 ad - 480 ad","474 ad -  475 ad (in italy); - spring 480 ad (in gaul and dalmatia)","nephew-in-law of the eastern emperor leo i appointed emperor in opposition to glycerius","deposed in italy by flavius orestes ruled in exile until assassination in 480"
"romulus augustus","&#160;? - 480 ad","475 ad - 476 ad","appointed by his father flavius orestes","deposed by odoacer who then ruled in the name of julius nepos until the latter's death which formally ended the western empire; most likely lived out his life on a private villa in obscurity"
"leo i","401 ad - 474 ad","457 ad -  474 ad","proclaimed emperor by the magister militum aspar after marcian's death","natural causes"
"leo ii","467 ad - 474 ad","474 ad -  474 ad","grandson of leo i by his daughter ariadne (empress)","unclear possibly assassinated"
"zeno","425 ad -  491 ad","474 ad -  475 ad &amp;              476 ad - 491 ad","father of leo ii","natural causes"
"basiliscus","{&#160;?|476 ad}","475 ad - 476 ad","brother-in-law of leo i seized power during a plot against zeno by verina (leo i's widow and basiliscus's sister)","defeated captured and executed by zeno"
"anastasius i","c. 430 ad - 518 ad","491 ad -  518 ad","selected by ariadne as successor to zeno (as both emperor and husband)","natural causes"
"justin i","c. 450 ad - 527 ad","518 ad -  527 ad","commander of the palace guard under anastasius i); elected as emperor with support of army","natural causes"
"justinian i","c. 482 ad - 565 ad","527 ad -  565 ad","nephew and nominated heir of justin i","natural causes"
"justin ii","c. 520 ad - 578 ad","565 ad - 578 ad","nephew of justinian i","became insane; tiberius ii constantine ruled as regent from december 574 and became emperor on justin's death in 578"
