"година","добитник[a]","добитник[a]","земја[b]","образложување[c]"
"1954","NULL","линус паулинг","сад","{the nature of the chemical bond|[51]}"
"1955","NULL","винсент ду вигнеод","сад","{first synthesis of a polypeptide hormone|[52]}"
"1956","NULL","кирил нормал хиншелвуд","велика британија","{chemical reactions|[53]}"
"1956","NULL","николај николаевич семенов","ссср","{chemical reactions|[53]}"
"1957","NULL","lord (alexander r.) todd","велика британија","{nucleotides|co-enzymes|[54]}"
"1958","NULL","frederick sanger","велика британија","{the structure of proteins|[55]}"
"1959","NULL","jaroslav heyrovský","чехословачка","{polarographic|[56]}"
"1960","NULL","willard frank libby","сад","{age determination|[57]}"
"1961","NULL","melvin calvin","сад","{carbon dioxide assimilation in plants|[58]}"
"1962","NULL","max ferdinand perutz","велика британија","{globular proteins|[59]}"
"1962","NULL","john cowdery kendrew","велика британија","{globular proteins|[59]}"
"1963","NULL","karl ziegler","германија","{their discoveries|[60]}"
"1963","NULL","giulio natta","италија","{their discoveries|[60]}"
"1964","NULL","dorothy crowfoot hodgkin","велика британија","{determinations by x-ray techniques|[61]}"
"1965","NULL","robert burns woodward","сад","{outstanding achievements|[62]}"
"1966","NULL","robert s. mulliken","сад","{molecular orbital method|[63]}"
"1967","NULL","manfred eigen","германија","{studies of extremely fast chemical reactions|[64]}"
"1967","NULL","ronald george wreyford norrish","велика британија","{studies of extremely fast chemical reactions|[64]}"
"1967","NULL","george porter","велика британија","{studies of extremely fast chemical reactions|[64]}"
"1968","NULL","lars onsager","сад","{reciprocal relations|[65]}"
"1969","NULL","derek h. r. barton","велика британија","{conformation|[66]}"
"1969","NULL","odd hassel","норвешка","{conformation|[66]}"
"1970","NULL","luis f. leloir","аргентина","{biosynthesis of carbohydrates|[67]}"
"1971","NULL","gerhard herzberg","канада","{free radicals|[68]}"
"1972","NULL","christian b. anfinsen","сад","{ribonuclease|[69]}"
"1972","NULL","stanford moore","сад","{ribonuclease|[69]}"
"1972","NULL","william h. stein","{ribonuclease|[69]}","сад"
"1973","NULL","ernst otto fischer","германија","{organometallic|[70]}"
"1973","NULL","geoffrey wilkinson","велика британија","{organometallic|[70]}"
"1974","NULL","paul j. flory","сад","{macromolecules|[71]}"
"1975","NULL","john warcup cornforth","австралијавелика британија","{stereochemistry|[72]}"
"1975","NULL","vladimir prelog","швајцарија","{stereochemistry|[72]}"
"1976","NULL","william n. lipscomb","сад","{boranes|[73]}"
"1977","NULL","ilya prigogine","белгија","{dissipative structures|[74]}"
"1978","NULL","peter d. mitchell","велика британија","{chemiosmotic theory|[75]}"
"1979","NULL","herbert c. brown","сад","{boron- and phosphorus-containing compounds|important reagents in organic synthesis|[76]}"
"1979","NULL","georg wittig","германија","{boron- and phosphorus-containing compounds|important reagents in organic synthesis|[76]}"
"1980","NULL","paul berg","сад","{recombinant-dna|[77]}"
"1980","NULL","walter gilbert","сад","{their contributions|determination of base sequences|[77]}"
"1980","NULL","frederick sanger","{their contributions|determination of base sequences|[77]}","велика британија"
"1981","NULL","kenichi fukui","јапонија","{their theories|[78]}"
"1981","NULL","roald hoffmann","сад","{their theories|[78]}"
"1982","NULL","aaron klug","велика британија","{crystallographic electron microscopy|nucleic acid-protein complexes|[79]}"
"1983","NULL","henry taube","сад","{electron transfer reactions|[80]}"
"1984","75px","robert bruce merrifield","сад","{chemical synthesis on a solid matrix|[81]}"
"1985","NULL","herbert a. hauptman","сад","{direct methods|[82]}"
"1985","NULL","jerome karle","сад","{direct methods|[82]}"
"1986","NULL","dudley r. herschbach","сад","{their contributions|dynamics of chemical elementary processes|[83]}"
"1986","NULL","yuan t. lee","сад","{their contributions|dynamics of chemical elementary processes|[83]}"
"1986","NULL","john c. polanyi","канада","{their contributions|dynamics of chemical elementary processes|[83]}"
"1987","NULL","donald j. cram","сад","{structure-specific interactions|[84]}"
"1987","NULL","jean-marie lehn","франција","{structure-specific interactions|[84]}"
"1987","NULL","charles j. pedersen","сад","{structure-specific interactions|[84]}"
"1988","NULL","johann deisenhofer","германија","{photosynthetic reaction centre|[85]}"
"1988","NULL","robert huber","германија","{photosynthetic reaction centre|[85]}"
"1988","NULL","hartmut michel","германија","{photosynthetic reaction centre|[85]}"
"1989","NULL","sidney altman","канадасад","{catalytic properties of rna|[86]}"
"1989","NULL","thomas r. cech","сад","{catalytic properties of rna|[86]}"
"1990","NULL","elias james corey","сад","{organic synthesis|[87]}"
"1991","NULL","richard r. ernst","швајцарија","{high resolution nuclear magnetic resonance (nmr) spectroscopy|[88]}"
"1992","NULL","rudolph a. marcus","сад","{theory of electron transfer reactions|[89]}"
"1993","NULL","kary b. mullis","сад","{polymerase chain reaction|[90]}"
"1993","NULL","michael smith","канада","{site-directed mutagenesis|[90]}"
"1994","NULL","george a. olah","сад","{carbocation|[91]}"
"1995","NULL","paul j. crutzen","холандија","{decomposition of ozone|[92]}"
"1995","NULL","mario j. molina","сад","{decomposition of ozone|[92]}"
"1995","NULL","f. sherwood rowland","сад","{decomposition of ozone|[92]}"
"1996","NULL","robert f. curl jr.","сад","{fullerenes|[93]}"
"1996","harold kroto","sir harold w. kroto","велика британија","{fullerenes|[93]}"
"1996","NULL","richard e. smalley","сад","{fullerenes|[93]}"
"1997","NULL","paul d. boyer","сад","{enzymatic mechanism|[94]}"
"1997","NULL","john e. walker","велика британија","{enzymatic mechanism|[94]}"
"1997","NULL","jens c. skou","данска","{na+ k+ -atpase|[94]}"
"1998","NULL","walter kohn","сад","{density-functional theory|[95]}"
"1998","NULL","john a. pople","велика британија","{computational methods|[95]}"
"1999","NULL","ahmed h. zewail","египетсад","{femtosecond spectroscopy|[96]}"
"2000","NULL","alan j. heeger","сад","{conductive polymers|[97]}"
"2000","NULL","alan g macdiarmid","саднов зеланд","{conductive polymers|[97]}"
"2000","NULL","hideki shirakawa","јапонија","{conductive polymers|[97]}"
"2001","NULL","william s. knowles","сад","{chirally catalysed hydrogenation reactions|[98]}"
"2001","NULL","ryoji noyori","јапонија","{chirally catalysed hydrogenation reactions|[98]}"
"2001","NULL","k. barry sharpless","сад","{chirally catalysed oxidation reactions|[99]}"
"2002","NULL","john b. fenn","сад","{soft desorption|ionisation methods|[100]}"
"2002","NULL","koichi tanaka","јапонија","{soft desorption|ionisation methods|[100]}"
"2002","NULL","kurt wüthrich","швајцарија","{nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution|[100]}"
"2003","NULL","peter agre","сад","{water channels|[101]}"
"2003","NULL","roderick mackinnon","сад","{studies of ion channels|[101]}"
"2004","NULL","aaron ciechanover","израел","{ubiquitin|[102]}"
"2004","NULL","avram hershko","израел","{ubiquitin|[102]}"
"2004","NULL","irwin rose","сад","{ubiquitin|[102]}"
"2005","NULL","yves chauvin","франција","{metathesis|[103]}"
"2005","NULL","robert h. grubbs","сад","{metathesis|[103]}"
"2005","NULL","richard r. schrock","сад","{metathesis|[103]}"
"2006","NULL","roger d. kornberg","сад","{eukaryotic transcription|[104]}"
"2007","NULL","гехарт ертл","германија","{his studies of chemical processes on solid surfaces|[105]}"
"2008","NULL","осаму шимомура","{сад|јапонија|[106]}","{green fluorescent protein|[107]}"
"2008","NULL","мартин чалфи","сад","{green fluorescent protein|[107]}"
"2008","NULL","роџер ј. циен","сад","{green fluorescent protein|[107]}"
