"destination airport","city","country","airline"
"dinard - pleurtuit - saint-malo airport (dnr)","saint-malo","france","ryanair"
"dublin airport (dub)","dublin","ireland","ryanair"
"dusseldorf international airport (dus)","dusseldorf","germany","air berlin"
"dusseldorf weeze airport (nrn)","dusseldorf","germany","ryanair"
"edinburgh airport (edi)","edinburgh","uk","easyjet"
"eindhoven airport (ein)","eindhoven","netherlands","ryanair"
"euroairport basel-mulhouse-freiburg airport (bsl mlh eap)","saint-louis","france","easyjet"
"faro airport (fao)","faro","portugal","easyjet"
"faro airport (fao)","faro","portugal","excel"
"faro airport (fao)","faro","portugal","first choice airways"
"faro airport (fao)","faro","portugal","thomas cook airways"
"faro airport (fao)","faro","portugal","thomsonfly charter"
"federico garcia lorca airport (grx)","granada","spain","ryanair"
"fertilia airport (aho)","alghero","italy","ryanair"
"francisco de sa carneiro airport (opo)","porto","portugal","ryanair"
"frankfurt-hahn airport (hhn)","frankfurt","germany","ryanair"
"friedrichshafen airport (fdh)","friedrichshafen","germany","ryanair"
"friuli venezia giulia airport (trs)","trieste","italy","ryanair"
"fuerteventura airport (fue)","fuerteventura","spain","first choice airways"
"fuerteventura airport (fue)","fuerteventura","spain","thomas cook airways"
"galileo galilei international airport (psa)","pisa","italy","ryanair"
"gaziantep oguzeli international airport (gzt)","gaziantep","turkey","kibris turkish"
"gdansk lech walesa airport (gdn)","gdansk","poland","ryanair"
"geneva cointrin international airport (gva)","geneva","switzerland","easyjet"
"genoa cristoforo colombo airport (goa)","genoa","italy","ryanair"
"george best belfast city airport (bhd)","belfast","uk","air berlin"
"girona-costa brava airport (gro)","girona","spain","ryanair"
"glasgow international airport (gla)","glasgow","uk","air berlin"
"glasgow international airport (gla)","glasgow","uk","easyjet"
"glasgow prestwick airport (pik)","glasgow","uk","ryanair"
"gothenburg-landvetter airport (got)","gothenburg","sweden","flyme"
"gothenburg-landvetter airport (got)","gothenburg","sweden","ryanair"
"gran canaria airport (lpa)","gran canaria island","spain","first choice airways"
"gran canaria airport (lpa)","gran canaria island","spain","thomas cook airways"
"gran canaria airport (lpa)","gran canaria island","spain","thomsonfly charter"
"graz airport (grz)","graz","austria","ryanair"
"grenoble-isere airport (gnb)","grenoble","france","ryanair"
"guernsey airport (gci)","guernsey","channel islands","aurigny"
"guglielmo marconi international airport (blq)","bologna","italy","ryanair"
"habib bourguiba international airport (mir)","monastir","tunisia","nouvelair"
"hanover international airport (haj)","hanover","germany","air berlin"
"haugesund airport (hau)","haugesund","norway","ryanair"
"helsinki-vantaa airport (hel)","vantaa","finland","blue1"
"heraklion international airport (her)","crete","greece","excel"
"heraklion international airport (her)","crete","greece","first choice airways"
"heraklion international airport (her)","crete","greece","thomas cook airways"
"heraklion international airport (her)","crete","greece","thomsonfly charter"
"ibiza airport (ibz)","ibiza","spain","easyjet"
"ibiza airport (ibz)","ibiza","spain","thomas cook airways"
"ireland west - knock airport (noc)","charlestown","ireland","ryanair"
"islamabad international airport (isb)","islamabad","pakistan","pakistan international airways"
"jerez airport (xry)","jerez de la frontera","spain","ryanair"
"jersey airport (jer)","saint peter","jersey","atlantic express"
"jinnah international airport (khi)","karachi","pakistan","pakistan international airways"
"john c munro hamilton international airport (thm)","hamilton","canada","flyglobespan"
"john f kennedy international airport (jfk)","new york city","us","eos"
"john f kennedy international airport (jfk)","new york city","us","maxjet"
"john paul ii international krakow-balice airport (krk)","krakow","poland","ryanair"
"john paul ii international krakow-balice airport (krk)","krakow","poland","skyeurope slovakia"
"kaunas international airport (kun)","kaunas","lithuania","ryanair"
"keflavik international airport (kef)","reykjavik","iceland","iceland express"
"kerry airport (kir)","killarney","ireland","ryanair"
"klagenfurt airport (klu)","klagenfurt","austria","ryanair"
"kos island international airport (kgs)","kos","greece","excel"
"kos island international airport (kgs)","kos","greece","thomsonfly charter"
"la rochelle - ile de re airport (lrh)","la rochelle","france","ryanair"
"lamezia terme international airport (suf)","lamezia terme","italy","ryanair"
"lanzarote airport (ace)","lanzarote","spain","excel"
"lanzarote airport (ace)","lanzarote","spain","first choice airways"
"lanzarote airport (ace)","lanzarote","spain","thomas cook airways"
"lanzarote airport (ace)","lanzarote","spain","thomsonfly charter"
"larnaca international airport (lca)","larnaca","cyprus","cyprus airways"
"larnaca international airport (lca)","larnaca","cyprus","first choice airways"
"larnaca international airport (lca)","larnaca","cyprus","thomas cook airways"
"larnaca international airport (lca)","larnaca","cyprus","thomsonfly charter"
"leipzig-altenburg airport (aoc)","leipzig","germany","ryanair"
"leipzig-halle airport (lej)","leipzig","germany","air berlin"
"limoges-bellegarde airport (lig)","limoges","france","ryanair"
"linz airport (lnz)","linz","austria","ryanair"
"ljubljana joze pucnik airport (lju)","ljubljana","slovenia","easyjet"
"lodz wladyslaw reymont airport (lcj)","lodz","poland","ryanair"
"luebeck airport (lbc)","hamburg","germany","ryanair"
"malaga airport (agp)","malaga","spain","easyjet"
"malmo airport (mmx)","malmo","sweden","ryanair"
"malta international airport (mla)","valletta","malta","air malta"
"manchester airport (man)","manchester","uk","air berlin"
"marseille provence airport (mrs)","marseille","france","ryanair"
"mccarran international airport (las)","las vegas","us","maxjet"
"menorca airport (mah)","mahon","spain","first choice airways"
"menorca airport (mah)","mahon","spain","mytravel airways"
"menorca airport (mah)","mahon","spain","thomas cook airways"
"menorca airport (mah)","mahon","spain","thomsonfly charter"
"milan rastislav stefanik airport (bts)","bratislava","slovakia","ryanair"
"milan rastislav stefanik airport (bts)","bratislava","slovakia","skyeurope slovakia"
"milas-bodrum airport (bjv)","bodrum","turkey","first choice airways"
"milas-bodrum airport (bjv)","bodrum","turkey","thomas cook airways"
"milas-bodrum airport (bjv)","bodrum","turkey","thomsonfly charter"
"montpellier-mediterranee airport (mpl)","montpellier","france","ryanair"
"montreal-pierre elliott trudeau international airport (yul)","montreal","canada","zoom"
"munich airport (muc)","munich","germany","easyjet"
"munster osnabruck international airport (fmo)","munster","germany","air berlin"
"murcia-san javier airport (mjv)","murcia","spain","ryanair"
"nantes atlantique airport (nte)","nantes","france","ryanair"
"naples international airport (nap)","naples","italy","easyjet"
"newcastle airport (ncl)","newcastle upon tyne","uk","easyjet"
"newquay cornwall airport (nqy)","newquay","uk","ryanair"
"nuremberg airport (nue)","nuremberg","germany","air berlin"
"orio al serio international airport (bgy)","milan","italy","ryanair"
"oslo gardermoen airport (osl)","oslo","norway","norwegian air shuttle"
"paderborn lippstadt airport (pad)","paderborn","germany","air berlin"
"palermo international airport (pmo)","sicily","italy","ryanair"
"paphos international airport (pfo)","paphos","cyprus","cyprus airways"
"paphos international airport (pfo)","paphos","cyprus","excel"
"paphos international airport (pfo)","paphos","cyprus","first choice airways"
"paphos international airport (pfo)","paphos","cyprus","thomas cook airways"
"parma airport (pmf)","parma","italy","ryanair"
"pau pyrenees airport (puf)","pau","france","ryanair"
"perpignan-rivesaltes airport (pgf)","perpignan","france","ryanair"
"poitiers-biard airport (pis)","poitiers","france","ryanair"
"poprad-tatry airport (tat)","poprad","slovakia","skyeurope slovakia"
"poznan lawica airport (poz)","poznan","poland","ryanair"
"pula airport (puy)","pula","croatia","ryanair"
"reus airport (reu)","reus","spain","first choice airways"
"reus airport (reu)","reus","spain","mytravel airways"
"reus airport (reu)","reus","spain","ryanair"
"riga international airport (rix)","riga","latvia","ryanair"
"rodez-marcillac airport (rdz)","rodez","france","ryanair"
"rome ciampino airport (cia)","rome","italy","ryanair"
"ronald reagan washington national airport (dca)","washington dc","us","maxjet"
"rotterdam airport (rtm)","rotterdam","netherlands","transavia holland"
"ruzyne international airport (prg)","prague","czech republic","csa czech airways"
"ruzyne international airport (prg)","prague","czech republic","easyjet"
"rzeszow-jasionka airport (rze)","rzeszow","poland","ryanair"
"saint-etienne - boutheon airport (ebu)","saint-etienne","france","ryanair"
"saint-exupery international airport (lys)","lyon","france","easyjet"
"salzburg airport (szg)","salzburg","austria","ryanair"
"san egidio airport (peg)","perugia","italy","ryanair"
"san pablo airport (svq)","seville","spain","ryanair"
"sandefjord torp airport (trf)","oslo","norway","ryanair"
"santander airport (sdr)","santander","spain","ryanair"
"sant'angelo treviso airport (tsf)","venice","italy","ryanair"
"santiago de compostela airport (scq)","santiago de compostela","spain","ryanair"
"sarmellek international airport (sob)","sarmellek","hungary","ryanair"
"shannon international airport (snn)","shannon","ireland","ryanair"
"son sant joan airport (pmi)","palma de mallorca (majorca)","spain","air berlin"
"son sant joan airport (pmi)","palma de mallorca (majorca)","spain","easyjet"
"son sant joan airport (pmi)","palma de mallorca (majorca)","spain","excel"
"son sant joan airport (pmi)","palma de mallorca (majorca)","spain","first choice airways"
"son sant joan airport (pmi)","palma de mallorca (majorca)","spain","monarch charter"
"son sant joan airport (pmi)","palma de mallorca (majorca)","spain","thomas cook airways"
"son sant joan airport (pmi)","palma de mallorca (majorca)","spain","thomsonfly charter"
"stockholm-skavsta airport (nyo)","stockholm","sweden","ryanair"
"stuttgart airport (str)","stuttgart","germany","germanwings"
"szczecin-goleniow airport (szz)","szczecin","poland","ryanair"
"tallinn airport (tll)","tallinn","estonia","easyjet"
"tampere-pirkkala airport (tmp)","tampere","finland","ryanair"
"tenerife south airport (tfs)","tenerife","spain","excel"
"tenerife south airport (tfs)","tenerife","spain","first choice airways"
"tenerife south airport (tfs)","tenerife","spain","flyglobespan"
"tenerife south airport (tfs)","tenerife","spain","thomas cook airways"
"tenerife south airport (tfs)","tenerife","spain","thomsonfly charter"
"tirana international airport nene tereza airport (tia)","tirana","albania","albanian airways"
"toronto pearson international airport (yyz)","toronto","canada","zoom"
"toulon-hyeres airport (tln)","toulon","france","ryanair"
"tours loire valley airport (tuf)","tours","france","ryanair"
"trondheim airport (trd)","trondheim","norway","norwegian air shuttle"
"turin international airport (trn)","turin","italy","ryanair"
"valencia airport (vlc)","valencia","spain","easyjet"
"valencia airport (vlc)","valencia","spain","ryanair"
"valladolid international airport (vll)","valladolid","spain","ryanair"
"vargar airport (fae)","torshavn","faroe islands","atlantic airways"
"vienna international airport (vie)","vienna","austria","niki"
"vitoria airport (vit)","vitoria-gasteiz","spain","ryanair"
"zakynthos international airport (zth)","zakynthos","greece","first choice airways"
"zakynthos international airport (zth)","zakynthos","greece","monarch charter"
"zakynthos international airport (zth)","zakynthos","greece","thomas cook airways"
"zakynthos international airport (zth)","zakynthos","greece","thomsonfly charter"
"zaragoza airport (zaz)","zaragoza","spain","ryanair"
