"country","face","unit","year","type","grade","exchange","value","cost","worth","source","comments"
"algeria","20","franc","NULL","note","NULL","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.27","$0.50","$0.50","charlottesville coin store","boys and cactus"
"algeria","0.5","dinar","1413=1992","coin","f","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01","arvind natrajan","horse"
"algeria","dinar","1","1987","coin","g","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","arvind natrajan","$0.00","$0.01","independence monument"
"algeria","dinar","1","1423=2002","coin","f","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","arvind natrajan","$0.00","$0.01","buffalo map of algeria"
"algeria","dinar","2","1413=1992","coin","f","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.03","arvind natrajan","$0.00","$0.03","camel map of algeria"
"algeria","dinar","5","1972","coin","f","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.07","arvind natrajan","$0.00","$0.07","oil rig crop"
"algeria","dinar","5","1420=1999","coin","f","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.07","arvind natrajan","$0.00","$0.07","elephant"
"algeria","dinar","10","1979","coin","f","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.14","arvind natrajan","$0.00","$0.14","inscriptions"
"algeria","dinar","10","1413=1992","coin","g","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.14","arvind natrajan","$0.00","$0.14","falcon"
"algeria","dinar","20","1416=1996","coin","vg","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.27","arvind natrajan","$0.00","$0.27","lion"
"algeria","dinar","50","1988","coin","vg","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.69","arvind natrajan","$0.00","$0.69","geometric design"
"algeria","dinar","50","1413=1992","coin","f","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.69","arvind natrajan","$0.00","$0.69","antelope"
"algeria","dinar","100","1414=1993","coin","vg","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$1.37","arvind natrajan","$0.00","$1.37","horse"
"algeria","dinar","100","1981","note","NULL","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$1.37","arvind natrajan","$0.00","$1.37","towers"
"algeria","dinar","100","1992","note","NULL","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$1.37","arvind natrajan","$0.00","$1.37","arab riders charging"
"algeria","dinar","200","1983","note","NULL","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$2.75","arvind natrajan","$0.00","$2.75","bridge over ravine"
"algeria","dinar","500","1998","note","NULL","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$6.86","arvind natrajan","$0.00","$6.86","hannibal's elephants against romans"
"algeria","dinar","1000","1998","note","vf","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$13.73","arvind natrajan","$0.00","$13.73","petroglyphs"
"algeria","dinar","1000","2005","note","f","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$13.73","$13.73","$13.73","abderrezak kamel","petroglyphs 60 years of arab union"
"andorra","1","centim","1999","coin","NULL","0.000084741&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.83","$0.83","ebay: mark camp","angel guaranteeing food"
"angola","100000","kwanza","1995","note","unc","0.000001751&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.18","$7.00","$7.00","ebay: cesar lima ottoni","moringue mask pot"
"antarctica","1","dollar","1999","note","NULL","1&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$1.00","$3.50","$3.50","ebay: bruce twetten"
"argentina","1","centavo","1993","coin","f","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","arvind natrajan"
"argentina","1","centavo","1999","coin","g","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","martin schonaker","copper coin"
"argentina","5","centavo","1936","coin","NULL","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","$0.00","$0.02","oleg nabrovenko","argentinian republic"
"argentina","5","centavo","1947","coin","NULL","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","oleg nabrovenko","$0.02","$0.00","$0.02","argentinian republic yellow coin"
"argentina","5","centavo","1951","coin","NULL","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","oleg nabrovenko","$0.02","$0.00","$0.02","jos de san martin"
"argentina","5","centavo","1975","coin","NULL","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","$0.00","$0.02","ebay: randall leis","argentinian republic"
"argentina","5","centavo","1992","coin","vf","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","$0.00","$0.02","arvind natrajan","sun"
"argentina","10","centavo","1952","coin","NULL","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.03","$0.00","$0.03","ebay: tom yancey","jos de san martin"
"argentina","10","centavo","1992","coin","vf","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.03","$0.00","$0.03","arvind natrajan","national shield"
"argentina","25","centavo","1992","coin","f","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","arvind natrajan","$0.08","$0.00","$0.08","viceroy palace yellow coin"
"argentina","25","centavo","1993","coin","vf","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","arvind natrajan","$0.08","$0.00","$0.08","viceroy palace"
"argentina","50","centavo","1987","coin","f","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","arvind natrajan","$0.16","$0.00","$0.16","argentinian republic"
"argentina","50","centavo","1994","coin","vf","0.00326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","arvind natrajan","$0.16","$0.00","$0.16","tucuman house"
"argentina","1","peso","1959","coin","NULL","0.00000000000000116683","$0.00","$0.00","$0.00","oleg nabrovenko","argentinian republic"
"argentina","peso","1","1994","coin","vf","0.326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.33","$0.00","$0.33","arvind natrajan","national shield"
"argentina","peso","2","NULL","0.326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","note","vg","$0.65","arvind natrajan","$0.00","$0.65","bartolome mitre"
"argentina","peso","2","2007","0.326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","coin","vg","$0.65","$0.00","$0.65","rodrigo vega","malvinas islands"
"argentina","peso","5","NULL","0.326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","note","vg","$1.63","$0.00","$1.63","arvind natrajan","bartolome mitre"
"argentina","10","peso ley","NULL","note","g","0.00000000000000116683","$0.00","$0.22","$0.22","ebay: michael cartz","manuel belgrano"
"argentina","10","peso","NULL","note","vg","0.326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$3.27","$0.00","$3.27","arvind natrajan","manuel belgrano"
"argentina","peso","10","1977","coin","0.326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","f","$3.27","$0.00","arvind natrajan","$3.27","alminante g. brown"
"argentina","peso","20","NULL","note","0.326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vg","$6.53","$0.00","arvind natrajan","$6.53","juan manuel de rosas"
"argentina","50","peso ley","NULL","note","vf","0.00000000000000116683","$0.00","$0.22","$0.22","ebay: michael cartz","jos de san martin"
"argentina","50","peso","NULL","note","vg","0.326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$16.34","$0.00","$16.34","arvind natrajan","domingo faustino sarmiento"
"argentina","peso","100","NULL","note","0.326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vg","$32.67","$0.00","arvind natrajan","$32.67","julio argentino roca"
"argentina","1000","peso ley","NULL","note","f","0.00000000000000116683","$0.00","$0.22","$0.22","ebay: michael cartz","jos de san martin"
"argentina","5000","peso argentino","1985","note","unc","0.0000000000116683&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$9.90","$9.90","ebay: cesar lima ottoni","juan bautista alberdi"
"argentina","1","austral","1987","note","unc","0.0326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.03","$0.00","$0.03","ebay: david steinberg","salta province"
"argentina","austral","1","1991","note","0.0326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","unc","$0.03","$0.00","ebay: david steinberg","$0.03","tucuman province"
"argentina","austral","1","1988","note","0.0326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","f","$0.03","$0.00","ebay: david steinberg","$0.03","bernadino rivadavia"
"argentina","austral","10","1986","note","0.0326712&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","unc","$0.33","$0.00","$0.33","jean ohanessian","santiago derqui"
"armenia","10","dram","1993","note","NULL","0.00178571&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","jean ohanessian","$0.02","$0.00","$0.02"
"armenia","25","dram","1993","note","NULL","0.00178571&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","jean ohanessian","$0.04","$0.00","$0.04"
"armenia","50","dram","1993","note","NULL","0.00178571&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","jean ohanessian","$0.09","$0.00","$0.09"
"armenia","50","dram","1998","note","unc","0.00178571&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.09","$1.66","$1.66","ebay: dimitry bouznik","ballet dancers"
"armenia","100","dram","1993","note","NULL","0.00178571&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.18","$0.00","$0.18","jean ohanessian"
"armenia","200","dram","1993","note","NULL","0.00178571&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","jean ohanessian","$0.36","$0.00","$0.36"
"armenia","500","dram","1993","note","NULL","0.00178571&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","jean ohanessian","$0.89","$0.00","$0.89"
"aruba","25","cent","1993","coin","NULL","0.005642&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.14","$0.00","$0.14","india bazaar"
"aruba","1","florin","1986","coin","NULL","0.5642&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.56","$0.00","$0.56","susan harris","beatrix"
"australia","0.5","penny","1912","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","ebay: randall leis","george v"
"australia","0.5","penny","1943","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","ebay: randall leis","george vi"
"australia","1","florin","1917","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$2.63","$2.63","ebay: clive knell","george v"
"australia","1","penny","1943","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.10","$0.10","charlottesville coin store","george vi kangaroo"
"australia","penny","1","1963","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01","ebay: tom yancey","young elizabeth ii kangaroo"
"australia","1","cent","1966","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01","allison powell","young elizabeth ii"
"australia","cent","2","1971","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","allison powell","$0.00","$0.02","young elizabeth ii"
"australia","3","penny","1957","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.03","$0.99","$0.99","ebay: steven hanover","young elizabeth ii"
"australia","5","cent","1981","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.04","$0.00","$0.04","rashmi srinivasa","young elizabeth ii"
"australia","cent","5","1995","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.04","$0.00","$0.04","allison powell","elizabeth ii"
"australia","cent","5","1999","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.04","$0.00","$0.04","savita shastri","old elizabeth ii"
"australia","6","penny","1942","coin","xf","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.05","$0.00","$0.05","bruce broker","george vi"
"australia","10","cent","1980","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.09","$0.00","$0.09","allison powell","young elizabeth ii"
"australia","cent","10","1992","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.09","$0.20","$0.20","charlottesville teachers store","elizabeth ii"
"australia","cent","10","2001","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.09","$0.00","$0.09","savita shastri","old elizabeth ii"
"australia","1","shilling","1955","coin","NULL","0.10324716&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.10","$0.99","$0.99","ebay: steven hanover","young elizabeth ii"
"australia","20","cent","1967","coin","NULL","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.17","$0.00","$0.17","NULL","young elizabeth ii"
"australia","cent","20","1997","coin","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.17","$0.10","$0.17","allison powell","elizabeth ii"
"australia","cent","20","1999","coin","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.17","$0.00","$0.17","savita shastri","old elizabeth ii"
"australia","cent","50","1977","coin","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vg","$0.43","$0.00","$0.43","cong-duc pham","silver jubilee"
"australia","cent","50","1979","coin","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.43","$0.30","$0.43","allison powell","young elizabeth ii"
"australia","cent","50","1994","coin","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","allison powell","$0.43","$0.30","$0.43","children's art"
"australia","cent","50","1998","coin","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.43","$0.00","$0.43","arvind natrajan","george bass matthew flinders"
"australia","cent","50","2000","coin","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","arvind natrajan","$0.43","$0.00","$0.43","flag"
"australia","cent","50","2001","coin","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.43","$0.00","$0.43","savita shastri","kangaroo emu"
"australia","cent","50","2001","coin","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","f","$0.43","$0.00","$0.43","cong-duc pham","centenary of federation"
"australia","cent","50","2005","coin","0.00860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vf","cong-duc pham","$0.43","$0.00","$0.43","world war ii rememberance"
"australia","1","dollar","1983","note","unc","0.860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.86","$2.50","$2.50","ebay: michael maceyko","paper young elizabeth ii aborigine art"
"australia","dollar","1","1984","coin","0.860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.86","$0.60","$0.86","allison powell","young elizabeth ii kangaroos"
"australia","dollar","1","1986","coin","0.860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.86","$0.00","$0.86","arvind natrajan","international year of peace"
"australia","dollar","1","1993","coin","0.860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","arvind natrajan","$0.86","$0.00","$0.86","landcare"
"australia","dollar","1","1994","coin","0.860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","arvind natrajan","$0.86","$0.00","$0.86","elizabeth ii kangaroos"
"australia","dollar","1","1996","coin","0.860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","arvind natrajan","$0.86","$0.00","$0.86","sir henry parkes"
"australia","dollar","1","1999","coin","0.860393&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","g","$0.86","$0.00","$0.86","cong-duc pham","international year of older persons"
