"ident","station","elevation feet&nbsp;&nbsp;&nbsp;&nbsp; asl","map","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"cyne","norway house","734","google","mb","n","53","57","30","w","97","50","39"
"cnl9","nueltin lake","971","google","mb","n","59","42","29","w","100","07","38"
"cav9","oak hammock air park","aprx 755","google","mb","n","50","08","16","w","97","03","41"
"cyoh","oxford house","663","google","mb","n","54","55","59","w","95","16","44"
"czmn","pikwitonei","636","google","mb","n","55","35","22","w","97","09","49"
"ckq9","pine dock/jack     pine resort ltd","aprx 750","google","mb","n","51","37","12","w","96","48","39"
"48y","piney/piney pinecreek border","1078","google","mb","n","49","00","00","w","95","58","57"
"czng","poplar river","727","google","mb","n","52","59","47","w","97","16","25"
"cjz2","portage la prairie (north)","860","google","mb","n","49","59","33","w","98","18","11"
"cypg","portage la prairie/southport","885","google","mb","n","49","54","11","w","98","16","26"
"czfg","pukatawagan","960","google","mb","n","55","44","57","w","101","15","59"
"cyrs","red sucker lake","745","google","mb","n","54","10","03","w","93","33","27"
"crp2","reston/r.m. of pipestone","1488","google","mb","n","49","34","50","w","101","03","10"
"crm2","riding mountain","1016","google","mb","n","50","34","25","w","99","21","41"
"ckg2","riverton","725","google","mb","n","50","58","18","w","97","00","40"
"ckb7","roblin","1821","google","mb","n","51","14","04","w","101","23","33"
"ckd7","roland (graham field)","aprx 865","google","mb","n","49","24","30","w","97","59","26"
"ckj2","rosenort","779","google","mb","n","49","27","11","w","97","25","21"
"cjw5","russell","1825","google","mb","n","50","45","57","w","101","17","42"
"cka8","st. fran�ois xavier","798","google","mb","n","49","55","28","w","97","32","56"
"cyst","st. theresa point","767","google","mb","n","53","50","44","w","94","51","08"
"ckl2","selkirk","747","google","mb","n","50","10","20","w","96","52","20"
"cztm","shamattawa","295","google","mb","n","55","51","47","w","92","04","53"
"ckm3","shilo (heli)","1225","google","mb","n","49","48","00","w","99","38","00"
"ckn9","shilo (flewin field) (heli)","1223","google","mb","n","49","46","51","w","99","38","20"
"ckl5","shoal lake","1836","google","mb","n","50","27","27","w","100","36","31"
"ckb8","silver falls","775","google","mb","n","50","30","00","w","96","05","53"
"cje4","snow lake","993","google","mb","n","54","53","50","w","99","49","08"
"ckc8","somerset","1563","google","mb","n","49","24","01","w","98","41","33"
"cjx5","souris glenwood industrial air park","1480","google","mb","n","49","38","00","w","100","12","00"
"czsn","south indian lake","951","google","mb","n","56","47","34","w","98","54","26"
"ckj7","starbuck","785","google","mb","n","49","42","22","w","97","40","50"
"cjb3","steinbach","850","google","mb","n","49","32","58","w","96","40","46"
"ckk7","steinbach (south)","888","google","mb","n","49","29","38","w","96","41","56"
"cjy5","strathclair","1875","google","mb","n","50","23","46","w","100","25","31"
"czjn","swan river","1100","google","mb","n","52","07","17","w","101","14","04"
"cybq","tadoule lake","923","google","mb","n","58","42","22","w","98","30","44"
"cyqd","the pas","888","google","mb","n","53","58","17","w","101","05","28"
"cjr3","the pas/grace lake","873","google","mb","n","53","49","35","w","101","12","19"
"czlq","thicket portage","679","google","mb","n","55","19","08","w","97","42","28"
"cyth","thompson","735","google","mb","n","55","48","17","w","97","51","45"
"ckm7","thompson (heli)","702","google","mb","n","55","42","00","w","97","53","00"
"cku2","treherne","1200","google","mb","n","49","37","52","w","98","39","59"
"ctn6","treherne (south norfolk airpark)","1169","google","mb","n","49","39","35","w","98","39","55"
"ckr7","virden (gabrielle farm)","aprx 1440","google","mb","n","49","47","05","w","100","57","22"
"cyvd","virden/r.j. (bob) andrew     field regional","1454","google","mb","n","49","52","42","w","100","55","06"
"ckx2","warren/woodlands","817","google","mb","n","50","09","34","w","97","35","28"
"ckz7","winkler","850","google","mb","n","49","10","01","w","97","55","13"
"cywg","winnipeg/james     armstrong richardson intl","783","google","mb","n","49","54","36","w","97","14","24"
"cwg2","winnipeg (city of     winnipeg) (heli)","763","google","mb","n","49","54","01","w","97","05","44"
"cjl5","winnipeg/lyncrest","775","google","mb","n","49","51","09","w","96","58","25"
"cyav","winnipeg/st.      andrews","760","google","mb","n","50","03","22","w","97","01","57"
"czac","york landing","622","google","mb","n","56","05","22","w","96","05","21"
"cka4","zhoda","aprx 950","google","mb","n","49","16","51","w","96","30","04"
