"species name","tropical","not tropical","comments"
"bignonia longissima","x","n/a","n/a"
"bignonia serratifolia","n/a","x","n/a"
"bombacopsis quinata","x","n/a","n/a"
"bombax aquaticum","n/a","x","n/a"
"bombax buonopozense","x","n/a","n/a"
"bombax macrocarpum","n/a","x","n/a"
"bombax pyramidale","n/a","x","n/a"
"bombax quinatum","x","n/a","n/a"
"bontia mitchellii","n/a","x","n/a"
"borassus flabellifer","n/a","x","n/a"
"bowdichia guianensis","x","n/a","n/a"
"bowdichia nitida","x","n/a","n/a"
"bowdichia virgilioides","x","n/a","n/a"
"brachylaena hutchinsii","x","n/a","n/a"
"brachystegia cynometroides","n/a","x","n/a"
"brachystegia leonensis","x","n/a","n/a"
"brasilettia blasiana","n/a","x","n/a"
"breonadia microcephala","n/a","x","n/a"
"brosimum acutifolium","x","n/a","n/a"
"brosimum alicastrum","x","n/a","n/a"
"brosimum aubletii","x","n/a","n/a"
"brosimum guianense","x","n/a","n/a"
"brosimum paraense","x","n/a","n/a"
"brosimum rubescens","x","n/a","n/a"
"brosimum utile","x","n/a","n/a"
"brya ebenus","x","n/a","n/a"
"bucida buceras","n/a","x","n/a"
"bursera graveolens","x","n/a","n/a"
"bursera simaruba","n/a","x","n/a"
"&#167; byrsonimamartinicensis","x","n/a","n/a"
"&#167; byrsonimatrinitensis","x","n/a","n/a"
"cadellia pentastylis","n/a","x","n/a"
"caesalpinia blasiana","n/a","x","n/a"
"caesalpinia echinata","x","n/a","n/a"
"caesalpinia ferrea","n/a","x","n/a"
"caesalpinia platyloba","n/a","x","n/a"
"caesalpinia sclerocarpa","n/a","x","n/a"
"caldcluvia australiensis","x","n/a","n/a"
"callitris glauca","n/a","x","n/a"
"callitris glaucophylla","n/a","x","n/a"
"callitris huegelii","n/a","x","n/a"
"callitris rhomboidea","n/a","x","n/a"
"calocarpum mammosum","n/a","x","n/a"
"calophyllum brasiliense","x","n/a","n/a"
"calophyllum inophyllum","n/a","x","n/a"
"calophyllum neo-ebudicum","x","n/a","n/a"
"calophyllum vitiense","x","n/a","n/a"
"calycophyllum candidissimum","x","n/a","n/a"
"calycophyllum multiflorum","n/a","x","n/a"
"calycophyllum spruceanum","x","n/a","n/a"
"campnosperma panamense","x","n/a","n/a"
"campnosperma panamensis","x","n/a","n/a"
"&#167; canangacaribaea","x","n/a","n/a"
"canarium schweinfurthii","x","n/a","n/a"
"canarium vanikoroense","x","n/a","n/a"
"canarium vitiense","n/a","x","n/a"
"carapa guianensis","x","n/a","n/a"
"carapa latifolia","x","n/a","n/a"
"carapa macrocarpa","x","n/a","n/a"
"carapa nicaraguensis","x","n/a","n/a"
"carapa procera","x","n/a","n/a"
"carapa slateri","x","n/a","n/a"
"carapa surinamensis","x","n/a","n/a"
"carapa touloucouna","x","n/a","n/a"
"cardwellia sublimis","x","n/a","n/a"
"cariniana clavata","x","n/a","n/a"
"cariniana exigua","x","n/a","n/a"
"cariniana pyriformis","x","n/a","n/a"
"carolinea macrocarpa","n/a","x","n/a"
"caryocar villosum","x","n/a","n/a"
"cassia parahyba","n/a","x","n/a"
"cassia siamea","n/a","x","n/a"
"castanospermum australe","n/a","x","n/a"
"castilla costaricana","n/a","x","n/a"
"castilla elastica","n/a","x","n/a"
"castilla lactiflua","n/a","x","n/a"
"castilla nicoyensis","n/a","x","n/a"
"castilla panamensis","n/a","x","n/a"
"casuarina cambagei","n/a","x","n/a"
"casuarina cristata","n/a","x","n/a"
"casuarina decussata","n/a","x","n/a"
"casuarina fraseriana","n/a","x","n/a"
"casuarina lepidophloia","n/a","x","n/a"
"casuarina pauper","n/a","x","n/a"
"catalpa longissima","x","n/a","n/a"
"catostemma fragrans","x","n/a","n/a"
"cavanillea philippensis","x","n/a","n/a"
"&#167; cecropiaantillarum","x","n/a","n/a"
"cecropia peltata","n/a","x","n/a"
"&#167; cecropiaschreberiana","x","n/a","n/a"
"cedrela fissilis","n/a","x","n/a"
"cedrela glaziovii","n/a","x","cites"
"cedrela mexicana","n/a","x","cites"
"cedrela odorata","n/a","x","cites"
"cedrela sinensis","n/a","x","n/a"
"cedrela toona","n/a","x","n/a"
"cedrela velutina","n/a","x","n/a"
"cedrelinga catenaeformis","x","n/a","n/a"
"cedrelinga cateniformis","x","n/a","n/a"
"cedrus brevifolia","n/a","x","n/a"
"cedrus libanensis","n/a","x","n/a"
"cedrus libani","n/a","x","n/a"
"cedrus libanitica subsp. stenocoma","n/a","x","n/a"
"cedrus libanotica","n/a","x","n/a"
"ceiba pentandra","n/a","x","n/a"
"celtis franksiae","n/a","x","n/a"
"celtis guineensis","n/a","x","n/a"
"celtis mildbraedii","n/a","x","n/a"
"celtis orientalis","n/a","x","n/a"
"celtis soyauxii","n/a","x","n/a"
"celtis usambarensis","n/a","x","n/a"
"celtis zenkeri","x","n/a","n/a"
"{centrolobium|spp.}","x","n/a","n/a"
"ceratopetalum succirubrum","x","n/a","n/a"
"chaemacyparis thyoides","n/a","x","n/a"
"chimarrhis hookeri","x","n/a","n/a"
"chlorocardium rodiei","x","n/a","n/a"
"chlorocardium venenosum","x","n/a","n/a"
"chloroleucon tortum","x","n/a","n/a"
"chlorophora excelsa","x","n/a","n/a"
"chlorophora regia","x","n/a","n/a"
"chlorophora tinctoria","n/a","x","n/a"
"chloroxylon swietenia","x","n/a","n/a"
"chuncoa amazonia","x","n/a","n/a"
"cinnamomum camphora","n/a","x","n/a"
"cinnamomum oliveri","n/a","x","n/a"
"cinnamomum virens","n/a","x","n/a"
"cistanthera papaverifera","x","n/a","n/a"
"citrus acida","n/a","x","n/a"
"citrus amara","n/a","x","n/a"
"citrus aurantiifolia","n/a","x","n/a"
"citrus aurantium","n/a","x","n/a"
"citrus bigarradia","n/a","x","n/a"
"citrus lima","n/a","x","n/a"
"citrus vulgaris","n/a","x","n/a"
"clathrotropis brachypetala","x","n/a","n/a"
"clathrotropis macrocarpa","x","n/a","n/a"
"cocos nucifera","n/a","x","n/a"
"colophospermum mopane","n/a","x","n/a"
"combretodendron macrocarpum","x","n/a","n/a"
"combretum imberbe","n/a","x","n/a"
"combretum macrocarpum","x","n/a","n/a"
"copaiba arnoldiana","x","n/a","n/a"
"copaiba hymenaeifolia","n/a","x","n/a"
"copaifera arnoldiana","x","n/a","n/a"
"copaifera aromatica","x","n/a","n/a"
"copaifera chodatiana","n/a","x","n/a"
"copaifera demeusei","x","n/a","n/a"
"copaifera ehie","x","n/a","n/a"
"copaifera hymenaeifolia","n/a","x","n/a"
"copaifera langsdorffii","n/a","x","n/a"
"copaifera officinalis","x","n/a","n/a"
"copaifera palustris","x","n/a","n/a"
"copaifera salikounda","x","n/a","n/a"
"copaifera tessmannii","x","n/a","n/a"
"&#167; cordiaabyssinica","n/a","x","n/a"
"&#167; cordiaafricana","n/a","x","n/a"
"&#167; cordiaholstii","n/a","x","n/a"
"cordyline terminalis","x","n/a","n/a"
"cornus controversa","n/a","x","n/a"
"corymbia calophylla","n/a","x","n/a"
"corymbia maculata","n/a","x","n/a"
"{corynanthe|spp.}","x","n/a","n/a"
"cosmocalyx spectabilis","n/a","x","n/a"
"couma macrocarpa","x","n/a","n/a"
"coumarouna micrantha","x","n/a","n/a"
"coumarouna panamensis","x","n/a","cites"
"coumarouna punctata","x","n/a","n/a"
"coumarouna trifoliolata","x","n/a","n/a"
"{couratari|spp.}","x","n/a","n/a"
"cryptocarya camphorata","n/a","x","n/a"
"cryptocarya glaucescens","n/a","x","n/a"
"cryptomeria fortunei","n/a","x","n/a"
"cryptomeria japonica","n/a","x","n/a"
"cunninghamia lanceolata","n/a","x","n/a"
"cunninghamia konishii","n/a","x","n/a"
"cupressus japonica","n/a","x","n/a"
"cyanothyrsus ogea","x","n/a","n/a"
"cybistax donnell-smithii","n/a","x","n/a"
"cylicodiscus gabunensis","x","n/a","n/a"
"cymbosepalum baronii","n/a","x","n/a"
"cynometra ananta","x","n/a","n/a"
"dacridium nausoriense","x","n/a","n/a"
"dacrydium cupressinum","n/a","x","n/a"
"dacrydium franklinii","n/a","x","n/a"
"dacrydium nidulum","x","n/a","n/a"
"&#167; dacryodesexcelsa","x","n/a","n/a"
"&#167; dalbergialatifolia","n/a","x","n/a"
"dammara australis","n/a","x","n/a"
"daniellia ogea","x","n/a","n/a"
"daniellia thurifera","x","n/a","n/a"
"decussocarpus vitiensis","x","n/a","n/a"
"dendrocalamus asper","n/a","x","n/a"
"detarium heudelotianum","x","n/a","n/a"
"detarium senegalense","x","n/a","n/a"
"dialium guianense","x","n/a","n/a"
"{dialyanthera|spp.}","x","n/a","under review"
"dibrachion guianense","x","n/a","n/a"
"dicorynia guianensis","x","n/a","n/a"
"dicorynia paraensis","x","n/a","n/a"
"didelotia africana","x","n/a","n/a"
"didymopanax morototoni","n/a","x","n/a"
"dimorpha falcata","x","n/a","n/a"
"dimorphandra excelsa","x","n/a","n/a"
"dimorphandra gonggrijpii","x","n/a","n/a"
"dimorphandra mora","x","n/a","n/a"
"dinizia excelsa","x","n/a","n/a"
"diospyros celebica","x","n/a","n/a"
"diospyros crassiflora","x","n/a","n/a"
"diospyros discolor","x","n/a","n/a"
"diospyros ebenum","n/a","x","n/a"
"diospyros embryopteris","n/a","x","n/a"
"diospyros ferrea","x","n/a","under review"
"diospyros macassar","x","n/a","n/a"
"diospyros mespiliformis","n/a","x","n/a"
"diospyros mun","x","n/a","n/a"
"diospyros peregrina","n/a","x","n/a"
"diospyros perrieri","x","n/a","n/a"
"diospyros philippensis","x","n/a","n/a"
"diospyros rumphii","x","n/a","n/a"
"diospyros sabiensis","n/a","x","n/a"
"diospyros senegalensis","n/a","x","n/a"
"diospyros utilis","x","n/a","n/a"
"diplotropis guianensis","x","n/a","n/a"
"diplotropis purpurea","x","n/a","n/a"
"{dipterocarpus|spp.}","x","n/a","under review"
"dipteryx micrantha","x","n/a","n/a"
"dipteryx odorata","x","n/a","n/a"
"dipteryx oleifera","x","n/a","cites"
"dipteryx panamensis","x","n/a","cites"
"dipteryx punctata","x","n/a","n/a"
"dipteryx trifoliolata","x","n/a","n/a"
"distemonanthus benthamianus","x","n/a","n/a"
"dodonaea angustifolia","n/a","x","n/a"
"{dodonaea viscosa|var.|angustifolia}","n/a","x","n/a"
"dracaena terminalis","x","n/a","n/a"
"dracontomelon dao","n/a","x","n/a"
"dracontomelon edule","n/a","x","n/a"
"dracontomelon mangiferum","n/a","x","n/a"
"dracontomelon puberulum","n/a","x","n/a"
"dracontomelon sylvestre","n/a","x","n/a"
"drimys winteri","n/a","x","n/a"
"{dryobalanops|spp.}","x","n/a","under review"
"dumoria heckelii","x","n/a","n/a"
"{durio|spp.}","x","n/a","n/a"
"dyera costulata","x","n/a","n/a"
"dyera laxiflora","x","n/a","n/a"
"dyera lowii","x","n/a","n/a"
"dyera polyphylla","x","n/a","n/a"
"elaeis guineensis","n/a","x","n/a"
"{elaeis guineensis|var.|madagascariensis}","n/a","x","n/a"
"elaeis madagascariensis","n/a","x","n/a"
"elaeis melanococca","n/a","x","n/a"
"elaeodendron maculosum","n/a","x","n/a"
"elaphrium graveolens","x","n/a","n/a"
"elaphrium simaruba","n/a","x","n/a"
"elmerillia papuana","x","n/a","n/a"
"embuia","n/a","x","n/a"
"endiandra palmerstonii","n/a","x","n/a"
"endlicheria grandis","x","n/a","n/a"
"&#167; endlicheriasericea","x","n/a","n/a"
"endospermum macrophyllum","x","n/a","n/a"
"entandrophragma angolense","x","n/a","n/a"
"entandrophragma candollei","x","n/a","n/a"
"entandrophragma congoense","x","n/a","n/a"
"entandrophragma cylindricum","x","n/a","n/a"
"entandrophragma excelsum","x","n/a","n/a"
"entandrophragma utile","x","n/a","n/a"
"enterolobium cyclocarpum","x","n/a","n/a"
"enterolobium schomburgkii","x","n/a","n/a"
"eperua falcata","x","n/a","n/a"
"eremophila mitchellii","n/a","x","n/a"
"eribroma oblonga","x","n/a","n/a"
"erica arborea","n/a","x","n/a"
"erisma pulverulentum","x","n/a","n/a"
"erisma uncinatum","x","n/a","n/a"
"erythrina abyssinica","x","n/a","n/a"
"erythrina caffra","n/a","x","n/a"
"erythrina corallodendron","n/a","x","n/a"
"erythrina crista-galli","n/a","x","n/a"
"erythrina indica","n/a","x","n/a"
"erythrina piscipula","n/a","x","n/a"
"erythrina variegata","n/a","x","n/a"
"erythrina vespertilio","n/a","x","n/a"
"erythrophleum ivorense","x","n/a","n/a"
"erythrophleum suaveolens","x","n/a","n/a"
"erythroxylum areolatum","x","n/a","n/a"
"eschweilera laevifolia","x","n/a","n/a"
"eschweilera subglandulosa","x","n/a","n/a"
"eucalyptus andrewsii","n/a","x","n/a"
"eucalyptus astringens","n/a","x","n/a"
"eucalyptus bicostata","n/a","x","n/a"
"eucalyptus botryoides","n/a","x","n/a"
"eucalyptus calophylla","n/a","x","n/a"
"eucalyptus camaldulensis","n/a","x","n/a"
"eucalyptus clelandii","n/a","x","n/a"
"eucalyptus coolabah","n/a","x","n/a"
"eucalyptus deglupta","n/a","x","n/a"
"eucalyptus delegatensis","n/a","x","n/a"
"eucalyptus diversicolor","n/a","x","n/a"
"eucalyptus dumosa","n/a","x","n/a"
"eucalyptus dundasii","n/a","x","n/a"
"eucalyptus fibrosa","n/a","x","n/a"
"eucalyptus flocktoniae","n/a","x","n/a"
"eucalyptus gigantea","n/a","x","n/a"
"eucalyptus globulus","n/a","x","n/a"
"eucalyptus gomphocephala","n/a","x","n/a"
"eucalyptus grandis","n/a","x","n/a"
"eucalyptus guilfoylei","n/a","x","n/a"
"eucalyptus gunnii","n/a","x","n/a"
"eucalyptus intertexta","n/a","x","n/a"
"eucalyptus lesouefii","n/a","x","n/a"
"eucalyptus longicornis","n/a","x","n/a"
"eucalyptus longirostris","n/a","x","n/a"
"eucalyptus loxophleba","n/a","x","n/a"
"eucalyptus maculata","n/a","x","n/a"
"eucalyptus maidenii","n/a","x","n/a"
"eucalyptus marginata","n/a","x","n/a"
"eucalyptus melanoxylon","n/a","x","n/a"
"eucalyptus melliodora","n/a","x","n/a"
"eucalyptus microtheca","n/a","x","n/a"
"eucalyptus multiflora","n/a","x","n/a"
"eucalyptus nitens","n/a","x","n/a"
"eucalyptus nubila","n/a","x","n/a"
"eucalyptus obliqua","n/a","x","n/a"
"eucalyptus patens","n/a","x","n/a"
"eucalyptus pilularis","n/a","x","n/a"
"eucalyptus populifolia","n/a","x","n/a"
"eucalyptus populnea","n/a","x","n/a"
"eucalyptus pseudoglobulus","n/a","x","n/a"
"eucalyptus regnans","n/a","x","n/a"
"eucalyptus rostrata","n/a","x","n/a"
"eucalyptus rudis","n/a","x","n/a"
"eucalyptus saint-johnii","n/a","x","n/a"
"eucalyptus salicola","n/a","x","n/a"
"eucalyptus saligna","n/a","x","n/a"
"eucalyptus salmonophloia","n/a","x","n/a"
"eucalyptus salubris","n/a","x","n/a"
"eucalyptus transcontinentalis","n/a","x","n/a"
"eucalyptus urophylla","x","n/a","n/a"
"eucarya spicata","n/a","x","n/a"
"eucommia ulmoides","n/a","x","n/a"
"eucryphia cordifolia","n/a","x","n/a"
"euphorbia pinnata","x","n/a","n/a"
"euplassa pinnata","x","n/a","n/a"
"euxlophora paraensis","x","n/a","n/a"
"fagara heitzii","x","n/a","n/a"
"fagara macrophylla","x","n/a","n/a"
"fagraea gracilipes","x","n/a","n/a"
"fagus moesiaca","n/a","x","n/a"
"fagus orientalis","n/a","x","n/a"
"fagus pumilio","n/a","x","n/a"
"fagus sylvatica","n/a","x","n/a"
"&#167; farameaoccidentalis","x","n/a","n/a"
"feuilleea incurialis","n/a","x","n/a"
"feuilleea lebbeck","n/a","x","n/a"
"fitzroya cupressoides","n/a","x","n/a"
"flindersia bourjotiana","x","n/a","n/a"
"flindersia brayleyana","n/a","x","n/a"
"flindersia laevicarpa","x","n/a","n/a"
"flindersia maculosa","n/a","x","n/a"
"flindersia pimenteliana","x","n/a","n/a"
"flindersia schottiana","n/a","x","n/a"
"&#167; fothergillaguianensis","x","n/a","n/a"
"&#167; fothergillamirabilis","x","n/a","n/a"
"fusanus spicatus","n/a","x","n/a"
"gambeya lacourtiana","x","n/a","n/a"
"ganophyllum giganteum","x","n/a","n/a"
"garcinia myrtifolia","x","n/a","n/a"
"garretia anthotheca","x","n/a","n/a"
"geijera parviflora","n/a","x","n/a"
"geissospermum sericeum","x","n/a","n/a"
"genipa americana","x","n/a","n/a"
"gilbertiodendron dewevrei","x","n/a","n/a"
"gluta elegans","x","n/a","n/a"
"gluta papuana","x","n/a","n/a"
"gmelina arborea","n/a","x","n/a"
"gmelina vitiensis","x","n/a","n/a"
"{gonystylus|spp.}","x","n/a","under review"
"gossweilerodendron balsamiferum","x","n/a","n/a"
"goupia glabra","x","n/a","n/a"
"goupia paraensis","x","n/a","n/a"
"granatum guianense","x","n/a","n/a"
"granatum nicaraguense","x","n/a","n/a"
"granatum surinamensis","x","n/a","n/a"
"grevillea robusta","n/a","x","n/a"
"grevillea striata","n/a","x","n/a"
"guaiacum bijugum","n/a","x","n/a"
"guaiacum guatemalense","n/a","x","n/a"
"guaiacum multijugum","n/a","x","n/a"
"guaiacum officinale","n/a","x","n/a"
"guaiacum sanctum","n/a","x","n/a"
"guaiacum sloanei","n/a","x","n/a"
"guaiacum verticale","n/a","x","n/a"
"guajacum officinale","n/a","x","n/a"
"guajacum sanctum","n/a","x","n/a"
"guarea cedrata","x","n/a","n/a"
"guarea mucronulata","x","n/a","n/a"
"{guarea|spp.}","x","n/a","under review"
"guarea thompsonii","x","n/a","n/a"
"&#167; guatteriacaribaea","x","n/a","n/a"
"guazuma ulmifolia","n/a","x","n/a"
"guibourtia arnoldiana","x","n/a","n/a"
"guibourtia chodatiana","n/a","x","n/a"
"guibourtia demeusei","x","n/a","n/a"
"guibourtia ehie","x","n/a","n/a"
"guibourtia hymenaefolia","n/a","x","n/a"
"guibourtia tessmannii","x","n/a","n/a"
"guilandina echinata","n/a","x","n/a"
"haematoxylon campechianum","n/a","x","n/a"
"haematoxylum campechianum","n/a","x","n/a"
"hallea stipulosa","x","n/a","n/a"
"hampea appendiculata","x","n/a","n/a"
"hannoa klaineana","x","n/a","n/a"
"{heritiera|spp.}","x","n/a","under review"
"heritiera utilis","x","n/a","n/a"
"heterodendrum oleifolium","n/a","x","n/a"
"heterodendrum oleifolium","n/a","x","n/a"
"hevea brasiliensis","n/a","x","n/a"
"hibiscus populneus","n/a","x","n/a"
"hieronyma alchorneoides","n/a","x","n/a"
"hieronyma chocoensis","n/a","x","n/a"
"&#167; hippomaneglandulosa","n/a","x","n/a"
"holoptelea grandis","x","n/a","n/a"
"hopea iriana","x","n/a","n/a"
"hopea papuana","x","n/a","n/a"
"humiria balsamifera","x","n/a","n/a"
"hura crepitans","x","n/a","n/a"
"hyeronima alchorneoides","n/a","x","n/a"
"hyeronima chocoensis","n/a","x","n/a"
"hyeronima laxiflora","x","n/a","n/a"
"hymenaea courbaril","x","n/a","n/a"
"hymenaea davisii","x","n/a","n/a"
"hymenaea oblongifolia","x","n/a","n/a"
"{hymenolobium|spp.}","x","n/a","n/a"
"ichthyomethia acuminata","x","n/a","n/a"
"ichthyomethia americana","x","n/a","n/a"
"ichthyomethia piscipula","n/a","x","n/a"
"{ichthyomethia piscipula|var.|acuminata}","x","n/a","n/a"
"inga dulcis","n/a","x","n/a"
"&#167; inga ingoides","x","n/a","n/a"
"inga pubescens","x","n/a","n/a"
"intsia bakeri","x","n/a","n/a"
"intsia bijuga","n/a","x","n/a"
"intsia palembanica","x","n/a","n/a"
"intsia quanzensis","n/a","x","n/a"
"intsia retusa","x","n/a","n/a"
"irina tomentosa","x","n/a","n/a"
"&#167; ixoraoccidentalis","x","n/a","n/a"
"jacaranda copaia","n/a","x","n/a"
"jacaranda mimosifolia","n/a","x","n/a"
"juglans columbiensis","n/a","x","n/a"
"juglans duclouxiana","n/a","x","n/a"
"juglans fallax","n/a","x","n/a"
"juglans honorei","n/a","x","n/a"
"juglans kamaonica","n/a","x","n/a"
"juglans neotropica","n/a","x","n/a"
"juglans nigra","n/a","x","n/a"
"juglans orientalis","n/a","x","n/a"
"juglans regia","n/a","x","n/a"
"juglans sinensis","n/a","x","n/a"
"julbernardia ogoouensis","x","n/a","n/a"
"julbernardia pellegriniana","x","n/a","n/a"
"julbernardia seretii","x","n/a","n/a"
"juniperus bermudiana","n/a","x","n/a"
"khaya anthotheca","x","n/a","n/a"
"khaya grandifoliola","x","n/a","n/a"
"khaya ivorensis","x","n/a","n/a"
"khaya nyasica","x","n/a","n/a"
"khaya senegalensis","x","n/a","n/a"
"koompassia malaccensis","x","n/a","n/a"
"koompassia excelsa","x","n/a","n/a"
"lagerstroemia indica","n/a","x","n/a"
"lannea welwitschii","x","n/a","n/a"
"laurelia philippiana","n/a","x","n/a"
"laurelia sempervirens","n/a","x","n/a"
"laurus aestivalis","n/a","x","n/a"
"laurus leucoxylon","n/a","x","n/a"
"laurus persea","n/a","x","n/a"
"laurus reticulata","n/a","x","n/a"
"lecythis couratari","x","n/a","n/a"
"lecythis davisii","x","n/a","n/a"
"lecythis laevifolia","x","n/a","n/a"
"lecythis subglandulosa","x","n/a","n/a"
"lecythis zabucaja","x","n/a","n/a"
"leucaena latisiliqua","n/a","x","n/a"
"leucochloron incuriale","n/a","x","n/a"
"libidibia sclerocarpa","n/a","x","n/a"
"libocedrus chilensis","n/a","x","n/a"
"licania benthamii","x","n/a","n/a"
"licania biglandulosa","x","n/a","n/a"
"licania costata","x","n/a","n/a"
"licania glabra","x","n/a","n/a"
"licania heteromorpha","x","n/a","n/a"
"licania macrophylla","x","n/a","n/a"
"licania prismatocarpa","x","n/a","n/a"
"licania sparsipilis","x","n/a","n/a"
"licania subcordata","x","n/a","n/a"
"&#167; licaniaternatensis","x","n/a","n/a"
"licaria cannella","x","n/a","n/a"
"lingoum santalinum","n/a","x","cites"
"limonia aurantiifolia","n/a","x","n/a"
"lonchocarpus castilloi","x","n/a","n/a"
"lonchocarpus guaricensis","x","n/a","n/a"
"lophira alata","x","n/a","n/a"
