"common name (animals)","scientific name","category"
"striped shiner","luxilus chrysocephalus","fish"
"striped skunk","mephitis mephitis","mammal"
"summer tanager","piranga rubra","bird"
"swainson's thrush","catharus ustulatus","bird"
"swainson's warbler","limnothlypis swainsonii","bird"
"tennessee warbler","vermivora peregrina","bird"
"threehorn wartyback","obliquaria reflexa","mussel"
"threeridge","amblema plicata","mussel"
"three-toed box turtle","terrapene carolina triunguis","reptile"
"timber rattlesnake","crotalus horridus","reptile"
"tree swallow","tachycineta bicolor","bird"
"tufted titmouse","parus bicolor","bird"
"tundra swan","cygnus columbianus","bird"
"turkey vulture","cathartes aura","bird"
"unknown minnow","cyprinidae sp.","fish"
"veery","catharus fuscescens","bird"
"virginia rail","rallus limicola","bird"
"wabash pigtoe","fusconaia flava","mussel"
"walleye","stizostedion vitreum","fish"
"warbling vireo","vireo gilvus","bird"
"wedgespot shiner","notropis greenei","fish"
"western chorus frog","pseudacris triseriata triseriata","amphibian"
"western cottonmouth","agkistrodon piscivorus leucostoma","reptile"
"western earth snake","virginia valeriae elegans","reptile"
"western painted turtle","chrysemys picta bellii","reptile"
"western ribbon snake","thamnophis proximus proximus","reptile"
"western slender glass lizard","ophisaurus attenuatus attenuatus","reptile"
"western slimy salamander","plethodon albagula","amphibian"
"western spiny softshell","apalone spinifera hartwegi","reptile"
"western worm snake","carphophis vermis","reptile"
"whip-poor-will","caprimulgus vociferus","bird"
"white crappie","pomoxis annularis","fish"
"white sucker","catostomus commersoni","fish"
"white-breasted nuthatch","sitta carolinensis","bird"
"white-crowned sparrow","zonotrichia leucophrys","bird"
"white-eyed vireo","vireo griseus","bird"
"white-footed mouse","peromyscus leucopus","mammal"
"white-tailed deer","odocoileus virginianus","mammal"
"white-throated sparrow","zonotrichia albicollis","bird"
"wild turkey","meleagris gallopavo","bird"
"willow flycatcher","empidonax traillii","bird"
"wilson's phalarope","phalaropus tricolor","bird"
"wilson's warbler","wilsonia pusilla","bird"
"winter wren","troglodytes troglodytes","bird"
"wood duck","aix sponsa","bird"
"wood thrush","hylocichla mustelina","bird"
"worm-eating warbler","helmitheros vermivorus","bird"
"yellow bullhead","ameiurus natalis","fish"
"yellow sandshell","lampsilis teres","mussel"
"yellow warbler","dendroica petechia","bird"
"yellow-bellied sapsucker","sphyrapicus varius","bird"
"yellow-billed cuckoo","coccyzus americanus","bird"
"yellow-breasted chat","icteria virens","bird"
"yellow-crowned night-heron","nyctanessa violaceus","bird"
"yellow-rumped warbler","dendroica coronata","bird"
"yellow-throated vireo","vireo flavifrons","bird"
"yellow-throated warbler","dendroica dominica","bird"
