"country","city","airport","3lett","4lett"
"australia","charleville","charleville airport","ctl","ybcv"
"australia","chinchilla","chinchilla airport","ccl","ycca"
"australia","christmas island","christmas island airport","xch","ypxm"
"australia","clermont","clermont airport","cmq","ycmt"
"australia","cleve","cleve airport","cvc","ycee"
"australia","cloncurry","cloncurry airport","cnj","yccy"
"australia","cobar","cobar airport","caz","ycba"
"australia","cocos (keeling) islands","cocos (keeling) island intl ai","cck","ypcc"
"australia","coen","coen airport","cuq","ycoe"
"australia","coffs harbour","coffs harbour airport","cfs","ysch"
"australia","collarenebri","collarenebri airport","crb","ycbr"
"australia","coober pedy","coober pedy airport","cpd","ycbp"
"australia","coolangatta","gold coast airport","ool","ybcg"
"australia","cooma","cooma - snowy mountains airpor","oom","ycom"
"australia","coonabarabran","coonabarabran airport","coj","ycbb"
"australia","coonamble","coonamble airport","cnb","ycnm"
"australia","cootamundra","cootamundra airport","cmd","yctm"
"australia","corowa","corowa airport","cww","ycor"
"australia","corryong","corryong airport","cyg","ycrg"
"australia","cowra","cowra airport","cwt","ycwr"
"australia","croker island","croker island airport","cki","ycki"
"australia","cue","cue airport","cuy","ycue"
"australia","darwin","darwin intl airport","drw","ypdn"
"australia","deniliquin","deniliquin airport","dno","ydlq"
"australia","derby","derby airport","drb","ydby"
"australia","devonport","devonport airport","dpo","ydpo"
"australia","dirranbandi","dirranbandi airport","drn","ydbi"
"australia","dubbo","dubbo airport","dbo","ysdu"
"australia","dysart","dysart airport","dya","ydys"
"australia","echuca","echuca airport","ech","yech"
"australia","elcho island","elcho island airport","elc","yeld"
"australia","emerald","emerald airport","emd","yeml"
"australia","esperance","esperance airport","epr","yesp"
"australia","essendon north","essendon airport","meb","ymen"
"australia","exmouth","learmonth airport","lea","yplm"
"australia","fitzroy crossing","fitzroy crossing airport","fiz","yftz"
"australia","flinders island","flinders island airport","fls","yfli"
"australia","forbes","forbes airport","frb","yfbs"
"australia","forrest","forrest airport","fos","yfrt"
"australia","geraldton","geraldton airport","get","ygel"
"australia","gladstone","gladstone airport","glt","ygla"
"australia","glen innes","glen innes airport","gli","ygli"
"australia","goulburn","goulburn airport","gul","yglb"
"australia","grafton","grafton airport","gfn","ygfn"
"australia","griffith","griffith airport","gff","ygth"
"australia","groote eylandt","groote eylandt airport","gte","ygte"
"australia","gunnedah","gunnedah airport","guh","ygdh"
"australia","halls creek","halls creek airport","hcq","yhlc"
"australia","hamilton","hamilton airport","hlt","yhml"
"australia","hamilton island","hamilton island airport","hti","ybhm"
"australia","hay","hay airport","hxx","yhay"
"australia","hervey bay","hervey bay airport","hvb","yhba"
"australia","hopetoun","hopetoun airport","htu","yhpn"
"australia","horn island","horn island airport","hid","yhid"
"australia","horsham","horsham airport","hsm","yhsm"
"australia","inverell","inverell airport","ivr","yivl"
"australia","jandakot","jandakot airport","jad","ypjt"
"australia","kalgoorlie","kalgoorlie-boulder airport","kgi","ypkg"
"australia","karratha","karratha airport","kta","ypka"
"australia","karumba","karumba airport","krb","ykmb"
"australia","kempsey","kempsey airport","kps","ykmp"
"australia","kerang","kerang airport","kra","yker"
"australia","king island (currie)","king island airport","kns","ykii"
"australia","kingaroy","kingaroy airport","kgy","ykry"
"australia","kingscote kangaroo island","kingscote airport","kgc","yksc"
"australia","kowanyama","kowanyama airport","kwm","ykow"
"australia","kununurra","kununurra airport","knx","ypku"
"australia","launceston","launceston airport","lst","ymlt"
"australia","leigh creek","leigh creek airport","lgh","ylec"
"australia","leinster","leinster airport","ler","ylst"
"australia","leonora","leonora airport","lno","yleo"
"australia","lightning ridge","lightning ridge airport","lhg","ylrd"
"australia","lismore","lismore airport","lsy","ylis"
"australia","lockhart river","lockhart river airport","irg","ylhr"
"australia","longreach","longreach airport","lre","ylre"
"australia","lord howe island","lord howe island airport","ldh","ylhi"
"australia","mackay","mackay airport","mky","ybmk"
"australia","mallacoota","mallacoota airport","xmc","ymco"
"australia","maningrida","maningrida airport","mng","ymgd"
"australia","mareeba","mareeba airport","mrg","ymba"
"australia","maroochydore","sunshine coast airport","mcy","ybmc"
"australia","mascot","sydney (kingsford smith) intl","syd","yssy"
"australia","meekatharra","meekatharra airport","mkr","ymek"
"australia","melville island","garden point airport","gpn","ygpt"
"australia","melville island","snake bay airport","snb","ysnb"
"australia","merimbula","merimbula airport","mim","ymer"
"australia","mildura","mildura airport","mql","ymia"
"australia","moorabbin","moorabbin airport","mbw","ymmb"
"australia","moranbah","moranbah airport","mov","ymrb"
"australia","moree","moree airport","mrz","ymor"
"australia","moruya","moruya airport","mya","ymry"
"australia","morwell","latrobe valley airport","ltb","yltv"
"australia","mount gambier","mount gambier airport","mgb","ymtg"
"australia","mount isa","mount isa airport","isa","ybma"
"australia","mount keith","mount keith airport","wme","ymne"
"australia","mount magnet","mount magnet airport","mmg","ymog"
"australia","mudgee","mudgee airport","dge","ymdg"
"australia","narrabri","narrabri airport","naa","ynbr"
"australia","narrandera","narrandera airport","nra","ynar"
"australia","narromine","narromine airport","qrm","ynrm"
"australia","newcastle","newcastle - williamtown airpor","ntl","ywlm"
"australia","newman","newman airport","zne","ynwn"
"australia","nhulunbuy","gove airport","gov","ypgv"
"australia","norfolk island","norfolk island airport","nlk","ysnf"
"australia","normanton","normanton airport","ntn","yntn"
"australia","orange","orange airport","oag","yorg"
"australia","orbost","orbost airport","rbs","yorb"
"australia","paraburdoo","paraburdoo airport","pbo","ypbo"
"australia","parkes","parkes airport","pke","ypks"
"australia","port augusta","port augusta airport","pug","ypag"
"australia","port hedland","port hedland intl airport","phe","yppd"
"australia","port keats","port keats airport","pkt","ypkt"
"australia","port lincoln","port lincoln airport","plo","yplc"
"australia","port macquarie","port macquarie airport","pqq","ypmq"
"australia","port pirie","port pirie airport","ppi","ypir"
"australia","portland","portland airport","ptj","ypod"
"australia","proserpine","proserpine-whitsunday coast ai","ppp","ybpn"
"australia","quilpie","quilpie airport","ulp","yqlp"
"australia","redcliffe","perth intl airport","per","ypph"
"australia","redcliffe","redcliffe airport","rcl","yred"
"australia","renmark","renmark airport","rmk","yren"
"australia","robinvale","robinvale airport","rbc","yroi"
"australia","rockhampton","rockhampton airport","rok","ybrk"
"australia","roma","roma airport","rma","yrom"
"australia","roper river","ngukurr airport","rpm","yngu"
"australia","rottnest island","rottnest island airport","rts","yrti"
"australia","saint george","saint george airport","sgo","ysge"
"australia","sale","west sale airport","sxe","ywsl"
"australia","shepparton","shepparton airport","sht","ysht"
"australia","smithton","smithton airport","sio","ysmi"
"australia","southport","southport airport","shq","yspt"
"australia","st helens","st helens airport","hls","ysth"
"australia","stawell","stawell airport","swc","yswl"
"australia","strahan","strahan airport","srn","ysrn"
"australia","swan hill","swan hill airport","swh","yswh"
"australia","tamworth","tamworth airport","tmw","ystw"
"australia","taree","taree airport","tro","ytre"
"australia","taroom","taroom airport","xto","ytam"
"australia","temora","temora airport","tem","ytem"
"australia","tennant creek","tennant creek airport","tca","ytnk"
"australia","thangool","thangool airport","thg","ytng"
"australia","thargomindah","thargomindah airport","xtg","ytgm"
"australia","tibooburra","tibooburra airport","tyb","ytib"
"australia","toowoomba","toowoomba airport","twb","ytwb"
"australia","townsville","townsville intl airport","tsv","ybtl"
"australia","tullamarine","melbourne intl airport","mel","ymml"
"australia","tumut","tumut airport","tum","ytmu"
"australia","wagga wagga","wagga wagga airport","wga","yswg"
"australia","walgett","walgett airport","wge","ywlg"
"australia","wangaratta","wangaratta airport","wgt","ywgt"
"australia","warracknabeal","warracknabeal airport","wkb","ywkb"
"australia","warren","warren airport","qrr","ywrn"
"australia","weipa","weipa airport","wei","ybwp"
"australia","west wyalong","west wyalong airport","wwa","ywwl"
"australia","whyalla","whyalla airport","wya","ywha"
"australia","wiluna","wiluna airport","wun","ywlu"
"australia","windorah","windorah airport","wnr","ywdh"
"australia","winton","winton airport","win","ywtn"
"australia","wollongong","wollongong airport","wol","ywol"
"australia","young","young airport","nga","yyng"
"australia","yulara","ayers rock airport","ayq","yaye"
"austria","feldkirchen","graz","grz","lowg"
"austria","hoersching","linz","lnz","lowl"
"austria","innsbruck","innsbruck","inn","lowi"
"austria","klagenfurt","klagenfurt","klu","lowk"
"austria","salzburg","salzburg","szg","lows"
"austria","wien (vienna)","wien - schwechat","vie","loww"
"azerbaijan","baku","bina","bak","ubbb"
"azerbaijan","gyandzha","gyandzha","kvd","ubbg"
"bahamas","andros","clarence bain airport","may","myab"
"bahamas","andros","san andros airport","saq","myan"
"bahamas","andros town","andros town intl airport","asd","myaf"
"bahamas","arthurs town","arthurs town airport","atc","myca"
"bahamas","chub cay","chub cay intl airport","ccz","mybc"
"bahamas","cockburn town","san salvador airport (cockburn","zsa","mysm"
"bahamas","colonial hill","colonial hill airport","cri","myci"
"bahamas","congo town","congo town airport","cox","myak"
"bahamas","deadman's cay","deadman's cay airport","lgi","myld"
"bahamas","freeport","grand bahama intl airport (fre","fpo","mygf"
"bahamas","governor's harbour","governor's harbour airport","ghb","myem"
"bahamas","great exuma island","exuma intl airport","ggt","myef"
"bahamas","great harbour cay","great harbour cay airport","ghc","mybg"
"bahamas","long island","stella maris airport","sml","myls"
"bahamas","marsh harbour (abaco)","marsh harbour airport","mhh","myam"
"bahamas","matthew town","inagua airport (matthew town a","iga","myig"
"bahamas","mayaguana","mayaguana airport","myg","mymm"
"bahamas","nassau","nassau intl airport","nas","mynn"
"bahamas","new bight","new bight airport","cat","mycb"
"bahamas","norman's cay","norman's cay airport","nmc","myen"
"bahamas","north eleuthera","north eleuthera airport","elh","myeh"
"bahamas","paradise island","new providence airport","pid","mypi"
"bahamas","rock sound","rock sound intl airport","rsd","myer"
"bahamas","south bimini","south bimini airport","bim","mybs"
"bahamas","spring point (acklins)","spring point airport","axp","myap"
"bahamas","staniel cay","staniel cay airport","tym","myes"
"bahamas","treasure cay (abaco)","treasure cay airport","tcb","myat"
"bahrain","bahrain","bahrain intl airport","bah","obbi"
"bangladesh","barisal","barisal airport","bzl","vgbr"
"bangladesh","chittagong","shah amanat intl airport (m.a.","cgp","vgeg"
"bangladesh","comilla","comilla airport","cla","vgcm"
"bangladesh","cox's bazar","cox's bazar airport","cxb","vgcb"
"bangladesh","dhaka","zia intl airport","dac","vgzr"
"bangladesh","jessore","jessore airport","jsr","vgjr"
"bangladesh","rajshahi","rajshahi airport","rjh","vgrj"
"bangladesh","saidpur","saidpur airport","spd","vgsd"
"bangladesh","sylhet","osmani intl airport","zyl","vgsy"
"bangladesh","thakuragaon","thakuragaon airport","tkr","vgsg"
"barbados","brigetown","grantley adams intl","bgi","tbpb"
"belarus","brest","brest","bqt","umbb"
"belarus","gomel","gomel","gme","umgg"
"belarus","grodno","grodno","gna","ummg"
"belarus","minsk","minsk-1","mhp","ummm"
"belarus","minsk","minsk-2","msq","umms"
"belarus","vitebsk","vitebsk","vtb","umii"
"belgium","antwerp","deurne airport","anr","ebaw"
"belgium","brussels","brussels national airport","bru","ebbr"
"belgium","charleroi","brussels south charleroi airpo","crl","ebci"
"belgium","kortrijk","kortrijk-wevelgem airport","kjk","ebkt"
"belgium","liege","liege airport","lgg","eblg"
"belgium","ostend","ostend-bruges intl airport","ost","ebos"
"belize","belize","philip s w goldson intl airpor","bze","mzbz"
"benin","cotonou","cadjehoun","coo","dbbb"
"benin","kandi","kandi","kdc","dbbk"
"benin","natitingou","natitingou","nae","dbbn"
"benin","parakou","parakou","pko","dbbp"
"bermuda","hamilton","hamilton bermuda intl","bda","txkf"
"bhutan","paro","paro airport","pbh","vqpr"
"bolivia","apolo","apolo","apb","slap"
"bolivia","bermejo","bermejo","bjo","slbj"
"bolivia","camiri","camiri","cam","slca"
"bolivia","cobija","cobija","cij","slco"
"bolivia","cochabamba","jorge wilsterman","cbb","slcb"
"bolivia","concepcion","concepcion","cep","slcp"
"bolivia","guayaramerin","cap av emilio beltran","gya","slgy"
"bolivia","la paz","el alto intl","lpb","sllp"
"bolivia","magdalena","magdalena","mgd","slmg"
"bolivia","monteagudo","monteagudo","mhw","slag"
"bolivia","oruro","juan mendoza","oru","slor"
"bolivia","puerto suarez","salvador ogaya","psz","slps"
"bolivia","reyes","reyes","rey","slry"
"bolivia","riberalta","cap de av selin zeitun lopez","rib","slri"
"bolivia","robore","robore","rbo","slrb"
"bolivia","rurrenabaque","rurrenabaque","rbq","slrq"
"bolivia","san borja","capitan german quiroga guardi*","srj","slsb"
"bolivia","san ignacio de moxos","san ignacio de moxos","snm","slsm"
"bolivia","san ignacio de velasco","cap. av. juan cochamanidis sa*","sng","slsi"
"bolivia","san javier","san javier","sjv","sljv"
"bolivia","san joaquin","san joaquin","sjb","sljo"
"bolivia","san ramon","san ramon","srd","slra"
"bolivia","santa cruz","el trompillo","srz","slet"
"bolivia","santa cruz","viru viru intl","vvi","slvr"
"bolivia","sucre","juana azurduy de padilla","sre","slsu"
"bolivia","tarija","capt oriel lea plaza","tja","sltj"
"bolivia","trinidad","jorge henrich arauz","tdd","sltr"
"bolivia","vallegrande","vallegrande","vah","slvg"
"bolivia","villamontes","rafael pabon","vlm","slvm"
"bolivia","yacuiba","yacuiba","byc","slya"
"bosnia-hercegovina","banja luka","banja luka intl airport","bnx","lqbk"
"bosnia-hercegovina","mostar","mostar intl airport","omo","lqmo"
"bosnia-hercegovina","sarajevo","sarajevo intl airport","sjj","lqsa"
"bosnia-hercegovina","tuzla","tuzla intl airport","tzl","lqtz"
"botsuana","francistown","francistown","frw","fbft"
"botsuana","gaborone","sir seretse khama intl","gbe","fbsk"
"botsuana","ghanzi","ghanzi","gnz","fbgz"
"botsuana","jwaneng","jwaneng","jwa","fbjw"
"botsuana","kasane","kasane","bbk","fbke"
"botsuana","khwai river","khwai river","khw","fbkr"
"botsuana","maun","maun","mub","fbmn"
"botsuana","orapa","orapa","orp","fbor"
"botsuana","selebi-phikwe","selebi-phikwe","pkw","fbsp"
"botsuana","shakawe","shakawe","swx","fbsw"
"botsuana","tshabong","tshabong","tby","fbts"
"botsuana","tuli lodge","tuli block","tld","fbtl"
"brazil","aracaju","santa maria airport","aju","sbar"
"brazil","belem","val de c","bel","sbbe"
"brazil","belo horizonte","pampulha domestic airport","plu","sbbh"
"brazil","belo horizonte","tancredo neves intl airport","cnf","sbcf"
"brazil","boa vista","boa vista intl airport","bvb","sbbv"
"brazil","brasilia","presidente juscelino kubitsche","bsb","sbbr"
"brazil","campinas","viracopos intl airport","vcp","sbkp"
"brazil","campo grande","campo grande intl airport","cgr","sbcg"
"brazil","corumba","corumb","cmg","sbcr"
"brazil","cruzeiro do sul","cruzeiro do sul intl airport","czs","sbcz"
"brazil","cuiaba","marechal rondon airport","cgb","sbcy"
"brazil","curitiba","afonso pena intl airport","cwb","sbct"
"brazil","florianopolis","herc","fln","sbfl"
"brazil","fortaleza","pinto martins intl airport","for","sbfz"
"brazil","foz do iguacu","foz do iguacu intl airport","igu","sbfi"
"brazil","goiania","santa genoveva airport","gyn","sbgo"
"brazil","ilheus","jorge amado airport","ios","sbil"
"brazil","imperatriz","prefeito renato moreira airpor","imp","sbiz"
"brazil","joao pessoa","presidente castro pinto intl a","jpa","sbjp"
"brazil","joinville","joinville-lauro carneiro de lo","joi","sbjv"
"brazil","londrina","londrina airport","ldb","sblo"
"brazil","macapa","macapa intl airport","mcp","sbmq"
"brazil","maceio","zumbi dos palmares airport","mcz","sbmo"
"brazil","manaus","eduardo gomes intl airport","mao","sbeg"
"brazil","maraba","maraba airport","mab","sbma"
"brazil","maringa","maringa domestic airport","mgf","sbmg"
"brazil","natal","augusto severo intl airport","nat","sbnt"
"brazil","navegantes","ministro victor konder intl ai","nvt","sbnf"
"brazil","palmas","palmas airport","pmw","sbpj"
"brazil","ponta pora","ponta pora intl airport","pmg","sbpp"
"brazil","porto alegre","salgado filho intl airport","poa","sbpa"
"brazil","porto seguro","porto seguro airport","bps","sbps"
"brazil","porto velho","governador jorge teixeira de o","pvh","sbpv"
"brazil","recife","guararapes intl airport","rec","sbrf"
"brazil","ribeirao preto","leite lopes airport","rao","sbrp"
"brazil","rio branco","presidente medici airport","rbr","sbrb"
"brazil","rio de janeiro","galeao - antonio carlos jobim","gig","sbgl"
"brazil","rio de janeiro","santos dumont regional airport","sdu","sbrj"
"brazil","salvador","deputado luis eduardo magalhae","ssa","sbsv"
"brazil","santarem","santarem airport","stm","sbsn"
"brazil","sao jose do rio preto","sao jose do rio preto airport","sjp","sbsr"
"brazil","sao luis","marechal cunha machado intl ai","slz","sbsl"
"brazil","sao paulo","congonhas intl airport","cgh","sbsp"
"brazil","sao paulo","guarulhos intl airport","gru","sbgr"
"brazil","teresina","senador petronio portella airp","the","sbte"
"brazil","uberlandia","uberlandia airport","udi","sbul"
"brazil","vitoria","goiabeiras airport","vix","sbvt"
"british virgin islands","beef i","beef i intl","eis","tupj"
"british virgin islands","virgin gorda","virgin gorda","vij","tupw"
"brunei darussalam","bandar seri begawan","brunei intl airport","bwn","wbsb"
"bulgaria","burgas","burgas intl airport (sarafovo","boj","lbbg"
"bulgaria","gorna oryahovitsa","gorna oryahovitsa airport","goz","lbgo"
"bulgaria","plovdiv","plovdiv intl airport","pdv","lbpd"
"bulgaria","sofia","sofia airport","sof","lbsf"
"bulgaria","varna","varna intl airport","var","lbwn"
"burkina faso","amilcar cabral de gaoua","amilcar cabral de gaoua","xga","dfog"
"burkina faso","banfora","banfora","bnr","dfob"
"burkina faso","bobo-dioulasso","bobo-dioulasso","boy","dfoo"
"burkina faso","dedougou","dedougou","dgu","dfod"
"burkina faso","dori","dori ville","dor","dfee"
"burkina faso","fada n'gourma","fada n'gourma","fng","dfef"
"burkina faso","gorom-gorom","gorom-gorom","xgg","dfeg"
"burkina faso","kantchari","kantchari","xka","dfel"
"burkina faso","nouna","nouna","xnu","dfon"
"burkina faso","ouagadougou","ouagadougou","oua","dffd"
"burkina faso","ouahigouya","ouahigouya","oug","dfcc"
"burkina faso","tenkodogo","tenkodogo","teg","dfet"
"burundi","bujumbura","bujumbura intl","bjm","hbba"
"burundi","gitega","gitega","gid","hbbe"
"burundi","kirundo","kirundo","kre","hbbo"
"cambodia","battambang combodia","battambang","bbm","vdbg"
"cambodia","phnom penh","pochentong intl","pnh","vdpp"
"cambodia","siem reap cambodia","siem reap","rep","vdsr"
"cameroon","bafoussam","bafoussam","bfx","fkku"
"cameroon","bamenda","bamenda","bpc","fkkv"
"cameroon","batouri","batouri","our","fkki"
"cameroon","bertoua","bertoua","bta","fkko"
"cameroon","douala","douala","dla","fkkd"
"cameroon","dschang","dschang","dsc","fkks"
"cameroon","ebolowa","ebolowa","ebw","fkkw"
"cameroon","foumban","nkounja","fom","fkkm"
"cameroon","garoua","garoua","gou","fkkr"
"cameroon","kribi","kribi","kbi","fkkb"
"cameroon","mamfe","mamfe","mmf","fkkf"
"cameroon","maroua","salak","mvr","fkkl"
"cameroon","n'gaoundere","n'gaoundere","nge","fkkn"
"cameroon","tiko","tiko","tkc","fkkc"
"cameroon","yaounde","nsimalen","nsi","fkys"
"cameroon","yaounde/ville","yaounde/ville","yao","fkky"
"canada","108 mile ranch british columb","108 mile","zmh","czml"
"canada","abbotsford british columbia","abbotsford","yxx","cyxx"
"canada","aklavik northwest territories","aklavik","lak","cykd"
"canada","akulivik quebec","akulivik","akv","cyko"
"canada","alert bay british columbia","alert bay","yal","cyal"
"canada","alert northwest territories","alert","ylt","cylt"
"canada","alma quebec","alma","ytf","cytf"
"canada","amos quebec","amos mun","yey","cyey"
"canada","anahim lake british columbia","anahim lake","yaa","caj4"
"canada","angling lake ontario","wapakeka","yax","ckb6"
"canada","armstrong ontario","armstrong","yyw","cyyw"
"canada","arviat northwest territories","arviat","yek","cyek"
"canada","atikokan ontario","atikokan mun","yib","cyib"
"canada","attawapiskat ontario","attawapiskat","yat","cyat"
"canada","aupaluk quebec","aupaluk","ypj","cyla"
"canada","bagotville quebec","bagotville","ybg","cybg"
"canada","baie-comeau quebec","baie-comeau","ybc","cybc"
"canada","baker lake northwest territor","baker lake","ybk","cybk"
"canada","bathurst new brunswick","bathurst","zbf","czbf"
"canada","bearskin lake ontario","bearskin lake","xbe","cne3"
"canada","beaver creek yukon territory","beaver creek","yxq","cyxq"
"canada","bella bella british columbia","bella bella (denny i)","zel","cyjq"
"canada","bella coola british columbia","bella coola","qbc","cybd"
"canada","berens river manitoba","berens river","ybv","cybv"
"canada","big trout lake ontario","big trout lake","ytl","cytl"
"canada","black tickle newfoundland","black tickle","ybi","cce4"
"canada","bloodvein river manitoba","bloodvein river","ydv","czta"
"canada","bonaventure quebec","bonaventure","yvb","cyvb"
"canada","bonnyville alberta","bonnyville","yby","cybf"
"canada","boundary bay british columbia","boundary bay","ydt","czbb"
"canada","brandon manitoba","brandon muni","ybr","cybr"
"canada","brochet manitoba","brochet","ybt","cybt"
"canada","brockville ontario","brockville","xbr","cnl3"
"canada","bromont quebec","bromont","zbm","czbm"
"canada","bronson creek british columbi","bronson creek","ybm","cab5"
"canada","buffalo narrows saskatchewan","buffalo narrows","yvt","cyvt"
"canada","burns lake british columbia","burns lake","ypz","cypz"
"canada","burwash yukon territory","burwash","ydb","cydb"
"canada","calgary alberta","calgary intl","yyc","cyyc"
"canada","cambridge bay northwest terri","cambridge bay","ycb","cycb"
"canada","campbell river british columb","campbell river","ybl","cybl"
"canada","cape dorset northwest territo","cape dorset","yte","cyte"
"canada","cartwright newfoundland","cartwright nws","yrf","cyca"
"canada","castlegar british columbia","castlegar","ycg","cycg"
"canada","cat lake ontario","cat lake","yac","cyac"
"canada","centralia ontario","huron","yce","cyce"
"canada","chapleau ontario","chapleau","yld","cyld"
"canada","charlevoix quebec","charlevoix","yml","cyml"
"canada","charlo new brunswick","charlo","ycl","cycl"
"canada","charlottetown newfoundland","charlottetown","yhg","cch4"
"canada","charlottetown prince edward i","charlottetown","yyg","cyyg"
"canada","chatham ontario","chatham","xcm","cnz3"
"canada","chesterfield inlet northwest","chesterfield inlet","ycs","cycs"
"canada","chetwynd british columbia","chetwynd","ycq","cycq"
"canada","chevery quebec","chevery","yhr","cyhr"
"canada","chibougamau quebec","chapais","ymt","cymt"
"canada","chilliwack british columbia","chilliwack","ycw","cycw"
"canada","churchill falls newfoundland","churchill falls","zum","czum"
"canada","churchill manitoba","churchill","yyq","cyyq"
"canada","cluff lake saskatchewan","cluff lake","xcl","cjs3"
"canada","clyde river northwest territo","clyde river","ycy","cycy"
"canada","cochrane ontario","cochrane","ycn","cycn"
"canada","cold lake alberta","cold lake","yod","cyod"
"canada","collins bay saskatchewan","collins bay","ykc","cykc"
"canada","colville lake northwest terri","colville lake","yck","ceb3"
"canada","comox british columbia","comox","yqq","cyqq"
"canada","coral harbour northwest terri","coral harbour","yzs","cyzs"
