"bird name","bird family","bird group","scientific name"
"redhead duck","waterfowl","waterfowl","aythya americana"
"redshank","wader","herons egrets and waders","tringa totanus"
"redwing","thrush","chats thrushes and dippers","turdus iliacus"
"reed bunting","bunting","sparrows finches and buntings","emberiza schoeniclus"
"reed warbler","warbler","warblers wheatears & flycatchers","acrocephalus scirpaceus"
"ring-necked duck","waterfowl","waterfowl","aythya collaris"
"ringed plover","wader","herons egrets and waders","charadrius hiaticula"
"ringed teal","waterfowl","waterfowl","callonetta leucophrys"
"rock pipit","pipit","larks wagtails and pipits","anthus petrosus"
"rook","crow","starlings jays and crows","corvus frugilegus"
"rose-breasted grosbeak","grosbeak","american birds","pheucticus ludovicianus"
"rosybill pochard","waterfowl","waterfowl","netta peposaca"
"ruby-throated hummingbird","hummingbird","american birds","archilochus colubris"
"ruddy shelduck","waterfowl","waterfowl","tadorna ferruginea"
"ruddy-headed goose","goose","swans geese and flamingos","chloephaga rubidiceps"
"sand martin","hirundinidae","swifts swallows and martins","riparia riparia"
"sanderling","wader","herons egrets and waders","calidris alba"
"sandhill cranes","crane","american birds","grus canadensis"
"sandwich tern","tern","seabirds","thalasseus sandvicensis"
"savannah sparrow","sparrow","american birds","passerculus sandwichensis"
"scaly sided merganser","waterfowl","waterfowl","mergus squamatus"
"scaly-sided merganser","waterfowl","waterfowl","mergus squamatus"
"scarlet tanager","cardinal","american birds","piranga olivacea"
"sedge warbler","warbler","warblers wheatears & flycatchers","acrocephalus schoenobaenus"
"sedge wren","wren","american birds","cistothorus platensis"
"short-eared owl","bird of prey","birds of prey","asio flammeus"
"skylark","skylark","larks wagtails and pipits","alauda arvensis"
"slate-coloured junco","junco","american birds","junco hyemalis sp."
"smew","waterfowl","waterfowl","mergellus albellus"
"snipe","wader","herons egrets and waders","gallinago gallinago"
"snow goose","goose","swans geese and flamingos","anser caerulescens"
"snow goose - blue morph","goose","swans geese and flamingos","anser caerulescens"
"snowy owl","bird of prey","american birds","bubo scandiacus"
"song sparrow","sparrow","american birds","melospiza melodia"
"song thrush","thrush","chats thrushes and dippers","turdus philomelos"
"south american pochard","waterfowl","waterfowl","netta erythrophthalma"
"south georgia pintail","waterfowl","waterfowl","anas georgica georgica"
"southern pochard","waterfowl","waterfowl","netta erythrophthalma"
"southern silver teal","waterfowl","waterfowl","anas versicolor"
"sparrowhawk","bird of prey","birds of prey","accipiter nisus"
"speckled teal","waterfowl","waterfowl","anas flavirostris"
"spectacled eider","waterfowl","waterfowl","somateria fischeri"
"spotted redshank","wader","herons egrets and waders","tringa erythropus"
"spotted sandpiper","wader","american birds","actitis macularia"
"stonechat","chat","chats thrushes and dippers","saxicola rubicola"
"stonechat - juvenile","chat","chats thrushes and dippers","saxicola rubicola"
"swallow","hirundinidae","swifts swallows and martins","hirundo rustica"
"swan goose","goose","swans geese and flamingos","anser cygnoides"
"tawny owl","bird of prey","birds of prey","strix aluco"
"tennessee warbler","warbler","american birds","vermivora peregrina"
"tree swallow","swallow","american birds","tachycineta bicolor"
"trumpeter cygnets","swan","american birds","cygnus buccinator"
"trumpeter swan","swan","american birds","cygnus buccinator"
"trumpeter swan","swan","swans geese and flamingos","cygnus buccinator"
"tufted duck","waterfowl","waterfowl","aythya fuligula"
"tufted duck - eclipse","waterfowl","waterfowl","aythya fuligula"
"tundra swan","swan","american birds","cygnus columbianus"
"turkey vulture","bird of prey","american birds","cathartes aura"
"turnstone","wader","herons egrets and waders","arenaria interpres"
"turnstones - various plumages","wader","herons egrets and waders","arenaria interpres"
"wandering whistling duck","waterfowl","waterfowl","dendrocygna arcuata"
"waxwing","waxwing","american birds","bombycilla cedrorum"
"waxwings","waxwing","american birds","bombycilla cedrorum"
"wheatear","wheatear","warblers wheatears & flycatchers","oenanthe oenanthe"
"wheatear - juvenile","wheatear","warblers wheatears & flycatchers","oenanthe oenanthe"
"whimbrel","wader","herons egrets and waders","numenius phaeopus"
"whinchat","chat","chats thrushes and dippers","saxicola rubetra"
"whistling swan","swan","swans geese and flamingos","cygnus columbianus"
"white pelican","pelican","american birds","pelecanus erythrorhynchos"
"white winged crossbill","crossbill","american birds","loxia leucoptera"
"white-breasted nuthatch","nuthatch","american birds","sitta carolinensis"
"white-faced whistling duck","waterfowl","waterfowl","dendrocygna viduata"
"white-fronted goose","goose","swans geese and flamingos","anser albifrons"
"white-headed duck","waterfowl","waterfowl","oxyura leucocephal"
"white-throated dipper","dipper","chats thrushes and dippers","cinclus cinclus"
"white-throated dipper - juvenile","dipper","chats thrushes and dippers","cinclus cinclus"
"whitethroat","warbler","warblers wheatears & flycatchers","sylvia communis"
"whooper swan","swan","swans geese and flamingos","cygnus cygnus"
"whooper swans","swan","swans geese and flamingos","cygnus cygnus"
"wild turkey","wildfowl","american birds","meleagris gallopavo"
"wild turkey family","wildfowl","american birds","meleagris gallopavo"
"wild turkeys","wildfowl","american birds","meleagris gallopavo"
"willow tit","tit","tits treecreepers and nuthatches","poecile montana"
"willow warbler","warbler","warblers wheatears & flycatchers","phylloscopus trochilus"
"winter wren","wren","robin wren and dunnock","troglodytes troglodytes"
"wood duck","waterfowl","waterfowl","aix sponsa"
"wood duck - juvenile","waterfowl","waterfowl","aix sponsa"
"wood pigeon","pigeon","pigeons and doves","columba palumbus"
"wood pigeon - juvenile","pigeon","pigeons and doves","columba palumbus"
"yellow wagtail","wagtail","larks wagtails and pipits","motacilla flava"
"yellow warbler","warbler","american birds","geothlypis trichas"
"yellow warbler - nesting","warbler","american birds","geothlypis trichas"
"yellow-bellied sapsucker","woodpecker","american birds","sphyrapicus varius"
"yellow-headed blackbird","icterids","american birds","xanthocephalus xanthocephalus"
"yellowhammer","bunting","sparrows finches and buntings","emberiza citrinella"
"yellowthroat","warbler","american birds","geothlypis trichas"
