"event&nbsp;","from&nbsp;","to&nbsp;","institution&nbsp;","city&nbsp;","country&nbsp;"
"rembrandt: seine epoche seine themen seine welt (rembrandt: his age his themes his world) more...","26&nbsp;nov2005","26&nbsp;mar2006","kunstmuseum st. gallen","st. gallen","switzerland"
"rembrandt: la luz de la sombra (rembrandt: the light of the shade) more...","28&nbsp;nov2005","26&nbsp;feb2006","la pedrera de barcelona centre cultural caixa catalunya","barcelona","spain"
"{exhibition|rembrandt in rotterdam: tekeningen van rembrandt en zijn kring in het museum boijmans van beuningen (rembrandt in rotterdam: drawings of rembrandt and his circle in the museum boijmans van beuningen)|more...}","10&nbsp;dec2005","5&nbsp;mar2006","museum boijmans van beuningen","rotterdam","netherlands"
"rembrandt’s moeder mythe en werkelijkheid (rembrandt’s mother myth and reality) more...","16&nbsp;dec2005","19&nbsp;mar2006","museum de lakenhal","leiden","netherlands"
"a natural attraction: dutch and flemish landscape prints from bruegel to rembrandt more...","17&nbsp;dec2005","12&nbsp;feb2006","philadelphia museum of art","philadelphia pennsylvania","usa"
"rembrandt en de engelse etskunst (rembrandt and english etching) more...","17&nbsp;dec2005","12&nbsp;mar2006","museum het rembrandthuis","amsterdam","netherlands"
"{exhibition|rembrandt: ispiracion por goya (rembrandt an inspiration for goya)|more...}","1&nbsp;jan2006","31&nbsp;dec2006","fundació julià reig","sant julià de lòria","andorra"
"rembrandt ontmaskerd (rembrandt exposed) more...","21&nbsp;jan2006","17&nbsp;apr2006","teylers museum","haarlem","netherlands"
"alle schilderijen van rembrandt in het rijksmuseum (all the rembrandt paintings from the rijksmuseum collection) more...","26&nbsp;jan2006","19&nbsp;feb2006","rijksmuseum","amsterdam","netherlands"
"rembrandt: the consummate etcher and other 17th-century printmakers more...","4&nbsp;feb2006","2&nbsp;apr2006","lowe art museum university of miami","coral gables florida","usa"
"rembrandt? mesteren og hans værksted (rembrandt? the master and his workshop) more...","4&nbsp;feb2006","14&nbsp;may2006","statens museum for kunst","copenhagen","denmark"
"rembrandt et la bible: les eaux-fortes de rembrandt dans la collection frits lugt (rembrandt and the bible: the rembrandt etchings in the frits lugt collection) more...","16&nbsp;feb2006","26&nbsp;mar2006","fondation custodia collection frits lugt","paris","france"
"rembrandt 1606-2006: florilège des collections (rembrandt 1606-2006: choice collections) more...","18&nbsp;feb2006","6&nbsp;aug2006","musée jenisch","vevey","switzerland"
"rembrandt: master printmaker more...","18&nbsp;feb2006","11&nbsp;jun2006","cincinnati art museum","cincinnati ohio","usa"
"rembrandt's printmaking legacy more...","18&nbsp;feb2006","11&nbsp;jun2006","cincinnati art museum","cincinnati ohio","usa"
"rembrandt - radierungen: zum 400. geburtstag des künstlers more...","21&nbsp;feb2006","26&nbsp;mar2006","staatliche graphische sammlung münchen","munich (münchen)","germany"
"rembrandt -caravaggio more...","24&nbsp;feb2006","18&nbsp;jun2006","van gogh museum","amsterdam","netherlands"
"van gogh en rembrandt (van gogh and rembrandt) more...","24&nbsp;feb2006","18&nbsp;jun2006","van gogh museum","amsterdam","netherlands"
"rembrandt's pupils more...","2&nbsp;mar2006","30&nbsp;may2006","rijksmuseum - amsterdam schiphol","schiphol","netherlands"
"rembrandt: what was he thinking? more...","3&nbsp;mar2006","28&nbsp;may2006","toledo museum of art","toledo ohio","usa"
"berliner bilder zu gast & ein rembrandt für aachen (visiting paintings from berlin & a rembrandt for aachen) more...","8&nbsp;mar2006","31&nbsp;dec2007","suermondt-ludwig-museum","aachen","germany"
"really rembrandt? more...","9&nbsp;mar2006","24&nbsp;may2006","rijksmuseum","amsterdam","netherlands"
"rembrandt zum 400. geburtstag: radierungen aus dem kupferstichkabinett der kunsthalle bremen (in celebration of rembrandt's 400th birthday: etchings from the print room of the kunsthalle bremen) more...","12&nbsp;mar2006","28&nbsp;may2006","kunsthalle bremen","bremen","germany"
"rembrandt's prints from the collection of dmitri rovinsky in the hermitage more...","17&nbsp;mar2006","11&nbsp;jun2006","state hermitage museum","st. petersburg","russia"
"rembrandt: la luz de la sombra (rembrandt: the light of shadow) more...","22&nbsp;mar2006","11&nbsp;jun2006","biblioteca nacional de españa","madrid","spain"
"{exhibition|homenaje a rembrandt (1606-1669): arte holandés en la colección del museo nacional de bellas artes (homage to rembrandt (1606-1669): dutch art in the collection of the museo nacional de bellas artes)|more...}","29&nbsp;mar2006","30&nbsp;apr2006","museo nacional de bellas artes","buenos aires","argentina"
"{exhibition|rembrandt examinado (1606-1669) (rembrandt examined (1606-1669))|more...}","29&nbsp;mar2006","30&nbsp;apr2006","museo nacional de bellas artes","buenos aires","argentina"
"rembrandt et son école: dessins de l'ancienne collection royale de dresde (rembrandt and his school: drawings from the former royal collection of dresden) more...","30&nbsp;mar2006","21&nbsp;may2006","fondation custodia collection frits lugt","paris","france"
"rembrandt at 400 more...","1&nbsp;apr2006","18&nbsp;jun2006","herbert f. johnson museum of art","ithaca new york","usa"
"rembrandt: ein virtuose der druckgraphik (rembrandt as an etcher) more...","1&nbsp;apr2006","25&nbsp;jun2006","museum höxter-corvey","höxter","germany"
"rembrandt: zoektocht van een genie (rembrandt: the quest of a genius) more...","1&nbsp;apr2006","2&nbsp;jul2006","museum het rembrandthuis","amsterdam","netherlands"
"rembrandt et le paysage: les eaux-fortes de rembrandt dans la collection frits lugt (rembrandt and landscape: the rembrandt etchings in the frits lugt collection) more...","6&nbsp;apr2006","21&nbsp;may2006","fondation custodia collection frits lugt","paris","france"
"grand gestures: celebrating rembrandt more...","7&nbsp;apr2006","11&nbsp;jun2006","frances lehman loeb art center (vassar college)","poughkeepsie new york","usa"
"huygens ontdekt rembrandt (huygens discovers rembrandt) more...","8&nbsp;apr2006","9&nbsp;jul2006","huygensmuseum hofwijck","voorburg","netherlands"
"masters of the bitten line: etching in the age of rembrandt more...","8&nbsp;apr2006","6&nbsp;aug2006","auckland art gallery toi o tāmaki","auckland","new zealand"
"{exhibition|rembrandt as printmaker|more...}","8&nbsp;apr2006","18&nbsp;jun2006","ferens art gallery","hull","united kingdom"
"rembrandt: master of light and shadow: etchings from the collection of the hood museum of art more...","8&nbsp;apr2006","17&nbsp;sep2006","hood museum of art","hanover new hampshire","usa"
"rembrandt als radierer (rembrandt as an etcher) more...","9&nbsp;apr2006","21&nbsp;may2006","ostfriesisches landesmuseum emden","emden","germany"
"{exhibition|pieter lastman: in rembrandts schatten? (pieter lastman: in rembrandt's shadow?)|more...}","13&nbsp;apr2006","30&nbsp;jul2006","hamburger kunsthalle","hamburg","germany"
"rembrandt de verteller: etsen uit de verzameling frits lugt. (rembrandt the narrator: etchings from the frits lugt collection) more...","13&nbsp;apr2006","3&nbsp;sep2006","museum de lakenhal","leiden","netherlands"
"{symposium|celebrating rembrandt|more...}","22&nbsp;apr2006","22&nbsp;apr2006","hood museum of art","hanover new hampshire","usa"
"rembrandt rouleert (rembrandt in rotation) more...","22&nbsp;apr2006","3&nbsp;sep2006","teylers museum","haarlem","netherlands"
"rembrandt a milano: le incisioni dell'ambrosiana (rembrandt in milan: the etchings of the ambrosiana) more...","4&nbsp;may2006","3&nbsp;sep2006","biblioteca e pinacoteca ambrosiana","milan (milano)","italy"
"rembrandt in zwolle: kunstproject over oude en nieuwe tekeningen (rembrandt in zwolle: an art project with old and new drawings) more...","7&nbsp;may2006","25&nbsp;jun2006","stedelijk museum zwolle","zwolle","netherlands"
"{exhibition|rembrandt puur (the essence of rembrandt)|more...}","12&nbsp;may2006","13&nbsp;aug2006","amsterdam museum","amsterdam","netherlands"
"meeting rembrandt: the 400th anniversary of rembrandt's birth: paintings drawings and prints from the collections of the national museum of art of romania and the library of the romanian academy more...","18&nbsp;may2006","30&nbsp;jul2006","muzeul naţional de arta al româniei","bucharest","romania"
"{exhibition|34 gemälde rembrandts in kassel!: die historische sammlung von landgraf wilhelm viii. (34  paintings of rembrandt in kassel!: the historical collection of landgrave wilhelm viii)|more...}","20&nbsp;may2006","20&nbsp;aug2006","gemäldegalerie alte meister museumslandschaft hessen kassel","kassel","germany"
"{exhibition|rembrandt 1606–1669: from the prints and drawings collection|more...}","24&nbsp;may2006","24&nbsp;sep2006","national gallery of victoria","melbourne","australia"
"rembrandt i konkurenci (rembrandt and his competitors) more...","24&nbsp;may2006","27&nbsp;aug2006","międzynarodowe centrum kultury","cracow (kraków)","poland"
"really rembrandt? more...","1&nbsp;jun2006","5&nbsp;sep2006","rijksmuseum - amsterdam schiphol","schiphol","netherlands"
"{exhibition|rembrandt in prent gebracht (rembrandt engraved)|more...}","1&nbsp;jun2006","27&nbsp;aug2006","prentenkabinet universiteit leiden","leiden","netherlands"
"rembrandt &amp; co: dealing in masterpieces more...","7&nbsp;jun2006","3&nbsp;sep2006","dulwich picture gallery","london","united kingdom"
"rembrandt 400 more...","15&nbsp;jun2006","31&nbsp;dec2006","national gallery","london","united kingdom"
"rembrandts landschaften (rembrandt’s landscapes) more...","23&nbsp;jun2006","17&nbsp;sep2006","gemäldegalerie alte meister museumslandschaft hessen kassel","kassel","germany"
"{exhibition|rembrandt as printmaker|more...}","24&nbsp;jun2006","3&nbsp;sep2006","victoria art gallery","bath","united kingdom"
"{exhibition|rembrandt en dordrecht: dordtse leerlingen van rembrandt (rembrandt and dordrecht: rembrandt pupils from dordrecht)|more...}","24&nbsp;jun2006","6&nbsp;may2007","dordrechts museum","dordrecht","netherlands"
"een zomer met rembrandt (a summer with rembrandt) more...","26&nbsp;jun2006","24&nbsp;sep2006","mauritshuis","den haag (the hague)","netherlands"
"rondom rembrandt (around rembrandt) more...","26&nbsp;jun2006","18&nbsp;sep2006","museum bredius","den haag (the hague)","netherlands"
"rembrandt 400: etchings and drawings more...","29&nbsp;jun2006","29&nbsp;oct2006","szépmüvészeti múzeum","budapest","hungary"
"rembrandt in de propaganda (rembrandt in propaganda) more...","30&nbsp;jun2006","3&nbsp;dec2006","verzetsmuseum","amsterdam","netherlands"
"rondom rembrandt (about rembrandt) more...","30&nbsp;jun2006","30&nbsp;sep2006","koninklijk museum voor schone kunsten (kmska)","antwerpen (antwerp)","belgium"
"happy 400th birthday rembrandt!  etchings from the art gallery of ontario's collection more...","6&nbsp;jul2006","22&nbsp;dec2006","art gallery of ontario (ago)","toronto","canada"
"rembrandt: all his paintings more...","7&nbsp;jul2006","3&nbsp;sep2006","beurs van berlage","amsterdam","netherlands"
"rembrandt de etser (rembrandt the etcher) more...","8&nbsp;jul2006","3&nbsp;sep2006","museum het rembrandthuis","amsterdam","netherlands"
"rembrandt drawings and prints: a selection in honor of the artist's 400th birthday more...","11&nbsp;jul2006","15&nbsp;oct2006","metropolitan museum of art","new york new york","usa"
"celebrating rembrandt: etchings in the morgan more...","15&nbsp;jul2006","1&nbsp;oct2006","morgan library and museum","new york new york","usa"
"from rembrandt to van gogh: three centuries of dutch drawings more...","15&nbsp;jul2006","1&nbsp;oct2006","morgan library and museum","new york new york","usa"
"rembrandt (1606 – 1669): zum 400. geburtstag radierungen aus dem bestand der grafischen sammlungen (rembrandt (1606-1669): to mark his 400th birthday etchings from the holdings of the print room) more...","15&nbsp;jul2006","7&nbsp;jan2007","tiroler landesmuseum ferdinandeum","innsbruck","austria"
"rembrandt entdecken: die 100 schönsten radierungen (discovering rembrandt: the 100 most beautiful etchings) more...","23&nbsp;jul2006","8&nbsp;oct2006","schleswig-holsteinisches landesmuseum schloss gottorf","schleswig","germany"
"{exhibition|rembrandt der zeichner (rembrandt as a draughtsman: the berlin collection)|more...}","4&nbsp;aug2006","5&nbsp;nov2006","kupferstichkabinett staatliche museen zu berlin","berlin","germany"
"rembrandt ein virtuose der druckgraphik (rembrandt a virtuoso of prints) more...","4&nbsp;aug2006","5&nbsp;nov2006","kupferstichkabinett staatliche museen zu berlin","berlin","germany"
"rembrandt: ein genie auf der suche (rembrandt: the quest of a genius) more...","4&nbsp;aug2006","5&nbsp;nov2006","gemäldegalerie staatliche museen zu berlin","berlin","germany"
"alle tekeningen van rembrandt in het rijksmuseum deel 1: de verteller (all the rembrandt drawings in the rijksmuseum part 1: the storyteller) more...","11&nbsp;aug2006","11&nbsp;oct2006","rijksmuseum","amsterdam","netherlands"
"{exhibition|rembrandt and the aesthetics of technique|more...}","1&nbsp;sep2006","10&nbsp;dec2006","harvard art museums/busch-reisinger museum","cambridge massachusetts","usa"
"{exhibition|rembrandt and the aesthetics of technique|more...}","1&nbsp;sep2006","10&nbsp;dec2006","harvard art museums/fogg museum","cambridge massachusetts","usa"
"{exhibition|rembrandt his predecessors and followers|more...}","11&nbsp;sep2006","12&nbsp;nov2006","pushkin state museum of fine arts","moscow (moskva)","russia"
"the big three in printmaking: dürer rembrandt and picasso more...","13&nbsp;sep2006","31&nbsp;dec2006","detroit institute of arts (dia)","detroit michigan","usa"
"rembrandt en de bijbel: alle etsen (rembrandt and the bible: the complete etchings) more...","15&nbsp;sep2006","10&nbsp;dec2006","bijbels museum","amsterdam","netherlands"
"rembrandt radierungen (rembrandt etchings) more...","15&nbsp;sep2006","7&nbsp;jan2007","universalmuseum joanneum - alte galerie","graz","austria"
"rembrandt en uylenburgh handel in meesterwerken (rembrandt and uylenburgh dealing in masterpieces) more...","16&nbsp;sep2006","10&nbsp;dec2006","museum het rembrandthuis","amsterdam","netherlands"
"aus rembrandts kreis: die zeichnungen des braunschweiger kupferstichkabinetts (from rembrandt's circle: drawings from the brunswick-kupferstichkabinett) more...","21&nbsp;sep2006","17&nbsp;dec2006","herzog anton ulrich-museum","braunschweig","germany"
"familienglück: rembrandt und sein braunschweiger meisterwerk (image of a happy family: rembrandt and his masterpiece in braunschweig) more...","21&nbsp;sep2006","17&nbsp;dec2006","herzog anton ulrich-museum","braunschweig","germany"
"{exhibition|rembrandt and the golden age: masterpieces from the rijksmuseum|more...}","24&nbsp;sep2006","7&nbsp;jan2007","dayton art institute","dayton ohio","usa"
"rembrandt et son entourage: les eaux-fortes de rembrandt dans la collection frits lugt: ( rembrandt and his surroundings: the rembrandt etchings in the frits lugt collection:) more...","5&nbsp;oct2006","3&nbsp;dec2006","fondation custodia collection frits lugt","paris","france"
"voyages en france: les dessinateurs hollandais au siècle de rembrandt (travels in france: dutch draftsmen in the age of rembrandt) more...","5&nbsp;oct2006","3&nbsp;dec2006","fondation custodia collection frits lugt","paris","france"
"rembrandt’s landschappen (rembrandt’s landscapes) more...","6&nbsp;oct2006","7&nbsp;jan2007","museum de lakenhal","leiden","netherlands"
"rembrandt: la lumière de l’ombre (rembrandt: the light of shadow) more...","11&nbsp;oct2006","7&nbsp;jan2007","bibliothèque nationale de france","paris","france"
"rembrandt: eaux-fortes de la collection dutuit (rembrandt etchings from the dutuit collection) more...","13&nbsp;oct2006","14&nbsp;jan2007","musée du petit-palais","paris","france"
"alle tekeningen van rembrandt in het rijksmuseum deel 2: de waarnemer (all the rembrandt drawings in the rijksmuseum part 2: the observer) more...","14&nbsp;oct2006","23&nbsp;jan2007","rijksmuseum","amsterdam","netherlands"
"{exhibition|rembrandt as printmaker|more...}","14&nbsp;oct2006","31&nbsp;dec2006","laing art gallery","newcastle upon tyne","united kingdom"
"rembrandts passie: het nieuwe testament in de nederlandse prentkunst van de 16de en 17de eeuw (rembrandt's passion: the new testament in netherlandish printmaking of the 16th and 17th centuries) more...","14&nbsp;oct2006","21&nbsp;jan2007","museum boijmans van beuningen","rotterdam","netherlands"
"rembrandt ve çevresi: desenler (rembrandt and his circle: drawings) more...","17&nbsp;oct2006","7&nbsp;jan2007","pera museum suna and inan kıraç foundation culture and arts enterprises","istanbul","turkey"
"rembrandt dessinateur (rembrandt the draftsman) more...","20&nbsp;oct2006","8&nbsp;jan2007","musée du louvre","paris","france"
"rembrandt: master etchings from st. louis collections more...","20&nbsp;oct2006","14&nbsp;jan2007","saint louis art museum (slam)","st. louis missouri","usa"
"rembrandt maestru al luminii si umbrei (rembrandt master of shadow and light) more...","26&nbsp;oct2006","15&nbsp;dec2006","muzeul naţional brukenthal","sibiu","romania"
"{exhibition|rembrandt: rysunki i ryciny w zbiorach polskich (rembrandt: drawings and prints in polish collections)|more...}","26&nbsp;oct2006","3&nbsp;dec2006","muzeum narodowe w warszawie","warsaw (warszawa)","poland"
"{symposium|visível invisível: homenagem a rembrandt 1606-2006 (visible invisible: homage to rembrandt 1606-2006)|more...}","30&nbsp;oct2006","31&nbsp;oct2006","museu calouste gulbenkian","lisbon (lisboa)","portugal"
"rembrandt e morandi: mutevole danzi di segni incisi (rembrandt and morandi: capricious dances of etched marks) more...","1&nbsp;nov2006","7&nbsp;jan2007","museo morandi","bologna","italy"
"{symposium|rembrandt: wissenschaft auf der suche (rembrandt: the quest of scholarship)|more...}","4&nbsp;nov2006","5&nbsp;nov2006","staatliche museen zu berlin","berlin","germany"
"rembrandt's great subjects: prints from the collection more...","4&nbsp;nov2006","11&nbsp;feb2007","carnegie museum of art","pittsburgh pennsylvania","usa"
"rembrandt's insiders and outsiders: domesticity and itineracy at the boundaries more...","8&nbsp;nov2006","16&nbsp;dec2006","art gallery at the college of staten island cuny","new york new york","usa"
"{exhibition|de joodse rembrandt (the jewish rembrandt)|more...}","10&nbsp;nov2006","4&nbsp;feb2007","joods historisch museum","amsterdam","netherlands"
"{exhibition|51 rembrandt radierungen (51 rembrandt etchings)|more...}","11&nbsp;nov2006","7&nbsp;jan2007","schloss friedenstein","gotha","germany"
"rembrandt and saskia more...","14&nbsp;nov2006","11&nbsp;mar2007","fitzwilliam museum","cambridge","united kingdom"
"rembrandt van rijn „die entführung des ganymed“ (rembrandt van rijn the abduction of ganymede) more...","17&nbsp;nov2006","4&nbsp;feb2007","gemäldegalerie alte meister staatliche kunstsammlungen dresden","dresden","germany"
"strokes of genius: rembrandt's prints and drawings more...","19&nbsp;nov2006","18&nbsp;mar2007","national gallery of art","washington dc","usa"
"rembrandt regained: new rembrandts discovered at the wallace collection more...","23&nbsp;nov2006","25&nbsp;feb2007","wallace collection","london","united kingdom"
"rond en om rembrandt: hollandse prenten uit de gouden eeuw (about and around rembrandt: dutch prints of the golden age) more...","26&nbsp;nov2006","25&nbsp;feb2007","arentshuis musea brugge","brugge (bruges)","belgium"
"{symposium|les rembrandt du louvre état des connaissances (the louvre rembrandts: the state of knowledge)|more...}","1&nbsp;dec2006","1&nbsp;dec2006","musée du louvre","paris","france"
"{symposium|re-reading rembrandt|more...}","2&nbsp;dec2006","2&nbsp;dec2006","amsterdam school for cultural analysis","amsterdam","netherlands"
"rembrandt et les femmes: les eaux-fortes de rembrandt dans la collection frits lugt (rembrandt and women: the rembrandt etchings in the frits lugt collection) more...","14&nbsp;dec2006","4&nbsp;feb2007","fondation custodia collection frits lugt","paris","france"
"rembrandts ruhm: vom wandel der zuschreibungen in schwerin (rembrandts renown: on the change of attributions in schwerin) more...","15&nbsp;dec2006","11&nbsp;mar2007","staatliches museum schwerin","schwerin","germany"
"rembrandt in iran more...","19&nbsp;dec2006","29&nbsp;dec2006","national library of the islamic republic of iran","tehran","iran"
"{exhibition|rembrandt … bouquet final: dessins du kupferstichkabinett de berlin (rembrandt the final flourish: drawings from the kupferstichkabinett berlin)|more...}","12&nbsp;jan2007","11&nbsp;mar2007","fondation custodia collection frits lugt","paris","france"
"rembrandt: the consummate etcher & other 17th-century printmakers more...","14&nbsp;jan2007","8&nbsp;apr2007","hyde collection","glen falls new york","usa"
"{exhibition|meesters en molens: van rembrandt tot mondriaan (artists and windmills: from rembrandt to mondriaan)|more...}","27&nbsp;jan2007","28&nbsp;may2007","noordbrabants museum","den bosch","netherlands"
"{exhibition|rembrandt and the golden age: masterpieces from the rijksmuseum|more...}","28&nbsp;jan2007","6&nbsp;may2007","phoenix art museum","phoenix arizona","usa"
"{symposium|the attribution of the rembrandt paintings in the wallace collection|more...}","1&nbsp;feb2007","1&nbsp;feb2007","wallace collection","london","united kingdom"
"special display of rembrandt drawings more...","22&nbsp;feb2007","3&nbsp;jun2007","courtauld institute","london","united kingdom"
"{exhibition|rembrandt in berlijn: alle tekeningen uit het kupferstichkabinett (rembrandt in berlin: drawings from the kupferstichkabinett)|more...}","22&nbsp;mar2007","28&nbsp;may2007","museum het rembrandthuis","amsterdam","netherlands"
"rembrandt et la nouvelle jérusalem: juifs et chrétiens à amsterdam au siècle d'or (rembrandt and the new jerusalem: jews and christians in amsterdam in the golden age) more...","28&nbsp;mar2007","1&nbsp;jul2007","musée d'art et d'histoire du judaïsme","paris","france"
"{exhibition|rembrandt as printmaker|more...}","28&nbsp;apr2007","24&nbsp;jun2007","potteries museum and art gallery","stoke-on-trent","united kingdom"
"{exhibition|rembrandt and the golden age: masterpieces from the rijksmuseum|more...}","26&nbsp;may2007","16&nbsp;sep2007","portland art museum","portland oregon","usa"
"rembrandt and the golden age more...","12&nbsp;jun2007","22&nbsp;jul2007","saba cultural and artistic institute","tehran","iran"
"{presentation|a masterpiece visits prague: rembrandt van rijn - a bearded man in a cap|more...}","13&nbsp;jun2007","31&nbsp;jan2008","národní galerie v praze","prague (praha)","czech republic"
"{exhibition|meesters en molens: van rembrandt tot mondriaan (artists and windmills: from rembrandt to mondriaan)|more...}","15&nbsp;jun2007","2&nbsp;sep2007","museum bredius","den haag (the hague)","netherlands"
"rembrandt to thiebaud: a decade of collecting works on paper more...","23&nbsp;jun2007","7&nbsp;oct2007","fine arts museums of san francisco legion of honor museum","san francisco california","usa"
"{exhibition|dutch portraits: the age of rembrandt and frans hals|more...}","27&nbsp;jun2007","16&nbsp;sep2007","national gallery","london","united kingdom"
"{exhibition|rembrandt as printmaker|more...}","30&nbsp;jun2007","18&nbsp;sep2007","grundy art gallery","blackwell","united kingdom"
