"centre","country","#of patients"
"wansbeck general hospital","uk","6"
"royal liverpool university hospital","uk","5"
"university hospital mas","sweden","5"
"belfast city hospital","uk","5"
"city hospital sandwell & west birmingham hospital","uk","5"
"princess royal hospital brighton &  sussex university hospitals trust","uk","5"
"vastervik hospital","sweden","5"
"sunderland royal hospital","uk","4"
"royal preston hospital","uk","4"
"royal london hospital","uk","4"
"royal west sussex nhs trust st richard's hospital","uk","4"
"the royal wolverhampton hospitals nhs trust","uk","4"
"clinica dr pederzoli spa","italy","4"
"university hospital of northern sweden","sweden","4"
"alesund sjukehus","norway","4"
"ospedale di cattinara - trieste","italy","4"
"morriston hospital","uk","4"
"queen's hospital romford","uk","4"
"visby hospital","sweden","4"
"helsingborgs lasarett","sweden","4"
"leicester general hospital","uk","3"
"instituto nacional de neurologia y neurojrugia mvs","mexico","3"
"krankenhaus g�ttlicher heiland","austria","3"
"the queen elizabeth hospital birmingham","uk","3"
"sundsvall hospital","sweden","3"
"colchester hospital university foundation trust","uk","3"
"great western hospital","uk","3"
"nevill  hall hospital aneurin bevan local health","uk","3"
"darent valley hospital dartford & gravesham nhs trust","uk","3"
"ulster hospital","uk","3"
"ospedale civile san matteo degli infermi - spoleto","italy","2"
"**leicester royal infirmary","uk","2"
"medisinsk avdeling asher and baerum hospital","norway","2"
"john radcliffe hospital","uk","2"
"ospedale silvestrini - perugia","italy","2"
"sykehuset namsos","norway","2"
"university hospital lund","sweden","2"
"derriford hospital","uk","2"
"mater salutis hospital legnago vr","italy","2"
"salford royal hospital foundation nhs trust","uk","2"
"queen elizabeth hospital (kings lynn)","uk","2"
"karlstad central hospital","sweden","1"
"victoria hospital","uk","1"
"universit�tsspital z�rich","switzerland","1"
"medway maritime hospital","uk","1"
"vasteras hospital","sweden","1"
"sandwell general hospital","uk","1"
"southampton general hospital","uk","1"
"west cumberland hospital","uk","1"
"spsk im. prof. w. orlowskiego cmkp","poland","1"
"volda sjukehus","norway","1"
"warrington & halton hospitals nhs foundation trust","uk","1"
"torbay hospital","uk","1"
"ospedale guglielmo da saliceto - piacenza","italy","1"
