"name","h�he","typ","baujahr","see","kanton"
"naret ii","45          m","pg","1970","31.60 mio m3","ticino"
"st-barth&#233;lemy b","45          m","va","1975","0.15 mio m3","valais/wallis"
"vieux-emosson","45          m","va","1955","13.80 mio m3","valais/wallis"
"zervreila a'becken","44          m","er","1957","0.14 mio m3","graub&#252;nden/grigioni"
"garichte","42          m","pg","1931","3.29 mio m3","glarus"
"orden","42          m","va","1971","1.67 mio m3","graub&#252;nden/grigioni"
"sanetsch","42          m","pg","1965","2.80 mio m3","valais/wallis"
"seeuferegg","42          m","pg","1932","101.00 mio m3","bern"
"carmena","40          m","va","1969","0.30 mio m3","ticino"
"egschi","40          m","pg","1949","0.40 mio m3","graub&#252;nden/grigioni"
"carassina","39          m","va","1963","0.31 mio m3","ticino"
"bannalp","37          m","te","1937","1.70 mio m3","nidwalden"
"g&#246;schenerreuss","36          m","pg","1949","0.10 mio m3","uri"
"sella","36          m","pg","1947","9.20 mio m3","ticino"
"z&#246;t","36          m","va","1967","1.65 mio m3","ticino"
"gelmer","35          m","pg","1929","14.00 mio m3","bern"
"godey","35          m","te","1974","0.93 mio m3","valais/wallis"
"verbois","34          m","pg","1943","12.00 mio m3","gen&#232;ve"
"ch&#226;telard cff","33          m","te","1975","0.25 mio m3","valais/wallis"
"in den schlagen","33          m","pg","1936","96.50 mio m3","schwyz"
"lessoc","33          m","cb","1976","1.50 mio m3","fribourg/freiburg"
"runcahez","33          m","pg","1961","0.48 mio m3","graub&#252;nden/grigioni"
"les cl&#233;es","32          m","pg","1955","0.74 mio m3","vaud"
"pfaffensprung","32          m","va","1921","0.15 mio m3","uri"
"rempen","32          m","pg","1924","0.50 mio m3","schwyz"
"turtmann","32          m","va","1958","0.80 mio m3","valais/wallis"
"val d'ambra","32          m","te","1965","0.40 mio m3","ticino"
"bagnes gd","31          m","te","1957","0.30 mio m3","valais/wallis"
"rhodannenberg","30          m","te","1910","56.40 mio m3","glarus"
"rossini&#232;re","30          m","pg","1972","2.90 mio m3","vaud"
"tobel","30          m","va","1989","0.10 mio m3","uri"
"barcuns","29          m","pg","1947","0.12 mio m3","graub&#252;nden/grigioni"
"m&#252;hleberg","29          m","pg","1920","25.00 mio m3","bern"
"muslen","29          m","pg","1908","0.08 mio m3","st. gallen"
"wettingen","29          m","pg","1933","3.35 mio m3","aargau"
"ferp&#232;cle","28          m","va","1964","0.10 mio m3","valais/wallis"
"innerferrera","28          m","pg","1961","0.23 mio m3","graub&#252;nden/grigioni"
"steinibach","28          m","pg","2000","0.02 mio m3","luzern"
"mattenalp","27          m","pg/te","1950","2.10 mio m3","bern"
"piora","27          m","pg","1920","53.90 mio m3","ticino"
"lago bianco s&#252;d","26          m","pg","1912","18.60 mio m3","graub&#252;nden/grigioni"
"l&#246;bbia","26          m","pg","1959","0.20 mio m3","graub&#252;nden/grigioni"
"illsee","25          m","pg","1923","6.60 mio m3","valais/wallis"
"schlattli","25          m","pg","1965","0.36 mio m3","schwyz"
"tannensee","25          m","te","1958","3.80 mio m3","obwalden"
"alp dado","24          m","te","1995","0.06 mio m3","graub&#252;nden/grigioni"
"g&#252;bsensee ost","24          m","pg","1900","1.50 mio m3","st. gallen"
"maigrauge","24          m","pg","1872","0.40 mio m3","fribourg/freiburg"
"darbola","22          m","pg","1958","0.11 mio m3","graub&#252;nden/grigioni"
"le pontet","22          m","pg","1970","0.07 mio m3","vaud"
"r&#252;tiweiher","22          m","te","1836","0.20 mio m3","st. gallen"
"schlundbach","22          m","va/pg","2000","0.01 mio m3","luzern"
"serra","22          m","va","1952","0.20 mio m3","valais/wallis"
"zen binnen","22          m","va","1953","0.17 mio m3","valais/wallis"
"hospitalet","21          m","pg","1962","0.01 mio m3","valais/wallis"
"jougnenaz","21          m","pg","1937","0.01 mio m3","vaud"
"lor&#233;","21          m","te","1996","0.07 mio m3","ticino"
"secada","21          m","va","1982","","ticino"
"airolo","20          m","pg/te","1968","0.37 mio m3","ticino"
"bortelsee","20          m","er","1989","3.66 mio m3","valais/wallis"
"burvagn","20          m","pg","1949","0.20 mio m3","graub&#252;nden/grigioni"
"chapfensee nord","20          m","pg","1948","0.43 mio m3","st. gallen"
"isenthal","20          m","pg","1955","0.03 mio m3","uri"
"les esserts","20          m","te","1973","0.26 mio m3","valais/wallis"
"othmarhang","20          m","te","2000","0.06 mio m3","valais/wallis"
"plans mayens","20          m","te","1971","0.13 mio m3","valais/wallis"
"pr&#228;","20          m","pg","1961","0.00 mio m3","graub&#252;nden/grigioni"
"preda","20          m","va","1961","0.27 mio m3","graub&#252;nden/grigioni"
"proz-riond","20          m","te","1957","51.00 mio m3","valais/wallis"
"simmenporte","20          m","pg","1908","0.25 mio m3","bern"
"sosto","20          m","va","1963","","ticino"
"totensee","20          m","pg","1950","2.60 mio m3","valais/wallis"
"bremgarten-zufikon","19          m","pg","1975","2.20 mio m3","aargau"
"buchholz","19          m","pg","1892","0.25 mio m3","st. gallen"
"les mar&#233;cottes","19          m","mv","1925","0.05 mio m3","valais/wallis"
"sihl-h&#246;fe","19          m","pg","1961","0.08 mio m3","schwyz"
"brigels","18          m","te","1960","0.30 mio m3","graub&#252;nden/grigioni"
"garichte nebenmauer","18          m","pg","1931","3.29 mio m3","glarus"
"k&#228;ppelistutz","18          m","pg","1945","0.06 mio m3","nidwalden"
"la fouly","18          m","pg","1972","0.02 mio m3","valais/wallis"
"arnensee","17          m","te","1942","10.50 mio m3","bern"
"greuel","17          m","te","1984","0.11 mio m3","aargau"
"g&#252;bsensee west","17          m","te","1900","1.50 mio m3","st. gallen"
"h&#252;hnermatt","17          m","te","1937","96.50 mio m3","schwyz"
"icogne","17          m","te","1962","0.04 mio m3","valais/wallis"
"list","17          m","pg","1901","0.04 mio m3","appenzell a.-rh."
"pilgersteg","17          m","pg","1920","0.07 mio m3","z&#252;rich"
"plan-dessous","17          m","pg","1957","0.10 mio m3","vaud"
"sch&#246;ni","17          m","pg","1961","0.02 mio m3","uri"
"sternenweiher","17          m","te","1874","0.10 mio m3","z&#252;rich"
"esslingen","16          m","te","1988","0.10 mio m3","z&#252;rich"
"teufenbachweiher","16          m","te","1895","0.23 mio m3","z&#252;rich"
"ual da mulin","16          m","te","1962","0.06 mio m3","graub&#252;nden/grigioni"
"arniboden s&#252;d","15          m","te","1910","0.24 mio m3","uri"
"croix","15          m","te","1955","0.09 mio m3","valais/wallis"
"gi&#233;troz-du-fond","15          m","pg","1965","0.02 mio m3","valais/wallis"
"la luette","15          m","pg","1918","0.40 mio m3","valais/wallis"
"lago bianco nord","15          m","pg","1912","18.60 mio m3","graub&#252;nden/grigioni"
"le chalet","15          m","pg","1894","0.10 mio m3","vaud"
"safien-platz","15          m","te","1957","0.24 mio m3","graub&#252;nden/grigioni"
"schw&#228;nberg","15          m","va","1916","0.08 mio m3","appenzell ar / st.gallen"
"vordersee","15          m","te","1986","0.56 mio m3","valais/wallis"
"waldialp nord","15          m","te","1961","0.25 mio m3","schwyz"
