"code","airport name","city","state"
"fat","fresno air terminal","fresno","ca"
"mke","general mitchell international airport","milwaukee","wi"
"grr","gerald r. ford international airport","grand rapids","mi"
"gcn","grand canyon national park airport","grand canyon","az"
"roc","greater rochester international airport","rochester","ny"
"gsp","greenville/spartanburg airport","greenville","sc"
"gum","guam international airport","agana","gu"
"gpt","gulfport-biloxi international airport","gulfport","ms"
"mdt","harrisburg international airport","harrisburg","pa"
"ito","hilo international airport","hilo","hi"
"hou","hobby airport","houston","tx"
"hnl","honolulu international airport","honolulu","hi"
"hsv","huntsville international airport","huntsville","al"
"ind","indianapolis international airport","indianapolis","in"
"jan","jackson-evers international airport","jackson","ms"
"jax","jacksonville international airport","jacksonville","fl"
"jfk","john f. kennedy international airport","new york","ny"
"sna","john wayne airport","orange county","ca"
"jnu","juneau international airport","juneau","ak"
"ogg","kahului airport","kahului","hi"
"mci","kansas city international airport","kansas city","mo"
"koa","kona international airport","keahole","hi"
"lga","la guardia airport","new york","ny"
"stl","lambert-st. louis international airport","saint louis","mo"
"abe","lehigh valley international airport","allentown","pa"
"lih","lihue airport","lihue","hi"
"lit","little rock national airport","little rock","ar"
"lgb","long beach airport","long beach","ca"
"lax","los angeles international airport","los angeles","ca"
"sdf","louisville international airport","louisville","ky"
"lbb","lubbock international airport","lubbock","tx"
"sju","luis munoz marin international airport","san juan","pr"
"isp","macarthur airport","islip","ny"
"mht","manchester airport","manchester","nh"
"las","mccarran international airport","las vegas","nv"
"tys","mcghee tyson airport","knoxville","tn"
"mem","memphis airport","memphis","tn"
"mia","miami international airport","miami","fl"
"maf","midland international airport","midland","tx"
"msp","minneapolis/st. paul international airport","minneapolis","mn"
"myr","myrtle beach airport","myrtle beach","sc"
"bna","nashville international airport","nashville","tn"
"msy","new orleans international airport","new orleans","la"
"ewr","newark liberty international airport","newark","nj"
"phf","newport news/williamsburg international airport","newport news","va"
"orf","norfolk international airport","norfolk","va"
"xna","northwest arkansas regional airport","fayetteville","ar"
"oak","oakland international airport","oakland","ca"
"ont","ontario international airport","ontario","ca"
"mco","orlando international airport","orlando","fl"
"sfb","orlando sanford international airport","sanford","fl"
"pbi","palm beach international airport","west palm beach","fl"
"psp","palm springs international airport","palm springs","ca"
"pns","pensacola regional airport","pensacola","fl"
"phl","philadelphia international airport","philadelphia","pa"
"phx","phoenix sky harbor international airport","phoenix","az"
"gso","piedmont triad international airport","greensboro","nc"
"pit","pittsburgh international airport","pittsburgh","pa"
"cmh","port columbus international airport","columbus","oh"
"pdx","portland international airport","portland","or"
"pwm","portland international jetport","portland","me"
"mli","quad city international airport","moline","il"
"rdu","raleigh-durham international airport","rdu airport","nc"
"rno","reno-tahoe international airport","reno","nv"
"ric","richmond international airport","richmond","va"
"dca","ronald reagan washington national airport","washington","dc"
"smf","sacramento international airport","sacramento","ca"
"gsn","saipan international airport","saipan island","cq"
"slc","salt lake city international airport","salt lake city","ut"
"sat","san antonio international airport","san antonio","tx"
"san","san diego international airport","san diego","ca"
"sfo","san francisco international airport","san francisco","ca"
"sjc","san jose international airport","san jose","ca"
"sba","santa barbara airport","santa barbara","ca"
"srq","sarasota-bradenton international airport","sarasota","fl"
"sav","savannah/hilton head international airport","savannah","ga"
"sea","seattle/tacoma international airport","seattle","wa"
"sbn","south bend regional airport","south bend","in"
"rsw","southwest florida international airport","fort myers","fl"
"geg","spokane international airport","spokane","wa"
"pie","st. petersburg-clearwater international airport","saint petersburg","fl"
"syr","syracuse hancock international airport","syracuse","ny"
"pvd","t.f. green airport","providence","ri"
"tlh","tallahassee regional airport","tallahassee","fl"
"tpa","tampa international airport","tampa","fl"
"tus","tucson international airport","tucson","az"
"tul","tulsa international airport","tulsa","ok"
"hrl","valley international airport","harlingen","tx"
"iad","washington dulles international airport","washington","dc"
"hpn","westchester county airport","white plains","ny"
"ict","wichita mid-continent airport","wichita","ks"
"okc","will rogers world airport","oklahoma city","ok"
