"animal","young","female","male","group","adjective","meat"
"hyena","cub pup whelp","bitch","dog","{[7]|[9]}","hyenine","NULL"
"iguana","NULL","NULL","NULL","NULL","iguanine","NULL"
"jackal","pup","NULL","NULL","pack","NULL","NULL"
"jaguar","cub","NULL","NULL","NULL","NULL","NULL"
"[[jay blue]","chick","hen","cock","charm","NULL","NULL"
"jellyfish","{planula|polyp|ephyra|[29]}","sow","boar","{bloom|[11]|[9]|[11]|[3]|[30]}","scyphozoan","NULL"
"kangaroo","joey","flyer doe jill roo","boomer buckjack","mob troop court herd","macropodine","NULL"
"koala","joey","doe","buck","colony population","phascolarctine","NULL"
"komodo dragon","hatchling chick calf","cow hen","bull cock","bank","varanine","NULL"
"kouprey","calf","cow","bull","herd","sauveline bovine","NULL"
"kudu","calf","cow","bull","herd","NULL","NULL"
"lark","chick","hen","cock","exaltation","alaudine","NULL"
"lemur","infant","princess","dictator","plot congress conspiracy","lemurine","NULL"
"leopard","cub","leopardess","leopard prowl spot (has been proposed)","leap lepe","pardine","NULL"
"lion","cub[15]","lioness","lion","pride sawt","leonine","NULL"
"llama","cria","hembra","macho","{herd|flock}","camelid","NULL"
"lobster","NULL","hen[4]","cock[4]","NULL","homarine","NULL"
"locust","nymph","—","—","cloud host plague swarm","caelifera","NULL"
"loris","infant","NULL","NULL","colony[31]","lorisine[32]","NULL"
"louse","nymph","—","—","colony infestation lice","pediculine","NULL"
"lyrebird","NULL","hen","cock","musket","menurine","NULL"
"magpie","chick","hen","cock","tiding tittering tribe gulp murder charm flock","garruline","NULL"
"mallard","duckling","hen","drake","brace flush lute puddling sord","anatine","poultry"
"manatee","calf","cow","bull","herd","manatine sirenian","NULL"
"meerkat","pup","—","—","clan gang mob","NULL","NULL"
"mink","cub kit","sow","boar","NULL","musteline","NULL"
"mole","pup","sow","boar","labour company movement","talpine","NULL"
"monkey","infant boy/girl","—","—","tribe troop[11]","simian","NULL"
"moose","calf[10]","cow[10]","{[10]|[24]}","herd","cervine","venison"
"mouse","kitten pinky/fuzzy/crawler/hopper (as pet food)[33] pup","doe","buck","colony harvest horde mischief nest","murine","NULL"
"mosquito","nymph wriggler tumbler","—","—","scourge swarm cloud","aedine anopheline","NULL"
"mule","foal","molly mare mule","john horse mule","barren pack span rake","NULL","NULL"
"narwhal","calf","-","-","blessing[citation needed]","-","NULL"
"newt","eft[34]","-","-","-","-","NULL"
"nightingale","chick","hen","cock","watch flock route match","philomelian","NULL"
"okapi","calf","cow","bull","herd","okapine","NULL"
"[[opossum]","ljoey","jill","jack","NULL","NULL","NULL"
"oryx","calf","NULL","NULL","NULL","NULL","NULL"
"ostrich","hatchling chick","hen","cock","flock troop","ratite struthious","NULL"
"otter","pup whelp","sow","boar","romp bevy lodge family raft","musteline lutrine","NULL"
"owl","fledgling owlet","NULL","NULL","parliament stare wisdom","strigine","NULL"
"ox","calf","cow","bull steer","yoke team drove herd","bovine","NULL"
"oyster","spat","NULL","NULL","bed hive cast culch","ostracine","meat"
"[[panda - see bear]","NULL","NULL","NULL","NULL","NULL","NULL"
"panther","cub","pantheress","NULL","NULL","pantherine","NULL"
"[[parrot]","chick","hen","cock","company flock","NULL","NULL"
"partridge","chick","hen chantelle","cock","covey","perdicine","NULL"
"peafowl","chick peachick","peahen","peacock","party muster ostentation pride","pavonine","poultry"
"pelican","chick nestling","NULL","NULL","scoop pod[7]","NULL","NULL"
"penguin","chick nestling","NULL","NULL","rookery waddle colony (on land) raft (in water) [35]","spheniscine","NULL"
"{pig|[note 11]}","piglet shoat/shote (a young just weaned pig) gilt (female)","sow","boar","herd drove mob drift litter sounder","porcine suilline","{pork|ham|bacon}"
"pigeon","squab squeaker","hen","cock","flight loft flock kit team","pullastrine","squab"
"platypus","platypus","NULL","NULL","puddle","NULL","NULL"
"pony","foal (either sex) colt (young immature male) filly (young immature female)","mare","stallion","herd marmalade string","equine","NULL"
"porcupine","pup","sow","boar","prickle","hystricine","NULL"
"[[porpoise]","calf","cow","bull","herd pod school","NULL","NULL"
"[[prairie dog]","pup","sow","boar","coterie town","NULL","NULL"
"quelea","chick","hen","cock","flock swarm","queline","NULL"
"rabbit","bunny kit kitten nestling","doe jill","buck jack","warren nest colony bevy bury drove trace leash","leporine","NULL"
"raccoon","cub kit","sow","boar","nursery gaze","procyonine","NULL"
"rail","chick","reeve","ruff","NULL","ralline","NULL"
"ram","lamb","ewe","ram","flock","arietine ovine","lamb and mutton"
"rat","kitten nestling pinkie pup calf[6]","doe cow","buck bull","colony horde mischief pack plague swarm","murine","NULL"
"raven","NULL","NULL","NULL","{[1]|[36]|[citation needed]}","corvine","NULL"
"red deer","calf","hind","stag","herd","NULL","venison"
"red panda","cub","sow","boar","pack","ailuirine","NULL"
"reindeer (caribou)","calf","cow","bull","herd","rangiferine","NULL"
"rhinoceros","calf","cow","bull","crash herd","ceratorhine","NULL"
"rook","NULL","NULL","NULL","{[11]|[11]|[37]}","NULL","NULL"
"salamander","tadpole salamanderling","sow","boar","maelstrom band","caudatan","NULL"
"[[sand dollar]","larva pluteus (free swimming stage) juvenile (young urchin)","NULL","NULL","NULL","NULL","NULL"
"sea lion","pup calf","cow","bull","pod colony crash flock harem bob herd rookery team hurdle","otarine","NULL"
"[[sea urchin]","larva pluteus (free swimming stage) juvenile (young urchin)","NULL","NULL","NULL","NULL","NULL"
"seahorse","seafoal","seamare","seastallion","shoal","hippocampal","NULL"
"seal","pup[6]","cow","bull","pod rookery bob herd harem","phocine","NULL"
"seastar","chick","hen","cock","group school","asteridan","NULL"
"serval","kitten","NULL","NULL","NULL","NULL","NULL"
"shark","cub[15]","NULL","bull","frenzy school shiver","selachian","flake (aus)"
"sheep","lamb lambkin cosset","ewe dam","ram[note 8] buck","drift drove mob flock trip herd","ovine","{lamb|mutton|hoggett}"
"shrew","shrewlet baby","sow","boar","colony race drove","soricine","NULL"
"skunk","kit","sow","boar[4]","surfeit","NULL","NULL"
"snail","-","n/a","n/a","hood","gastropodian","escargot"
"snake","snakelet hatchling (a newly-hatched snake) neonate(newborn)","—","—","pit nest or bed","anguine elapine serpentine viperine ophidian","NULL"
"spider","spiderling","NULL","NULL","cluster clutter","arachnine arachnoid","NULL"
"squid","chick","hen","cock","roundup audience","tethidine","calamari"
"squirrel","pup kit kitten","doe","buck","squad dray scurry[20]","sciurine","NULL"
"stinkbug","nymph","NULL","NULL","intrusion","pentatomidae","NULL"
"swallow","NULL","NULL","NULL","flight","NULL","NULL"
"swan","cygnet flapper","pen","cob","bevy game flock herd team wedge","cygnine","NULL"
"tapir","calf","cow","bull","measure herd","tapirine","NULL"
"tarsier","infant","doe","buck","herd plot harem troop","tarsiine","NULL"
"termite","larva","cow","bull","colony swarm","NULL","NULL"
"tiger","cub[15] whelp","tigress","tiger","{[7]|[20]}","tigrine","NULL"
"toad","tadpole toadlet","—","—","{[7]|[9]}","ranine batrachian","NULL"
"trout","fingerling","NULL","NULL","hoover","NULL","NULL"
"turkey","poult","hen","tom gobbler stag jake (immature)","cream rafter","NULL","poultry"
"turtle","hatchling","—","—","bale dule","chelonian","NULL"
"vicuña","calf","cow señorita","bull señor","posse herd","cameline","NULL"
"wallaby","joey","jill","jack","mob","NULL","NULL"
"walrus","calf","cow","bull","herd flock pod","odobenine","NULL"
"wasp -see also bee","larva","queen worker","drone","swarm hive colony","vespine","NULL"
"water buffalo","calf","cow","bull","pot","NULL","carabeef"
"weasel","pup kit","bitch doe jill","buck dog hub jack","sneak gang[38]","musteline","NULL"
"whale","calf[17]","cow[18]","bull","gam grind pod herd school","cetacean cetaceous","blubber"
"wolf","cub pup[6] whelp","bitch she-wolf","dog","pack rout","lupine","NULL"
"wombat","joey chick","jill","jack","wisdom mob","NULL","NULL"
"woodpecker","chick","NULL","NULL","descent","NULL","NULL"
"worm","wormlet","NULL","NULL","bed bunch clew squirm wiggle","helminthic vermian","NULL"
"wren","chick","cow","bull","herd cabinet","NULL","NULL"
"yak","calf","cow","bull","herd cabinet","NULL","NULL"
"zebra","colt foal","mare","stallion","{[7]|[39]|[39]|[7]|[39]}","zebrine hippotigrine","NULL"
