"wrestler","height","weight"
"kama mustafaa","6'6&quot;","340 lbs."
"kane","6'9&quot;","320 lbs."
"ken shamrock","6'0","235 lbs."
"kevin nash","6'11&quot;","356 lbs."
"king kong bundy","6'4&quot;","446 lbs."
"koko b. ware","5'9&quot;","229 lbs."
"konnan","5'10&quot;","237 lbs."
"leif cassidy","6'1&quot;","231 lbs."
"lex luger","6'5&quot;","265 lbs."
"mabel","6'10&quot;","568 lbs."
"mankind","6'3&quot;","287 lbs."
"marc mero","6'1&quot;","235 lbs."
"mark jindrak","6'6&quot;","271 lbs."
"marty jannetty","5'11&quot;","230 lbs."
"meng","6'0&quot;","273 lbs."
"mo","6'1&quot;","285 lbs."
"mr. fuji","unknown","249 lbs."
"mr. hughes","6'5&quot;","308 lbs."
"nailz","6'5&quot;","271 lbs."
"owen hart","5'11&quot;","227 lbs."
"paul roma","5'11&quot;","235 lbs."
"philip lafon","5'11&quot;","235 lbs."
"phinneas i. godwinn","6'7&quot;","310 lbs."
"randy savage","6'2&quot;","245 lbs."
"raven","6'1&quot;","235 lbs."
"razor ramon (fake)","6'5&quot;","285 lbs."
"red rooster","unknown","240 lbs."
"rey mysterio jr","5'3&quot;","140 lbs."
"ric flair","6'1&quot;","243 lbs."
"rick martel","6'0&quot;","234 lbs."
"rick rude","6'3&quot;","251 lbs."
"rick steiner","5'11&quot;","248 lbs."
"rob van dam","6'0","227 lbs."
"rock the","6'5&quot;","?? lbs."
"ronnie garvin","unknown","242 lbs."
"savio vega","5'10&quot;","256 lbs."
"scott hall","6'8&quot;","290 lbs."
"scott norton","6'3&quot;","340 lbs."
"scott steiner","6'1&quot;","235 lbs."
"sgt. slaughter","6'3&quot;","310 lbs."
"shawn michaels","6'0&quot;","235 lbs."
"skip","5'8&quot;","226 lbs."
"spike dudley","5'6&quot;","155 lbs."
"stone cold steve steve austin","6'3&quot;","256 lbs."
"the sultan","6'2&quot;","260 lbs."
"sycho sid","6'10&quot;","313 lbs."
"syxx(now known as x-pac)","6'2&quot;","212 lbs."
"tatanka","6'1&quot;","250 lbs."
"terry funk","6'1&quot;","247 lbs."
"test","6'6&quot;","282 lbs."
"texas tornado","6'2&quot;","254 lbs."
"tito santana","6'1&quot;","244 lbs."
"t.l. hopper","6'1&quot;","235 lbs."
"tyson tomko","6'6&quot;","292 lbs."
"tugboat/typhoon","6'7","384 lbs."
"ultimate warrior","6'2&quot;","275 lbs."
"uncle elmer","7'2&quot;","450 lbs."
"the undertaker","6'10&quot;","328 lbs."
"vader","6'6&quot;","452 lbs."
"vince","6'2&quot;","250 lbs."
"yokozuna","6'4&quot;","621 lbs."
"zeus","6'0&quot;","231 lbs."
"zip-the bodydonnas","6'6&quot;","300 lbs."
