"scientific name","family name","common name","synonyms"
"asclepias variegata","asclepiadaceae","red ring milkweed","NULL"
"asclepias verticillata","asclepiadaceae","whorled milkweed","NULL"
"asclepias viridiflora","asclepiadaceae","green comet milkweed","NULL"
"asclepias viridis","asclepiadaceae","green antelope horn","NULL"
"asimina triloba","anonaceae","pawpaw","NULL"
"asparagus officinalis","liliaceae","garden asparagus","NULL"
"asplenium platyneuron","aspleniaceae","ebony spleenwort","NULL"
"asplenium rhizophyllum","aspleniaceae","walking fern","NULL"
"astragalus bibullatus","fabaceae","pyne's ground plum","limestone glade milkvetch"
"astragalus tennesseensis","fabaceae","tennessee milkvetch","NULL"
"athyrium filix-femina ssp. asplenioides","dryopteridaceae","aspelenium ladyfern","NULL"
"aureolaria flava","scrophulariaceae","false foxglove","NULL"
"aureolaria pectinata","scrophulariaceae","combleaf yellow false foxglove","NULL"
"aureolaria pedicularia","scrophulariaceae","fernleaf yellow false foxglove","NULL"
"baptisia australis","fabaceae","blue wild indigo","NULL"
"baccharis sarothroides","asteraceae","desert broom","broom baccharis rosin brush mexican broom"
"baptisia tinctoria","fabaceae","horseflyweed","NULL"
"barbarea verna","brassicaceae","early yellowrocket","early wintercress"
"barbarea vulgaris","brassicaceae","wintercress","garden yellowrocket"
"betula alleghaniensis","betulaceae","yellow birch","NULL"
"belamcanda chinensis","iridaceae","blackberry lily","NULL"
"betula lenta","betulaceae","sweet birch","black birch"
"betula nigra","betulaceae","river birch","NULL"
"betula occidentalis","betulaceae","water birch","NULL"
"betula papyrifera","betulaceae","paper birch","NULL"
"bidens aristosa","asteraceae","midwestern tickseed sunflower","bearded beggarticks"
"bidens frondosa","asteraceae","devil's beggartick","NULL"
"bignonia capreolata","bignoniaceae","crossvine","NULL"
"blephilia ciliata","lamiaceae","downy wood mint","downy pagoda plant"
"blephilia hirsuta","lamiaceae","hairy wood mint","hairy pagoda plant"
"boehmeria cylindrica","urticaceae","false nettle","small spike false nettle"
"botrychium dissectum","ophioglossaceae","cutleaf grapefern","botrychium dissectum var. obliquum"
"botrychium jenmanii","ophioglossaceae","dixie grapefern","NULL"
"botrychium lunarioides","ophioglossaceae","winter grapefern","NULL"
"botrychium virginianum","ophioglossaceae","rattlesnake fern","NULL"
"bouteloua curtipendula","poaceae","sideoats grama","NULL"
"brassica rapa","brassicaceae","turnip mustard","field mustard"
"brickellia eupatorioides","asteraceae","false boneset","kuhnia eupatorioides"
"bromus inermis","smooth brome","NULL","NULL"
"broussonetia papyrifera","moraceae","paper mulberry","NULL"
"buchloe dactyloides","poaceae","buffalograss","NULL"
"buglossoides arvensis","boraginaceae","corn gromwell","lithospermum arvense"
"bupleurum rotundifolium","apiaceae","hare's ear","throughwax"
"calocedrus decurrens","cupressaceae","incense cedar","NULL"
"calycanthus floridus","calycanthaceae","eastern sweetshrub","NULL"
"calystegia sepium","convolvulaceae","hedge false bindweed","low bindweed convolvulus sepium"
"camassia scilloides","liliaceae","wild hyacinth","atlantic camas"
"campanulastrum americanum","campanulaceae","american bellflower","campanula americana"
"campsis radicans","bignoniaceae","trumpet creeper","NULL"
"capsella bursa-pastoris","brassicaceae","shepherd's purse","NULL"
"cardamine angustata","brassicaceae","slender toothwort","dentaria heterophylla"
"cardamine bulbosa","brassicaceae","spring cress","bulbous bittercress cardamine rhomboidea"
"castilleja coccinea","scrophulariaceae","scarlet indian paintbrush","NULL"
"cardamine concatenata","brassicaceae","cutleaf toothwort","dentaria laciniata"
"cardamine diphylla","brassicaceae","crinkleroot toothwort","two leaved toothwort broad leaf toothwort dentaria diphylla"
"cardamine douglassii","brassicaceae","purple cress","limestone bittercress"
"cardamine hirsuta","brassicaceae","hairy bittercress","hoary bittercress"
"carduus nutans","asteraceae","nodding plumeless thistle","NULL"
"carex picta","cyperaceae","boott's sedge","NULL"
"carnegiea gigantea","cactaceae","saguaro","giant saguaro cereus giganteus carnegia gigantea"
"carpinus caroliniana","betulaceae","american hornbeam","muscletree"
"carya laciniosa","juglandaceae","shellbark hickory","kingnut hickory"
"carya  ovalis","juglandaceae","red hickory",""
"carya alba","juglandaceae","mockernut hickory","carya tomentosa"
"carya carolinae-septentrionalis","juglandaceae","southern shagbark hickory","NULL"
"carya cordiformis","juglandaceae","bitternut hickory","NULL"
"carya floridana","juglandaceae","scrub hickory","NULL"
"carya glabra","juglandaceae","pignut hickory","NULL"
"cardiospermum halicacabum","sapindaceae","balloon vine","NULL"
"carya illinoinensis","juglandaceae","pecan","NULL"
"carya ovata","juglandaceae","shagbark hickory","NULL"
"carya pallida","juglandaceae","sand hickory","NULL"
"castanea dentata","fagaceae","american chestnut","NULL"
"catalpa speciosa","bignoniaceae","northern catalpa","NULL"
"caulophyllum thalictroides","berberidaceae","blue cohosh","NULL"
"ceanothus americanus","rhamnaceae","new jersey tea","NULL"
"ceanothus velutinus","rhamnaceae","snowbrush ceanothus","NULL"
"cedrus deodara","pinaceae","deodar cedar","NULL"
"celtis laevigata","ulmaceae","sugarberry","southern hackberry"
"celtis occidentalis","ulmaceae","northern hackberry","common hackberry"
"celtis pallida","ulmaceae","desert hackberry","NULL"
"centaurea cyanus","asteraceae","bachelor's button","garden cornflower"
"centrosema virginianum","fabaceae","spurred butterfly pea","NULL"
"cephalanthus occidentalis","rubiaceae","common buttonbush","NULL"
"cerastium fontanum ssp. vulgare","caryophyllaceae","mouse eared chickweed","cerastium vulgatum"
"ceratopteris richardii","parkeriaceae","triangle waterfern","NULL"
"cercis canadensis","fabaceae","eastern redbud","NULL"
"chamaelirium luteum","liliaceae","fairywand","NULL"
"chaerophyllum procumbens","apiaceae","spreading chervil","NULL"
"chaerophyllum tainturieri","apiaceae","southern chervil","hairyfruit chervil"
"chamaebatiaria  millefolium","rosaceae","fernbush","NULL"
"chamaecrista fasciculata","fabaceae","partridge pea","sleepingplant"
"chamaecyparis nootkatensis","cupressaceae","alaska cedar","NULL"
"chamaesyce nutans","euphorbiaceae","eyebane","NULL"
"chamerion angustifolium ssp. angustifolium","onagraceae","fireweed","NULL"
"chasmanthium latifolium","poaceae","river oats","uniola latifolia spangle grass indian woodoats"
"cheilanthes lanosa","pteridaceae","hairy lipfern","NULL"
"chelone glabra","scrophulariaceae","white turtlehead","NULL"
"chilopsis linearis","bignoniaceae","desert willow","mimbre jano desert catalpa flowering willow"
"chimaphila maculata","pyrolaceae","spotted wintergreen","pipsissewa striped prince's pine"
"chionanthus virginicus","oleaceae","white fringetree","grandpa's beard"
"cichorium intybus","asteraceae","chicory","NULL"
"cimicifuga americana","ranunculaceae","mountain bugbane","NULL"
"cimicifuga racemosa","ranunculaceae","black cohosh","black bugbane"
"circaea lutetiana","onagraceae","broadleaf enchanter's nightshade","NULL"
"cirsium altissimum","asteraceae","tall thistle","NULL"
"cirsium vulgare","asteraceae","bull thistle","NULL"
"cladrastis  kentukea","fabaceae","yellowwood","cladrastis lutea"
"claytonia virginica","portulacaceae","virginia spring beauty","NULL"
"clematis versicolor","ranunculaceae","pale leather flower","NULL"
"clematis viorna","ranunculaceae","vasevine","leather flower"
"clematis virginiana","ranunculaceae","virgin's bower","devil's darning needles"
"clinopodium glabellum","lamiaceae","glade savory","ozark calamint calamintha glabella satureja glabella"
"clintonia borealis","liliaceae","bluebead lily","bluebead yellow clintonia"
"clintonia uniflora","liliaceae","queen's cup","bride's bonnet"
"cocculus carolinus","menispermaceae","carolina snailseed","carolina coralbead red berried moonseed"
"collinsonia canadensis","lamiaceae","richweed","NULL"
"commelina communis","commelinaceae","asiatic dayflower","common dayflower"
"commelina dianthifolia","commelinaceae","western dayflower","birdbill dayflower"
"commelina erecta","commelinaceae","slender dayflower","whitemouth dayflowererect dayflower"
"conium maculatum","apiaceae","poison hemlock","NULL"
"conocephalum conicum","conocephalaceae","liverwort","NULL"
"conoclinium coelestinum","asteraceae","blue mistflower","eupatorium coelestinum"
"conopholis americana","orobanchaceae","squawroot","american cancer-root"
"conyza canadensis","asteraceae","horseweed","canadian horseweed"
"coreopsis lanceolata","asteraceae","lance leaf tickseed","lance leaf coreopsis"
"coreopsis major","asteraceae","whorled leaf coreopsis","greater tickseed forest tickseed"
"coreopsis tinctoria","asteraceae","golden tickseed","NULL"
"cornus alternifolia","cornaceae","alternateleaf dogwood","NULL"
"cornus drummondii","cornaceae","roughleaf dogwood","NULL"
"cornus florida","cornaceae","flowering dogwood","NULL"
"cornus foemina","cornaceae","stiff dogwood","NULL"
"cornus nuttallii","cornaceae","pacific dogwood","NULL"
"cornus obliqua","cornaceae","silky dogwood","NULL"
"cornus racemosa","cornaceae","gray dogwood","NULL"
"cornus sericea ssp. sericea","cornaceae","red osier dogwood","NULL"
"coronilla varia","fabaceae","purple crownvetch","NULL"
"corydalis flavula","fumariaceae","yellow fumewort","NULL"
"corylus americana","betulaceae","american hazelnut","NULL"
"cotinus obovatus","anacardiaceae","american smoketree","NULL"
"comandra umbellata","santalaceae","bastard toadflax","NULL"
"collinsia verna","scrophulariaceae","spring blue eyed mary","NULL"
"corallorhiza wisteriana","orchidaceae","spring coralroot","NULL"
"crataegus harbisonii","rosaceae","harbison's hawthorn","NULL"
"crataegus mollis","rosaceae","downy hawthorn","NULL"
"crataegus phaenopyrum","rosaceae","washington hawthorn","washington-thorn"
"crataegus collina","rosaceae","dotted hawthorn","crataegus punctata"
"crepis pulchra","asteraceae","smallflower hawksbeard","NULL"
"croton capitatus","euphorbiaceae","hogwort","NULL"
"croton monanthogynus","euphorbiaceae","lemon spurge","prairie tea"
"cruciata pedemontana","rubiaceae","piedmont bedstraw","galium pedemontanum"
"cryptotaenia canadensis","apiaceae","canadian honewort","NULL"
"cuscuta sp.","cuscutaceae","dodder","NULL"
"cuphea viscosissima","lythraceae","blue waxweed","NULL"
"cypripedium acaule","orchidaceae","pink lady's slipper","moccasin flower"
"cynoglossum virginianum","boraginaceae","wild comfrey","NULL"
"cyperus echinatus","cyperaceae","globe flatsedge","NULL"
"cypripedium reginae","orchidaceae","showy lady's slipper","NULL"
"cypripedium pubescens","orchidaceae","greater yellow lady's slipper","{cypripedium calceolus|pubescens|cypripedium parviflorum|pubescens}"
"cystopteris protrusa","dryopteridaceae","lowland bladderfern","NULL"
"dactylis glomerata","poaceae","orchard grass","NULL"
"dalea candida","fabaceae","white prairie clover","NULL"
"dalea foliosa","fabaceae","leafy prairie clover","NULL"
"dalea gattingeri","fabaceae","purpletassels","NULL"
"dalea purpurea","fabaceae","purple prairie clover","NULL"
"dasistoma macrophylla","scrophulariaceae","mullein foxglove","NULL"
"dasylirion wheeleri","liliaceae","sotol","common sotol spoonplant desert spoon cactus spoon"
"datura stramonium","solanaceae","jimsonweed","NULL"
"daucus carota","apiaceae","queen anne's lace","NULL"
"delphinium carolinianum ssp. calciphilum","ranunculaceae","prairie larkspur","delphinium virescens"
"delphinium tricorne","ranunculaceae","dwarf larkspur","NULL"
"desmanthus illinoensis","fabaceae","prairie mimosa","prairie bundleflower"
"desmodium nudiflorum","fabaceae","naked flowered ticktrefoil","NULL"
"desmodium pauciflorum","fabaceae","fewflower ticktrefoil","NULL"
"desmodium perplexum","fabaceae","perplexed ticktrefoil","NULL"
"deutzia scabra","hydrangeaceae","fuzzy pride-of-rochester","NULL"
"dianthus armeria","caryophyllaceae","deptford pink","NULL"
"dicentra cucullaria","fumariaceae","dutchman's breeches","NULL"
"dicentra eximia","fumariaceae","bleeding heart","turkey corn"
"dichanthelium laxiflorum","poaceae","openflower rosette grass","panicum xalapense panicum laxiflorum"
"digitalis purpurea","scrophulariaceae","purple foxglove","NULL"
"dionaea muscipula","droseraceae","venus flytrap","NULL"
"dioscorea oppositifolia","dioscoreaceae","cinnamon vine","chinese yam dioscorea batatas"
"diodia virginiana","rubiaceae","virginia buttonweed","NULL"
"dioscorea villosa","dioscoreaceae","wild yam","NULL"
"diospyros virginiana","ebenaceae","persimmon","NULL"
"dirca palustris","thymelaeaceae","eastern leatherwood","NULL"
"diplazium pycnocarpon","dryopteridaceae","glade fern","athyrium pycnocarpon asplenium pycnocarpon"
"dipsacus fullonum","dipsacaceae","teasel","fuller's teasel"
"dodecatheon meadia","primulaceae","shooting star","pride of ohio"
"dracopis amplexicaulis","asteraceae","clasping coneflower","NULL"
"draba verna","brassicaceae","spring draba","whitlow grass"
"dracunculus vulgaris","araceae","common dracunculus",""
"drosera linearis","droseraceae","slenderleaf sundew","NULL"
"drosera sp.","droseraceae","sundew","NULL"
"duchesnea indica","rosaceae","indian strawberry","NULL"
"echinacea paradoxa","asteraceae","yellow coneflower","bush's purple coneflower"
"echinacea purpurea","asteraceae","eastern purple coneflower","NULL"
"echinacea simulata","asteraceae","prairie purple coneflower","wavyleaf purple coneflower"
"echinacea tennesseensis","asteraceae","tennessee purple coneflower","NULL"
"echinocereus fendleri ssp. fasciculatus","cactaceae","pinkflower hedgehog cactus","NULL"
"echinocereus nicholii","cactaceae","golden hedgehog cactus","nichol's hedgehog cactus"
"echium vulgare","boraginaceae","common viper's bugloss","NULL"
"elaeagnus angustifolia","elaeagnaceae","russian olive","NULL"
"elaeagnus umbellata","elaeagnaceae","autumn olive","NULL"
"eleocharis compressa","cyperaceae","flatstem spikerush","NULL"
"elephantopus carolinianus","asteraceae","leafy elephant's foot","carolina elephantsfoot"
"encelia farinosa","asteraceae","brittlebush","goldenhills"
"enemion biternatum","ranunculaceae","eastern false rue anemone","NULL"
"ephedra sp.","ephedraceae","ephedra","morman tea jointfir"
"epifagus virginiana","orobanchaceae","beechdrops","NULL"
"equisetum arvense","equisetaceae","field horsetail","NULL"
"equisetum hyemale ssp. affine","equisetaceae","scouringrush horsetail","NULL"
"ericameria nauseosa ssp. nauseosa","asteraceae","rubber rabbitbrush","NULL"
"erigenia bulbosa","apiaceae","harbinger of spring","NULL"
"erigeron annuus","asteraceae","eastern daisy fleabane","NULL"
"erysimum capitatum","brassicaceae","sand dune wallflower","NULL"
"erigeron philadelphicus","asteraceae","philadelphia fleabane","NULL"
"erigeron pulchellus","asteraceae","robin's plantain","NULL"
"erigeron strigosus","asteraceae","lesser daisy fleabane","prairie fleabane"
"eryngium yuccifolium","apiaceae","rattlesnake master","button eryngo"
"erythrina crista-galli","fabaceae","crybabytree","NULL"
"erythronium albidum","liliaceae","white trout lily","white fawn lily"
"erythronium americanum","liliaceae","trout lily","dogtooth violet"
"eryngium integrifolium","apiaceae","blueflower eryngo","NULL"
"eschscholzia californica","papaveraceae","california poppy","NULL"
"euonymus alatus","celastraceae","winged burning bush","NULL"
"euonymus americanus","celastraceae","strawberry bush","hearts a-bustin'euonymus americana"
"euonymus atropurpureus","celastraceae","eastern wahoo euonymus atropurpurea","NULL"
"euonymus fortunei","celastraceae","winter creeper","NULL"
"eupatorium altissimum","asteraceae","tall thoroughwort","NULL"
"eupatorium fistulosum","asteraceae","hollow joe pye weed","trumpetweed"
"eupatorium pilosum","asteraceae","rough boneset","NULL"
"eupatorium serotinum","asteraceae","late flowering throughwort","late boneset"
"euphorbia commutata","euphorbiaceae","wood spurge","tinted woodland spurge"
"euphorbia corollata","euphorbiaceae","flowering spurge","NULL"
"evolvulus nuttallianus","convolvulaceae","shaggy dwarf morning-glory","NULL"
"fagus grandifolia","fagaceae","american beech","NULL"
"fagus sylvatica","fagaceae","european beech","NULL"
"ferocactus cylindraceus ssp. cylindraceus","cactaceae","california fire barrel cactus","ferocactus acanthodes"
"ferocactus emoryi","cactaceae","emory's barrel cactus","ferocactus covillei coville's barrel cactus"
"ferocactus herrerae","cactaceae","twisted barrel","NULL"
"ferocactus wislizeni","cactaceae","arizona barrel cactus","candy barrel cactus fishhook barrel"
"ficus aurea","moraceae","florida strangler fig","NULL"
"forestiera ligustrina","oleaceae","upland swamp-privet","shrub swamp-privet"
"forsythia viridissima","oleaceae","greenstem forsythia","NULL"
"fothergilla major","hamamelidaceae","mountain witch alder","NULL"
"fouquieria splendens","fouquieriaceae","ocotillo","candlewood slimwood coachwhip jacob's staff vine cactus flamingsword"
"fragaria virginiana","rosaceae","virginia strawberry","NULL"
"frangula caroliniana","rhamnaceae","carolina buckthorn","rhamnus caroliniana"
"frasera caroliniensis","gentianaceae","american columbo","swertia caroliniensis"
"fraxinus americana","oleaceae","white ash","NULL"
"fraxinus pennsylvanica","oleaceae","green ash","NULL"
"fraxinus quadrangulata","oleaceae","blue ash","NULL"
"gaillardia pulchella","asteraceae","firewheel","blanket flower"
"galearis spectabilis","orchidaceae","showy orchis","NULL"
"galium aparine","rubiaceae","cleavers","stickywilly bedstraw"
"galium circaezans","rubiaceae","licorice bedstraw","NULL"
"gamochaeta purpurea","asteraceae","spoonleaf purple everlasting","purple cudweed gnaphalium purpureum"
"gaultheria shallon","ericaceae","salal","NULL"
"gaura filipes","onagraceae","slender gaura","slenderstalk beeblossom"
"geranium carolinianum","geraniaceae","pink carolina cranes-bill","carolina geranium"
"geranium dissectum","geraniaceae","red cranesbill","cutleaf geranium"
"geranium maculatum","geraniaceae","wild geranium","spotted geranium"
"geranium molle","geraniaceae","dove's foot cranes-bill","dovefoot geranium"
"geum canadense","rosaceae","white avens","NULL"
"geum vernum","rosaceae","spring avens","NULL"
"ginkgo biloba","ginkgoaceae","maidenhair tree","ginkgo"
"glandularia canadensis","verbenaceae","rose vervain","verbena canadensis rose mock vervain"
"glechoma hederacea","lamiaceae","ground ivy","NULL"
"gleditsia  triacanthos","fabaceae","honey locust",""
"goodyera pubescens","orchidaceae","downy rattlesnake plantain","NULL"
"grindelia lanceolata","asteraceae","narrowleaf gumweed","NULL"
"gratiola quartermaniae","scrophulariaceae","limestone hedge hyssop","NULL"
"gymnocladus dioicus","fabaceae","kentucky coffeetree","NULL"
"halesia tetraptera","styracaceae","mountain silverbell","halesia carolina"
"hamamelis vernalis","hamamelidaceae","ozark witchhazel","NULL"
"hamamelis virginiana","hamamelidaceae","american witchhazel","NULL"
"hedera helix","araliaceae","english ivy","NULL"
"hedyotis nigricans","rubiaceae","glade bluet","houstonia nigricans diamondflowers"
"helenium amarum","asteraceae","fine leaved sneezeweed","helenium tenuifolium bitterweed yellowdicks"
"helenium autumnale","asteraceae","common sneezeweed","NULL"
"helenium flexuosum","asteraceae","purplehead sneezeweed","NULL"
"helianthus angustifolius","asteraceae","narrow leaf sunflower","swamp sunflower"
"helianthus eggertii","asteraceae","eggert's sunflower","NULL"
"helianthus microcephalus","asteraceae","small headed sunflower","small woodland sunflower"
"helianthus mollis","asteraceae","ashy sunflower","NULL"
"helianthus occidentalis","asteraceae","western sunflower","NULL"
"helianthus verticillatus","asteraceae","whorled sunflower","NULL"
"hexalectris spicata","orchidaceae","spiked crested coralroot","NULL"
"heliotropium tenellum","boraginaceae","slender heliotrope","pasture heliotrope"
"hemerocallis fulva","liliaceae","orange daylily","NULL"
"hepatica nobilis ssp. acuta","ranunculaceae","sharplobe hepatica","NULL"
"heracleum maximum","apiaceae","common cowparsnip","NULL"
"hesperis matronalis","brassicaceae","dame's rocket","NULL"
"hesperostipa comata ssp. comata","poaceae","needle and thread","stipa comata"
"heuchera americana","saxifragaceae","common alumroot","american alumroot"
"heuchera villosa","saxifragaceae","maple leaf alumroot","hairy alumroot"
"hibiscus syriacus","malvaceae","rose of sharon","NULL"
"holodiscus discolor","rosaceae","ocean spray","NULL"
"houstonia caerulea","rubiaceae","azure bluet","quaker ladies"
"houstonia purpurea ssp. purpurea","rubiaceae","summer bluet","venus' pride hedyotis purpurea"
"houstonia pusilla","rubiaceae","least bluet","hedyotis crassifolia tiny bluet small bluet"
"houstonia serpyllifolia","rubiaceae","thymeleaf bluet","hedyotis michauxii mountain bluet creeping bluet"
"hymenocallis caroliniana","amaryllidaceae","carolina spiderlily","NULL"
"hybanthus concolor","violaceae","green violet","NULL"
"hydrangea arborescens","hydrangeaceae","wild hydrangea","NULL"
"hydrangea quercifolia","hydrangeaceae","oakleaf hydrangea","NULL"
"hydrastis canadensis","ranunculaceae","golden seal","NULL"
"hydrophyllum appendiculatum","hydrophyllaceae","great waterleaf","NULL"
"hydrophyllum virginianum","hydrophyllaceae","shawnee salad","NULL"
"hypericum frondosum","clusiaceae","cedarglade st. johnswort","NULL"
"hypericum hypericoides ssp. multicaule","clusiaceae","st. andrew's cross","hypericum stragulum"
"hypericum punctatum","clusiaceae","spotted st. johnswort","NULL"
"hypericum sphaerocarpum","clusiaceae","roundseed st. johnswort","NULL"
"hypoxis hirsuta","iridaceae","yellow stargrass","common goldstar"
"idria columnaris","fouquieriace","boojum","NULL"
"ilex decidua","aquifoliaceae","possumhaw","NULL"
"ilex opaca","aquifoliaceae","american holly","NULL"
"ilex verticillata","aquifoliaceae","common winterberry","NULL"
"ilex vomitoria","aquifoliaceae","yaupon","NULL"
"impatiens capensis","balsaminaceae","jewelweed","NULL"
"impatiens pallida","balsaminaceae","pale touch-me-not","NULL"
"iodanthus pinnatifidus","brassicaceae","purple rocket","NULL"
"ipomoea hederacea","convolvulaceae","ivyleaf morning glory","ivy-leaved morning glory"
"ipomoea lacunosa","convolvulaceae","small white morning glory","white star"
"ipomoea pandurata","convolvulaceae","wild potato vine","man of the earth"
"ipomoea purpurea","convolvulaceae","tall morning-glory","NULL"
"iris cristata","iridaceae","dwarf crested iris","NULL"
"isothecium myosuroides","brachytheciaceae","isothecium moss","NULL"
"itea virginica","grossulariaceae","virginia sweetspire","NULL"
"iva annua","asteraceae","annual marsh elder","NULL"
"jasminum nudiflorum","oleaceae","winter jasmine","NULL"
"jeffersonia diphylla","berberidaceae","twinleaf","NULL"
"juglans cinerea","juglandaceae","butternut","white walnut"
"juglans major","juglandaceae","arizona walnut","NULL"
"juglans nigra","juglandaceae","black walnut","NULL"
"juniperus communis","cupressaceae","common juniper","NULL"
"juniperus deppeana","cupressaceae","alligator juniper","western juniper checkered bark juniper"
"juniperus monosperma","cupressaceae","oneseed juniper","cherrystone red berry juniper"
"juniperus osteosperma","cupressaceae","utah juniper","shaggy bark juniper"
"juniperus virginiana","cupressaceae","eastern redcedar","NULL"
"justicia americana","acanthaceae","american water willow","NULL"
"kallstroemia grandiflora","zygophyllaceae","arizona caltrop","arizona poppy orange caltrop summer poppy"
"kalmia latifolia","ericaceae","mountain laurel","NULL"
