"aou number","listed common name","current common name","code","listed scientific name","current scientific name"
"200","little blue heron","little blue heron","lbhe","florida caerulea","egretta caerulea"
"200.1","cattle egret","cattle egret","caeg","bubulcus ibis","bubulcus ibis"
"198","reddish egret","reddish egret","reeg","dichromanassa rufescens","egretta rufescens"
"196","common egret","great egret","greg","casmerodius egretta","ardea alba"
"197","snowy egret","snowy egret","sneg","egretta candidissima","egretta thula"
"196.1","little egret","little egret","lieg","egretta garzetta","egretta garzetta"
"199","louisiana heron","tricolored heron","trhe","hydranassa tricolor","egretta tricolor"
"202","black-crowned night heron","black-crowned night heron","bcnh","nycticorax nycticorax","nycticorax nycticorax"
"203","yellow-crowned night heron","yellow-crowned night heron","ycnh","nyctanassa violacea","nyctanassa violacea"
"191","least bittern","least bittern","lebi","ixobrychus exilis","ixobrychus exilis"
"190","american bittern","american bittern","ambi","botaurus lentiginosus","botaurus lentiginosus"
"188","wood ibis","wood stork","wost","mycteria americana","mycteria americana"
"189","jabiru","jabiru","jabi","jabiru mycteria","jabiru mycteria"
"186","glossy ibis","glossy ibis","glib","plegadis autumnalis","plegadis falcinellus"
"187","white-faced ibis","white-faced ibis","wfib","plegadis guarauna","plegadis chihi"
"184","white ibis","white ibis","whib","guara alba","eudocimus albus"
"185","scarlet ibis","scarlet ibis","scib","guara rubra","eudocimus ruber"
"n/a","white spoonbill","eurasian spoonbill","eurs","platalea leucorodia","platalea leucorodia"
"183","roseate spoonbill","roseate spoonbill","rosp","platalea ajaja","platalea ajaja"
"182","american flamingo","greater flamingo","gfla","phoenicopterus ruber","phoenicopterus ruber"
"178.2","mute swan","mute swan","musw","cygnus olor","cygnus olor"
"179","whooper swan","whooper swan","whos","olor cygnus","cygnus cygnus"
"180","whistling swan","tundra swan","tusw","olor columbianus","cygnus columbianus"
"181","trumpeter swan","trumpeter swan","trus","olor buccinator","cygnus buccinator"
"172","canada goose","canada goose","cago","branta canadensis","branta canadensis"
"173","brant","atlantic brant","atbr","branta bernicla","branta bernicla"
"250","barnacle goose","barnacle goose","barg","branta leucopsis","branta leucopsis"
"176","emperor goose","emperor goose","emgo","philacte canagica","chen canagica"
"206","gray-lag goose","greylag goose","gego","anser anser","anser anser"
"171","white-fronted goose","greater white-fronted goose","gwfg","anser albifrons","anser albifrons"
"171.1","bean goose","bean goose","bego","anser fabalis","anser fabalis"
"169","snow goose","snow goose","sngo","chen hyperborea","chen caerulescens"
"169","blue goose","snow goose","sngo","chen caerulescens","chen caerulescens"
"170","ross goose","ross's goose","rogo","chen rossii","chen rossii"
"177","black-bellied tree duck","black-bellied whistling-duck","bbwd","dendrocygna autumnalis","dendrocygna autumnalis"
"178","fulvous tree duck","fulvous whistling-duck","fuwd","dendrocygna bicolor","dendrocygna bicolor"
"178.1","white-faced tree duck","white-faced whistling duck","wfwd","dendrocygna viduata","dendrocygna viduata"
"n/a","sheld duck","common shelduck","coms","tadorna tadorna","tadorna tadorna"
"141.2","ruddy sheld duck","ruddy sheldrake","rush","casarca ferruginea","tadorna ferruginea"
"132","mallard","mallard","mall","anas platyrhynchos","anas platyrhynchos"
"132","mexican duck","mallard","mall","anas diazi","anas platyrhynchos"
"133","black duck","american black duck","abdu","anas rubripes","anas rubripes"
"134","mottled duck","mottled duck","modu","anas fulvigula","anas fulvigula"
"135","gadwall duck","gadwall","gadw","anas strepera","anas strepera"
"143","pintail duck","northern pintail","nopi","anas acuta","anas acuta"
"143.1","bahama duck","white-cheeked pintail","wchp","anas bahamensis","anas bahamensis"
"137.1","falcated teal","falcated duck","fadu","anas falcata","anas falcata"
"138","common teal","eurasian green-winged teal","egwt","anas crecca","anas crecca"
"139","green-winged teal","american green-winged teal","agwt","anas carolinesis","anas carolinensis"
"139.1","baikal teal","baikal teal","bate","anas formosa","anas formosa"
"140","blue-winged teal","blue-winged teal","bwte","anas discors","anas discors"
"141","cinnamon teal","cinnamon teal","cite","anas cyanoptera","anas cyanoptera"
"102.1","muscovy duck","muscovy duck","mudu","cairina moschata","cairina moschata"
"136","european widgeon","eurasian widgeon","euwi","mareca penelope","anas penelope"
"137","american widgeon","american widgeon","amwi","mareca americana","anas americana"
"142","shoveller","northern shoveler","nsho","spatula clypeata","anas clypeata"
"144","wood duck","wood duck","wodu","aix sponsa","aix sponsa"
"n/a","red-crested pochard","red-crested pochard","rcpo","netta rufina","netta rufina"
"146","red head","redhead","redh","aythya americana","aythya americana"
"146.1","common pochard","common pochard","cpoc","aythya ferina","aythya ferina"
"149.2","baer's pochard","baer's pochard","baoc","aythya baeri","aythya baeri"
"150","ring-necked duck","ring-necked duck","rndu","aythya collaris","aythya collaris"
"147","canvasback","canvasback","canv","aythya valisineria","aythya valisineria"
"148","greater scaup","greater scaup","grsc","aythya marlia","aythya marlia"
"149","lesser scaup","lesser scaup","lesc","aythya affinis","aythya affinis"
"149.1","tufted duck","tufted duck","tudu","aythya fuligula","aythya fuligula"
"151","common golden-eye","common goldeneye","cogo","bucephala clangula","bucephala clangula"
"152","barrow's goldeneye","barrow's goldeneye","bago","bucephala islandica","bucephala islandica"
"153","bufflehead","bufflehead","buff","bucephala albeola","bucephala albeola"
"154","old squaw","long-tailed duck","ltdu","clangula hyemalis","clangula hyemalis"
"155","harlequin duck","harlequin duck","hadu","histrionicus histrionicus","histrionicus histrionicus"
"156","labrador duck","labrador duck","labd","camptorhynchus labradorius","camptorhynchus labradorius"
"157","steller's eider","steller's eider","stei","polysticta stelleri","polysticta stelleri"
"159","common eider","common eider","coei","somateria mollissima","somateria mollissima"
"162","king eider","king eider","kiei","somateria spectabilis","somateria spectabilis"
"158","spectacled eider","spectacled eider","spei","arctonetta fischeri","somateria fisheri"
"165","white-winged scoter","white-winged scoter","wwsc","melanitta deglandi","melanitta fusca"
"166","surf scoter","surf scoter","susc","melanitta perspicillata","melanitta perspicillata"
"163","common scoter","black scoter","blsc","oidemia nigra","melanitta nigra"
"167","ruddy duck","ruddy duck","rudu","oxyura jamaicensis","oxyura jamaicensis"
"168","masked duck","masked duck","madu","oxyura dominica","nomonyx dominicus"
"131.1","smew","smew","smew","mergellus albellus","mergellus albellus"
"131","hooded merganser","hooded merganser","home","lophodytes cucullatus","lophodytes cucullatus"
"129","common merganser","common merganser","come","mergus merganser","mergus merganser"
"130","red-breasted merganser","red-breasted merganser","rbme","mergus serrator","mergus serrator"
"325","turkey vulture","turkey vulture","tuvu","cathartes aura","cathartes aura"
"326","black vulture","black vulture","blvu","catharista urubu","coragyps atratus"
"324","california condor","california condor","caco","gymnogyps californianus","gymnogyps californianus"
"328","white-tailed kite","white-tailed kite","wtki","elanus leucurus","elanus leucurus"
"327","swallow-tailed kite","swallow-tailed kite","stki","elanoides forficatus","elanoides forficatus"
"329","mississippi kite","mississippi kite","miki","ictinia mississippiensis","ictinia mississippiensis"
"330","everglade kite","snail kite","snki","rostrhamus sociabilis","rostrhamus sociabilis"
"334","goshawk","northern goshawk","nogo","astur atricapillus","accipiter gentilis"
"332","sharp shinned hawk","sharp shinned hawk","ssha","accipiter velox","accipiter striatus"
"333","coopers hawk","coopers hawk","coha","accipiter cooperii","accipiter cooperii"
"338","harlan's hawk","harlan's hawk","halh","buteo borelais harlani","buteo jamaicensis"
"337","red-tailed hawk","red-tailed hawk","rtha","buteo borealis","buteo jamaicensis"
"339","red-shouldered hawk","red-shouldered hawk","rsha","buteo lineatus","buteo lineatus"
"343","broad-winged hawk","broad-winged hawk","bwha","buteo platyperus","buteo platyperus"
"342","swainson's hawk","swainson's hawk","swha","buteo swainsoni","buteo swainsoni"
"340","zone-tailed hawk","zone-tailed hawk","ztha","buteo abbreviatus","buteo albonotatus"
"341","white-tailed hawk","white-tailed hawk","wtha","buteo albicaudatus","buteo albicaudatus"
"344","short-tailed hawk","short-tailed hawk","stha","buteo brachyurus","buteo brachyurus"
"347","rough-legged hawk","rough-legged hawk","rlha","archibuteo lagopus","buteo lagopus"
"348","ferruginous hawk","ferruginous hawk","feha","archibuteo ferrugineus","buteo regalis"
"346","grey hawk","gray hawk","grha","asturina plagiata","asturina nitida"
"335","harris's hawk","harris's hawk","hash","parabuteo unicinctus","parabuteo unicinctus"
"345","black hawk","common black-hawk","cobh","urubitinga anthracina","buteogallus anthracinus"
"349","golden eagle","golden eagle","goea","aquila chrysaetos","aquila chrysaetos"
"351","gray sea eagle","white-tailed eagle","wtea","haliaeetus albicilla","haliaeetus albicilla"
"352","bald eagle","bald eagle","baea","haliaeetus leucocephalus","haliaeetus leucocephalus"
"352.1","stellar's sea eagle","stellar's sea eagle","stse","thalassaetus pelagicus","haliaeetus pelagicus"
"331","marsh hawk","northern harrier","noha","circus hudsonius","circus cyaneus"
"364","osprey","osprey","ospr","pandion haliaetus","pandion haliaetus"
"362","caracara","crested caracara","crca","polyborus cheriway","caracara cheriway"
"363","guadalupe caracara","guadalupe caracara","guca","polyborus lutosus","caracara lutosa"
"354","white gryfalcon","gryfalcon","gyrf","falco islandus","falco rusticolus"
"354","gray gryfalcon","gryfalcon","gyrf","falco rusticolus","falco rusticolus"
"355","prairie falcon","prairie falcon","prfa","falco mexicanus","falco mexicanus"
"356","peregrine falcon","peregrine falcon","pefa","falco peregrinus","falco peregrinus"
"359","aplomado falcon","aplomado falcon","apfa","falco fusco-caerulescens","falco femoralis"
"357","pigeon hawk","merlin","merl","falco columbarius","falco columbarius"
"357","merlin","merlin","merl","falco aesalon","falco columbarius"
"359.1","kestrel","eurasian kestrel","euke","falco tinnunculus","falco tinnunculus"
"360","sparrow hawk","american kestrel","amke","falco sparverius","falco sparverius"
"311","chachalaca","plain chachalaca","plch","ortalis vetula","ortalis vetula"
"297","blue grouse","blue grouse","bgse","dendragapus obscurus","dendragapus obscurus"
"298","spruce grouse","spruce grouse","spgr","canachites canadensis","falcipennis canadensis"
"298","franklin's grouse","spruce grouse","spgr","canachites franklini","falcipennis canadensis"
"300","ruffed grouse","ruffed grouse","rugr","bonasa umbellus","bonasa umbellus"
"301","willow ptarmigan","willow ptarmigan","wipt","lagopus lagopus","lagopus lagopus"
"302","rock ptarmigan","rock ptarmigan","ropt","lagopus rupestris","lagopus mutus"
"304","white-tailed ptarmigan","white-tailed ptarmigan","wtpt","lagopus leucurus","lagopus leucurus"
"305","greater prarie chicken","greater prarie chicken","grpc","tympanuchus americanus","tympanuchus cupido"
"307","lesser prarie chicken","lesser prarie chicken","lepc","tympanuchus pallidicinctus","tympanuchus pallidicinctus"
"308","sharp-tailed grouse","sharp-tailed grouse","stgr","tympanuchus phasianellus","tympanuchus phasianellus"
"309","sage grouse","greater sage grouse","grsg","centrocercus urophasianus","centrocercus urophasianus"
"289","bobwhite","northern bobwhite","nobo","colinus virginianus","colinus virginianus"
"n/a","hybrid scaled bobwhite","scaled x northern bobwhite","scbh","n/a","n/a"
"289","masked bobwhite","northern bobwhite","nobo","colinus ridgwayi","colinus virginianus"
"293","scaled quail","scaled quail","scqu","callipepla squamata","callipepla squamata"
"294","california quail","california quail","caqu","lophortyx californicus","callipepla californica"
"107.8","elegant quail","elegant quail","elqu","callipepla douglasii","callipepla douglasii"
"295","gambel's quail","gambel's quail","gaqu","lophortyx gambeli","callipepla gambelii"
"292","mountain quail","mountain quail","mouq","oreortyx pictus","oreortyx pictus"
"296","harlequin quail","montezuma quail","monq","crytonyx montezumae","crytonyx montezumae"
"309.1","ring-necked pheasant","ring-necked pheasant","rnep","phasianus cochicus","phasianus cochicus"
"309.2","reeves pheasant","reeves's pheasant","repa","syrmaticus reevesii","syrmaticus reevesii"
"296.1","guinea fowl","helmeted guineafowl","helg","numida meleagris","numida meleagris"
"309.4","golden pheasant","golden pheasant","goph","chrysolophus pictus","chrysolophus pictus"
"288.2","chukar","chukar","chuk","alectoris graeca","alectoris graeca"
"288.1","gray partridge","gray partridge","grap","perdix perdix","perdix perdix"
"290","coturnix c. coturnix","common quail","coqu","coturnix c. coturnix","coturnix coturnix"
"310","turkey","wild turkey","witu","melegaris gallopavo","melegaris gallopavo"
"204","whooping crane","whooping crane","whcr","grus americana","grus americana"
"206","little brown crane","sandhill crane","sacr","grus canadensis","grus canadensis"
"206","sandhill crane","sandhill crane","sacr","grus canadensis","grus canadensis"
"207","limpkin","limpkin","limp","aramus guarauna","aramus guarauna"
"208","king rail","king rail","kira","rallus elegans","rallus elegans"
"211","clapper rail","clapper rail","clra","rallus longirostris","rallus longirostris"
"212","virginia rail","virginia rail","vira","rallus limicola","rallus limicola"
"212.1","water rail","water rail","wara","rallus aquaticus","rallus aquaticus"
"213","spotted crake","spotted crake","spcr","porzana porzana","porzana porzana"
"214","sora","sora","sora","porzana carolina","porzana carolina"
"215","yellow rail","yellow rail","yera","coturnicops noveboracensis","coturnicops noveboracensis"
"216","black rail","black rail","blra","laterallus jamaicensis","laterallus jamaicensis"
"217","corn crake","corn crake","corc","crex crex","crex crex"
"218","purple gallinule","purple gallinule","puga","porphyrio martinica","porphyrio martinica"
"219","common gallinule","common moorhen","como","gallinula chloropus","gallinula chloropus"
"220","european coot","eurasian coot","euco","fulica atra","fulica atra"
"221","american coot","american coot","amco","fulica americana","fulica americana"
"288","jacana","northern jacana","noja","jacana spinosa","jacana spinosa"
"285","european oystercatcher","eurasian oystercatcher","euoy","haematopus ostralegus","haematopus ostralegus"
"286","american oystercatcher","american oystercatcher","amoy","haematopus palliatus","haematopus palliatus"
"286","frazar's oystercatcher","american oystercatcher","amoy","haematopus frazari","haematopus palliatus"
"287","black oystercatcher","black oystercatcher","bloy","haematopus bachmani","haematopus bachmani"
"269","lapwing","northern lapwing","nola","vanellus vanellus","vanellus vanellus"
"253","green shank","common greenshank","comg","tringa nebularia","tringa nebularia"
"275","ringed plover","common ringed plover","crpl","charadrius hiaticula","charadrius hiaticula"
"276","little ringed plover","little ringed plover","lrpl","charadrius dubius","charadrius dubius"
"274","semialmated plover","semialmated plover","sepl","charadrius semipalmatus","charadrius semipalmatus"
"277","piping plover","piping plover","pipl","charadrius melodus","charadrius melodus"
"278","snowy plover","snowy plover","snpl","charadrius alexandrinus","charadrius alexandrinus"
"279","mongolian plover","mongolian plover","monp","charadrius mongolus","charadrius mongolus"
"280","wilson's plover","wilson's plover","wipl","charadrius wilsonia","charadrius wilsonia"
"273","killdeer","killdeer","kill","charadrius vociferus","charadrius vociferus"
"281","mountain plover","mountain plover","mopl","eupoda montana","charadrius montanus"
"269.1","dotterel","eurasian dotterel","eudo","eudromias morinellus","charadrius morinellus"
"271","eurasian golden plover","european golden-plover","eugp","pluvialis apricaria","pluvialis apricaria"
"272","american golden plover","american golden-plover","amgp","pluvialis dominica","pluvialis dominica"
"272.1","pacific golden plover","pacific golden-plover","pagp","n/a","pluvialis fulva"
"270","black-bellied plover","black-bellied plover","bbpl","squatarola squatarola","pluvialis squatarola"
"282","surfbird","surfbird","surf","aphriza virgata","aphriza virgata"
"283","ruddy turnstone","ruddy turnstone","rutu","arenaria interpres","arenaria interpres"
"284","black turnstone","black turnstone","bltu","arenaria melanocephala","arenaria melanocephala"
"228","american woodcock","american woodcock","amwo","philohela minor","scolopax minor"
"227","european woodcock","eurasian woodcock","euwo","scolopax rusticola","scolopax rusticola"
"230","european snipe","common snipe","cosn","gallinago gallinago","gallinago gallinago"
"230","wilson's snipe","common snipe","cosn","gallinago delicata","gallinago gallinago"
"230.2","european jacksnipe","jack snipe","jasn","lymnocryptes minimus","lymnocryptes minimus"
"264","long billed curlew","long-billed curlew","lbcu","numenius americanus","numenius americanus"
"264.1","eurasian curlew","eurasian curlew","eucu","numenius arquata","numenius arquata"
"265","whimbrel","whimbrel","whim","numenius phaeopus","numenius phaeopus"
"266","hudsonian curlew","whimbrel","whim","numenius hudsonicus","numenius phaeopus"
"268","bristle thighed curlew","bristle-thighed curlew","btcu","numenius tahitiensis","numenius tahitiensis"
"266","eskimo curlew","eskimo curlew","escu","numenius borealis","numenius borealis"
"261","upland plover","upland sandpiper","upsa","bartramia longicauda","bartramia longicauda"
"263","spotted sandpiper","spotted sandpiper","spsa","actitis macularia","actitis macularia"
"256","solitary sandpiper","solitary sandpiper","sosa","tringa solitaria","tringa solitaria"
"257","green sandpiper","green sandpiper","grsa","totanus ocropus","totanus ocropus"
"257.1","wood sandpiper","wood sandpiper","wosa","tringa glareola","tringa glareola"
"259","wandering tattler","wandering tattler","wata","heteractitis incanus","heteractitis incanus"
"259.1","polynesian tattler","gray-tailed tattler","gtta","heteractitis brevipes","heteractitis brevipes"
"258","willet","willet","will","catoptrophorus semipalmatus","catoptrophorus semipalmatus"
"254","greater yellowlegs","greater yellowlegs","grye","totanus melanoleucus","tringa melanoleuca"
"255","lesser yellowlegs","lesser yellowlegs","leye","totanus flavipes","tringa flavipes"
"253.1","redshank","common redshank","comr","tringa totanus","tringa totanus"
"253.2","spotted redshank","spotted redshank","spre","tringa erythropus","tringa erythropus"
"234","knot","red knot","rekn","calidris canutus","calidris canutus"
"234.1","great knot","great knot","grkn","calidris tenuirostris","calidris tenuirostris"
"235","purple sandpiper","purple sandpiper","pusa","erolia maritima","calidris maritima"
"235.6","rock sandpiper","rock sandpiper","rosa","erolia ptilocnemis","calidris ptilocnemis"
"238","sharp-tailed sandpiper","sharp-tailed sandpiper","spts","erolia acuminata","calidris acuminata"
"239","pectoral sandpiper","pectoral sandpiper","pesa","erolia melanotos","calidris melanotos"
"240","white-rumped sandpiper","white-rumped sandpiper","wrsa","erolia fuscicollis","calidris fuscicollis"
"241","baird's sandpiper","baird's sandpiper","basa","erolia bairdii","calidris bairdii"
"242","least sandpiper","least sandpiper","lesa","erolia minutilla","calidris minutilla"
"242.1","long-toed stint","long-toed stint","ltst","erolia subminuta","calidris subminuta"
"242.2","rufous-necked sandpiper","red-necked stint","rnst","erolia ruficollis","calidris ruficollis"
"244","curlew sandpiper","curlew sandpiper","cusa","erolia ferruginea","calidris ferruginea"
"243","dunlin","dunlin","dunl","erolia alpina","calidris alpina"
"232","short-billed dowitcher","short-billed dowitcher","sbdo","limnodromus griseus","limnodromus griseus"
"233","stilt sandpiper","stilt sandpiper","stsa","micropalama himantopus","calidris himantopus"
"246","semipalmated sandpiper","semipalmated sandpiper","sesa","ereunetes pusillus","calidris pusilla"
"247","western sandpiper","western sandpiper","wesa","ereunetes mauri","calidris mauri"
"262","buff-breasted sandpiper","buff-breasted sandpiper","bbsa","tryngites subruficollis","tryngites subruficollis"
"249","marbled godwit","marbled godwit","mago","limosa fedoa","limosa fedoa"
"250","bar-tailed godwit","bar-tailed godwit","barg","limosa lapponica","limosa lapponica"
"251","hudsonian godwit","hudsonian godwit","hugo","limosa haemastica","limosa haemastica"
"252","black-tailed godwit","black-tailed godwit","blag","limosa limosa","limosa limosa"
"260","ruff","ruff","ruff","philomachus pugnax","philomachus pugnax"
"248","sanderling","sanderling","sand","crocethia alba","calidris alba"
"245","spoon-billed sandpiper","spoon-billed sandpiper","sbsa","eurynorhynchus pygmeum","eurynorhynchus pygmeus"
"225","american avocet","american avocet","amav","recurvirostra americana","recurvirostra americana"
"226","black-necked stilt","black-necked stilt","bnst","himantopus mexicanus","himantopus mexicanus"
"222","red phalarope","red phalarope","reph","phalaropus fulicarius","phalaropus fulicaria"
"224","wilson's pharalope","wilson's pharalope","wiph","steganopus tricolor","phalaropus tricolor"
"223","northern pharalope","red-necked pharalope","rnph","lobipes lobatus","phalaropus lobatus"
"36","pomarine pharalope","pomarine jaeger","poja","stercorarius pomarinus","stercorarius pomarinus"
"37","parasitic jaeger","parasitic jaeger","paja","stercorarius parasiticus","stercorarius parasiticus"
"38","long-tailed jaeger","long-tailed jaeger","ltja","stercorarius longicaudus","stercorarius longicaudus"
"35","skua","great skua","grsk","stercorarius skua","stercorarius skua"
"42","glaucous gull","glaucous gull","glgu","larus hyperboreus","larus hyperboreus"
"43","iceland gull","iceland gull","icgu","larus glaucoides","larus glaucoides"
"43","kumlien's gull","iceland gull","icgu","larus kumlieni","larus glaucoides"
"44","glaucous-winged gull","glaucous-winged gull","gwgu","larus glaucescens","larus glaucescens"
"46","nelson's gull","nelson's gull","negu","larus nelsoni","larus nelsoni"
"47","great black-backed gull","great black-backed gull","gbbg","larus marinus","larus marinus"
"49","western gull","western gull","wegu","larus occidentalis","larus occidentalis"
"50","lesser black-backed gull","lesser black-backed gull","lbbg","larus fuscus","larus fuscus"
"51","siberian gull","herring gull","herg","larus affinis","larus argentatus"
"48","slaty-backed gull","slaty-backed gull","sbgu","larus schistisagus","larus schistisagus"
"51","herring gull","herring gull","herg","larus argentatus","larus argentatus"
"43.1","thayer's gull","thayer's gull","thgu","larus thayeri","larus thayeri"
