"common name","scientific name","warks","worcs","staffs","wm"
"ruddy shelduck","tadorna ferruginea","2001","2001","2001","1998"
"common shelduck","tadorna tadorna","2001","2001","2001","2001"
"mandarin duck","aix galericulata","2001","2001","2001","2001"
"eurasian wigeon","anas penelope","2001","2001","2001","2001"
"american wigeon","anas americana","1987","-","1998","-"
"gadwall","anas strepera","2001","2001","2001","2001"
"common teal","anas crecca","2001","2001","2001","2001"
"green-winged teal","anas carolinensis","2001","1993","2001","-"
"mallard","anas platyrhynchos","2001","2001","2001","2001"
"northern pintail","anas acuta","2001","2001","2001","2001"
"garganey","anas querquedula","2001","2001","2001","2001"
"blue-winged teal","anas discors","1989","1989","2001","-"
"northern shoveler","anas clypeata","2001","2001","2001","2001"
"red-crested pochard","netta rufina","2001","2001","2001","2001"
"common pochard","aythya ferina","2001","2001","2001","2001"
"ring-necked duck","aythya collaris","2001","1990","1977","2001"
"ferruginous duck","aythya nyroca","2001","1999","1999","1998"
"tufted duck","aythya fuligula","2001","2001","2001","2001"
"greater scaup","aythya marila","2001","2001","2001","2000"
"lesser scaup","aythya affinis","-","-","1987","-"
"common eider","somateria mollissima","1993","2001","1999","1993"
"long-tailed duck","clangula hyemalis","2001","1999","2001","2000"
"common scoter","melanitta nigra","2001","2001","2001","2000"
"surf scoter","melanitta perspicillata","1986","2000","-","-"
"velvet scoter","melanitta fusca","2001","1985","1992","1994"
"common goldeneye","bucephala clangula","2001","2001","2001","2001"
"smew","mergellus albellus","2001","2001","2001","1999"
"red-breasted merganser","mergus serrator","2000","2001","2001","2001"
"goosander","mergus merganser","2001","2001","2001","2001"
"ruddy duck","oxyura jamaicensis","2001","2001","2001","2001"
"honey-buzzard","pernis apivorus","2001","2000","2001","1996"
"black kite","milvus migrans","-","1986","1991","1998"
"red kite","milvus milvus","2001","2001","2001","2001"
"white-tailed eagle","haliaeetus albicilla","1891","1945","1905","-"
"marsh harrier","circus aeruginosus","2001","2001","2001","1998"
"hen harrier","circus cyaneus","1999","1999","2001","1997"
"montagu's harrier","circus pygargus","2000","1995","2000","1951"
"northern goshawk","accipiter gentilis","2000","2001","2001","2000"
"eurasian sparrowhawk","accipiter nisus","2001","2001","2001","2001"
"common buzzard","buteo buteo","2001","2001","2001","2001"
"rough-legged buzzard","buteo lagopus","1994","1979","2001","1996"
"golden eagle","aquila chrysaetos","-","-","nk","-"
"osprey","pandion haliaetus","2001","2001","2001","2001"
"common kestrel","falco tinnunculus","2001","2001","2001","2001"
"red-footed falcon","falco vespertinus","1967","2001","1977","1973"
"merlin","falco columbarius","2001","2001","2001","2001"
"hobby","falco subbuteo","2001","2001","2001","2001"
"gyr falcon","falco rusticolus","1852","-","&lt;1844","-"
"peregrine falcon","falco peregrinus","2001","2001","2001","2001"
"red grouse","lagopus lagopus","-","-","2001","1868"
"black grouse","tetrao tetrix","-","1915","2000","1897"
"red-legged partridge","alectoris rufa","2001","2001","2001","2001"
"grey partridge","perdix perdix","2001","2001","2001","2001"
"common quail","coturnix coturnix","2001","2001","2000","2001"
"common pheasant","phasianus colchicus","2001","2001","2001","2001"
"[golden pheasant]","chrysolophus pictus","1995","1972","1998","1985"
"water rail","rallus aquaticus","2001","2001","2001","2001"
"spotted crake","porzana porzana","2001","2001","1999","1998"
"little crake","porzana parva","1974","-","-","-"
"corn crake","crex crex","2000","1988","1988","1965"
"moorhen","gallinula chloropus","2001","2001","2001","2001"
"common coot","fulica atra","2001","2001","2001","2001"
"common crane","grus grus","2000","1999","2000","1903"
"little bustard","tetrax tetrax","-","-","c1899","nk"
"great bustard","otis tarda","-","c1825","-","-"
"oystercatcher","haematopus ostralegus","2001","2001","2001","2001"
"black-winged stilt","himantopus himantopus","1987","1986","1995","-"
"avocet","recurvirostra avosetta","1999","1996","2001","1999"
"stone-curlew","burhinus oedicnemus","2001","1996","1956","1991"
"collared pratincole","glareola pratincola","1996","1994","-","-"
"little ringed plover","charadrius dubius","2001","2001","2001","2001"
"great ringed plover","charadrius hiaticula","2001","2001","2001","2001"
"kentish plover","charadrius alexandrinus","1993","1940","1995","-"
"dotterel","charadrius morinellus","1993","1999","1998","-"
"american golden plover","pluvialis dominica","1991","-","-","-"
"european golden plover","pluvialis apricaria","2001","2001","2001","2001"
"grey plover","pluvialis squatarola","2001","2001","2001","1997"
"white-tailed lapwing","vanellus leucurus","1975","-","-","-"
"northern lapwing","vanellus vanellus","2001","2001","2001","2001"
"red knot","calidris canutus","2001","2001","2001","2001"
"sanderling","calidris alba","2001","2001","2001","2001"
"little stint","calidris minuta","2001","2001","2001","2001"
"temminck's stint","calidris temminckii","2001","2000","2001","2000"
"least sandpiper","calidris minutilla","-","1988","1971","-"
"white-rumped sandpiper","calidris fuscicollis","-","1996","1989","-"
"baird's sandpiper","calidris bairdii","1996","-","1996","-"
"pectoral sandpiper","calidris melanotos","1997","2001","2001","1988"
"curlew sandpiper","calidris ferruginea","2001","2001","2001","2001"
"purple sandpiper","calidris maritima","1993","1988","2000","1985"
"dunlin","calidris alpina","2001","2001","2001","2001"
"broad-billed sandpiper","limicola falcinellus","1985","-","-","-"
"buff-breasted sandpiper","tryngites subruficollis","1995","-","1980","-"
"ruff","philomachus pugnax","2001","2001","2001","2001"
"jack snipe","lymnocryptes minimus","2001","2001","2001","2001"
"common snipe","gallinago gallinago","2001","2001","2001","2001"
"great snipe","gallinago media","1894","-","1954","1995"
"long-billed dowitcher","limnodromus scolopaceus","1983","1990","-","-"
"woodcock","scolopax rusticola","2001","2001","2001","2001"
"black-tailed godwit","limosa limosa","2001","2001","2001","2001"
"bar-tailed godwit","limosa lapponica","2001","2001","2001","2001"
"whimbrel","numenius phaeopus","2001","2001","2001","2001"
"eurasian curlew","numenius arquata","2001","2001","2001","2001"
"upland sandpiper","bartramia longicauda","1851","-","-","-"
"spotted redshank","tringa erythropus","2001","2001","2001","1999"
"common redshank","tringa totanus","2001","2001","2001","2001"
"marsh sandpiper","tringa stagnatilis","-","-","1974","-"
"common greenshank","tringa nebularia","2001","2001","2001","2001"
"lesser yellowlegs","tringa flavipes","-","-","1995","-"
"green sandpiper","tringa ochropus","2001","2001","2001","2001"
"wood sandpiper","tringa glareola","2001","2001","2001","1999"
"common sandpiper","actitis hypoleucos","2001","2001","2001","2001"
"spotted sandpiper","actitis macularia","1990","-","1982","-"
"turnstone","arenaria interpres","2001","2001","2001","2001"
"wilson's phalarope","phalaropus tricolor","1996","1985","-","-"
"red-necked phalarope","phalaropus lobatus","2000","1999","2000","1893"
"grey phalarope","phalaropus fulicarius","2001","2000","2001","1997"
"pomarine skua","stercorarius pomarinus","1997","1999","1991","1985"
"arctic skua","stercorarius parasiticus","1997","1996","1999","2000"
"long-tailed skua","stercorarius longicaudus","-","1987","1994","1991"
"great skua","catharacta skua","2001","2000","1997","1994"
"mediterranean gull","larus melanocephalus","2001","2001","2001","2001"
"laughing gull","larus atricilla","-","1996","-","1997"
"little gull","larus minutus","2001","2001","2001","2001"
"sabine's gull","larus sabini","1989","1997","2001","-"
"bonaparte's gull","larus philadelphia","1992","-","1996","-"
"black-headed gull","larus ridibundus","2001","2001","2001","2001"
"ring-billed gull","larus delawarensis","1998","1997","1999","1996"
"common gull","larus canus","2001","2001","2001","2001"
"lesser black-backed gull","larus fuscus","2001","2001","2001","2001"
"herring gull","larus argentatus","2001","2001","2001","2001"
"caspian gull","larus a. cachinnans","2001","2001","2001","2000"
"yellow-legged gull)","larus a. michahellis","2001","2001","2001","2001"
"iceland gull","larus glaucoides","2001","1996","2001","1998"
"kumlein's gull","larus g. kumleini","2001","-","1999","-"
"glaucous gull","larus hyperboreus","2001","2000","2001","1999"
"great black-backed gull","larus marinus","2001","2001","2001","2001"
"kittiwake","rissa tridactyla","2001","2001","2001","2001"
"gull-billed tern","sterna nilotica","1899","nk","1989","1896"
"caspian tern","sterna caspia","1993","1971","1999","1979"
"sandwich tern","sterna sandvicensis","2001","2001","2001","1998"
"roseate tern","sterna dougallii","2001","1999","1983","-"
"common tern","sterna hirundo","2001","2001","2001","2001"
"arctic tern","sterna paradisaea","2001","2001","2001","2001"
"sooty tern","sterna fuscata","-","-","1852","-"
"little tern","sterna albifrons","2001","2001","2001","2000"
"whiskered tern","chlidonias hybrida","1987","1994","1970","-"
"black tern","chlidonias niger","2001","2001","2001","2001"
"white-winged black tern","chlidonias leucopterus","2001","2000","1999","1977"
"common guillemot","uria aalge","nk","-","1920","1980"
"razorbill","alca torda","nk","1953","-","1912"
"little auk","alle alle","1995","1998","2001","1999"
"puffin","fratercula arctica","1984","1963","1983","1999"
"pallas's sandgrouse","syrrhaptes paradoxus","1888","1888","1908","1888"
"feral pigeon","columba livia","2001","2001","2001","2001"
"stock dove","columba oenas","2001","2001","2001","2001"
"wood pigeon","columba palumbus","2001","2001","2001","2001"
"collared dove","streptopelia decaocto","2001","2001","2001","2001"
"turtle dove","streptopelia turtur","2001","2001","2001","2001"
"rose-ringed parakeet","psittacula krameri","2001","2000","1998","2001"
"common cuckoo","cuculus canorus","2001","2001","2001","2001"
"barn owl","tyto alba","2001","2001","2001","2001"
"little owl","athene noctua","2001","2001","2001","2001"
"tawny owl","strix aluco","2001","2001","2001","2001"
"long-eared owl","asio otus","2000","1999","2001","2001"
"short-eared owl","asio flammeus","2001","2001","2001","1998"
"tengmalm's owl","aegolius funereus","-","1901","-","-"
"european nightjar","caprimulgus europaeus","2001","1998","2001","1979"
"white-throated needle-tail","hirundapus caudacutus","-","-","1991","-"
"common swift","apus apus","2001","2001","2001","2001"
"alpine swift","apus melba","-","1997","1996","1988"
"common kingfisher","alcedo atthis","2001","2001","2001","2001"
"european bee-eater","merops apiaster","1886","1970","-","1955"
"european roller","coracias garrulus","-","-","1908","-"
"hoopoe","upupa epops","1999","1999","1996","1997"
"wryneck","jynx torquilla","1999","2001","1994","2001"
"green woodpecker","picus viridis","2001","2001","2001","2001"
"great spotted woodpecker","dendrocopos major","2001","2001","2001","2001"
"lesser spotted woodpecker","dendrocopos minor","2001","2001","2001","2001"
"wood lark","lullula arborea","2001","1997","2001","1998"
"sky lark","alauda arvensis","2001","2001","2001","2001"
"horned lark","eremophila alpestris","1994","1996","2001","1997"
"sand martin","riparia riparia","2001","2001","2001","2001"
"barn swallow","hirundo rustica","2001","2001","2001","2001"
"red-rumped swallow","hirundo daurica","1972","2001","-","-"
"house martin","delichon urbica","2001","2001","2001","2001"
"richard's pipit","anthus novaeseelandiae","2001","1967","1994","1994"
"tawny pipit","anthus campestris","-","-","1953","-"
"tree pipit","anthus trivialis","2001","2001","2001","2001"
"meadow pipit","anthus pratensis","2001","2001","2001","2001"
"red-throated pipit","anthus cervinus","1994","-","-","-"
"rock pipit","anthus petrosus petrosus","2001","2001","2001","2001"
"scandinavian rock pipit","anthus p. littoralis","1999","1997","1998","1996"
"water pipit","anthus spinoletta","2001","2001","2001","2001"
"yellow wagtail","motacilla flava flavissima","2001","2001","2001","2001"
"blue-headed wagtail","motacilla f. flava","2001","1999","1999","2001"
"citrine wagtail","motacilla citreola","1997","-","-","-"
"grey wagtail","motacilla cinerea","2001","2001","2001","2001"
"pied wagtail","motacilla alba yarrellii","2001","2001","2001","2001"
"white wagtail","motacilla a. alba","2001","2001","2001","2001"
"bohemian waxwing","bombycilla garrulus","2001","2001","2001","2001"
"dipper","cinclus cinclus gularis","1994","2001","2001","1999"
"black-bellied dipper","cinclus c. cinclus","1996","-","-","-"
"wren","troglodytes troglodytes","2001","2001","2001","2001"
"hedge accentor","prunella modularis","2001","2001","2001","2001"
"alpine accentor","prunella collaris","nk","-","-","-"
"robin","erithacus rubecula","2001","2001","2001","2001"
"common nightingale","luscinia megarhynchos","2001","2001","1981","1979"
"bluethroat","luscinia svecica","1995","1981","1994","1985"
"black redstart","phoenicurus ochruros","2001","2001","2000","2001"
"common redstart","phoenicurus phoenicurus","2001","2001","2001","2001"
"whinchat","saxicola rubetra","2001","2001","2001","2001"
"common stonechat","saxicola torquata","2001","2001","2001","2001"
"northern wheatear","oenanthe oenanthe","2001","2001","2001","2001"
"greenland wheatear","oenanthe o. leucorrhoa","2001","1999","1999","1997"
"desert wheatear","oenanthe deserti","-","-","1996","-"
"white's thrush","zoothera dauma","1895","-","-","-"
"ring ouzel","turdus torquatus","2001","2001","2001","2001"
"blackbird","turdus merula","2001","2001","2001","2001"
"dusky thrush","turdus naumanni","-","1979","-","-"
"dark-throated thrush","turdus ruficollis","-","1996","1978","-"
"fieldfare","turdus pilaris","2001","2001","2001","2001"
"song thrush","turdus philomelos","2001","2001","2001","2001"
"redwing","turdus iliacus","2001","2001","2001","2001"
"mistle thrush","turdus viscivorus","2001","2001","2001","2001"
"cetti's warbler","cettia cetti","2001","2001","1978","2001"
"grasshopper warbler","locustella naevia","2001","2001","2001","2001"
"river warbler","locustella fluviatilis","-","-","1996","-"
"savi's warbler","locustella luscinioides","1995","1999","1977","-"
"aquatic warbler","acrocephalus paludicola","-","1983","-","-"
"sedge warbler","acrocephalus schoenobaenus","2001","2001","2001","2001"
"marsh warbler","acrocephalus palustris","2001","1998","1996","1982"
"reed warbler","acrocephalus scirpaceus","2001","2001","2001","2001"
"great reed warbler","acrocephalus arundinaceus","1979","-","-","-"
"icterine warbler","hippolais icterina","1997","1942","1993","-"
"melodious warbler","hippolais polyglotta","2000","-","1996","-"
"dartford warbler","sylvia undata","1914","2001","nk","-"
"barred warbler","sylvia nisoria","1979","-","-","-"
"lesser whitethroat","sylvia curruca","2001","2001","2001","2001"
"common whitethroat","sylvia communis","2001","2001","2001","2001"
"garden warbler","sylvia borin","2001","2001","2001","2001"
"blackcap","sylvia atricapilla","2001","2001","2001","2001"
"arctic warbler","phylloscopus borealis","-","-","1993","-"
"pallas's leaf warbler","phylloscopus proregulus","2001","1987","1970","-"
"yellow-browed warbler","phylloscopus inornatus","1996","1999","2001","1998"
"hume's warbler","phylloscopus humei","-","-","1994","-"
"dusky warbler","phylloscopus fuscatus","-","-","-","1996"
"wood warbler","phylloscopus sibilatrix","2001","2001","2001","2001"
"common chiffchaff","phylloscopus collybita","2001","2001","2001","2001"
"siberian chiffchaff","phylloscopus c. tristis","2000","2001","1998","-"
"scandinavian chiffchaff","phylloscopus c. abietinus","-","2001","1990","1991"
"willow warbler","phylloscopus trochilus","2001","2001","2001","2001"
"goldcrest","regulus regulus","2001","2001","2001","2001"
"firecrest","regulus ignicapilla","2001","2001","2001","2001"
"spotted flycatcher","muscicapa striata","2001","2001","2001","2001"
"red-breasted flycatcher","ficedula parva","1992","-","-","-"
"pied flycatcher","ficedula hypoleuca","2001","2001","2001","2001"
"bearded tit","panurus biarmicus","2001","1994","1997","1993"
"long-tailed tit","aegithalos caudatus","2001","2001","2001","2001"
"marsh tit","parus palustris","2001","2001","2001","2001"
"willow tit","parus montanus","2001","2001","2001","2001"
"coal tit","parus ater","2001","2001","2001","2001"
"blue tit","parus caeruleus","2001","2001","2001","2001"
"great tit","parus major","2001","2001","2001","2001"
"european nuthatch","sitta europaea","2001","2001","2001","2001"
"eurasian treecreeper","certhia familiaris","2001","2001","2001","2001"
"golden oriole","oriolus oriolus","2000","2000","1997","1990"
"red-backed shrike","lanius collurio","1983","2000","1976","1984"
"lesser grey shrike","lanius minor","-","1987","-","-"
"great grey shrike","lanius excubitor","2001","2000","2001","1998"
"woodchat shrike","lanius senator","-","1893","-","1999"
"eurasian jay","garrulus glandarius","2001","2001","2001","2001"
"magpie","pica pica","2001","2001","2001","2001"
"nutcracker","nucifraga caryocatactes","-","-","1991","-"
"red-billed chough","pyrrhocorax pyrrhocorax","-","1826","-","-"
"eurasian jackdaw","corvus monedula","2001","2001","2001","2001"
"rook","corvus frugilegus","2001","2001","2001","2001"
"carrion crow","corvus corone","2001","2001","2001","2001"
"hooded crow","corvus  cornix","1987","1983","1994","1984"
"common raven","corvus corax","2001","2001","2001","2001"
"common starling","sturnus vulgaris","2001","2001","2001","2001"
"rosy starling","sturnus roseus","2001","1855","2001","1890"
"house sparrow","passer domesticus","2001","2001","2001","2001"
"tree sparrow","passer montanus","2001","2001","2001","2001"
"chaffinch","fringilla coelebs","2001","2001","2001","2001"
"brambling","fringilla montifringilla","2001","2001","2001","2001"
"european serin","serinus serinus","-","1981","2001","-"
"greenfinch","carduelis chloris","2001","2001","2001","2001"
"goldfinch","carduelis carduelis","2001","2001","2001","2001"
"siskin","carduelis spinus","2001","2001","2001","2001"
"linnet","carduelis cannabina","2001","2001","2001","2001"
"twite","carduelis flavirostris","2001","1997","2001","1991"
"lesser redpoll","carduellis cabaret","2001","2001","2001","2001"
"mealy redpoll","carduelis flammea","2001","2001","1998","1996"
"arctic redpoll","carduelis hornemanni","-","2001","1996","-"
"two-barred crossbill","loxia leucoptera","-","1838","1980","-"
"common crossbill","loxia curvirostra","2001","2001","2001","2001"
"bullfinch","pyrrhula pyrrhula","2001","2001","2001","2001"
"hawfinch","coccothraustes coccothraustes","2001","2001","2000","1999"
"lapland longspur","calcarius lapponicus","1981","-","1997","1996"
"snow bunting","plectrophenax nivalis","2001","2001","2000","1997"
"pine bunting","emberiza leucocephalos","-","1996","-","-"
"yellowhammer","emberiza citrinella","2001","2001","2001","2001"
"cirl bunting","emberiza cirlus","1959","1983","1951","1950"
"rustic bunting","emberiza rustica","-","1987","-","-"
"little bunting","emberiza pusilla","1902","1994","1995","-"
"reed bunting","emberiza schoeniclus","2001","2001","2001","2001"
"corn bunting","miliaria calandra","2001","2001","2001","2001"
"baltimore oriole","icterus galbula","-","-","-","1968"
"2001 totals (regional = 238):","2001 totals (regional = 238):","212","191","201","162"
"county totals (regional = 337):","county totals (regional = 337):","296","295","306","265"
