"country","currency","exam price","5% discountquantities 10+"
"kiribati","usd","210.00","199.50"
"korea south","usd","210.00","199.50"
"kuwait","gbp","130.00","123.50"
"kyrgyzstan","usd","210.00","199.50"
"lao","usd","210.00","199.50"
"latvia","usd","210.00","199.50"
"lebanon","gbp","130.00","123.50"
"lesotho","usd","210.00","199.50"
"liberia","usd","210.00","199.50"
"libyan arab jamahiriya","usd","210.00","199.50"
"liechtenstien","usd","210.00","199.50"
"lithuania","usd","210.00","199.50"
"luxembourg","eur","155.00","147.25"
"macau","hkd","1630.00","1548.50"
"macedonia","usd","210.00","199.50"
"madagascar","gbp","130.00","123.50"
"malawi","gbp","130.00","123.50"
"malaysia","usd","210.00","199.50"
"maldives","usd","210.00","199.50"
"mali","usd","210.00","199.50"
"malta","gbp","130.00","123.50"
"marshall islands","usd","210.00","199.50"
"martinique","usd","210.00","199.50"
"mauritania","usd","210.00","199.50"
"mauritus","gbp","130.00","123.50"
"mayotte","usd","210.00","199.50"
"mexico","usd","210.00","199.50"
"micronesia","usd","210.00","199.50"
"moldova","usd","210.00","199.50"
"monaco","usd","210.00","199.50"
"mongolia","usd","210.00","199.50"
"montenegro","usd","210.00","199.50"
"montserrat","usd","210.00","199.50"
"morocco","eur","155.00","147.25"
"mozambique","usd","210.00","199.50"
"myanmar","usd","210.00","199.50"
"namibia","gbp","130.00","123.50"
"nauru","usd","210.00","199.50"
"nepal","usd","210.00","199.50"
"netherlands","eur","155.00","147.25"
"netherlands antilles","usd","210.00","199.50"
"new caledonia","aud","210.00","199.50"
"new zealand","nzd","260.00","247.00"
"nicaragua","usd","210.00","199.50"
"niger","usd","210.00","199.50"
"nigeria","gbp","130.00","123.50"
"niue","usd","210.00","199.50"
"norfolk island","usd","210.00","199.50"
"northern mariana islands","usd","210.00","199.50"
"norway","nok","1230.00","1168.50"
"oman","gbp","130.00","123.50"
"pakistan","usd","210.00","199.50"
"palau","usd","210.00","199.50"
"panama","usd","210.00","199.50"
"papua new guinea","usd","210.00","199.50"
"paraguay","usd","210.00","199.50"
"peru","usd","210.00","199.50"
"philippines","usd","210.00","199.50"
"pitcairn","usd","210.00","199.50"
"poland","usd","210.00","199.50"
"portugal","eur","155.00","147.25"
"puerto rico","usd","210.00","199.50"
"qatar","gbp","130.00","123.50"
"reunion","gbp","130.00","123.50"
"romania","usd","210.00","199.50"
"russian federation","usd","210.00","199.50"
"rwanda","usd","210.00","199.50"
"saint kitts and nevis","usd","210.00","199.50"
"saint lucia","usd","210.00","199.50"
"samoa","usd","210.00","199.50"
"san marino","usd","210.00","199.50"
"sao tome and principe","usd","210.00","199.50"
"saudi arabia","gbp","130.00","123.50"
"senegal","eur","155.00","147.25"
"serbia","usd","210.00","199.50"
"seychelles","gbp","130.00","123.50"
"sierra leone","usd","210.00","199.50"
"singapore","sgd","270.00","256.50"
"slovakia","usd","210.00","199.50"
"slovenia","usd","210.00","199.50"
"solomon islands","usd","210.00","199.50"
"somalia","usd","210.00","199.50"
"south africa","zar","1400.00","1330.00"
"south georgia","usd","210.00","199.50"
"spain","eur","155.00","147.25"
"sri lanka","usd","210.00","199.50"
"st. helena","usd","210.00","199.50"
"st. pierre and micquelon","usd","210.00","199.50"
"st. vincent and grenadines","usd","210.00","199.50"
"suriname","usd","210.00","199.50"
"svalbard","usd","210.00","199.50"
"swaziland","zar","1475.00","1401.25"
"sweden","sek","1400.00","1330.80"
"switzerland","chf","200.00","190.00"
"syrian arab republic","gbp","130.00","123.50"
"taiwan","usd","210.00","199.50"
"tajikistan","usd","210.00","199.50"
"tanzania","gbp","130.00","123.50"
"thailand","usd","210.00","199.50"
"togo","gbp","130.00","123.50"
"tokelau","usd","210.00","199.50"
"tonga","usd","210.00","199.50"
"trinidad and tobago","usd","210.00","199.50"
"tunisia","eur","155.00","147.25"
"turkey","gbp","130.00","123.50"
"turkmenistan","usd","210.00","199.50"
"turks and caicos islands","usd","210.00","199.50"
"tuvalu","usd","210.00","199.50"
"uganda","usd","210.00","199.50"
"ukraine","usd","210.00","199.50"
"united arab emirates","gbp","130.00","123.50"
"united kingdom","gbp","125.00","118.75"
"united states","usd","200.00","190.00"
"uruguay","usd","210.00","199.50"
"us minor outlying islands","usd","210.00","199.50"
"uzbekistan","usd","210.00","199.50"
"vanuatu","aud","210.00","199.50"
"vatican city state","usd","210.00","199.50"
"venezuela","usd","210.00","199.50"
"viet nam","usd","210.00","199.50"
"virgin islands british","usd","210.00","199.50"
"virgin islands us","usd","210.00","199.50"
"wallis and futuna islands","usd","210.00","199.50"
"western sahara","usd","210.00","199.50"
"yemen","usd","210.00","199.50"
"zambia","usd","210.00","199.50"
"zimbabwe","gbp","130.00","123.50"
