"135","wahlbergs eagle","aquila wahlbergi","wahlbergs eagle","aquila wahlbergi","30","194"
"136","booted eagle","hieraaetus pennatus","booted eagle","hieraaetus pennatus","30","200"
"137","african hawk eagle","hieraaetus spilogaster","bonelli's eagle","hieraaetus fasciatus","30","199"
"138","ayre's eagle","hieraaetus ayresii","ayre's hawk eagle","hieraaetus dubius","30","202"
"139","long-crested eagle","lophaetus occipitalis","long-crested eagle","lophaetus occipitalis","30","205"
"140","martial eagle","polemaetus bellicosus","martial eagle","polemaetus bellicosus","30","218"
"141","crowned eagle","stephanoaetus coronatus","crowned eagle","stephanoaetus coronatus","30","216"
"142","brown snake eagle","circaetus cinereus","brown harrier eagle","circaetus cinereus","30","59"
"143","black-breasted snake eagle","circaetus gallicus","short-toed eagle +","circaetus gallicus","30","58"
"144","southern banded snake eagle","circaetus fasciolatus","southern banded snake eagle","circaetus fasciolatus","30","60"
"145","western banded snake eagle","circaetus cinerascens","smaller banded snake eagle","circaetus cinerascens","30","61"
"146","bateleur","terathopius ecaudatus","bateleur","terathopius ecaudatus","30","62"
"147","palmnut vulture","gypohierax angolensis","palm-nut vulture","gypohierax angolensis","30","43"
"148","african fish eagle","haliaeetus vocifer","african fish eagle","haliaeetus vocifer","30","35"
"149","steppe buzzard","buteo buteo","common buzzard","buteo buteo","30","176"
"150","forest buzzard","buteo tachardus","african mountain buzzard","buteo oreophilus","30","177"
"151","long-legged buzzard","buteo rufinus","long-legged buzzard","buteo rufinus","30","180"
"152","jackal buzzard","buteo rufofuscus","augur buzzard","buteo rufofuscus","30","184"
"153","augur buzzard","buteo augur","augur buzzard","buteo rufofuscus (augur)","30","184"
"154","lizard buzzard","kaupifalco monogrammicus","lizard buzzard","kaupifalco monogrammicus","30","140"
"155","red-breasted sparrowhawk","accipiter rufiventris","rufous-breasted sparrow hawk","accipiter rufiventris","30","103"
"156","ovambo sparrowhawk","accipiter ovambopensis","ovambo sparrow hawk","accipiter ovambopensis","30","93"
"157","little sparrowhawk","accipiter minullus","african little sparrow hawk","accipiter minullus","30","106"
"158","black sparrowhawk","accipiter melanoleucus","great sparrow hawk","accipiter melanoleucus","30","90"
"159","little banded goshawk","accipiter badius","shikra","accipiter badius","30","126"
"160","african goshawk","accipiter tachiro","african goshawk","accipiter tachiro","30","108"
"161","gabar goshawk","micronisus gabar","gabar goshawk","melierax gabar","30","85"
"162","pale chanting goshawk","melierax canorus","pale chanting goshawk","melierax canorus","30","84"
"163","dark chanting goshawk","melierax metabates","dark chanting goshawk","melierax metabates","30","83"
"164","european marsh harrier","circus aeruginosus","marsh harrier","circus aeruginosus","30","74"
"165","african marsh harrier","circus ranivorus","african marsh harrier","circus ranivorus","30","75"
"166","montagu's harrier","circus pygargus","montagu's harrier","circus pygargus","30","80"
"167","pallid harrier","circus macrourus","pallid harrier","circus macrourus","30","79"
"168","black harrier","circus maurus","black harrier","black harrier","30","76"
"169","gymnogene","polyboroides typus","african harrier hawk","polyboroides typus","30","70"
"170","osprey","pandion haliaetus","osprey","pandion haliaetus","29","1"
"171","peregrine falcon","falco peregrinus","peregrine falcon","falco peregrinus","32","60"
"172","lanner falcon","falco biarmicus","lanner falcon","falco biarmicus","32","52"
"173","hobby falcon","falco subbuteo","european hobby","falco subbuteo","32","42"
"174","african hobby falcon","falco cuvierii","african hobby","falco cuvierii","32","43"
"175","sooty falcon","falco concolor","sooty falcon","falco concolor","32","47"
"176","taita falcon","falco fasciinucha","taita falcon","falco fasciinucha","32","58"
"177","eleonora's falcon","falco eleonorae","eleonora's falcon","falco eleonorae","32","46"
"178","red-necked falcon","falco chicquera","red-headed falcon","falco chicquera","32","38"
"179","western red-footed falcon","falco vespertinus","red-footed falcon","falco vespertinus","32","37"
"180","eastern red-footed falcon","falco amurensis","red-footed falcon","falco amurensis","32","37"
"181","rock kestrel","falco tinnunculus","common kestrel","falco tinnunculus","32","28"
"182","greater kestrel","falco rupicoloides","greater kestrel","falco rupicoloides","32","25"
"183","lesser kestrel","falco naumanni","lesser kestrel","falco naumanni","32","24"
"184","grey kestrel","falco ardosiaceus","grey kestrel","falco ardosiaceus","32","34"
"185","dickinson's kestrel","falco dickinsoni","dickinson's kestrel","falco dickinsoni","32","35"
"186","pygmy falcon","polihierax semitoquatus","african pygmy falcon","polihierax semitoquatus","32","17"
"187","chukar partridge","alectoris chukar","chukar partridge","alectoris chukar","35","62"
"188","coqui francolin","francolinus coqui","coqui francolin","francolinus coqui","35","103"
"189","crested francolin","francolinus sephaena","crested francolin","francolinus sephaena","35","95"
"190","grey-wing francolin","francolinus africanus","grey-wing francolin","francolinus africanus","35","99"
"191","shelley's francolin","francolinus shelleyi","shelley's francolin","francolinus shelleyi","35","98"
"192","red-wing francolin","francolinus levaillantii","red-wing francolin","francolinus levaillantii","35","101"
"193","orange river francolin","francolinus levaillantoides","archers's greywing francolin","francolinus levaillantoides","35","100"
"194","red-billed francolin","francolinus adspersus","red-billed francolin","francolinus adspersus","35","93"
"195","cape francolin","francolinus capensis","cape francolin","francolinus capensis","35","94"
"196","natal francolin","francolinus natalensis","natal francolin","francolinus natalensis","35","90"
"197","hartlaub's francolin","francolinus hartlaubi","hartlaub's francolin","francolinus hartlaubi","35","91"
"198","red-necked francolin","francolinus afer","bare-throated francolin","francolinus afer","35","72"
"199","swainson's francolin","francolinus swainsonii","swainson's francolin","francolinus swainsonii","35","73"
"200","common quail","coturnix coturnix","common quail","coturnix coturnix","35","116"
"201","harlequin quail","coturnix delegorguei","harlequin quail","coturnix delegorguei","35","119"
"202","blue quail","coturnix adansonii","blue quail","excalfactoria adansonii","35","122"
"203","helmeted guineafowl","numida meleagris","helmet guineafowl","numida meleagris","35","207"
"204","crested guineafowl","guttera pucherani","crested guineafowl","guttera edouardia","35","209"
"205","kurrichane buttonquail","turnix sylvatica","little button quail","turnix sylvatica","38","1"
"206","black-rumped buttonquail","turnix hottentotta","hottentot button quail","turnix hottentotta","38","4"
"207","wattled crane","grus carunculata","wattled crane","bugeranus carunculatus","40","11"
"208","blue crane","anthropoides paradisea","stanley crane","anthropoides paradisea","40","13"
"209","southern crowned crane","balearica regulorum","south african crowned crane","balearica regulorum","40","15"
"210","african rail","rallus caerulescens","kaffir rail","rallus caerulescens","43","30"
"211","corncrake","crex crex","corncrake","crex crex","43","74"
"212","african crake","crex egregia","african crake","porzana egregia","43","75"
"213","black crake","amaurornis flavirostris","black crake","porzana flavirostra","43","76"
"214","spotted crake","porzana porzana","spotted crake","porzana porzana","43","90"
"215","baillon's crake","porzana pusilla","baillon's crake","porzana pusilla","43","88"
"216","striped crake","aenigmatolimnas marginalis","striped crake","porzana marginalis","43","82"
"217","red-chested flufftail","sarothrura rufa","red-chested crake","coturnicops rufa","43","51"
"218","buff-spotted flufftail","sarothrura elegans","buff-spotted crake","coturnicops elegans","43","55"
"219","streaky-breasted flufftail","sarothrura boehmi","streaky-breasted crake","coturnicops boehmi","43","54"
"220","long-toed flufftail","sarothrura lugens","chestnut-headed crake","coturnicops lugens","43","53"
"221","striped flufftail","sarothrura affinis","chestnut-tailed crake","coturnicops affinis","43","56"
"222","white-winged flufftail","sarothrura ayresi","white-winged crake","coturnicops ayresi","43","59"
"223","purple gallinule","porphyrio porphyrio","purple swamphen","porphyrio porphyrio","43","112"
"224","lesser gallinule","porphyrio alleni","allen's gallinule","gallenula alleni","43","110"
"225","american purple gallinule","porphyrula martinica","purple gallinule","gallenula martinica","43","111"
"226","moorhen","gallinula chloropus","moorhen","gallinula chloropus","43","106"
"227","lesser moorhen","gallinula angulata","lesser moorhen","gallinula angulata","43","108"
"228","red-knobbed coot","fulica cristata","red-knobbed coot","fulica cristata","43","122"
"229","african finfoot","podica senegalensis","peter's finfoot","podica senegalensis","44","1"
"230","kori bustard","ardeotis kori","kori bustard","choriotis kori","48","9"
"231","stanley's bustard","neotis denhami","barrow's bustard","neotis cafra (denhami)","48","3"
"232","ludwig's bustard","neotis ludwigii","gallinula angulata","neotis ludwigii","48","4"
"233","white-bellied korhaan","eupodotis cafra","white-bellied bustard","eupodotis senegalensis","48","19"
"234","blue korhaan","eupodotis caerulescens","blue bustard","eupodotis caerulescens","48","20"
"235","karoo korhaan","eupodotis vigorsii","black-throated bustard","eupodotis vigorsii","48","16"
"236","ruppell's korhaan","eupodotis rueppellii","ruppell's bustard","eupodotis rueppellii","48","17"
"237","red-crested korhaan","eupodotis ruficrista","crested bustard","lophotis ruficrista","48","14"
"238","black-bellied korhaan","eupodotis melanogaster","black-bellied bustard","lissotis melanogaster","48","21"
"239","black korhaan","eupodotis afra","little black bustard","afrotis afra (afra)","48","15"
"240","african jacana","actophilornis africanus","african jacana","actophilornis africana","49","2"
"241","lesser jacana","microparra capensis","smaller jacana","microparra capensis","49","1"
"242","painted snipe","rostratula benghalensis","painted snipe","rostratula benghalensis","50","1"
"243","european oystercatcher","haematopus ostralegus","oystercatcher","haematopus ostralegus","52","1"
"244","african black oystercatcher","haematopus moquini","african black oystercatcher","haematopus moquini","52","3"
"245","ringed plover","charadrius hiaticula","ringed plover","charadrius hiaticula","57","29"
"246","white-fronted plover","charadrius marginatus","white-fronted sand plover","charadrius marginatus","57","41"
"247","chestnut-banded plover","charadrius pallidus","chestnut-banded sand plover","charadrius venustus (pallidus)","57","45"
"248","kittlitz's plover","charadrius pecuarius","kittlitz's sand plover","charadrius pecuarius","57","37"
"249","three-banded plover","charadrius tricollaris","three-banded plover","charadrius tricollaris","57","39"
"250","mongolian plover","charadrius mongolus","mongolian plover","charadrius mongolus","57","49"
"251","sand plover","charadrius leschenaultii","great sand plover","charadrius leschenaultii","57","50"
"252","caspian plover","charadrius asiaticus","caspian plover","charadrius asiaticus","57","51"
"253","pacific golden plover","pluvialis fulva","pacific golden plover","pluvialis dominica (fulva)","57","26"
"254","grey plover","pluvialis squatarola","grey plover","pluvialis squatarola","57","27"
"255","crowned plover","vanellus coronatuus","crowned plover","vanellus coronatus","57","10"
"256","lesser black-winged plover","vanellus lugubris","senegal plover","vanellus lugubris","57","8"
"257","black-winged plover","vanellus melanopterus","black-winged plover","vanellus melanopterus","57","9"
"258","blacksmith plover","vanellus armatus","blacksmith plover","anitibyx armatus","57","24"
"259","white-crowned plover","vanellus albiceps","white-crowned wattled lapwing","vanellus albiceps","57","7"
"260","wattled plover","vanellus senegallus","senegal wattled plover","vanellus senegallus","57","11"
"261","long-toed plover","vanellus crassirostris","long-toed lapwing","glareola nuchalis","57","2"
"262","turnstone","arenaria interpres","turnstone","arenaria interpres","58","31"
"263","terek sandpiper","xenus cinereus","terek sandpiper","xenus cinereus","58","25"
"264","common sandpiper","tringa hypoleucos","common sandpiper","actitis hypoleucos","58","26"
"265","green sandpiper","tringa ochropus","green sandpiper","tringa ochropus","58","21"
"266","wood sandpiper","tringa glareola","wood sandpiper","tringa glareola","58","23"
"267","spotted redshank","tringa erythropus","spotted redshank","tringa erythropus","58","14"
"268","redshank","tringa totanus","redshank","tringa totanus","58","15"
"269","marsh sandpiper","tringa stagnatilis","marsh sandpiper","tringa stagnatilis","58","16"
"270","greenshank","tringa nebularia","greenshank","tringa nebularia","58","17"
"271","knot","calidris canutus","knot","calidris canutus","58","63"
"272","curlew sandpiper","calidris ferruginea","curlew sandpiper","calidris ferruginea","58","80"
"273","dunlin","calidris alpina","dunlin","calidris alpina","58","79"
"274","little stint","calidris minuta","little stint","calidris minuta","58","69"
"275","long-toed stint","calidris subminuta","long-toed stint","calidris subminuta","58","71"
"276","red-necked stint","calidris ruficollis","rufous-necked stint","calidris ruficollis","58","68"
"277","white-rumped sandpiper","calidris fuscicollis","white-rumped sandpiper","calidris fuscicollis","58","73"
"278","baird's sandpiper","calidris bairdii","baird's sandpiper","calidris bairdii","58","74"
"279","pectoral sandpiper","calidris melanotos","pectoral sandpiper","calidris melanotos","58","75"
"280","temmink's stint","calidris temminckii","calidris canutus","calidris temminckii","58","70"
"281","sanderling","calidris alba","sanderling","calidris alba","58","65"
"282","buff-breasted sandpiper","tryngites subruficollis","buff-breasted sandpiper","tryngites subruficollis","58","84"
"283","broad-billed sandpiper","limicola falcinellus","broad-billed sandpiper","limicola falcinellus","58","82"
"284","ruff","philomachus pugnax","ruff","philomachus pugnax","58","85"
"285","great snipe","gallinago media","great snipe","gallinago media","58","50"
"286","ethiopian snipe","gallinago nigripennis","african snipe","gallinago nigripennis","58","48"
"287","black-tailed godwit","limosa limosa","black-tailed godwit","limosa limosa","58","1"
"288","bar-tailed godwit","limosa lapponica","bar-tailed godwit","limosa lapponica","58","3"
"289","curlew","numenius arquata","curlew","numenius arquata","58","10"
"290","whimbrel","numenius phaeopus","whimbrel","numenius phaeopus","58","7"
"291","grey phalarope","phalaropus fulicarius","grey phalarope","phalaropus fulicarius","58","35"
"292","red-necked phalarope","phalaropus lobatus","red-necked phalarope","phalaropus lobatus","58","34"
"293","wilson's phalarope","phalaropus tricolor","wilson's phalarope","phalaropus tricolor","58","33"
"294","avocet","recurvirostra avosetta","avocet","recurvirostra avosetta","54","10"
"295","black-winged stilt","himantopus himantopus","black-winged stilt","himantopus himantopus","54","1"
"296","crab plover","dromas ardeola","crab plover","dromas ardeola","51","1"
"297","spotted dikkop","burhinus capensis","cape dikkop","burhinus capensis","55","4"
"298","water dikkop","burhinus vermiculatus","water dikkop","burhinus vermiculatus","55","3"
"299","burchell's courser","cursorius rufus","cream-coloured courser","cursorius cursor (rufus)","56","2"
"300","temminck's courser","cursorius temminckii","temminck's courser","cursorius temminckii","56","4"
"301","double-banded courser","rhinoptilus africanus","two-banded courser","rhinoptilus africanus","56","5"
"302","three-banded courser","rhinoptilus cinctus","heuglin's courser","rhinoptilus cinctus","56","6"
"303","bronze-winged courser","rhinoptilus chalcopterus","bronze-winged course","rhinoptilus chalcopterus","56","7"
"304","red-winged pratincole","glareola pratincola","pratincole","glareola pratincola","56","10"
"305","black-winged pratincole","glareola nordmanni","black-winged pratincole","glareola nordmanni","56","12"
"306","rock pratincole","glareola nuchalis","white-collared pratincole","glareola nuchalis","56","14"
"307","arctic skua","stercorarius parasiticus","arctic skua","stercorarius parasiticus","61","4"
"308","long-tailed skua","stercorarius longicaudus","long-tailed skua","stercorarius longicaudus","61","5"
"309","pomarine skua","stercorarius pomarinus","pomarine skua","stercorarius pomarinus","61","3"
"310","subantarctic skua","catharacta antartica","great skua","catharacta skua","61","1"
"311","south polar skua","catharacta maccormicki","mccormick's skua","catharacta maccormicki","61","2"
"312","kelp gull","larus dominicanus","southern black-backed gull","larus dominicanus","62","20"
"313","lesser black-backed gull","larus fuscus","lesser black-backed gull","larus fuscus","62","17"
"314","herring gull","larus argentatus","herring gull","larus argentatus","62","15"
"315","grey-headed gull","larus cirrocephalus","grey-headed gull","larus cirrocephalus","62","29"
"316","hartlaub's gull","larus hartlaubii","silver gull ?","larus novaehollandiae (hartlaubii) ?","62","32"
"317","franklin's gull","larus pipixcan","franklin's gull","larus pipixcan","62","31"
"318","sabine's gull","larus sabini","sabine's gull","xema sabini","62","46"
"319","black-headed gull","larus ridibundus","black-headed gull","larus ridibundus","62","37"
"320","black-legged kittiwake","rissa tridactyla","kittiwake","rissa tridactyla","62","43"
"321","gull-billed tern","gelochelidon nilotica","gull-billed tern","gelochelidon nilotica","62","51"
"322","caspian tern","hydroprogne caspia","caspian tern","hydroprogne caspia","62","52"
"323","royal tern","sterna maxima","royal tern","thalasseus maximus","62","78"
"324","swift tern","sterna bergii","crested tern","thalasseus bergii","62","77"
"325","lesser crested tern","sterna bengalensis","lesser crested tern","thalasseus bengalensis","62","79"
"326","sandwich tern","sterna sandvicensis","sandwich tern","thalasseus sandvicensis","62","83"
"327","common tern","sterna hirundo","common tern","sterna hirundo","62","55"
"328","arctic tern","sterna paradisaea","arctic tern","sterna paradisaea","62","56"
"329","antarctic tern","sterna vittata","swallowtailed tern","sterna vittata","62","57"
"330","roseate tern","sterna dougallii","roseate tern","sterna dougallii","62","61"
"331","black-naped tern","sterna sumatrana","black-naped tern","sterna sumatrana","62","64"
"332","sooty tern","sterna fuscata","sooty tern","sterna fuscata","62","69"
"333","bridled tern","sterna anaethetus","bridled tern","sterna anaethetus","62","68"
"334","damara tern","sterna balaenarum","damara tern","sterna balaenarum","62","73"
"335","little tern","sterna albifrons","little tern","sterna albifrons","62","75"
"336","white-cheeked tern","sterna repressa","white-cheeked tern","sterna repressa","62","63"
"337","black tern","chlidonias niger","black tern","chlidonias nigra","62","49"
"338","whiskered tern","chlidonias hybridus","whiskered tern","chlidonias hybrida","62","47"
"339","white-winged tern","chlidonias leucopterus","white-winged black tern","chlidonias leucoptera","62","48"
"340","common noddy","anous stolidus","common noddy","anous stolidus","62","86"
"341","lesser noddy","anous tenuirostris","lesser noddy","anous tenuirostris","62","87"
"342","fairy tern","gygis alba","white tern","gygis alba","62","89"
