"country","currency symbol","currency name","thousand format","decimal format"
"qatar","qar","rial",". (period)","(comma)"
"reunion","frf","franc","NULL","NULL"
"romania","rol","leu",". (period)","(comma)"
"russia","rur","rouble","n/a","(comma)"
"rwanda","rwf","franc","NULL","NULL"
"st. kitts and nevis","xcd","dollar","(comma)",". (period)"
"saint lucia","xcd","dollar","(comma)",". (period)"
"st.vincent and grenadines","xcd","dollar","(comma)",". (period)"
"san marino","eur","euro",". (period)","(comma)"
"saudi arabia","sar","riyal",". (period)","(comma)"
"senegal","xof","franc","NULL","NULL"
"seychelles","scr","rupee","NULL","NULL"
"sierra leone","sll","leone","NULL","NULL"
"singapore","sgd","dollar","(comma)",". (period)"
"slovakia","eur","euro",". (period)","(comma)"
"slovenia","eur","euro",". (period)","(comma)"
"solomon islands","sbd","dollar","(comma)","NULL"
"somalia","sos","shilling","NULL","NULL"
"south africa","zar","rand","(comma)",". (period)"
"spain","eur","euro",". (period)","(comma)"
"sri lanka","lkr","rupee","NULL","NULL"
"st. helena","shp","pound","(comma)",". (period)"
"st. pierre and miquelon","frf","franc","NULL","NULL"
"sudan","sdd","dinar","NULL","NULL"
"suriname","srg","guilder","NULL","NULL"
"swaziland","szl","lilangeni","NULL","NULL"
"sweden","sek","krona","NULL","NULL"
"switzerland","chf","franc","{' (apostrophe) (french)|' (apostrophe) (german)|' (apostrophe) (italian)}","{. (period) (french)|' (period) (german)|' (period) (italian)}"
"syria","syp","pound",". (period)","(comma)"
"taiwan","twd","new dollar","(comma)",". (period)"
"tajikistan","tjr","ruble","NULL","NULL"
"tanzania","tzs","shilling","NULL","NULL"
"thailand","thb","bhat","(comma)",". (period)"
"togo","xof","franc","NULL","NULL"
"tokelau","nzd","dollar","NULL","NULL"
"tonga","top","pa'anga","NULL","NULL"
"trinidad and tobago","ttd","dollar","NULL","NULL"
"tunisia","tnd","dinar",". (period)","(comma)"
"turkey","trl","lira",". (period)","(comma)"
"turkmenistan","tmm","manat","NULL","NULL"
"turks and caicos islands","usd","dollar","(comma)",". (period)"
"tuvalu","aud","dollar","(comma)",". (period)"
"uganda","ugx","shilling","NULL","NULL"
"ukraine","uah","hryvnia","n/a","(comma)"
"united arab emirates","aed","dirham",". (period)","(comma)"
"united kingdom","gbp","pound","(comma)",". (period)"
"united states","usd","dollar","(comma)",". (period)"
"uruguay","uyu","peso",". (period)","(comma)"
"uzbekistan","uzs","som","NULL","NULL"
"vanuatu","vuv","vatu","NULL","NULL"
"vatican city","eur","euro",". (period)","(comma)"
"venezuela","veb","bolivar",". (period)","(comma)"
"vietnam","vnd","dong","NULL","NULL"
"virgin islands british","usd","dollar","(comma)",". (period)"
"virgin islands u.s.","usd","dollar","(comma)",". (period)"
"western sahara","mad","dirham","NULL","NULL"
"yemen","yer","rial",". (period)","(comma)"
"yugoslavia","yun","new dinar","NULL","NULL"
"zaire (congo)","cdf","franc","NULL","NULL"
"zambia","zmk","kwacha","NULL","NULL"
"zimbabwe","zwd","dollar","NULL","NULL"
