"inverted common name","scientific name","where listed","lead region","listing status"
"`akoko","euphorbia haeleeleana","NULL","1","e"
"`akoko ewa plains","chamaesyce skottsbergii var. kalaeloana","NULL","1","e"
"`aku","cyanea tritomantha","NULL","1","c"
"ala`a","pouteria auahiensis","NULL","1","not listed"
"ala`a","pouteria hotteana","NULL","4","not listed"
"ala`a","pouteria rhynchosperma","NULL","1","not listed"
"`ala `ala wai nui","peperomia subpetiolata","NULL","1","c"
"ala balik (trout)","salmo platycephalus","entire","foreign","e"
"alani","melicope adscendens","NULL","1","e"
"alani","melicope balloui","NULL","1","e"
"alani","melicope christophersenii","NULL","1","pe"
"alani","melicope cruciata","NULL","1","not listed"
"alani","melicope degeneri","NULL","1","e"
"alani","melicope haleakalae","NULL","1","not listed"
"alani","melicope haupuensis","NULL","1","e"
"alani","melicope hawaiensis","NULL","1","not listed"
"alani","melicope hiiakae","NULL","1","pe"
"alani","melicope kavaiensis","NULL","1","not listed"
"alani","melicope knudsenii","NULL","1","e"
"alani","melicope lydgatei","NULL","1","e"
"alani","melicope macropus","NULL","1","not listed"
"alani","melicope makahae","NULL","1","pe"
"alani","melicope mucronulata","NULL","1","e"
"alani","melicope munroi","NULL","1","e"
"alani","melicope nealae","NULL","1","not listed"
"alani","melicope obovata","NULL","1","not listed"
"alani","melicope orbicularis","NULL","1","not listed"
"alani","melicope ovalis","NULL","1","e"
"alani","melicope ovata","NULL","1","not listed"
"alani","melicope pallida","NULL","1","e"
"alani","melicope paniculata","NULL","1","e"
"alani","melicope puberula","NULL","1","e"
"alani","melicope quadrangularis","NULL","1","e"
"alani","melicope reflexa","NULL","1","e"
"alani","melicope saint-johnii","NULL","1","e"
"alani","melicope sandwicensis","NULL","1","not listed"
"alani","melicope wailauensis","NULL","1","not listed"
"alani","melicope zahlbruckneri","NULL","1","e"
"albatross amsterdam","diomedia amsterdamensis","entire","foreign","e"
"albatross black-footed","phoebastria nigripes","entire","1","not listed"
"albatross short-tailed","phoebastria (=diomedea) albatrus","entire","7","e"
"alder seaside","alnus maritima","NULL","5","not listed"
"alethe thyolo","alethe choloensis","entire","foreign","e"
"algodoncillo","psiguria cookiana","NULL","4","not listed"
"alice-flower wonderland","aliciella (=gilia) cespitosa","NULL","6","not listed"
"alkali grass howell's","puccinellia howellii","NULL","1","not listed"
"alkali grass parish's","puccinellia parishii","NULL","2","not listed"
"alkali grass [unnamed]","puccinellia triflora","NULL","7","not listed"
"alligator american","alligator mississippiensis","entire","4","sat"
"alligator chinese","alligator sinensis","entire","foreign","e"
"allocarya calistoga","plagiobothrys strictus","NULL","8","e"
"allocarya cedar crest","plagiobothrys glyptocarpus modestus","NULL","1","not listed"
"allocarya glabrous","plagiobothrys glaber","NULL","1","not listed"
"allocarya scribe","plagiobothrys scriptus","NULL","1","not listed"
"alopecurus sonoma","alopecurus aequalis var. sonomensis","NULL","8","e"
"alumroot duran's","heuchera duranii","NULL","1","not listed"
"alumroot island","heuchera maxima","NULL","1","not listed"
"alumroot laguna","heuchera brevistaminea","NULL","1","not listed"
"alumroot shaggyhair","heuchera hirsutissima","NULL","1","not listed"
"alumroot [unnamed]","heuchera americana hispida","NULL","5","not listed"
"amaranth seabeach","amaranthus pumilus","NULL","4","t"
"ambersnail kanab","oxyloma haydeni kanabensis","entire","6","e"
"ambrosia san diego","ambrosia pumila","NULL","8","e"
"ambrosia south texas","ambrosia cheiranthifolia","NULL","2","e"
"ambrosia [unnamed]","ambrosia linearis","NULL","6","not listed"
"amole purple","chlorogalum purpureum","NULL","8","t"
"amorpha texas","amorpha roemeriana","NULL","2","not listed"
"amphianthus little","amphianthus pusillus","NULL","4","t"
"amphipod alabama well","stygobromus smithi","entire","4","not listed"
"amphipod allegheny cave","stygobromus allegheniensis","entire","5","not listed"
"amphipod anomalous spring","crangonyx anomalus","entire","3","not listed"
"amphipod appalachian valley cave","crangonyx antennatus","entire","4","not listed"
"amphipod arizona cave","stygobromus arizonensis","entire","2","ur"
"amphipod balcones cave","stygobromus balconis","entire","2","not listed"
"amphipod barr's cave","stygobromus barri","entire","3","not listed"
"amphipod bath county cave","stygobromus mundus","entire","5","not listed"
"amphipod bifurcated cave","stygobromus bifurcatus","entire","2","not listed"
"amphipod bigger's","stygobromus biggersi","entire","5","not listed"
"amphipod bousfield's","gammarus bousfieldi","entire","4","not listed"
"amphipod bowman's cave","stygobromus bowmani","entire","2","not listed"
"amphipod burnsville cove cave","stygobromus conradi","entire","5","not listed"
"amphipod cascade cave","stygobromus dejectus","entire","2","not listed"
"amphipod cave","stygobromus phreaticus","entire","na","not listed"
"amphipod central kentucky cave","stygobromus exilis","entire","4","not listed"
"amphipod central missouri cave","allocrangonyx hubrichti","entire","3","not listed"
"amphipod clanton's cave","stygobromus clantoni","entire","6","not listed"
"amphipod cooper's cave","stygobromus cooperi","entire","5","not listed"
"amphipod culver's cave","stygobromus culveri","entire","5","not listed"
"amphipod dearolf's cave","crangonyx dearolfi","entire","5","not listed"
"amphipod devil's sinkhole","stygobromus hadenoecus","entire","2","not listed"
"amphipod diminutive","gammarus hyalleloides","entire","2","c"
"amphipod elevated spring","stygobromus elatus","entire","4","not listed"
"amphipod ephemeral cave","stygobromus ephemerus","entire","5","not listed"
"amphipod ezell's cave","stygobromus flagellatus","entire","2","not listed"
"amphipod florida cave","crangonyx grandimanus","entire","4","not listed"
"amphipod franz's","stygobromus franzi","entire","5","not listed"
"amphipod grady's cave","stygobromus gradyi","entire","1","ur"
"amphipod greenbrier cave","stygobromus emarginatus","entire","5","not listed"
"amphipod hara's cave","stygobromus harai","entire","1","ur"
"amphipod hay's spring","stygobromus hayi","entire","5","e"
"amphipod hobb's cave","crangonyx hobbsi","entire","4","not listed"
"amphipod illinois cave","gammarus acherondytes","entire","3","e"
"amphipod iowa","stygobromus iowae","entire","3","not listed"
"amphipod kansas well","bactrurus hubrichti","entire","2","not listed"
"amphipod kauai cave","spelaeorchestia koloana","entire","1","e"
"amphipod kenk's","stygobromus kenki","entire","5","c"
"amphipod long-legged cave","stygobromus longipes","entire","2","not listed"
"amphipod mackenzie's cave","stygobromus mackenziei","entire","1","ur"
"amphipod malheur cave","stygobromus hubbsi","entire","1","ur"
"amphipod minor cave","crangonyx minor","entire","3","not listed"
"amphipod minute cave","stygobromus parvus","entire","5","not listed"
"amphipod morrison's cave","stygobromus morrisoni","entire","5","not listed"
"amphipod mountain cave","stygobromus montanus","entire","4","not listed"
"amphipod noel's","gammarus desperatus","entire","2","e"
"amphipod norton's cave","stygobromus nortoni","entire","4","not listed"
"amphipod oklahoma cave","allocrangonyx pellucidus","entire","2","not listed"
"amphipod onondaga cave","stygobromus onondagaensis","entire","3","not listed"
"amphipod oregon cave","stygobromus oregonensis","entire","1","not listed"
"amphipod ozark cave","stygobromus ozarkensis","entire","3","not listed"
"amphipod packard's cave","crangonyx packardi","entire","3","not listed"
"amphipod peck's cave","stygobromus (=stygonectes) pecki","entire","2","e"
"amphipod pecos","gammarus pecos","entire","2","not listed"
"amphipod pickle springs","stygobromus heteropodus","entire","3","not listed"
"amphipod pizzini's","stygobromus pizzinii","entire","5","not listed"
"amphipod pocahontas cave","stygobromus nanus","entire","5","not listed"
"amphipod potomac groundwater","stygobromus tenuis potomacus","entire","5","not listed"
"amphipod redacted cave","stygobromus redactus","entire","5","not listed"
"amphipod redell's cave","stygobromus reddelli","entire","2","not listed"
"amphipod rubious cave","stygobromus lucifugus","entire","3","not listed"
"amphipod shenandoah valley cave","stygobromus gracilipes","entire","5","not listed"
"amphipod southwestern virginia cave","stygobromus mackini","entire","4","not listed"
"amphipod spring cave","stygobromus spinatus","entire","5","not listed"
"amphipod stellmack's cave","stygobromus stellmacki","entire","5","not listed"
"amphipod subtle cave","stygobromus subtilis","entire","3","not listed"
"amphipod tidewater","stygobromus indentatus","entire","5","not listed"
"amphipod tidewater interstitial","stygobromus araeus","entire","5","not listed"
"amphipod undescribed","crangonyx sp","entire","na","not listed"
"amphipod [unnamed]","stygobromus hoffmani","entire","5","not listed"
"amphipod wengerors' cave","stygobromus wengerorum","entire","1","ur"
"amphipod wisconsin well","stygobromus putealis","entire","3","not listed"
"amphiuma one-toed","amphiuma pholeter","entire","4","not listed"
"`anaunau","lepidium arbuscula","NULL","1","e"
"`anaunau","lepidium bidentatum o-waihiense","NULL","1","not listed"
"`anaunau","lepidium serra","NULL","1","not listed"
"`anaunau remy's","lepidium bidentatum remyi","NULL","1","not listed"
"ancylid domed","rhodacmea elatior","entire","4","not listed"
"ancylid hood","ferrissia mcneili","entire","4","not listed"
"ancylid wicker","rhodacmea filosa","entire","4","not listed"
"andrenid bee antioch","perdita scitula antiochensis","entire","1","not listed"
"andrenid bee yellow-banded","perdita hirticeps luteocincta","entire","1","not listed"
"anemone edge falls","anemone edwardsiana petraea","NULL","2","not listed"
"anemone [unnamed]","anemone edwardsiana edwardsiana","NULL","2","not listed"
"anemone [unnamed]","anemone minima","NULL","5","not listed"
"anemone [unnamed]","anemone oregana felix","NULL","1","not listed"
"angelica call's","angelica callii","NULL","1","not listed"
"anglepod falfurrias","matelea radiata","NULL","2","not listed"
"anglepod [unnamed]","matelea alabamensis","NULL","4","not listed"
"anglepod [unnamed]","matelea baldwyniana","NULL","4","not listed"
"ani smooth-billed","crotophaga ani","entire","4","not listed"
"anoa lowland","bubalus depressicornis","entire","foreign","e"
"anoa mountain","bubalus quarlesi","entire","foreign","e"
"anobiid beetle piko","holcobius pikoensis","entire","1","not listed"
"anole cook's","anolis cooki","entire","4","not listed"
"anole culebra island giant","anolis roosevelti","entire","4","e"
"anole puerto rican pygmy","anolis occultus","entire","4","not listed"
"ant ancient","smithistruma reliquia","entire","1","not listed"
"ant charleston","lasius nevadensis","entire","1","not listed"
"antelope giant sable","hippotragus niger variani","entire","foreign","e"
"antelope tibetan","pantholops hodgsonii","entire","foreign","e"
"anthicid antioch dunes","anthicus antiochensis","entire","1","not listed"
"anthicid sacramento","anthicus sacramento","entire","1","not listed"
"antlion molokai","distoleon perjerus","entire","1","not listed"
"antpitta brown-banded","grallaria milleri","entire","9","pe"
"ant valley oak","proceratium californicum","entire","1","ur"
"ant velvet","dasymutilla imperialis","entire","8","not listed"
"ant velvet","dasymutilla nocturna","entire","8","not listed"
"antwren black hooded (black-headed)","formicivora erythronotos","entire","9","e"
"`anunu","sicyos alba","NULL","1","e"
"`anunu","sicyos cucumerinus","NULL","1","not listed"
"`anunu","sicyos macrophyllus","NULL","1","c"
"apamea moth smyth's","apamea smythi","entire","3","not listed"
"aphanisma","aphanisma blitoides","NULL","1","not listed"
"apoda","pelea parvifolia apoda","NULL","1","not listed"
"arc-mussel altamaha","alasmidonta arcula","entire","4","not listed"
"arc-mussel florida","alasmidonta wrightiana","entire","4","not listed"
"argali","ovis ammon","entire except kyrgyzstan mongolia and tajikistan","foreign","e"
"argali","ovis ammon","kyrgyzstan mongolia and tajikistan","foreign","t"
"armadillo giant","priodontes maximus","entire","foreign","e"
"armadillo pink fairy","chlamyphorus truncatus","entire","foreign","e"
"arnica shasta","arnica viscosa","NULL","1","not listed"
"arrow-grass gaspe peninsula","triglochin gaspense","NULL","5","not listed"
"arrowhead bunched","sagittaria fasciculata","NULL","4","e"
"arrowwood [unnamed]","viburnum bracteatum","NULL","4","not listed"
"artemisia sp. nov. ined.","artemisia sp.","NULL","1","not listed"
"ascyrum edison's","hypericum edisonianum","NULL","4","not listed"
"ash goodding's","fraxinus gooddingii","NULL","2","not listed"
"ash large-petaled","fraxinus cuspidata macropetala","NULL","2","not listed"
"ash [unnamed]","fraxinus anomala lowellii","NULL","2","not listed"
"asphodel bog","narthecium americanum","NULL","5","c"
"ass african wild","equus asinus","entire","foreign","e"
"ass asian wild","equus hemionus","entire","foreign","e"
"aster borrego","xylorhiza orcuttii","NULL","1","not listed"
"aster bouquet","eurybia mirabilis","NULL","4","not listed"
"aster brikellbush","aster brickellioides","NULL","1","not listed"
"aster chapman's","aster chapmani","NULL","4","not listed"
"aster columbian whitetop","sericocarpus rigidus","NULL","1","not listed"
"aster coyote-thistle","aster eryngiifolius","NULL","4","not listed"
"aster cruise's golden","chrysopsis gossypina cruiseana","NULL","4","not listed"
"aster curtus","aster curtus","NULL","1","not listed"
"aster decurrent false","boltonia decurrens","NULL","3","t"
"aster florida golden","chrysopsis floridana","NULL","4","e"
"aster georgia","symphyotrichum georgianum","NULL","4","c"
"aster godfrey's golden","chrysopsis godfreyi","NULL","4","not listed"
"aster gorman","aster gormanii","NULL","1","not listed"
"aster guadalupe smooth","aster laevis guadalupensis","NULL","2","not listed"
"aster hawaiian","aster sandwicensis","NULL","1","not listed"
"asteriid fly nihoa two-spotted","bryania bipunctata","entire","1","not listed"
"aster jessica's","aster jessicae","NULL","1","not listed"
"aster laguna mountains","machaeranthera asteroides lagunensis","NULL","1","not listed"
"aster mecca","xylorhiza cognata","NULL","1","not listed"
"aster peirson's","aster peirsonii","NULL","1","not listed"
"aster red rock canyon","ionactis caelestis","NULL","6","not listed"
"aster rockcastle","aster saxicastellii","NULL","4","not listed"
"aster rough-stemmed","aster puniceus scabricaulis","NULL","2","not listed"
"aster ruth's golden","pityopsis ruthii","NULL","4","e"
"aster serpentine","aster depauperatus","NULL","5","not listed"
"aster suisun","aster chilensis lentus","NULL","1","not listed"
"aster [unnamed]","aster brachypholis","NULL","4","not listed"
"aster [unnamed]","aster chasei","NULL","3","not listed"
"aster [unnamed]","aster furcatus","NULL","3","not listed"
"aster [unnamed]","aster glaucescens","NULL","1","not listed"
"aster [unnamed]","aster greatai","NULL","1","not listed"
"aster [unnamed]","aster hallii","NULL","1","not listed"
"aster [unnamed]","aster kingii kingii","NULL","6","not listed"
"aster [unnamed]","aster lemmonii","NULL","2","not listed"
"aster [unnamed]","aster mollis","NULL","6","not listed"
"aster [unnamed]","aster pinifolius","NULL","4","not listed"
"aster [unnamed]","aster plumosus","NULL","4","not listed"
"aster [unnamed]","aster schistosus","NULL","5","not listed"
"aster [unnamed]","aster spinulosus","NULL","4","not listed"
"aster [unnamed]","aster verutifolius","NULL","4","not listed"
"aster wayside","aster vialis","NULL","1","not listed"
"aster western bog","aster paludicola","NULL","1","not listed"
"aster yukon","aster yukonensis","NULL","7","not listed"
"aster ziegler's","machaeranthera canescens ziegleri","NULL","1","not listed"
"auklet cassin's","ptychoramphus aleuticus","entire","1","not listed"
"aumakua palapalai","dryopteris crinalis var. podosorus","NULL","1","e"
"aupaka","isodendrion hosakae","NULL","1","e"
"aupaka","isodendrion laurifolium","NULL","1","e"
"aupaka","isodendrion longifolium","NULL","1","t"
"avahi","avahi laniger (entire genus)","entire","foreign","e"
"avens bent","geum geniculatum","NULL","4","not listed"
"avens mountain","geum peckii","NULL","5","not listed"
"avens spreading","geum radiatum","NULL","4","e"
"`awikiwiki","canavalia molokaiensis","NULL","1","e"
"`awikiwiki","canavalia napaliensis","NULL","1","e"
"`awikiwiki","canavalia pubescens","NULL","1","c"
"awiwi","centaurium sebaeoides","NULL","1","e"
"awiwi","hedyotis cookiana","NULL","1","e"
"aye-aye","daubentonia madagascariensis","entire","foreign","e"
"ayenia texas","ayenia limitaris","NULL","2","e"
"ayumodoki (loach)","hymenophysa curta","entire","foreign","e"
"azalea pink-shell","rhododendron vaseyi","NULL","4","not listed"
"azalea plumleaf","rhododendron prunifolium","NULL","4","not listed"
"babirusa","babyrousa babyrussa","entire","foreign","e"
"baboon gelada","theropithecus gelada","entire","foreign","t"
"baccharis encinitas","baccharis vanessae","NULL","8","t"
"bacora marron","solanum conocarpum","NULL","4","c"
"badger american","taxidiinae taxus","entire","2","not listed"
"baeria salinas valley","lasthenia leptalea","NULL","1","not listed"
"ballmoss bailey's","tillandsia baileyi","NULL","2","not listed"
"balsamroot big scale","balsamorhiza macrolepis var. macrolepis","NULL","6","not listed"
"bandicoot barred","perameles bougainville","entire","foreign","e"
"bandicoot desert","perameles eremiana","entire","foreign","e"
"bandicoot lesser rabbit","macrotis leucura","entire","foreign","e"
"bandicoot pig-footed","chaeropus ecaudatus","entire","foreign","e"
"bandicoot rabbit","macrotis lagotis","entire","foreign","e"
"bankclimber purple (mussel)","elliptoideus sloatianus","entire","4","t"
"banteng","bos javanicus","entire","foreign","e"
"barbara's buttons large-flowered","marshallia grandiflora","NULL","5","not listed"
"barberry hardy creek","berberis nervosa mendocinensis","NULL","1","not listed"
"barberry higgin's","berberis higginsiae","NULL","1","not listed"
"barberry island","berberis pinnata ssp. insularis","NULL","8","e"
"barberry kofa","berberis harrisoniana","NULL","2","not listed"
"barberry nevin's","berberis nevinii","NULL","8","e"
"barberry truckee","berberis (=mahonia) sonnei","NULL","8","do"
"barberry [unnamed]","berberis swaseyi","NULL","2","not listed"
"barbthroat black","threnetes grzimeki","entire","foreign","ur"
"bariaco","trichilia triacantha","NULL","4","e"
"barley vernal","hordeum intercedens","NULL","6","not listed"
"barrel cactus coast","ferocactus viridescens","NULL","1","not listed"
"barren strawberry piedmont","waldsteinia lobata","NULL","4","not listed"
"bass guadalupe","micropterus treculi","entire","2","not listed"
"bat allen's big-eared","idionycteris phyllotis","entire","6","not listed"
"bat big brown","eptesicus fuscus","entire","6","not listed"
"bat big free-tailed","nyctinomops macrotis","entire","2","not listed"
"bat bulmer's fruit (=flying fox)","aproteles bulmerae","entire","foreign","e"
"bat bumblebee","craseonycteris thonglongyai","entire","foreign","e"
"bat california leaf-nosed","macrotus californicus","entire","2","not listed"
"bat desmarest's fig-eating","stenoderma rufum","entire","4","not listed"
"bat eastern small-footed","myotis leibii","entire","5","ur"
"bat florida bonneted","eumops floridanus","entire","4","c"
"bat gray","myotis grisescens","entire","3","e"
"bat hawaiian hoary","lasiurus cinereus semotus","entire","1","e"
"bat indiana","myotis sodalis","entire","3","e"
"bat insular long-tongued","monophylus plethodon frater","entire","4","not listed"
"bat lesser long-nosed","leptonycteris curasoae yerbabuenae","entire","2","e"
"bat little mariana fruit","pteropus tokudae","entire","1","e"
"bat mariana fruit (=mariana flying fox)","pteropus mariannus mariannus","entire range","1","t"
"bat mexican long-nosed","leptonycteris nivalis","entire","2","e"
"bat mexican long-tongued","choeronycteris mexicana","entire","2","not listed"
"bat occult little brown","myotis lucifugus occultus","entire","2","not listed"
"bat ozark big-eared","corynorhinus (=plecotus) townsendii ingens","entire","2","e"
"bat pacific sheath-tailed","emballonura semicaudata rotensis","entire","1","c"
"bat pacific sheath-tailed","emballonura semicaudata semicaudata","american samoa","1","c"
"bat pacific townsend's big-eared","plecotus townsendii townsendii","entire","1","not listed"
"bat pagan mariana flying fox","pteropus mariannus paganensis","entire","1","not listed"
"bat pale townsend's big-eared","plecotus townsendii pallescens","entire","2","not listed"
"bat pallid","antrozous pallidus","entire","2","not listed"
"bat pocketed free-tailed","nyctinomops femorosaccus","entire","6","not listed"
"bat rafinesque's big-eared","plecotus rafinesquii","entire","4","not listed"
"bat rodrigues fruit (=flying fox)","pteropus rodricensis","entire","foreign","e"
"bat samoan fruit","pteropus samoensis samoensis","entire","1","ur"
"bat sheath-tailed","emballonura semicaudata sulcata","entire","1","not listed"
"bat silver-haired","lasionycteris noctivagans","entire","7","not listed"
"bat singapore roundleaf horseshoe","hipposideros ridleyi","entire","foreign","e"
"bat southern yellow","lasiurus ega","entire","8","not listed"
"bat spotted","euderma maculatum","entire","2","not listed"
"bat townsend's western big-eared","plecotus townsendii ssp. pallescens","entire","6","not listed"
"bat townsend's western big-eared","plecotus townsendii ssp. townsendii","entire","6","not listed"
"bat virginia big-eared","corynorhinus (=plecotus) townsendii virginianus","entire","5","e"
"bat western red","lasiurus blossevillii","entire","6","not listed"
"beaked-rush california","rhynchospora californica","NULL","1","not listed"
"beaked-rush hairy-peduncled","rhynchospora crinipes","NULL","4","not listed"
"beaked-rush knieskern's","rhynchospora knieskernii","NULL","5","t"
"beaked-rush thorne's","rhynchospora thornei","NULL","4","not listed"
"beaked-rush [unnamed]","rhynchospora culixa","NULL","4","not listed"
"beaked-rush [unnamed]","rhynchospora decurrens","NULL","4","not listed"
"beaked-rush [unnamed]","rhynchospora globularis saxicola","NULL","4","not listed"
"beaked-rush [unnamed]","rhynchospora punctata","NULL","4","not listed"
"bean choctaw","villosa choctawensis","entire","4","pe"
"bean cumberland (pearlymussel)","villosa trabalis","entire range; except where listed as experimental populations","4","e"
"bean cumberland (pearlymussel)","villosa trabalis","u.s.a. (al;the free-flowing reach of the tennessee r. from the base of wilson dam downstream to the backwaters of pickwick reservoir [about 12 rm (19 km)] and the lower 5 rm [8 km] of all tributaries to this reach in colbert and lauderdale cos. see 17.85(a))","4","expn"
"bean cumberland (pearlymussel)","villosa trabalis","u.s.a. (tn - specified portions of the french broad and holston rivers; see 17.85(b)(1))","4","expn"
"bean purple","villosa perpurpurea","entire","5","e"
"bean rayed","villosa fabalis","entire","3","e"
"bean supine","phaseolus supinus","NULL","2","not listed"
"bear american black","ursus americanus","u.s.a. (la all counties; ms tx only within the historic county range of the louisiana black bear)","4","sat"
"bear baluchistan","ursus thibetanus gedrosianus","entire","foreign","e"
"bear brown","ursus arctos arctos","italy","foreign","e"
"bear brown","ursus arctos arctos","kenai peninsula population","7","not listed"
"bear brown","ursus arctos horribilis","alaska","na","not listed"
"bear brown","ursus arctos pruinosus","entire","foreign","e"
"beard grass [unnamed]","andropogon arctatus","NULL","4","not listed"
"beardtongue absaroka","penstemon absarokensis","NULL","6","not listed"
"beardtongue alamo","penstemon alamosensis","NULL","2","not listed"
"beardtongue ben franklin's","penstemon franklinii","NULL","6","not listed"
"beardtongue cache","penstemon compactus","NULL","6","not listed"
"beardtongue cary","penstemon caryi","NULL","6","not listed"
"beardtongue cataiina","penstemon discolor","NULL","2","not listed"
"beardtongue charleston","penstemon leiophyllus var. keckii","NULL","6","not listed"
"beardtongue closed-lip","penstemon personatus","NULL","1","not listed"
"beardtongue degener","penstemon degeneri","NULL","6","not listed"
"beardtongue garrett's","penstemon scariosus garrettii","NULL","6","not listed"
"beardtongue gibbens","penstemon gibbensii","NULL","6","not listed"
"beardtongue graham","penstemon grahamii","NULL","6","pt"
"beardtongue harrington","penstemon harringtonii","NULL","6","not listed"
"beardtongue lemhi","penstemon lemhiensis","NULL","1","not listed"
"beardtongue low","penstemon nanus","NULL","6","not listed"
"beardtongue mt. trumbull","penstemon distans","NULL","2","not listed"
"beardtongue parachute","penstemon debilis","NULL","6","t"
"beardtongue payson","penstemon paysoniorum","NULL","6","not listed"
"beardtongue penland","penstemon penlandii","NULL","6","e"
"beardtongue red canyon","penstemon bracteatus","NULL","6","not listed"
"beardtongue small","penstemon parvus","NULL","6","not listed"
"beardtongue stemless","penstemon acaulis","NULL","6","not listed"
"beardtongue stephens'","penstemon stephensii","NULL","1","not listed"
"beardtongue tidestrom","penstemon tidestromii","NULL","6","not listed"
"beardtongue tiger","penstemon mensarum","NULL","6","not listed"
"beardtongue tracy","penstemon tracyi","NULL","1","not listed"
"beardtongue tunnel springs","penstemon concinnus","NULL","6","not listed"
"beardtongue uintah","penstemon uintahensis","NULL","6","not listed"
"beardtongue [unnamed]","penstemon abietinus","NULL","6","not listed"
"beardtongue [unnamed]","penstemon angustifolius dulcis","NULL","6","not listed"
"beardtongue [unnamed]","penstemon caespitosus suffruticosus","NULL","6","not listed"
"beardtongue [unnamed]","penstemon clutei","NULL","2","not listed"
"beardtongue [unnamed]","penstemon deamii","NULL","3","not listed"
"beardtongue [unnamed]","penstemon decurvus","NULL","1","not listed"
"beardtongue [unnamed]","penstemon glaucinus","NULL","1","not listed"
"beardtongue [unnamed]","penstemon keckii","NULL","1","not listed"
"beardtongue [unnamed]","penstemon leiophyllus","NULL","6","not listed"
"beardtongue [unnamed]","penstemon nyeensis","NULL","1","not listed"
"beardtongue [unnamed]","penstemon pahutensis","NULL","1","not listed"
"beardtongue [unnamed]","penstemon pinorum","NULL","6","not listed"
"beardtongue [unnamed]","penstemon retrorsus","NULL","6","not listed"
"beardtongue [unnamed]","penstemon rubicundus","NULL","1","not listed"
"beardtongue wallowa","penstemon spatulatus","NULL","1","not listed"
"beardtongue ward","penstemon wardii","NULL","6","not listed"
"beardtongue white river","penstemon scariosus albifluvis","NULL","6","c"
"bear florida black","ursus americanus floridanus","entire","4","not listed"
