"Date Reviewed: 02/11/2012","Date Reviewed: 02/11/2012","Date Reviewed: 02/11/2012"
"dan1pow from unknown    Member Since: 10/19/2009          View Member's:      Reviews","Site has quick correct accurate information and ease of use.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 12/23/2011","Date Reviewed: 12/23/2011","Date Reviewed: 12/23/2011"
"gmlllc from unknown    Member Since: 12/07/2011          View Member's:      Reviews","waiting to see if this merchant actually follows through","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 12/14/2011","Date Reviewed: 12/14/2011","Date Reviewed: 12/14/2011"
"rmoran43 from unknown    Member Since: 11/28/2011          View Member's:      Reviews","it was very easy to find prod and service","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 12/01/2011","Date Reviewed: 12/01/2011","Date Reviewed: 12/01/2011"
"mkimmerly from unknown    Member Since: 05/21/2010          View Member's:      Reviews","I have 'NEVER' been disappointed with the selection pricing and delivery of any order placed. The only thing I would consider adding would be pictures of the merchandise ... this makes life a little easier.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 12/01/2011","Date Reviewed: 12/01/2011","Date Reviewed: 12/01/2011"
"billyrhodes58 from unknown    Member Since: 11/15/2011          View Member's:      Reviews","My experiance was quick and easy. Site has easy navigation.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 11/30/2011","Date Reviewed: 11/30/2011","Date Reviewed: 11/30/2011"
"roger.clark from unknown    Member Since: 11/14/2011          View Member's:      Reviews","Great service","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 11/27/2011","Date Reviewed: 11/27/2011","Date Reviewed: 11/27/2011"
"d7724 from unknown    Member Since: 11/11/2011          View Member's:      Reviews","none at this time","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 11/26/2011","Date Reviewed: 11/26/2011","Date Reviewed: 11/26/2011"
"mamoore from unknown    Member Since: 11/10/2011          View Member's:      Reviews","Server Supply has always been easy to deal with fast and has even given unexpected but much appreciated returning customer discounts.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 11/25/2011","Date Reviewed: 11/25/2011","Date Reviewed: 11/25/2011"
"cornelbucur from unknown    Member Since: 01/20/2010          View Member's:      Reviews","So far so good. The order process was easy. Now I am waiting for the product","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 11/10/2011","Date Reviewed: 11/10/2011","Date Reviewed: 11/10/2011"
"xl_rider from IL    Member Since: 09/11/2005          View Member's:      Reviews","I am purchasing a Refurbished product I would have liked to see an explanation as to how the motherboard was processed for resale.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 11/07/2011","Date Reviewed: 11/07/2011","Date Reviewed: 11/07/2011"
"eric_opticfusion from WA    Member Since: 05/21/2004          View Member's:      Reviews","Ordered 18 of these hard drives. 4 of them arrived marked Refurbished. 1 arrived DoA. No where on their web site does it say that they are refurbished. Customer service was extremely poor staff was very rude. Will never order from them again.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 11/05/2011","Date Reviewed: 11/05/2011","Date Reviewed: 11/05/2011"
"sgerber from unknown    Member Since: 10/20/2011          View Member's:      Reviews","So far -- so good","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 11/03/2011","Date Reviewed: 11/03/2011","Date Reviewed: 11/03/2011"
"randy from unknown    Member Since: 10/18/2011          View Member's:      Reviews","will return","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 10/26/2011","Date Reviewed: 10/26/2011","Date Reviewed: 10/26/2011"
"chtranscript from unknown    Member Since: 10/17/2011          View Member's:      Reviews","Just ordered it will see how fast they get it shipped out. Liked the price.Got the order on time. Satisfied with purchase.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 10/15/2011","Date Reviewed: 10/15/2011","Date Reviewed: 10/15/2011"
"Toast100 from unknown    Member Since: 03/19/2009          View Member's:      Reviews","Fast shipping. On their website didn't see used or refurbished for the hard drive I ordered. Was surprised to see an Apple partition bad sectors warnings and fail in the SMART data. The cost to return it would be half what I paid for it so I tossed it in the garbage.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 09/18/2011","Date Reviewed: 09/18/2011","Date Reviewed: 09/18/2011"
"tobshort79 from unknown    Member Since: 09/02/2011          View Member's:      Reviews","Was esy to use provider had exactly what I was looking for as listed and now hope to get soon","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 09/17/2011","Date Reviewed: 09/17/2011","Date Reviewed: 09/17/2011"
"rhickman03 from unknown    Member Since: 09/01/2011          View Member's:      Reviews","Quick response easy to navigate excellent prices.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 09/15/2011","Date Reviewed: 09/15/2011","Date Reviewed: 09/15/2011"
"danconroysr from unknown    Member Since: 08/30/2011          View Member's:      Reviews","Glad to do buisness with you","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
