"prize","year","winner1","winner2","winner3"
"the nobel prize in physics","1948","patrick m.s. blackett","NULL","NULL"
"the nobel prize in physics","1949","hideki yukawa","NULL","NULL"
"the nobel prize in physics","1950","cecil powell","NULL","NULL"
"the nobel prize in physics","1951","john cockcroft","ernest t.s. walton","NULL"
"the nobel prize in physics","1952","felix bloch","e. m. purcell","NULL"
"the nobel prize in physics","1953","frits zernike","NULL","NULL"
"the nobel prize in physics","1954","max born","walther bothe","NULL"
"the nobel prize in physics","1955","willis e. lamb","polykarp kusch","NULL"
"the nobel prize in physics","1956","william b. shockley","john bardeen","walter h. brattain"
"the nobel prize in physics","1957","chen ning yang","tsung-dao lee","NULL"
"the nobel prize in physics","1958","pavel a. cherenkov","il´ja m. frank","igor y. tamm"
"the nobel prize in physics","1959","emilio segrè","owen chamberlain","NULL"
"the nobel prize in physics","1960","donald a. glaser","NULL","NULL"
"the nobel prize in physics","1961","robert hofstadter","rudolf mössbauer","NULL"
"the nobel prize in physics","1962","lev landau","NULL","NULL"
"the nobel prize in physics","1963","eugene wigner","maria goeppert-mayer","j. hans d. jensen"
"the nobel prize in physics","1964","charles h. townes","nicolay g. basov","aleksandr m. prokhorov"
"the nobel prize in physics","1965","sin-itiro tomonaga","julian schwinger","richard p. feynman"
"the nobel prize in physics","1966","alfred kastler","NULL","NULL"
"the nobel prize in physics","1967","hans bethe","NULL","NULL"
"the nobel prize in physics","1968","luis alvarez","NULL","NULL"
"the nobel prize in physics","1969","murray gell-mann","NULL","NULL"
"the nobel prize in physics","1970","hannes alfvén","louis néel","NULL"
"the nobel prize in physics","1971","dennis gabor","NULL","NULL"
"the nobel prize in physics","1972","john bardeen","leon n. cooper","robert schrieffer"
"the nobel prize in physics","1973","leo esaki","ivar giaever","brian d. josephson"
"the nobel prize in physics","1974","martin ryle","antony hewish","NULL"
"the nobel prize in physics","1975","aage n. bohr","ben r. mottelson","james rainwater"
"the nobel prize in physics","1976","burton richter","samuel c.c. ting","NULL"
"the nobel prize in physics","1977","philip w. anderson","sir nevill f. mott","john h. van vleck"
"the nobel prize in physics","1978","pyotr kapitsa","arno penzias","robert woodrow wilson"
"the nobel prize in physics","1979","sheldon glashow","abdus salam","steven weinberg"
"the nobel prize in physics","1980","james cronin","val fitch","NULL"
"the nobel prize in physics","1981","nicolaas bloembergen","arthur l. schawlow","kai m. siegbahn"
"the nobel prize in physics","1982","kenneth g. wilson","NULL","NULL"
"the nobel prize in physics","1983","subramanyan chandrasekhar","william a. fowler","NULL"
"the nobel prize in physics","1984","carlo rubbia","simon van der meer","NULL"
"the nobel prize in physics","1985","klaus von klitzing","NULL","NULL"
"the nobel prize in physics","1986","ernst ruska","gerd binnig","heinrich rohrer"
"the nobel prize in physics","1987","j. georg bednorz","k. alex müller","NULL"
"the nobel prize in physics","1988","leon m. lederman","melvin schwartz","jack steinberger"
"the nobel prize in physics","1989","norman f. ramsey","hans g. dehmelt","wolfgang paul"
"the nobel prize in physics","1990","jerome i. friedman","henry w. kendall","richard e. taylor"
"the nobel prize in physics","1991","pierre-gilles de gennes","NULL","NULL"
"the nobel prize in physics","1992","georges charpak","NULL","NULL"
"the nobel prize in physics","1993","russell a. hulse","joseph h. taylor jr.","NULL"
"the nobel prize in physics","1994","bertram n. brockhouse","clifford g. shull","NULL"
"the nobel prize in physics","1995","martin l. perl","frederick reines","NULL"
"the nobel prize in physics","1996","david m. lee","douglas d. osheroff","robert c. richardson"
"the nobel prize in physics","1997","steven chu","claude cohen-tannoudji","william d. phillips"
"the nobel prize in physics","1998","robert b. laughlin","horst l. störmer","daniel c. tsui"
"the nobel prize in physics","1999","gerardus 't hooft","martinus j.g. veltman","NULL"
"the nobel prize in physics","2000","zhores i. alferov","herbert kroemer","jack s. kilby"
"the nobel prize in physics","2001","eric a. cornell","wolfgang ketterle","carl e. wieman"
"the nobel prize in physics","2002","raymond davis jr.","masatoshi koshiba","riccardo giacconi"
"the nobel prize in physics","2003","alexei a. abrikosov","vitaly l. ginzburg","anthony j. leggett"
"the nobel prize in physics","2004","david j. gross","h. david politzer","frank wilczek"
"the nobel prize in physics","2005","roy j. glauber","john l. hall","theodor w. hänsch"
