"english","french","romanian","german","latin"
"eurasian coot","foulque macroule","lişiţă","bl&auml;&szlig;huhn","fulica atra"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","gruiformes: otididae"
"great bustard","grande outarde","dropie","gro&szlig;trappe","otis tarda"
"houbara bustard","outarde houbara","dropie gulerată","grosse kragentrappe","chlamydotis undulata"
"macqueen s bustard","outarde de macqueen","dropie asiatica","asiatische kragentrappe","chlamydotis macqueenii"
"little bustard","outarde canepetiere","sp&acirc;rcaci","zwergtrappe","tetrax tetrax"
"waders","limicoles","charadriiformes","regenpfeiferv&ouml;gel","charadriiformes: haematopodidae"
"eurasian oystercatcher","hu&icirc;trier pie","scoicar","austernfischer","haematopus ostralegus"
"charadriiformes: recurvirostridae","charadriiformes: recurvirostridae","&nbsp;","&nbsp;","&nbsp;"
"black-winged stilt","&eacute;chasse blanche","piciorong","stelzenl&auml;ufer","himantopus himantopus"
"pied avocet","avocette &eacute;l&eacute;gante","cioc&icirc;ntors","s&auml;belschn&auml;bler","recurvirostra avosetta"
"charadriiformes: burhinidae","charadriiformes: burhinidae","&nbsp;","&nbsp;","&nbsp;"
"eurasian thick-knee","oedicneme criard","pasărea ogorului","triel","burhinus oedicnemus"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"charadriiformes: glareolidae","charadriiformes: glareolidae","&nbsp;","&nbsp;","&nbsp;"
"collared pratincole","glar&eacute;ole a collier","ciovlică ruginie","rotfl&uuml;gel-brachschwalbe","glareola pratincola"
"black-winged pratincole","glar&eacute;ole a ailes noires","ciovlică negrie","schwarzfl&uuml;gel-brachschwalbe","glareola nordmanni"
"charadriiformes: charadriidae","charadriiformes: charadriidae","&nbsp;","&nbsp;","&nbsp;"
"northern lapwing","vanneau hupp&eacute;","nagăţ","kiebitz","vanellus vanellus"
"spur-winged plover","vanneau a &eacute;perons","nagăţ sudic","spornkiebitz","vanellus spinosus"
"sociable lapwing","vanneau sociable","nagăţ de stepă","steppenkiebitz","vanellus gregarius"
"white-tailed lapwing","vanneau a queue blanche","nagăţ cu coada albă","wei&szlig;schwanzkiebitz","vanellus leucurus"
"european golden-plover","pluvier dor&eacute;","ploier auriu","goldregenpfeifer","pluvialis apricaria"
"black-bellied plover","pluvier argent&eacute;","ploier argintiu","kiebitzregenpfeifer","pluvialis squatarola"
"common ringed plover","pluvier grand-gravelot","prundăraş gulerat mare","sandregenpfeifer","charadrius hiaticula"
"little ringed plover","pluvier petit-gravelot","prundăraş gulerat mic","flu&szlig;regenpfeifer","charadrius dubius"
"killdeer","pluvier kildir","prundăraş cu coadă ascuţită","keilschwanz-regenpfeifer","charadrius vociferus"
"snowy plover","pluvier a collier interrompu","prundăraş de sărătură","seeregenpfeifer","charadrius alexandrinus"
"caspian plover","pluvier asiatique","prundăraş asiatic","wermutregenpfeifer","charadrius asiaticus"
"eurasian dotterel","pluvier guignard","prundăraş de munte","mornellregenpfeifer","charadrius morinellus"
"charadriiformes: scolopacidae","charadriiformes: scolopacidae","&nbsp;","&nbsp;","&nbsp;"
"eurasian woodcock","b&eacute;casse des bois","sitar de pădure","waldschnepfe","scolopax rusticola"
"jack snipe","b&eacute;cassine sourde","becaţină mică","zwergschnepfe","lymnocryptes minimus"
"great snipe","b&eacute;cassine double","becaţină mare","doppelschnepfe","gallinago media"
"common snipe","b&eacute;cassine des marais","becaţină comună","bekassine-gallinago","gallinago gallinago"
"black-tailed godwit","barge a queue noire","sitar de mal","uferschnepfe","limosa limosa"
"bar-tailed godwit","barge rousse","sitar de mal nordic","pfuhlschnepfe","limosa lapponica"
"whimbrel","courlis corlieu","culic mic","regenbrachvogel","numenius phaeopus"
"slender-billed curlew","courlis a bec grele","culic cu cioc subţire","d&uuml;nnschnabel-brachvogel","numenius tenuirostris"
"eurasian curlew","courlis cendr&eacute;","culic mare","gro&szlig;er brachvogel","numenius arquata"
"spotted redshank","chevalier arlequin","fluierar negru","dunkler wasserl&auml;ufer","tringa erythropus"
"common redshank","chevalier gambette","fluierar cu picioare roşii","rotschenkel","tringa totanus"
"marsh sandpiper","chevalier stagnatile","fluierar de lac","teichwasserl&auml;ufer","tringa stagnatilis"
"common greenshank","chevalier aboyeur","fluierar cu picioare verzi","gr&uuml;nschenkel","tringa nebularia"
"green sandpiper","chevalier cul-blanc","fluierar de zăvoi","waldwasserl&auml;ufer","tringa ochropus"
"wood sandpiper","chevalier sylvain","fluierar de mlaştină","bruchwasserl&auml;ufer","tringa glareola"
"terek sandpiper","chevalier bargette","fluierar sur","terekwasserl&auml;ufer","xenus cinereus"
"common sandpiper","chevalier guignette","fluierar de munte","flu&szlig;uferl&auml;ufer","actitis hypoleucos"
"ruddy turnstone","tournepierre a collier","pietruş","steinw&auml;lzer","arenaria interpres"
"red knot","b&eacute;casseau maubeche","fugaci mare","knutt","calidris canutus"
"sanderling","b&eacute;casseau sanderling","nisipar","sanderling","calidris alba"
"little stint","b&eacute;casseau minute","fugaci mic","zwergstrandl&auml;ufer","calidris minuta"
"temminck s stint","b&eacute;casseau de temminck","fugaci pitic","temminckstrandl&auml;ufer","calidris temminckii"
"curlew sandpiper","b&eacute;casseau cocorli","fugaci roşcat","sichelstrandl&auml;ufer","calidris ferruginea"
"dunlin","b&eacute;casseau variable","fugaci de ţ&acirc;rm","alpenstrandl&auml;ufer","calidris alpina"
"purple sandpiper","b&eacute;casseau violet","fugaci&hellip;","meerstrandl&auml;ufer","calidris maritima"
"broad-billed sandpiper","b&eacute;casseau falcinelle","prundaş de nămol","sumpfl&auml;ufer","limicola falcinellus"
"ruff","combattant vari&eacute;","bătăuş","kampfl&auml;ufer","philomachus pugnax"
"red-necked phalarope","phalarope a bec &eacute;troit","notatiţă","odinsh&uuml;hnchen","phalaropus lobatus"
"red phalarope","phalarope a bec large","notatiţă cu cioc lat","thorsh&uuml;hnchen","phalaropus fulicarius"
"charadriiformes: stercorariidae","charadriiformes: stercorariidae","&nbsp;","&nbsp;","&nbsp;"
"great skua","grand labbe","lup de mare atlantic","skua","stercorarius skua"
"pomarine jaeger","labbe pomarin","lup de mare","spatelraubm&ouml;we","stercorarius pomarinus"
"parasitic jaeger","labbe parasite","lup de mare mic","schmarotzerraubm&ouml;we","stercorarius parasiticus"
"long-tailed jaeger","labbe a longue queue","lup de mare codat","falkenraubm&ouml;we","stercorarius longicaudus"
"gulls","mouettes","pescarusi","m&ouml;wenv&ouml;gel","charadriiformes: laridae"
"mew gull","go&eacute;land cendr&eacute;","pescăruş sur","sturmm&ouml;we","larus canus"
"great black-backed gull","go&eacute;land marin","pescăruş negru","mantelm&ouml;we","larus marinus"
"glaucous gull","go&eacute;land bourgmestre","pescăruş de gheţuri","eism&ouml;we","larus hyperboreus"
"iceland gull","go&eacute;land arctique","pescăruş cu aripi albe","polarm&ouml;we","larus glaucoides"
"herring gull","go&eacute;land argent&eacute;","pescăruş argintiu","silberm&ouml;we","larus argentatus"
"lesser black-backed gull","go&eacute;land brun","pescăruş negricios","heringsm&ouml;we","larus fuscus"
"caspian gull","go&eacute;land pontique","pescăruş caspic","weisskopfm&ouml;we","larus cachinnans"
"armenian gull","go&eacute;land d arm&eacute;nie","pescarus armenesc","armenienm&ouml;we","larus armenicus"
"great black-headed gull","go&eacute;land ichthyaete","pescăruş asiatic","fischm&ouml;we","larus ichthyaetus"
"black-headed gull","mouette rieuse","pescăruş răzător","lachm&ouml;we","larus ridibundus"
"slender-billed gull","go&eacute;land railleur","pescăruş rozalb","d&uuml;nnschnabelm&ouml;we","larus genei"
"mediterranean gull","mouette m&eacute;lanoc&eacute;phale","pescăruş cu cap negru","schwarzkopfm&ouml;we","larus melanocephalus"
"little gull","mouette pygm&eacute;e","pescăruş mic","zwergm&ouml;we","larus minutus"
"sabine s gull","mouette de sabine","pescăruş cu coadă scobită","schwalbenm&ouml;we","xema sabini"
"black-legged kittiwake","mouette tridactyle","pescăruş cu trei degete","dreizehenm&ouml;we","rissa tridactyla"
"terns","sterne","chire","seeschwalbe","charadriiformes: sternidae"
"gull-billed tern","sterne hansel","pescăriţă r&acirc;zătoare","lachseeschwalbe","sterna nilotica"
"caspian tern","sterne caspienne","pescăriţă mare","raubseeschwalbe","sterna caspia"
"sandwich tern","sterne caugek","chiriă de mare","brandseeschwalbe","sterna sandvicensis"
"common tern","sterne pierregarin","chiriă de baltă","flu&szlig;seeschwalbe","sterna hirundo"
"arctic tern","sterne arctique","chiriă polară","k&uuml;stenseeschwalbe","sterna paradisaea"
"little tern","sterne naine","chiriă mică","zwergseeschwalbe","sterna albifrons"
"whiskered tern","guifette moustac","chirighiţă cu obraz alb","wei&szlig;bart-seeschwalbe","chlidonias hybridus"
"white-winged tern","guifette leucoptere","chirighiţă cu aripi albe","wei&szlig;fl&uuml;gel-seeschwalbe","chlidonias leucopterus"
"black tern","guifette noire","chirighiţă neagră","trauerseeschwalbe","chlidonias niger"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","charadriiformes: alcidae"
"common murre","guillemot marmette","alcă nordică","trottellumme","uria aalge"
"thick-billed murre","guillemot de br&uuml;nnich","&nbsp;","dickschnabellumme","uria lomvia"
"razorbill","petit pingouin","&nbsp;","tordalk","alca torda"
"black guillemot","guillemot a miroir","&nbsp;","gryllteiste","cepphus grylle"
"pterocliformes: pteroclidae","pterocliformes: pteroclidae","&nbsp;","&nbsp;","&nbsp;"
"pallas s sandgrouse","syrrhapte paradoxal","găinuşă de stepă","steppenflughuhn","syrrhaptes paradoxus"
"pigeons and doves","pigeon &#8211; tourterelle","porumbei","tauben","columbiformes: columbidae"
"rock pigeon","pigeon biset","porumbel de st&acirc;ncă","felsentaube","columba livia"
"stock pigeon","pigeon colombin","porumbel de scorbură","hohltaube","columba oenas"
"common wood-pigeon","pigeon ramier","porumbel gulerat","ringeltaube","columba palumbus"
"eurasian turtle-dove","tourterelle des bois","turturică","turteltaube","streptopelia turtur"
"eurasian collared-dove","tourterelle turque","guguştiuc","t&uuml;rkentaube","streptopelia decaocto"
"cuckoos","coucou","cuci","kuckucke","cuculiformes: cuculidae"
"common cuckoo","coucou gris","cuc","kuckuck","cuculus canorus"
"owls","chouettes &#8211; effraire","bufnite &#8211; cucuvele","eulenv&ouml;gel","strigiformes: tytonidae"
"barn owl","effraie des clochers","strigă","schleiereule","tyto alba"
"strigiformes: strigidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"european scops-owl","petit-duc scops","ciuş","zwergohreule","otus scops"
"eurasian eagle-owl","grand-duc d europe","buhă","uhu","bubo bubo"
"tawny owl","chouette hulotte","huhurez mic","waldkauz","strix aluco"
"ural owl","chouette de l oural","huhurez mare","habichtskauz","strix uralensis"
"great gray owl","chouette lapone","&nbsp;","bartkauz","strix nebulosa"
"northern hawk owl","chouette &eacute;perviere","ciuhurez","sperbereule","surnia ulula"
"eurasian pygmy-owl","chevechette d europe","ciuvică","sperlingskauz","glaucidium passerinum"
"little owl","cheveche dath&eacute;na","cucuvea","steinkauz","athene noctua"
"boreal owl","nyctale de tengmalm","minuniţă","rauhfu&szlig;kauz","aegolius funereus"
"long-eared owl","hibou moyen-duc","ciuf de pădure","waldohreule","asio otus"
"short-eared owl","hibou des marais","ciuf de c&acirc;mp","sumpfohreule","asio flammeus"
"nightjars","engoulevent","caprimulgi","schwalmv&ouml;gel","caprimulgiformes: caprimulgidae"
"eurasian nightjar","engoulevent d europe","caprimulg","ziegenmelker","caprimulgus europaeus"
"swifts","martinet","drepnele","segler","apodiformes: apodidae"
"alpine swift","martinet a ventre blanc","drepnea mare","alpensegler","tachymarptis melba"
"common swift","martinet noir","drepnea neagră","mauersegler","apus apus"
"rollers &amp;co","rollier &amp; co","prigorii &#8211; dumbravence","rackenv&ouml;gel","coraciiformes: alcedinidae"
"common kingfisher","martin-pecheur d europe","pescăraş albastru","eisvogel","alcedo atthis"
"coraciiformes: meropidae","coraciiformes: meropidae","&nbsp;","&nbsp;","&nbsp;"
"european bee-eater","guepier d europe","prigorie","bienenfresser","merops apiaster"
"coraciiformes: coraciidae","coraciiformes: coraciidae","&nbsp;","&nbsp;","&nbsp;"
"european roller","rollier d europe","dumbrăveancă","blauracke","coracias garrulus"
"coraciiformes: upupidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"hoopoe","huppe fasci&eacute;e","pupăză","wiedehopf","upupa epops"
"woodpecker","les pic","ciocanitori","spechte","piciformes: picidae"
"eurasian wryneck","torcol fourmilier","cap&icirc;ntortură","wendehals","jynx torquilla"
"lesser spotted woodpecker","pic &eacute;peichette","ciocănitoare pestriţă mică","kleinspecht","dendrocopos minor"
"middle spotted woodpecker","pic mar","ciocănitoare de stejar","mittelspecht","dendrocopos medius"
"white-backed woodpecker","pic a dos blanc","ciocănitoare cu spate alb","wei&szlig;r&uuml;ckenspecht","dendrocopos leucotos"
"great spotted woodpecker","pic &eacute;peiche","ciocănitoare pestriţă mare","buntspecht","dendrocopos major"
"syrian woodpecker","pic syriaque","ciocănitoare de grădină","blutspecht","dendrocopos syriacus"
"eurasian three-toed woodpecker","pic tridactyle","ciocănitoare de munte","dreizehenspecht","picoides tridactylus"
"black woodpecker","pic noir","ciocănitoare neagră","schwarzspecht","dryocopus martius"
"green woodpecker","pic vert","ghionoaie verde","gr&uuml;nspecht","picus viridis"
"gray-faced woodpecker","pic cendr&eacute;","ghionoaie sură","grauspecht","picus canus"
"passerines","passeriformes","paserine","sperlingsv&ouml;gel","passeriformes: alaudidae"
"passeriformes: alaudidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"calandra lark","alouette calandre","cioc&acirc;rlie de bărăgan","kalanderlerche","melanocorypha calandra"
"white-winged lark","alouette leucoptere","cioc&acirc;rlie cu aripi albe","wei&szlig;fl&uuml;gellerche","melanocorypha leucoptera"
"black lark","alouette negre","cioc&acirc;rlie neagră","mohrenlerche","melanocorypha yeltoniensis"
"greater short-toed lark","alouette calandrelle","cioc&acirc;rlie de stol","kurzzehenlerche","calandrella brachydactyla"
"lesser short-toed lark","alouette pispolette","cioc&acirc;rlie mică","stummellerche","calandrella rufescens"
"crested lark","cochevis hupp&eacute;","cioc&acirc;rlan","haubenlerche","galerida cristata"
"wood lark","alouette lulu","cioc&acirc;rlie de pădure","heidelerche","lullula arborea"
"eurasian skylark","alouette des champs","cioc&acirc;rlie de c&acirc;mp","feldlerche","alauda arvensis"
"horned lark","alouette hausse-col","cioc&acirc;rlie urecheată","ohrenlerche","eremophila alpestris"
"passeriformes: hirundinidae","passeriformes: hirundinidae","&nbsp;","&nbsp;","&nbsp;"
"bank swallow","hirondelle de rivage","lăstun de mal","uferschwalbe","riparia riparia"
"eurasian crag-martin","hirondelle de rochers","lăstun de st&acirc;ncă","felsenschwalbe","ptyonoprogne rupestris"
"barn swallow","hirondelle rustique","r&acirc;ndunică","rauchschwalbe","hirundo rustica"
"red-rumped swallow","hirondelle rousseline","r&acirc;ndunică roşcată","r&ouml;telschwalbe","cecropis daurica"
"common house-martin","hirondelle de fenetre","lăstun de casă","mehlschwalbe","delichon urbica"
"passeriformes: motacillidae","passeriformes: motacillidae","&nbsp;","&nbsp;","&nbsp;"
"white wagtail","bergeronnette grise","codobatură albă","bachstelze","motacilla alba"
"citrine wagtail","bergeronnette citrine","codobatură cu cap galben","zitronenstelze","motacilla citreola"
"yellow wagtail","bergeronnette printaniere","codobatură galbenă","schafstelze","motacilla flava"
"gray wagtail","bergeronnette des ruisseaux","codobatură de munte","gebirgsstelze","motacilla cinerea"
"tawny pipit","pipit rousseline","f&acirc;să de c&acirc;mp","brachpieper","anthus campestris"
