"file","size","date/time","artist","title","year","album","comment","length","bi..","c..","s.."
"back home - plectrum boys.mp3","3.5","03.02.25 17:38:21","NULL","NULL","NULL","NULL","NULL","0:02:56","160","s","44"
"back home backing.mp3","2.6","03.08.16 16:58:25","goran mp3","back home backing mp3","2003","shadows backings mp3","NULL","0:02:43","128","s","44"
"graceland.mp3","1.5","02.06.18 15:21:53","the bible mp3","graceland mp3","2002","walking the ghost back home mp3","NULL","NULL","NULL","NULL","NULL"
"never get to go back home.mp3","3.4","01.02.23 02:29:48","NULL","NULL","NULL","NULL","NULL","0:02:53","160","m","44"
"bert_keith.mp3","5.3","03.11.19 18:40:38","bert kieth mp3","back home in derry mp3","2003","self titled mp3","recorded at east coa","NULL","NULL","NULL","NULL"
"caleb - 6.18.03 - letters back home.","3.8","03.07.10 01:06:47","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"road_back_home.mp3","2.7","02.11.26 16:13:46","NULL","NULL","NULL","NULL","NULL","0:05:48","64","s","22"
"back_home_usa.mp3","1.4","03.12.16 22:39:44","buddy ebsen mp3","back_home_usa mp3","NULL","buddy's originals mp3","NULL","0:01:28","128","s","44"
"nicasdream.mp3","6.5","02.08.19 20:31:36","wilbur rehmann quartet: montanaj mp3","nica's dream horace silver mp3","1999","back home jazz mp3","montanajazz.com","NULL","NULL","NULL","NULL"
"10-mojo41197-backhometocarolina.mp3","4.0","01.04.18 15:22:15","mojo nixon and the toadliquors mp3","back home to carolina mp3","1997","live houston texas mp3","4/1/97","0:04:15","128","s","44"
"pete yorn - day i forgot - 02 - come","6.5","03.04.29 13:27:30","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"pk_wbh.mp3","1.0","01.10.21 17:06:41","phil keaggy mp3","way back home mp3","1986","way back home mp3","olson guitars soundb","0:00:52","160","s","44"
"the_fauxhemians_-_calling_me_back_ho","5.5","NULL","the fauxhemians mp3","calling me back home mp3","NULL","NULL","NULL","0:05:47","128","s","44"
"walking my baby back home.mp3","2.6","02.06.20 17:13:10","kings county queens mp3","walking my baby back home mp3","2002","big ideas mp3","NULL","0:03:11","112","s","44"
"goingbackhome.mp3","2.0","01.08.30 04:43:33","NULL","going back home mp3","NULL","untitled - new cd (50) mp3","NULL","0:04:46","56","s","22"
"triple_f_-_back_home.mp3","4.4","03.03.03 16:27:33","artist mp3","back home mp3","NULL","title mp3","NULL","0:04:37","128","s","44"
"03 - never get to go back home.mp3","3.7","01.03.05 03:40:40","NULL","NULL","NULL","NULL","NULL","0:03:06","160","m","44"
"blackjack - bring your clothes back","0.7","02.05.08 20:45:11","blackjack mp3","bring your clothes back home mp3","NULL","NULL","93065c0c","0:01:49","56","s","22"
"back home again.mp3","3.9","02.03.11 00:38:57","NULL","NULL","NULL","NULL","NULL","0:04:43","112","s","44"
"go_back_home_-_endless_story.mp3","4.4","NULL","go back home mp3","endless story mp3","NULL","NULL","NULL","0:04:41","128","s","44"
"05 - why should i.mp3","4.0","03.11.24 01:05:34","cleaver smith & swenson mp3","why should i- mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"comebackhome.mp3","3.7","02.12.20 23:03:51","- mp3","come back home mp3","1999","NULL","NULL","0:03:56","128","s","44"
"back_home_in derry.mp3","0.8","03.01.08 01:40:53","wyndfall mp3","back h ome in derry mp3","NULL","piper's dream mp3","NULL","0:00:50","128","s","44"
"01-carry me back home.mp3","4.5","02.02.01 04:00:00","erin benjamin mp3","carry me back home mp3","2002","working demo jan 02 mp3","NULL","0:04:46","128","s","44"
"the tim malloys - back home in derry","7.1","02.05.07 06:57:02","the tim malloys mp3","back home in derry mp3","NULL","bloody irish music live at kiera mp3","NULL","0:05:56","160","s","44"
"the shadows (goran) - back home.mp3","2.6","03.08.16 16:59:17","goran mp3","back home mp3","2003","goran plays the shadows mp3","NULL","0:02:43","128","s","44"
"the_megatones_-_back_home.mp3","3.2","02.02.28 13:02:55","NULL","NULL","NULL","NULL","NULL","0:03:25","128","s","44"
"13 - i'm winging my way back home.mp","1.0","03.01.23 19:37:12","wanda fischer mp3","i'm winging my way back home mp3","2003","jerry's country mp3","NULL","NULL","NULL","NULL","NULL"
"the_eleven_project_-_back_home.mp3","4.0","NULL","the eleven project mp3","back home mp3","NULL","NULL","NULL","0:04:11","128","s","44"
"a_way_back_home.mp3","4.6","00.04.02 21:02:35","voodoo sex stuff mp3","a way back home mp3","1999","NULL","www.voodoosexstuff.c","0:04:50","128","s","44"
"goin' down south.mp3","4.4","02.05.23 10:12:17","big fat mama mp3","goin' down south mp3","NULL","goin' back home mp3","time=04:42","0:04:41","128","s","44"
"11 - lullaby 9109.mp3","2.7","03.11.24 01:15:38","cleaver smith & swenson mp3","lullaby 9109 mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"running back home (demo).mp3","0.5","03.07.05 20:51:09","tommy bailey mp3","running back home mp3","2002","spill the ink mp3","NULL","0:00:32","128","s","44"
"dave_corbett_-_bring_it_all_back_hom","3.9","NULL","dave corbett mp3","bring it all back home mp3","NULL","warts and all mp3","NULL","0:03:16","160","s","44"
"back homemp3.mp3","1.6","02.08.06 20:35:39","NULL","back home mp3","NULL","NULL","NULL","0:03:56","56","s","22"
"backhome.mp3","0.5","02.11.11 20:50:52","tony lewis mp3","back home again mp3","NULL","another country mp3","NULL","0:01:10","64","s","22"
"james albin band - finding your way","5.8","03.01.22 02:34:30","james albin band mp3","finding your way back home mp3","NULL","album mp3","NULL","0:06:08","128","s","44"
"comingbackhome.mp3","0.7","02.10.22 18:16:40","evan goodrow band mp3","coming back home mp3","NULL","gettup! mp3","NULL","0:01:00","NULL","NULL","NULL"
"13 - the rain (is coming down).mp3","5.4","03.11.24 01:20:25","cleaver smith & swenson mp3","the rain (is coming down) mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"01 - back home again.mp3","5.1","03.11.24 00:56:58","cleaver smith & swenson mp3","back home again mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"back_home_at_biscome_city_ba_mix_128","6.3","02.08.08 20:41:37","NULL","NULL","NULL","NULL","NULL","0:06:38","128","s","44"
"dave_corbett_-_bring_it_all_back_hom","3.9","NULL","dave corbett mp3","bring it all back home mp3","NULL","warts and all mp3","NULL","0:03:16","160","s","44"
"bring_it_back_home.mp3","3.9","00.11.27 00:55:31","NULL","NULL","NULL","NULL","NULL","0:05:26","96","s","44"
"cargo_dusjet - my way back home.mp3","3.1","03.01.09 18:15:03","cargo_dusjet mp3","my way back home mp3","NULL","live im mosergarten mp3","NULL","0:03:19","128","s","44"
"barenaked ladies - long way back hom","4.4","00.12.17 23:52:35","barenaked ladies mp3","long way back home mp3","1998","stunt (limited edition) mp3","bonus track","0:04:38","128","s","44"
"pink floyd - bring the boys back hom","1.3","03.04.04 06:17:23","pink floyd mp3","bring the boys back home mp3","NULL","the wall (2 of 2) mp3","NULL","0:01:27","128","s","44"
"back_home_again_in_indiana.mp3","4.3","02.10.10 22:40:26","rick lundy & the saints mp3","back home again in indiana mp3","1959","come marhcing in mp3","www.ijr.net","NULL","NULL","NULL","NULL"
"johnny cash - in them old cotton fie","2.4","03.09.12 13:31:14","NULL","NULL","NULL","NULL","NULL","0:02:33","128","s","44"
"iconoclasm1.mp3","5.9","00.02.22 17:15:03","iconoclasm (be) mp3","back home (paradise burning) mp3","1997","preamble to precipitate ... mp3","NULL","0:06:09","128","s","44"
"07 - beautiful mystery.mp3","4.9","03.02.05 21:33:28","caedmon's call mp3","beautiful mystery mp3","NULL","back home mp3","NULL","NULL","NULL","NULL","NULL"
"07 - rumanian goulash.mp3","1.7","03.11.24 01:08:25","cleaver smith & swenson mp3","rumanian goulash mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"get_back_home.mp3","2.5","02.03.18 21:00:02","aiax from russia mp3","get_back_home.mp3 mp3","2001","the court of kingarthur.com mp3","2001","0:02:41","128","s","44"
"back home remastered.mp3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"12 - look at this heart.mp3","2.5","03.11.24 01:17:10","cleaver smith & swenson mp3","look at this heart mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"i want her back home.mp3","6.4","01.09.01 23:15:37","NULL","i want her back home mp3","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"red flag.mp3","10.1","02.12.18 09:35:55","the bible mp3","red flag mp3","1986","walking the ghost back home mp3","none","0:04:13","NULL","NULL","NULL"
"back_home.mp3","0.6","00.05.22 17:33:50","NULL","NULL","NULL","NULL","NULL","0:00:37","128","s","44"
"going back home.mp3","4.2","99.06.19 07:16:10","NULL","NULL","NULL","NULL","NULL","0:04:28","128","s","44"
"04 - don't close that door.mp3","5.3","03.11.24 01:03:07","cleaver smith & swenson mp3","don't close that door mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"never get to go back home.mp3","3.5","01.02.16 20:01:11","NULL","NULL","NULL","NULL","NULL","0:02:58","160","m","44"
"the_eleven_project_-_back_home.mp3","4.0","NULL","the eleven project mp3","back home mp3","NULL","NULL","NULL","0:04:11","128","s","44"
"back_home_in_derry.mp3","0.5","02.02.01 14:46:27","t.a.f.k.a.h.i.m. mp3","back home in derry mp3","2000","mahones mp3","ag# d78f90cf","0:00:27","160","m","44"
"back home.mp3","2.6","02.09.20 19:30:13","harris welch marvin mp3","back home mp3","NULL","home made guitar instrumentals mp3","NULL","0:02:47","128","s","44"
"ftk-03_singin_my_way_back_home.mp3","5.1","03.03.14 21:30:23","NULL","NULL","NULL","NULL","NULL","0:05:20","128","s","44"
"ycback home.mp3","5.6","03.12.12 13:07:24","yellowcard mp3","back home mp3","2003","ocean avenue mp3","[fnt]","0:03:55","192","s","44"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
