"name","h&ouml;he","schartenh&ouml;he","dominanz","x-koordinate","y-koordinate","region","karte","mapplus","bericht"
"keschnadel","3386","20","0.1","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"g&uuml;ferhorn","3383","404","2.7","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"piz julier","3380","489","7","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz d&#8217;err","3378","156","1.05","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"piz d&#8217;arlas (nord)","3375","10","0.1","NULL","NULL","NULL","1278 la r&ouml;sa","NULL","NULL"
"pizzo cengalo","3370","621","5.8","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"cima di rosso","3366","105","0.5","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz fora","3363","432","3.2","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz urlaun","3359","99","1.1","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"cima dal cantun","3354","89","0.85","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz boval","3353","50","1.3","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"torrone occidentale","3351","156","1.25","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz ela","3338","507","6.3","NULL","NULL","NULL","1236 savognin","NULL","NULL"
"piz picuogl","3333","235","1.4","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"torrone orientale","3333","130","1.15","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"monte sissone","3330","150","1","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"oberalpstock","3328","699","12.7","NULL","NULL","NULL","1212 amsteg","NULL","NULL"
"chap&uuml;tschin pitschen","3328","15","0.3","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz buin grond","3312","560","6.15","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"pizzo badile","3308","215","1.2","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"punta rasica","3306","91","0.7","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"crasta dal lej sgrischus","3304","72","1.3","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz paradisin","3302","875","7.6","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"tschima da flix","3301","30","0.7","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"cima di vazzeda","3301","144","1.95","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"verstanclahorn","3297","359","3.6","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"muttler","3294","686","11.45","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"cima valeta","3294","28","0.3","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"piz frisal","3292","112","0.6","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"torrone centrale","3290","90","0.5","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"cima della bondasca","3289","188","1.7","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz fliana","3281","406","2","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"pizzo tambo","3279","1166","16.9","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"sciora dadent","3275","115","1.05","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz uertsch","3268","396","3.9","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"scima da saoseo","3264","440","2.9","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"pizzi gemelli","3263","93","0.7","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz forbesch","3262","604","3.55","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"piz languard","3261","946","8.9","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"grauhorn","3260","94","1.55","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"gross d&uuml;ssi","3256","429","3.9","NULL","NULL","NULL","1192 sch&auml;chental","NULL","NULL"
"piz buin pitschen","3256","202","0.5","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz tsch&uuml;tta","3254","406","2.65","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"piz umur","3252","10","0.15","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"cavistrau grond","3252","448","2","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"piz misaun","3250","42","1.1","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz jenatsch","3250","110","1.95","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"ringelspitz","3247","840","30","NULL","NULL","NULL","1175 v&auml;ttis","NULL","NULL"
"piz ot","3246","631","6.5","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz bacun","3244","303","3.55","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"silvrettahorn","3243","201","2.3","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"punta pioda","3238","100","0.2","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"l&auml;ntahorn","3237","120","0.9","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"chap&uuml;tschin","3232","97","0.5","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"corn da camp","3232","201","1.15","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"corno di dosde","3232","302","2.6","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"piz bever","3230","285","3.45","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz blaisch lunga","3230","422","2.35","NULL","NULL","NULL","1178 gross litzner","NULL","NULL"
"piz vadret","3229","659","10","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"vorder ringel","3225","28","0.2","NULL","NULL","NULL","1175 v&auml;ttis","NULL","NULL"
"&ouml;stliches plattenhorn","3220","300","3.15","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"cavistrau pign","3220","90","0.6","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"vogelberg","3218","300","2.6","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"piz vadret pitschen","3218","87","0.2","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"monte del forno","3214","446","3.1","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz medel","3211","951","15.4","NULL","NULL","NULL","1233 greina","NULL","NULL"
"piz timun / piz d&#8217;emet","3209","819","10.1","NULL","NULL","NULL","1255 sp&uuml;genpass","NULL","NULL"
"piz cambrialas","3208","364","1.85","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"munt pers","3207","234","3.9","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"signalhorn","3207","160","1.1","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"ago di sciora","3205","150","0.7","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz d&#8217;agnel","3204","139","1.2","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"piz sesvenna","3204","1055","21.4","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz arblatsch","3203","236","2","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"puntone dei fracion","3202","157","1.8","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz blaisun","3200","245","2.1","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"rheinquellhorn","3200","28","0.7","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"westliches plattenhorn","3200","155","0.85","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz vadret","3199","308","2.3","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz dal lej alv","3197","39","1.35","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"dreil&auml;nderspitz","3197","399","2.1","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz surgonda","3196","213","1.3","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"crap grond","3196","18","0.15","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"punta sertori","3195","50","0.55","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz cotschen","3195","25","0.45","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"punta dal d&uuml;g&uuml;ral","3191","30","0.3","NULL","NULL","NULL","1278 la r&ouml;sa","NULL","NULL"
"piz scopi","3190","792","8.2","NULL","NULL","NULL","1232 oberalppass","NULL","NULL"
"piz fedoz","3190","207","3.9","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz casnil","3189","145","0.7","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz surlej","3188","433","4.7","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"cima dal largh","3188","81","0.5","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz val nera","3188","197","1.15","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"torwache","3186","61","0.2","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"krone","3186","240","1.7","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"piz san gian pitschen","3185","55","0.4","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz murtar&ouml;l","3180","682","15.5","NULL","NULL","NULL","1239 sta maria","NULL","NULL"
"piz tasna","3179","374","2.6","NULL","NULL","NULL","1199 scuol","NULL","NULL"
"piz della pal&uuml;","3179","143","1.35","NULL","NULL","NULL","1255 sp&uuml;genpass","NULL","NULL"
"piz sarsura","3178","164","2.6","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"piz da las sterlas","3175","47","0.3","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz futsch&ouml;l","3175","34","0.3","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"pizzo di zocca","3174","121","2.1","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"gletscherchamm","3173","170","1.1","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz pisoc","3173","921","10.2","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"guglie d&#8217;altare","3172","57","0.3","NULL","NULL","NULL","1255 spl&uuml;gen","NULL","NULL"
"cima di camadra","3172","55","1","NULL","NULL","NULL","1233 greina","NULL","NULL"
"corn da tinizong","3172","473","3","NULL","NULL","NULL","1236 savognin","NULL","NULL"
"piz badilet","3171","60","0.25","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"sciora dafora","3169","40","0.25","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"la pala","3169","43","0.5","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"piz tavr&uuml;","3168","851","7.3","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz vial","3168","465","4.6","NULL","NULL","NULL","1233 greina","NULL","NULL"
"piz plavna dadaint","3166","489","5.8","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz g&uuml;z","3166","85","1.95","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"rotflue","3165","99","0.5","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz albris","3165","316","2.8","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"mazzaspitz","3164","247","2.6","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"t&auml;lihorn","3164","28","0.9","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"piz lagrev","3164","854","5","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"piz quattervals","3164","470","10.4","NULL","NULL","NULL","1238 piz quattervals","NULL","NULL"
"sc&auml;lin","3164","64","0.95","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"muntpitschen","3162","125","1.1","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz val m&uuml;ra","3162","154","2.3","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"n&ouml;rdlicher chalausspitz","3161","39","0.8","NULL","NULL","NULL","1178 gross litzner","NULL","NULL"
"cima rossa","3160","203","3","NULL","NULL","NULL","1274 mesocco","NULL","NULL"
"la margna","3159","271","2.6","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz saluver","3159","234","1.8","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"hausstock","3158","655","9.8","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"piz di pian (ne-gipfel)","3158","237","4.6","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz g&uuml;gliet","3158","59","0.4","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz son mitgel","3158","455","1.9","NULL","NULL","NULL","1236 savognin","NULL","NULL"
"piz muragl","3157","162","1.6","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"jupperhorn","3155","90","0.55","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"monte dell&#8217;oro","3155","72","1.7","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"hinter jamspitz","3155","77","0.35","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz chalchagn","3154","192","2.9","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz traunter ovas","3152","132","0.7","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"il dente (p. tambo)","3152","30","0.2","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"zapporthorn","3152","152","2.35","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz uffiern","3151","96","0.95","NULL","NULL","NULL","1233 greina","NULL","NULL"
"piz terri","3149","390","9.6","NULL","NULL","NULL","1233 greina","NULL","NULL"
"egghorn","3147","42","0.5","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz pr&uuml;na","3146","314","2.3","NULL","NULL","NULL","1258 la stretta","NULL","NULL"
"schwarzhorn","3146","609","5.6","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz trovat","3146","127","1","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz mundin","3146","342","4.8","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"piz tea fondada","3144","317","2.8","NULL","NULL","NULL","1239 sta maria","NULL","NULL"
"piz suvretta","3144","168","0.85","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz dals vades","3140","123","0.9","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz pischa","3138","146","0.9","NULL","NULL","NULL","1258 la stretta","NULL","NULL"
"il corn","3138","40","0.65","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz albris (wintergipfel)","3137","35","0.3","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz laviner","3137","115","1.15","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"piz foratrida","3136","55","0.55","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz de stabi","3136","59","0.75","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz jeramias","3136","22","0.4","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz san gian","3134","30","0.4","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz sarsura pitschen","3134","211","1.45","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"crasta burdun","3133","157","0.85","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz grialetsch","3131","162","0.9","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz duan","3130","549","8.9","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz cramorino","3130","15","0.4","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"grippa naira","3130","37","1.35","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz di cassimoi","3129","242","2.8","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"piz jut","3129","102","1.25","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"piz cl&uuml;x","3128","54","0.6","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"glaserhorn","3128","70","0.85","NULL","NULL","NULL","1175 v&auml;ttis","NULL","NULL"
"piz cristallina","3128","125","0.9","NULL","NULL","NULL","1233 greina","NULL","NULL"
"piz bleis marscha","3128","258","2.2","NULL","NULL","NULL","1236 savognin","NULL","NULL"
"chli d&uuml;ssi","3127","10","0.5","NULL","NULL","NULL","1192 sch&auml;chental","NULL","NULL"
"piz d&#8217;esan","3127","235","2.65","NULL","NULL","NULL","1238 piz quattervals","NULL","NULL"
"munt arlas","3127","143","1.1","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz da l&#8217;acqua","3126","318","3.8","NULL","NULL","NULL","1238 piz quattervals","NULL","NULL"
"piz sarsuret","3126","91","1.05","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"piz schumbraida","3124","314","2.4","NULL","NULL","NULL","1239 sta maria","NULL","NULL"
"piz greina","3124","32","0.35","NULL","NULL","NULL","1233 greina","NULL","NULL"
"b&uuml;ndner t&ouml;di","3124","62","0.8","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"piz rosatsch","3123","10","0.5","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"fanellhorn","3123","284","7.6","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz nuna","3123","534","5.55","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"gross seehorn","3122","434","5.9","NULL","NULL","NULL","1178 gross litzner","NULL","NULL"
"piz scharboda","3122","236","2.5","NULL","NULL","NULL","1233 greina","NULL","NULL"
"piz da la crappa","3122","250","1","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz gaglianera","3121","166","0.9","NULL","NULL","NULL","1233 greina","NULL","NULL"
"punta allievi","3121","41","0.9","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz aul","3121","397","7.6","NULL","NULL","NULL","1234 vals","NULL","NULL"
"piz piotta","3121","15","0.7","NULL","NULL","NULL","1274 mesocco","NULL","NULL"
"chulcher dal mundin","3120","70","0.35","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"piz marsch","3120","60","0.5","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"chalausch&ouml;pfe","3120","116","1.55","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz miez","3119","44","0.6","NULL","NULL","NULL","1232 oberalppass","NULL","NULL"
"piz zuort","3119","50","0.35","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz aguagliouls","3118","10","0.1","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"schwarzhorn","3117","15","0.1","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"tristelhorn / piz da sterls","3114","116","1.25","NULL","NULL","NULL","1175 v&auml;ttis","NULL","NULL"
"piz minger (nord)","3114","123","0.5","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz canton","3111","5","0.05","NULL","NULL","NULL","1278 la r&ouml;sa","NULL","NULL"
"piz salteras","3110","219","1.55","NULL","NULL","NULL","1236 savognin","NULL","NULL"
"gross litzner","3109","120","0.5","NULL","NULL","NULL","1178 gross litzner","NULL","NULL"
"piz vallatscha","3109","130","0.6","NULL","NULL","NULL","1232 oberalppass","NULL","NULL"
"piz a spescha","3109","69","0.3","NULL","NULL","NULL","1233 greina","NULL","NULL"
"piz gallagiun","3107","413","7.3","NULL","NULL","NULL","1275 campodolcino","NULL","NULL"
"gletscherhorn","3107","411","2.15","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"ruchi","3107","170","1.85","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"gemsspitz","3107","112","1","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"westliches pan&auml;rahorn","3106","56","1.3","NULL","NULL","NULL","1175 v&auml;ttis","NULL","NULL"
"piz lischana","3105","286","5.7","NULL","NULL","NULL","1199 scuol","NULL","NULL"
"mittleres plattenhorn","3105","53","0.35","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz la stretta","3104","314","4.4","NULL","NULL","NULL","1258 la stretta","NULL","NULL"
"munt cotschen","3104","314","4.8","NULL","NULL","NULL","1258 la stretta","NULL","NULL"
"piz zadrell","3104","164","0.9","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz plazer","3104","115","1.15","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"pizzo del muretto","3103","40","0.9","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz cancian","3103","95","1.4","NULL","NULL","NULL","1298 l. d. poschiavo","NULL","NULL"
"pizzo cassinello","3103","97","1","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"pizzo ferre","3103","133","0.9","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz gl&uuml;na (ost)","3102","145","0.7","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"heimstock","3102","140","2.3","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"piz sagliains","3101","136","1.15","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"zahnspitze","3101","70","1","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"piz tumpiv","3101","15","0.4","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"s&uuml;dlicher chalausspitz","3100","35","0.25","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz albana","3099","239","2","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz segnas","3098","606","7.9","NULL","NULL","NULL","1174 elm","NULL","NULL"
"piz madulain","3098","154","3.2","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz grisch","3098","175","1.05","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz rots / vesilispitze","3097","279","3.15","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"piz urschai (dadaint)","3097","103","0.55","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz tgietschen","3096","37","0.8","NULL","NULL","NULL","1212 amsteg","NULL","NULL"
"piz valdraus","3096","45","0.5","NULL","NULL","NULL","1233 greina","NULL","NULL"
"piz giuv","3096","749","7.35","NULL","NULL","NULL","1212 amsteg","NULL","NULL"
"languard pitschen","3095","34","0.55","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz serra","3095","238","2","NULL","NULL","NULL","1238 piz quattervals","NULL","NULL"
"piz san jon dadaint","3093","138","1.5","NULL","NULL","NULL","1199 scuol","NULL","NULL"
"piz foraz","3092","238","1.9","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"pizzo zoccone","3092","65","0.9","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz da la funtauna","3092","50","0.65","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz cristanas","3091","238","4.05","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz mandra","3091","72","1.35","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"tschep","3089","15","0.1","NULL","NULL","NULL","1175 v&auml;ttis","NULL","NULL"
"muttenstock","3089","103","1.65","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"monte rosso","3088","136","1.55","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz led","3087","70","0.5","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"pizzo del corvo","3086","39","0.6","NULL","NULL","NULL","1232 oberalppass","NULL","NULL"
"fl&uuml;ela-wisshorn","3085","642","3.65","NULL","NULL","NULL","1197 davos","NULL","NULL"
"rot wichel","3084","20","0.2","NULL","NULL","NULL","1212 amsteg","NULL","NULL"
"piz tuoi","3084","10","0.1","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
