"university name","country","state / province"
"laurentian university/universite laurentienne (ontario)","canada","NULL"
"loyalist college","canada","NULL"
"memorial university of newfoundland - grenfell campus","canada","NULL"
"mount saint vincent university","canada","NULL"
"nait","canada","NULL"
"sait polytechnic","canada","NULL"
"st. lawrence college","canada","NULL"
"university of ontario institute of technology (ontario)","canada","NULL"
"university of toronto: mississauga campus","canada","NULL"
"college of the north atlantic clarenville","canada","NULL"
"college of the north atlantic corner brook","canada","NULL"
"college of the north atlantic st. john's","canada","NULL"
"college of the north atlantic stephenville","canada","NULL"
"george brown college","canada","NULL"
"devry institute of technology calgary","canada","alberta"
"mount royal university","canada","alberta"
"university of alberta","canada","alberta"
"university of calgary","canada","alberta"
"british columbia institute of technology","canada","british columbia"
"okanagan college","canada","british columbia"
"royal roads university","canada","british columbia"
"simon fraser university","canada","british columbia"
"thompson rivers university","canada","british columbia"
"university of british columbia","canada","british columbia"
"university of victoria","canada","british columbia"
"brandon university","canada","manitoba"
"university of manitoba","canada","manitoba"
"mount allison university","canada","new brunswick"
"university of moncton","canada","new brunswick"
"college of the north atlantic grand falls-windsor","canada","newfoundland"
"memorial university of newfoundland","canada","newfoundland"
"acadia university","canada","nova scotia"
"dalhousie university","canada","nova scotia"
"nova scotia community college kingstec","canada","nova scotia"
"saint mary's university","canada","nova scotia"
"saint-anne university","canada","nova scotia"
"st. francis xavier university","canada","nova scotia"
"brock university","canada","ontario"
"carleton university","canada","ontario"
"lakehead university","canada","ontario"
"niagara college","canada","ontario"
"queen's university","canada","ontario"
"ryerson university","canada","ontario"
"seneca college","canada","ontario"
"university of ottawa","canada","ontario"
"university of toronto: scarborough campus","canada","ontario"
"university of toronto: st. george campus","canada","ontario"
"university of western ontario","canada","ontario"
"university of windsor","canada","ontario"
"wilfrid laurier university","canada","ontario"
"york university","canada","ontario"
"university of prince edward island","canada","prince edward island"
"bishop's university","canada","quebec"
"concordia university","canada","quebec"
"mcgill university","canada","québec"
"university of regina","canada","saskatchewan"
"university of saskatchewan","canada","saskatchewan"
"agricultural university of henan","china","NULL"
"anhui agricultural university","china","NULL"
"beihang university","china","NULL"
"beijing institute of technology zhuhai campus","china","NULL"
"beijing international studies university","china","NULL"
"beijing language and culture university","china","NULL"
"beijing normal university - zhuhai campus","china","NULL"
"beijing technology and business university","china","NULL"
"beijing university of chemical technology","china","NULL"
"capital normal university","china","NULL"
"chengdu university of information technology","china","NULL"
"chengdu university of technology","china","NULL"
"china ji liang university","china","NULL"
"china university of petroleum","china","NULL"
"china university of political science and law","china","NULL"
"chongqing normal university","china","NULL"
"civil aviation university of china","china","NULL"
"college of science&technology ningbo university","china","NULL"
"dongbei university of finance and economics","china","NULL"
"fuzhou university","china","NULL"
"guangdong baiyun university","china","NULL"
"guangdong university of finance","china","NULL"
"guangdong university of technology","china","NULL"
"guangzhou university","china","NULL"
"guangzhou university of chinese medicine","china","NULL"
"harbin university of commerce","china","NULL"
"harbin university of science and technology","china","NULL"
"hebei university of technology","china","NULL"
"hefei university of technology","china","NULL"
"henan normal university","china","NULL"
"henan university","china","NULL"
"henan university of economics and law","china","NULL"
"henan university of technology","china","NULL"
"hong kong baptist university","china","NULL"
"huazhong agricultural university","china","NULL"
"huazhong normal university","china","NULL"
"hubei university of economics","china","NULL"
"hunan agricultural university","china","NULL"
"hunan normal university","china","NULL"
"hunan university","china","NULL"
"hunan university of chinese medicine","china","NULL"
"jiangnan university","china","NULL"
"jilin university - lambton college","china","NULL"
"jilin university of finance and economics","china","NULL"
"liaoning university","china","NULL"
"linyi university","china","NULL"
"nanjing audit university","china","NULL"
"nanjing university jinling college","china","NULL"
"nanjing university of finance and economics","china","NULL"
"nanjing university of information science and technology","china","NULL"
"nanjing university of science and technology","china","NULL"
"ningbo university","china","NULL"
"north china electric power university (beijing)","china","NULL"
"north china electric power university(baoding)","china","NULL"
"north china university of water conservancy and electric power","china","NULL"
"northeast forestry university","china","NULL"
"northwest university","china","NULL"
"ocean university of china","china","NULL"
"qingdao university","china","NULL"
"shaanxi university of science & technology","china","NULL"
"shandong university of finance and economics","china","NULL"
"shandong university of technology","china","NULL"
"shanghai ocean university","china","NULL"
"shanghai university of electric power","china","NULL"
"shanghai university of engineering science","china","NULL"
"shengda economics trade and management college of zhengzhou","china","NULL"
"sias international university","china","NULL"
"sino british college usst","china","NULL"
"soochow university","china","NULL"
"south central university for nationalities","china","NULL"
"south china agricultural university","china","NULL"
"southeast university","china","NULL"
"southern medical university","china","NULL"
"southwest petroleum university","china","NULL"
"southwest university for nationalities","china","NULL"
"the chinese university of hong kong","china","NULL"
"the hong kong polytechnic university","china","NULL"
"tianjin institute of urban construction","china","NULL"
"tianjin normal university","china","NULL"
"tianjin university of traditional chinese medicine","china","NULL"
"university of international relations","china","NULL"
"university of science and technology of china","china","NULL"
"wuhan university of technology","china","NULL"
"xi'an jiaotong - liverpool university","china","NULL"
"yanbian university","china","NULL"
"zhejiang university city college","china","NULL"
"zhejiang university of technology","china","NULL"
"zhengzhou institute of aeronautical industry management","china","NULL"
"zhengzhou university","china","NULL"
"zhengzhou university of light industry","china","NULL"
"zhongyuan university of technology","china","NULL"
"beijing foreign studies university","china","NULL"
"beijing forestry university","china","NULL"
"beijing institute of technology","china","NULL"
"beijing normal university","china","NULL"
"beijing normal university - hongkong baptist university --united international  college","china","NULL"
"central south university","china","NULL"
"china agricultural university","china","NULL"
"china pharmaceutical university","china","NULL"
"chongqing technology and business university","china","NULL"
"chongqing university","china","NULL"
"dalian university of foreign languages","china","NULL"
"donghua university","china","NULL"
"east china university of science and technology","china","NULL"
"huazhong university of science and technology","china","NULL"
"jilin university","china","NULL"
"nanjing agricultural university","china","NULL"
"nanjing university of aeronautics and astronautics","china","NULL"
"nankai university","china","NULL"
"peking university","china","NULL"
"renmin university of china","china","NULL"
"shandong university","china","NULL"
"shanghai finance university","china","NULL"
"shanghai gench college","china","NULL"
"shanghai institute of foreign trade","china","NULL"
"shanghai international studies university","china","NULL"
"shanghai maritime university","china","NULL"
"shanghai normal university","china","NULL"
"shanghai university","china","NULL"
"shanghai university of finance and economics","china","NULL"
"shantou university","china","NULL"
"sichuan international studies university","china","NULL"
"south china university of technology","china","NULL"
"southwestern university of finance and economics","china","NULL"
"the hong kong university of science and technology","china","NULL"
"the open university of hong kong","china","NULL"
"the university of hong kong","china","NULL"
"tianjin foreign studies university","china","NULL"
"tianjin polytechnic university","china","NULL"
"tianjin university","china","NULL"
"tianjin university of commerce","china","NULL"
"tianjin university of finance and economics","china","NULL"
"tianjin university of science and technology","china","NULL"
"tianjin university of technology","china","NULL"
"tongji university","china","NULL"
"tsinghua university","china","NULL"
"university of electronic science and technology of china","china","NULL"
"university of science and technology beijing","china","NULL"
"university of shanghai for science and technology","china","NULL"
"xi'an international studies university","china","NULL"
"xi'an jiaotong university","china","NULL"
"xiamen university","china","NULL"
"xidian university","china","NULL"
"capital university of economics and business","china","100026"
"china foreign affairs university","china","beijing"
"university of international business and economics","china","chaoyang district"
"xiamen university of technology","china","fujian province"
"shenzhen university","china","guandong province"
"guangdong pharmaceutical university","china","guangdong"
"guangdong university of business studies","china","guangdong province"
"guangdong university of foreign studies","china","guangdong province"
"jinan university","china","guangdong province"
"south china normal university","china","guangdong province"
"sun yat-sen university","china","guangdong province"
"heilongjiang international university","china","harbin"
"harbin engineering university","china","heilongjiang province"
"harbin institute of technology","china","heilongjiang province"
"northeast agricultural university","china","heilongjiang province"
"zhongnan university of economics and law","china","hubei"
"nanjing normal university","china","jiangsu province"
"nanjing university","china","jiangsu province"
"nanjing university of technology","china","jiangsu province"
"dalian maritime university","china","liaoning province"
"dalian university of technology","china","liaoning province"
"northeastern university","china","liaoning province"
"shenyang agricultural university","china","liaoning province"
"northwest agricultural and forestry university","china","shaanxi"
"northwestern polytechnical university","china","shaanxi province"
"xi'an eurasia university","china","shan'xi province"
"fudan university","china","shanghai"
"shanghai dianji university","china","shanghai"
"shanghai university of political science and law","china","shanghai"
"shanghai university of sport","china","shanghai"
"zhejiang wanli university","china","zhejiang"
"hangzhou dianzi university","china","zhejiang province"
"university of nottingham ningbo china","china","zhejiang province"
"zhejiang gongshang university","china","zhejiang province"
"zhejiang university","china","zhejiang province"
"6th of october university","egypt","NULL"
"alexandria university","egypt","NULL"
"arab academy for science technology and maritime transport","egypt","NULL"
"arab academy for science technology and maritime transportation","egypt","NULL"
"azhar university for girls","egypt","NULL"
"beni sueif university","egypt","NULL"
"cairo higher institute","egypt","NULL"
"delta university","egypt","NULL"
"future university in egypt","egypt","NULL"
"helwan-bussiness information systems","egypt","NULL"
"higher technological institute","egypt","NULL"
"kafr el sheikh university","egypt","NULL"
"menya university","egypt","NULL"
"misr university for science & technology","egypt","NULL"
"pharos university","egypt","NULL"
"port said university","egypt","NULL"
"south valley university","egypt","NULL"
"suez canal university","egypt","NULL"
"suez canal university","egypt","NULL"
"ain shams university","egypt","NULL"
"assiut university","egypt","NULL"
"british university in egypt (bue)","egypt","NULL"
"cairo university","egypt","NULL"
"canadian international college (cic)","egypt","NULL"
"fayoum university","egypt","NULL"
"french university in egypt (ufe)","egypt","NULL"
"german university in cairo (guc)","egypt","NULL"
"helwan university","egypt","NULL"
"mansoura university","egypt","NULL"
"modern science and arts university","egypt","NULL"
"sohag university","egypt","NULL"
"the american university in cairo (auc)","egypt","NULL"
"university of tanta","egypt","NULL"
"zagazig university: sharkia","egypt","NULL"
"minufiya university","egypt","minufiya"
"ece inseec business schools","france","NULL"
"ecole centrale de nantes (ecn)","france","NULL"
"ecole internationale de commerce et développement 3a","france","NULL"
"essca school of management","france","NULL"
"estp","france","NULL"
"euromed marseille -ecole superieure de commerce de marseille-provence","france","NULL"
"groupe esc troyes","france","NULL"
"iae gustave eiffel","france","NULL"
"iep paris","france","NULL"
"la rochelle school of management","france","NULL"
"management school of strasbourg","france","NULL"
"paritech - arts school","france","NULL"
"paritech - national school of electronic","france","NULL"
"paritech - umpc","france","NULL"
"reims management school","france","NULL"
"thes mines of nantes","france","NULL"
"university west paris of nanterre","france","NULL"
"audencia school of management nantes (audencia nantes)","france","NULL"
"esce international school of business","france","NULL"
"escp-eap european school of management","france","NULL"
"esdes lyon school of management","france","NULL"
"essec business school paris","france","NULL"
"gem grenoble school of management","france","NULL"
"iep lille institute of  political science","france","NULL"
"ieseg school of management","france","NULL"
"niort university","france","NULL"
"rouen business school","france","NULL"
"sciences po - institut of sciences and politics (sciences po - paris)","france","NULL"
"supelec engineering school","france","NULL"
"university of nantes","france","NULL"
"university of versailles saint-quentin en yvelines","france","NULL"
"aschaffenburg university of applied sciences","germany","NULL"
"brandenburg university of technology cottbus","germany","NULL"
"cologne business school","germany","NULL"
"cologne university of applied sciences","germany","NULL"
"free university of berlin","germany","NULL"
"justus-liebig university giessen","germany","NULL"
"karlshochschule international university","germany","NULL"
"leuphana university of lueneburg","germany","NULL"
"reutlingen university","germany","NULL"
"ruhr-university bochum","germany","NULL"
"technical university braunschweig","germany","NULL"
"technical university darmstadt","germany","NULL"
"university of applied sciences landshut","germany","NULL"
"university of applied sciences rosenheim","germany","NULL"
"university of bremen","germany","NULL"
"university of hannover","germany","NULL"
"university of heidelberg","germany","NULL"
"university of karlsruhe","germany","NULL"
"bielefeld university","germany","NULL"
"bochum university of applied sciences","germany","NULL"
"brandenburg university of applied sciences","germany","NULL"
"humboldt university berlin","germany","NULL"
"otto-von-guericke university of magdeburg","germany","NULL"
"technische universität muenchen","germany","NULL"
"university of cologne","germany","NULL"
"university of duisburg-essen duisburg campus","germany","NULL"
"university of hamburg","germany","NULL"
"university of hohenheim","germany","NULL"
"university of mannheim","germany","NULL"
"university of passau","germany","NULL"
"university of regensburg","germany","NULL"
"university of technology bergakademie freiberg","germany","NULL"
"university of wuppertal","germany","NULL"
"westphalian wilhelms university of muenster","germany","NULL"
"catholic university college","ghana","NULL"
"ghana christian university college","ghana","NULL"
"ipmc school of technologylabone","ghana","NULL"
"koforidua polytechnic","ghana","NULL"
"sunyani polytechnic","ghana","NULL"
"tamale polytechnic","ghana","NULL"
"university college of management studieskumasi","ghana","NULL"
"university of development studies","ghana","NULL"
"accra polytechnic","ghana","NULL"
"ashesi university","ghana","NULL"
"central university college","ghana","NULL"
"ghana institute of journalism","ghana","NULL"
"ho polytechnic","ghana","NULL"
"institute of professional studies","ghana","NULL"
"kwame nkrumah university of science and technology kumasi","ghana","NULL"
"methodist university college of ghana","ghana","NULL"
"pentecost university college","ghana","NULL"
"regent university college of  science and technology","ghana","NULL"
"takoradi polytechnic","ghana","NULL"
"university college of management studiesaccra","ghana","NULL"
"university of cape coast","ghana","NULL"
"university of ghana","ghana","NULL"
"wisconsin university","ghana","NULL"
"universidad del valle de guatemala campus sur(uvg campus sur)","guatemala","NULL"
"universidad mariano galvez (umg)","guatemala","NULL"
"universidad de san carlos de guatemala (usac)","guatemala","NULL"
"universidad del istmo","guatemala","NULL"
"universidad del valle de guatemala(uvg)","guatemala","NULL"
"universidad del valle de guatemala altiplano (uvg altiplano)","guatemala","NULL"
"universidad francisco marroquín(ufm)","guatemala","NULL"
"universidad rafael landivar (url)","guatemala","NULL"
"aarupadai veedu institute of technology","india","NULL"
"acharya college of engineering technology","india","NULL"
"army institute of management","india","NULL"
"d.y. patil university - dept. of business management","india","NULL"
"delhi school of economics","india","NULL"
"delhi technological university","india","NULL"
"indian institute of technology kanpur","india","NULL"
"indian institute of technology ropar","india","NULL"
"jansons school of business","india","NULL"
"miranda house","india","NULL"
"n.m.college of commerce and economics","india","NULL"
"oriental institute of science & technology","india","NULL"
"rajalakshmi institute of technology","india","NULL"
"ramjas college","india","NULL"
"rv college of engineering","india","NULL"
"shaheed bhagat singh college","india","NULL"
"sri guru gobind singh college of commerce","india","NULL"
"sydenham institute of management studies research & entrepreneurship education (simsree)","india","NULL"
"tirpude institute of management education","india","NULL"
"united world school of business mumbai","india","NULL"
"university institute of chemical engineering & technology","india","NULL"
"amity university","india","NULL"
"anna adarsh college for women","india","NULL"
"dg vaishnav college","india","NULL"
"dr. mgr janaki college of arts and science for women","india","NULL"
"ethiraj college for women","india","NULL"
"faculty of management studies (fms)","india","NULL"
"gitam institute of technology(git).","india","NULL"
"indus world school of business","india","NULL"
"institute of management technology ghaziabad","india","NULL"
"jesus and mary college","india","NULL"
"jis college - west bengal university of technology","india","NULL"
"k.j. somaiya institute of management studies and research (simsr)","india","NULL"
"loyola college","india","NULL"
"m.m.k. college of commerce and economics","india","NULL"
"madras christian college","india","NULL"
"madras school of social work","india","NULL"
"malaviya national institute of technology","india","NULL"
"narsee monjee institute of management studies (nmims)","india","NULL"
"national institute of industrial engineering (nitie)","india","NULL"
"nirma university: institute of management","india","NULL"
"rajalakshmi engineering college","india","NULL"
"s.d.n.b. vaishnav college for women","india","NULL"
"s.p. jain institute of management and research","india","NULL"
"shri andal alagar college of engineering","india","NULL"
"shri ram college of commerce (srcc)","india","NULL"
"soka ikeda college for women","india","NULL"
"srm institute of management studies","india","NULL"
"symbiosis institute of business management (sibm)","india","NULL"
"welingkar institute of management development and research","india","NULL"
"velammal institute of technology","india","chennai"
"lady shri ram college","india","delhi"
"shaheed sukhdev college of business studies","india","delhi"
"christ university","india","karnataka"
"jain university - school of commerce and management ( ju scms)","india","karnataka"
"seshadripuram first grade college","india","karnataka"
"st. joseph’s college of commerce","india","karnataka"
"h.r. college of commerce and economics","india","maharashtra"
"ies mcrc","india","maharashtra"
"m l dahanukar college of commerce","india","maharashtra"
"symbiosis institute of operations management","india","maharashtra"
"wilson college","india","maharashtra"
"indian institute of technology delhi","india","new delhi"
"netaji subhas institute of technology","india","new delhi"
"kiss - kiit","india","orissa"
"gitam institute of management","india","rushikonda"
"d.r.b.c.c.c. hindu college","india","tamil nadu"
"shankarlal sundarbai shasun jain college for women","india","tamil nadu"
"skr engineering college","india","tamil nadu"
"stella maris college","india","tamil nadu"
"alpha college of engineering","india","tamilnadu"
"dublin city university","ireland","NULL"
"national university of ireland galway","ireland","NULL"
"trinity college dublin","ireland","NULL"
"university college dublin","ireland","NULL"
"okinawa international university","japan","NULL"
"okinawa university","japan","NULL"
"osaka university of commerce","japan","NULL"
"university of the ryukyus","japan","NULL"
"the university of aizu","japan","fukushima"
"kwansei gakuin university","japan","hyogo"
"kyoto university","japan","kyoto"
"keio university","japan","minato-ku"
"shiga university hikone","japan","shiga"
"the university of shiga prefecture","japan","shiga"
"waseda university","japan","shinjuku-ku"
"takasaki city university of economics","japan","takasaki-shi"
"toyo university","japan","tokyo"
"central asia university","kazakhstan","NULL"
"karaganda state technical university","kazakhstan","NULL"
"karaganda state university named after e. a. buketov","kazakhstan","NULL"
"kazakh  national agrarian university","kazakhstan","NULL"
"kazakh  national university named after al-farabi","kazakhstan","NULL"
"kazakh american free university","kazakhstan","NULL"
"kazakh national technical university named after k. i. satpaev","kazakhstan","NULL"
"kazakh-british technical university","kazakhstan","NULL"
"central kazakhstan university mgti-lingua  institute of language and translation lingua","kazakhstan","NULL"
"eurasian national university named after l.n. gumilev","kazakhstan","NULL"
"international academy of business (iab)","kazakhstan","NULL"
"kazakhstan institute of management economics and strategic research (kimep)","kazakhstan","NULL"
"suleyman demirel university almaty","kazakhstan","NULL"
"taraz state university","kazakhstan","NULL"
"turan university","kazakhstan","NULL"
"university of international business (uib)","kazakhstan","NULL"
"egerton nakuru campus","kenya","NULL"
"narok university college","kenya","NULL"
"africa nazarene university","kenya","NULL"
"catholic university of eastern africa","kenya","NULL"
"egerton university","kenya","NULL"
"jomo kenyatta university of agriculture and technology","kenya","NULL"
"kabarak university","kenya","NULL"
"maseno university","kenya","NULL"
"masinde muliro university of science and technology","kenya","NULL"
"moi university","kenya","NULL"
"st. paul's university","kenya","NULL"
"strathmore university","kenya","NULL"
"united states international university","kenya","NULL"
"university of nairobi","kenya","NULL"
"chungnam national university","korea","NULL"
"dankook university","korea","NULL"
"dongguk university","korea","NULL"
"hanbat national university","korea","NULL"
"hankuk university of foreign studies","korea","NULL"
"hanyang university","korea","NULL"
"inha university","korea","NULL"
"kyonggi university","korea","NULL"
"myongji university","korea","NULL"
"seoul national university of science&technology","korea","NULL"
"soongsil university","korea","NULL"
"suwon university","korea","NULL"
"the catholic university of korea","korea","NULL"
"ulsan national institute of science and technology (unist)","korea","NULL"
"university of seoul","korea","NULL"
"chung-ang university","korea","NULL"
"ewha womans university","korea","NULL"
"hongik university","korea","NULL"
"konkuk university","korea","NULL"
"korea advanced institute of science and technology (kaist)","korea","NULL"
"korea university","korea","NULL"
"kyung hee university","korea","NULL"
"kyungwon university","korea","NULL"
"sejong university","korea","NULL"
"seoul national university","korea","NULL"
"seoul women's university","korea","NULL"
"sogang university","korea","NULL"
"sungkyunkwan university","korea","NULL"
"yonsei university","korea","NULL"
"kangwon national university","korea","gangwon-do"
"bishkek financial and economic college","kyrgyzstan","NULL"
"institute for integration of international educational programs","kyrgyzstan","NULL"
"institute of new information technologies","kyrgyzstan","NULL"
"international university of central asia","kyrgyzstan","NULL"
"academy of management under the president of the kyrgyz republic","kyrgyzstan","NULL"
"american university - central asia","kyrgyzstan","NULL"
"bishkek academy of finance and economics","kyrgyzstan","NULL"
"international university of kyrgyzstan","kyrgyzstan","NULL"
"kyrgyz state juridical academy","kyrgyzstan","NULL"
"kyrgyz-russian slavic university","kyrgyzstan","NULL"
"kyrgyz-turkish manas university","kyrgyzstan","NULL"
"osh state university","kyrgyzstan","NULL"
"osh technological university","kyrgyzstan","NULL"
"university of friendship of nations","kyrgyzstan","NULL"
"kuala lumpur metropolitan university college","malaysia","NULL"
"multimedia university: melaka branch (mmu)","malaysia","NULL"
"sunway university college","malaysia","NULL"
"taylor's university college","malaysia","NULL"
"tunku abdul rahman college (tarc)","malaysia","NULL"
"twintech international university","malaysia","NULL"
"university of malaysia perlis (unimap)","malaysia","NULL"
"university of malaysia kelantan (umk)","malaysia","NULL"
"university of sultan zainal abidin (unisza)","malaysia","NULL"
"university of technology mara: pulau pinang branch","malaysia","NULL"
"university of technology mara: sabah branch","malaysia","NULL"
"university of technology mara: sarawak branch","malaysia","NULL"
"malaya university (um)","malaysia","NULL"
"university of technology petronas (utp)","malaysia","NULL"
"tun hussein onn university of technology malaysia (uthm)","malaysia","johor"
"university of technology malaysia (utm)","malaysia","johor"
"northern university of malaysia (uum)","malaysia","kedah"
"malaysia technical university malacca (utem)","malaysia","melaka"
"university of kuala lumpur institute of chemical & bioengineering technology malaysia (micet unikl)","malaysia","melaka"
"islamic science university of malaysia (usim)","malaysia","negeri sembilan"
"university of science malaysia (usm)","malaysia","penang"
"sultan idris university of education (upsi)","malaysia","perak"
"university of malaysia pahang (ump)","malaysia","perlis"
"university of malaysia sabah (ums)","malaysia","sabah"
"international islamic university of malaysia (iium)","malaysia","selangor"
"mara university of technology (uitm)","malaysia","selangor"
"multimedia university: cyberjaya (mmu)","malaysia","selangor"
"national university of malaysia (ukm)","malaysia","selangor"
"tenaga national university (uniten)","malaysia","selangor"
"the university of nottingham: malaysia campus","malaysia","selangor"
"university putra malaysia (upm)","malaysia","selangor"
"university tun abdul razak (unirazak)","malaysia","selangor darul ehsan"
"university of malaysia terengganu (umt)","malaysia","terengganu"
"anahuac university north campus","mexico","NULL"
"autonomous university of the state of mexico (uaem)","mexico","NULL"
"banking and commercial school tlalnepantla campus (ebc)","mexico","NULL"
"college of mexico (colmex)","mexico","NULL"
"metropolitan autonomous university (uam)","mexico","NULL"
"mexican valley university guadalajara south campus (uvm guadalajara sur)","mexico","NULL"
"mexican valley university lomas verdes campus (uvm lomas verdes)","mexico","NULL"
"montermorelos university","mexico","NULL"
"monterrey institute of technology and higher studies puebla campus (itesm puebla)","mexico","NULL"
"national autonomous university of mexico (unam)","mexico","NULL"
"national politechnic institute (ipn)","mexico","NULL"
"technological university of the mixteca (utm)","mexico","NULL"
"university of guadalajara los valles university center (cu valles)","mexico","NULL"
"monterrey institute of technology and higher studies mexico city campus (itesm mexico city)","mexico","NULL"
"southeastern regional university (urse)","mexico","NULL"
"university of the atemajac valley (univa)","mexico","NULL"
"western institute of technology and higher studies (iteso)","mexico","NULL"
"monterrey institute of technology and higher studies saltillo campus (itesm saltillo)","mexico","coah."
"antonio narro autonomous agricultural university (uaaan)","mexico","coahuila"
"panamerican university mexico campus (up mexico city)","mexico","d.f."
"monterrey institute of technology and higher studies toluca campus (itesm toluca)","mexico","estado de méxico"
"panamerican university guadalajara campus (up guadalajara)","mexico","jalisco"
"university of guadalajara (u de g)","mexico","jalisco"
"monterrey institute of technology and higher studies monterrey campus (itesm monterrey)","mexico","nuevo leon"
"university of monterrey (udem)","mexico","nuevo león"
"university of the north (u del n)","mexico","nuevo león"
"jose vasconcelos university (univas)","mexico","oaxaca"
"popular autonomous university of the state of puebla (upaep)","mexico","puebla"
"monterrey institute of technology and higher studies queretaro campus (itesm queretaro)","mexico","queretaro"
"sonora institute of technology (itson)","mexico","sonora"
"comsup","morocco","NULL"
"ecole superieure internationale de gestion casablanca (esig)","morocco","NULL"
"faculty of medicine and pharmacy of casablanca (fmpc)","morocco","NULL"
"faculty of technology of settat","morocco","NULL"
"higher institute of marine fisheries (ispm)","morocco","NULL"
"higher school of textile and clothing industries (esith)","morocco","NULL"
"mohammed vi international academy of civil aviation (aiac)","morocco","NULL"
"mundiapolis","morocco","NULL"
"national institute of statistics and applied economics (insea)","morocco","NULL"
"national school of agriculture of meknes (enam)","morocco","NULL"
"national school of applied science (ensa agadir)","morocco","NULL"
"national school of applied science of el jadida (ensa el jadida)","morocco","NULL"
"national school of applied science of fez (ensa fès)","morocco","NULL"
"national school of applied science of hoceima","morocco","NULL"
"national school of architects (ena)","morocco","NULL"
"national school of commerce and management of el jadida (encg el jadida)","morocco","NULL"
"national school of commerce and management of fez (encg fès)","morocco","NULL"
"national school of commerce and management (encg casablanca)","morocco","NULL"
"national school of commerce and management oujda - mohammed i - university (encg oujda)","morocco","NULL"
"national school of commerce and management-kenitra- ibntoufail university (encg-kenitra)","morocco","NULL"
"national school of sciences of khouribga","morocco","NULL"
"national school of sciences of meknes","morocco","NULL"
"school of information science (esi)","morocco","NULL"
"sciences faculty of rabat (fsr)","morocco","NULL"
"faculty of law economics and social sciences of settat (fsjes settat)","morocco","NULL"
"hassan ii agronomic and veterinary institute (iav hassan ii)","morocco","NULL"
"hassan ii university mohammedia (uhii-mohammedia)","morocco","NULL"
"hassania school of public affairs (ehtp)","morocco","NULL"
"higher school of commerce and business (esca)","morocco","NULL"
"institute of higher studies in management casablanca (hem)","morocco","NULL"
"international institute for higher education in morocco (iihem)","morocco","NULL"
"mohammadia school of ingineers (emi)","morocco","NULL"
"moroccan school of engineering sciences casablanca (emsi)","morocco","NULL"
"national institute posts and telecommunications (inpt)","morocco","NULL"
"national school of commerce and management agadir - ibn zohr university","morocco","NULL"
"national school of computer science and system analysis (ensias)","morocco","NULL"
"national school of mining industries","morocco","NULL"
"school of higher studies in commerce rabat (hec)","morocco","NULL"
"delft university of technology","netherlands","NULL"
"fontys university of applied sciences eindhoven","netherlands","NULL"
"maastricht university","netherlands","NULL"
"nijenrode amsterdam new business school","netherlands","NULL"
"the hague university of applied sciences","netherlands","NULL"
