"musgrove park hospital","breast care unit&nbsp;","taunton"
"mayday hospital","breast cancer offices","thornton heath"
"torbay hospital&nbsp;","breast care unit&nbsp;","torquay"
"hillingdon hospital&nbsp;","out patients&nbsp;","uxbridge"
"clayton hospital&nbsp;","breast care unit&nbsp;","wakefield"
"warrington general hospital","kendrick wing","warrington"
"watford general hospital","the pink suite","watford"
"west middlesex hospital","the mulberry centre","west middlesex"
"crawley hospital","breast care unit","west sussex"
"bradford royal infirmary","breast care unit ward 12","west yorkshire"
"west general hospital&nbsp;","macmillan &amp; breast cancer office&nbsp;","weston-super-mare"
"bosom friends (windsor)","the parapet c/o king edward v11 hosp","windsor"
"thomas linaker centre","suite 5","wigan"
"william harvey hospital","breast care unit&nbsp;","willesborough"
"royal winchester county hospital","c/o e n t out patients","winchester"
"king edward vii hospital","the parapet","windsor"
"worthing hospital&nbsp;","breast care unit&nbsp;","worthing"
"yeovil district hospital","level 4","yeovil"
"york district hospital","breast care unit","york"
