"nr.","museum","country","score *"
"146","museum boerhaave","netherlands","472"
"147","currier museum of art","usa","474"
"148","historisches museum frankfurt am main","germany","477"
"149","birmingham museum of art","usa","478"
"150","muzeul naå£ional de arta al româniei","romania","478"
"151","zamek królewski na wawelu","poland","479"
"152","museum meermanno","netherlands","480"
"153","zuiderzeemuseum","netherlands","485"
"154","nederlands scheepvaartmuseum amsterdam","netherlands","489"
"155","bonnefantenmuseum","netherlands","489"
"156","cincinnati art museum","usa","489"
"157","fries museum","netherlands","490"
"158","tel aviv museum of art","israel","494"
"159","museum kunst palast","germany","500"
"160","staatliche kunsthalle","germany","502"
"161","albertina","austria","503"
"162","muzeum-paå‚ac w wilanówie","poland","503"
"163","norton museum of art","usa","505"
"164","fundación carlos de amberes","spain","506"
"165","museo lázaro galdiano","spain","508"
"166","kunsthalle der hypo-kulturstiftung","germany","511"
"167","museum of art rhode island school of design","usa","516"
"168","museum catharijneconvent","netherlands","528"
"169","courtauld institute of art gallery","united kingdom","529"
"170","galerij prins willem v","netherlands","531"
"171","geldmuseum utrecht","netherlands","532"
"172","schleswig-holsteinisches landesmuseum schloss gottorf","germany","532"
"173","koninklijke musea voor kunst en geschiedenis","belgium","534"
"174","vlaamse kunstcollectie","belgium","535"
"175","historisch museum deventer","netherlands","541"
"176","peterhof palace national museum","russia","553"
"177","bowes museum","united kingdom","556"
"178","dordrechts museum","netherlands","557"
"179","martin-von-wagner-museum","germany","557"
"180","barber institute of fine arts","united kingdom","558"
"181","teylers museum","netherlands","562"
"182","musée des augustins","france","565"
"183","koninklijk museum voor schone kunsten (kmska)","belgium","568"
"184","musée condé","france","569"
"185","muzeul naå£ional brukenthal","romania","575"
"186","museo franz mayer","mexico","577"
"187","bass museum of art","usa","580"
"188","museo poldi pezzoli","italy","583"
"189","muzeum narodowe w krakowie","poland","585"
"190","cobra museum voor moderne kunst","netherlands","586"
"191","nasjonalmuseet for kunst arkitektur og design","norway","586"
"192","national portrait gallery","united kingdom","587"
"193","koninklijk museum van het leger en de krijgsgeschiedenis","belgium","588"
"194","aachener dom","germany","592"
"195","museo nacional de arte decorativo","argentina","593"
"196","escher in het paleis","netherlands","595"
"197","kenwood the iveagh bequest","united kingdom","598"
"198","holland museum","usa","607"
"199","muzeum narodowe w poznaniu","poland","608"
"200","bergen kunstmuseum","norway","612"
"201","castello del buonconsiglio","italy","613"
"202","pavlovsk palace","russia","614"
"203","rosenborg slot","denmark","618"
"204","museum of fine arts st. petersburg","usa","623"
"205","museum voor moderne kunst arnhem (mmka)","netherlands","623"
"206","zamek królewski w warszawie","poland","623"
"207","drents museum","netherlands","629"
"208","palais des beaux-arts","france","636"
"209","muzeum narodowe we wrocå‚awiu","poland","638"
"210","musée de grenoble","france","640"
"211","philbrook museum of art","usa","642"
"212","gemeentemuseum den haag","netherlands","644"
"213","muzeum historyczne miasta gdaå„ska","poland","644"
"214","musée des beaux-arts de rennes","france","647"
"215","museum &amp; gallery at bob jones university","usa","648"
"216","frans hals museum","netherlands","653"
"217","cummer museum of art and gardens","usa","654"
"218","museum voor schone kunsten","belgium","660"
"219","muzeum umä›ní","czech republic","662"
"220","singer museum","netherlands","663"
"221","museum het rembrandthuis","netherlands","666"
"222","timken museum of art","usa","666"
"223","kunsthalle tübingen","germany","672"
"224","taft museum of art","usa","672"
"225","det nationalhistoriske museum på frederiksborg slot","denmark","679"
"226","cabinet des estampes et des dessins de la ville de liège","belgium","680"
"227","musée national des beaux-arts du québec","canada","684"
"228","muzej za umjetnost i obrt","croatia","685"
"229","tatton park national trust","united kingdom","685"
"230","residenzgalerie","austria","689"
"231","allard pierson museum","netherlands","690"
"232","herzog anton ulrich-museum","germany","695"
"233","latvian academy of arts","latvia","700"
"234","allentown art museum","usa","708"
"235","stedelijk museum schiedam","netherlands","711"
"236","zeeuws museum","netherlands","716"
"237","winnipeg art gallery","canada","727"
"238","museum schloss wilhelmshöhe","germany","729"
"239","tiroler landesmuseum ferdinandeum","austria","729"
"240","museum bredius","netherlands","731"
"241","ostfriesisches landesmuseum emden","germany","735"
"242","galéria mesta bratislavy","slovak republic","736"
"243","zeeuws maritiem muzeeum","netherlands","740"
"244","slezské zemské muzeum","czech republic","745"
"245","muzej mimara","croatia","746"
"246","keramiekmuseum princessehof","netherlands","749"
"247","museumgouda / het catharina gasthuis","netherlands","749"
"248","institut national du patrimoine","france","750"
"249","hrvatska akademija znanostii umjetnosti: kabinet grafike","croatia","750"
"250","chhatrapati shivaji maharaj vastu sangrahalaya","india","754"
"251","galleria doria pamphilj","italy","759"
"252","stedelijk museum roermond","netherlands","759"
"253","muzeum sztuki w åodzi","poland","760"
"254","musée des beaux-arts de strasbourg","france","760"
"255","nordico - museum der stadt linz","austria","761"
"256","museum leuven","belgium","762"
"257","muzeum zamek w åaå„cucie","poland","763"
"258","bayerisches nationalmuseum","germany","764"
"259","historisch museum rotterdam","netherlands","765"
"260","muzeum w nieborowie i arkadii","poland","767"
"261","couven-museum","germany","768"
"262","national art museum of the republic of belarus","belarus","774"
"263","haus der niederlande","germany","775"
"264","museum de fundatie","netherlands","778"
"265","westfries museum","netherlands","779"
"266","instituto ricardo brennand","brazil","780"
"267","musée granet d'aix-en-provence","france","781"
"268","museum kranenburgh","netherlands","782"
"269","museu nacional de belas artes","brazil","784"
"270","york art gallery","united kingdom","787"
"271","museum schloss bückeburg","germany","789"
"272","muzeum narodowe w szczecinie","poland","791"
"273","new-york historical society","usa","794"
"274","bijbels museum","netherlands","797"
"275","museum jan cunen","netherlands","798"
"276","musée de l'art wallon","belgium","807"
"277","hyde collection","usa","808"
"278","gemäldegalerie der akademie der bildenden künste","austria","813"
"279","pretoria art museum","south africa","814"
"280","cheltenham art gallery and museum","united kingdom","815"
"281","panorama mesdag","netherlands","821"
"282","muzeum czartoryskich","poland","825"
"283","oblastni galerie","czech republic","830"
"284","kunstverein braunschweig","germany","833"
"285","landesmuseum mainz","germany","834"
"286","rubenshuis musea antwerpen","belgium","835"
"287","national gallery and alexandros soutzos museum","greece","836"
"288","hessisches landesmuseum","germany","837"
"289","onze-lieve-vrouwekathedraal antwerpen","belgium","837"
"290","musée fesch","france","839"
"291","lviv art gallery","ukraine","840"
"292","historisch museum de bevelanden","netherlands","844"
"293","musée jenisch","switzerland","848"
"294","strossmayerova galerija starih majstora","croatia","848"
"295","stedelijk museum het prinsenhof","netherlands","850"
"296","museum willet-holthuysen","netherlands","850"
"297","haags historisch museum","netherlands","854"
"298","agnes etherington art centre","canada","855"
"299","kimbell art museum","usa","856"
"300","museum kurhaus kleve","germany","860"
"301","la cour d'or-musée de metz","france","860"
"302","collection frits lugt fondation custodia","france","865"
"303","stedelijk museum alkmaar","netherlands","866"
"304","schloss friedenstein","germany","866"
"305","sammlung oskar reinhart «am römerholz»","switzerland","869"
"306","musée des beaux-arts de dijon","france","870"
"307","karl ernst osthaus-museum","germany","871"
"308","mittelrhein-museum","germany","877"
"309","sammlung e.g. bührle","switzerland","879"
"310","schloss rohrau - graf harrach'sche familiensammlung","austria","881"
"311","musée du château des comtes de marchin","belgium","882"
"312","musée national magnin de dijon","france","883"
"313","alå¡ova jihoäeská galerie","czech republic","884"
"314","musée des beaux-arts de charleroi","belgium","885"
"315","bonner kunstverein","germany","891"
"316","muzeum warmii i mazur","poland","898"
"317","stedelijk museum zwolle","netherlands","899"
"318","kunstmuseum winterthur","switzerland","901"
"319","meininger museen","germany","903"
"320","schloss weissenstein","germany","903"
"321","museo municipal quiñones de león","spain","911"
"322","national history museum of latvia","latvia","912"
"323","museo de arte de ponce","puerto rico","913"
"324","nationaal glasmuseum leerdam","netherlands","913"
"325","kasteel huis bergh","netherlands","919"
"326","muzeum lubelskie","poland","928"
"327","muzeum åazienki królewskie","poland","930"
"328","historisch museum arnhem","netherlands","932"
"329","breda's museum","netherlands","932"
"330","sofia art gallery","bulgaria","942"
"331","museum oskar reinhardt am stadtgarten","switzerland","946"
"332","musée des beaux-arts et d'archéologie","france","946"
"333","springfield museum of art","usa","948"
"334","b.c. koekkoek-haus","germany","953"
"335","museum ons' lieve heer op solder","netherlands","955"
"336","kunstmuseum st. gallen","switzerland","958"
"337","musée rupert de chièvres","france","959"
"338","capilla real de granada","spain","960"
"339","rijksmuseum twenthe","netherlands","963"
"340","ä€rzemju mäkslas muzejs","latvia","970"
"341","kunstsammlungen der veste coburg","germany","980"
"342","museo borgogna","italy","980"
"343","galleria giorgio franchetti alla ca' d'oro","italy","985"
"344","cobbe collection","united kingdom","985"
"345","städtisches museum schloss rheydt","germany","987"
"346","museum mesdag","netherlands","991"
"347","simon van gijn - museum aan huis","netherlands","992"
"348","musée calvet","france","993"
"349","figge art museum","usa","1004"
"350","rubenianum","belgium","1004"
"351","keresztény múzeum","hungary","1006"
"352","marie tak van poortvliet museum","netherlands","1012"
"353","gösta serlachius museum of fine arts","finland","1015"
"354","rockoxhuis","belgium","1022"
"355","obrazárna prazského hradu prazskã½ hrad","czech republic","1022"
"356","museum aan het vrijthof","netherlands","1023"
"357","william humphreys art gallery","south africa","1025"
"358","muzeul de artäƒ timiåÿoara","romania","1025"
"359","museum briner und kern","switzerland","1029"
"360","national gallery for foreign art","bulgaria","1033"
"361","stedelijk museum zutphen","netherlands","1035"
"362","zilvermuseum sterckshof provincie antwerpen","belgium","1050"
"363","kunsthaus heylshof","germany","1051"
"364","galleria nazionale di palazzo spinola","italy","1053"
"365","museum schloss ehrenburg","germany","1063"
"366","staatliche graphische sammlung münchen","germany","1064"
"367","nederlands tegelmuseum","netherlands","1066"
"368","museo di palazzo ducale","italy","1067"
"369","nivaagaards malerisamling","denmark","1069"
"370","villa vauban - musée d'art de la ville de luxembourg","luxembourg","1073"
"371","kasteel van loppem","belgium","1076"
"372","anhaltische gemäldegalerie","germany","1077"
"373","broelmuseum","belgium","1095"
"374","atlas van stolk","netherlands","1105"
"375","ottema-kingma stichting","netherlands","1111"
"376","museo nacional de bellas artes de neuquén (mnba neuquén)","argentina","1130"
"377","keizerskapel","belgium","1144"
