"world rank","city","country","city           population","metro           population","mayor"
"50","shenzhen","china","4320000","8616000","xy qin"
"97","shijiazhuang","china","2630000","9600000","ai wenli"
"318","shiraz","iran","1228000","1300000","mehran e'temad"
"530","shizuoka","japan","718000","1211000","zenkichi kojima"
"455","sholapur","india","890000","890000","n/k"
"373","shouguang","china","1090000","","n/k"
"39","singapore","singapore","4988000","","lee hsien loong"
"252","sofia","bulgaria","1403000","1455000","yordanka fandukova"
"351","solapur","india","1134000","","aruna vakase"
"445","songzi","china","905000","","n/k"
"436","soweto","south africa","923000","","amos masondo (johannesburg)"
"440","srinagar","india","915000","1050000","salman sagar"
"43","st petersburg","russia","4661000","4900000","valentina matviyenko"
"n/r","st. louis","usa","372000","2850000","francis g slay"
"475","stockholm","sweden","826000","1252000","sten nordin"
"n/r","strasbourg","france","273000","639000","roland rie"
"570","stuttgart","germany","600000","2330000","wolfgang schuster"
"412","subra al-haymah","egypt","998000","","n/k"
"262","suining","china","1385000","3500000","n/k"
"181","suizhou","china","1680000","","li hongyun"
"77","surabaya","indonesia","3100000","3700000","bambang d h"
"600","surakarta","indonesia","533000","857000","n/k"
"34","surat","india","5390000","6347000","rajendra desai"
"375","suwon","south korea","1087000","","n/k"
"119","suzhou","china","2383000","6298000","yan li"
"161","suzhou anhui","china","1800000","5600000","tang chengpei"
"48","sydney","australia","4400000","","clover moore"
"248","tabriz","iran","1420000","","alireza novin"
"186","taian","china","1650000","5500000","li hongfeng"
"384","taichung","taiwan","1065000","2700000","jason hu"
"512","tainan","taiwan","769000","785000","hsu tain-tsair"
"98","taipei","taiwan","2620000","6753000","hau lung-pin"
"381","taishan","china","1070000","","n/k"
"274","taixing","china","1355000","","gao yazi"
"103","taiyuan","china","2550000","3400000","zhang bingsheng"
"210","taizhou","china","1528000","5741000","wu weirong"
"n/r","tallinn","estonia","407000","","edgar savisaar"
"n/r","tampa","usa","341000","2700000","pam iorio"
"n/r","tampico","mexico","319000","775000","n/k"
"203","tangerang","indonesia","1545000","","wahidin halim"
"536","tangier","morocco","710000","","n/k"
"142","tangshan","china","1980000","7100000","zhang guodong"
"132","tashkent","uzbekistan","2180000","3400000","abdukahar tuhtayev"
"221","tbilisi","georgia","1490000","1550000","giorgi ugulava"
"n/r","tegal","indonesia","238000","784000","n/k"
"326","tegucigalpa","honduras","1200000","1324000","ricardo alvarez"
"16","tehran","iran","8430000","13450000","mohammad bagher ghalibaf"
"n/r","tel aviv","israel","383000","3250000","ron huldai"
"170","tengzhou","china","1750000","","du yongguang"
"453","teresina","brazil","893000","949000","silvio mendes"
"268","thane","india","1375000","","ashjok vaity"
"n/r","the hague","netherlands","486000","1011000","van aartsen"
"n/r","thessaloniki","greece","407000","798000","vasilis papageorgopoulos"
"488","thiruvananthapuram","india","810000","955000","c jayan babu"
"24","tianjin","china","7500000","11750000","huang xingguo"
"165","tianmen","china","1790000","","n/k"
"188","tianshui","china","1630000","3450000","li wenqing"
"222","tijuana","mexico","1484000","1500000","carlos bustamante"
"517","tiruchchirappalli","india","760000","863000","n/k"
"545","tlalnepantla de baz","mexico","685000","800000","arturo ugalde meneses"
"15","tokyo","japan","8653000","31036000","shintaro ishihara"
"505","toluca","mexico","785000","1650000","maria elena barrera tapia"
"257","tongzhou","china","1400000","","ding dawei"
"101","toronto","canada","2571000","5100000","rob ford"
"410","torreon","mexico","1001000","","eduardo olmos castro"
"n/r","toulouse","france","438000","851000","pierre cohen"
"179","tripoli","libya","1683000","2270000","abdullatif abdulrahman aldaali"
"209","tshwane (pretoria)","south africa","1530000","2346000","gwen ramokgopa"
"597","tucson","usa","542000","720000","bob walkup"
"n/r","tucuman","argentina","528000","830000","domingo amaya"
"n/r","tulsa","usa","399000","813000","dewey f. bartlett jr"
"327","tunis","tunisia","1200000","3980000","abb&egrave;s mohsen"
"442","turin","italy","910000","1617000","sergio chiamparino"
"398","ufa","russia","1023000","1050000","pavel kachkayev"
"338","ujung pandang","indonesia","1170000","1254000","n/k"
"364","ulaanbaatar","mongolia","1108000","","n/k"
"356","ulsan","south korea","1127000","","bak maeng-woo"
"162","urumqi","china","1800000","2680000","jerla isamudin"
"219","vadodara","india","1500000","3642000","balakrishna shukla"
"489","valencia","spain","810000","1720000","rita barber&aacute; nolla"
"328","valencia","venezuela","1200000","1750000","edgardo parra"
"n/r","valparaiso","chile","301000","904000","aldo cornej"
"580","vancouver","canada","580000","2120000","gregor robertson"
"269","varanasi","india","1375000","3150000","kaushalendra singh"
"n/r","vereeniging","south africa","385000","774000","n/k"
"180","vienna","austria","1681000","2269000","michael h&auml;upl"
"428","vijayawada","india","957000","1150000","ratna bindu"
"593","vilnius","lithuania","545000","","vilius navickas"
"421","visakhapatnam","india","970000","1330000","b n vishnu"
"n/r","vitoria","brazil","313000","1628000","jo&atilde;o carlos coser"
"403","volgograd","russia","1012000","1292000","roman grebennikov"
"468","voronezh","russia","849000","950000","sergey koliukh"
"368","wafangdian","china","1100000","","n/k"
"176","warsaw","poland","1712000","3350000","hanna gronkiewicz-waltz"
"571","washington dc","usa","600000","5300000","vincent gray"
"235","weifang","china","1450000","8500000","xu liquan"
"435","weinan","china","925000","","n/k"
"n/r","wiesbaden","germany","277000","","helmut m&uuml;ller"
"46","wuhan","china","4500000","6200000","ruan chengfa"
"422","wujiang","china","970000","1500000","n/k"
"n/r","wuppertal","germany","353000","","peter jung"
"171","wuxi","china","1750000","2230000","mao xiaoping"
"112","xiamen","china","2490000","","liu cigui"
"93","xian","china","2670000","4480000","chen baogen"
"533","xining","china","713000","894000","n/k"
"223","xintai","china","1480000","","liu daqun"
"230","xinyang","china","1460000","","guo ruimin"
"156","xuzhou","china","1830000","9410000","cao xinping"
"47","yangon","myanmar (burma)","4468000","5.500000","aung thein lynn"
"163","yantai","china","1800000","6500000","zhang jiangting"
"242","yaound&eacute;","cameroon","1430000","1550000","n/k"
"365","yerevan","armenia","1108000","1246000","gagik beglaryan"
"400","yichun","china","1020000","958000","gong jianhua"
"293","yiyang","china","1300000","4500000","n/k"
"n/r","yogyakarta","indonesia","417000","840000","n/k"
"59","yokohama","japan","3655000","","fumiko hayashi"
"279","yongcheng","china","1347000","","n/k"
"317","yuzhou","china","1230000","","n/k"
"495","zagreb","croatia","804000","1288000","milan bandic"
"345","zapopan","mexico","1155000","1200000","hector vielma ordo&ntilde;ez"
"508","zaporizhzhya","ukraine","782000","","yevgeni kartashov"
"450","zaria","nigeria","898000","","n/k"
"551","zhangjiakou","china","680000","882000","n/k"
"236","zhanjiang","china","1450000","6900000","ruan risheng"
"99","zhengzhou","china","2600000","4510000","zhao jiancai"
"111","zhongshan","china","2495000","","n/k"
"83","zibo","china","2850000","4200000","liu huiyan"
"n/r","zurich","switzerland","333000","965000","corine mauch"
