"common        name","scientific        name","abun-        dance"
"yellow-rumped warbler","dendroica coronata","c"
"black-throated gray warbler","dendroica nigrescens","r"
"townsend's warbler","dendroica townsendi","c"
"hermit warbler","dendroica occidentalis","c"
"palm warbler","dendroica palmarum","r"
"macgillivray's warbler","oporornis tolmiei","u"
"common yellowthroat","geothlypis trichas","fc"
"wilson's warbler","wilsonia pusilla","c"
"yellow-breasted chat","icteria virens","r"
"western tanager","piranga ludoviciana","r"
"spotted towhee","pipilo maculatus","c"
"california towhee","pipilo crissalis","c"
"chipping sparrow","spizella passerina","u"
"vesper sparrow","pooecetes gramineus","r"
"savannah sparrow","passerculus sandwichensis","fc"
"grasshopper sparrow","ammodramus savannarum","x"
"fox sparrow","passerella iliaca","fc"
"song sparrow","melospiza melodia","c"
"lincoln's sparrow","melospiza lincolnii","u"
"white-throated sparrow","zonotrichia albicollis","x"
"white-crowned sparrow","zonotrichia leucophrys","c"
"golden-crowned sparrow","zonotrichia atricapilla","fc"
"dark-eyed junco","junco hyemalis","c"
"rose-breasted grosbeak","pheucticus ludovicianus","x"
"black-headed grosbeak","pheucticus melanocephalus","r"
"lazuli bunting","passerina amoena","r"
"red-winged blackbird","agelaius phoeniceus","c"
"western meadowlark","sturnella neglecta","c"
"yellow-headed blackbird","xanthocephalus xanthocephalus","r"
"brown-headed cowbird","molothrus ater","c"
"bullock's oriole","icterus bullockii","u"
"purple finch","carpodacus purpureus","u"
"house finch","carpodacus mexicanus","c"
"red crossbill","loxia curvirostra","u"
"pine siskin","carduelis pinus","fc"
"lesser goldfinch","carduelis psaltria","u"
"american goldfinch","carduelis tristis","c"
"house sparrow","passer domesticus","fc"
