"year","winner/2nd","NULL","scores","total","money (us$)"
"&nbsp;","craig stadler","2","66-68-64-69-66","333","54000.00"
"1984","john mahaffey","1","66-70-70-68-66","340","72000.00"
"&nbsp;","jim simons","2","69-63-70-69-69","340","43200.00"
"1983","keith fergus","1","71-69-65-65-65","335","67500.00"
"&nbsp;","rex caldwell","2","67-69-69-65-65","335","40500.00"
"1982","ed fiori","1","70-65-66-67-67","335","50000.00"
"&nbsp;","tom kite","2","68-66-66-69-66","335","29700.00"
"1981","bruce lietzke","1","65-66-65-70-69","335","50000.00"
"&nbsp;","jerry pate","2","66-67-68-67-69","337","29700.00"
"1980","craig stadler","1","69-68-70-69-67","343","50000.00"
"&nbsp;","tom purtzer","t2","70-70-68-69-68","345","24200.00"
"&nbsp;","mike sullivan","t2","71-70-65-71-68","345","24200.00"
"1979","john mahaffey","1","66-66-71-71-69","343","50000.00"
"&nbsp;","lee trevino","2","71-68-66-70-69","344","29700.00"
"1978","bill rogers","1","69-67-67-67-69","339","45000.00"
"&nbsp;","jerry mcgee","2","71-68-65-70-67","341","25650.00"
"1977","rik massengale","1","64-66-70-70-67","337","40000.00"
"&nbsp;","bruce lietzke","2","67-67-70-72-67","343","22800.00"
"1976","johnny miller","1","71-69-73-68-63","344","36000.00"
"&nbsp;","rik massengale","2","69-72-71-68-67","347","20520.00"
"1975","johnny miller","1","64-69-72-66-68","339","32000.00"
"&nbsp;","bob murphy","2","74-67-67-68-66","342","18240.00"
"1974","hubert green","1","72-69-66-69-65","341","32048.00"
"&nbsp;","bert yancey","2","71-72-61-69-70","343","18267.40"
"1973","arnold palmer","1","71-66-69-68-69","343","32000.00"
"&nbsp;","johnny miller","t2","70-70-70-63-72","345","14800.00"
"&nbsp;","jack nicklaus","t2","64-70-71-68-72","345","14800.00"
"1972","bob rosburg","1","66-69-72-70-67","344","29000.00"
"&nbsp;","lanny wadkins","2","70-69-70-69-67","345","16530.00"
"1971","arnold palmer","1","67-71-66-68-70","342","28000.00"
"&nbsp;","ray floyd","2","68-71-70-66-67","342","16000.00"
"1970","bruce devlin","1","67-68-68-70-66","339","25000.00"
"&nbsp;","larry ziegler","2","67-65-68-71-72","343","14300.00"
"1969","billy casper","1","71-68-71-69-66","345","20000.00"
"&nbsp;","dave hill","2","69-72-70-71-66","348","11400.00"
"1968","arnold palmer","1","72-70-67-71-68","348","20000.00"
"&nbsp;","deane beman","2","72-74-70-67-65","348","12000.00"
"1967","tom nieporte","1","76-68-68-68-69","349","17600.00"
"&nbsp;","doug sanders","2","70-73-69-67-71","350","10560.00"
"1966","doug sanders","1","70-72-68-73-66","349","15000.00"
"&nbsp;","arnold palmer","2","71-70-71-67-70","349","8000.00"
"1965","billy casper","1","70-70-69-67-72","348","15000.00"
"&nbsp;","tommy aaron","t2","69-69-69-72-70","349","6600.00"
"&nbsp;","arnold palmer","t2","70-70-72-67-70","349","6600.00"
"1964","tommy jacobs","1","66-74-74-69-70","353","7500.00"
"&nbsp;","jimmy demaret","2","75-68-67-72-71","353","4000.00"
"1963","jack nicklaus","1","69-66-67-71-72","345","9000.00"
"&nbsp;","gary player","2","67-69-73-69-67","345","4600.00"
"1962","arnold palmer","1","69-67-66-71-69","342","5300.00"
"&nbsp;","jay hebert","t2","69-70-66-69-71","345","2800.00"
"&nbsp;","gene littler","t2","67-71-64-68-75","345","2800.00"
"1961","billy maxwell","1","68-70-68-68-71","345","5300.00"
"&nbsp;","doug sanders","2","68-73-71-66-69","347","3400.00"
"1960","arnold palmer","1","67-73-67-66-65","338","12000.00"
"&nbsp;","fred hawkins","2","69-69-71-67-65","341","6600.00"
