"NULL","country name:","population","area           (sq. km.)","population density          (sq. km.)","area           (sq. mi.)","population density          (sq. mi.)"
"114","micronesia","111000","702.00","158.12","271.04","409.53"
"162","st. vincent & the grenadines","109000","389.00","280.21","150.19","725.73"
"68","grenada","104000","344.00","302.33","132.82","783.02"
"173","tonga","104000","748.00","139.04","288.80","360.11"
"89","kiribati","100000","811.00","123.30","313.13","319.36"
"6","antigua & barbuda","89000","443.00","200.90","171.04","520.34"
"152","seychelles","85000","455.00","186.81","175.68","483.84"
"4","andorra","84082","468.00","179.66","180.70","465.32"
"49","dominica","67000","754.00","88.86","291.12","230.14"
"110","marshall islands","63000","181.00","348.07","69.88","901.49"
"144","saint kitts & nevis","38960","261.00","149.27","100.77","386.61"
"100","liechtenstein","35904","160.00","224.40","61.78","581.19"
"116","monaco","33000","2.00","16500.00","0.77","42734.82"
"147","san marino","32386","61.00","530.92","23.55","1375.07"
"132","palau","20000","458.00","43.67","176.83","113.10"
"122","nauru","10000","21.00","476.19","8.11","1233.33"
"178","tuvalu","10000","26.00","384.62","10.04","996.15"
"187","vatican city","800","1.00","800.00","0.39","2071.99"
"193","south sudan","8260490","619745.00","13.32","239285.00","34.52"
