"title","director(s)","released","rating","view date","amazon"
"get him to the greek","nicholas stoller","2010","NULL","2010-11-05","buy it"
"ghost","jerry zucker","1990","NULL","2006-07-07","buy it"
"gifted hands: the ben carson story","thomas carter","2009","NULL","2009-02-08","buy it"
"the girl next door","luke greenfield","2004","NULL","2006-12-26","buy it"
"glengarry glen ross","james foley","1992","NULL","2007-02-28","buy it"
"glory","edward zwick","1989","NULL","2007-02-18","buy it"
"go","doug liman","1999","NULL","unknown","buy it"
"the godfather","francis ford coppola","1972","NULL","2010-07-24","buy it"
"the godfather: part ii","francis ford coppola","1974","NULL","2010-10-26","buy it"
"the goebbles experiment","lutz hachmeister","2005","NULL","2008-09-16","buy it"
"good bye lenin!","wolfgang becker","2003","NULL","2010-11-12","buy it"
"good night and good luck","george clooney","2005","NULL","2008-01-05","buy it"
"the good shepherd","robert de niro","2006","NULL","2007-05-19","buy it"
"the good the bad and the ugly","sergio leone","1966","NULL","2009-10-03","buy it"
"goodfellas","martin scorsese","1990","NULL","2006-11-13","buy it"
"the greatest game ever played","bill paxton","2005","NULL","2007-10-24","buy it"
"the hangover","todd phillips","2009","NULL","2010-02-28","buy it"
"happy feet","george miller warren coleman judy morris","2006","NULL","2007-05-18","buy it"
"happy texas","mark illsley","1999","NULL","2005-10-29","buy it"
"harry potter and the deathly hallows: part 2","david yates","2011","NULL","2011-07-24","n/a"
"harry potter and the goblet of fire","mike newell","2005","NULL","2005-11-19","buy it"
"harry potter and the half-blood prince","david yates","2009","NULL","2009-08-01","n/a"
"harry potter and the order of the phoenix","david yates","2007","NULL","2007-07-09","buy it"
"hearts in atlantis","scott hicks","2001","NULL","unknown","buy it"
"helvetica","gary hustwit","2007","NULL","2008-01-10","buy it"
"hero","yimou zhang","2002","NULL","2004-09-05","buy it"
"high fidelity","stephen frears","2000","NULL","2007-02-16","buy it"
"the hitchhiker&#039;s guide to the galaxy","garth jennings","2005","NULL","2005-04-29","buy it"
"hot fuzz","edgar wright","2007","NULL","2010-10-30","buy it"
"the hunt for red october","john mctiernan","1990","NULL","2008-11-01","buy it"
"the hurt locker","kathryn bigelow","2008","NULL","2010-03-15","buy it"
"i am legend","francis lawrence","2007","NULL","2008-03-22","buy it"
"i heart huckabees","david o. russell","2004","NULL","2005-08-13","buy it"
"i love you man","john hamburg","2009","NULL","2010-08-08","buy it"
"i robot","alex proyas","2004","NULL","2007-04-29","buy it"
"idiocracy","mike judge","2006","NULL","2007-10-31","buy it"
"in good company","paul weitz","2004","NULL","2008-03-22","buy it"
"an inconvenient truth","davis guggenheim","2006","NULL","2007-01-20","buy it"
"the incredibles","brad bird","2004","NULL","2004-11-13","buy it"
"indiana jones and the kingdom of the crystal skull","steven spielberg","2008","NULL","2008-05-31","buy it"
"the informant!","steven soderbergh","2009","NULL","2009-09-20","buy it"
"inglourious basterds","quentin tarantino","2009","NULL","2009-08-22","buy it"
"the insider","michael mann","1999","NULL","2010-12-29","buy it"
"into the wild","sean penn","2007","NULL","2010-09-11","buy it"
"the invention of lying","ricky gervais matthew robinson","2009","NULL","2009-10-23","n/a"
"iron man","jon favreau","2008","NULL","2008-11-27","buy it"
"jane goodall&#039;s wild chimpanzees","david lickley","2002","NULL","2004-01-21","buy it"
"juno","jason reitman","2007","NULL","2008-01-06","buy it"
"jurassic park","steven spielberg","1993","NULL","unknown","buy it"
"jurassic park iii","joe johnston","2001","NULL","2001-07-19","buy it"
"kick-ass","matthew vaughn","2010","NULL","2010-05-15","n/a"
"kill bill volume 1","quentin tarantino","2003","NULL","unknown","buy it"
"kill bill volume 2","quentin tarantino","2004","NULL","unknown","buy it"
"king kong","peter jackson","2005","NULL","2006-01-01","buy it"
"king of the hill","steven soderbergh","1993","NULL","2007-03-10","buy it"
"the king&#039;s speech","tom hooper","2010","NULL","2011-05-05","buy it"
"kiss kiss bang bang","shane black","2005","NULL","2008-07-13","buy it"
"knocked up","judd apatow","2007","NULL","2007-06-01","buy it"
"kung fu hustle","stephen chow","2004","NULL","2007-03-30","buy it"
"labyrinth","jim henson","1986","NULL","2005-08-29","buy it"
"lars and the real girl","craig gillespie","2007","NULL","2009-12-20","buy it"
"little miss sunshine","jonathan dayton valerie faris","2006","NULL","2007-01-13","buy it"
"the lives of others","florian henckel von donnersmarck","2006","NULL","2008-03-29","buy it"
"lock stock and two smoking barrels","guy ritchie","1998","NULL","2007-07-20","buy it"
"lord of war","andrew niccol","2005","NULL","2005-09-24","buy it"
"lost in translation","sofia coppola","2003","NULL","unknown","buy it"
"the lost world: jurassic park","steven spielberg","1997","NULL","unknown","buy it"
"love actually","richard curtis","2003","NULL","unknown","buy it"
"the machinist","brad anderson","2004","NULL","2009-01-19","buy it"
"mad hot ballroom","marilyn agrelo","2005","NULL","2006-11-11","buy it"
"malibu&#039;s most wanted","john whitesell","2003","NULL","2006-01-22","buy it"
"man on fire","tony scott","2004","NULL","2007-11-24","buy it"
"man on wire","james marsh","2008","NULL","2009-09-12","buy it"
"the manchurian candidate","jonathan demme","2004","NULL","2005-11-12","buy it"
"matchstick men","ridley scott","2003","NULL","2010-10-29","buy it"
"the matrix","andy wachowski larry wachowski","1999","NULL","unknown","buy it"
"the matrix reloaded","andy wachowski larry wachowski","2003","NULL","2003-08-21","buy it"
"the matrix revolutions","andy wachowski larry wachowski","2003","NULL","2003-11-05","buy it"
"mean girls","mark waters (viii)","2004","NULL","2005-03-19","buy it"
"meet the fockers","jay roach","2004","NULL","2006-01-01","buy it"
"memento","christopher nolan","2000","NULL","2007-12-01","buy it"
"metallica: some kind of monster","joe berlinger bruce sinofsky","2004","NULL","2006-07-11","buy it"
"michael clayton","tony gilroy","2007","NULL","2008-03-29","buy it"
"million dollar baby","clint eastwood","2004","NULL","2010-07-05","buy it"
"minority report","steven spielberg","2002","NULL","unknown","buy it"
"miracle","gavin o'connor","2004","NULL","unknown","buy it"
"mission: impossible iii","j.j. abrams","2006","NULL","2008-12-27","buy it"
"monster house","gil kenan","2006","NULL","2007-08-11","buy it"
"monster-in-law","robert luketic","2005","NULL","2007-12-15","buy it"
"monty python and the holy grail","terry gilliam terry jones","1975","NULL","2008-11-26","buy it"
"the motorcycle diaries","walter salles","2004","NULL","2006-09-15","buy it"
"mr. &amp; mrs. smith","doug liman","2005","NULL","2005-06-11","buy it"
"mr. death: the rise and fall of fred a. leuchter jr.","errol morris","1999","NULL","2011-04-16","buy it"
"mr. holland&#039;s opus","stephen herek","1995","NULL","unknown","buy it"
"muppet treasure island","brian henson","1996","NULL","2009-05-02","buy it"
"murderball","henry alex rubin dana adam shapiro","2005","NULL","2007-02-05","buy it"
"napoleon dynamite","jared hess","2004","NULL","2005-03-18","buy it"
"national lampoons: animal house","john landis","1978","NULL","unknown","buy it"
"nick and norah&#039;s infinite playlist","peter sollett","2008","NULL","2009-09-12","buy it"
"the nightmare before christmas","henry selick","1993","NULL","2007-11-03","buy it"
"9","shane acker","2009","NULL","2009-09-13","buy it"
"no country for old men","ethan coen joel coen","2007","NULL","2008-01-12","buy it"
"north by northwest","alfred hitchcock","1959","NULL","unknown","buy it"
"ocean&#039;s eleven","steven soderbergh","2001","NULL","2002-01-08","buy it"
"ocean&#039;s thirteen","steven soderbergh","2007","NULL","2008-02-22","buy it"
"ocean&#039;s twelve","steven soderbergh","2004","NULL","2008-01-26","buy it"
"office space","mike judge","1999","NULL","unknown","buy it"
"old school","todd phillips","2003","NULL","2006-03-11","buy it"
"oldboy","chan-wook park","2003","NULL","2008-07-05","buy it"
"once","john carney","2007","NULL","2011-02-19","buy it"
"one flew over the cuckoo&#039;s nest","milos forman","1975","NULL","2007-11-24","buy it"
"the other guys","adam mckay","2010","NULL","2011-09-09","buy it"
"pan&#039;s labyrinth","guillermo del toro","2006","NULL","2008-02-04","buy it"
"panic room","david fincher","2002","NULL","unknown","buy it"
"patton","franklin j. schaffner","1970","NULL","2006-08-18","buy it"
"pi","darren aronofsky","1998","NULL","2007-02-17","buy it"
"pineapple express","david gordon green","2008","NULL","2009-02-07","buy it"
"pirates of the caribbean: at world&#039;s end","gore verbinski","2007","NULL","2007-05-28","buy it"
"pirates of the caribbean: dead man&#039;s chest","gore verbinski","2006","NULL","2006-08-05","buy it"
"pirates of the caribbean: the curse of the black pearl","gore verbinski","2003","NULL","2003-08-30","buy it"
"the pixar story","leslie iwerks","2007","NULL","2011-06-28","n/a"
"predator","john mctiernan","1987","NULL","2011-03-19","buy it"
"the prestige","christopher nolan","2006","NULL","2007-08-07","buy it"
"pretty woman","garry marshall","1990","NULL","2008-04-20","buy it"
"pride &amp; prejudice","joe wright","2005","NULL","2005-12-11","buy it"
"primer","shane carruth","2004","NULL","2006-07-02","buy it"
"the producers","susan stroman","2005","NULL","2006-05-17","buy it"
"the producers","mel brooks","1968","NULL","2005-09-03","buy it"
"public enemies","michael mann","2009","NULL","2009-07-04","n/a"
"pulp fiction","quentin tarantino","1994","NULL","2005-07-11","buy it"
"punch-drunk love","paul thomas anderson","2002","NULL","unknown","buy it"
"the pursuit of happyness","gabriele muccino","2006","NULL","2008-05-24","buy it"
"quantum of solace","marc forster","2008","NULL","2008-12-14","buy it"
"the queen","stephen frears","2006","NULL","2007-01-21","buy it"
"queen of the damned","michael rymer","2002","NULL","unknown","buy it"
"the quiet man","john ford","1952","NULL","2009-09-26","buy it"
"rachel getting married","jonathan demme","2008","NULL","2009-03-20","buy it"
"raising arizona","joel coen","1987","NULL","2010-04-26","buy it"
"ralph nader: an unreasonable man","henriette mantel steve skrovan","2006","NULL","2008-01-20","buy it"
"ratatouille","brad bird jan pinkava","2007","NULL","2007-11-28","buy it"
"the reader","stephen daldry","2008","NULL","2011-04-21","buy it"
"rear window","alfred hitchcock","1954","NULL","2005-10-30","buy it"
"red dragon","brett ratner","2002","NULL","2007-10-14","buy it"
"reindeer games","john frankenheimer","2000","NULL","unknown","buy it"
"reservoir dogs","quentin tarantino","1992","NULL","2006-05-27","buy it"
"restrepo","tim hetherington sebastian junger","2010","NULL","2011-02-14","buy it"
"the road","john hillcoat","2009","NULL","2011-08-06","buy it"
"road house","rowdy herrington","1989","NULL","2006-12-29","buy it"
"road to perdition","sam mendes","2003","NULL","unknown","buy it"
"rumor has it","rob reiner","2005","NULL","2006-06-25","buy it"
"running with scissors","ryan murphy","2006","NULL","2008-01-17","buy it"
"sabrina","billy wilder","1954","NULL","2006-05-01","buy it"
"saved!","brian dannelly","2004","NULL","2005-07-08","buy it"
"saving private ryan","steven spielberg","1998","NULL","unknown","buy it"
"a scanner darkly","richard linklater","2006","NULL","2006-07-13","buy it"
"schindler&#039;s list","steven spielberg","1993","NULL","unknown","buy it"
"seabiscuit","gary ross","2003","NULL","unknown","buy it"
"the secret of nimh","don bluth","1982","NULL","2009-03-22","buy it"
"the sentinel","clark johnson","2006","NULL","2007-07-06","buy it"
"se7en","david fincher","1995","NULL","unknown","buy it"
"shaun of the dead","edgar wright","2004","NULL","2006-07-03","buy it"
"sherlock holmes","guy ritchie","2009","NULL","2009-12-27","n/a"
"the shining","stanley kubrick","1980","NULL","2006-07-28","buy it"
"sideways","alexander payne","2004","NULL","2005-07-20","buy it"
"the silence of the lambs","jonathan demme","1991","NULL","2006-06-24","buy it"
"simone","andrew niccol","2002","NULL","unknown","buy it"
"sin city","robert rodriguez frank miller","2000","NULL","2005-04-01","buy it"
"a single man","tom ford","2009","NULL","2010-08-01","buy it"
"the sixth sense","m. night shyamalan","1999","NULL","unknown","buy it"
"sleepless in seattle","nora ephron","1993","NULL","2007-09-02","buy it"
"slumdog millionaire","danny boyle loveleen tandan","2008","NULL","2009-04-25","buy it"
"the social network","david fincher","2010","NULL","2011-05-14","buy it"
"south park: bigger longer and uncut","trey parker","1999","NULL","unknown","buy it"
"space cowboys","clint eastwood","2000","NULL","2008-01-05","buy it"
"spanglish","james l. brooks","2004","NULL","2005-06-24","buy it"
"sphere","barry levinson","1998","NULL","2006-01-07","buy it"
"spider-man","sam raimi","2002","NULL","unknown","buy it"
"spider-man 2","sam raimi","2004","NULL","2004-08-01","buy it"
"spider-man 3","sam raimi","2007","NULL","2007-05-06","buy it"
"star wars: episode iii - revenge of the sith","george lucas","2005","NULL","2005-05-27","buy it"
"state of play","kevin macdonald","2009","NULL","2009-05-10","n/a"
"the stepford wives","frank oz","2004","NULL","2004-06-11","buy it"
"the story of us","rob reiner","1999","NULL","unknown","buy it"
"stranger than fiction","marc forster","2006","NULL","2007-08-28","buy it"
"super troopers","jay chandrasekhar","2001","NULL","2005-12-26","buy it"
"superbad","greg mottola","2007","NULL","2007-08-25","buy it"
"superman returns","bryan singer","2006","NULL","2006-07-03","buy it"
"sweeney todd: the demon barber of fleet street","tim burton","2007","NULL","2007-12-18","buy it"
"sweet home alabama","andy tennant","2002","NULL","unknown","buy it"
"syriana","stephen gaghan","2005","NULL","2006-07-31","buy it"
"taken","pierre morel","2008","NULL","2009-06-13","buy it"
"talladega nights: the ballad of ricky bobby","adam mckay","2006","NULL","2006-08-26","buy it"
"taxi driver","martin scorsese","1976","NULL","2010-04-30","buy it"
"team america: world police","trey parker","2004","NULL","2008-04-02","buy it"
"terminator salvation","mcg","2009","NULL","2009-05-23","n/a"
"thank you for smoking","jason reitman","2005","NULL","2006-11-24","buy it"
"the cooler","wayne kramer","2003","NULL","2009-03-01","buy it"
"there will be blood","paul thomas anderson","2007","NULL","2008-05-03","buy it"
"this is spinal tap","rob reiner","1984","NULL","2007-11-21","buy it"
"three kings","david o. russell","1999","NULL","unknown","buy it"
"the town","ben affleck","2010","NULL","2011-08-27","buy it"
"trading places","john landis","1983","NULL","2008-03-05","buy it"
"training day","antoine fuqua","2001","NULL","2010-12-27","buy it"
"trinity and beyond","peter kuran","1995","NULL","2006-09-12","buy it"
"tron: legacy","joseph kosinski","2010","NULL","2011-01-07","buy it"
"tropic thunder","ben stiller","2008","NULL","2010-02-06","buy it"
"12 monkeys","terry gilliam","1995","NULL","2008-04-19","buy it"
"twilight","catherine hardwicke","2008","NULL","2009-04-18","buy it"
"up","pete docter bob peterson","2009","NULL","2010-05-29","buy it"
"up in the air","jason reitman","2009","NULL","2010-12-27","buy it"
"v for vendetta","james mcteigue","2005","NULL","2007-02-09","buy it"
"valkyrie","bryan singer","2008","NULL","2011-04-09","buy it"
"vanilla sky","cameron crowe","2001","NULL","unknown","buy it"
"vertigo","alfred hitchcock","1958","NULL","2006-12-29","buy it"
"wag the dog","barry levinson","1997","NULL","2005-10-06","buy it"
"waking sleeping beauty","don hahn","2009","NULL","2010-12-18","buy it"
"walk hard: the dewey cox story","jake kasdan","2007","NULL","2010-03-27","buy it"
"walk the line","james mangold","2005","NULL","2006-09-04","buy it"
"wall-e","andrew stanton","2008","NULL","2009-01-10","buy it"
"wallace &amp; gromit in the curse of the were-rabbit","steve box nick park","2005","NULL","2006-04-02","buy it"
"the war of the worlds","byron haskin","1953","NULL","2007-10-20","buy it"
"war of the worlds","steven spielberg","2005","NULL","2005-07-04","buy it"
"watchmen","zack snyder","2009","NULL","2009-03-07","buy it"
"wedding crashers","david dobkin","2005","NULL","2006-07-01","buy it"
"what&#039;s eating gilbert grape","lasse hallström","1993","NULL","2006-07-25","buy it"
"the world&#039;s fastest indian","roger donaldson","2005","NULL","2006-08-12","buy it"
"the wrestler","darren aronofsky","2008","NULL","2010-03-23","buy it"
