"platform","developer","game title","units sold        (in millions)"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"xbox 360","bethesda","elder scrolls iii: morrorwind","1.36"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","capcom","resident evil (w/ director's cut)","2.10"
"psx","capcom","resident evil 2 (w/ dual shock ver.)","2.02"
"psx","capcom","resident evil 3: nemesis","1.20"
"ps2","capcom","devil may cry","1.29"
"ps2","capcom","resident evil code: veronica x","1.04"
"gc","capcom","resident evil 4","1.00"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","eidos","tomb raider","2.14"
"psx","eidos","tomb raider 2","2.04"
"psx","eidos","tomb raider 3","1.30"
"psx","eidos","tomb raider 4","1.04"
"ps2","eidos","hitman 2: assassin","1.05"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"n64","electronic arts","james bond 007: the world is not enough","1.08"
"psx","electronic arts","need for speed iii","1.70"
"psx","electronic arts","007: tomorrow never die","1.42"
"psx","electronic arts","madden nfl 99","1.50"
"psx","electronic arts","madden nfl 2000","1.48"
"psx","electronic arts","medal of honor","1.44"
"psx","electronic arts","need for speed: high stakes","1.39"
"psx","electronic arts","nascar 98","1.16"
"psx","electronic arts","nba live 98","1.15"
"psx","electronic arts","nascar 99","1.14"
"psx","electronic arts","harry potter &amp; the sorcerer's stone","1.10"
"psx","electronic arts","madden nfl 98","1.25"
"psx","electronic arts","nba live 2000","1.00"
"ps2","electronic arts","madden nfl 08","1.31"
"ps2","electronic arts","madden nfl 06","3.71"
"ps2","electronic arts","madden nfl 2005","4.35"
"ps2","electronic arts","madden nfl 2004","3.95"
"ps2","electronic arts","madden nfl 2006","3.77"
"ps2","electronic arts","madden nfl 2003","3.18"
"ps2","electronic arts","need for speed: underground","3.00"
"ps2","electronic arts","medal of honor frontline","2.80"
"ps2","electronic arts","madden nfl 07","2.37"
"ps2","electronic arts","madden nfl 2002","2.30"
"ps2","electronic arts","nba street","1.66"
"ps2","electronic arts","lord of the rings: the two towers","1.84"
"ps2","electronic arts","need for speed: underground 2","1.19"
"ps2","electronic arts","nba live 2005","1.95"
"ps2","electronic arts","medal of honor: rising sun","1.81"
"ps2","electronic arts","simpsons road rage","1.94"
"ps2","ea","the simpsons hit &amp; run","1.57"
"ps2","electronic arts","james bond: agent under fire","1.77"
"ps2","electronic arts","need for speed: most wanted","1.82"
"ps2","electronic arts","nba live 06","1.23"
"ps2","electronic arts","madden nfl 2001","1.21"
"ps2","electronic arts","nba live 2004","1.46"
"ps2","electronic arts","nba street vol. 2","1.60"
"ps2","electronic arts","need for speed: hot pursuit 2","1.61"
"ps2","electronic arts","james bond 007: nightfire","1.40"
"ps2","electronic arts","ncaa football 07","1.32"
"ps2","electronic arts","ncaa football 06","1.39"
"ps2","electronic arts","ncaa football 2004","1.28"
"ps2","electronic arts","lord of the rings: return of the king","1.04"
"ps2","electronic arts","the sims","1.04"
"ps2","electronic arts","ncaa football 2003","1.00"
"ps2","electronic arts","nba live 2003","1.18"
"ps2","electronic arts","mvp baseball 2005","1.14"
"ps2","electronic arts","mvp baseball 2004","1.02"
"ps2","electronic arts","tiger woods pga 2004","1.13"
"ps2","electronic arts","fight night 2004","1.00"
"xbox","electronic arts","madden nfl 2006","1.41"
"xbox","electronic arts","madden nfl 2005","1.42"
"xbox","electronic arts","need for speed: underground 2","1.24"
"xbox","electronic arts","need for speed: underground","1.02"
"xbox 360","electronic arts","madden nfl 07","1.72"
"xbox 360","electronic arts","madden nfl 08","1.51"
"xbox 360","electronic arts","fight night round 3","1.15"
"gba","electronic arts","harry potter &amp; the chamber of secretse","1.10"
"psp","electronic arts","need for speed: most wanted","1.02"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","fox interactive","croc: legend of gobbos","1.39"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","jaleco","tetris plus","1.77"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","konami","metal gear solid","2.81"
"psx","konami","yu-gi-oh! forbidden memories","1.10"
"ps2","konami","yu-gi-oh! duellists","1.11"
"ps2","konami","metal gear solid 2: sons of liberty","2.31"
"ps2","konami","metal gear solid 3: snake eater","1.42"
"ps2","konami","dance dance revolution max 2","1.09"
"gba","konami","frogger's adventure","1.31"
"gba","konami","yu-gi-oh! eternal duelist soul","1.29"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"n64","lucasarts","star wars episode 1: racer","1.71"
"n64","lucasarts","star wars: rogue squadron","1.59"
"ps2","lucasarts","star wars: battlefront ii","2.01"
"ps2","lucasarts","star wars: battlefront","1.77"
"ps2","lucasarts","lego star wars","1.88"
"ps2","lucasarts","lego star wars ii: the original trilogy","1.08"
"ps2","lucasarts","star wars episode iii: revenge of the sith","1.41"
"xbox","lucasarts","star wars: knights of the old republic","1.48"
"xbox","lucasarts","star wars: battlefront","1.12"
"gc","lucasarts","star wars: battlefront ii","1.03"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"xbox 360","microsoft","halo 3","4.54"
"xbox 360","microsoft","forza motorsport 2","2.23"
"xbox","microsoft","halo 2","6.67"
"xbox","microsoft","halo: combat evolved","4.91"
"xbox","microsoft","fable","1.97"
"xbox","microsoft","project gotham racing","1.40"
"xbox","microsoft","gears of war","1.12"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","midway","mortal kombat trilogy","2.01"
"ps2","midway","mortal kombat: deadly alliance","1.70"
"ps2","midway","nfl blitz","1.27"
"ps2","midway","spy hunter","1.07"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","namco","tekken 3","3.24"
"psx","namco","namco museum vol. 3","2.24"
"psx","namco","tekken 2","2.00"
"psx","namco","namco museum vol. 1","1.65"
"psx","namco","pac-man world","1.24"
"gba","namco","namco museum","2.96"
"gba","namco","pac-man collection","1.06"
"n64","namco","namco museum 64","1.04"
"ps2","namco","tekken tag tournament","1.61"
"ps2","namco","namco museum","1.80/td>"
"ps2","namco","tekken 4","1.46"
"ps2","namco","ace combat 4: shattered skies","1.97"
"ps2","namco","pac-man world 2","1.21"
"gc","namco","soul calibur 2","1.00"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"snes","nintendo","donkey kong country","3.79"
"snes","nintendo","donkey kong country 2","2.16"
"snes","nintendo","killer instinct","1.33"
"snes","nintendo","donkey kong country 3","1.12"
"n64","nintendo","super mario 64","6.87"
"n64","nintendo","goldeneye 007","5.74"
"n64","nintendo","mario kart 64","5.50"
"n64","nintendo","legend of zelda: ocarina of time","4.06"
"n64","nintendo","donkey kong 64","2.67"
"n64","nintendo","pokemon stadium","3.16"
"n64","nintendo","pokemon stadium 2","1.01"
"n64","nintendo","super smash brothers","2.93"
"n64","nintendo","diddy kong racing","2.89"
"n64","nintendo","star fox 64","2.76"
"n64","nintendo","pokemon snap","2.22"
"n64","nintendo","star wars: shadow of the empire","1.98"
"n64","nintendo","wave race 64","1.95"
"n64","nintendo","banjo-kazooie","1.85"
"n64","nintendo","legend of zelda: majora's mask","1.63"
"n64","nintendo","cruisin usa","1.68"
"n64","nintendo","perfect dark","1.51"
"n64","nintendo","yoshi's story","1.10"
"n64","nintendo","mario party 2","1.26"
"n64","nintendo","1080 snowboarding","1.23"
"n64","nintendo","mario party","1.23"
"gbc","nintendo","pokemon yellow","5.10"
"gbc","nintendo","pokemon blue","5.02"
"gbc","nintendo","pokemon red","4.83"
"gbc","nintendo","pokemon silver","3.85"
"gbc","nintendo","pokemon gold","3.75"
"gbc","nintendo","super mario bros. dx","2.80"
"gbc","nintendo","pokemon crystal","1.65"
"gbc","nintendo","pokemon trading card game","1.51"
"gba","nintendo","super mario world: super mario advance 2","3.16"
"gba","nintendo","super mario advance","2.85"
"gba","nintendo","pokemon ruby","2.84"
"gba","nintendo","pokemon sapphire","2.76"
"gba","nintendo","super mario advance 4: super mario world","2.88"
"gba","nintendo","pokemon fire red","2.12"
"gba","nintendo","pokemon leaf green","2.12"
"gba","nintendo","mario kart: super circuit","2.53"
"gba","nintendo","pokemon emerald","2.44"
"gba","nintendo","legend of zelda: a link to the past + four swords","1.63"
"gba","nintendo","super mario advance 3: yoshi's island","1.58"
"gba","nintendo","mario &amp; luigi superstar saga","1.46"
"gba","nintendo","metroid fusion","1.13"
"gba","nintendo","kirby: nightmare in dreamland","1.12"
"gba","nintendo","donkey kong country","1.10"
"gc","nintendo","super smash bros. melee","4.06"
"gc","nintendo","super mario sunshine","3.73"
"gc","nintendo","mario kart: double dash!!","3.85"
"gc","nintendo","legend of zelda: wind waker","2.47"
"gc","nintendo","luigi's mansion","2.19"
"gc","nintendo","animal crossing","1.68"
"gc","nintendo","metroid prime","1.49"
"gc","nintendo","pokemon colosseum","1.15"
"gc","nintendo","mario party 4","1.10"
"gc","nintendo","paper mario: the thousand year door","1.23"
"gc","nintendo","mario golf: toadstool tour","1.03"
"nds","nintendo","nintendogs (all versions)","6.23"
"nds","nintendo","super mario 64 ds","2.39"
"nds","nintendo","new super mario bros.","3.63"
"nds","nintendo","super mario kart ds","3.00"
"nds","nintendo","animal crossing: wild world","1.68"
"nds","nintendo","brain training","2.23"
"nds","nintendo","brain training 2","1.03"
"nds","nintendo","big brain academy","1.27"
"nds","nintendo","pokemon diamond / pearl","4.33"
"nds","nintendo","the legend of zelda: phantom hourglass","1.01"
"nds","nintendo","yoshi's island ds","1.00"
"wii","nintendo","wii sports","8.18"
"wii","nintendo","wii play","3.79"
"wii","nintendo","the legend of zelda: twilight princess","2.22"
"wii","nintendo","super mario galaxy","2.01"
"wii","nintendo","mario party 8","1.80"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"ps2","sega","espn nfl 2k5","2.00"
"ps2","sega","sonic mega collection","1.44"
"ps2","sega","sonic heroes","1.08"
"ps2","sega","crazy taxi","1.07"
"xbox","sega","espn nfl 2k5","1.38"
"gc","sega","sonic adventure 2 battle","1.44"
"dc","sega","sonic adventure","1.27"
"gc","sega","sonic mega collection","1.38"
"dc","sega","nfl 2k1","1.01"
"dc","sega","nfl 2k","1.13"
"dc","sega","crazy taxi","1.11"
"gen","sega","sonic &amp; knuckles","1.24"
"gen","sega","sonic the hedgehog 3","1.02"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","sony","gran turismo","4.00"
"psx","sony","gran turismo 2","3.96"
"psx","sony","crash bandicoot 2","3.87"
"psx","sony","crash bandicoot 3: warpped","3.76"
"psx","sony","crash bandicoot","3.29"
"psx","sony","spyro the dragon","3.31"
"psx","sony**","final fantasy vii","3.09"
"psx","sony","crash team racing","1.90"
"psx","sony","twisted metal 2","1.74"
"psx","sony","spyro the dragon 2","1.74"
"psx","sony","syphon filter","1.75"
"psx","sony","a bug's life","1.50"
"psx","sony","spyro: year of the dragon","2.04"
"psx","sony","nfl gameday 98","1.47"
"psx","sony","cool boarders 3","1.43"
"psx","sony","cool boarders 2","1.21"
"psx","sony","syphon filter 2","1.32"
"psx","sony","jet moto 2","1.31"
"psx","sony","twisted metal 3","1.29"
"psx","sony","twisted metal 4","1.08"
"psx","sony","nfl gameday 99","1.12"
"psx","sony","jet moto","1.27"
"psx","sony","crash bash","1.60"
"psx","sony","twisted metal","1.08"
"psx","sony","2xtreme","1.09"
"ps2","sony","gran turismo 3: a-spec","7.13"
"ps2","sony","socom: u.s. navy seals","2.65"
"ps2","sony","gran turismo 4","2.26"
"ps2","sony","socom ii: u.s. navy seals","2.14"
"ps2","sony","atv offroad fury","1.99"
"ps2","sony","jak &amp; daxter: the precursor legacy","2.01"
"ps2","sony","atv offroad fury 2","1.77"
"ps2","sony","god of war","2.33"
"ps2","sony","god of war ii","1.17"
"ps2","sony","jak ii","1.57"
"ps2","sony","ratchet &amp; clank","1.36"
"ps2","sony","ratchet &amp; clank 2","1.35"
"ps2","sony","jak iii","1.23"
"ps2","sony","ratchet &amp; clank 3","1.15"
"ps2","sony","the getaway","1.13"
"ps2","sony","twisted metal black","1.12"
"ps3","sony","motorstorm","1.16"
"ps3","sony","resistance: fall of man","1.00"
"psp","sony","daxter","1.14"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","square enix","final fantasy vii","3.09"
"psx","square enix","final fantasy viii","2.34"
"psx","square enix","final fantasy ix","1.66"
"ps2","square enix","final fantasy x","2.77"
"ps2","square enix","kingdom hearts","3.45"
"ps2","square enix","final fantasy x-2","1.85"
"ps2","square enix","kingdom hearts ii","2.03"
"ps2","square enix","final fantasy xii","1.70"
"gba","square enix","kingdom hearts: chain of memories","1.20"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","take 2","spec ops","1.27"
"psx","take 2","grand theft auto 2","1.15"
"ps2","take 2","grand theft auto: san andreas","7.89"
"ps2","take 2","grand theft auto: vice city","8.20"
"ps2","take 2","grand theft auto 3","6.55"
"ps2","take 2","max payne","1.90"
"ps2","take 2","midnight club: street racing","1.87"
"ps2","take 2","midnight club 2","1.18"
"ps2","take 2","midnight club 3: dub edition","1.00"
"ps2","take 2","grand theft auto: liberty city stories","1.32"
"xbox","take 2","grand theft auto double pack","1.59"
"xbox","take 2","grand theft auto: san andreas","1.26"
"psp","take 2","grand theft auto: liberty city stories","1.83"
"ps2","take 2","espn nba 2k5","1.19"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"xbox","tecmo","dead or alive 3","1.06"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"n64","thq","wcw/nwo revenge","1.88"
"n64","thq","wcw vs nwo: world tour","1.30"
"n64","thq","wwe no mercy","1.19"
"n64","thq","wwe wrestlemania 2000","1.14"
"psx","thq","wwe smackdown! 2","1.57"
"psx","thq","rugrats: search reptar","1.46"
"psx","thq","wwe smackdown!","1.62"
"psx","thq","wcw nitro","1.30"
"psx","thq","spongebob supersponge","1.06"
"ps2","thq","wwe smackdown! shut your mouth","1.38"
"ps2","thq","wwe: here comes the pain","1.24"
"ps2","thq","wwe smackdown vs raw 2006","1.42"
"ps2","thq","wwe smackdown vs raw 2007","1.23"
"ps2","thq","wwe smackdown vs raw","1.31"
"ps2","thq","wwe smackdown: bring it on","1.11"
"ps2","thq","finding nemo","1.12"
"ps2","thq","scooby doo: 100 frights","1.07"
"gba","thq","finding nemo","1.55"
"gba","thq","sonic advance","1.21"
"gba","thq","the incredibles","1.18"
"gba","thq","disney princess","1.07"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","ubisoft","rayman","1.58"
"ps2","ubisoft","tom clancy's ghost recon","1.32"
"xbox","ubisoft","tom clancy's ghost recon","1.12"
"xbox","ubisoft","tom clancy's splinter cell","1.80"
"xbox 360","ubisoft","tom clancy's rainbox six: vegas","1.27"
"xbox 360","ubisoft","assassins creed","1.35"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"snes","viacom","the lion king","1.27"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"ps2","vivendi universal","crash bandicoot: wrath of cortex","1.95"
"ps2","vivendi universal","scarface: the world is yours","1.02"
"gba","vivendi universal","spyro: season of ice","1.19"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
