"fell name","height (m)  ","height (ft)  ","appears in"
"high crag    (buttermere)","744","2441","the western fells"
"the knott    (high street)","739","2425","the far eastern fells"
"robinson","737","2418","the north western    fells"
"harrison    stickle","736","2415","the central fells"
"sergeant man","736","2415","the central fells"
"seat sandal","736","2415","the eastern fells"
"long side","734","2408","the northern fells"
"kentmere pike","730","2395","the far eastern fells"
"hindscarth","727","2385","the north western    fells"
"ullscarf","726","2382","the central fells"
"clough head","726","2382","the eastern fells"
"thunacar    knott","723","2372","the central fells"
"froswick","720","2362","the far eastern fells"
"birkhouse    moor","718","2356","the eastern fells"
"lonscale fell","715","2346","the northern fells"
"brandreth","715","2346","the western fells"
"branstree","713","2339","the far eastern fells"
"knott","710","2329","the northern fells"
"pike of    stickle","709","2326","the central fells"
"whiteside    [whiteside west top]","707","2320","the north western    fells"
"yoke","706","2316","the far eastern fells"
"pike of    blisco","705","2313","the southern fells"
"bowscale fell","702","2303","the northern fells"
"cold pike","701","2300","the southern fells"
"pavey ark","700","2297","the central fells"
"gray crag","699","2293","the far eastern fells"
"grey knotts","697","2287","the western fells"
"caw fell","697","2287","the western fells"
"rest dodd","696","2283","the far eastern fells"
"seatallan","692","2270","the western fells"
"ullock pike","690","2264","the northern fells"
"great calva","690","2264","the northern fells"
"bannerdale    crags","683","2241","the northern fells"
"loft crag","680","2231","the central fells"
"sheffield    pike","675","2215","the eastern fells"
"bakestall","673","2208","the northern fells"
"scar crags","672","2205","the north western    fells"
"loadpot hill","671","2201","the far eastern fells"
"wether hill","670","2198","the far eastern fells"
"tarn crag    (sleddale)","664","2178","the far eastern fells"
"carrock fell","663","2175","the northern fells"
"whiteless    pike","660","2165","the north western    fells"
"high pike    (caldbeck)","658","2159","the northern fells"
"place fell","657","2156","the far eastern fells"
"high pike    (scandale)","656","2152","the eastern fells"
"selside pike","655","2149","the far eastern fells"
"middle dodd","654","2146","the eastern fells"
"harter fell    (eskdale)","654","2146","the southern fells"
"high spy","653","2142","the north western    fells"
"great sca    fell","651","2136","the northern fells"
"rossett pike","651","2136","the southern fells"
"fleetwith    pike","648","2126","the western fells"
"base brown","646","2119","the western fells"
"grey crag    [sleddale fell]","638","2093","the far eastern fells"
"little hart    crag west top","637","2090","the eastern fells"
"causey pike","637","2090","the north western    fells"
"mungrisdale    common","633","2077","the northern fells"
"starling dodd","633","2077","the western fells"
"yewbarrow","627","2057","the western fells"
"birks","622","2041","the eastern fells"
"hartsop dodd","618","2028","the far eastern fells"
"great borne","616","2021","the western fells"
"heron pike    (rydal)","612","2008","the eastern fells"
"illgill head","609","1998","the southern fells"
"high seat","608","1995","the central fells"
"seathwaite    fell","601","1972","the southern fells"
"haystacks    (buttermere)","597","1959","the western fells"
"bleaberry    fell","590","1936","the central fells"
"shipman    knotts","587","1926","the far eastern fells"
"brae fell","586","1923","the northern fells"
"middle fell","582","1909","the western fells"
"hartsop above    how","581","1906","the eastern fells"
"ard crags","581","1906","the north western    fells"
"the nab","576","1890","the far eastern fells"
"maiden moor","575","1886","the north western    fells"
"blake fell","573","1880","the western fells"
"sergeant's    crag","571","1873","the central fells"
"outerside","568","1864","the north western    fells"
"angletarn    pikes","567","1860","the far eastern fells"
"brock crags","561","1841","the far eastern fells"
"knott rigg","556","1824","the north western    fells"
"steel fell","553","1814","the central fells"
"lord's seat","552","1811","the north western    fells"
"rosthwaite    fell","551","1808","the southern fells"
"tarn crag    (easedale)","550","1804","the central fells"
"meal fell","550","1804","the northern fells"
"hard knott","549","1801","the southern fells"
"blea rigg","541","1775","the central fells"
"lank rigg","541","1775","the western fells"
"calf crag","537","1762","the central fells"
"great mell    fell","537","1762","the eastern fells"
"whin rigg    (wasdale)","535","1755","the southern fells"
"arthur's pike","533","1749","the far eastern fells"
"great cockup","526","1726","the northern fells"
"gavel fell","526","1726","the western fells"
"eagle crag","525","1722","the central fells"
"bonscale pike","524","1719","the far eastern fells"
"crag fell","523","1716","the western fells"
"souther fell","522","1713","the northern fells"
"high hartsop    dodd","519","1703","the eastern fells"
"whinlatter","517","1696","the north western    fells"
"sallows","516","1693","the far eastern fells"
"high tove","515","1690","the central fells"
"mellbreak","512","1680","the western fells"
"broom fell","511","1677","the north western    fells"
"beda fell    [beda head]","509","1670","the far eastern fells"
"hen comb","509","1670","the western fells"
"low pike","508","1667","the eastern fells"
"little mell    fell","505","1657","the eastern fells"
"skiddaw -    dodd","502","1647","the northern fells"
"stone arthur","500","1640","the eastern fells"
"green crag","489","1604","the southern fells"
"baystones    [wansfell]","488","1601","the far eastern fells"
"grike","486","1594","the western fells"
"sour howes","483","1585","the far eastern fells"
"longlands    fell","483","1585","the northern fells"
"gowbarrow    fell","481","1578","the eastern fells"
"armboth fell","479","1572","the central fells"
"burnbank fell","475","1558","the western fells"
"lingmoor fell","469","1539","the southern fells"
"barf","468","1535","the north western    fells"
"raven crag","461","1512","the central fells"
"barrow","455","1493","the north western    fells"
"graystones","452","1483","the north western    fells"
"catbells","451","1480","the north western    fells"
"great crag    (stonethwaite)","450","1476","the central fells"
"nab scar","450","1476","the eastern fells"
"binsey","447","1467","the northern fells"
"glenridding    dodd","442","1450","the eastern fells"
"arnison crag","433","1421","the eastern fells"
"steel knotts","432","1417","the far eastern fells"
"low fell","423","1388","the western fells"
"gibson knott","420","1378","the central fells"
"felbarrow -    mosser fell","416","1365","the western fells"
"grange fell    [brund fell]","415","1362","the central fells"
"buckbarrow","405","1329","the western fells"
"helm crag","396","1299","the central fells"
"silver how","395","1296","the central fells"
"hallin fell","388","1273","the far eastern fells"
"walla crag","376","1234","the central fells"
"ling fell","373","1224","the north western    fells"
"latrigg","367","1204","the northern fells"
"troutbeck    tongue","364","1194","the far eastern fells"
"sale fell","359","1178","the north western    fells"
"high rigg    [naddle fell]","357","1171","the central fells"
"rannerdale    knotts","355","1165","the north western    fells"
"loughrigg    fell","335","1099","the central fells"
"black fell","323","1060","the southern fells"
"holme fell","317","1040","the southern fells"
"castle crag","298","978","the north western    fells"
