"university name","university             location&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","university             type"
"johns hopkins university","baltimore (md)","private"
"johnson c. smith university","charlotte (nc)","private"
"kansas state university","manhattan (ks)","public"
"kent state university","kent (oh)","public"
"kentucky state university","frankfort (ky)","public"
"lamar university","beaumont (tx)","public"
"lawrence technological university","southfield (mi)","private"
"lehigh university","bethlehem (pa)","private"
"lehman college","bronx (ny)","public"
"louisiana state university","baton rouge (la)","public"
"loyola college in maryland","baltimore (md)","private"
"loyola university chicago","chicago (il)","private"
"malone college","canton (oh)","private"
"marietta college","marietta (oh)","private"
"marquette university","milwaukee (wi)","private"
"marshall university","huntington (wv)","public"
"messiah college","grantham (pa)","private"
"miami university","oxford (oh)","public"
"michigan state university","east lansing (mi)","public"
"middle tennessee state university","murfreesboro (tn)","public"
"mississippi state university","mississippi state (ms)","public"
"monmouth college","monmouth (il)","private"
"mount mary college","milwaukee (wi)","private"
"murray state university","murray (ky)","public"
"new mexico state university","las cruces (nm)","public"
"new school university","new york (ny)","private"
"new york university","new york (ny)","private"
"north carolina state university","raleigh (nc)","public"
"north georgia college &amp; state university","dahlonega (ga)","public"
"northeastern university","boston (ma)","private"
"northern arizona university","flagstaff (az)","public"
"northern kentucky university","highland heights (ky)","public"
"northwest nazarene university idaho","nampa (id)","private"
"northwestern university","evanston (il)","private"
"nova southeastern university","fort lauderdale (fl)","private"
"oakland university","rochester (mi)","public"
"oakwood college","huntsville (al)","private"
"oberlin college","oberlin (oh)","private"
"ohio state university the","columbus (oh)","public"
"ohio university","athens (oh)","public"
"oklahoma state university - stillwater","stillwater (ok)","public"
"oregon state university","corvallis (or)","public"
"pennsylvania state university","university park (pa)","public"
"pepperdine university","malibu (ca)","private"
"point loma nazarene university","san diego (ca)","private"
"princeton university","princeton (nj)","private"
"purdue university","west lafayette (in)","public"
"regent university","virginia beach (va)","private"
"rice university","houston (tx)","private"
"rowan university","glassboro (nj)","public"
"rutgers university","new brunswick (nj)","public"
"rutgers university - newark","newark (nj)","public"
"sage graduate school","troy (ny)","private"
"saint louis university","saint louis (mo)","private"
"salem state college","salem (ma)","public"
"salve regina university","newport (ri)","private"
"san diego state university","san diego (ca)","public"
"san fransisco state university","san francisco (ca)","public"
"seton hall university","south orange (nj)","private"
"shenandoah university","winchester (va)","private"
"slippery rock university","slippery rock (pa)","public"
"sonoma state university","rohnert park (ca)","public"
"southern illinois university - carbondale","carbondale (il)","public"
"southwestern oklahoma state university","weatherford (ok)","public"
"spalding university","louisville (ky)","private"
"stanford university","palo alto (ca)","private"
"state university of west georgia","carrollton (ga)","public"
"suny - plattsburgh","plattsburgh (ny)","public"
"syracuse university","syracuse (ny)","private"
"temple university","philadelphia (pa)","public"
"texas a&amp;m international university","laredo (tx)","public"
"texas a&amp;m university","college station (tx)","public"
"texas a&amp;m university-commerce","commerce (tx)","public"
"texas a&amp;m university-corpus christi","corpus christi (tx)","public"
"texas a&amp;m university-kingsville","kingsville (tx)","public"
"texas a&amp;m university-texarkana","texarkana (tx)","public"
"texas christian university","fort worth (tx)","private"
"texas tech university - lubbock","lubbock (tx)","public"
"texas wesleyan university","fort worth (tx)","private"
"trevecca nazarene university","nashville (tn)","private"
"tufts university","medford (ma)","private"
"tulane university","new orleans (la)","private"
"university at albany","albany (ny)","public"
"university at buffalo","buffalo (ny)","public"
"university of akron the","akron (oh)","public"
"university of alabama - birmingham","birmingham (al)","public"
"university of alabama - huntsville","huntsville (al)","public"
"university of alabama - tuscaloosa","tuscaloosa (al)","public"
"university of alaska fairbanks","fairbanks (ak)","public"
"university of arizona","tucson (az)","public"
"university of arkansas - little rock","little rock (ar)","public"
"university of california - berkeley","berkeley (ca)","public"
"university of california - davis","davis (ca)","public"
"university of california - irvine","irvine (ca)","public"
"university of california - los angeles","los angeles (ca)","public"
"university of california - riverside","riverside (ca)","public"
"university of california - san diego","la jolla (ca)","public"
"university of california - santa barbara","santa barbara (ca)","public"
"university of california - santa cruz","santa cruz (ca)","public"
"university of central florida","orlando (fl)","public"
"university of chicago","chicago (il)","private"
"university of colorado - boulder","boulder (co)","public"
"university of colorado - denver","denver (co)","public"
"university of connecticut","storrs (ct)","public"
"university of dayton","dayton (oh)","private"
"university of delaware","newark (de)","public"
"university of denver","denver (co)","private"
"university of evansville","evansville (in)","private"
"university of florida","gainesville (fl)","public"
"university of georgia","athens (ga)","public"
"university of hawaii - manoa","honolulu (hi)","public"
"university of houston","houston (tx)","public"
"university of idaho","moscow (id)","public"
"university of illinois - chicago","chicago (il)","public"
"university of illinois - urbana-champaign","urbana (il)","public"
"university of iowa","iowa city (ia)","public"
"university of kansas","lawrence (ks)","public"
"university of kentucky","lexington (ky)","public"
"university of la verne","la verne (ca)","private"
"university of louisiana - lafayette","lafayette (la)","public"
"university of louisville","louisville (ky)","public"
"university of maryland","college park (md)","public"
"university of maryland - baltimore county","baltimore (md)","public"
"university of massachusetts - amherst","amherst (ma)","public"
"university of massachusetts - lowell","lowell (ma)","public"
"university of miami","coral gables (fl)","private"
"university of michigan - ann arbor","ann arbor (mi)","public"
"university of minnesota - twincities","minneapolis (mn)","public"
"university of mississippi","university (ms)","public"
"university of missouri - columbia","columbia (mo)","public"
"university of missouri - kansas city","kansas city (mo)","public"
"university of missouri - st. louis","saint louis (mo)","public"
"university of montana","missoula (mt)","public"
"university of nebraska - lincoln","lincoln (ne)","public"
"university of nebraska - omaha","omaha (ne)","public"
"university of nevada reno","reno (nv)","public"
"university of new hampshire","durham (nh)","public"
"university of new mexico","albuquerque (nm)","public"
"university of new orleans","new orleans (la)","public"
"university of north carolina - chapel hill","chapel hill (nc)","public"
"university of north carolina - greensboro","greensboro (nc)","public"
"university of north carolina - wilmington","wilmington (nc)","public"
"university of north dakota","grand forks (nd)","public"
"university of north florida","jacksonville (fl)","public"
"university of north texas","denton (tx)","public"
"university of northern colorado","greeley (co)","public"
"university of northern iowa","cedar falls (ia)","public"
"university of notre dame","notre dame (in)","private"
"university of oklahoma","norman (ok)","public"
"university of oregon","eugene (or)","public"
"university of pennsylvania","philadelphia (pa)","private"
"university of pittsburgh","pittsburgh (pa)","public"
"university of redlands","redlands (ca)","private"
"university of richmond","richmond (va)","private"
"university of rochester","rochester (ny)","private"
"university of san diego","san diego (ca)","private"
"university of south alabama","mobile (al)","public"
"university of south carolina-columbia","columbia (sc)","public"
"university of south florida","tampa (fl)","public"
"university of southern california","los angeles (ca)","private"
"university of southern mississippi","hattiesburg (ms)","public"
"university of st. thomas","saint paul (mn)","private"
"university of tennessee-chattanooga","chattanooga (tn)","public"
"university of tennessee-knoxville","knoxville (tn)","public"
"university of texas - arlington","arlington (tx)","public"
"university of texas - austin","austin (tx)","public"
"university of texas - el paso","el paso (tx)","public"
"university of the pacific","stockton (ca)","private"
"university of toledo","toledo (oh)","public"
"university of tulsa the","tulsa (ok)","private"
"university of utah","salt lake city (ut)","public"
"university of vermont","burlington (vt)","public"
"university of virginia","charlottesville (va)","public"
"university of washington","seattle (wa)","public"
"university of west florida","pensacola (fl)","public"
"university of wisconsin - madison","madison (wi)","public"
"university of wisconsin - milwaukee","milwaukee (wi)","public"
"university of wisconsin - platteville","platteville (wi)","public"
"university of wisconsin - river falls","river falls (wi)","public"
"university of wisconsin - stevens point","stevens point (wi)","public"
"university of wyoming","laramie (wy)","public"
"utah state university","logan (ut)","public"
"valdosta state university","valdosta (ga)","public"
"vanderbilt university","nashville (tn)","private"
"virginia tech","blacksburg (va)","public"
"wabash college","crawfordsville (in)","private"
"wake forest university","winston-salem (nc)","private"
"washburn university","topeka (ks)","public"
"washington state university","pullman (wa)","public"
"washington university in st. louis","saint louis (mo)","private"
"wayne state university","detroit (mi)","public"
"wesleyan university","middletown (ct)","private"
"west virginia university","morgantown (wv)","public"
"western kentucky university","bowling green (ky)","public"
"western michigan university","kalamazoo (mi)","public"
"western new england college","springfield (ma)","private"
"western washington university","bellingham (wa)","public"
"wheeling jesuit university","wheeling (wv)","private"
"wichita state university","wichita (ks)","public"
"wilmington college","new castle (de)","private"
"worcester state college","worcester (ma)","public"
"xavier university","new orleans (la)","private"
"xavier university","cincinnati (oh)","private"
"yale university","new haven (ct)","private"
"yeshiva university","new york (ny)","private"
"young harris college","young harris (ga)","private"
