"title","genre","order #","unit price"
"bye bye    birdie","tv","hl00313233","$14.95"
"bye bye    birdie deluxe souvenir edition","tv etc&hellip;","hl00313299","$19.95"
"cabaret","movie","hl00359453","$11.95"
"call me madam","broadway","hl00005577","$10.95"
"camelot&nbsp;&nbsp;&nbsp;","movie","hl00312060","$10.95"
"camelot mmo    w/cd","movie","pscd 1173","$19.95"
"can-can","movie","hl00312065","$8.98"
"candide","broadway","hl00450014","$13.25"
"canterbury    tales","broadway","fmc 00 0480 72","$7.95"
"can't stop    the music","movie","cpp a04730px","$30.00"
"captain    kangaroo (good morning capt.)","tv","big 3","$20.00"
"carmen jones","broadway","hl01121002","$10.95"
"carnival","broadway","wb tsf0014","$10.95"
"carousel","broadway","hl00312513","$16.95"
"carousel","movie","hl01121008","$10.95"
"cars","cartoon","hl00313336","$14.95"
"cats","broadway","hl00359465","$18.95"
"celebration","broadway","hl00312070","$7.95"
"charlie &amp;    the chocolate factory","movie","alf 24494","$14.95"
"charlie's    angels","movie","hl00313173","$16.95"
"charlotte    sweet","movie","hl00359475","$6.95"
"cheetah girls    collection (the)","tv","hl00313348","$16.95"
"chicago","movie","hl00313241","$16.95"
"chicago","broadway","hl00312087","$10.95"
"chicken    little","movie","hl00313317","$16.95"
"children of    eden","broadway","hl00313326","$16.95"
"chitty chitty    bang bang","movie","alf pfm0515","$19.95"
"chitty chitty    bang bang","broadway","wb tsf0070","$9.95"
"chorus line    (a)","broadway","hl00383313","$14.95"
"chronicles of    narnia the lion...","movie","hl00313316","$14.95"
"cinderella","movie","hl00313095","$10.95"
"cinderella","cartoon","hl00359478","$8.95"
"cinderella","broadway","wb pf9515","$14.95"
"city of    angels","broadway","hl00313356","$16.95"
"city of    angels","movie","wb pf9816","$17.95"
"civil war    (the)","broadway","hl02500261","$17.95"
"class act (a)","broadway","hl00313192","$17.95"
"claudine    (curtis mayfield)","movie","wb&nbsp;","$19.95"
"close    encounters jof the third kind","movie","cpp","$50.00"
"closer than    ever","broadway","alf val2001a","$14.95"
"cocktail","movie","hl00490065","$8.95"
"cold mountain","movie","hl00313266","$14.95"
"color purple    (the)","broadway","hl00313364","$16.95"
"coming to    america","movie","cpp p0811smx","$12.95"
"commitments    (the)","movie","imp p0935smx","$14.95"
"commitments    (the) volume two","movie","cpp p056smx","$10.95"
"company -    25th anniversary edition","broadway","hl00359494","$14.95"
"connecticut    yankee in king arthur's&hellip;.","broadway","cpp dm 107","$16.95"
"connecticut    yankee in king arthur's&hellip;.","broadway","wb sf0107","$9.95"
"copacabana","broadway","hl00313163","$16.95"
"corpse bride","movie","alf bn 27925","$16.95"
"country bears    (the)","disney","hl00313216","$14.95"
"cowgirls","musical","hl00313070","$14.95"
"crow (the)","movie","wb gf0657","$19.95"
"curious    george - jack johnson","movie","hl00313334","$16.95"
"curtains","broadway","hl00313384","$17.95"
"damn yankees","broadway","wb tsf0059a","$14.95"
"dawson's    creek","tv","hl00313141","$14.95"
"day in    hollywood/a night in the ukr..","broadway","hl00026709","$10.95"
"days of    thunder","movie","cpp p0889smx","$13.95"
"dear world","broadway","hl00383360","$10.95"
"de-lovely","movie","wb pfm0415","$19.95"
"dessa rose","musical","imp pfm0507","$19.95"
"dick tracy","movie","hl00490516","$14.95"
"dirty rotten    scoundrels","musical","hl00313305","$17.95"
"doctor    dolittle (1967)","movie","hastings","$30.00"
"doctor    dolittle (1967) - organ/vocal","movie","hastings","$20.00"
"doctor    zhivago","movie","wb tsf0024","$12.95"
"do i hear a    waltz?","musical","hl00312115","$8.95"
"doll's life    (a)","musical","val2004","$18.95"
"don't bother    me i can't cope","musical","&nbsp;","$8.95"
"dr. doolittle    the album (1998)","movie","pf9824","$16.95"
"dreamgirls","musical","hl00313339","$17.95"
"elegies","song cycle","alf bn 25395","$19.95"
"emperor's new    groove","disney","hl00313167","$12.95"
"enchanted","movie","hl00313393","$14.95"
"evita","movie","hl00120077","$12.95"
"fame","movie","wb tsf0048","$13.95"
"fame","musical","imp 4751a","$19.95"
"fanny","musical","hl00312134","$10.95"
"fantasticks    (the)","musical","hl00312136","$10.95"
"finian's    rainbow","movie","hl00312138","$10.95"
"finian's    rainbow &amp; on a clear day&hellip;","broadway","imp 0490b","$12.95"
"firm (the)","movie","hl00312494","$14.95"
"five guys    named moe","musical","hl00385218","$10.95"
"forrest gump","movie","hl00312515","$17.95"
"for the boys","movie","wb vf1797","$19.95"
"funny thing    happened on the way to&hellip;","musical","hl00312151","$9.95"
"fox and the    hound (the)","disney","hl00313358","$14.95"
"free willy","movie","wb vf2075","$9.95"
"friends","tv","wb pf9551","$18.95"
"full monty    (the)","movie","imp 6055a","$14.95"
"full monty    (the)","musical","hl00313168","$17.95"
"funny girl","movie","hl00312146","$10.95"
"funny girl -    souvenir folio","misc.","hl00312149","$10.95"
"garden state","movie","hl00313293","$17.00"
"garfield","tv","cpp p0894smx","$12.95"
"gay divorce","movie","wb vf1528","$9.95"
"godfather    trilogy (the)","movie","hl00313034","$14.95"
"godspell","musical","hl00359902","$11.95"
"godspell    (organ selections)","musical","valando","$12.00"
"godzilla","movie","hl00313111","$16.95"
"gold and    glory-road to el dorado","movie","hl0200273","$16.95"
"goldmember","movie","wb pfm0216","$16.95"
"gone with the    wind","movie","wb sf0146","$7.95"
"goodbye girl    (the)","musical","wb vf1954","$18.95"
"good    companions (the)","tv","chappell","$18.00"
"goonies (the)","movie","wb vf1241","$9.95"
"gospel (the)","movie","hl00313330","$16.95"
"grand hotel","musical","hl00490388","$8.95"
"grease - pro    vocal w/cd women's ed.","musical","hl00740369","$14.95"
"grease - pro    vocal w/cd men's ed.","musical","hl00740370","$14.95"
"great    expectations","movie","imp 0255b","$19.95"
"great waltz    (the)","movie","frank","$12.00"
"grey gardens","musical","hl00313365","$16.95"
"guys and    dolls","musical","hl00446425","$11.95"
"gypsy","musical","hl00313249","$12.95"
"gypsy","movie","hl00312187","$10.95"
"hairspray","movie","alf bn28431","$24.95"
"hannah    montana pro vocal w/cd","tv","hl00740375","$16.95"
"hannah    montana 2/ meet miley cyrus","tv","hl00313387","$17.95"
"hans    christian andersen","movie","hl00446431","$10.95"
"happy feet","movie","alf 27738","$16.95"
"harry potter    &amp; the goblet of fire","movie","alf 25397","$14.95"
"hedwig and    the angry inch","movie","hl00313258","$16.95"
"hello again","musical","wb val2007a","$12.95"
"hello dolly!","musical","hl00383730","$10.95"
"here's love","musical","hl00446443","$8.95"
"her first    roman","musical","wb vf2100","$10.95"
"hero the rock    opera","musical","hl00306634","$14.95"
"high spirits","musical","hl00378809","$9.95"
"high society","musical","imp 0404b","$14.95"
"home on the    range","disney","hl00313265","$14.95"
"hool","movie","cpp p0946smx","$12.95"
"how stella    got her groove back","movie","wb pf9829","$17.95"
"how to    succeed in business without&hellip;","broadway","hl00446479","$10.95"
"hugo the    hippo","cartoon","b3-2245","$15.95"
"i anastasia","musical","cl13067","$7.95"
"ice princess","movie","hl00313300","$16.95"
"i do! i do!","musical","hl00312207","$10.95"
"idolmaker    (the)","movie","b3-4731","$15.95"
"i love my    wife","broadway","wb vf1883","$12.95"
"i love you    you're perfect now change","musical","hl00313140","$14.95"
"i'm getting    my act together and&hellip;","musical","wb val2008","$12.95"
"incredibles    (the)","disney","hl00313290","$14.95"
"indian runner    (the)","movie","cl2089","$12.95"
"in gay    company","musical","&nbsp;","$12.95"
"into the    woods","musical","wb vf1445","$18.95"
"iron eagle","movie","cpp p0709smx","$13.95"
"it girl (the)","movie","hl00313224","$14.95"
"it's a bird it's a plane it's superman","musical","b3-3960","$15.00"
"jacques brel    is alive &amp; well &amp; living&hellip;","musical","hl00312047","$10.95"
"jamaica","musical","hl00383940","$7.95"
"james and the    giant peach","disney","hl00313052","$12.95"
"james bond    oo7 collection","movie","wb pfm0039","$19.95"
"the jazz    singer","movie","hl00356454","$14.95"
"jekyll &amp;    hyde - the world of","broadway","hl02500271","$14.95"
"jelly's last    jam","musical","hl00312489","$12.95"
"jersey boys","musical","hl00313335","$16.95"
"jesus: the    epic mini-series","tv","hl00306362","$14.95"
"joanna","movie","20th century","$12.95"
"joe","movie","cannonball","$19.95"
"john &amp;    jen","musical","hl00313248","$14.95"
"josie and the    pussycats","movie","wb pgm0111","$16.95"
"jumbo","musical","hl00313093","$8.95"
"jumbo","movie","hl01121009","$6.95"
"jump in!","disney","hl00313369","$16.95"
"jungle fever","movie","cpp p0920smx","$14.95"
"karate kid    (the) i &amp; ii","movie","p0727smx","$13.95"
"king and i    (the)","broadway","hl00313067","$15.95"
"king and i    (the) mmo w/cd","broadway","pscd 1178","$21.95"
"kingdom come","movie","imp 0564b","$19.95"
"kiss of the    spider woman","musical","wb val2030a","$19.95"
"kiss of the    spider woman","musical","hl00313277","$14.95"
"knight's tale    (a)","movie","hl00313190","$14.95"
"lady and the    tramp","disney","hl00313109","$10.95"
"the last five    years","musical","hl00313206","$17.95"
"last tango in    paris","movie","&nbsp;","$19.95"
"late nie    comic","broadway","wb vf1737","$10.95"
"let's do it    again -curtis mayfield","movie","wb vf0402","$19.95"
"life (the)","musical","imp 5205a","$19.95"
"lilo &amp;    stitch","disney","hl00313213","$14.95"
"lion king    (the)","disney","hl00312504","$16.95"
"lion king ii    (the)","disney","hl00313119","$14.95"
"little    mermaid (the)","disney","hl00490238","$16.95"
"little night    music (a)","musical","wb val2013a","$12.95"
"lord of the    rings - return of the king","movie","wb pfm0408","$14.95"
"lord of the    rings - animated (1978)","movie","ccp","$25.00"
"lost in the    stars","musical","imp 0535b","$14.95"
"louisiana    purchase","musical","hl00313071","$8.95"
"louisiane","movie","hl00357358","$8.95"
"lunch","musical","wb pf9633","$10.95"
"mack &amp;    mabel","musical","hl00384205","$10.95"
"magnolia","movie","wb pfm0012","$19.95"
"mambo kings    (the)","movie","wb vf1834","$10.95"
"mame","musical","hl00384226","$8.95"
"man from    snowy river (the)","movie","hl00313072","$8.95"
"manhattan    tower","musical","hl00123309","$7.95"
"man of la    mancha","musical","hl02503701","$10.95"
"marie    christine","musical","imp 0428b","$16.95"
"martin guerre","musical","hl00313072","$17.95"
"martin guerre","musical","hl00313132","$17.95"
"mary poppins","movie","hl00360439","$10.95"
"matrix (the)","movie","wb pf9914","$16.95"
"maverick","movie","wb vf2157","$12.95"
"meet the    robinsons","disney","hl00313377","$14.95"
"me nobody    knows (the)","musical","hl00360472","$8.95"
"merry widow    (the)","musical","hl00312258","$7.95"
"message in a    bottle","movie","wb pf9910","$16.95"
"miami vice","tv","hl00123601","$8.95"
"mighty    morphin power rangers","movie","wb pf9527","$16.95"
"milk and    honey","musical","hl00384251","$10.95"
"mission    impossible","movie","hl00313066","$14.95"
"miss saigon","musical","hl00490406","$17.95"
"mondo cane","movie","marks","$14.95"
"muppets -    favorite songs","tv","hl00356866","$10.95"
"mulan","disney","hl00313099","$14.95"
"mulan ii","disney","hl00313291","$14.95"
"music man    (the)","musical","hl00446752","$11.95"
"my best    friends wedding","movie","hl00313083","$16.95"
"my fair lady    &amp; gigi","broadway","imp 0486b","$14.95"
"mystery of    edwin drood (the)","broadway","hl00313275","$14.95"
"my one and    only","musical","imp 9690a","$12.95"
"myths and    hymns","musical","hl00313157","$19.95"
"new brain (a)","musical","alf 0315b","$19.95"
"newsies","musical","hl00311572","$14.95"
"new starlight    express (the)","musical","hl00312508","$12.95"
"new york new    york","movie","wb tsf0025","$15.95"
"nick &amp;    nora","musical","cpp tsf0072","$14.95"
"night of the    hunter (the)","musical","imp 0301b","$16.95"
"nine","musical","hl02502895","$17.95"
"no strings","musical","hl00312280","$10.95"
"nuncrackers","musical","imp 0346b","$16.95"
"nunsense","musical","alf vf1502","$19.95"
"o brother    where art thou?","movie","hl00313193","$17.95"
"of thee i    sing","broadway","wb sf0139","$9.95"
"oklahoma!","musical","hl00312292","$14.95"
"oliver!","musical","hl00378806","$12.95"
"oliver &amp;    company","disney","hl00360717","$10.95"
"on a clear    day you can see forever","musical","hl00312297","$8.95"
"once on this    island","musical","alf vf1680","$18.95"
"one flew over    the cuckoo's nest","movie","big 3","$30.00"
"on the town","broadway","wb vf1568","$9.95"
"on the    twentieth century","broadway","wb vf1841","$16.95"
"on your toes","musical","hl00312299","$10.95"
"paint your    wagon","movie","hl00312310","$8.95"
"pajama game    (the)","musical","wb tsf0061","$13.95"
"pal joey","movie","hl00312313","$8.95"
"passion","musical","wb vf2164","$16.95"
"pastime","movie","cl2090","$12.95"
"pennies from    heaven","movie","wb vf0932","$25.00"
"peter pan","disney","hl00360819","$7.95"
"peter pan","broadway","hl00384551","$10.95"
"pete's dragon","movie","hansen 78-26","$16.95"
"pete's dragon","disney","hl00360822","$7.95"
"phantom of    the opera (the)","movie","hl00313294","$19.95"
"phantom of    the opera (the)","broadway","hl00360832","$19.95"
"philadelphia","movie","cpp p1057smx","$14.95"
"pretty woman","movie","hl00490371","$12.95"
"prince and    the pauper (the)","musical","hl00313281","$12.95"
"prince of    tides (the)","movie","wb p0941smx","$14.95"
"producers    (the)","movie","hl00313318","$19.95"
"producers    (the)","musical","hl00313189","$19.95"
"pure country","movie","wb vf1998","$10.95"
"piglet's big    movie","disney","hl00313242","$14.95"
"pipe dream","musical","hl00312320","$10.95"
"pippin","broadway","wb el02368","$16.95"
"pirate queen    (the)","musical","hl00313376","$17.95"
"pocahontas","disney","hl00313013","$16.95"
"polar express    (the)","movie","alf pfm0428","$19.95"
"pooh","disney","hl00313007","$10.95"
"porgy and    bess","musical","alf vf1910","$12.95"
"quest for    camelot","movie","imp 0276b","$16.95"
"ragtime","musical","alf 5206a","$19.95"
"rap to rock","tv","cpp p0888smx","$12.95"
"ratatouille","movie","hl00313383","$16.95"
"ray","movie","hl00313296","$16.95"
"rent","broadway","hl00313069","$18.95"
"return of the    jedi","movie","wb vf1056","$25.00"
"return to    neverland","disney","hl00313200","$12.95"
"return to the    forbidden planet","musical","hl00311549","$14.95"
"rex","broadway","hl00313254","$14.95"
"rhinestone","movie","p0575smx","$9.95"
"rink (the)","musical","hl00313279","$12.95"
"river rat    (the)","movie","p0598smx","$9.95"
"roar of the    greasepaint (the)","musical","hl00313156","$9.95"
"robber    bridegroom (the)","musical","hl50251760","$16.95"
"rocky horror    show (the)","musical","am86101","$21.95"
"roots","tv","wb","$19.95"
"rugrats","movie","hl00313134","$14.95"
"runaway bride","movie","hl00313149","$16.95"
"santa    claus the movie","movie","hl00361012","$12.00"
"saturday    night fever","movie","hl00313160","$10.95"
"saved by the    bell","tv","hl00313023","$12.95"
"scandalous    john - disney","movie","hansen k-469","$19.95"
"secret garden    (the)","musical","alf vf1792","$18.95"
"seesaw","broadway","wb vf1896","$12.95"
"seven brides    for seven brothers","musical","wb tsf0069","$9.95"
"shark tale","movie","hl02500798","$16.95"
"she loves me","broadway","hl00313320","$14.95"
"shenandoah","musical","hl00384716","$10.95"
"showboat","musical","hl00313015","$14.95"
"showboat mmo    w/cd","musical","pscd 1160","$24.95"
"shrek","movie","hl02500414","$16.95"
"shrek the    third","movie","hl02501071","$17.95"
"side show","musical","hl00313096","$17.95"
"simba's pride    - lion king ii","disney","hl00313119","$14.95"
"simpsons    (the)","movie","hl00313388","$14.95"
"sister act","movie","hl00312482","$15.95"
"sister act 2:    back in the habit","movie","hl00312497","$15.95"
"smokey and    the bandit ii","movie","big 3","$19.95"
"smokey joe's    caf&eacute;","musical","hl00313080","$16.95"
"smokey joe's    caf&eacute; mmo w/cd","musical","mmo 1197","$22.98"
"snow queen    (the)","musical","imp 0225b","$14.95"
"snow white    and the seven dwarves","disney","119121","$9.60"
"snow white    and the seven dwarves","musical","hl50235970","$9.50"
"song &amp;    dance","musical","hl00361100","$12.95"
"songs for a    new world","musical","hl00313188","$16.95"
"song of    norway","movie","hl00447068","$7.95"
"songwriter","movie","cpp p0601smx","$19.95"
"soul food","movie","imp 0166b","$19.95"
"sound of    music (the)","movie","hl00312392","$14.95"
"south pacific","musical","hl00312400","$14.95"
"south pacific","musical","pscd 1177","$24.95"
"space jam","movie","wb pf9657","$16.95"
"spamalot","musical","hl00313302","$17.95"
"specialist    (the)","movie","wb p1095smx","$14.95"
"spoon river    anthology","broadway","wb vf2179","$9.95"
"spring    awakening","musical","hl00313379","$19.95"
"spy who    shagged me (the)","movie","wb pf9917","$17.95"
"star is born    (a)","movie","hl00384828","$10.95"
"state fair","musical","hl00313040","$12.95"
"starting here    starting now","musical","wb val2009a","$14.95"
"staying alive","movie","hl00311198","$18.95"
"stop the    world i want to get off","musical","hl00378808","$10.95"
"strider","musical","hl50251870","$7.50"
"student    prince (the)","musical","wb sf0126","$9.95"
"sugar babies","musical","mchugh","$16.95"
"sunday in the    park with george","musical","alf val2018a","$12.95"
"sunset    boulevard","musical","hl00312514","$19.95"
"sunset    boulevard mmo w/cd","musical","mmo 1193","$29.95"
"superman the    movie (1979) w/ poster","movie","wb","$25.00"
"surf's up","movie","hl00313382","$16.95"
"sweeney todd","movie","alf 30013","$21.95"
"sweet betsy    from pike","musical","e0018vsa","$10.95"
"sweet charity","movie","b3-451","$40.00"
"sweet dreams","movie","cpp p0697smx","$13.95"
"sweet smell    of success","musical","hl00313209","$16.95"
"swiss family    robinson","musical","mcafee","$14.00"
"taking my    turn","musical","hl00378810","$9.95"
"tarzan","musical","hl00313349","$19.95"
"tarzan","movie","hl00313122","$16.95"
"teenage    mutant ninja turtles","movie","hl00490392","$12.95"
"teenage    mutant ninja turtles iii","movie","cpp p0987smx","$9.95"
"tenderloin","musical","hl00313350","$14.95"
"thank god    it's friday","movie","almo vf4153","$30.00"
"thing about    men (the)","musical","hl00313370","$16.95"
"tigger movie    (the)","disney","hl00316052","$12.95"
"times square","movie","hl00308309","$25.00"
"titanic","musical","hl02502216","$18.95"
"tom and jerry","movie","cpp p1022smx","$14.95"
"tommy","musical","hl00313286","$17.95"
"toy story","disney","hl00313033","$10.95"
"toy story 2","disney","hl00313152","$11.95"
"tricks","musical","0047837-122","$11.95"
"two by two","musical","hl00312460","$8.95"
"unsinkable    molly brown (the)","movie","hl00447210","$9.95"
"victor    victoria","movie","hl02502181","$17.95"
"visionquest","movie","wb vf1213","$9.95"
"wait a minim!","musical","hl00447245","$10.95"
"waiting to    exhale","movie","wb pf9603","$19.95"
"walk the line","movie","hl00313315","$16.95"
"wedding    singer (the)","musical","hl02500975","$17.95"
"what makes    sammy run","broadway","wb vf2074","$10.95"
"when pigs fly","musical","hl00313104","$16.95"
"where's    charley?","musical","hl00447285","$10.95"
"whistle down    the wind","musical","hl00313139","$17.95"
"white nights","movie","p0689smx","$9.95"
"who's that    girl","movie","wb vf1415","$11.95"
"wicked","musical","hl00313268","$17.95"
"wildcat","musical","hl00385141","$7.95"
"wild party    (the)","musical","wb pfm0033","$17.95"
"will rogers    follies (the)","musical","wb vf1755","$17.95"
"willy wonka    &amp; the chocolate factory","movie","hl00313181","$8.95"
"wiz (the)","movie","alf vf1107","$16.95"
"wizard of oz    (the)","movie","alf tsf0038","$12.95"
"woman in    white (the)","musical","hl00313298","$16.95"
"woodstock two","movie","wb","$25.00"
"working","musical","wb val2010a","$16.95"
"x files (the)    selections from the album","tv","wb 0292b","$16.95"
"yentl","movie","wb tsf0049","$16.95"
"your arms are    too short to box with god","broadway","fmp","$8.95"
"your cheatin'    heart","movie","acuff","$18.95"
"your own    thing","musical","ngp","$17.95"
"you're a good    man charlie brown","musical","hl00740595","$10.95"
"zorba","musical","hl00361935","$10.95"
