"palm      tree list","5gal","15gal","24&quot;box"
"arenga      westerhoutii","&nbsp;","&nbsp;","&nbsp;"
"asterogyne      martiana","&nbsp;","&nbsp;","&nbsp;"
"astrocaryum      alatum","$54.00","&nbsp;","&nbsp;"
"astrocaryum      lancetellia","&nbsp;","&nbsp;","&nbsp;"
"astrocaryum      standleyanum","&nbsp;","&nbsp;","&nbsp;"
"attalea      butyracea","$74.00","$182.00","&nbsp;"
"attalea      cohune","&nbsp;","&nbsp;","&nbsp;"
"bactris      gasipaes","&nbsp;","&nbsp;","&nbsp;"
"bactris      militaris","&nbsp;","&nbsp;","&nbsp;"
"bactris      setuosa","&nbsp;","&nbsp;","&nbsp;"
"balaka      gracilis","&nbsp;","&nbsp;","&nbsp;"
"balaka      seemanii","&nbsp;","&nbsp;","&nbsp;"
"basselinia      gracilis","$65.00","&nbsp;","&nbsp;"
"bassellinia      tomentosa","&nbsp;","&nbsp;","&nbsp;"
"beccariophoenix      madagascariensis","$55.00","$182.00","&nbsp;"
"beccariophoenix      sp.","$135.00","$225.00","&nbsp;"
"bintinckia      condpana","&nbsp;","&nbsp;","&nbsp;"
"bintinckia      nicobarica","&nbsp;","$575.00","&nbsp;"
"bismarckia      nobilis","&nbsp;","$325.00","&nbsp;"
"borassus      flabellifer","&nbsp;","&nbsp;","&nbsp;"
"borassus      sambiranensis","&nbsp;","&nbsp;","&nbsp;"
"brahea      armata","$48.00","$135.00","$225.00"
"brahea      brandegeei","&nbsp;","&nbsp;","&nbsp;"
"brahea      decumbens","&nbsp;","&nbsp;","&nbsp;"
"brahea      dulcis","&nbsp;","&nbsp;","$300.00"
"brahea      edulis","$32.00","$68.00","&nbsp;"
"brahea      moorei","&nbsp;","&nbsp;","&nbsp;"
"brahea      nitida","&nbsp;","&nbsp;","&nbsp;"
"brahea      sarukhanii","&nbsp;","&nbsp;","&nbsp;"
"brahea      sp. clara ? peurto vallarta","&nbsp;","&nbsp;","&nbsp;"
"brahea      sp. fullerton","&nbsp;","&nbsp;","&nbsp;"
"burretiokentia      hapala","$130.00","&nbsp;","&nbsp;"
"burretiokentia      koghiensis","$130.00","&nbsp;","&nbsp;"
"burretiokentia      vielardia","&nbsp;","&nbsp;","&nbsp;"
"butia      capitata","&nbsp;","$115.00","&nbsp;"
"butia      eriospatha","&nbsp;","&nbsp;","$425.00"
"butia      paraguayensis","&nbsp;","&nbsp;","&nbsp;"
"butia      yatay","&nbsp;","&nbsp;","&nbsp;"
"calamus      blancoi","&nbsp;","&nbsp;","&nbsp;"
"calamus      caryotoides","&nbsp;","&nbsp;","&nbsp;"
"calyptrocalyx      albertsiana","&nbsp;","&nbsp;","&nbsp;"
"calyptrocalyx      micholitzii","&nbsp;","&nbsp;","&nbsp;"
"calyptrocalyx      spictatus","&nbsp;","&nbsp;","&nbsp;"
"calyptrocalyx      sp. mara","&nbsp;","&nbsp;","&nbsp;"
"calyptrocalyx      sp. sanumb","&nbsp;","&nbsp;","&nbsp;"
"calyptrocalyx      stenoschista","&nbsp;","&nbsp;","&nbsp;"
"calyptronoma      plumeriana","&nbsp;","&nbsp;","$575.00"
"calyptronoma      rivalis","&nbsp;","$185.00","$325.-$550."
"carpentaria      acuminata","&nbsp;","$145.00","&nbsp;"
"carpoxylon      macrospermum","&nbsp;","$285.00","&nbsp;"
"caryota      albertii","&nbsp;","&nbsp;","&nbsp;"
"caryota      bacsonensis","$58.00","$145.00","&nbsp;"
"caryota      gigas","$55.00","&nbsp;","&nbsp;"
"caryota      himalaya","$55.00","&nbsp;","&nbsp;"
"caryota      mitis","$55.00","$115.00","&nbsp;"
"caryota      mitis&nbsp; (varigated)","&nbsp;","&nbsp;","&nbsp;"
"caryota      monostachya","&nbsp;","$185.00","&nbsp;"
"caryota      obtusa","$55.00","&nbsp;","&nbsp;"
"caryota      ochlandra","$65.00","$145.00","&nbsp;"
"caryota      ophiopellis","$130.00","&nbsp;","&nbsp;"
"caryota      urens","$55.00","$145.00","&nbsp;"
"caryota      zebrina","$215.00","&nbsp;","&nbsp;"
"ceroxylon      alpinum","&nbsp;","&nbsp;","&nbsp;"
"ceroxylon      amazonicum","&nbsp;","&nbsp;","&nbsp;"
"ceroxylon      vogelianum","&nbsp;","&nbsp;","&nbsp;"
"ceroxylon      quindiuense","&nbsp;","&nbsp;","&nbsp;"
"ceroxylon      ventricuosum","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      adscendens","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      amablis","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      brachypoda","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      costaricana","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      dammeriana","$65.00","&nbsp;","&nbsp;"
"chamaedorea      deckeriana","$98.00","&nbsp;","&nbsp;"
"chamaedorea      elatior","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      elegans","$48.00","&nbsp;","&nbsp;"
"chamaedorea      ernesti augustii","$82.00","&nbsp;","&nbsp;"
"chamaedorea      fragrans","$200.00","and up","&nbsp;"
"chamaedorea      glaucifolia","$55.00","$115.00","&nbsp;"
"chamaedorea humilis","28.00","92.00","275.00"
"chamaedorea      hooperiana","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      klotzschiana","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      linearis","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      metallica","$55.00","&nbsp;","&nbsp;"
"chamaedorea      microspadix","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      nationsiana","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      neurochlamys","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      oblongata","$55.00","&nbsp;","&nbsp;"
"chamaedorea      oreophila","$55.00","&nbsp;","&nbsp;"
"chamaedorea      plumosa","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      pochutlensis","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      radicalis","$55.00","&nbsp;","&nbsp;"
"chamaedorea      seifritzii","$55.00","$145.00","&nbsp;"
"chamaedorea      stolenifera","$55.00","&nbsp;","&nbsp;"
"chamaedorea      sullvaniorum","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      tenella","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      tepejilote","$55.00","$145.00","&nbsp;"
"chamaedorea      tuerckheimii","$185.00","&nbsp;","&nbsp;"
"chamaedorea      volcanensis","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      warscewiczii","&nbsp;","&nbsp;","&nbsp;"
"chamaedorea      woodsoniana","&nbsp;","&nbsp;","&nbsp;"
"chamaerops      humilis","&nbsp;","&nbsp;","&nbsp;"
"chambeyronia      hookerii","$85.00","&nbsp;","&nbsp;"
"chambeyronia      lepidota","&nbsp;","&nbsp;","&nbsp;"
"chambeyronia      macrocarpa","$55.00","$225.00","$600.00"
"chambeyronia      sp. houailou","$135.00","&nbsp;","&nbsp;"
"chambeyronia      macrocarpa","$55.00","&nbsp;","&nbsp;"
"chelyocarpus      chuco","&nbsp;","&nbsp;","&nbsp;"
"chuniophoenix      hainanensis","&nbsp;","&nbsp;","&nbsp;"
"chuniophoenix      humilis","$85.00","&nbsp;","&nbsp;"
"clinostigma      exorrhizum","&nbsp;","&nbsp;","&nbsp;"
"clinostigma      ponapensis","&nbsp;","&nbsp;","&nbsp;"
"clinostigma      samoense","&nbsp;","&nbsp;","&nbsp;"
"clinostigma      savoryana","$95.00","$225.00","$350.00"
"clinostigma      sp. onchorrhynchum","&nbsp;","$185.00","&nbsp;"
"coccothrinax      azul","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      boschiana","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      borhidiana","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      crinita","$65.00","&nbsp;","&nbsp;"
"coccothrinax      dussiana","$65.00","&nbsp;","&nbsp;"
"coccothrinax      gracilis","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      hiorami","$65.00","&nbsp;","&nbsp;"
"coccothrinax      litoralis","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      miraguama","$65.00","&nbsp;","&nbsp;"
"coccothrinax      miraguama","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      miraguama","65.00","&nbsp;","&nbsp;"
"coccothrinax      pauciramosa","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      proctori","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      readii","$82.00","&nbsp;","&nbsp;"
"coccothrinax      salvatoris","$98.00","&nbsp;","&nbsp;"
"coccothrinax      scoparia","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      spissa","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      trinitensis","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax","&nbsp;","&nbsp;","&nbsp;"
"coccothrinax      yunquensis","&nbsp;","&nbsp;","&nbsp;"
"cocos      nucifera","&nbsp;","$115.00","&nbsp;"
"cocos  plumosa","&nbsp;","&nbsp;","&nbsp;"
"colpothrinax      cookii","$68.00","$185.00","&nbsp;"
"colpothrinax      wrightii","&nbsp;","&nbsp;","&nbsp;"
"copernicia      alba","&nbsp;","&nbsp;","&nbsp;"
"copernicia      baileyana","$55.00","$145.00","&nbsp;"
"copernicia      berteroana","&nbsp;","&nbsp;","&nbsp;"
"copernicia      cowellii","&nbsp;","&nbsp;","&nbsp;"
"copernicia      curbeloi","&nbsp;","&nbsp;","&nbsp;"
"copernicia      ekmanii","&nbsp;","&nbsp;","&nbsp;"
"copernicia      fallaense","$85.00","$188.00","&nbsp;"
"copernicia      gigas","$65.00","&nbsp;","&nbsp;"
"copernicia      macroglossa","$82.00","&nbsp;","&nbsp;"
"copernicia      prunifera","&nbsp;","&nbsp;","&nbsp;"
"copernicia      rigida","$65.00","&nbsp;","&nbsp;"
"copernicia      sueroana","&nbsp;","&nbsp;","&nbsp;"
"copernicia      vespertilionum","&nbsp;","&nbsp;","&nbsp;"
"corypha      lecomtei","&nbsp;","&nbsp;","&nbsp;"
"corypha      umbraculifera","$65.00","&nbsp;","&nbsp;"
"cryosophila      argentea","$85.00","$145.00","&nbsp;"
"cryosophila      warscewiczi","$60.00","&nbsp;","&nbsp;"
"cyphophoenix      elegans","&nbsp;","&nbsp;","&nbsp;"
"cyphophoenix      nucele","$135.00","$285.00","&nbsp;"
"cyphosperma      balansae","&nbsp;","&nbsp;","&nbsp;"
"cyrtostachys      glauca","&nbsp;","&nbsp;","&nbsp;"
"cyrtostachys      renda","&nbsp;","&nbsp;","&nbsp;"
"daemonorops      jenkinsiana","$85.00","&nbsp;","&nbsp;"
"deckinia      nobilis","&nbsp;","&nbsp;","&nbsp;"
"dictocaryyum      lamarckianum","&nbsp;","&nbsp;","&nbsp;"
"dictyosperma      album rubrum","$65.00","$145.00","&nbsp;"
"dictyosperma      album","&nbsp;","&nbsp;","&nbsp;"
"dictyosperma      furfuraceum","$98.00","&nbsp;","$375.00"
"drymophloeus      beguini","&nbsp;","&nbsp;","&nbsp;"
"drymophloeus      oliviformis","&nbsp;","&nbsp;","&nbsp;"
"dypsis      ambilaensis","&nbsp;","&nbsp;","&nbsp;"
"dypsis      ambositrae","$82.00","$185.00","&nbsp;"
"dypsis      ankaizinensis","$55.00","$145.00","&nbsp;"
"dypsis      baronii","$55.00","$188.00","&nbsp;"
"dypsis      basilongus","$65.00","&nbsp;","&nbsp;"
"dypsis      bejofo","&nbsp;","&nbsp;","&nbsp;"
"dypsis      brevicaulis","&nbsp;","&nbsp;","&nbsp;"
"dypsis      brevinodus","&nbsp;","&nbsp;","$600.-$800."
"dypsis      cabadae","$88.00","$185.00","&nbsp;"
"dypsis      canaliculata","&nbsp;","&nbsp;","&nbsp;"
"dypsis      carlsmithii","$98.00","&nbsp;","&nbsp;"
"dypsis      catatiana","&nbsp;","&nbsp;","&nbsp;"
"dypsis      decaryi","$45.00","$145.00","$225.00"
"dypsis      decipiens","$65.00","$185.00","&nbsp;"
"dypsis      fanjana","&nbsp;","&nbsp;","&nbsp;"
"dypsis      fibrosa","$65.00","&nbsp;","&nbsp;"
"dypsis      florencei","&nbsp;","&nbsp;","&nbsp;"
"dypsis      heteromorpha","&nbsp;","&nbsp;","&nbsp;"
"dypsis      heterophylla","&nbsp;","&nbsp;","&nbsp;"
"dypsis      hildebrandtii","&nbsp;","&nbsp;","&nbsp;"
"dypsis      hovomantsina","$85.00","&nbsp;","&nbsp;"
"dypsis      kinagaly","&nbsp;","&nbsp;","&nbsp;"
"dypsis      lanceolata","$85.00","$185.00","&nbsp;"
"dypsis      lantzeana","&nbsp;","&nbsp;","&nbsp;"
"dypsis      lastelliana","$65.00","&nbsp;","&nbsp;"
"dypsis      leptocheilos","&nbsp;","$225.00","$350.00"
"dypsis      lucubensis","$55.00","$215.00","&nbsp;"
"dypsis      lutescens","$44.00","$145.00","30g $470"
"dypsis      madagascariensis","$55.00","$185.00","&nbsp;"
"dypsis      malcomberi","$85.00","&nbsp;","&nbsp;"
"dypsis      mananjarensis","$85.00","&nbsp;","&nbsp;"
"dypsis      mangorensis","&nbsp;","&nbsp;","&nbsp;"
"dypsis      mcdonaldiana","$85.00","$235.00","&nbsp;"
"dypsis      mocquerysiana","&nbsp;","&nbsp;","&nbsp;"
"dypsis      moorei","$65.00","&nbsp;","&nbsp;"
"dypsis      nodifera","&nbsp;","&nbsp;","&nbsp;"
"dypsis      onilahensis","&nbsp;","&nbsp;","&nbsp;"
"dypsis      oropedionis","&nbsp;","&nbsp;","&nbsp;"
"dypsis      paludosa","$135.00","&nbsp;","&nbsp;"
"dypsis      pembana","$85.00","&nbsp;","&nbsp;"
"dypsis      perrieri","$85.00","&nbsp;","&nbsp;"
"dypsis      pervillei","$85.00","&nbsp;","&nbsp;"
"dypsis      pinatifrons","$45.00","$145.00","&nbsp;"
"dypsis      polystachys v.stenophylla","&nbsp;","&nbsp;","&nbsp;"
"dypsis      prestoniana","$225.00","&nbsp;","&nbsp;"
"dypsis      procera","&nbsp;","&nbsp;","&nbsp;"
"dypsis      procera var. transiens","&nbsp;","&nbsp;","&nbsp;"
"dypsis      psammophila","$85.00","$188.00","&nbsp;"
"dypsis      pusilla","$98.00","$188.00","&nbsp;"
"dypsis      rivilaris","&nbsp;","$235.00","&nbsp;"
"dypsis      sahanofensis","&nbsp;","&nbsp;","&nbsp;"
"dypsis      saintelucei","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sambiranensis","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sanctamariae","&nbsp;","&nbsp;","&nbsp;"
"dypsis      scottiana","&nbsp;","&nbsp;","&nbsp;"
"dypsis      simianensis","&nbsp;","&nbsp;","&nbsp;"
"dypsis      soanieranae","&nbsp;","&nbsp;","&nbsp;"
"dypsis      tokoravina","&nbsp;","&nbsp;","&nbsp;"
"dypsis      thouariziana","&nbsp;","&nbsp;","&nbsp;"
"dypsis      tsaratananensis","$98.00","$285.00","&nbsp;"
"dypsis      tsaravoasira","$88.00","&nbsp;","&nbsp;"
"dypsis      utilis","&nbsp;","$285.00","$300-$450."
"dypsis      sp.","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. bef","&nbsp;","&nbsp;","$600.-$800."
"dypsis      sp. betafaka","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. big fishtail","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. black stem","&nbsp;","$285.00","&nbsp;"
"dypsis      sp. blue","$98.00","$215.00","&nbsp;"
"dypsis      sp. bresy","$130.00","&nbsp;","&nbsp;"
"dypsis      sp. diego","&nbsp;","$115.00","&nbsp;"
"dypsis      sp. green boresy","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. honkona","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. kindreo","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. lafazamanga","$98.00","&nbsp;","&nbsp;"
"dypsis      sp. lookalike forcifolia","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. manjato","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. manompana","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. marevaka","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. mayotte","$88.00","&nbsp;","&nbsp;"
"dypsis      sp. menalaingo","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. mealy bug","$88.00","$215.00","&nbsp;"
"dypsis      sp. phloga v. stenophyla","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp.sinkara","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. south coast","&nbsp;","&nbsp;","&nbsp;"
"dypsis      sp. trororana","$88.00","$215.00","&nbsp;"
"dypsis      sp. white","&nbsp;","&nbsp;","&nbsp;"
"eleais      guineensis","$55.00","&nbsp;","&nbsp;"
"euterpe      edulis","$55.00","$155.00","$400.-$600."
"euterpe      espiritosantensis","&nbsp;","&nbsp;","&nbsp;"
"euterpe      oleracea","&nbsp;","&nbsp;","&nbsp;"
"euterpe      prectoria","&nbsp;","&nbsp;","&nbsp;"
"euterpe      sp.","&nbsp;","&nbsp;","&nbsp;"
"gastrococos      crispa","&nbsp;","&nbsp;","&nbsp;"
"gaussia      attenuata","&nbsp;","$155.00","&nbsp;"
"gaussia      maya","&nbsp;","$145.00","$175.00"
"geonoma      gamiova","&nbsp;","&nbsp;","&nbsp;"
"geonoma      schottiana","&nbsp;","&nbsp;","&nbsp;"
"geonoma      undata","&nbsp;","&nbsp;","&nbsp;"
"geonoma      sp. (ken foster)","&nbsp;","&nbsp;","&nbsp;"
"gronophyllum      chaunisticha","&nbsp;","&nbsp;","&nbsp;"
"gronophyllum      filiawoiyam","&nbsp;","&nbsp;","&nbsp;"
"gronophyllum      microcarpum","&nbsp;","&nbsp;","&nbsp;"
"gronophyllum      pinangoides","&nbsp;","&nbsp;","&nbsp;"
"guihaia      argyrata","&nbsp;","&nbsp;","&nbsp;"
"hedyscepe      canturburyana","$135.00","$285.00","&nbsp;"
"heterospathe      intermedia","&nbsp;","&nbsp;","&nbsp;"
"heterospathe      micrantha (red)","&nbsp;","&nbsp;","&nbsp;"
"heterospathe      negrosensis","&nbsp;","&nbsp;","&nbsp;"
"heterospathe      woodfordiana","&nbsp;","&nbsp;","&nbsp;"
"heterospathe      sp. yaga","&nbsp;","&nbsp;","&nbsp;"
"howea      belmoreana","$55.00","$185.00","&nbsp;"
"howea      forsteriana aka kentia palm","$58.00","$185.00","275-450"
"hydrosteel      sp.","&nbsp;","&nbsp;","&nbsp;"
"hyophorbe      indica (red&amp;green)","$85.00","$185.00","&nbsp;"
"hyophorbe      laugenicaulis","$55.00","&nbsp;","&nbsp;"
"hyophorbe      verschaffeltii","&nbsp;","$215.00","$275.00"
"hyphaene      coriacea","&nbsp;","&nbsp;","&nbsp;"
"hyphaene      petersoniana","&nbsp;","$185.00","&nbsp;"
"hyphaene      thebaica","&nbsp;","&nbsp;","&nbsp;"
"iguanura      elegans","&nbsp;","&nbsp;","&nbsp;"
"iguanura      wallichiana v. major","&nbsp;","&nbsp;","&nbsp;"
"iguanura      sp. serapi","&nbsp;","&nbsp;","&nbsp;"
"iguanura      sp. &quot;sublime&quot;","&nbsp;","&nbsp;","&nbsp;"
"iguanura      sp. wide leaf","&nbsp;","&nbsp;","&nbsp;"
"iriartea      deltoides","&nbsp;","&nbsp;","&nbsp;"
"itaya      amicorum","&nbsp;","&nbsp;","&nbsp;"
"johannesteijsmannia      altifrons","&nbsp;","&nbsp;","&nbsp;"
"jubaea      chilensis","&nbsp;","&nbsp;","&nbsp;"
"jubaeopsis      caffra","$135.00","&nbsp;","&nbsp;"
"kentiopsis      oliviformis","$135.00","$225.00","$450.00"
"kentiopsis      magnifica","$435.00","&nbsp;","&nbsp;"
"kentiopsis      piersoniorum","$435.00","&nbsp;","&nbsp;"
"kentiopsis      pyriformis","$435.00","&nbsp;","&nbsp;"
"kerriodoxa      elegans","$68.00","$285.00","&nbsp;"
"laccospadix      australasica","$68.00","&nbsp;","&nbsp;"
"latania      loddegesii","&nbsp;","&nbsp;","&nbsp;"
"latania      lontaroides","&nbsp;","$115.00","&nbsp;"
"latania      verschaffeltii","&nbsp;","&nbsp;","&nbsp;"
"lemurophoenix      halleuxii","&nbsp;","&nbsp;","&nbsp;"
"lepidorrachis      mooreana","&nbsp;","&nbsp;","&nbsp;"
"licuala      aurantiaca","&nbsp;","&nbsp;","&nbsp;"
"licuala      beccariana","&nbsp;","&nbsp;","&nbsp;"
"licuala      cabalionii","&nbsp;","&nbsp;","&nbsp;"
"licuala      cordata","&nbsp;","&nbsp;","&nbsp;"
"licuala      densiflora","&nbsp;","&nbsp;","&nbsp;"
"licuala      distans","&nbsp;","&nbsp;","&nbsp;"
"licuala      dransfieldii","&nbsp;","&nbsp;","&nbsp;"
"licuala      dwarf thailand","&nbsp;","&nbsp;","&nbsp;"
"licuala      elegans","$98.00","&nbsp;","&nbsp;"
"licuala      ferruginea","&nbsp;","&nbsp;","&nbsp;"
"licuala      furcata","&nbsp;","&nbsp;","&nbsp;"
"licuala      glauca","&nbsp;","&nbsp;","&nbsp;"
"licuala      kunstleri","&nbsp;","&nbsp;","&nbsp;"
"licuala      lauterbachii","$98.00","&nbsp;","&nbsp;"
"licuala      lauterbachii","&nbsp;","$185.00","&nbsp;"
"licuala      lauterbachii","&nbsp;","&nbsp;","&nbsp;"
"licuala      malajana","&nbsp;","&nbsp;","&nbsp;"
"licuala      mapu","&nbsp;","&nbsp;","&nbsp;"
"licuala      orbicularis","&nbsp;","&nbsp;","&nbsp;"
"licuala      paludosa","&nbsp;","&nbsp;","&nbsp;"
"licuala      parviflora","&nbsp;","&nbsp;","&nbsp;"
"licuala      peltata","&nbsp;","&nbsp;","&nbsp;"
"licuala      peltata","$98.00","&nbsp;","&nbsp;"
"licuala      petiolata","&nbsp;","&nbsp;","&nbsp;"
"licuala      platydactyla","&nbsp;","&nbsp;","&nbsp;"
"licuala      radula","&nbsp;","&nbsp;","&nbsp;"
"licuala      ramsayi","&nbsp;","$185.00","$600.-$800."
"licuala      sarawakensis","&nbsp;","&nbsp;","&nbsp;"
"licuala      spinosa","$135.00","&nbsp;","&nbsp;"
"licuala      sp. besar bintulu","&nbsp;","&nbsp;","&nbsp;"
"linospadix      apetiolata","&nbsp;","&nbsp;","&nbsp;"
"linospadix      longicruris","&nbsp;","&nbsp;","&nbsp;"
"linospadix      minor","$65.00","&nbsp;","&nbsp;"
"linospadix      monostachys","&nbsp;","&nbsp;","&nbsp;"
"livistona      benthamii","&nbsp;","&nbsp;","&nbsp;"
"livistona      chinensis","$45.00","$115.00","&nbsp;"
"livistona      conchinsinensis","&nbsp;","&nbsp;","&nbsp;"
"livistona      concinna","$65.00","&nbsp;","&nbsp;"
"livistona      decepiens","$55.00","$115.00","$150.00"
"livistona      drudei","&nbsp;","&nbsp;","&nbsp;"
"livistona      endauensis","&nbsp;","&nbsp;","&nbsp;"
"livistona      jenkinsiana","$55.00","$155.00","&nbsp;"
"livistona      kimberleyana","&nbsp;","&nbsp;","&nbsp;"
"livistona      lanuginosa","$55.00","$155.00","&nbsp;"
"livistona      mariae occidentalis","$55.00","&nbsp;","&nbsp;"
"livistona      muellerii","&nbsp;","&nbsp;","&nbsp;"
"livistona      rotundifoilia","$55.00","&nbsp;","&nbsp;"
"livistona      saribus","$55.00","$155.00","&nbsp;"
"livistona      victoriae","$55.00","$155.00","&nbsp;"
"livistona      woodfordii","&nbsp;","&nbsp;","&nbsp;"
"lytocaryum      hoehnei","&nbsp;","&nbsp;","&nbsp;"
"lytocaryum      weddellianum","$85.00","&nbsp;","&nbsp;"
"manicaria      saccifera","&nbsp;","&nbsp;","&nbsp;"
"marojejya      dariani","&nbsp;","&nbsp;","&nbsp;"
"marojejya      insignis","&nbsp;","&nbsp;","&nbsp;"
"masoala      kona","$55.00","&nbsp;","&nbsp;"
"maurita      ssp. canara","$98.00","&nbsp;","&nbsp;"
"metroxylon      solomense","&nbsp;","&nbsp;","&nbsp;"
"nannorrhops      ritchiana","&nbsp;","&nbsp;","&nbsp;"
"nengella      sp. highland","&nbsp;","&nbsp;","&nbsp;"
"normanbya      normanbyi","$55.00","$215.00","&nbsp;"
"oncosperma      horridum","&nbsp;","&nbsp;","&nbsp;"
"orania      longisquama","&nbsp;","&nbsp;","$800.00"
"orania      ravaka","$135.00","&nbsp;","&nbsp;"
"orania      trispatha","&nbsp;","&nbsp;","&nbsp;"
"oraniopsis      appendiculata","&nbsp;","&nbsp;","&nbsp;"
"parajubaea      cocoides","&nbsp;","&nbsp;","&nbsp;"
"parajubaea      torallyii","&nbsp;","&nbsp;","&nbsp;"
"parajubaea      torallyii","$135.00","&nbsp;","&nbsp;"
"parajubaea      torallyii","$185.00","&nbsp;","&nbsp;"
"pelogodoxa      henryana","&nbsp;","$310.00","&nbsp;"
"phoenix      canariensis","&nbsp;","&nbsp;","$6500 to $15000"
"phoenix      dactylifera","&nbsp;","&nbsp;","&nbsp;"
"phoenix dactylifera deglect noor","&nbsp;","&nbsp;","$3800 to $9500"
"phoenix dactylifera medjool","&nbsp;","&nbsp;","$3100 to $9500"
"phoenix dactylifera zahadi","&nbsp;","&nbsp;","$3800 to $9500"
