"NULL","opphavsland","tidsrom","kanal","sentrale rolleinnhavere"
"baywatch","usa","1989–2001 (prod.) sendt i norge fra 1993","tv2 og tv3","david hasselhoff mitzi kapture pamela anderson carmen electra yasmine bleeth"
"the simpsons","usa","1989 (prod.) –","tv3","animasjonsserie av matt groening med hovedfigurene homer marge bart lisa og maggie simpson ."
"seinfeld","usa","1993–99","tv2","jerry seinfeld julia louise-dreyfus jason alexander michael richards"
"frasier","usa","1994–2004","tv2","kelsey grammer david hyde pierce john mahoney jane leeves peri gilpin"
"friends (venner for livet)","usa","1994–2004","tv2","courteney cox arquette jennifer aniston lisa kudrow matthew perry matt leblanc david schwimmer"
"alle elsker raymond","usa","1996–2005 (prod.) sendt i norge fra 1997","tv2 og tv3","ray romano patricia heaton brad garrett peter boyle doris roberts"
"karl &amp; co","norge","1998–2001","tv2","nils vogt knut lystad minken fosheim harald heide-steen grethe kausland"
"sex og singellliv","usa","1998–2004","tv3","sarah jessica parker kim cattrall kristin davis cynthia nixon"
"kongen av queens","usa","1999–","tv3","kevin james leah remini jerry stiller victor williams patton oswalt"
"borettslaget","norge","2002","nrk","robert stoltenberg"
"holms","norge","2002–2006","tv2","karen louise grindvold anne marie ottersen wenche kvamme lasse lindtner"
"heia tufte!","norge","2005–","tvnorge","erik thorstvedt m.fl"
"etaten","norge","2006","nrk","atle antonsen anne marit jacobsen ingar helge gimle jan sælid siw anita andersen"
"NULL","NULL","NULL","NULL","NULL"
"kriminal- og actionserier","NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL","NULL"
"perry mason","usa","1961–65","nrk","raymond burr barbara hale"
"helgenen (the saint)","storbr.","1963–69","nrk","roger moore"
"jaget (the fugitive)","usa","1968–69","nrk","david janssen barry morse bill raisch"
"jason king","storbr.","1970–72","nrk","peter wyngarde"
"ironside","usa","1970–73","nrk","raymond burr"
"gullguttene (the persuaders)","storbr.","1971–72","nrk","roger moore tony curtis"
"colombo","usa","1972–76","nrk","peter falk"
"mc cloud","usa","1972–78","nrk","dennis weaver"
"førstebetjent keller (der kommisar)","tyskland","1973","nrk","erik ode"
"helmer og sigurdsson","norge","1976–77","nrk","anders hatlo alf nordvang ingolf rogde"
"kojak","usa","1975–77","nrk","telly savalas"
"charlie's engler","usa","1977–78","nrk","farrah fawcett kate jackson jaclyn smith"
"derrick","tyskland","1977–98","nrk","horst tappert fritz wepper"
"magnum p.i.","usa","1980–88 (prod.)","nrk","tom selleck john hillerman roger e. mosley larry manetti"
"cagney og lacey","usa","1982–88 (prod.)","nrk","sharon gless tyne daly"
"bergerac","storbritannia","1982–92","nrk","john nettles"
"hunter","usa","1984–91 (prod.)","nrk","fred dryer stephanie kramer"
"inspector dalgliesh","storbritannia","1984–","nrk","roy marsden"
"miami (miami vice)","usa","1986 1988 1991","nrk tv3","don johnsson phillip michael thomas"
"inspektør wexford (the ruth rendell mysteries)","storbritannia","1988–2000 (prod.)","tvnorge","george baker christopher ravenscroft louie ramsay"
"poirot","storbritannia","1989–97","nrk","david suchet"
"inspektør morse","storbritannia","1992–2000","nrk","john thaw kevin whately"
"detektiv jack frost (a touch of frost)","storbritannia","1992 (prod.) –","nrk","david jason"
"nypd blue","usa","1993–2005 (prod.)","tv2","dennis franz jimmy smits rick schroder mark-paul gosselaar"
"wycliffe","storbritannia","1994 – 98 (prod.)","tv2","jack shepherd helen masters jimmy yuill charlie hayes"
"murder one","usa","1995–97","tv2","daniel benzali anthony la paglia"
"mord og mysterier (the midsomer murders)","storbritannia","1997 (prod.) –","tv2","john nettles laura howard jane wymark"
"politiagentane (stingers)","australlia","1998–2004 (prod.)","nrk","peter phelps gary sweet jacinta stapleton kate kendall anita"
"24","usa","2004–","tv2","kiefer sutherland elisha cuthbert sarah clarke carlos bernard xander berkeley mary lynn rajskub dennis haysbert"
