"photo link","photo id","geographic name","features"
"NULL","sts131-e-12035","australia-sa","pan lake gairdnerport augustaspace shuttle discovery"
"NULL","sts044-81-55","australia-sa","simpson desert"
"NULL","sts056-110-81","australia-t","anderson bay"
"NULL","sts056-110-80","australia-t","eddystone point"
"NULL","sts081-713-86","australia-t","entire island smoke"
"NULL","sts056-104-88","australia-t","flinders i. c.barren i."
"NULL","sts056-110-79","australia-t","flinders island"
"NULL","sts081-715-69","australia-t","hobart"
"NULL","sts081-749-7","australia-t","king island"
"NULL","nasa7-710-64","australia-t","smoke great oyster bay"
"NULL","sts064-72-72","australia-v","agriculture burn scars"
"NULL","sts062-106-42","australia-v","burn scars l. hindmarsh"
"NULL","sts081-720-23","australia-v","coast lake corangamite mir"
"NULL","sts056-85-81","australia-v","king i. s of melbourne"
"NULL","sts61a-50-70","australia-v","lake eildon"
"NULL","nasa7-710-61","australia-v","melbourne venus bay"
"NULL","sts056-153-70","australia-v","panview emurray rcst."
"NULL","sts033-79-35","australia-wa","cambridge gulf"
"NULL","sts056-100-70","australia-wa","coast near hopetown"
"NULL","sts035-76-62","australia-wa","coast-eighty mile beach"
"NULL","sts035-76-40","australia-wa","coast-lake mcleod"
"NULL","sts035-76-50","australia-wa","coast-mermaid sound"
"NULL","sts035-76-44","australia-wa","coast-ningaloo reef"
"NULL","sts035-76-65","australia-wa","coast-roebuck bay"
"NULL","sts035-76-56","australia-wa","coast-shaw r.-grey r."
"NULL","sts035-76-54","australia-wa","coast-turner river"
"NULL","sts056-153-53","australia-wa","cstbonaparte islands"
"NULL","sts046-75-81","australia-wa","cstport hedland area"
"NULL","sts066-89-19","australia-wa","dry riverslakesagric."
"NULL","sts048-152-176","australia-wa","eighty mile beach"
"NULL","sts060-93-100","australia-wa","exmouth gulf"
"NULL","sts067-722a-53","australia-wa","exmouth gulf cape range"
"NULL","sts073-753-18","australia-wa","exmouth gulfsed.desert"
"NULL","sts056-96-47","australia-wa","fitzroy river airport"
"NULL","sts41d-42-23","australia-wa","gascoyne river"
"NULL","sts035-76-66","australia-wa","geegully creek"
"NULL","sts068-161-97","australia-wa","gibson des. carnegie l."
"NULL","sts043-151-286","australia-wa","great sandy desert lake dora"
"NULL","sts048-83-77","australia-wa","great sandy desertlakes"
"NULL","sts051-76-93","australia-wa","gregory salt l. desert"
"NULL","sts031-152-dl","australia-wa","hamersley range"
"NULL","sts057-90-9","australia-wa","king sound coast"
"NULL","sts059-157-92","australia-wa","king soundbuccaneer arc"
"NULL","sts057-90-12","australia-wa","king soundcoastinland"
"NULL","sts033-82-21","australia-wa","lake argyle"
"NULL","sts008-48-2514","australia-wa","lake blanche lake auld"
"NULL","sts008-48-2510","australia-wa","lake disappointment"
"NULL","sts61a-37-18","australia-wa","lake hinds"
"NULL","sts033-73-97","australia-wa","lake mackay"
"NULL","sts033-79-18","australia-wa","lake mcleod"
"NULL","sts062-114-15","australia-wa","lake mcleod gascoyne r."
"NULL","sts033-73-90","australia-wa","lake seabrook"
"NULL","sts51i-42-26","australia-wa","lyons river"
"NULL","sts033-79-33","australia-wa","napier broome bay"
"NULL","sts061-83-15","australia-wa","pan-shark b.darling ra."
"NULL","sts073-735-83","australia-wa","pan-shark b.wooramel r."
"NULL","sts035-76-34","australia-wa","peron peninsula"
"NULL","nasa7-711-62","australia-wa","perth lagoons sediment"
"NULL","sts61a-31-37","australia-wa","recherche archcoastagr"
"NULL","sts033-79-31","australia-wa","saint george basin"
"NULL","sts035-76-35","australia-wa","shark bay"
"NULL","sts056-100-69","australia-wa","whalebone pt. bremer b."
"NULL","nm23-776-843","austria","alps"
"NULL","nasa7-722-46e","austria","innsbruck valleys snow"
"NULL","nm23-777-734","austria","salzburg"
"NULL","nm23-740-72","azerbaijan","apsheronskiy peninsula"
"NULL","sts040-74-2","azores","picofaialsao jorge isl"
"NULL","sts41b-39-2159","bahamas","bight of acklins bay"
"NULL","nm23-739-100","bahamas","eleuthera island"
"NULL","sts091-731-32","bahamas","freeportgrand bahama i."
"NULL","iss028-e-15808","bahamas","long islandexuma islandspace shuttle atlantis progress spacecraft"
"NULL","sts091-731-28","bahamas","north and south bimini"
"NULL","sts029-90-9","bahamas","tongue of the ocean"
"NULL","sts078-748-12","bahrain","islandal manamahshoals"
"NULL","sts085-750-15","balearic islands","ibiza island"
"NULL","sts077-708-27","balearic islands","ibiza island"
"NULL","sts090-714-74","balearic islands","mallorcapalmab.alcudia"
"NULL","sts077-703-25","balearic islands","pan-menorcamallorcacst"
"NULL","sts091-702-23","bangladesh","ganges river"
"NULL","sts027-39-28","bangladesh","ganges river delta"
"NULL","sts51f-31-69","bangladesh","monsoon"
"NULL","sts075-705-57","bangladesh","pan-brahmaputra river"
"NULL","sts067-716a-66","belize","reefs turneffe island"
"NULL","iss004-e-11078","belize","smoke plumes coast reefs"
"NULL","sl3-115-1911","bolivia","l.poopos.uyunis.coipas"
"NULL","sts51a-45-55","bolivia","lago coipasa"
"NULL","sts026-40-64","bolivia","lago coipasa volcanoes"
"NULL","sts51j-144-23","bolivia","lago poopo"
"NULL","sts078-737-14","bolivia","lake coipasa volcanoes"
"NULL","sts048-72-49","bolivia","lake poopo"
"NULL","sts057-99-65","bolivia","lake poopo area"
"NULL","sts073-735-47","bolivia","lake poopo drainage"
"NULL","sts064-91-22","bolivia","lake poopo dry"
"NULL","sts084-706-69","bolivia","lake poopo dust"
"NULL","sts077-713-64","bolivia","lake pooposunglintmts."
"NULL","sts51g-37-28","bolivia","lake titicaca"
"NULL","sts078-735-33","bolivia","lake titicaca mountains"
"NULL","sts079-785-16","bolivia","pan-salar de uyunicoast"
"NULL","sts51a-45-58","bolivia","rio grande"
"NULL","sts073-e-5338","bolivia","rio parapeti agr. mts."
"NULL","sts41b-41-2335","bolivia","river grande guapay"
"NULL","sts51i-40-71","bolivia","santa cruz"
"NULL","sts079-782-46","bosnia-herzegovina","dinaric alps"
"NULL","sts094-753-88","botswana","okavanga delta"
"NULL","nm22-723-83","botswana","okavango river delta"
"NULL","sts51i-33-53","botswana","okvango swamp"
"NULL","sts078-751-94","brazil","amazon river"
"NULL","iss017-e-13856","brazil","amazon river lakes r. glint"
"NULL","sts091-729-54","brazil","bay of paranagua cities"
"NULL","sts094-746-11","brazil","branco river acre river defor."
"NULL","sts038-78-90","brazil","brasilia"
"NULL","sts089-710-11","brazil","cape frio"
"NULL","sts046-80-36","brazil","clear cutting"
"NULL","sts046-103-53","brazil","clear cuttingcities"
"NULL","sts41d-40-22","brazil","clouds"
"NULL","sts61c-40-96","brazil","coastr.paraiba do sul"
"NULL","sts51g-34-60","brazil","deforestation rio jamari"
"NULL","sts079-785-102","brazil","deforestationrio jamari"
"NULL","sts089-710-24","brazil","doce river for. ipatinga"
"NULL","sts056-98-8","brazil","ilha solteira reservoir"
"NULL","sts032-81-79","brazil","lag.mirimlago dos patos"
"NULL","sts61c-33-84","brazil","manaus amazonr.r.negro"
"NULL","sts046-88-23","brazil","massive clearing smoke"
"NULL","sts091-708-14","brazil","mts.r. paraguaicaceres"
"NULL","sts056-154-194","brazil","parana river"
"NULL","sts054-86-1","brazil","point baleia caravelas"
"NULL","nm23-716-396","brazil","porto alegre"
"NULL","sts51i-37-37","brazil","r. paranar.paranapanema"
"NULL","sts51a-45-44","brazil","represa tres marias"
"NULL","nm22-737-10","brazil","res.r.paranaibaagr.cy"
"NULL","nm22-737-12","brazil","res.rio paranar. tiete"
"NULL","sts091-729-43","brazil","rio grande l. dos patos"
"NULL","sts094-713-12","brazil","rio negro manaus"
"NULL","sts61c-33-72","brazil","rio negro rio branco"
"NULL","sts51i-35-27","brazil","rio sao francisco fires"
"NULL","sts094-703-90","brazil","rio tapajos rio crepori"
"NULL","sts094-703-99","brazil","rio tocatins"
"NULL","sts094-703-96","brazil","rio xingu"
"NULL","sts046-78-26","brazil","rondoniadeforestcity"
"NULL","sts051-76-28","brazil","sabradinho res. smoke"
"NULL","nm23-721-551","brazil","salvador"
"NULL","sts068-230-94","brazil","sand deposits pt.mangue"
"NULL","sts051-75-92","brazil","sao paulo reservoirs"
"NULL","sts41b-41-2347","brazil","thunderstorms"
"NULL","sts61a-32-30","cambodia","mekong river"
"NULL","sts61a-32-29","cambodia","mekong river sunglint"
"NULL","sts059-84-80","cambodia","tonle sap"
"NULL","sts029-85-39","cameroon","tibati reservoir"
"NULL","sts028-82-32","canada-a","athabasca river"
"NULL","sts085-707-61","canada-a","calgary"
"NULL","nm21-768-22","canada-a","calgary bow river agr."
"NULL","sts074-714-3","canada-a","calgaryagr.snowbow r."
"NULL","sts085-707-64","canada-a","edmonton"
"NULL","sts028-82-48","canada-a","peace river"
"NULL","sts028-72-54","canada-a","saskatchewan river"
"NULL","sts028-72-49","canada-bc","adams lake"
"NULL","sts068-201-111","canada-bc","canadian rocky mts."
"NULL","sts068-230-79","canada-bc","coast mts. glaciers"
"NULL","sts028-83-27","canada-bc","columbia river"
"NULL","sts068-170-55b","canada-bc","kamloops l. forests r."
"NULL","sts028-83-26","canada-bc","kamloops thompson river"
"NULL","sts085-707-58","canada-bc","okanagan lake"
"NULL","sts039-96-64","canada-bc","okanagan lake area"
"NULL","sts085-715-33","canada-bc","pan-vancouver"
"NULL","sts028-74-70","canada-bc","rocky mountains"
"NULL","sts028-72-44","canada-bc","vancouver"
"NULL","sts085-709-39","canada-bc","williston lake reservoir"
"NULL","sts068-174-121","canada-m","cedar lake/reservoir"
"NULL","sts068-202-90","canada-m","gimli lake winnipeg sediment"
"NULL","sts068-174-122","canada-m","grand rapids area"
"NULL","sts028-152-149","canada-m","nelson r hudson bay"
"NULL","sts085-501-133","canada-m","pelicanrock & swan lake"
"NULL","sts085-750-4","canada-m","winnipeg"
"NULL","sts056-80-9","canada-n","avalon pen.ice flows"
"NULL","nm23-759-564","canada-n","avalon peninsula"
"NULL","sts039-601-49","canada-n","jet stream ice flows"
"NULL","sts028-152-152","canada-n","stephenvillestgeorge p"
"NULL","sts047-78-62","canada-ns","cape breton island"
"NULL","sts059-216-78","canada-ns","chedobucto bay area"
"NULL","sts068-161-38","canada-ns","halifax new glasgow"
"NULL","sts068-236-92","canada-ns","halifax numerous lakes"
"NULL","sts039-85-16","canada-ns","minas chan./basin agr."
"NULL","sts059-216-79","canada-ns","sable island"
"NULL","sts066-121-27","canada-o","akimiski i. james bay"
"NULL","sts085-713-70","canada-o","akimiski island"
"NULL","sts064-205-50","canada-o","clouds haze"
"NULL","sts066-124-66","canada-o","detroit l. st. clair"
"NULL","sts085-716-22","canada-o","james bay akimiski i."
"NULL","sts068-164-131","canada-o","l. erie agric.sunglint"
"NULL","sts059-234-33","canada-o","l. st. clair delta riv"
"NULL","nasa7-723-36","canada-o","lake of the woods agr."
"NULL","sts068-229-19","canada-o","north chan manitoulin i"
"NULL","sts085-506-77","canada-o","ottawa st. lawrence r."
"NULL","nm23-746-711","canada-o","royale islandthunder b."
"NULL","sts068-230-83","canada-o","thunder bay mountains"
"NULL","sts068-200-59","canada-o","thunder bay port arthur"
"NULL","sts085-721-44","canada-q","cape breton island"
"NULL","sts61a-35-86","canada-q","clearwater lakes"
"NULL","sts085-501-139","canada-q","george river lakes"
"NULL","sts039-602-55","canada-q","james bay ice flows"
"NULL","sts61a-34-25","canada-q","lake saint francis"
"NULL","sts009-48-3139","canada-q","manicouagan reservoir"
"NULL","sts085-506-81","canada-q","montreal ottawa river"
"NULL","sts060-94-71","canada-q","montreal st. lawrence r"
"NULL","sts51b-146-158","canada-q","montrealst. lawrence r."
"NULL","sts61a-33-57","canada-q","saint lawrence river"
"NULL","sts028-82-59","canada-s","agriculture yorkton"
"NULL","sts071-748-49","canada-s","last mountain lake agr."
"NULL","nm21-768-31","canada-s","regina agriculture"
"NULL","sts066-154-114","canada-s","saskatchewan river"
"NULL","sts043-96-54","canary islands","cloud patternsi.wakes"
"NULL","sts047-85-92","canary islands","la palma iisland wake"
"NULL","sts043-79-97","canary islands","tenerifecalderas. cruz"
"NULL","iss011-e-10509","caribbean sea","pan-hurricane emily eye moon"
"NULL","iss009-e-22160","caribbean sea","pan-hurricane ivan bands eye"
"NULL","sts059-227-42","cayman islands","grand cayman island"
"NULL","sts026-43-98","chad","borkou tibesti ennedi"
"NULL","sts061-75-22","chad","l. chad chari r. des."
"NULL","sts052-99-9","chad","lake chad"
"NULL","sts095-713-92","chad","lake chad smoke"
"NULL","as07-8-1932","chad","lake chad window obstruction"
"NULL","sts052-73-14","chad","tibesti mts touside vol"
"NULL","sts038-86-104","chagos archipelago","diego garcia"
"NULL","sts049-71-85","chagos archipelago","salomon is. blenheim rf"
"NULL","nm23-764-236","chile","andes mountains"
"NULL","sts081-742-71","chile","andes lake laia"
"NULL","sts056-152-249","chile","atacama desaltiplano"
"NULL","sts091-729-4","chile","campana island prat i."
"NULL","sts060-85-ah","chile","chonos archipelago mts."
"NULL","sts060-85-ae","chile","coast lakes volcanoes"
"NULL","nm23-764-245","chile","concepcion"
"NULL","sts081-724-83","chile","gulf of corcovado"
"NULL","sts089-707-91","chile","lake alumine"
"NULL","sts089-707-88","chile","lake villarrica"
"NULL","sts055-151-58","chile","lascar voldust plumes"
"NULL","sts070-717-15","chile","lascar volcanomts.pans"
"NULL","nm23-720-597","chile","maullin bay"
"NULL","sts060-92-14","chile","mount melimoyu"
"NULL","sts058-90-77","china","bohai bayyellow r delta"
"NULL","sts047-151-24","china","bostel lake tien shan"
"NULL","sts066-118-23","china","ch'ing-hai l. mountains"
"NULL","sts075-719-7","china","coast east of hong kong"
"NULL","sts090-707-74","china","dalianlushunjinzhou b."
"NULL","sts034-78-31","china","dongting l xiang r agr"
"NULL","sts080-748-78","china","er l.dalidiancang mts."
"NULL","sts066-95-95","china","gobi desert dust storm"
"NULL","sts048-610-34","china","gobi desertalluvial fan"
"NULL","sts068-162-120","china","gobi desertyellow rmts"
"NULL","iss008-e-13304","china","himalaya range mt. everest"
"NULL","sts009-33-1276","china","hong kong"
"NULL","sts068-239-83","china","hsin-ch'engagrhuang r."
"NULL","sts056-152-38","china","karakoram raglaciers"
"NULL","sts047-153-193","china","kumtag des. lop nur"
"NULL","nasa6-701-38","china","kunlun mountains"
"NULL","sts040-613-11","china","kunlun mts. tibet plat."
"NULL","sts080-748-80","china","kunming dian lake agr."
"NULL","sts047-151-26","china","lop nur"
"NULL","sts087-720-62","china","p'o-mo lake"
"NULL","sts058-74-10","china","pan-tibetan platlakes"
"NULL","sts61c-46-10","china","pratas island"
"NULL","nm23-755-553","china","smoke hulun lake"
"NULL","sts068-163-136","china","takla makan des drain."
"NULL","sts074-706-23","china","takla makan desertdunes"
"NULL","sts040-609-24","china","takla makan kunlun ra."
"NULL","sts084-708-67","china","tibet plateau l. paiku"
"NULL","sts41g-120-22","china","tibet/himalayas"
"NULL","sts131-e-11827","china","tibetan plateauhimalaya mountain rangeglaciers"
"NULL","sts091-719-4","china","tien shan agr. urumqi"
"NULL","sts087-713-1","china","yamzho lake"
"NULL","sts079-784-35","china","yellow r.deltaagr.sed."
"NULL","sts087-701-53","china","yu-lin point"
"NULL","sts117-e-6998","clouds","polar mesospheric clouds"
"NULL","sts073-760-32","colombia","barranquillamagdalena r"
"NULL","sts068-273-12","colombia","city of barranquilla"
"NULL","sts046-104-27","colombia","guajira peninsula"
"NULL","sts032-71-39","colombia","santa marta mtns coast"
"NULL","sts064-73-97","cook islands","rarotonga i. mts.coral"
"NULL","sts081-742-27","costa rica","arenal volcano"
"NULL","sts081-742-30","costa rica","nicoya peninsula"
"NULL","sts081-742-29","costa rica","nicoya peninsula agr."
"NULL","sts61a-200-46","crete","coast eddies sunglint"
"NULL","sts081-747-34","croatia","brac island"
"NULL","sts036-152-237","croatia","istria pentriesteg.ven"
"NULL","sts081-747-35","croatia","peljesac island"
"NULL","sts081-747-31","croatia","pula peninsula"
"NULL","sts094-743-7","cuba","bay of nipe"
"NULL","sts094-720-4","cuba","havana"
"NULL","nm22-724-48","cuba","havanacoastagriculture"
"NULL","sts077-717-18","cyprus","entire i. turkish coast"
"NULL","sts079-782-50","cyprus","entire islandcloud eddy"
"NULL","sts067-703d-90","dem. rep. of congo","kinshasa brazzaville"
"NULL","sts057-104-62","dem. rep. of congo","lake kabamba"
"NULL","sts51g-34-12","dem. rep. of congo","lake tanganyika"
"NULL","sts084-730-94","dem. rep. of congo","zaire river mouth"
"NULL","sts067-703d-93","dem. rep. of congo","zaire river l. tumba"
"NULL","sts085-721-64","denmark","bornholm"
"NULL","sts085-708-28","denmark","langelands strait"
"NULL","sts059-202-6","denmark","limfjorden"
"NULL","sts059-202-10","denmark","limsfjorden"
"NULL","sts085-708-34","denmark","lolland"
"NULL","sts059-l22-115","denmark","skagerrak kattegat"
"NULL","sts033-84-84","djibouti","kharab bay-lake asal"
"NULL","sts051-72-86","dominican republic","barahona rincon l agr."
"NULL","sts061-79-81","dominican republic","hispaniola hubble"
"NULL","sts051-72-85","dominican republic","l. enriquillo agiric."
"NULL","sts094-721-45","dominican republic","ocoa bay neiba bay"
"NULL","sts049-74-68","dominican republic","santo domingo"
"NULL","sts51i-45-54","easter island","easter island"
"NULL","sts51g-38-43","ecuador","guayaquil rio guayas"
"NULL","sts036-151-100","egypt","alexandria sediment"
"NULL","sts046-75-18","egypt","aswan dam lake nasser"
"NULL","sts062-108-58","egypt","cairo nile river agric"
"NULL","sts040-78-25","egypt","great bitter l.g ofsuez"
"NULL","nm23-716-419","egypt","gulf of aqaba"
"NULL","sts040-78-88","egypt","gulf of suezaqabasinai"
"NULL","sts052-102-103","egypt","lake nasser aswan dam"
"NULL","sts077-718-54","egypt","nile river & delta agr."
"NULL","sts081-723-10","egypt","nile river delta cairo"
"NULL","sts078-731-92","egypt","nile river lake nasser"
"NULL","sts026-41-58","egypt","nile river luxor bend"
"NULL","sts077-710-91","egypt","nilesuez canall. qarun"
"NULL","sts087-718-29","egypt","sinai peninsula"
"NULL","sts052-74-58","egypt","suez canal area"
"NULL","sts036-75-24","egypt","sunglint"
"NULL","sts081-728-57","el salvador","san salvador volcano"
"NULL","sts049-89-38","el salvador","san salvadorcst."
"NULL","sts61c-31-47","el salvador","vol. san miguel coast"
"NULL","sts61c-31-45","el salvador","vol.santa anal.coatepeq"
"NULL","sts032-101-27","ethiopia","afar depression"
"NULL","sts41b-41-2405","ethiopia","ahmar mountains smoke"
"NULL","sts61a-43-42","ethiopia","danakil depr. afrera l."
"NULL","sts026-33-80","ethiopia","erta ale"
"NULL","sts032-71-ad","ethiopia","l.shalal.ziwayl.awasa"
"NULL","sts069-713-90","ethiopia","lake rudolf mts. des."
"NULL","sts041-83-87","ethiopia","lake tana"
"NULL","sts61a-36-97","ethiopia","red sea cst lava fields"
"NULL","nm22-720-19","falkland islands","berkley sound bays"
"NULL","sts089-717-25","falkland islands","south georgia island"
"NULL","nm23-707-423","federal republic of yugoslavia","lake scutari adriatic coast"
"NULL","sts068-246-100","france","allier r cities agric."
"NULL","sts084-714-4","france","corsica"
"NULL","nm23-703-204","france","eroded peak"
"NULL","sts047-110-109","france","gironde river bordeaux"
"NULL","nm23-776-820","france","lake geneva"
"NULL","sts047-94-6","france","le havre area"
"NULL","sts068-246-98","france","loire r. cities agric."
"NULL","sts068-209-24","france","loire river agriculture"
"NULL","sts028-78-64","france","marseille"
"NULL","nm23-743-43","france","marseille berre lake"
"NULL","sts047-94-10","france","paris area"
"NULL","sts51b-31-81","france","pyrenees"
"NULL","nm23-703-206","france","rhone riverberre lagoon"
"NULL","nm22-723-69","galapagos islands","isabela fernandina is."
"NULL","sts077-711-11","galapagos islands","isabelasan salvadorvol"
"NULL","sts068-168-28","galapagos islands","isabella & fernandina is"
"NULL","sts51j-41-32","galapagos islands","isla fernandina"
"NULL","nasa7-722-46b","germany","bodensee rhine river"
"NULL","sts059-228-19","germany","mining area near cottbus"
"NULL","nm23-777-730","germany","munich"
