"species","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"ruffed grouse","3/13","3/14","NULL","11/3","NULL","NULL","NULL","12/17","NULL","NULL","NULL","NULL"
"wild turkey","7/4","3/31","1/9","1/31","2/10","3/15","1/1","1/15","1/1","1/4","1/12","3/19"
"red-throated loon","12/4","6/2","NULL","4/10","NULL","3/13","4/24","NULL","NULL","4/20","12/16","3/13"
"common loon","5/13","4/14","10/6","5/17","NULL","4/18","4/26","4/25","1/1","1/7","1/2","4/27"
"pied-billed grebe","4/21","1/2","1/2","3/18","1/1","1/5","3/27","3/27","4/15","1/2","4/8","4/5"
"horned grebe","10/25","10/30","4/21","NULL","10/17","10/3","NULL","10/29","NULL","3/25","11/9","11/2"
"red-necked grebe","NULL","10/23","4/9","9/29","10/22","10/17","11/7","1/1","11/2","NULL","10/26","NULL"
"american white pelican","NULL","NULL","NULL","NULL","NULL","NULL","12/9","NULL","NULL","NULL","NULL","NULL"
"double-crested cormorant","yes","1/4","1/16","3/28","1/10","3/22","3/27","1/10","1/1","1/1","3/16","3/11"
"great cormorant","yes","1/4","2/26","3/10","2/12","1/5","1/7","1/1","1/1","3/17","2/2","1/4"
"american bittern","5/16","8/24","NULL","NULL","5/19","8/29","NULL","NULL","4/16","NULL","NULL","4/20"
"least bittern","5/16","NULL","NULL","NULL","NULL","NULL","8/5","NULL","NULL","NULL","NULL","NULL"
"great blue heron","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/2","1/2","1/4"
"great egret","7/31","6/18","5/21","4/8","5/9","5/19","4/28","6/9","7/24","5/24","8/27","8/17"
"snowy egret","NULL","8/14","NULL","7/29","NULL","NULL","7/30","7/31","8/16","7/18","NULL","8/12"
"little blue heron","NULL","NULL","NULL","7/29","9/7","NULL","NULL","7/31","NULL","NULL","NULL","8/21"
"tricolored heron","NULL","NULL","NULL","NULL","9/7","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"green heron","5/7","5/7","7/7","5/2","5/10","4/29","5/1","5/22","8/27","5/26","5/1","4/29"
"black-crowned night-heron","4/8","4/30","4/12","4/16","4/13","4/8","4/13","4/13","5/1","4/17","4/12","4/26"
"glossy ibis","NULL","5/31","NULL","4/12","8/24","7/26","4/9","7/12","8/16","NULL","NULL","NULL"
"turkey vulture","yes","3/9","3/3","2/18","2/23","3/14","2/23","2/12","2/4","1/5","1/9","2/14"
"osprey","5/14","5/8","4/29","3/27","4/18","3/24","4/24","3/27","4/17","5/5","4/24","5/11"
"bald eagle","NULL","1/10","NULL","1/21","2/7","1/1","1/1","1/1","1/1","1/24","1/5","2/15"
"northern harrier","9/10","6/9","4/14","4/8","3/2","5/3","4/25","8/27","4/7","5/2","2/29","4/17"
"sharp-shinned hawk","4/2","1/2","1/3","1/1","4/25","1/11","2/5","1/1","1/1","4/24","1/29","1/6"
"cooper's hawk","6/27","1/1","1/10","2/8","1/1","1/9","2/22","1/1","1/2","1/8","1/4","1/7"
"northern goshawk","3/2","3/3","NULL","10/22","9/18","NULL","9/17","4/3","4/16","NULL","9/12","9/15"
"red-shouldered hawk","2/17","1/2","1/3","2/14","3/30","3/22","9/16","5/28","NULL","5/4","9/3","9/16"
"broad-winged hawk","4/29","4/19","5/3","4/14","4/25","5/3","4/15","9/11","8/19","5/30","5/1","4/25"
"red-tailed hawk","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"rough-legged hawk","NULL","NULL","1/30","1/8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"american kestrel","1/30","3/20","3/18","4/5","4/2","3/15","4/7","4/28","4/8","1/7","1/17","4/7"
"merlin","yes","8/24","4/2","4/16","1/20","1/1","1/4","1/3","1/21","3/23","1/29","1/5"
"gyrfalcon","4/21","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"peregrine falcon","10/10","10/9","10/21","NULL","1/10","1/6","1/1","2/6","1/8","1/3","10/14","2/8"
"king rail","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5/15","NULL","NULL","NULL"
"virginia rail","5/21","4/28","NULL","5/8","4/23","4/19","4/24","4/26","4/17","5/28","4/22","4/26"
"sora","9/13","8/14","NULL","9/9","9/25","9/1","NULL","7/12","7/24","8/19","NULL","5/6"
"common moorhen","NULL","NULL","NULL","NULL","NULL","NULL","7/30","NULL","NULL","NULL","10/13","5/15"
"american coot","1/5","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"sandhill crane","NULL","NULL","NULL","8/19","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"black-bellied plover","9/17","8/14","8/12","5/24","NULL","NULL","NULL","9/6","NULL","NULL","NULL","8/29"
"american golden-plover","9/17","8/31","9/12","9/9","9/1","10/1","NULL","10/2","NULL","NULL","NULL","8/29"
"semipalmated plover","8/23","5/22","8/12","5/24","8/19","5/20","5/24","5/25","8/5","7/18","9/7","8/17"
"killdeer","3/15","3/3","2/26","3/15","3/2","3/13","3/7","3/19","3/12","3/4","3/4","3/8"
"spotted sandpiper","4/30","4/24","4/30","5/6","4/29","4/30","5/5","5/13","5/24","4/29","5/2","4/24"
"solitary sandpiper","5/12","5/9","5/5","5/5","5/4","5/6","5/1","5/14","5/7","5/5","5/6","4/27"
"greater yellowlegs","7/17","5/6","4/29","5/15","5/5","8/1","5/1","5/14","8/5","8/17","5/17","8/17"
"lesser yellowlegs","7/26","5/12","5/8","5/13","5/4","4/26","5/1","5/14","7/24","8/18","5/10","8/14"
"upland sandpiper","4/19","5/1","6/13","8/1","7/15","6/12","6/4","6/13","NULL","NULL","NULL","NULL"
"hudsonian godwit","NULL","9/17","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"sanderling","9/17","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"semipalmated sandpiper","8/23","9/2","8/12","5/24","8/19","7/26","5/24","8/21","7/24","8/17","9/7","8/21"
"western sandpiper","NULL","NULL","NULL","NULL","NULL","9/25","NULL","NULL","NULL","8/30","NULL","NULL"
"least sandpiper","5/11","5/9","5/8","5/13","5/6","5/9","5/1","5/14","5/14","5/12","5/10","5/16"
"white-rumped sandpiper","9/2","8/13","9/6","NULL","10/25","8/24","NULL","NULL","9/28","NULL","NULL","8/21"
"baird's sandpiper","9/1","NULL","NULL","NULL","8/25","8/24","NULL","NULL","NULL","NULL","NULL","8/29"
"pectoral sandpiper","8/23","4/15","8/12","5/20","5/11","8/8","7/30","7/31","4/16","7/18","9/3","8/21"
"dunlin","10/20","9/17","NULL","NULL","10/23","NULL","NULL","NULL","11/5","NULL","NULL","NULL"
"stilt sandpiper","9/2","8/24","NULL","NULL","9/10","8/1","9/4","8/21","NULL","9/3","NULL","8/24"
"buff-breasted sandpiper","NULL","8/24","9/12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"short-billed dowitcher","NULL","NULL","NULL","8/12","8/20","NULL","8/1","10/2","7/24","6/18","NULL","8/24"
"long-billed dowitcher","NULL","NULL","9/17","NULL","10/20","7/26","NULL","9/23","NULL","NULL","NULL","NULL"
"wilson's snipe","4/12","4/2","3/18","4/12","3/30","4/1","5/1","4/3","4/9","4/7","4/5","4/7"
"american woodcock","3/3","3/3","3/2","3/16","2/25","3/20","3/6","3/26","3/12","3/14","3/9","3/14"
"wilson's phalarope","NULL","NULL","NULL","NULL","NULL","NULL","9/4","NULL","NULL","NULL","NULL","NULL"
"red-necked phalarope","NULL","NULL","NULL","NULL","NULL","NULL","9/9","5/26","NULL","NULL","NULL","NULL"
"red phalarope","NULL","9/26","4/23","NULL","NULL","NULL","NULL","5/26","5/14","NULL","NULL","NULL"
"black-legged kittiwake","NULL","10/30","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"bonaparte's gull","5/8","9/30","NULL","NULL","11/3","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"black-headed gull","NULL","NULL","1/30","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"ring-billed gull","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"herring gull","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/2","1/1","1/1"
"iceland gull","11/8","1/1","1/27","NULL","11/27","NULL","NULL","1/1","1/8","NULL","1/3","NULL"
"great black-backed gull","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/2","1/1","1/1"
"least tern","NULL","NULL","NULL","NULL","NULL","7/11","NULL","NULL","NULL","NULL","NULL","NULL"
"caspian tern","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4/24","NULL","NULL"
"black tern","NULL","NULL","NULL","NULL","NULL","5/7","NULL","NULL","NULL","NULL","NULL","NULL"
"forster's tern","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7/1","NULL","NULL","NULL","NULL"
"rock pigeon","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/3","1/1","1/1"
"mourning dove","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"monk parakeet","NULL","NULL","NULL","10/4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"yellow-billed cuckoo","5/17","5/28","NULL","6/10","5/10","5/19","5/3","5/11","5/6","5/11","5/22","5/8"
"black-billed cuckoo","5/21","5/24","NULL","5/30","5/16","5/23","5/12","5/11","5/20","5/10","5/17","5/20"
"eastern screech-owl","1/6","1/27","2/8","1/2","1/1","1/1","2/22","1/1","2/9","4/19","3/5","1/6"
"great horned owl","1/6","3/6","1/3","3/3","2/15","5/13","2/20","4/29","1/14","1/7","1/1","2/10"
"snowy owl","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11/21","NULL"
"barred owl","NULL","3/13","1/9","6/23","1/12","8/8","1/1","1/3","1/1","4/13","6/27","3/17"
"long-eared owl","11/25","1/18","3/7","NULL","NULL","3/15","NULL","11/21","1/1","1/2","NULL","NULL"
"northern saw-whet owl","NULL","11/11","2/18","NULL","1/5","3/1","2/14","2/14","1/1","1/6","2/15","2/10"
"common nighthawk","9/4","5/16","8/24","8/28","NULL","5/30","5/29","5/26","9/6","NULL","9/1","9/17"
"whip-poor-will","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4/21","NULL","NULL","NULL"
"chimney swift","4/26","4/25","4/27","4/24","4/26","5/1","4/19","5/3","5/1","4/29","4/27","4/25"
"ruby-throated hummingbird","8/17","5/11","5/5","7/13","5/19","5/4","5/9","8/7","5/7","5/14","5/8","5/15"
"belted kingfisher","yes","1/1","4/1","4/9","1/1","1/1","1/3","1/1","1/1","1/7","4/12","1/30"
"red-headed woodpecker","NULL","NULL","NULL","NULL","NULL","NULL","10/9","NULL","NULL","NULL","NULL","NULL"
"red-bellied woodpecker","1/5","1/1","1/2","1/1","1/1","1/2","1/1","1/4","1/1","1/3","1/4","1/1"
"yellow-bellied sapsucker","9/30","4/12","4/7","10/3","4/7","1/21","4/11","4/7","2/16","9/30","3/25","2/1"
"downy woodpecker","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"hairy woodpecker","yes","1/10","1/2","1/1","1/1","1/1","1/1","1/3","1/1","2/11","1/4","1/2"
"northern flicker","yes","1/1","1/2","1/6","1/1","1/2","1/4","1/1","1/1","1/6","1/1","1/4"
"pileated woodpecker","5/14","3/6","3/25","2/17","4/17","1/18","2/12","6/17","NULL","4/27","NULL","3/10"
"olive-sided flycatcher","8/30","NULL","5/28","NULL","8/21","5/31","5/31","5/30","6/11","5/22","5/26","NULL"
"eastern wood-pewee","5/18","5/21","5/9","5/26","5/21","5/15","5/13","5/19","5/20","5/13","5/10","5/14"
"yellow-bellied flycatcher","9/7","9/13","5/20","9/5","5/28","5/30","NULL","6/1","5/18","5/31","5/20","5/22"
"acadian flycatcher","NULL","NULL","5/20","NULL","6/9","NULL","NULL","NULL","6/15","5/31","NULL","NULL"
"alder flycatcher","5/27","5/22","5/20","6/1","5/20","5/21","5/24","5/21","5/21","5/27","5/21","5/16"
"willow flycatcher","5/27","5/22","5/21","5/14","5/22","5/25","5/27","5/29","5/29","5/21","5/27","5/19"
"least flycatcher","5/18","5/28","5/5","5/2","5/13","5/2","5/10","5/13","5/6","5/9","5/8","5/8"
"gray flycatcher","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11/6","NULL","NULL","NULL"
"eastern phoebe","yes","3/26","3/15","4/6","3/29","3/25","3/26","4/1","3/23","3/26","3/30","3/27"
"ash-throated flycatcher","NULL","NULL","NULL","8/30","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"great crested flycatcher","5/4","4/30","5/4","5/6","5/7","5/11","4/30","5/9","5/6","5/6","5/6","4/28"
"western kingbird","NULL","NULL","11/22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"eastern kingbird","5/10","4/25","5/4","5/1","5/4","5/3","5/1","5/4","5/4","5/1","5/2","4/26"
"scissor-tailed flycatcher","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6/4","NULL","NULL","NULL"
"northern shrike","1/5","2/12","1/2","1/27","11/16","1/9","NULL","1/3","1/2","10/23","1/6","NULL"
"white-eyed vireo","NULL","NULL","NULL","6/21","4/20","5/23","5/25","5/3","NULL","NULL","5/17","4/29"
"yellow-throated vireo","9/13","5/21","5/12","4/23","5/8","5/13","8/29","5/3","5/17","5/9","NULL","9/3"
"blue-headed vireo","4/30","4/27","4/29","4/20","4/18","4/28","4/20","4/26","4/27","4/26","4/26","4/25"
"warbling vireo","4/30","4/30","4/30","4/23","5/1","4/30","4/28","5/1","4/27","4/26","4/25","4/26"
"philadelphia vireo","9/7","9/18","9/10","8/29","5/23","8/21","NULL","9/10","8/27","8/31","9/3","NULL"
"red-eyed vireo","5/15","5/9","5/7","5/6","5/12","5/14","4/27","5/11","5/17","5/10","5/7","5/4"
"blue jay","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"american crow","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"fish crow","4/5","1/2","1/8","1/21","2/20","1/1","4/24","5/18","3/4","4/22","4/19","3/17"
"common raven","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5/14","2/29","11/4"
"horned lark","11/8","1/18","3/18","3/25","3/9","3/23","NULL","NULL","1/2","12/17","NULL","NULL"
"purple martin","5/13","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8/12"
"tree swallow","4/20","3/21","3/26","4/9","3/30","3/26","3/24","4/3","3/31","4/30","4/2","3/30"
"northern rough-winged swallow","4/20","4/3","4/2","4/14","4/6","4/19","4/14","4/14","4/15","4/23","4/27","4/20"
"bank swallow","4/20","4/27","4/30","4/25","4/14","5/6","5/8","4/28","5/7","5/3","5/11","5/10"
"cliff swallow","4/20","NULL","NULL","NULL","NULL","8/24","NULL","5/25","6/29","NULL","NULL","8/29"
"barn swallow","4/20","4/8","4/14","4/14","4/15","4/15","4/19","4/28","4/16","4/23","4/19","4/22"
"black-capped chickadee","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"tufted titmouse","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"red-breasted nuthatch","yes","1/26","1/2","1/1","1/16","1/24","1/2","1/1","1/1","6/17","3/4","5/22"
"white-breasted nuthatch","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"brown creeper","1/8","1/2","1/2","1/26","1/1","1/2","1/1","1/1","1/1","1/5","1/6","1/1"
"carolina wren","1/6","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/2","1/1","1/1"
"house wren","4/30","4/27","1/24","4/23","4/18","4/27","4/21","4/27","4/24","4/25","4/14","4/27"
"winter wren","4/10","1/1","1/2","1/11","2/19","1/1","1/1","1/1","1/22","1/6","10/5","1/27"
"sedge wren","NULL","NULL","NULL","NULL","NULL","9/13","NULL","8/29","NULL","NULL","NULL","NULL"
"marsh wren","6/14","5/18","6/9","5/20","5/5","5/7","5/12","5/14","4/20","6/9","5/1","5/6"
"golden-crowned kinglet","4/3","1/2","1/3","1/3","1/1","1/1","1/1","1/1","1/1","1/2","1/7","1/2"
"ruby-crowned kinglet","4/3","1/8","4/15","1/6","4/6","4/3","1/4","1/17","1/29","3/4","4/13","1/16"
"blue-gray gnatcatcher","4/20","4/8","4/22","4/17","4/15","4/19","4/21","4/17","4/15","5/2","4/20","4/26"
"eastern bluebird","4/29","1/24","1/18","1/1","1/3","1/24","1/19","3/29","1/2","1/7","1/4","1/4"
"mountain bluebird","NULL","NULL","10/27","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"veery","5/15","5/11","5/7","5/17","5/12","5/8","5/10","5/13","5/6","5/10","5/10","5/9"
"gray-cheeked thrush","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5/25","5/30","NULL"
"swainson's thrush","5/27","9/19","5/25","5/15","5/14","5/11","5/14","5/14","5/20","5/10","5/6","5/10"
"hermit thrush","4/30","1/7","1/2","1/1","1/1","1/1","1/1","4/7","1/1","1/3","1/4","1/3"
"wood thrush","5/4","5/9","5/6","5/3","5/2","5/5","5/1","5/9","5/5","5/7","5/6","4/28"
"american robin","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/3","1/1","1/1"
"gray catbird","3/15","1/1","2/6","1/3","1/1","2/9","2/29","4/30","1/1","1/13","1/26","4/27"
"northern mockingbird","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"brown thrasher","4/20","4/27","3/5","4/24","4/18","4/29","2/16","4/24","4/15","4/25","4/19","4/25"
"european starling","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/2","1/1","1/1"
"american pipit","9/5","4/13","3/29","9/3","5/6","10/1","NULL","9/11","9/29","9/21","5/1","9/27"
"cedar waxwing","yes","1/3","1/2","1/1","1/12","3/9","1/4","2/7","1/1","1/3","1/2","2/20"
"blue-winged warbler","5/8","5/8","5/3","5/3","5/1","5/2","5/1","4/30","5/5","5/4","5/5","4/28"
"golden-winged warbler","9/30","NULL","5/9","NULL","NULL","NULL","5/12","9/3","NULL","NULL","NULL","NULL"
"brewster's warbler","NULL","NULL","NULL","8/24","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"tennessee warbler","5/15","5/11","5/14","5/6","5/14","5/12","5/10","5/14","5/21","5/15","5/11","5/8"
"orange-crowned warbler","4/30","9/25","10/5","4/23","4/21","5/2","10/11","9/22","5/7","2/8","10/19","4/27"
"nashville warbler","5/8","5/7","5/2","4/24","4/27","5/2","4/29","4/30","5/5","5/4","5/5","4/28"
"northern parula","4/30","5/1","5/2","4/24","5/1","5/2","4/30","4/30","5/5","5/1","5/3","4/27"
"yellow warbler","5/1","4/29","5/2","4/24","5/1","4/29","4/29","4/28","4/30","5/1","4/24","4/24"
"chestnut-sided warbler","5/15","5/9","5/5","5/2","5/5","5/7","5/1","5/11","5/5","5/12","5/8","4/28"
"magnolia warbler","5/15","5/9","5/6","5/5","5/5","5/7","5/3","5/11","5/6","5/12","5/6","4/29"
"cape may warbler","NULL","5/14","NULL","NULL","NULL","NULL","5/8","5/16","5/24","5/16","5/10","5/16"
"black-throated blue warbler","5/15","5/9","5/2","5/2","5/4","5/2","4/30","5/4","5/5","5/6","5/7","4/28"
"yellow-rumped warbler","4/20","4/5","4/9","4/23","4/6","4/16","3/13","4/10","4/9","4/19","4/8","4/11"
"black-throated green warbler","5/7","5/2","5/2","4/26","5/3","4/29","4/30","5/1","5/5","4/29","5/3","4/25"
"blackburnian warbler","5/27","5/12","5/2","5/12","5/3","5/7","5/8","5/12","5/10","5/7","5/6","5/8"
"yellow-throated warbler","NULL","NULL","NULL","NULL","NULL","NULL","5/3","NULL","NULL","NULL","NULL","4/26"
"pine warbler","4/3","4/9","4/7","4/13","4/9","4/12","4/7","4/7","4/8","4/10","4/10","4/10"
"prairie warbler","5/4","5/6","5/7","5/3","5/19","5/7","5/1","5/10","5/5","5/13","5/7","5/2"
"palm warbler","4/2","4/5","4/15","4/14","4/11","4/15","4/17","4/7","4/9","4/19","4/13","4/11"
"bay-breasted warbler","5/15","5/11","5/9","5/6","5/17","5/8","5/13","5/14","5/21","5/14","5/12","5/10"
"blackpoll warbler","5/15","5/6","5/5","5/9","5/8","5/12","5/7","5/13","5/18","5/10","5/9","5/4"
"cerulean warbler","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5/8","5/4"
"black-and-white warbler","4/30","4/27","4/30","4/24","4/26","4/29","4/25","4/30","4/28","4/28","4/27","4/25"
"american redstart","5/11","5/9","5/5","5/3","5/5","5/8","5/7","5/11","5/6","5/8","5/6","5/8"
"prothonotary warbler","NULL","NULL","NULL","5/6","NULL","NULL","5/26","NULL","8/31","NULL","5/20","NULL"
"worm-eating warbler","5/4","NULL","NULL","5/5","5/8","5/18","5/7","5/8","NULL","NULL","NULL","5/10"
"ovenbird","4/30","5/9","5/4","5/2","5/5","5/7","5/1","5/6","5/5","5/6","5/5","4/28"
"northern waterthrush","5/31","5/7","4/30","4/24","5/5","5/5","4/25","5/13","5/5","5/4","5/4","4/27"
"louisiana waterthrush","5/14","NULL","NULL","NULL","NULL","NULL","8/14","NULL","NULL","NULL","NULL","4/15"
"kentucky warbler","NULL","NULL","NULL","5/10","5/14","NULL","NULL","NULL","5/17","5/12","NULL","5/19"
"connecticut warbler","9/8","9/15","9/9","8/29","9/8","NULL","NULL","9/11","9/14","NULL","9/10","NULL"
"mourning warbler","8/25","9/15","5/16","6/1","5/17","5/30","5/22","5/18","5/20","5/20","5/18","5/21"
"macgillivray's warbler","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9/6","NULL"
"common yellowthroat","5/8","5/9","5/2","4/24","4/20","5/3","5/1","5/11","5/5","5/7","5/6","4/29"
"hooded warbler","NULL","NULL","9/25","5/9","5/12","NULL","NULL","9/2","NULL","5/9","5/15","5/11"
"wilson's warbler","8/27","5/21","5/10","5/7","5/9","5/11","5/10","5/12","5/9","5/12","5/11","5/4"
"canada warbler","5/24","5/9","5/2","5/12","5/12","5/12","5/12","5/13","5/17","5/9","5/10","5/8"
"yellow-breasted chat","10/21","NULL","10/7","8/19","5/10","NULL","NULL","5/13","NULL","11/3","9/12","NULL"
"eastern towhee","2/27","4/10","2/9","4/23","3/20","4/12","1/4","1/1","3/25","4/25","4/20","4/19"
"american tree sparrow","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/13","1/1","1/1"
"chipping sparrow","3/29","1/1","4/9","1/1","4/8","4/5","4/2","4/8","1/11","4/17","4/10","4/4"
"clay-colored sparrow","3/26","9/18","11/25","9/13","10/3","10/7","6/6","NULL","9/28","9/25","NULL","9/24"
"field sparrow","4/5","4/8","3/24","4/8","1/7","4/16","3/27","1/15","4/8","4/7","4/20","4/12"
"vesper sparrow","10/2","NULL","10/5","4/19","4/13","NULL","3/28","4/24","NULL","NULL","NULL","4/27"
"lark sparrow","NULL","9/18","NULL","NULL","NULL","NULL","9/19","NULL","NULL","NULL","9/18","10/10"
"savannah sparrow","4/20","4/4","3/18","4/17","4/16","4/1","3/31","4/9","4/8","4/7","4/15","4/10"
