"bsbi no","latin name","english name"
"578","crepis vesicaria","beaked hawksbeard"
"875","cruciata laevipes","crosswort"
"592","cymbalaria muralis","ivy-leaved toadflax"
"596","cynoglossum officinale","houndstongue"
"597","cynosurus cristatus","crested dogstail"
"603","cystopteris fragilis","brittle bladder fern"
"1822","cytisus scoparius","broom"
"607","dactylis glomerata","cocksfoot"
"608","dactylorhiza fuchsii","common spotted orchid"
"609","dactylorhiza incarnata","early marsh orchid"
"610","dactylorhiza maculata","heath spotted orchid"
"612","dactylorhiza praetermissa","southern marsh orchid"
"613","dactylorhiza purpurella","northern marsh orchid"
"614","dactylorhiza traunsteineri","narrow-leaved marsh orchid"
"1915","danthonia decumbens","heath grass (sieglingia)"
"617","daphne laureola","spurge laurel"
"618","daphne mezereon","daphne"
"619","datura stramonium","thorn apple"
"620","daucus carota","wild carrot"
"627","deschampsia caespitosa","tufted hair grass"
"628","deschampsia flexuosa","wavy hair grass"
"630","descurainia sophia","flixweed"
"640","digitalis purpurea","foxglove"
"644","diplotaxis muralis","annual wall rocket"
"646","dipsacus fullonum","teasel"
"648","doronicum pardalianches","leopardsbane"
"657","drosera rotundifolia","sundew"
"660","dryopteris aemula","hay-scented buckler fern"
"662","dryopteris affinis","golden-scaled male fern"
"666","dryopteris carthusiana","narrow buckler fern"
"661","dryopteris dilatata","common buckler fern"
"664","dryopteris filix-mas","male fern"
"670","echium vulgare","viper�s bugloss"
"675","eleocharis palustris","common spike-rush"
"677","eleocharis quinqueflora","few-flowered spike-rush"
"681","elodea canadensis","canadian waterweed"
"26","elymus caninus","bearded couch (agropyron)"
"33","elytrigia repens","couch (elymus)"
"684","empetrum nigrum","crowberry"
"699","epilobium brunnescens","new zealand willowherb"
"688","epilobium ciliatum","american willowherb"
"692","epilobium hirsutum","great willowherb"
"695","epilobium montanum","broad-leaved willowherb"
"696","epilobium obscurum","short-fruited willowherb"
"697","epilobium palustre","marsh willowherb"
"698","epilobium parviflorum","hoary willowherb"
"700","epilobium roseum","pale willowherb"
"689","epilobium tetragonum","square-stalked willowherb"
"705","epipactis helleborine","broad-leaved helleborine"
"708","epipactis palustris","marsh helleborine"
"712","equisetum arvense","field horsetail"
"713","equisetum fluviatile","water horsetail"
"717","equisetum palustre","marsh horsetail"
"720","equisetum sylvaticum","wood horsetail"
"721","equisetum telmateia","giant horsetail"
"724","eranthis hyemalis","winter aconite"
"726","erica cinerea","bell heather"
"731","erica tetralix","cross-leaved heath"
"733","erigeron acer","blue fleabane"
"738","erinus alpinus","fairy foxglove"
"740","eriophorum angustifolium","common cottongrass"
"743","eriophorum latifolium","broad-leaved cottongrass"
"744","eriophorum vaginatum","harestail cottongrass"
"745","erodium cicutarium","storksbill"
"753","erophila verna","spring whitlow-grass"
"759","erysimum cheiranthoides","treacle mustard"
"762","euonymus europaeus","spindle"
"763","eupatorium cannabinum","hemp agrimony"
"771","euphorbia exigua","dwarf spurge"
"772","euphorbia helioscopia","sun spurge"
"777","euphorbia peplus","petty spurge"
"2243","euphrasia officinalis agg.","eyebright"
"810","fagus sylvatica","beech"
"1527","fallopia convolvulus","black bindweed"
"1528","fallopia japonica","japanese knotweed"
"813","festuca arundinaceae","tall fescue"
"816","festuca gigantea","giant fescue"
"821","festuca ovina","sheep�s fescue"
"823","festuca pratensis","meadow fescue"
"824","festuca rubra","red fescue"
"824","festuca rubra","red fescue"
"830","filago vulgaris","common cudweed"
"834","filipendula vulgaris","dropwort"
"838","fragaria vesca","wild strawberry"
"839","frangula alnus","alder buckthorn"
"840","frankenia laevis","sea heath"
"841","fraxinus excelsior","ash"
"847","fumaria capreolata","white ramping fumitory"
"850","fumaria muralis","common ramping fumitory"
"854","fumaria officinalis","common fumitory"
"856","fumaria parviflora","fine-leaved fumitory"
"4532","fumaria sp.","fumitory"
"859","gagea lutea","yellow star of bethlehem"
"860","galanthus nivalis","snowdrop"
"864","galeopsis bifida","bifid hemp nettle"
"867","galeopsis speciosa","large-flowered hemp nettle"
"868","galeopsis tetrahit","common hemp nettle"
"873","galium aparine","cleavers or goosegrass"
"879","galium mollugo","hedge bedstraw"
"183","galium odoratum","woodruff"
"882","galium palustre","marsh bedstraw"
"878","galium saxatile","heath bedstraw"
"887","galium uliginosum","fen bedstraw"
"888","galium verum","lady�s bedstraw"
"891","genista anglica","petty whin"
"893","genista tinctoria","dyer�s greenweed"
"897","gentianella amarella","autumn gentian or felwort"
"901","gentianella campestris","field gentian"
"906","geranium columbinum","long-stalked cranesbill"
"907","geranium dissectum","cut-leaved cranesbill"
"908","geranium endressii","french cranesbill"
"909","geranium lucidum","shining cranesbill"
"911","geranium molle","dovesfoot cranesbill"
"913","geranium phaeum","dusky cranesbill"
"914","geranium pratense","meadow cranesbill"
"916","geranium pusillum","small-flowered cranesbill"
"917","geranium pyrenaicum","hedgerow cranesbill"
"918","geranium robertianum","herb robert"
"920","geranium sanguineum","bloody cranesbill"
"921","geranium sylvaticum","wood cranesbill"
"922","geranium versicolor","pencilled cranesbill"
"924","geum rivale","water avens"
"923","geum sp. (g. � intermedium)","hybrid avens"
"925","geum urbanum","wood avens"
"931","glechoma hederacea","ground ivy"
"932","glyceria declinata","flote grass"
"933","glyceria fluitans","flote grass"
"935","glyceria fluitans � notata (g.� pedicellata)","flote grass"
"934","glyceria maxima","flote grass"
"936","glyceria notata","flote grass"
"940","gnaphalium sylvatica","heath cudweed"
"941","gnaphalium uliginosum","marsh cudweed"
"948","gymnadenia conopsea","fragrant orchid"
"2050","gymnocarpium dryopteris","oak fern"
"952","hedera helix","ivy"
"955","helianthemum nummularium","rockrose"
"961","helictotrichon pratense","meadow oat (avenula pratensis)"
"962","helictotrichon pubescens","downy oat (avenula)"
"963","helleborus foetidus","stinking hellebore"
"964","helleborus viridis","green hellebore"
"968","heracleum sphondylium","hogweed"
"975","hesperis matronalis","dame�s violet"
"3002","hieracium species","hawkweed"
"981","hippuris vulgaris","marestail"
"983","holcus lanatus","yorkshire fog"
"984","holcus mollis","creeping soft-grass"
"989","hordelymus europaeus","wood barley"
"4368","hordeum distichon","two-rowed barley"
"992","hordeum murinum","wall barley"
"996","humulus lupulus","hop"
"687","hyacinthoides non-scripta","bluebell"
"999","hydrocotyle vulgaris","marsh pennywort"
"1002","hyoscyamus niger","henbane"
"1003","hypericum androsaemum","tutsan"
"1008","hypericum elodes","marsh st johnswort"
"1010","hypericum hirsutum","hairy st johnswort"
"1011","hypericum humifusum","trailing st johnswort"
"1006","hypericum maculatum","imperforate st johnswort"
"1013","hypericum montanum","pale st johnswort"
"1014","hypericum perforatum","perforate st johnswort"
"1015","hypericum pulchrum","beautiful st johnswort"
"1016","hypericum tetrapterum","square-stalked st johnswort"
"1020","hypochaeris radicata","catsear"
"1023","ilex aquifolium","holly"
"1026","impatiens glandulifera","himalayan balsam"
"1027","impatiens noli-tangere","yellow balsam"
"1030","inula conyzae","ploughman�s spikenard"
"1038","iris pseudacorus","yellow flag"
"1049","juglans regia","walnut"
"1050","juncus acutifloris","sharp-flowered rush"
"1054","juncus articulatus","jointed rush"
"1057","juncus bufonius","toad rush"
"1058","juncus bulbosus","bulbous rush"
"1063","juncus conglomeratus","compact rush"
"1067","juncus effusus","soft rush"
"1070","juncus inflexus","hard rush"
"1075","juncus squarrosus","heath rush"
"1080","juniperus communis","juniper"
"1084","knautia arvensis","field scabious"
"1087","koeleria macrantha","crested hair grass"
"1094","lactuca serriola","prickly lettuce"
"1095","lactuca virosa","great lettuce"
"862","lamiastrum galeobdolon","yellow archangel"
"1098","lamium album","white dead nettle"
"1099","lamium amplexicaule","henbit"
"1100","lamium hybridum","cut-leaved dead nettle"
"1101","lamium maculatum","spotted dead nettle"
"1103","lamium purpureum","red dead nettle"
"1104","lapsana communis","nipplewort"
"1105","larix sp. (l. decidua)","larch"
"1107","lathrea squamaria","toothwort"
"1112","lathyrus linifolius","vetch"
"1116","lathyrus pratensis","meadow vetchling"
"1124","legousia hybrida","venus�s looking-glass"
"1126","lemna minor","common duckweed"
"2300","lemna minuta","least duckweed"
"1128","lemna trisulca","ivy-leaved duckweed"
"0.004","lepidium sp.","pepperwort"
"1129","leontodon autumnalis","autumn hawkbit"
"1130","leontodon hispidus","rough hawkbit"
"1131","leontodon saxatilis","lesser hawkbit"
"502","leucanthemum vulgare","dog daisy or ox-eye daisy"
"1144","ligustrum vulgare","wild privet"
"1160","linaria purpurea","purple toadflax"
"1164","linaria vulgaris","common toadflax"
"1169","linum catharticum","fairy flax"
"1170","linum usitatissimum","cultivated flax"
"1172","listera cordata","lesser twayblade"
"1173","listera ovata","twayblade"
"1174","lithospermum officinale","gromwell"
"1182","lolium multiflorum","italian rye grass"
"1183","lolium perenne","perennial rye grass"
"1188","lonicera periclymenum","honeysuckle"
"1191","lotus corniculatus","common birdsfoot trefoil"
"1194","lotus pedunculatus","greater birdsfoot trefoil"
"1195","lunaria annua","honesty"
"1201","luzula campestris","field woodrush"
"1204","luzula multiflora","heath woodrush"
"1207","luzula pilosa","hairy woodrush"
"1209","luzula sylvatica","greater woodrush"
"1210","lychnis flos-cuculi","ragged robin"
"1211","lycium chinense","chinese teaplant"
"1219","lycopus europaeus","gypsywort"
"1221","lysimachia nemorum","yellow pimpernel"
"1222","lysimachia nummularia","creeping jenny"
"1223","lysimachia punctata","dotted loosestrife"
"1350","lysimachia thyrsiflora","tufted loosestrife"
"1225","lysimachia vulgaris","yellow loosestrife"
"1444","lythrum portula","water purslane"
"1227","lythrum salicaria","purple loosestrife"
"1230.1","malus domestica","domestic apple"
"1230","malus sylvestris","crab apple"
"1232","malva moschata","musk mallow"
"1233","malva neglecta","dwarf mallow"
"1236","malva sylvestris","common mallow"
"1242","matricaria discoidea","pineapple weed"
"1239","matricaria recutita","scented mayweed"
"1246","meconopsis cambrica","welsh poppy"
"1250","medicago lupulina","black medick"
"1252","medicago sativa","lucerne"
"1256","melampyrum pratense","cow wheat"
"1262","melica nutans","mountain melick"
"1263","melica uniflora","wood melick"
"1264","melilotus albus","white melick"
"1265","melilotus altissimus","tall melilot"
"1267","melilotus officinalis","ribbed melilot"
"4541","melilotus sp.","melilot"
"1272","mentha aquatica","water mint"
"1273","mentha arvensis","corn mint"
"1286","mentha arvensis � aquatica = m. � verticillata","whorled mint (hybrid)"
"0.004","mentha sp.","mint"
"1285","mentha spicata","spearmint"
"1282","mentha suaveolens","apple mint"
"1289","menyanthes trifoliata","bogbean"
"1291","mercurialis perennis","dog�s mercury"
"1296","milium effusum","wood millet"
"1298","mimulus guttatus","monkey flower"
"1300","mimulus moschatus","musk"
"1305","moehringia trinerva","three-nerved sandwort or three-veined sandwort"
"1307","molinia caerulea","purple moor grass"
"1310","monotropa hypopitys","yellow birdsnest"
"1312","montia fontanum","blinks"
"1315","mycelis muralis","wall lettuce"
"1317","myosotis arvensis","field forgetmenot"
"1321","myosotis discolor","changing forgetmenot"
"1319","myosotis laxa","tufted forgetmenot"
"1320","myosotis ramosissima","early forgetmenot"
"1322","myosotis scorpioides","water forgetmenot"
"1323","myosotis secunda","creeping forgetmenot"
"1318","myosotis stolonifera","pale forgetmenot"
"1325","myosotis sylvatica","wood forgetmenot"
"1326","myosoton aquaticum","water chickweed or stitchwort"
"1328","myrica gale","gale or bog myrtle"
"1330","myriophyllum alterniflorum","alternate water milfoil"
"1331","myriophyllum spicatum","spiked water milfoil"
"1333","myrrhis odorata","sweet cicely"
"1343","narcissus pseudonarcissus","wild daffodil"
"1344","nardus stricta","mat grass"
"1345","narthecium ossifragum","bog asphodel"
"1352","neottia nidus-avis","birdsnest orchid"
"1356","nuphar lutea","yellow water lily"
"1358","nymphea alba","white water lily"
"1361","odontites verna","red bartsia"
"1363","oenanthe crocata","hemlock water dropwort"
"1377","ononis repens","common rest harrow"
"1378","ononis spinosa","spiny rest harrow"
"1381","ophioglossum vulgatum","adderstongue"
"1382","ophrys apifera","bee orchid"
"1384","ophrys insectifera","fly orchid"
"1387","orchis mascula","early purple orchid"
"1389","orchis morio","green winged orchid"
"1392","orchis ustulata","burnt orchid"
"2051","oreopteris limbosperma","lemon-scented fern"
"1393","origanum vulgare","marjoram"
"1396","ornithogalum angustifolium","white star of bethlehem"
"1401","orobanche elatior","knapweed broomrape"
"1411","osmunda regalis","royal fern"
"1413","oxalis acetosella","wood sorrel"
"1414","oxalis exilis","least yellow sorrel"
"1426","papaver dubium","long-headed poppy"
"1429","papaver dubium subsp.lecoqii","lecoq�s poppy"
"1430","papaver rhoeas","field poppy"
"1431","papaver somniferum","opium poppy"
"1435","parietaria judaica","pellitory of the wall"
"1436","paris quadrifolia","herb paris"
"1437","parnassia palustris","grass of parnassus"
"1441","pedicularis palustris","marsh lousewort or red rattle"
"1442","pedicularis sylvatica","field lousewort or heath lousewort"
"1443","pentaglottis sempervirens","green alkanet"
"1521","persicaria amphibia","amphibious bistort"
"1525","persicaria bistorta","common bistort"
"1530","persicaria hydropiper","water pepper"
"1531","persicaria lapathifolia","pale persicaria"
"1537","persicaria maculosa","redshank"
"1446","petasites fragrans","winter heliotrope"
"1447","petasites hybridus","butterbur"
"1454","phalaris arundinacea","reed grass"
"1455","phalaris canariensis","canary grass"
"2053","phegopteris connectilis","beech fern"
"1459","phleum arenarium","sand catstail"
"1461","phleum bertolonii","catstail"
"1463","phleum pratense","timothy"
"1465","phragmites australe","reed"
"1466","phyllitis scolopendrium","hartstongue"
"1470","picea abies","norway spruce"
"2401","picea sitchensis","sitka spruce"
"1471","picris echiodes","bristly oxtongue"
"1472","picris hieracioides","oxtongue hawkweed"
"4516","pilosella aurantiaca","fox and cubs"
"976","pilosella officinarum","mouse-ear hawkweed"
"1475","pimpinella major","greater burnet saxifrage"
"1476","pimpinella saxifraga","lesser burnet saxifrage"
"1481","pinguicula vulgaris","butterwort"
"1484","pinus sylvestris","scots pine"
"1485","plantago coronopus","buckshorn plantain"
"1487","plantago lanceolata","ribwort plantain"
"1488","plantago major","ratstail plantain"
"1490","plantago media","hoary plantain"
"1492","platanthera bifolia","lesser butterfly orchid"
"1493","platanthera chlorantha","greater butterfly orchid"
"1495","poa annua","annual meadow grass"
"1504","poa nemorosa","wood meadow grass"
"1506","poa pratensis","smooth meadow grass"
"1507","poa trivialis","rough meadow grass"
"1514","polygala serpyllifolia","heath milkwort"
"1515","polygala vulgaris","common milkwort"
"1522","polygonum aviculare agg","knotgrass"
"1520","polygonum arenastrum","equal-leaved knotgrass"
"1523","polygonum aviculare","common knotgrass"
"1540","polygonum rurivagum","cornfield knotgrass"
"1544","polypodium vulgare","common polypody"
"1544.3","polypodium interjectum","intermediate polypody"
"1546","polystichum aculeatum","hard shield fern"
"1550","populus � canadensis","hybrid poplar"
"1552","populus � gileadensis","balsam poplar"
"1549","populus alba","white poplar"
"1551","populus � canescens (alba � tremula)","grey poplar"
"1554","populus nigra","black poplar"
"1553","populus nigra �italica�","italian black poplar"
"1555","populus tremula","aspen"
"1568","potamogeton gramineus","various-leaved pondweed"
"1569","potamogeton lucens","shining pondweed"
"1570","potamogeton natans","broad-leaved pondweed"
"1575","potamogeton pectinatus","fennel pondweed"
"1576","potamogeton polygonifolius","bog pondweed"
"1583","potentilla anglica","trailing tormentil"
"1584","potentilla anserina","silverweed"
"1585","potentilla argentea","hoary cinquefoil"
"1588","potentilla erecta","tormentil"
"1592","potentilla palustris","marsh cinquefoil"
"1594","potentilla reptans","creeping cinquefoil"
"1596","potentilla sterilis","barren strawberry"
"1606","primula � polyantha","false oxlip"
"1603","primula farinosa","birdseye primrose"
"1605","primula veris","cowslip"
"1607","primula vulgaris","primrose"
"1610","prunella vulgaris","self heal"
"1611","prunus avium","wild cherry"
"1612","prunus cerasifera","cherry plum"
"1614","prunus domestica","wild plum"
"1616","prunus padus","bird cherry"
"1617","prunus spinosa","blackthorn"
"556","pseudofumaria lutea","yellow corydalis"
"1619","pteridium aquilinum","bracken"
"1625","pulicaria dysenterica","fleabane"
"1630","pyrola media","intermediate wintergreen"
"1631","pyrola minor","common wintergreen"
"5184","pyrola sp.","wintergreen"
"1633","pyrus communis","wild pear"
"1635","quercus cerris","turkey oak"
"1638","quercus petraea","sessile oak"
"1640","quercus robur","pedunculate oak"
"1639","quercus sp.","hybrid oak"
"4446","quercus sp.","oak"
"1642","ranunculus acris","meadow buttercup"
"1643","ranunculus aquatilis","common water crowfoot"
"1644","ranunculus arvense","corn buttercup"
"1645","ranunculus auricomus","goldilocks"
"1646","ranunculus baudotii","brackish water crowfoot"
"1647","ranunculus bulbosus","bulbous buttercup"
"1649","ranunculus ficaria","lesser celandine"
"1651","ranunculus flammula","lesser spearwort"
"1652","ranunculus fluitans","river water crowfoot"
"1643.9","ranunculus penicillatus ssp pseudofluitans","stream water crowfoot (subsp.)"
"1643.6","ranunculus �pseudofluitans�","stream water crowfoot"
"1653","ranunculus hederacea","ivy-leaved water crowfoot"
"1655","ranunculus lingua","greater spearwort"
"1654","ranunculus omiophyllus","round-leaved water crowfoot"
"1660","ranunculus repens","creeping buttercup"
"1662","ranunculus sardous","hairy buttercup"
"1663","ranunculus sceleratus","celery-leaved buttercup"
"1664","ranunculus trichophyllus","thread-leaved water crowfoot"
"1667","raphanus raphanistrum","wild radish"
"1672","reseda lutea","mignonette"
"1673","reseda luteola","weld"
"1675","rhamnus catharticus","buckthorn"
"1678","rhinanthus minor","yellow rattle"
"1687","rhododendron ponticum","rhododendron"
"1691","rhynchospora alba","white beak-sedge"
"1693","ribes alpinum","mountain currant"
"1694","ribes nigrum","balckcurrant"
"1696","ribes rubrum","redcurrant"
"2433","ribes sanguineum","flowering currant"
"1697","ribes uva-crispa","gooseberry"
"1701","rorippa amphibia","great yellowcress"
"1346","rorippa microphylla","narrow-fruited watercress"
"1348","rorippa nasturtium-aquaticum","watercress"
"1703","rorippa palustris","marsh yellowcress"
"1707","rosa arvensis","field rose"
"1708","rosa canina","dog rose"
"1722","rosa mollis","downy rose"
"1719","rosa pimpinellifolia","burnet rose"
"1714","rosa rubiginosa","sweet briar"
"1716","rosa rugosa","japanese rose"
"1718","rosa sherardii","sherard's downy rose"
"0.002","rosa sp.","rose"
"1726","rubus caesius","dewberry"
"1728","rubus fruticosus","bramble"
"1729","rubus idaeus","raspberry"
"1730","rubus saxatilis","stone bramble"
"1734","rumex acetosa","common sorrel"
"1735","rumex acetosella","sheep�s sorrel"
"1741","rumex conglomeratus","clustered dock"
"1742","rumex crispus","curled dock"
"1748","rumex obtusifolius","broad-leaved dock"
"1753","rumex sanguineus","wood dock"
"1760","ruscus aculeatus","butcher�s broom"
"1761","sagina apetala","annual pearlwort"
"1766","sagina nodosa","knotted pearlwort"
"1767","sagina procumbens","mossy or procumbent pearlwort"
"1784","salix alba","white willow"
"1787","salix aurita","eared willow"
"1788","salix caprea","goat willow"
"1789","salix cinerea","grey willow"
"1793","salix fragilis","crack willow"
"1799","salix pentandra","bay willow"
"1801","salix purpurea","purple willow"
"1802","salix repens","creeping willow"
"0.003","salix sp.","willow"
"1805","salix viminalis","osier"
"1815","sambucus nigra","elder"
"1599","sanguisorba minor","salad burnet"
"1818","sanguisorba officinalis","greater burnet"
"1819","sanicula europaea","sanicle"
"1830","saxifraga granulata","meadow saxifrage"
"1843","saxifraga tridactylites","rue-leaved saxifrage"
"1846","scabiosa columbaria","small scabious"
"1847","scandix pecten-veneris","shepherd�s needle"
"1851","schoenoplectus lacustris","common clubrush"
"1852","schoenoplectus tabernaemontani","grey clubrush"
"1855","schoenus nigricans","black bog rush"
"1861","scirpus sylvaticus","wood clubrush"
"1863","scleranthus annuus","annual knawel"
"1865","scrophularia auriculata","water figwort"
"1867","scrophularia nodosa","common figwort"
"1872","scutellaria galericulata","skullcap"
"1875","sedum acre","biting stonecrop"
"1876","sedum album","white stonecrop"
"1877","sedum anglicum","english stonecrop"
"1881","sedum rupestre","reflexed stonecrop"
"1890","sempervivum tectorum","house leek"
"1891","senecio aquaticus","marsh ragwort"
"1896","senecio erucifolius","hoary ragwort"
"1899","senecio jacobea","common ragwort"
"1902","senecio squalidus","oxford ragwort"
