"common                name","scientific name","family"
"red-billed pigeon","patagioenas flavirostris","columbidae"
"short-billed pigeon","patagioenas nigrirostris","columbidae"
"white-winged dove","zenaida asiatica","columbidae"
"inca dove","columbina inca","columbidae"
"common ground-dove","columbina passerina","columbidae"
"plain-breasted ground-dove","columbina minuta","columbidae"
"ruddy ground-dove","columbina talpacoti","columbidae"
"blue ground-dove","claravis pretiosa","columbidae"
"white-tipped dove","leptotila verreauxi","columbidae"
"gray-headed dove","leptotila plumbeiceps","columbidae"
"gray-chested dove","leptotila cassini","columbidae"
"ruddy quail-dove","geotrygon montana","columbidae"
"crimson-fronted parakeet","aratinga finschi","psittacidae"
"orange-fronted parakeet","aratinga canicularis","psittacidae"
"scarlet macaw","ara macao","psittacidae"
"orange-chinned parakeet","brotogeris jugularis","psittacidae"
"brown-hooded parrot","pyrilia haematotis","psittacidae"
"white-crowned parrot","pionus senilis","psittacidae"
"white-fronted parrot","amazona albifrons","psittacidae"
"red-lored parrot","amazona autumnalis","psittacidae"
"mealy parrot","amazona farinosa","psittacidae"
"yellow-naped parrot","amazona auropalliata","psittacidae"
"squirrel cuckoo","piaya cayana","cuculidae"
"mangrove cuckoo","coccyzus minor","cuculidae"
"striped cuckoo","tapera naevia","cuculidae"
"lesser ground-cuckoo","morococcyx erythropygius","cuculidae"
"groove-billed ani","crotophaga sulcirostris","cuculidae"
"barn owl","tyto alba","tytonidae"
"pacific screech-owl","megascops cooperi","strigidae"
"tropical screech-owl","megascops choliba","strigidae"
"crested owl","lophostrix cristata","strigidae"
"spectacled owl","pulsatrix perspicillata","strigidae"
"ferruginous pygmy-owl","glaucidium brasilianum","strigidae"
"black-and-white owl","ciccaba nigrolineata","strigidae"
"striped owl","pseudoscops clamator","strigidae"
"short-tailed nighthawk","lurocalis semitorquatus","caprimulgidae"
"lesser nighthawk","chordeiles acutipennis","caprimulgidae"
"common nighthawk","chordeiles minor","caprimulgidae"
"common pauraque","nyctidromus albicollis","caprimulgidae"
"common potoo","nyctibius griseus","nyctibiidae"
"black swift","cypseloides niger","apodidae"
"spot-fronted swift","cypseloides cherriei","apodidae"
"chestnut-collared swift","streptoprocne rutila","apodidae"
"white-collared swift","streptoprocne zonaris","apodidae"
"chimney swift","chaetura pelagica","apodidae"
"vaux's swift","chaetura vauxi","apodidae"
"costa rican","swift chaetura","fumosa"
"lesser swallow-tailed","swift panyptila","cayennensis"
"bronzy hermit","glaucis aeneus","trochilidae"
"band-tailed barbthroat","threnetes ruckeri","trochilidae"
"long-billed hermit","phaethornis longirostris","trochilidae"
"stripe-throated hermit","phaethornis striigularis","trochilidae"
"white-tipped sicklebill","eutoxeres aquila","trochilidae"
"scaly-breasted hummingbird","phaeochroa cuvierii","trochilidae"
"violet sabrewing","campylopterus hemileucurus","trochilidae"
"white-necked jacobin","florisuga mellivora","trochilidae"
"green-breasted mango","anthracothorax prevostii","trochilidae"
"white-crested coquette","lophornis adorabilis","trochilidae"
"canivet's emerald","chlorostilbon canivetii","trochilidae"
"violet-crowned woodnymph","thalurania colombica","trochilidae"
"blue-throated goldentail","hylocharis eliciae","trochilidae"
"charming hummingbird","amazilia decora","trochilidae"
"mangrove hummingbird","amazilia boucardi","trochilidae"
"steely-vented hummingbird","amazilia saucerrottei","trochilidae"
"rufous-tailed hummingbird","amazilia tzacatl","trochilidae"
"cinnamon hummingbird","amazilia rutila","trochilidae"
"purple-crowned fairy","heliothryx barroti","trochilidae"
"long-billed starthroat","heliomaster longirostris","trochilidae"
"plain-capped starthroat","heliomaster constantii","trochilidae"
"magenta-throated woodstar","calliphlox bryantae","trochilidae"
"ruby-throated hummingbird","archilochus colubris","trochilidae"
"black-headed trogon","trogon melanocephalus","trogonidae"
"baird's trogon","trogon bairdii","trogonidae"
"violaceous trogon","trogon violaceus","trogonidae"
"black-throated trogon","trogon rufus","trogonidae"
"slaty-tailed trogon","trogon massena","trogonidae"
"blue-crowned motmot","momotus momota","momotidae"
"turquoise-browed motmot","eumomota superciliosa","momotidae"
"ringed kingfisher","ceryle torquatus","alcedinidae"
"belted kingfisher","ceryle alcyon","alcedinidae"
"amazon kingfisher","chloroceryle amazona","alcedinidae"
"green kingfisher","chloroceryle americana","alcedinidae"
"american pygmy kingfisher","chloroceryle aenea","alcedinidae"
"white-necked puffbird","notharchus macrorhynchos","bucconidae"
"white-whiskered puffbird","malacoptila panamensis","bucconidae"
"rufous-tailed jacamar","galbula ruficauda","galbulidae"
"fiery-billed aracari","pteroglossus frantzii","ramphastidae"
"keel-billed toucan","ramphastos sulfuratus","ramphastidae"
"chestnut-mandibled toucan","ramphastos swainsonii","ramphastidae"
"olivaceous piculet","picumnus olivaceus","picidae"
"golden-naped woodpecker","melanerpes chrysauchen","picidae"
"red-crowned woodpecker","melanerpes rubricapillus","picidae"
"hoffmann's woodpecker","melanerpes hoffmannii","picidae"
"yellow-bellied sapsucker","sphyrapicus varius","picidae"
"red-rumped woodpecker","veniliornis kirkii","picidae"
"rufous-winged woodpecker","piculus simplex","picidae"
"lineated woodpecker","dryocopus lineatus","picidae"
"pale-billed woodpecker","campephilus guatemalensis","picidae"
"scaly-throated leaftosser","sclerurus guatemalensis","furnariidae"
"slaty spinetail","synallaxis brachyura","furnariidae"
"buff-throated                foliage-gleaner","automolus ochrolaemus","furnariidae"
"plain xenops","xenops minutus","furnariidae"
"tawny-winged woodcreeper","dendrocincla anabatina","furnariidae"
"ruddy woodcreeper","dendrocincla homochroa","furnariidae"
"olivaceous woodcreeper","sittasomus griseicapillus","furnariidae"
"long-tailed woodcreeper","deconychura longicauda","furnariidae"
"wedge-billed woodcreeper","glyphorhynchus spirurus","furnariidae"
"northern                barred-woodcreeper","dendrocolaptes sanctithomae","furnariidae"
"cocoa woodcreeper","xiphorhynchus susurrans","furnariidae"
"black-striped woodcreeper","xiphorhynchus lachrymosus","furnariidae"
"streak-headed woodcreeper","lepidocolaptes souleyetii","furnariidae"
"great antshrike","taraba major","thamnophilidae"
"barred antshrike","thamnophilus doliatus","thamnophilidae"
"black-hooded antshrike","thamnophilus bridgesi","thamnophilidae"
"russet antshrike","thamnistes anabatinus","thamnophilidae"
"slaty antwren","myrmotherula schisticolor","thamnophilidae"
"dot-winged antwren","microrhopias quixensis","thamnophilidae"
"dusky antbird","cercomacra tyrannina","thamnophilidae"
"chestnut-backed antbird","myrmeciza exsul","thamnophilidae"
"bicolored antbird","gymnopithys leucaspis","thamnophilidae"
"black-faced antthrush","formicarius analis","formicariidae"
"streak-chested antpitta","hylopezus perspicillatus","grallariidae"
"yellow-bellied tyrannulet","ornithion semiflavum","tyrannidae"
"northern                beardless-tyrannulet","camptostoma imberbe","tyrannidae"
"southern                beardless-tyrannulet","camptostoma obsoletum","tyrannidae"
"yellow tyrannulet","capsiempis flaveola","tyrannidae"
"yellow-crowned tyrannulet","tyrannulus elatus","tyrannidae"
"greenish elaenia","myiopagis viridicata","tyrannidae"
"yellow-bellied elaenia","elaenia flavogaster","tyrannidae"
"lesser elaenia","elaenia chiriquensis","tyrannidae"
"ochre-bellied flycatcher","mionectes oleagineus","tyrannidae"
"paltry tyrannulet","zimmerius vilissimus","tyrannidae"
"northern scrub-flycatcher","sublegatus arenarum","tyrannidae"
"northern bentbill","oncostoma cinereigulare","tyrannidae"
"slate-headed                tody-flycatcher","poecilotriccus sylvia","tyrannidae"
"common tody-flycatcher","todirostrum cinereum","tyrannidae"
"eye-ringed flatbill","rhynchocyclus brevirostris","tyrannidae"
"yellow-olive flycatcher","tolmomyias sulphurescens","tyrannidae"
"stub-tailed spadebill","platyrinchus cancrominus","tyrannidae"
"golden-crowned spadebill","platyrinchus coronatus","tyrannidae"
"royal flycatcher","onychorhynchus coronatus","tyrannidae"
"ruddy-tailed flycatcher","terenotriccus erythrurus","tyrannidae"
"sulphur-rumped flycatcher","myiobius sulphureipygius","tyrannidae"
"black-tailed flycatcher","myiobius atricaudus","tyrannidae"
"olive-sided flycatcher","contopus cooperi","tyrannidae"
"western wood-pewee","contopus sordidulus","tyrannidae"
"eastern wood-pewee","contopus virens","tyrannidae"
"tropical pewee","contopus cinereus","tyrannidae"
"yellow-bellied flycatcher","empidonax flaviventris","tyrannidae"
"acadian flycatcher","empidonax virescens","tyrannidae"
"alder flycatcher","empidonax alnorum","tyrannidae"
"willow flycatcher","empidonax traillii","tyrannidae"
"least flycatcher","empidonax minimus","tyrannidae"
"bright-rumped attila","attila spadiceus","tyrannidae"
"rufous mourner","rhytipterna holerythra","tyrannidae"
"dusky-capped flycatcher","myiarchus tuberculifer","tyrannidae"
"panama flycatcher","myiarchus panamensis","tyrannidae"
"nutting's flycatcher","myiarchus nuttingi","tyrannidae"
"great crested flycatcher","myiarchus crinitus","tyrannidae"
"brown-crested flycatcher","myiarchus tyrannulus","tyrannidae"
"great kiskadee","pitangus sulphuratus","tyrannidae"
"boat-billed flycatcher","megarhynchus pitangua","tyrannidae"
"social flycatcher","myiozetetes similis","tyrannidae"
"gray-capped flycatcher","myiozetetes granadensis","tyrannidae"
"streaked flycatcher","myiodynastes maculatus","tyrannidae"
"sulphur-bellied flycatcher","myiodynastes luteiventris","tyrannidae"
"piratic flycatcher","legatus leucophaius","tyrannidae"
"tropical kingbird","tyrannus melancholicus","tyrannidae"
"western kingbird","tyrannus verticalis","tyrannidae"
"eastern kingbird","tyrannus tyrannus","tyrannidae"
"scissor-tailed flycatcher","tyrannus forficatus","tyrannidae"
"thrushlike schiffornis","schiffornis turdina","incertae sedis"
"rufous piha","lipaugus unirufus","incertae sedis"
"cinnamon becard","pachyramphus cinnamomeus","incertae sedis"
"white-winged becard","pachyramphus polychopterus","incertae sedis"
"black-and-white becard","pachyramphus albogriseus","incertae sedis"
"rose-throated becard","pachyramphus aglaiae","incertae sedis"
"masked tityra","tityra semifasciata","incertae sedis"
"black-crowned tityra","tityra inquisitor","incertae sedis"
"turquoise cotinga","cotinga ridgwayi","cotingidae"
"yellow-billed cotinga","carpodectes antoniae","cotingidae"
"three-wattled bellbird","procnias tricarunculatus","cotingidae"
"orange-collared manakin","manacus aurantiacus","pipridae"
"white-ruffed manakin","corapipo altera","pipridae"
"long-tailed manakin","chiroxiphia linearis","pipridae"
"blue-crowned manakin","pipra coronata","pipridae"
"red-capped manakin","pipra mentalis","pipridae"
"mangrove vireo","vireo pallens","vireonidae"
"yellow-throated vireo","vireo flavifrons","vireonidae"
"philadelphia vireo","vireo philadelphicus","vireonidae"
"red-eyed vireo","vireo olivaceus","vireonidae"
"yellow-green vireo","vireo flavoviridis","vireonidae"
"scrub greenlet","hylophilus flavipes","vireonidae"
"tawny-crowned greenlet","hylophilus ochraceiceps","vireonidae"
"lesser greenlet","hylophilus decurtatus","vireonidae"
"green shrike-vireo","vireolanius pulchellus","vireonidae"
"rufous-browed peppershrike","cyclarhis gujanensis","vireonidae"
"white-throated magpie-jay","calocitta formosa","corvidae"
"brown jay","cyanocorax morio","corvidae"
"gray-breasted martin","progne chalybea","hirundinidae"
"mangrove swallow","tachycineta albilinea","hirundinidae"
"violet-green swallow","tachycineta thalassina","hirundinidae"
"blue-and-white swallow","pygochelidon cyanoleuca","hirundinidae"
"northern rough-winged                swallow","stelgidopteryx serripennis","hirundinidae"
"southern rough-winged                swallow","stelgidopteryx ruficollis","hirundinidae"
"bank swallow","riparia riparia","hirundinidae"
"cliff swallow","petrochelidon pyrrhonota","hirundinidae"
"cave swallow","petrochelidon fulva","hirundinidae"
"barn swallow","hirundo rustica","hirundinidae"
"rufous-naped wren","campylorhynchus rufinucha","troglodytidae"
"black-bellied wren","thryothorus fasciatoventris","troglodytidae"
"riverside wren","thryothorus semibadius","troglodytidae"
"rufous-breasted wren","thryothorus rutilus","troglodytidae"
"rufous-and-white wren","thryothorus rufalbus","troglodytidae"
"banded wren","thryothorus pleurostictus","troglodytidae"
"plain wren","thryothorus modestus","troglodytidae"
"house wren","troglodytes aedon","troglodytidae"
"scaly-breasted wren","microcerculus marginatus","troglodytidae"
"long-billed gnatwren","ramphocaenus melanurus","sylviidae"
"white-lored gnatcatcher","polioptila albiloris","sylviidae"
"tropical gnatcatcher","polioptila plumbea","sylviidae"
"swainson's thrush","catharus ustulatus","turdidae"
"wood thrush","hylocichla mustelina","turdidae"
"clay-colored thrush","turdus grayi","turdidae"
"cedar waxwing","bombycilla cedrorum","bombycillidae"
"golden-winged warbler","vermivora chrysoptera","parulidae"
"tennessee warbler","vermivora peregrina","parulidae"
"tropical parula","parula pitiayumi","parulidae"
"yellow warbler","dendroica petechia","parulidae"
"chestnut-sided warbler","dendroica pensylvanica","parulidae"
"magnolia warbler","dendroica magnolia","parulidae"
"black-and-white warbler","mniotilta varia","parulidae"
"american redstart","setophaga ruticilla","parulidae"
"prothonotary warbler","protonotaria citrea","parulidae"
"worm-eating warbler","helmitheros vermivorum","parulidae"
"ovenbird&nbsp;","seiurus aurocapilla","parulidae"
"northern waterthrush","seiurus noveboracensis","parulidae"
"louisiana waterthrush","seiurus motacilla","parulidae"
"kentucky warbler","oporornis formosus","parulidae"
"mourning warbler","oporornis philadelphia","parulidae"
"macgillivray's warbler","oporornis tolmiei","parulidae"
"gray-crowned yellowthroat","geothlypis poliocephala","parulidae"
"hooded warbler","wilsonia citrina","parulidae"
"canada warbler","wilsonia canadensis","parulidae"
"rufous-capped warbler","basileuterus rufifrons","parulidae"
"buff-rumped warbler","phaeothlypis fulvicauda","parulidae"
"bananaquit coereba","flaveola genus","incertae sedis"
"gray-headed tanager","eucometis penicillata","thraupidae"
"white-throated                shrike-tanager","lanio leucothorax","thraupidae"
"white-shouldered tanager","tachyphonus luctuosus","thraupidae"
"red-crowned ant-tanager","habia rubica","thraupidae"
"summer tanager","piranga rubra","thraupidae"
"scarlet tanager","piranga olivacea","thraupidae"
"western tanager","piranga ludoviciana","thraupidae"
"cherrie's tanager","ramphocelus costaricensis","thraupidae"
"blue-gray tanager","thraupis episcopus","thraupidae"
"palm tanager","thraupis palmarum","thraupidae"
"golden-hooded tanager","tangara larvata","thraupidae"
"bay-headed tanager","tangara gyrola","thraupidae"
"blue dacnis","dacnis cayana","thraupidae"
"green honeycreeper","chlorophanes spiza","thraupidae"
"shining honeycreeper","cyanerpes lucidus","thraupidae"
"red-legged honeycreeper","cyanerpes cyaneus","thraupidae"
"blue-black grassquit","volatinia jacarina","emberizidae"
"slate-colored seedeater","sporophila schistacea","emberizidae"
"variable seedeater","sporophila americana","emberizidae"
"white-collared seedeater","sporophila torqueola","emberizidae"
"thick-billed seed-finch","oryzoborus funereus","emberizidae"
"orange-billed sparrow","arremon aurantiirostris","emberizidae"
"olive sparrow","arremonops rufivirgatus","emberizidae"
"black-striped sparrow","arremonops conirostris","emberizidae"
"stripe-headed sparrow","aimophila ruficauda","emberizidae"
"grayish saltator","saltator coerulescens","cardinalidae"
"buff-throated saltator","saltator maximus","cardinalidae"
"rose-breasted grosbeak","pheucticus ludovicianus","cardinalidae"
"blue-black grosbeak","cyanocompsa cyanoides","cardinalidae"
"blue grosbeak","passerina caerulea","cardinalidae"
"indigo bunting","passerina cyanea","cardinalidae"
"painted bunting","passerina ciris","cardinalidae"
"red-winged blackbird","agelaius phoeniceus","icteridae"
"eastern meadowlark","sturnella magna","icteridae"
"melodious blackbird","dives dives","icteridae"
"great-tailed grackle","quiscalus mexicanus","icteridae"
"bronzed cowbird","molothrus aeneus","icteridae"
"orchard oriole","icterus spurius","icteridae"
"baltimore oriole","icterus galbula","icteridae"
"scarlet-rumped cacique","cacicus uropygialis","icteridae"
"montezuma oropendola","psarocolius montezuma","icteridae"
"scrub euphonia","euphonia affinis","fringillidae"
"yellow-crowned euphonia","euphonia luteicapilla","fringillidae"
"thick-billed euphonia","euphonia laniirostris","fringillidae"
"yellow-throated euphonia","euphonia hirundinacea","fringillidae"
"spot-crowned euphonia","euphonia imitans","fringillidae"
"white-vented euphonia","euphonia minuta","fringillidae"
"NULL","NULL","NULL"
