"land","stadt","stadion","gr��e","heimatverein"
"deutschland","bad rothenfelde","salinensportplatz","5.000","sv bad rothenfelde"
"deutschland","bad vilbel","nidda-sportfeld","6.000","fv bad vilbel"
"deutschland","bad westernkotten","stadion am zehnthof","2.000","sus bad westernkotten"
"deutschland","bahlingen","kaiserstuhlstadion","8.000","bahlinger sc"
"deutschland","balingen","au-stadion","8.000","tsg balingen"
"deutschland","bamberg","volksparkstadion","22.500","1. fc 1901 bamberg"
"deutschland","barsinghausen","august-wenzel-stadion","3.000","#non-league#"
"deutschland","battenberg","stadion entenpark","2.500","fc ederbergland"
"deutschland","baunatal","parkstadion","12.000","ksv baunatal"
"deutschland","baunatal","langenbergkampfbahn","5.500","gsv eintracht baunatal"
"deutschland","bautzen","stadion m�llerwiese","5.000","fsv budissa bautzen"
"deutschland","bayreuth","hans-walter-wild-stadion","22.500","spvgg bayreuth"
"deutschland","beckum","r�merkampfbahn","8.000","spvgg beckum"
"deutschland","beelen","neum�hlenstadion","2.500","blau-wei� beelen"
"deutschland","bergheim-oberaussem","werner-lehmann-stadion","5.000","spvgg 1919 oberaussem-fortuna"
"deutschland","bergisch-gladbach","stadion paffrather strasse","10.000","ssg bergisch-gladbach"
"deutschland","berlin","olympiastadion","76.005","hertha bsc berlin"
"deutschland","berlin","mommsenstadion","11.000","tennis borussia berlin"
"deutschland","berlin-hohensch�nhausen","sportforum hohensch�nhausen","12.000","berliner fc dynamo"
"deutschland","berlin","friedrich-ludwig-jahn-sportpark","20.000","z.z. t�rkiyemspor berlin"
"deutschland","berlin","amateur-stadion","4.500","hertha bsc berlin am."
"deutschland","berlin","poststadion","4.000","berlin ankaraspor kul�b�"
"deutschland","berlin-wedding","stadion l�deritzstra�e","3.000","#non-league#"
"deutschland","berlin-kreuzberg","katzbachstadion","3.300","fr�her t�rkiyemspor berlin"
"deutschland","berlin-spandau","stadion ziegelhof","3.000","fc spandau 06"
"deutschland","berlin-wilmersdorf","volkspark wilmersdorf","2.000","1. fc wilmersdorf"
"deutschland","berlin-k�penick","stadion alte f�rsterei","18.100","1.fc union berlin"
"deutschland","berlin-wedding","hanne-sobek-sportanlage","3.000","sv yesilyurt"
"deutschland","berlin-lichterfelde","stadion lichterfelde","6.000","vfb lichterfelde sd croatia berlin"
"deutschland","berlin-zehlendorf","ernst-reuter-sportfeld","5.000","fc hertha 03 zehlendorf"
"deutschland","berlin-lichtenberg","hans-zoschke-stadion","15.000","sv lichtenberg 47"
"deutschland","berlin-britz","nebenplatz sportanlage britz-s�d","3.000","djk sw neuk�lln ii"
"deutschland","berlin-kreuzberg","stadion z�llichauer stra�e","8.000","sc berliner amateure"
"deutschland","berlin-lankwitz","preussenstadion malteserstrasse","7.000","berliner fc preussen"
"deutschland","berlin-lichtenrade","sportplatz halker zeile","1.200","lichtenrader bc"
"deutschland","berlin-neuk�lln","sportpark neuk�lln","5.000","sv tasmania gropiusstadt"
"deutschland","berlin-reinickendorf","sportplatz freiheitsweg","3.000","reinickendorfer f�chse"
"deutschland","berlin-spandau","sportplatz neuendorfer strasse","3.000","spandauer sv"
"deutschland","bernbach","sportplatz an der birkenhainer strasse","4.000","sv bernbach"
"deutschland","betzdorf","stadion auf der b�hl","2.500","sg 06 betzdorf"
"deutschland","bielefeld","sch�co-arena (alm)","26.601","dsc arminia bielefeld"
"deutschland","bielefeld","hartalm","500","dsc arminia bielefeld iii"
"deutschland","bielefeld-brackwede","stadion brackwede","3.000","fr�her dsc arminia bielefeld ii"
"deutschland","bielefeld-brackwede","sportplatz kupferhammer","2.000","fc t�rk sport bielefeld"
"deutschland","bielefeld","stadion ru�heide","15.000","vfb/fichte bielefeld"
"deutschland","bielefeld","stadion stadtheide","3.000","teutonia altstadt"
"deutschland","bielefeld-j�llenbeck","naturstadion","2.000","tus j�llenbeck"
"deutschland","bielefeld-dornberg","am m�hlenbrink","1.500","tus dornberg"
"deutschland","bielefeld-theesen","sportanlage gaudigstra�e","2.500","vfl theesen"
"deutschland","bingen","stadion am hessenhaus","5.000","hassia bingen"
"deutschland","bocholt","am h�nting","18.000","1.fc bocholt"
"deutschland","bochum","ruhrstadion","32.645","vfl bochum"
"deutschland","bochum","nebenplatz ruhrstadion","1.500","fr�her vfl bochum am."
"deutschland","bochum-wattenscheid","lohrheidestadion","19.500","sg wattenscheid 09"
"deutschland","bochum-wattenscheid","espenloh","2.000","sg wattenscheid 09 ii"
"deutschland","bochum-langendreer","stadion am hessenteich","12.000","sv langendreer 04"
"deutschland","bochum-hordel","hordeler heide","6.000","djk tus hordel"
"deutschland","bochum-kornharpen","stadion burkuhle","5.000","sv vorw�rts kornhapen"
"deutschland","bockenem","karl-binder-stadion","2.000","sv bockenem"
"deutschland","b�nen","stadion am rehbusch","4.000","spvgg b�nen"
"deutschland","b�nnigstedt","sportzentrum b�nnigstedt","2.000","sv rugenbergen"
"deutschland","bonn","sportpark nord","12.000","bonner sc"
"deutschland","borken","stadion im trier","2.500","sg borken"
"deutschland","bornreihe","sportanlage bornreihe","4.000","sv blau-wei� bornreihe"
"deutschland","bottrop","jahnstadion","23.000","vfb bottrop"
"deutschland","bottrop","bza in den weywiesen","6.000","sv bottrop 1911"
"deutschland","bottrop-kirchhellen","bza loewenfeldstr.","3.000","vfb kirchhellen"
"deutschland","brakel","sportzentrum pahenwinkel","3.000","spvg. brakel"
"deutschland","brakel","nethegau-stadion","4.000","fr�her spvg. brakel"
"deutschland","brandenburg","werner-seelenbinder-sportplatz","6.000","brandenburger sc s�d 05"
"deutschland","braunfels","stadion schlo�blick","5.000","fsv braunfels"
"deutschland","braunschweig","stadion hamburger stra�e","25.000","eintracht braunschweig"
"deutschland","braunschweig","b-platz hamburger stra�e","3.000","eintracht braunschweig ii"
"deutschland","braunschweig","ft-stadion prinzenpark","4.000","ft braunschweig"
"deutschland","braunschweig-�lper","stadion biberweg","2.500","bsv �lper 2000"
"deutschland","bremen","weserstadion","35.282","werder bremen"
"deutschland","bremen","weserstadion platz 11","3.500","werder bremen ii"
"deutschland","bremen","stadion panzenberg","8.000","bremer sv"
"deutschland","bremen-oberneuland","sportplatz vinnenweg","5.000","fc oberneuland"
"deutschland","bremen-schwachhausen","sportanlage konrad-adenauer-allee","1.000","tus schwachhausen"
"deutschland","bremen-vegesack","stadion vegesack","3.000","sg aumund-vegesack"
"deutschland","bremerhaven","zollinlandplatz","3.000","fc bremerhaven"
"deutschland","bremerhaven-wulsdorf","sportplatz wulsdorf","1.000","tsv wulsdorf"
"deutschland","brilon","stadion an der jakobuslinde","3.000","sv brilon"
"deutschland","bruchk�bel","sportplatz am wald","2.000","sg bruchk�bel"
"deutschland","br�hl","schlo�parkstadion","15.000","sc renault br�hl"
"deutschland","buchbach","jahnstadion","3.000","tsv buchbach"
"deutschland","buchholz","otto-koch-kampfbahn","3.000","tsv buchholz 08"
"deutschland","b�ckeburg","jahnstadion","2.000","vfl b�ckeburg"
"deutschland","b�delsdorf","eiderstadion","8.000","gelgentlich ft eider b�delsdorf"
"deutschland","b�nde","erich-martens-stadion","5.000","b�nder sv"
"deutschland","burg","stadion am flickschupark","2.000","burger bc"
"deutschland","burgbrohl","gleestalstadion","4.500","sg brohltal-burgbrohl"
"deutschland","burghausen","wacker-arena","8.900","sv wacker burghausen"
"deutschland","buttst�dt","werner-seelenbinder-sportanlage","2.000","sv empor buttst�dt"
"deutschland","buxtehude","jahnstadion","5.500","bsv buxtehude"
"deutschland","castrop-rauxel","st�dtisches stadion","15.500","#non-league#"
"deutschland","castrop-rauxel","kampfbahn habichthorst","4.000","vfb habinghorst"
"deutschland","celle","st�dtisches stadion","15.000","tus celle"
"deutschland","cham-vilzing","sportplatz am huthgarten","2.000","djk vilzing"
"deutschland","chemnitz","stadion an der gellertstra�e","15.000","chemnitzer fc"
"deutschland","chemnitz","stadion an der beyerstrasse","4.000","vfb chemnitz"
"deutschland","clarholz","holzhofstadion","1.500","tsv victoria clarholz"
"deutschland","cloppenburg","stadion friesoyther str.","6.000","bv cloppenburg"
"deutschland","cottbus","stadion der freundschaft","22.500","fc energie cottbus"
"deutschland","cottbus","stadion der eisenbahner","7.000","fc energie cottbus am."
"deutschland","crailsheim","sch�nb�rgstadion","5.000","tsv crailsheim"
"deutschland","cuxhaven","kampfbahn h. allmers stra�e","6.000","sv rot-wei� cuxhaven"
"deutschland","damme","dersa-sportpark","4.000","rot-weiss damme"
"deutschland","darmstadt","stadion b�llenfaltor","24.000","sv darmstadt 98"
"deutschland","dattenfeld","sportpark germania","1.000","fc germania dattenfeld"
"deutschland","davensberg","waldstadion","1.500","davaria davensberg"
"deutschland","delbr�ck","am laumeskamp","2.500","delbr�cker sc"
"deutschland","delmenhorst","stadion d�sternortstrasse","12.000","delmenhorster sc"
"deutschland","dessau","paul-greifzu-stadion","20.000","fc anhalt dessau"
"deutschland","dessau","schillerpark","5.000","sv dessau 05"
"deutschland","diepholz","m�hlenkampstadion","2.000","sg diepholz"
"deutschland","ditzingen","trumpfstadion","4.000","tsf ditzingen"
"deutschland","donaueschingen","anton-mall-stadion","3.000","fv donaueschingen"
"deutschland","dorsten-hardt","pestalozzi-stadion","4.000","sv dorsten-hardt"
"deutschland","dorsten-hervest","ellerbruch-stadion","12.000","sus hervest"
"deutschland","dortmund","westfalenstadion","81.000","borussia dortmund"
"deutschland","dortmund","stadion rote erde","25.000","borussia dortmund ii"
"deutschland","dortmund","stadion deutsch-luxemburger str.","3.000","fv hombruch"
"deutschland","dortmund","stadion aplerbeck","2.000","sc aplerbeck"
"deutschland","dortmund","tsc-stadion an der flora","10.000","tsc eintracht dortmund"
"deutschland","dortmund","mendesportplatz fredenbaum","3.000","fr�her borussia dortmund am."
"deutschland","dortmund-eving","sportplatz am gr�vingholz","1.000","sg ph�nix eving"
"deutschland","dortmund-l�tgendortmund","stadion im rauhen holz","2.000","sg l�tgendortmund"
"deutschland","dortmund-marten","bsa wischlinger weg","5.000","sv arminia marten"
"deutschland","dresden","rudolf-harbig stadion","16.874","dynamo dresden"
"deutschland","dresden","heinz-steyer-stadion","5.000","dresdner sc 98"
"deutschland","dresden","stadion j�gerpark","5.000","sc borea dresden"
"deutschland","dresden","stadion wurzener stra�e","5.000","fr�her fv dresden-nord"
"deutschland","duisburg","msv-arena","30.128","msv duisburg"
"deutschland","duisburg","wedaustadion (alt)","30.112","fr�her msv duisburg"
"deutschland","duisburg-hamborn","bza im holtkamp","6.000","sf hamborn 07"
"deutschland","duisburg-rumeln","stadion am waldborn","2.000","fr�her fc rumeln duisburg"
"deutschland","duisburg-homberg","schillerstadion","10.000","#non-league#"
"deutschland","duisburg-homberg","pcc-stadion","7.000","fcr duisburgvfb homberg"
"deutschland","duisburg-meiderich","bza westender strasse","4.000","msv duisburg am."
"deutschland","duisburg-marxloh","schwelgernkampfbahn","27.000","#non-league#"
"deutschland","duisburg-neudorf","hans-walter-gerlach-stadion","2.500","tura 88 duisburg"
"deutschland","d�lmen","tsg-stadion","4.000","tsg d�lmen"
"deutschland","d�ren","stadion an der papierm�hle","2.000","gfc d�ren"
"deutschland","d�rwi�","stadion j�lichauer stra�e","4.000","fc germania d�rwi�"
"deutschland","d�sseldorf","rheinstadion","55.850","#non-league#"
"deutschland","d�sseldorf","paul-janes-stadion","7.150","fortuna d�sseldorf ii"
"deutschland","d�sseldorf","ltu-arena","52.000","fortuna d�sseldorf"
"deutschland","d�sseldorf","stadion feuerbachstrasse","8.000","turu d�sseldorf"
"deutschland","d�sseldorf-bilk","sportplatz f�hrstrasse","1.500","djk sparta bilk"
"deutschland","eberswalde","westendstadion","4.000","fv motor eberswalde"
"deutschland","eilenburg","ilburg-stadion","3.500","fc eilenburg"
"deutschland","einbeck","stadion sch�tzenstrasse","5.000","svg einbeck"
"deutschland","eisenh�ttenstadt","stadion der h�ttenwerker","9.000","eisenh�ttenst�dter fc stahl"
"deutschland","elversberg","waldstadion","5.000","spvgg elversberg"
"deutschland","emden","dr. helmut-riedl-stadion","10.000","bsv kickers emden"
"deutschland","emmendingen","elzstadion","10.000","fc emmendingen"
"deutschland","emsdetten","salvus-stadion (am wasserturm)","5.000","sv emsdetten"
"deutschland","emsdetten","stadion teekotten","2.000","borussia emsdetten"
"deutschland","enger","jahnsportplatz","2.000","sv enger-westerenger"
"deutschland","enger-westerenger","rasenplatz holunderweg","1.000","ausweichplatz sv enger-westerenger"
"deutschland","engers","stadion am wasserturm","5.000","fv engers"
"deutschland","ennepetal","bremenstadion","12.000","tus ennepetal"
"deutschland","eppingen","waldsportplatz","8.000","vfb eppingen"
"deutschland","erfurt","steigerwaldstadion","20.000","rw erfurt"
"deutschland","erfurt","sportplatz grubenstra�e","4.000","ssv erfurt-nord"
"deutschland","erkenschwick","stimberg-stadion","20.000","spvgg erkenschwick"
"deutschland","erlangen-bruck","sportplatz bruck","1.000","fsv erlangen-bruck"
"deutschland","erlinghausen","hudestadion","1.000","sv rot-wei� erlinghausen"
"deutschland","erndtebr�ck","pulverkampfbahn","2.000","tus erndtebr�ck"
"deutschland","erwitte-horn","trotzbachstadion","1.500","sv rot-wei� horn"
"deutschland","erzhausen","sportplatz heinrichstra�e","1.500","sv erzhausen"
"deutschland","eschborn","heinrich-graf-sportanlage","3.200","1.fc eschborn"
"deutschland","eschwege","sportanlage torwiese","1.500","sv 07 eschwege"
"deutschland","espelkamp","albert-p�rsten-stadion","1.500","fc preu�en espelkamp"
"deutschland","essen","georg-melches-stadion","25.600","rot-weiss essen"
"deutschland","essen","stadion uhlenkrug","20.000","schwarz-wei� essen"
"deutschland","essen","grugastadion","33.000","#non-league#"
"deutschland","essen","stadion b�uminghausstrasse (rasen)","15.000","helene essen"
"deutschland","essen","stadion b�uminghausstrasse (asche)","2.000","helene essen ii"
"deutschland","essen","stadion raumerstra�e","13.000","ph�nix essen"
"deutschland","essen","stadion seumannstra�e","3.000","rot-weiss essen iipsv essen"
"deutschland","essen","bezirkssportanlage am hallo","3.800","sg essen-sch�nebeck"
"deutschland","euskirchen","erftstadion","8.000","euskirchener tsc"
"deutschland","falkensee","sportplatz leistikowstra�e","1.000","sv falkensee/finkenkrug"
"deutschland","fernwald-steinbach","waldstadion","2.500","fsv 1926 fernwald"
"deutschland","feucht","waldstadion","4.000","1. sc feucht"
"deutschland","filderstadt-bonlanden","sportplatz humboldtstrasse","2.000","sv bonlanden"
"deutschland","flaesheim-hillen","haardtkampfbahn","4.000","ffc flaesheim-hillen"
"deutschland","flensburg","flensburg-stadion","12.000","flensburger spvgg 08"
"deutschland","flieden","sportplatz am weiher","2.000","sv buchonia flieden"
"deutschland","frankfurt","commerzbank-arena","61.146","eintracht frankfurt"
"deutschland","frankfurt","waldstadion (alt)","60.659","fr�her eintracht frankfurt"
"deutschland","frankfurt","volksbank stadion","24.000","fsv frankfurt"
"deutschland","frankfurt","stadion am riederwald","7.000","fr�her eintracht frankfurt ii"
"deutschland","frankfurt","stadion am brentanobad","7.000","sg rot-weiss frankfurt 1.ffc frankfurt"
"deutschland","frankfurt","nebenplatz volksbank stadion","1.000","fsv frankfurt ii"
"deutschland","frankfurt/oder","stadion der freundschaft","12.000","frankfurter fc viktoria"
"deutschland","freialdenhoven","sportplatz edener stra�e","2.000","borussia freialdenhoven"
"deutschland","freiberg","wasenstadion","4.500","sgv freiberg"
"deutschland","freiburg","badenova-stadion (dreisamstadion)","25.000","sc freiburg"
"deutschland","freiburg","m�slestadion","18.000","sc freiburg am."
"deutschland","freiburg","sch�nbergstadion","3.000","freiburger fc"
"deutschland","freising","savoyer au","5.000","sc eintracht freising"
"deutschland","frohnlach","waldstadion wirtsteich","8.000","vfl frohnlach"
"deutschland","fulda","stadion johannisau","18.000","sc borussia fulda"
"deutschland","f�rstenfeldbruck","stadion klosterstra�e","5.000","sc f�rstenfeldbruck"
"deutschland","f�rth","playmobilstadion","15.500","spvgg greuther f�rth"
"deutschland","f�rth","gustav-schickedanz-stadion","7.000","sg quelle f�rth"
"deutschland","f�rth-mannhof","am sportplatz elf","3.000","asv vach"
"deutschland","geilenkirchen-h�nshoven","waldstadion","4.000","fsv 09 geilenkirchen-h�nshoven"
"deutschland","gelsenkirchen","parkstadion","62.109","# non-league #"
"deutschland","gelsenkirchen","gl�ckauf-kampfbahn","15.000","fc sch...e 04 am."
"deutschland","gelsenkirchen-horst","f�rstenbergstadion","28.000","stv horst-emscher"
"deutschland","gelsenkirchen","arenahalle","65.000","fc sch...e 04"
"deutschland","gelsenkirchen-hassel","stadion l�ttinghof","10.000","sc hassel"
"deutschland","gelsenkirchen-buer","stadion l�chterheide","6.000","ssv buer"
"deutschland","gelsenkirchen-erle","am forsthaus","5.000","sv erle 08"
"deutschland","gelsenkirchen-hessler","jahnstadion","10.000","sv hessler 06"
"deutschland","gelsenkirchen-resse","stadion emscherbruch","6.000","viktoria resse"
"deutschland","gera","stadion der freundschaft","15.900","1.fc gera"
"deutschland","geseke","stadion kreuzbreite","3.000","sv 03 geseke"
"deutschland","giessen","waldstadion","10.000","vfb giessen"
"deutschland","gifhorn","stadion flutmulde","4.000","mtv gifhorn"
"deutschland","gifhorn","stadion carl-diem-stra�e","6.000","fr�her mtv gifhorn"
"deutschland","gladbeck","stadion gladbeck (vestische kampfbahn)","30.000","wacker gladbeck"
"deutschland","gladbeck","sportplatz am krusenkamp","2.000","djk germania gladbeck"
"deutschland","gladbeck-zweckel","bsa zweckel","4.000","sv zweckel"
"deutschland","goch","hubert-houben-stadion","4.000","viktoria goch"
"deutschland","goslar","osterfeldstadion","10.000","goslarer sc 1908"
"deutschland","gotha","volksparkstadion","10.000","sg gotha/friemar"
"deutschland","g�rlitz","sportst�tte junge welt","4.000","nfv gelb-wei� g�rlitz"
"deutschland","g�ttingen","jahnstadion","17.500","fr�her 1. sc g�ttingen 05"
"deutschland","grebenstein","sauertalstadion","2.500","tuspo grebenstein"
"deutschland","greifswald","volksstadion","4.344","greifswalder sv 04"
"deutschland","grevenbroich","schlo�stadion","6.000","tus grevenbroich"
"deutschland","grevenbroich-kapellen","erftstadion","3.000","sc kapellen-erft"
"deutschland","griesheim","stadion hegelsberg","5.000","sc viktoria griesheim"
"deutschland","grimma","stadion der freunschaft","8.000","sv 1919 grimma"
"deutschland","gro�almerode","schwarzenbergstadion","3.500","fc gro�almerode"
"deutschland","gro�bardorf","tsv-sportzentrum","2.500","tsv gro�bardorf"
"deutschland","g�tersloh","laz-nord","4.000","fc g�tersloh 2000 ii"
"deutschland","g�tersloh","heidewaldstadion","12.500","fc g�tersloh 2000"
"deutschland","g�tersloh-spexard","sv-sportanlage","2.000","sv spexard"
"deutschland","g�tersloh-avenwedde","sv-sportplatz","2.000","sv avenwedde"
"deutschland","g�tersloh","stadion am ring","5.000","bw g�tersloh"
"deutschland","guxhagen","sportplatz unter den eichen","2.000","tuspo 1888 guxhagen"
"deutschland","habichtswald-d�rnberg","bergstadion","1.500","fsv d�rnberg"
"deutschland","hagen","ischelandstadion","15.000","ssv hagen"
"deutschland","hagen-haspe","bza haspe","4.000","hasper sv"
"deutschland","hagen-hohenlimburg","kirchenbergstadion","5.000","sv hohenlimburg"
"deutschland","hagen-boele","kampfbahn boelerheide","6.000","sg boelerheide"
"deutschland","haiger","stadion auf den haarwasen","5.000","eintracht haiger"
"deutschland","halberstadt","friedensstadion","15.000","vfb germania halberstadt"
"deutschland","haldensleben","waldstadion","8.000","haldensleber sc"
"deutschland","halle/ saale","kurt-wabbel-stadion","23.000","hallescher fc"
"deutschland","halstenbek","jakob-thode-platz","2.500","sv halstenbek-rellingen"
"deutschland","hamburg","volksparkstadion (alt)","55.000","fr�her hamburger sv"
"deutschland","hamburg","aol-arena","55.000","hamburger sv"
"deutschland","hamburg","millerntorstadion","20.735","fc st. pauli"
"deutschland","hamburg","sportplatz oldenfelde","3.000","sc condor hamburg"
"deutschland","hamburg","stadion marienthal","5.500","concordia hamburg"
"deutschland","hamburg","wolfgang-meyer-sportanlage","3.000","hamburger sv (a)"
"deutschland","hamburg","jonny-arfert-sportplatz","5.000","sv lurup"
"deutschland","hamburg","sternschanzenpark","2.000","fc st. pauli (a)"
"deutschland","hamburg-altona","adolf-j�ger-kampfbahn","10.000","altonaer fc 93"
"deutschland","hamburg-bergedorf","sander tannen","12.000","asv bergedorf 85"
"deutschland","hamburg-hoheluft","stadion hohe luft","12.000","sc victoria hamburg"
"deutschland","hamburg-niendorf","sportanlage sachsenweg","3.500","niendorfer tsv"
"deutschland","hamburg-uhlenhorst","jonny rehbein sportplatz","2.000","uhlenhorster sc paloma"
"deutschland","hamburg-eidelstedt","elbgaustrasse","3.000","sv eidelstedt"
"deutschland","hamburg-eimsb�ttel","reinm�llerplatz","2.000","hamburg-eimsb�tteler bc"
"deutschland","hamburg-barmbek","rupprechtplatz","5.000","hsv barmbek-uhlenhorst"
"deutschland","hamburg","sportplatz alsterredder","2.000","fr�her tsv sasel"
"deutschland","hamburg","borgweg-stadion","4.000","vfl 93 hamburg"
"deutschland","hamburg","rudi-barth-sportplatz","6.500","sc union 03 hamburg"
"deutschland","hamburg-curslack","sportplatz gramkowweg","2.000","sv curslack-neuengamme"
"deutschland","hameln","weserbergland-stadion","12.000","spvgg preussen hameln 07"
"deutschland","hameln-t�ndern","kampfbahn hameln","1.000","hsc bw schwalbe t�ndern"
"deutschland","hamm/westf.","mahlbergstadion","8.500","hammer spvgg"
"deutschland","hamm/westf.","jahnstadion","11.000","#non-league#"
"deutschland","hamm/westf.-bockum-h�vel","adolf-br�hl-kampfbahn","8.000","sva bockum-h�vel"
"deutschland","hamm/westf.-heessen","marienstadion","3.000","sc eintracht hamm"
"deutschland","hamm/sieg","vfl-platz","5.000","vfl hamm/sieg"
"deutschland","hannover","niedersachsenstadion (alt)","55.078","fr�her hannover 96"
"deutschland","hannover","awd-arena","48.933","hannover 96"
"deutschland","hannover","bischofsholer damm","18.000","arminia hannover"
"deutschland","hannover","eilenriedestadion","21.000","hannover 96 am."
"deutschland","hannover","oststadtstadion","8.000","osv hannover"
"deutschland","hannover-ricklingen","beekestadion","4.000","sf ricklingen"
"deutschland","hannover","mehrkampfanlage","4.000","sv damla"
"deutschland","hannover","sportplatz hebbelstrasse","4.000","tsv fortuna sachsenross hannover"
"deutschland","hardheim","tv-sportplatz","3.500","tv hardheim"
"deutschland","harsewinkel","moddenbachstadion","5.000","tsg harsewinkel"
"deutschland","hauenstein","stadion am neding","3.500","sc hauenstein"
"deutschland","hauenstein","wasgaustadion","5.000","fr�her sc hauenstein"
"deutschland","havelse","wilhelm-langrehr-stadion","6.000","tsv havelse"
"deutschland","heeslingen","waldsportplatz","1.500","tus heeslingen"
"deutschland","heide","stadion meldorfer stra�e","7.500","heider sv"
"deutschland","heidelberg-kirchheim","sportzentrum s�d","7.000","sg heidelberg-kirchheim"
"deutschland","heidenheim","albstadion","6.000","heidenheimer sb"
"deutschland","heilbronn","frankenstadion","17.200","z.z. sg sonnenhof gro�aspach"
"deutschland","heimstetten","sportpark heimstetten","4.000","sv heimstetten"
"deutschland","helmbrechts","frankenwaldsportst�tte","15.000","vfb helmbrechts"
"deutschland","henstedt-rhen","sportplatz alsterquelle","2.000","sv henstedt-rhen"
"deutschland","herford","nebenplatz jahnstadion","3.000","sc herford(im winter �fter)"
"deutschland","herford","jahnstadion","18.500","sc herford"
"deutschland","herne","schlo� str�nkede","36.000","westfalia herne"
"deutschland","herne-sodingen","gl�ckaufstadion / holzplatz","12.000","sv sodingen"
"deutschland","herten","katzenbuschstadion","5.000","spvgg herten"
"deutschland","herten","stadion villa brinkmann","3.000","sg herten-langenbochum"
"deutschland","herzlake","hasetalstadion","6.000","vfl herzlake"
"deutschland","hettstedt","stadion walzwerkh�uschen","4.500","fsv hettstedt"
"deutschland","heusweiler-kutzhof","stadion renkertsm�hle","2.000","fc kutzhof"
"deutschland","hilden","bza am bandsbusch","4.500","vfb 03 hilden"
"deutschland","hilden","sportplatz furtw�ngler strasse","3.000","sv hilden-nord"
"deutschland","hildesheim","friedrich-ebert-stadion","18.000","vfv hildesheim"
"deutschland","hildesheim-bavenstedt","brunnenkopp-sportpark","1.500","sv bavenstedt"
"deutschland","hof/saale","stadion gr�ne au","22.000","fc bayern hof"
"deutschland","hof/saale","hans-peters-sportplatz (ossecker str.)","5.000","spvgg bayern hof ii"
"deutschland","hoffenheim","dietmar-hopp-stadion","5.000","tsg hoffenheim"
"deutschland","holthausen-biene","stadion biener busch","2.500","sv holthausen-biene"
"deutschland","holzwickede","emscherstadion","5.000","spvgg holzwickede"
"deutschland","homburg/saar","waldstadion","24.000","fc homburg"
"deutschland","h�velhof","waldkampfbahn","1.000","sv h�velhof"
"deutschland","h�xter","weserkampfbahn","2.000","sv h�xter"
"deutschland","h�nfeld","rh�nkampfbahn","4.000","h�nfelder sv"
"deutschland","h�rth","stadion h�rth","5.000","spvg h�rth-herm�lheim"
"deutschland","h�rth-berrenrath","sportplatz am maria bronn","3.000","fc h�rth"
"deutschland","idar-oberstein","stadion im haag","7.500","sc idar-oberstein"
"deutschland","idstein-w�rsdorf","sportplatz w�rsdorf","3.000","tsg w�rsdorf"
"deutschland","ihrhove","hindenburg-stadion","6.000","sv concordia ihrhove"
"deutschland","illertissen-au","heinrich-o�wald-stadion","3.000","spvgg au/iller"
"deutschland","ingelheim","stadion blumengarten","4.000","spvgg ingelheim"
