"city","state","airport","airport code"
"ukiah","ca","ukiah municipal airport","NULL"
"visalia","ca","visalia municipal airport","vis"
"windsor","ca","sonoma county airport","sts"
"alamosa","co","san luis valley regional airport","als"
"aspen","co","aspen pitkin county airport-sardy field","ase"
"aurora","co","buckley air national guard base","NULL"
"aurora","co","aurora airport","NULL"
"aurora","co","buckley air force base","NULL"
"baxter","co","pueblo memorial airport","pub"
"boulder","co","boulder municipal airport","NULL"
"colorado springs","co","city of colorado springs airport","cos"
"cortez","co","cortez-montezuma county airport","cez"
"craig south highlands","co","craig-moffat airport","NULL"
"denver","co","denver international airport","den"
"erie","co","tri county airport","NULL"
"grand junction","co","walker field airport","gjt"
"greeley","co","greeley weld county airport","NULL"
"gunnison","co","gunnison county airport","guc"
"gypsum","co","eagle county regional airport","ege"
"hayden","co","yampa valley airport","hdn"
"la junta village","co","la junta municipal airport","NULL"
"longmont","co","vance brand airport","NULL"
"loveland","co","fort collins loveland municipal airport","fnl"
"montrose","co","montrose regional airport","mtj"
"oxford","co","durango la plata county airport","dro"
"poncha springs","co","harriet alexander field airport","NULL"
"steamboat springs","co","steamboat springs airport-bob adams field","NULL"
"vance junction","co","telluride regional airport","tex"
"east haven","ct","tweed new haven airport","hvn"
"groton","ct","groton new london airport","NULL"
"meriden","ct","meriden markham municipal airport","NULL"
"windsor locks","ct","bradley international airport","bdl"
"araquey","fl","st augustine airport","NULL"
"bay lake","fl","lake buena vista airport","NULL"
"cross city","fl","cross city airport","NULL"
"dania beach","fl","fort lauderdale hollywood international airport","fll"
"daytona beach","fl","daytona beach international airport","dab"
"de land","fl","deland municipal airport-sidney h taylor field","NULL"
"eglin village","fl","northwest florida regional airport","NULL"
"fort myers","fl","southwest florida international airport","rsw"
"fort redoubt","fl","pensacola naval air station-forrest sherman field","NULL"
"gainesville","fl","gainesville regional airport","gnv"
"istokpoga","fl","sebring regional airport","NULL"
"jacksonville","fl","jacksonville international airport","jax"
"jacksonville","fl","jacksonville naval air station","NULL"
"key west","fl","key west international airport","eyw"
"melbourne","fl","melbourne international airport","mlb"
"miami","fl","miami international airport","mia"
"miami beach","fl","miami public seaplane base","NULL"
"naples","fl","naples municipal airport","apf"
"newco","fl","lake city municipal airport","NULL"
"old marco junction","fl","marco island airport","NULL"
"orlando","fl","orlando executive airport","NULL"
"orlando","fl","orlando international airport","mco"
"panama city","fl","panama city bay county airport","pfn"
"pensacola","fl","pensacola regional airport","pns"
"pinellas park","fl","st. petersburg-clearwater international airport","pie"
"postil","fl","eglin air force base","vps"
"sanford","fl","orlando sanford international airport","sfb"
"sarasota","fl","sarasota bradenton airport","srq"
"tallahassee","fl","tallahassee regional airport","tlh"
"tampa","fl","macdill air force base","NULL"
"tampa","fl","tampa international airport","tpa"
"west palm beach","fl","palm beach international airport","pbi"
"albany","ga","albany naval air station","NULL"
"athens","ga","athens-ben epps airport","NULL"
"atlanta","ga","atlanta perimeter mall heliport","NULL"
"augusta","ga","bush field airport","ags"
"baldwin","ga","habersham county airport","NULL"
"baxley","ga","baxley municipal airport","NULL"
"blakely","ga","early county airport","NULL"
"calhoun","ga","tom b david field airport","NULL"
"claxton","ga","claxton evans county airport","NULL"
"college park","ga","hartsfield-jackson atlanta international airport","atl"
"columbus","ga","columbus metro airport","csg"
"columbus","ga","mckenna army air field","NULL"
"cordele","ga","crisp county-cordele airport","NULL"
"flemington","ga","wright army air field","NULL"
"gainesville","ga","lee gilmer memorial airport","NULL"
"homerville","ga","homerville airport","NULL"
"lawrenceville","ga","gwinnett county airport-briscoe field","NULL"
"marietta","ga","dobbins air reserve base","NULL"
"marietta","ga","naval air station atlanta","NULL"
"metter","ga","metter municipal airport","NULL"
"moultrie","ga","spence airport","NULL"
"pooler","ga","savannah international airport","sav"
"thalman","ga","glynco jetport airport","bqk"
"tifton","ga","henry tift myers airport","NULL"
"toccoa","ga","toccoa rg letourneau field airport","NULL"
"touraine","ga","thomasville municipal airport","NULL"
"valdosta","ga","valdosta regional airport","vld"
"walden","ga","middle georgia regional airport","mcn"
"warner robins","ga","robins air force base","NULL"
"willingham","ga","sylvester airport","NULL"
"winder","ga","winder barrow airport","NULL"
"hanamaulu","hi","lihue airport","lih"
"honolulu","hi","honolulu international airport","hnl"
"hoolehua","hi","molokai airport","mkk"
"kaeleku","hi","hana airport","hnm"
"kalaupapa","hi","kalaupapa airport","lup"
"kamuela","hi","waimea kohala airport","mue"
"kaumalapau","hi","lanai airport","lny"
"keaukaha","hi","hilo international airport","ito"
"lower village three","hi","kahului airport","ogg"
"mahaiula","hi","kailua-kona international airport","koa"
"mahinahina camp","hi","kapalua west maui airport","jhm"
"mana","hi","barking sands pacific missile range facility","NULL"
"port allen","hi","port allen airport","NULL"
"puukolii","hi","kaanapali airport","NULL"
"arbon valley","id","pocatello municipal airport","pih"
"barrymore","id","jerome county airport","NULL"
"boise","id","boise air terminal","boi"
"caldwell","id","caldwell industrial airport","NULL"
"challis","id","challis airport","NULL"
"driggs","id","teton peaks-driggs municipal airport","NULL"
"dubois","id","dubois municipal airport","NULL"
"hailey","id","friedman memorial airport","sun"
"idaho falls","id","fanning field airport","ida"
"lewiston","id","lewiston nez perce county airport","lws"
"mccall","id","mccall airport","NULL"
"sandpoint","id","dave wall field airport","NULL"
"twin falls","id","twin falls-sun valley regional airport","twf"
"ayers","il","tri township airport","NULL"
"bartonville","il","greater peoria regional airport","pia"
"bloomington","il","bloomington normal airport","bmi"
"burton","il","quincy municipal airport-baldwin field","uin"
"carbondale","il","southern illinois airport","NULL"
"chicago","il","chicago midway international airport","mdw"
"chicago","il","chicago o'hare international airport","ord"
"de kalb","il","de kalb taylor municipal airport","NULL"
"decatur","il","decatur airport","dec"
"des plaines","il","chicago fss airport","NULL"
"elliott","il","gibson city municipal airport","NULL"
"harris","il","edgar county airport","NULL"
"jimtown","il","vandalia municipal airport","NULL"
"kankakee","il","greater kankakee airport","NULL"
"marion","il","williamson county regional airport","mwa"
"mascoutah","il","scott air force base","blv"
"mascoutah","il","mid-america airport","NULL"
"matthews","il","pinckneyville du quoin airport","NULL"
"moline","il","quad city airport","mli"
"pittsfield","il","pittsfield penstone municipal airport","NULL"
"rantoul","il","rantoul national aviation center airpiort-frank elliott field","NULL"
"rock falls","il","whiteside county airport-jos h bittorf field","NULL"
"salem","il","salem-leckrone airport","NULL"
"savoy","il","university of illinois-willard airport","cmi"
"sparta","il","sparta community airport-hunter field","NULL"
"springfield","il","capital airport","spi"
"sugar grove","il","aurora municipal airport","NULL"
"waukegan","il","waukegan regional airport","NULL"
"wheeling","il","pal waukee airport","NULL"
"boston","in","richmond municipal airport","NULL"
"busseron","in","ed air-oaktown green airport","NULL"
"cedar point","in","white county airport","NULL"
"chesterfield","in","anderson municipal airport-darlington field","NULL"
"clarksville","in","clark county airport","NULL"
"columbus","in","columbus municipal airport","NULL"
"elkhart","in","elkhart municipal airport","NULL"
"evansville","in","evansville regional airport","evv"
"gary","in","gary/chicago international airport","NULL"
"indianapolis","in","indianapolis international airport","ind"
"johnsburg","in","huntingburg airport","NULL"
"lilly dale","in","perry county municipal airport","NULL"
"marion","in","marion municipal airport","NULL"
"new castle","in","new castle-henry county municipal airport","NULL"
"nine mile","in","fort wayne municipal airport-baer field","fwa"
"rockville","in","butler field","NULL"
"seymour","in","freeman municipal airport","NULL"
"south bend","in","south bend regional airport","sbn"
"sullivan","in","sullivan county airport","NULL"
"terre haute","in","terre haute international airport","NULL"
"warsaw","in","warsaw municipal airport","NULL"
"west lafayette","in","purdue university airport","NULL"
"algona","ia","algona municipal airport","NULL"
"ames","ia","ames municipal airport","NULL"
"audubon","ia","audubon county airport","NULL"
"ballyclough","ia","dubuque regional airport","dbq"
"burlington","ia","burlington municipal airport","brl"
"carmel","ia","sioux center municipal airport","NULL"
"cedar rapids","ia","cedar rapids municipal airport","cid"
"clarion","ia","clarion municipal airport","NULL"
"clear lake","ia","mason city municipal airport","mcw"
"council bluffs","ia","council bluffs municipal airport","NULL"
"cresco","ia","ellen church field","NULL"
"des moines","ia","des moines international airport","dsm"
"fort dodge","ia","fort dodge regional airport","fod"
"greenfield","ia","greenfield municipal airport","NULL"
"indianola junction","ia","chariton municipal airport","NULL"
"monticello","ia","monticello municipal airport","NULL"
"ottumwa","ia","ottumwa industrial airport","NULL"
"rock rapids","ia","rock rapids municipal airport","NULL"
"sac city","ia","sac city municipal airport","NULL"
"sibley","ia","sibley municipal airport","NULL"
"sioux city","ia","sioux gateway airport","sux"
"waterloo","ia","waterloo regional airport","alo"
"webster city","ia","webster city municipal airport","NULL"
"atwood","ks","atwood-rawlins county city-county airport","NULL"
"belleville","ks","belleville municipal airport","NULL"
"concordia","ks","blosser municipal airport","NULL"
"dodge city","ks","dodge city regional airport","ddc"
"eureka lake","ks","manhattan municipal airport","mhk"
"junction city","ks","freeman field airport","NULL"
"liberal","ks","liberal municipal airport","lbl"
"mankato","ks","mankato airport","NULL"
"mansfield","ks","garden city regional airport","gck"
"marysville","ks","marysville municipal airport","NULL"
"meade","ks","meade municipal airport","NULL"
"new strawn","ks","coffey county airport","NULL"
"oberlin","ks","oberlin municipal airport","NULL"
"pauline","ks","forbes field airport","NULL"
"salina","ks","salina municipal airport","sln"
"scott city","ks","scott city municipal airport","NULL"
"topeka","ks","philip billard municipal airport","NULL"
"toulon","ks","hays municipal airport","hys"
"ulysses","ks","ulysses airport","NULL"
"wichita","ks","beech factory airport","NULL"
"wichita","ks","colonel james jabara airport","NULL"
"wichita","ks","wichita mid-continent airport","ict"
"berea","ky","madison airport","NULL"
"bowling green","ky","bowling green-warren county regional airport","NULL"
"glasgow","ky","glasgow municipal airport","NULL"
"hazel","ky","sturgis municipal airport","NULL"
"klondike","ky","mt sterling-montgomery county airport","NULL"
"little georgetown","ky","blue grass airport","lex"
"louisville","ky","louisville intercontinental airport","NULL"
"louisville","ky","louisville international airport","sdf"
"monticello","ky","wayne county airport","NULL"
"owensboro","ky","owensboro daviess county airport","NULL"
"somerset","ky","somerset-pulaski county airport-jt wilson field","NULL"
"stringtown","ky","greater cincinnati international airport","cvg"
"sublimity city","ky","london-corbin airport-magee field","NULL"
"west paducah","ky","barkley regional airport","pah"
"baton rouge","la","baton rouge metro airport","btr"
"brooks","la","false river air park","NULL"
"cocoville","la","marksville municipal airport","NULL"
"drew","la","lake charles regional airport","lch"
"driftwood trailer park","la","alexandria international airport","aex"
"hite","la","beauregard parish airport","NULL"
"kenner","la","new orleans international airport","msy"
"lafayette","la","lafayette regional airport","lft"
"lake charles","la","chennault industrial airpark","NULL"
"monroe","la","monroe regional airport","mlu"
"noble manor","la","southern seaplane airport","NULL"
"shreveport","la","shreveport regional airport","shv"
"augusta","me","augusta state airport","aug"
"bangor","me","bangor international airport","bgr"
"belfast","me","belfast municipal airport","NULL"
"brunswick","me","brunswick naval air station","NULL"
"houlton","me","houlton international airport","NULL"
"limestone","me","loring air force base","NULL"
"owls head","me","knox county regional airport","rkd"
"portland","me","jetport international airport","pwm"
"presque isle","me","northern maine regional airport","pqi"
"sanford","me","sanford regional airport","NULL"
"trenton","me","hancock county-bar harbor airport","bhb"
"waterville","me","waterville robert lafleur airport","NULL"
"camp springs","md","andrews air force base","NULL"
"college park","md","college park airport","NULL"
"kilbirnie estates","md","salisbury-wicomico county regional airport","sby"
"mattapanient","md","patuxent river naval air station","NULL"
"northridge manor","md","washington county regional airport","NULL"
"snug harbor","md","ocean city municipal airport","NULL"
"wellham crossroads","md","baltimore-washington international thurgood marshall airport","bwi"
"westminster","md","carroll county airport","NULL"
"boston","ma","gen e l logan international airport","bos"
"chicopee","ma","westover metro airport","NULL"
"hyannis","ma","barnstable boardman polando airport","hya"
"lincoln","ma","laurence g. hanscom field airport","NULL"
"nantucket","ma","nantucket memorial airport","ack"
"north adams","ma","harriman and west airport","NULL"
"north andover","ma","lawrence municipal airport","NULL"
"norwood","ma","norwood memorial airport","NULL"
"orange","ma","orange municipal airport","NULL"
"provincetown","ma","provincetown municipal airport","pvc"
"sterling","ma","sterling airport","NULL"
"templeton","ma","gardner municipal airport","NULL"
"west tisbury","ma","martha's vineyard airport","mvy"
"worcester","ma","worcester municipal airport","orh"
"auvinen corner","mi","gogebic-iron county airport","iwd"
"bad axe","mi","huron county airport memorial","NULL"
"bay city","mi","james clements municipal airport","NULL"
"beaver island","mi","beaver island airport","NULL"
"benton harbor","mi","southwest michigan regional airport","NULL"
"boston","mi","houghton county memorial airport","cmx"
"cadillac","mi","wexford county airport","NULL"
"cascade","mi","gerald r. ford international airport","grr"
"de witt","mi","lansing capital city airport","lan"
"detroit","mi","detroit city airport","NULL"
"drummond","mi","drummond island airport","NULL"
"escanaba","mi","delta county airport","esc"
"flint","mi","bishop international airport","fnt"
"freeland","mi","mbs international airport","mbs"
"gladwin","mi","gladwin zettel memorial airport","NULL"
"grayling","mi","grayling army airfield","NULL"
"grosse ile","mi","grosse ile municipal airport","NULL"
"hillsdale","mi","hillsdale municipal airport","NULL"
"howell","mi","livingston county airport","NULL"
"kalamazoo","mi","kalamazoo-battle creek international airport","azo"
"kincheloe","mi","chippewa county international airport","ciu"
"mcharg","mi","alpena county regional airport","apn"
"menonaqua beach","mi","harbor springs airport","NULL"
"monroe","mi","custer airport","NULL"
"napoleon","mi","napoleon airport","NULL"
"newland","mi","manistee county-blacker airport","mbl"
"norton shores","mi","muskegon county airport","mkg"
"ontonagon","mi","ontonagon county airport","NULL"
"pellston","mi","pellston regional airport","pln"
"plains","mi","sawyer international airport","mqt"
"quinnesec","mi","ford airport","imt"
"romulus","mi","detroit metro airport","dtw"
"sault ste. marie","mi","sault sainte marie county airport","NULL"
"sharps corners","mi","roscommon county airport","NULL"
"tasmas corners","mi","park township airport","NULL"
"traverse city","mi","cherry capital airport","tvc"
"waterford","mi","oakland county international airport","NULL"
"ypsilanti","mi","willow run airport","NULL"
"aitkin","mn","aitkin municipal airport","NULL"
"appleton","mn","appleton municipal airport","NULL"
"arago","mn","sky manor aero estates","NULL"
"austin","mn","austin municipal airport","NULL"
"bemidji","mn","bemidji-beltrami county airport","bji"
"benson","mn","benson municipal airport","NULL"
"blaine","mn","anoka county-blaine airport","NULL"
"brainerd","mn","brainerd-crow wing county regional airport","brd"
"buffalo","mn","buffalo municipal airport","NULL"
"caledonia","mn","houston county airport","NULL"
"cambridge","mn","cambridge municipal airport","NULL"
"canby","mn","canby municipal airport","NULL"
"cloquet","mn","cloquet carlton county airport","NULL"
"crookston","mn","crookston municipal airport-kirkwood field","NULL"
"detroit lakes","mn","detroit lakes airport","NULL"
"dodge center","mn","dodge center airport","NULL"
"duluth","mn","duluth international airport","dlh"
"duluth","mn","sky harbor airport","NULL"
"duluth","mn","lakeside us air force airport","NULL"
"fort snelling","mn","minneapolis st paul international airport","msp"
"glencoe","mn","glencoe municipal airfield","NULL"
"glendale","mn","orr regional airport","NULL"
"grand rapids","mn","grand rapids airport","NULL"
"greenbush","mn","greenbush municipal airport","NULL"
"grogan","mn","st james municipal airport","NULL"
"hibbing","mn","chisholm hibbing airport","hib"
"hutchinson","mn","hutchinson municipal airport","NULL"
"international falls","mn","falls international airport","inl"
"jeffers","mn","ewen landing field","NULL"
"lake bronson","mn","lake bronson airport","NULL"
"lakefield","mn","h reder field","NULL"
"lime","mn","mankato municipal airport","NULL"
"longville","mn","longville municipal airport","NULL"
"maple hill","mn","grand marais-cook county airport","NULL"
"maple lake","mn","maple lake municipal airport","NULL"
"marshall","mn","marshall municipal airport-ryan field","NULL"
"morris","mn","morris municipal airport","NULL"
"paynesville","mn","paynesville municipal airport","NULL"
"plainview","mn","christison airport","NULL"
"princeton","mn","princeton municipal airport","NULL"
"rochester","mn","rochester international airport","rst"
"rothsay","mn","velo airstrip","NULL"
"rush city","mn","rush city municipal airport","NULL"
"shermans corner","mn","cook municipal airport","NULL"
"st. cloud","mn","st cloud regional airport","stc"
"thief river falls","mn","thief river falls regional airport","tvf"
"tracy","mn","tracy municipal airport","NULL"
"waldo","mn","richard b helgeson airport","NULL"
"warroad","mn","warroad international airport","NULL"
"waseca","mn","waseca municipal airport","NULL"
"webster","mn","sky harbor residential airpark","NULL"
"wheaton","mn","wheaton municipal airport","NULL"
"willmar","mn","willmar municipal airport","NULL"
"cold springs","ms","mid delta regional airport","glh"
"columbus","ms","columbus-lowndes county airport","NULL"
"eagles nest","ms","fletcher field airport","NULL"
"gulfport","ms","gulfport biloxi regional airport","gpt"
"kolola springs","ms","columbus air force base","NULL"
"louisville","ms","louisville winston county airport","NULL"
"meridian","ms","key field airport","mei"
"moss point","ms","trent lott international airport","NULL"
"moss point","ms","fundarosa airport","NULL"
"pascagoula","ms","jackson county airport","NULL"
"pearl","ms","jackson international airport","jan"
"picayune","ms","picayune pearl river county airport","NULL"
"shelton","ms","pine belt regional airport","pib"
"shula grove","ms","golden triangle regional airport","gtr"
"tupelo","ms","tupelo municipal-c d lemons airport","tup"
"alberta","mo","clinton memorial airport","NULL"
"bloodland","mo","waynesville regional airport at forney field","tbn"
"boschertown","mo","st charles airport","NULL"
"butler","mo","butler memorial airport","NULL"
"cape girardeau","mo","cape girardeau municipal airport","cgi"
"chillicothe","mo","chillicothe municipal airport","NULL"
"clarks fork","mo","jesse viertel memorial airport","NULL"
"edmundson","mo","lambert st louis international airport","stl"
"hannibal","mo","hannibal municipal airport","NULL"
"haseltine","mo","springfield regional airport","sgf"
"higginsville","mo","higginsville industrial municipal airport","NULL"
"joplin","mo","joplin regional airport","jln"
"kansas city","mo","kansas city international airport","mci"
"knob noster","mo","whiteman air force base","NULL"
"marshall","mo","marshall memorial municipal airport","NULL"
"mid missouri","mo","columbia regional airport","cou"
"millard","mo","kirksville regional airport","NULL"
"mountain view","mo","mountain view airport","NULL"
"neosho","mo","neosho memorial airport","NULL"
"pomona","mo","west plains municipal airport","NULL"
"sedalia","mo","sedalia memorial airport","NULL"
