"name","region","income","gni","population"
"israel","oecd high income","high income","27340","7577000"
"italy","oecd high income","high income","35090","60574530"
"jamaica","latin america &amp; caribbean","upper middle income","4750","2712091"
"japan","oecd high income","high income","42150","127380000"
"jordan","middle east &amp; north africa","upper middle income","4350","6093000"
"kazakhstan","eastern europe &amp; central asia","upper middle income","7440","16316050"
"kenya","sub-saharan africa","low income","780","40862900"
"kiribati","east asia &amp; pacific","lower middle income","2010","99547"
"korea rep.","oecd high income","high income","19890","48875000"
"kosovo","eastern europe &amp; central asia","lower middle income","3300","1815000"
"kuwait","middle east &amp; north africa","high income","36412","2863000"
"kyrgyz republic","eastern europe &amp; central asia","low income","880","5365167"
"lao pdr","east asia &amp; pacific","lower middle income","1010","6436093"
"latvia","eastern europe &amp; central asia","high income","11620","2242830"
"lebanon","middle east &amp; north africa","upper middle income","9020","4254583"
"lesotho","sub-saharan africa","lower middle income","1080","2084182"
"liberia","sub-saharan africa","low income","190","4101767"
"lithuania","eastern europe &amp; central asia","upper middle income","11400","3318970"
"luxembourg","oecd high income","high income","79510","506640"
"macedonia fyr","eastern europe &amp; central asia","upper middle income","4520","2060563"
"madagascar","sub-saharan africa","low income","440","20146442"
"malawi","sub-saharan africa","low income","330","14900841"
"malaysia","east asia &amp; pacific","upper middle income","7900","27913990"
"maldives","south asia","upper middle income","4270","313920"
"mali","sub-saharan africa","low income","600","15369809"
"marshall islands","east asia &amp; pacific","lower middle income","2990","62360"
"mauritania","sub-saharan africa","lower middle income","1060","3365675"
"mauritius","sub-saharan africa","upper middle income","7740","1282000"
"mexico","latin america &amp; caribbean","upper middle income","9330","108523000"
"micronesia fed. sts.","east asia &amp; pacific","lower middle income","2700","111064"
"moldova","eastern europe &amp; central asia","lower middle income","1810","3561105"
"mongolia","east asia &amp; pacific","lower middle income","1890","2701117"
"montenegro","eastern europe &amp; central asia","upper middle income","6690","625516"
"morocco","middle east &amp; north africa","lower middle income","2850","32381283"
"mozambique","sub-saharan africa","low income","440","23405670"
"namibia","sub-saharan africa","upper middle income","4650","2212037"
"nepal","south asia","low income","490","29852682"
"netherlands","oecd high income","high income","49720","16622560"
"new zealand","oecd high income","high income","32145","4370700"
"nicaragua","latin america &amp; caribbean","lower middle income","1080","5822265"
"niger","sub-saharan africa","low income","360","15891482"
"nigeria","sub-saharan africa","lower middle income","1180","158258917"
"norway","oecd high income","high income","85380","4882930"
"oman","middle east &amp; north africa","high income","18657","2905114"
"pakistan","south asia","lower middle income","1050","173383000"
"palau","east asia &amp; pacific","upper middle income","6460","20519"
"panama","latin america &amp; caribbean","upper middle income","6990","3508475"
"papua new guinea","east asia &amp; pacific","lower middle income","1300","6888387"
"paraguay","latin america &amp; caribbean","lower middle income","2940","6459727"
"peru","latin america &amp; caribbean","upper middle income","4710","29496120"
"philippines","east asia &amp; pacific","lower middle income","2050","93616853"
"poland","oecd high income","high income","12420","38177910"
"portugal","oecd high income","high income","21860","10641710"
"puerto rico (u.s.)","latin america &amp; caribbean","high income","17280","3980064"
"qatar","middle east &amp; north africa","high income","76168","1508322"
"romania","eastern europe &amp; central asia","upper middle income","7840","21449980"
"russian federation","eastern europe &amp; central asia","upper middle income","9910","141750000"
"rwanda","sub-saharan africa","low income","540","10277212"
"samoa","east asia &amp; pacific","lower middle income","2930","178943"
"s&#227;o tom&#233; and pr&#237;ncipe","sub-saharan africa","lower middle income","1200","165397"
"saudi arabia","middle east &amp; north africa","high income","16995.78","25988900"
"senegal","sub-saharan africa","lower middle income","1050","12860717"
"serbia","eastern europe &amp; central asia","upper middle income","5820","7289300"
"seychelles","sub-saharan africa","upper middle income","9490","89000"
"sierra leone","sub-saharan africa","low income","340","5835664"
"singapore","east asia &amp; pacific","high income","40920","5140300"
"slovak republic","oecd high income","high income","16220","5429970"
"slovenia","oecd high income","high income","23860","2065110"
"solomon islands","east asia &amp; pacific","lower middle income","1030","535699"
"south africa","sub-saharan africa","upper middle income","6100","49962243"
"spain","oecd high income","high income","31650","46217400"
"sri lanka","south asia","lower middle income","2290","20451826"
"st. kitts and nevis","latin america &amp; caribbean","upper middle income","9980","50000"
"st. lucia","latin america &amp; caribbean","upper middle income","4970","174000"
"st. vincent and the grenadines","latin america &amp; caribbean","upper middle income","4850","109284"
"sudan","sub-saharan africa","lower middle income","1270","43551941"
"suriname","latin america &amp; caribbean","upper middle income","6975","524345"
"swaziland","sub-saharan africa","lower middle income","2600","1201904"
"sweden","oecd high income","high income","49930","9394130"
"switzerland","oecd high income","high income","70350","7790010"
"syrian arab republic","middle east &amp; north africa","lower middle income","2640","21615919"
"taiwan china","east asia &amp; pacific","high income","18458","23151000"
"tajikistan","eastern europe &amp; central asia","low income","780","7074845"
"tanzania","sub-saharan africa","low income","530","45039573"
"thailand","east asia &amp; pacific","upper middle income","4210","68139238"
"timor-leste","east asia &amp; pacific","lower middle income","2200","1171163"
"togo","sub-saharan africa","low income","440","6780030"
"tonga","east asia &amp; pacific","lower middle income","3380","104260"
"trinidad and tobago","latin america &amp; caribbean","high income","15380","1343725"
"tunisia","middle east &amp; north africa","upper middle income","4070","10535100"
"turkey","eastern europe &amp; central asia","upper middle income","9500","75705147"
"uganda","sub-saharan africa","low income","490","33796461"
"ukraine","eastern europe &amp; central asia","lower middle income","3010","45759961"
"united arab emirates","middle east &amp; north africa","high income","59716.85","4707307"
"united kingdom","oecd high income","high income","38540","62246610"
"united states","oecd high income","high income","47140","309712000"
"uruguay","latin america &amp; caribbean","upper middle income","10590","3356584"
"uzbekistan","eastern europe &amp; central asia","lower middle income","1280","28160361"
"vanuatu","east asia &amp; pacific","lower middle income","2760","239651"
"venezuela rb","latin america &amp; caribbean","upper middle income","11590","28834000"
"vietnam","east asia &amp; pacific","lower middle income","1100","88361983"
"west bank and gaza","middle east &amp; north africa","lower middle income","1523","4152102"
"yemen rep.","middle east &amp; north africa","lower middle income","1060","24255928"
"zambia","sub-saharan africa","lower middle income","1070","12926409"
"zimbabwe","sub-saharan africa","low income","460","12644041"
