"species","breeding","spring","summer","fall","winter"
"semipalmated sandpiper","&nbsp;","u","&nbsp;","u","&nbsp;"
"western sandpiper","&nbsp;","r","&nbsp;","r","&nbsp;"
"least sandpiper","&nbsp;","c","&nbsp;","c","&nbsp;"
"white-rumped sandpiper","&nbsp;","r","&nbsp;","r","&nbsp;"
"baird's sandpiper","&nbsp;","&nbsp;","&nbsp;","r","&nbsp;"
"pectoral sandpiper","&nbsp;","c","&nbsp;","c","&nbsp;"
"dunlin","&nbsp;","u","&nbsp;","u","&nbsp;"
"stilt sandpiper","&nbsp;","r","&nbsp;","u","&nbsp;"
"buff-breasted sandpiper","&nbsp;","&nbsp;","&nbsp;","r","&nbsp;"
"short-billed dowitcher","&nbsp;","r","&nbsp;","r","&nbsp;"
"long-billed dowitcher","&nbsp;","r","&nbsp;","r","&nbsp;"
"common snipe","&nbsp;","c","&nbsp;","u","&nbsp;"
"american woodcock","&nbsp;","r","u","r","&nbsp;"
"wilson's phalarope","&nbsp;","r","&nbsp;","r","&nbsp;"
"red-necked phalarope","&nbsp;","&nbsp;","&nbsp;","r","&nbsp;"
"franklin's gull","&nbsp;","&nbsp;","&nbsp;","r","&nbsp;"
"bonaparte's gull","&nbsp;","r","&nbsp;","r","&nbsp;"
"ring-billed gull","&nbsp;","u","&nbsp;","u","u"
"caspian tern","&nbsp;","r","r","&nbsp;","&nbsp;"
"common tern","&nbsp;","&nbsp;","a","&nbsp;","&nbsp;"
"forster's tern","&nbsp;","u","u","r","&nbsp;"
"black tern","&nbsp;","u","r","r","&nbsp;"
"rock dove","b","c","c","c","c"
"mourning dove","b","c","c","c","c"
"black-billed cuckoo","b","&nbsp;","r","r","&nbsp;"
"yellow-billed cuckoo","b","&nbsp;","u","r","&nbsp;"
"barn owl","&nbsp;","&nbsp;","h","&nbsp;","&nbsp;"
"eastern screech-owl","b","u","u","u","u"
"great horned owl","b","u","u","u","u"
"snowy owl","&nbsp;","&nbsp;","&nbsp;","&nbsp;","h"
"barred owl","b","u","u","u","u"
"long-eared owl","&nbsp;","&nbsp;","&nbsp;","&nbsp;","h"
"common nighthawk","&nbsp;","r","r","&nbsp;","&nbsp;"
"chimney swift","b","c","c","u","&nbsp;"
"ruby-throated hummingbird","b","u","c","r","&nbsp;"
"belted kingfisher","b","u","c","c","u"
"red-headed woodpecker","b","c","c","c","u"
"red-bellied woodpecker","b","c","c","c","c"
"yellow-bellied sapsucker","&nbsp;","u","&nbsp;","&nbsp;","&nbsp;"
"downy woodpecker","b","c","c","c","c"
"hairy woodpecker","&nbsp;","h","r","&nbsp;","c"
"northern flicker","b","c","c","c","u"
"pileated woodpecker","&nbsp;","&nbsp;","r","&nbsp;","&nbsp;"
"eastern wood-pewee","b","u","c","&nbsp;","&nbsp;"
"yellow-bellied flycatcher","&nbsp;","a","&nbsp;","&nbsp;","&nbsp;"
"willow flycatcher","b","c","u","&nbsp;","&nbsp;"
"least flycatcher","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"eastern phoebe","b","u","u","&nbsp;","&nbsp;"
"great crested flycatcher","b","&nbsp;","u","&nbsp;","&nbsp;"
"eastern kingbird","b","u","c","u","&nbsp;"
"horned lark","b","c","c","c","c"
"purple martin","b","r","r","&nbsp;","&nbsp;"
"tree swallow","b","c","c","c","&nbsp;"
"n. rough-winged swallow","b","r","u","r","&nbsp;"
"bank swallow","&nbsp;","r","u","&nbsp;","&nbsp;"
"cliff swallow","&nbsp;","u","u","r","&nbsp;"
"barn swallow","b","u","c","u","&nbsp;"
"blue jay","b","c","c","c","c"
"american crow","b","c","c","c","c"
"carolina chickadee","&nbsp;","c","c","c","c"
"tufted titmouse","&nbsp;","c","c","c","c"
"red-breasted nuthatch","&nbsp;","&nbsp;","&nbsp;","&nbsp;","u"
"white-breasted nuthatch","&nbsp;","c","c","c","c"
"brown creeper","&nbsp;","u","&nbsp;","&nbsp;","&nbsp;"
"carolina wren","&nbsp;","u","&nbsp;","u","&nbsp;"
"house wren","b","c","c","u","&nbsp;"
"sedge wren","b","r","c","r","&nbsp;"
"marsh wren","&nbsp;","&nbsp;","r","&nbsp;","&nbsp;"
"golden-crowned kinglet","&nbsp;","&nbsp;","u","&nbsp;","&nbsp;"
"ruby-crowned kinglet","&nbsp;","r","&nbsp;","r","&nbsp;"
"blue-gray gnatcatcher","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"eastern bluebird","b","c","c","u","&nbsp;"
"veery","&nbsp;","r","r","&nbsp;","&nbsp;"
"gray-cheeked thrush","&nbsp;","u","&nbsp;","&nbsp;","&nbsp;"
"swainson's thrush","&nbsp;","c","&nbsp;","&nbsp;","&nbsp;"
"hermit thrush","&nbsp;","&nbsp;","&nbsp;","r","&nbsp;"
"wood thrush","&nbsp;","r","u","&nbsp;","&nbsp;"
"american robin","b","c","c","c","h"
"gray catbird","b","u","c","u","&nbsp;"
"northern mockingbird","b","u","u","r","r"
"brown thrasher","b","c","c","&nbsp;","&nbsp;"
"american pipit","&nbsp;","&nbsp;","&nbsp;","c","r"
"cedar waxwing","b","u","u","u","h"
"loggerhead shrike","&nbsp;","h","h","&nbsp;","&nbsp;"
"european starling","b","c","c","c","c"
"white-eyed vero","&nbsp;","r","r","&nbsp;","&nbsp;"
"bell's vero","&nbsp;","r","r","&nbsp;","&nbsp;"
"blue-headed vero","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"yellow-throated vero","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"warbling vero","b","&nbsp;","r","r","&nbsp;"
"red-eyed vero","&nbsp;","&nbsp;","r","&nbsp;","&nbsp;"
"golden-winged warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"tennesse warbler","&nbsp;","r","r","r","&nbsp;"
"nashville warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"northern parula","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"yellow warbler","b","u","c","r","&nbsp;"
"chestnut-sided warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"magnolia warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"yellow-rumped warbler","&nbsp;","c","&nbsp;","c","&nbsp;"
"black-throated green warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"blackburnian warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"yellow-throated warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"palm warbler","&nbsp;","u","&nbsp;","u","&nbsp;"
"bay-breasted warbler","&nbsp;","&nbsp;","&nbsp;","h","&nbsp;"
"blackpoll warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"black-and-white warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"american redstart","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"ovenbird","&nbsp;","u","&nbsp;","u","&nbsp;"
"northern waterthrush","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"kentucky warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"connecticut warbler","&nbsp;","&nbsp;","&nbsp;","r","&nbsp;"
"mourning warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"common yellowthroat","b","c","c","u","&nbsp;"
"wilson's warbler","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"yellow-breasted chat","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"summer tanager","&nbsp;","r","r","&nbsp;","&nbsp;"
"scarlet tanager","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"northern cardinal","b","c","c","c","c"
"rose-breasted grosbeak","&nbsp;","c","c","&nbsp;","&nbsp;"
"indigo bunting","b","u","c","r","&nbsp;"
"dickcissel","b","u","c","&nbsp;","&nbsp;"
"eastern towhee","b","c","c","&nbsp;","&nbsp;"
"american tree sparrow","&nbsp;","u","&nbsp;","u","c"
"chipping sparrow","b","c","c","r","&nbsp;"
"field sparrow","b","c","c","u","&nbsp;"
"vesper sparrow","b","u","u","u","u"
"savannah sparrow","b","u","u","c","u"
"grasshopper sparrow","b","u","u","&nbsp;","&nbsp;"
"fox sparrow","&nbsp;","r","&nbsp;","u","&nbsp;"
"song sparrow","b","c","c","c","c"
"lincoln's sparrow","&nbsp;","&nbsp;","&nbsp;","u","&nbsp;"
"swamp sparrow","&nbsp;","u","r","u","u"
"white-throated sparrow","&nbsp;","u","&nbsp;","u","&nbsp;"
"white-crowned sparrow","&nbsp;","u","&nbsp;","u","u"
"dark-eyed junco","&nbsp;","r","&nbsp;","u","c"
"lapland longspur","&nbsp;","&nbsp;","&nbsp;","&nbsp;","u"
"smith's longspur","&nbsp;","&nbsp;","&nbsp;","&nbsp;","r"
"bobolink","b","u","u","&nbsp;","&nbsp;"
"red-winged blackbird","b","c","c","c","c"
"eastern meadowlark","b","c","c","c","c"
"western meadowlark","b","&nbsp;","r","&nbsp;","&nbsp;"
"rusty blackbird","&nbsp;","&nbsp;","&nbsp;","u","&nbsp;"
"common grackle","b","c","c","c","c"
"brown-headed cowbird","b","c","c","c","u"
"orchard oriole","b","u","u","&nbsp;","&nbsp;"
"baltimore oriole","b","c","c","&nbsp;","&nbsp;"
"purple finch","&nbsp;","&nbsp;","&nbsp;","r","r"
"house finch","b","c","c","c","c"
"white-winged crossbill","&nbsp;","&nbsp;","&nbsp;","&nbsp;","a"
"common redpoll","&nbsp;","&nbsp;","&nbsp;","&nbsp;","r"
"pine siskin","&nbsp;","&nbsp;","&nbsp;","&nbsp;","u"
"american goldfinch","b","c","c","c","c"
"evening grosbeak","&nbsp;","&nbsp;","&nbsp;","r","r"
"house sparrow","b","c","c","c","c"
