"region","college name","city","state","total enrollment","posters"
"NULL","state university of new york college at new paltz","new paltz","ny","7941","80"
"NULL","kutztown university of pennsylvania","kutztown","pa","7764","80"
"NULL","state university of new york college of technology at farmingdale","farmingdale","ny","7730","80"
"NULL","edinboro university of pennsylvania","edinboro","pa","7730","80"
"NULL","slippery rock university of pennsylvania","slippery rock","pa","7677","80"
"NULL","brooklyn campus of long island university","brooklyn","ny","7590","80"
"NULL","new jersey institute of technology","newark","nj","7533","80"
"NULL","millersville university of pennsylvania","millersville","pa","7382","80"
"NULL","bloomsburg university of pennsylvania","bloomsburg","pa","7375","80"
"NULL","carnegie mellon university","pittsburgh","pa","7259","80"
"NULL","iona college","new rochelle","ny","7026","80"
"NULL","trenton state college","trenton","nj","7010","80"
"NULL","saint joseph's university","philadelphia","pa","6915","80"
"NULL","city university of new york-york college","jamaica","ny","6869","80"
"NULL","jersey city state college","jersey city","nj","6845","80"
"NULL","state university of new york college at cortland","cortland","ny","6717","80"
"NULL","rensselaer polytechnic institute","troy","ny","6577","80"
"NULL","lehigh university","bethlehem","pa","6496","80"
"NULL","shippensburg university of pennsylvania","shippensburg","pa","6487","80"
"NULL","princeton university","princeton","nj","6444","80"
"NULL","california university of pennsylvania","california","pa","6330","80"
"NULL","state university of new york empire state college","saratoga","ny","6249","80"
"NULL","mercy college","dobbs ferry","ny","6242","80"
"NULL","strayer college","washington","dc","6239","80"
"NULL","loyola college in maryland","baltimore","md","6221","80"
"NULL","state university of new york college at plattsburgh","plattsburgh","ny","6197","80"
"NULL","catholic university of america","washington","dc","6147","80"
"NULL","la salle university","philadelphia","pa","6089","80"
"NULL","ithaca college","ithaca","ny","5964","75"
"NULL","salisbury state university","salisbury","md","5957","75"
"NULL","richard stockton college of new jersey","pomona","nj","5782","75"
"NULL","morgan state university","baltimore","md","5729","75"
"NULL","state university of new york college at oneonta","oneonta","ny","5727","75"
"NULL","state university of new york college at geneseo","geneseo","ny","5632","75"
"NULL","east stroudsburg university","east stroudsburg","pa","5410","75"
"NULL","frostburg state university","frostburg","md","5398","75"
"NULL","dowling college","oakdale","ny","5365","75"
"NULL","robert morris college","coraopolis","pa","5345","75"
"NULL","rider college","lawrenceville","nj","5317","75"
"NULL","johns hopkins university","baltimore","md","5203","75"
"NULL","clarion university of pennsylvania","clarion","pa","5159","75"
"NULL","saint john fisher college","rochester","ny","5149","75"
"NULL","city university of new york-medgar evers college","brooklyn","ny","5011","75"
"NULL","yeshiva university","new york","ny","4989","75"
"NULL","bowie state university","bowie","md","4946","75"
"NULL","canisius college","buffalo","ny","4920","75"
"NULL","university of scranton","scranton","pa","4917","75"
"NULL","state university of new york college at fredonia","fredonia","ny","4838","75"
"NULL","york college of pennsylvania","york","pa","4817","75"
"NULL","ramapo college of new jersey","mahwah","nj","4683","75"
"NULL","university of baltimore","baltimore","md","4419","75"
"NULL","state university of new york college at potsdam","potsdam","ny","4256","75"
"NULL","widener university","chester","pa","4224","75"
"NULL","marist college","poughkeepsie","ny","4184","75"
"NULL","pace university- westchester","pleasantville","ny","4046","75"
"NULL","state university of new york college at purchase","purchase","ny","3984","60"
"NULL","gannon university","erie","pa","3981","60"
"NULL","state university of new york college at old westbury","old westbury","ny","3947","60"
"NULL","college of saint rose","albany","ny","3905","60"
"NULL","lock haven university of pennsylvania","lock haven","pa","3898","60"
"NULL","monmouth college","west long branch","nj","3808","60"
"NULL","rutgers university-newark college of arts and sciences","newark","nj","3643","60"
"NULL","bucknell university","lewisburg","pa","3600","60"
"NULL","saint peter's college","jersey city","nj","3567","60"
"NULL","siena college","loudonville","ny","3492","60"
"NULL","delaware state university","dover","de","3301","60"
"NULL","wilkes university","wilkes barre","pa","3257","60"
"NULL","mansfield university","mansfield","pa","3223","60"
"NULL","college of notre dame of maryland","baltimore","md","3077","60"
"NULL","fordham university-fordham college","bronx","ny","2861","50"
"NULL","colgate university","hamilton","ny","2688","50"
"NULL","saint bonaventure university","st. bonaventure","ny","2579","50"
"NULL","coppin state college","baltimore","md","2560","50"
"NULL","NULL","NULL","NULL","total enrollment: 1255490.00","total posters: 12590.00"
"midwest","ohio state university","columbus","oh","50623","200"
"NULL","michigan state university","east lansing","mi","39743","200"
"NULL","university of minnesota-twin cities","minneapolis-st paul","mn","38767","200"
"NULL","university of michigan","ann arbor","mi","36845","200"
"NULL","university of illinois at urbana-champaign","urbana","il","36436","200"
"NULL","purdue university west lafayette","west lafayette","in","35161","200"
"NULL","wayne state university","detroit","mi","34945","190"
"NULL","indiana university bloomington","bloomington","in","33720","190"
"NULL","university of kansas","lawrence","ks","28862","180"
"NULL","university of iowa","iowa city","ia","27051","175"
"NULL","university of wisconsin - madison","madison","wi","26638","175"
"NULL","western michigan university","kalamazoo","mi","26555","175"
"NULL","university of akron","akron","oh","26032","175"
"NULL","university of illinois at chicago","chicago","il","25170","175"
"NULL","iowa state university","ames","ia","25112","175"
"NULL","university of nebraska at lincoln","lincoln","ne","24695","170"
"NULL","eastern michigan university","ypsilanti","mi","24600","170"
"NULL","university of toledo","toledo","oh","24188","170"
"NULL","southern illinois university at carbondale","carbondale","il","23881","170"
"NULL","university of wisconsin - milwaukee","milwaukee","wi","23794","170"
"NULL","northern illinois university","dekalb","il","23177","170"
"NULL","west virginia university","morgantown","wv","23080","170"
"NULL","kent state university","kent","oh","22700","170"
"NULL","university of missouri-columbia","columbia","mo","21038","160"
"NULL","indiana university-purdue university indianapolis","indianapolis","in","20918","160"
"NULL","kansas state university","manhatten","ks","20775","160"
"NULL","ball state university","muncie","in","20717","160"
"NULL","illinois state university","normal","il","20321","160"
"NULL","ohio university","athens","oh","18248","150"
"NULL","southwest missouri state university","springfield","mo","18160","150"
"NULL","university of cincinnati","cincinnati","oh","18107","150"
"NULL","bowling green state university","bowling green","oh","17249","140"
"NULL","cleveland state university","cleveland","oh","17137","140"
"NULL","wright state university","dayton","oh","16597","140"
"NULL","depaul university","chicago","il","16499","140"
"NULL","central michigan university","mount pleasant","mi","16379","140"
"NULL","miami university","oxford","oh","16233","140"
"NULL","saint cloud state university","st. cloud","mn","16047","140"
"NULL","university of nebraska at omaha","omaha","ne","15900","130"
"NULL","wichita state university","wichita","ks","14890","130"
"NULL","youngstown state university","youngstown","oh","14501","130"
"NULL","loyola university of chicago","chicago","il","14361","130"
"NULL","mankato state university","st. paul","mn","13925","120"
"NULL","grand valley state university","allendale","mi","13384","120"
"NULL","oakland university","rochester","mi","12895","120"
"NULL","western illinois university","macomb","il","12877","120"
"NULL","university of northern iowa","cedar falls","ia","12717","120"
"NULL","marshall university","huntington","wv","12602","120"
"NULL","indiana university-purdue university fort wayne","fort wayne","in","12451","120"
"NULL","indiana state university","terre haute","in","12181","120"
"NULL","northwestern university","evanston","il","12054","120"
"NULL","university of missouri-saint louis","st. louis","mo","11711","110"
"NULL","washington university","st. louis","mo","11671","110"
"NULL","university of north dakota","grand forks","nd","11635","110"
"NULL","eastern illinois university","charleston","il","11395","110"
"NULL","ferris state university","big rapids","mi","11315","110"
"NULL","central missouri state university","warrensburg","mo","11282","110"
"NULL","southern illinois university at edwardsville","edwardsville","il","11263","110"
"NULL","university of chicago","chicago","il","10885","110"
"NULL","marquette university","milwaukee","wi","10764","110"
"NULL","university of wisconsin - oshkosh","oshkosh","wi","10753","110"
"NULL","university of dayton","dayton","oh","10640","110"
"NULL","university of wisconsin - whitewater","whitewater","wi","10513","110"
"NULL","university of wisconsin - eau claire","eau claire","wi","10345","110"
"NULL","northeastern illinois university","chicago","il","10293","110"
"NULL","university of saint thomas","st. paul","mn","10245","110"
"NULL","university of notre dame","notre dame","in","9900","100"
"NULL","university of missouri-kansas city","kansas city","mo","9858","100"
"NULL","webster university","webster groves","mo","9794","100"
"NULL","south dakota state university","brookings","sd","9536","100"
"NULL","chicago state university","chicago","il","9509","100"
"NULL","north dakota state university","fargo","nd","9460","100"
"NULL","purdue university calumet","hammond","in","9418","100"
"NULL","case western reserve university","cleveland","oh","9276","100"
"NULL","saint louis university","st. louis","mo","8897","90"
"NULL","northern michigan university","marquette","mi","8729","90"
"NULL","university of wisconsin - la crosse","la crosse","wi","8659","90"
"NULL","university of wisconsin - stevens point","stevens point","wi","8615","90"
"NULL","southeast missouri state university","cape girardeau","mo","8080","90"
"NULL","university of nebraska at kearney","kearney","ne","8045","90"
"NULL","university of michigan-dearborn","dearborn","mi","7958","80"
"NULL","university of south dakota","vermillion","sd","7707","80"
"NULL","university of minnesota-duluth","duluth","mn","7616","80"
"NULL","indiana university south bend","south bend","in","7582","80"
"NULL","university of detroit mercy","detroit","mi","7463","80"
"NULL","university of wisconsin - stout","menomonie","wi","7343","80"
"NULL","columbia college","chicago","il","7327","80"
"NULL","moorhead state university","moorhead","mn","7251","80"
"NULL","winona state university","winona","mn","7180","80"
"NULL","national-louis university","evanston","il","7108","80"
"NULL","saint mary's college of minnesota","winona","mn","7081","80"
"NULL","illinois institute of technology","chicago","il","7027","80"
"NULL","university of southern indiana","evansville","in","7021","80"
"NULL","pittsburg state university","pittsburg","ks","6589","80"
"NULL","michigan technological university","houghton","mi","6583","80"
"NULL","roosevelt university","chicago","il","6581","80"
"NULL","washburn university of topeka","topeka","ks","6574","80"
"NULL","saginaw valley state university","university center","mi","6431","80"
"NULL","university of michigan-flint","flint","mi","6418","80"
"NULL","creighton university","omaha","ne","6341","80"
"NULL","drake university","des moines","ia","6333","80"
"NULL","xavier university","cincinnati","oh","6279","80"
"NULL","northeast missouri state university","kirksville","mo","6153","80"
"NULL","university of missouri-rolla","rolla","mo","5683","75"
"NULL","valparaiso university","valparaiso","in","4773","75"
"NULL","maryville university of saint louis","st. louis","mo","3764","60"
"NULL","calvin college","grand rapids","mi","3730","60"
"NULL","university of evansville","evansville","in","3009","60"
"NULL","saint olaf college","northfield","mn","2993","50"
"NULL","ohio northern university","ada","oh","2964","50"
"NULL","capital university","columbus","oh","2807","50"
"NULL","oberlin college","oberlin","oh","2685","50"
"NULL","hamline university","st.paul","mn","2660","50"
"NULL","wheaton college","wheaton","il","2575","50"
"NULL","NULL","NULL","NULL","total enrollment: 1621013.00","total posters: 13460.00"
"new england","northeastern university","boston","ma","26552","175"
"NULL","boston university","boston","ma","25041","175"
"NULL","university of massachusetts amherst","amherst","ma","22765","170"
"NULL","harvard university","cambridge","ma","17710","140"
"NULL","university of connecticut","storrs","ct","15966","130"
"NULL","salem state college","salem","ma","15762","130"
"NULL","university of rhode island","kingston","ri","14925","130"
"NULL","boston college","chestnut hill","ma","13104","120"
"NULL","central connecticut state university","new britain","ct","12665","120"
"NULL","university of new hampshire","durham","nh","12397","120"
"NULL","southern connecticut state unversity","new haven","ct","12144","120"
"NULL","university of massachusetts boston","boston","ma","12136","120"
"NULL","university of maine","orono","me","11343","110"
"NULL","yale university","new haven","ct","10949","110"
"NULL","massachusetts institute of technology","cambridge","ma","9790","100"
"NULL","university of southern maine","gorham","me","9522","100"
"NULL","johnson and wales university","providence","ri","9336","100"
"NULL","university of vermont","burlington","vt","8966","90"
"NULL","university of lowell","lowell","ma","8875","90"
"NULL","tufts university","medford","ma","7998","80"
"NULL","rhode island college","providence","ri","7948","80"
"NULL","brown university","providence","ri","7655","80"
"NULL","university of hartford","west hartford","ct","7529","80"
"NULL","radcliffe college","cambridge","ma","7182","80"
"NULL","bridgewater state college","bridgewater","ma","6935","80"
"NULL","bentley college","waltham","ma","6815","80"
"NULL","new hampshire college","manchester","nh","6230","80"
"NULL","providence college","providence","ri","6103","80"
"NULL","lesley college","cambridge","ma","5872","75"
"NULL","western connecticut state university","danbury","ct","5726","75"
"NULL","university of new haven","west haven","ct","5697","75"
"NULL","framingham state college","framingham","ma","5293","75"
"NULL","newbury college","brookline","ma","5276","75"
"NULL","university of massachusetts dartmouth","dartmouth","ma","5242","75"
"NULL","fitchburg state college","fitchburg","ma","5208","75"
"NULL","dartmouth college","hanover","nh","5205","75"
"NULL","sacred heart university","fairfield","ct","5118","75"
"NULL","university of maine at augusta","augusta","me","5080","75"
"NULL","westfield state college","westfield","ma","5026","75"
"NULL","keene state college","keene","nh","4969","75"
"NULL","fairfield university","fairfield","ct","4777","75"
"NULL","western new england college","springfield","ma","4674","75"
"NULL","quinnipiac college","hamden","ct","4627","75"
"NULL","eastern connecticut state university","willmantic","ct","4564","75"
"NULL","suffolk university","boston","ma","4363","75"
"NULL","bryant college","smithfield","ri","4238","75"
"NULL","plymouth state college","plymouth","nh","4200","75"
"NULL","worcester polytechnic institute","worcester","ma","3942","60"
"NULL","brandeis university","waltham","ma","3938","60"
"NULL","worcester state college","worcester","ma","3932","60"
"NULL","springfield college","springfield","ma","3482","60"
"NULL","simmons college","boston","ma","3334","60"
"NULL","wesleyan university","middletown","ct","3304","60"
"NULL","babson college","babson park","ma","3235","60"
"NULL","merrimack college","north andover","ma","3021","60"
"NULL","smith college","northampton","ma","3000","60"
"NULL","assumption college","worcester","ma","2792","50"
"NULL","rivier college","nashua","nh","2762","50"
"NULL","emerson college","boston","ma","2690","50"
"NULL","norwich university","northfield","vt","2687","50"
"NULL","college of the holy cross","worcester","ma","2675","50"
"NULL","clark university","worcester","ma","2617","50"
"NULL","NULL","NULL","NULL","total enrollment: 476909.00","total posters: 5335.00"
"south","university of florida","gainesville","fl","35978","200"
"NULL","university of south florida","tampa","fl","29105","180"
"NULL","university of georgia","athens","ga","28753","180"
"NULL","florida state university","tallahassee","fl","28098","180"
"NULL","north carolina state university","raleigh","nc","27170","175"
"NULL","university of tennessee at knoxville","knoxville","tn","25890","175"
"NULL","university of south carolina","columbia","sc","25439","175"
"NULL","louisiana state university-a&amp;m college","baton rouge","la","25369","175"
"NULL","florida international university","miami","fl","24321","170"
"NULL","university of north carolina at chapel hill","chapel hill","nc","24314","170"
"NULL","georgia state university","atlanta","ga","23651","170"
"NULL","university of kentucky","lexington","ky","23602","170"
"NULL","virginia polytechnic institute and state university","blacksburg","va","23548","170"
"NULL","university of central florida","orlando","fl","23333","170"
"NULL","university of louisville","louisville","ky","21861","160"
"NULL","virginia commonwealth university","richmond","va","21854","160"
"NULL","george mason university","fairfax","va","21300","160"
"NULL","university of memphis","memphis","tn","20373","160"
"NULL","auburn university","auburn university","al","19870","150"
"NULL","university of southwestern louisiana","lafayette","la","19786","150"
"NULL","university of alabama","tuscaloosa","al","18972","150"
"NULL","east carolina university","greenville","nc","17728","140"
"NULL","university of virginia","charlottesville","va","17604","140"
"NULL","middle tennessee state university","murfreesboro","tn","17383","140"
"NULL","old dominion university","norfolk","va","16799","140"
"NULL","eastern kentucky university","richmond","ky","16571","140"
"NULL","western kentucky university","bowling green","ky","15750","130"
"NULL","florida atlantic university","boca raton","fl","15700","130"
"NULL","university of north carolina at charlotte","charlotte","nc","15645","130"
"NULL","university of new orleans","new orleans","la","15570","130"
"NULL","clemson university","clemson","sc","15496","130"
"NULL","mississippi state university","mississippi state","ms","14357","130"
"NULL","university of alabama at birmingham","birmingham","al","14256","130"
"NULL","georgia southern university","statesboro","ga","14191","130"
"NULL","university of miami","coral gables","fl","13558","120"
"NULL","southeastern louisiana university","hammond","la","13235","120"
"NULL","georgia institute of technology","atlanta","ga","12846","120"
"NULL","kennesaw state university","marietta","ga","12259","120"
"NULL","nova southeastern university","fort lauderdale","fl","12255","120"
"NULL","university of north carolina at greensboro","greensboro","nc","12114","120"
"NULL","university of south alabama","mobile","al","11996","110"
"NULL","appalachian state university","boone","nc","11641","110"
"NULL","northeast louisiana university","monroe","la","11571","110"
"NULL","university of southern mississippi","hattiesburg","ms","11487","110"
"NULL","east tennessee state university","johnson city","tn","11272","110"
"NULL","tulane university","new orleans","la","11203","110"
"NULL","duke university","durham","nc","11071","110"
"NULL","northern kentucky university","highland heights","ky","10809","110"
"NULL","james madison university","harrisonburg","va","10738","110"
"NULL","college of charleston","charleston","sc","10566","110"
"NULL","university of mississippi","university","ms","10369","110"
"NULL","southern university a&amp;m college","baton rouge","la","10223","110"
"NULL","louisiana tech university","ruston","la","10099","110"
"NULL","vanderbilt university","nashville","tn","9853","100"
"NULL","florida agricultural and mechanical university","tallahassee","fl","9618","100"
"NULL","emory university","atlanta","ga","9468","100"
"NULL","university of north florida","jacksonville","fl","9398","100"
"NULL","radford university","radford","va","9380","100"
"NULL","valdosta state university","valdosta","ga","9348","100"
"NULL","morehead state university","morehead","ky","9169","100"
"NULL","grambling state university","grambling","la","8889","90"
"NULL","norfolk state university","norfolk","va","8652","90"
"NULL","northwestern state university","natchitoches","la","8552","90"
"NULL","mcneese state university","lake charles","la","8403","90"
"NULL","tennesse technological university","cookeville","tn","8341","90"
"NULL","university of tennessee at chattanooga","chattanooga","tn","8325","90"
"NULL","murray state university","murray","ky","8190","90"
"NULL","university of alabama at huntsville","huntsville","al","8179","90"
"NULL","university of north carolina at wilmington","wilmington","nc","8157","90"
"NULL","north carolina agricultural &amp; technical state university","greensboro","nc","7973","80"
"NULL","west georgia college","carrollton","ga","7950","80"
"NULL","tennessee state university","nashville","tn","7851","80"
"NULL","college of william and mary","williamsburg","va","7586","80"
"NULL","nicholls state university","thibodaux","la","7076","80"
"NULL","barry university","miami shores","fl","6850","80"
"NULL","jacksonville state university","jacksonville","al","6813","80"
"NULL","austin peay state university","clarksville","tn","6725","80"
"NULL","university of west florida","pensacola","fl","6593","80"
"NULL","jackson state university","jackson","ms","6346","80"
"NULL","western carolina university","cullowhee","nc","6068","80"
"NULL","georgia college","milledgeville","ga","5668","75"
"NULL","mercer university","macon","ga","5636","75"
"NULL","north carolina central university","durham","nc","5635","75"
"NULL","augusta college","augusta","ga","5624","75"
"NULL","troy state university","troy","al","5599","75"
"NULL","wake forest university","winston-salem","nc","5576","75"
"NULL","university of richmond","richmond","va","4327","75"
"NULL","mary washington college","fredericksburg","va","3791","60"
"NULL","NULL","NULL","NULL","total enrollment: 1200558.00","total posters: 10415.00"
"southwest","university of texas at austin","austin","tx","48555","200"
"NULL","texas a&amp;m university","college station","tx","42524","200"
"NULL","university of houston","houston","tx","29818","180"
"NULL","university of north texas","denton","tx","25759","175"
"NULL","university of new mexico","albuquerque","nm","25334","175"
"NULL","texas tech university","lubbock","tx","24007","170"
"NULL","university of texas at arlington","arlington","tx","23749","170"
"NULL","southwest texas state university","san marcos","tx","20481","160"
"NULL","university of oklahoma","norman","ok","19680","150"
"NULL","oklahoma state university","stillwater","ok","18729","150"
"NULL","university of texas at san antonio","san antonio","tx","17097","140"
"NULL","university of texas at el paso","el paso","tx","16980","140"
"NULL","university of central oklahoma","edmond","ok","15901","130"
"NULL","new mexico state university","las cruces","nm","15788","130"
"NULL","university of arkansas at fayettville","fayetteville","ar","13920","120"
"NULL","university of texas - pan american","edinburg","tx","12906","120"
"NULL","sam houston state university","huntsville","tx","12800","120"
"NULL","stephen f. austin state university","nacodoches","tx","12493","120"
"NULL","baylor university","waco","tx","12194","120"
"NULL","university of arkansas at little rock","little rock","ar","12070","120"
"NULL","texas southern university","houston","tx","10639","110"
"NULL","arkansas state university","state university","ar","9888","100"
"NULL","texas women's university","denton","tx","9702","100"
"NULL","university of central arkansas","conway","ar","9567","100"
"NULL","southern methodist university","dallas","tx","8931","90"
"NULL","lamar university","beaumont","tx","8824","90"
"NULL","university of texas at dallas","dallas","tx","8640","90"
"NULL","northeastern state university","tahlequah","ok","8635","90"
"NULL","east texas state university","commerce","tx","8145","90"
"NULL","university of houston - downtown","houston","tx","8053","90"
"NULL","texas christian university","fort worth","tx","6822","80"
"NULL","texas a&amp;m university at kingsville","kingsville","tx","6576","80"
"NULL","west texas a&amp;m university","canyon","tx","6567","80"
"NULL","tarleton state university","stephenville","tx","6455","80"
"NULL","angelo state university","san angelo","tx","6100","80"
"NULL","cameron university","lawton","ok","5969","75"
"NULL","midwestern state university","wichita falls","tx","5846","75"
"NULL","prarie view a&amp;m university","prarie view","tx","5635","75"
"NULL","southwestern oklahoma state university","weatherford","ok","4990","75"
"NULL","university of tulsa","tulsa","ok","4809","75"
"NULL","arkansas tech university","russellville","ar","4730","75"
"NULL","oklahoma city university","oklahoma city","ok","4481","75"
"NULL","east central university","ada","ok","4418","75"
"NULL","southeastern oklahoma state university","durant","ok","4202","75"
"NULL","saint mary's university","san antonio","tx","4129","75"
"NULL","rice university","houston","tx","4123","75"
"NULL","harding university","searcy","ar","3478","60"
"NULL","university of dallas","dallas","tx","2901","50"
"NULL","NULL","NULL","NULL","total enrollment: 604040.00","total posters: 5275.00"
"west","arizona state university-main campus","tempe","az","41259","200"
"NULL","university of california at los angeles","los angeles","ca","34447","190"
"NULL","university of arizona","tucson","az","34079","190"
"NULL","university of washington","seattle","wa","33946","190"
"NULL","university of southern california","los angeles","ca","33498","190"
"NULL","brigham young university","provo","ut","30547","190"
"NULL","university of california at berkeley","berkeley","ca","30341","190"
"NULL","san diego state university","san diego","ca","27573","180"
"NULL","california state university-northridge","northridge","ca","27282","175"
"NULL","california state university-long beach","long beach","ca","27064","175"
"NULL","san jose state university","san jose","ca","27057","175"
"NULL","university of utah","salt lake city","ut","25982","175"
"NULL","san francisco state university","san francisco","ca","25713","175"
"NULL","university of colorado at boulder","boulder","co","25013","175"
"NULL","california state university-sacramento","sacramento","ca","24468","170"
"NULL","california state university-fullerton","fullerton","ca","24373","170"
"NULL","university of california at davis","davis","ca","23161","170"
"NULL","colorado state university","fort collins","co","21110","160"
"NULL","university of california at irvine","irvine","ca","20005","160"
"NULL","university of hawaii at manoa","honolulu","hi","19836","150"
"NULL","university of phoenix","phoenix","az","19719","150"
"NULL","university of nevada- las vegas","las vegas","nv","19510","150"
"NULL","california state university-fresno","fresno","ca","18902","150"
"NULL","northern arizona university","flagstaff","az","18817","150"
"NULL","washington state university","pullman","wa","18740","150"
"NULL","university of california at santa barbara","santa barbara","ca","18655","150"
"NULL","university of alaska-anchorage","anchorage","ak","18447","150"
"NULL","california state university-los angeles","los angeles","ca","17788","140"
"NULL","metropolitan state college of denver","denver","co","17520","140"
"NULL","california state polytechnic university","pomona","ca","17050","140"
"NULL","university of oregon","eugene","or","16965","140"
"NULL","university of california at san diego","san diego","ca","16674","140"
"NULL","utah state university","logan","ut","16402","140"
"NULL","california polytechnic state university","san luis obispo","ca","14974","130"
"NULL","california state university-chico","chico","ca","14706","130"
"NULL","portland state university","portland","or","14486","130"
"NULL","weber state university","ogden","ut","14447","130"
"NULL","oregon state university","corvallis","or","14336","130"
"NULL","stanford university","stanford","ca","14002","130"
"NULL","boise state university","boise","id","12780","120"
"NULL","california state university-hayward","hayward","ca","12583","120"
"NULL","california state university-san bernardino","san bernardino","ca","12485","120"
"NULL","university of wyoming","laramie","wy","12052","120"
"NULL","california state university-dominguez hills","dominguez hills","ca","11769","110"
"NULL","university of idaho","moscow","id","11543","110"
"NULL","university of montana","missoula","mt","10813","110"
"NULL","university of colorado at denver","denver","co","10677","110"
"NULL","university of california at santa cruz","santa cruz","ca","10438","110"
"NULL","western washington university","bellingham","wa","10073","110"
"NULL","santa clara university","santa clara","ca","7678","80"
"NULL","university of san diego","san diego","ca","5130","75"
"NULL","gonzaga university","spokane","wa","4366","75"
"NULL","pacific lutheran university","tacoma","wa","3349","60"
"NULL","lewis &amp; clark college","portland","or","3216","60"
"NULL","university of puget sound","tacoma","wa","3170","60"
"NULL","colorado school of mines","golden","co","3093","60"
"NULL","pepperdine university","malibu","ca","3038","60"
"&nbsp;","&nbsp;","&nbsp;","NULL","total enrollment: 1027147.00","total posters: 7890.00"
