"NULL","NULL","2007-08all aids","increaseoverbase"
"cazenovia","madison","8661142","335315"
"de ruyter","madison","5204850","571259"
"morrisville ea","madison","9577317","531864"
"hamilton","madison","4370023","398148"
"canastota","madison","12184340","455716"
"madison","madison","5360368","467127"
"oneida city","madison","20443541","1133552"
"stockbridge va","madison","6700612","570451"
"chittenango","madison","19520652","429413"
"brighton","monroe","11258878","1424542"
"gates chili","monroe","26933860","3472848"
"greece","monroe","76987033","5454964"
"e. irondequoit","monroe","20617156","2545707"
"w. irondequoit","monroe","22418625","1964681"
"honeoye falls","monroe","12984027","1037937"
"spencerport","monroe","28022206","2762950"
"hilton","monroe","29442133","1967832"
"penfield","monroe","19003067","1552808"
"fairport","monroe","31878219","2895632"
"east rochester","monroe","9508586","962348"
"pittsford","monroe","17517138","1784827"
"churchville ch","monroe","29974519","1624837"
"rochester","monroe","411267936","32217544"
"rush henrietta","monroe","26289108","2103796"
"brockport","monroe","36126689","2873182"
"webster","monroe","36389628","3032762"
"wheatland chil","monroe","6575218","980679"
"amsterdam","montgomery","29047139","2832579"
"canajoharie","montgomery","10057046","547814"
"fonda fultonvi","montgomery","15165256","1066495"
"fort plain","montgomery","10751349","956823"
"st johnsville","montgomery","5786106","369824"
"glen cove","nassau","8396197","1008125"
"hempstead","nassau","76862715","8257212"
"uniondale","nassau","32514704","5483836"
"east meadow","nassau","37297425","2705155"
"north bellmore","nassau","10748021","706996"
"levittown","nassau","46163205","4344893"
"seaford","nassau","9404386","557786"
"bellmore","nassau","4013279","412651"
"roosevelt","nassau","38218250","2272277"
"freeport","nassau","51819150","4300204"
"baldwin","nassau","23589714","2266387"
"oceanside","nassau","18089529","2724982"
"malverne","nassau","7949545","554397"
"v str thirteen","nassau","9235423","815853"
"hewlett woodme","nassau","6391522","816166"
"lawrence","nassau","8677989","916588"
"elmont","nassau","19968022","2691672"
"franklin squar","nassau","6951496","552841"
"garden city","nassau","5743168","953126"
"east rockaway","nassau","5346669","468274"
"lynbrook","nassau","7834794","1292257"
"rockville cent","nassau","8363973","1485868"
"floral park","nassau","4212544","478175"
"wantagh","nassau","13665192","1269794"
"v str twenty-f","nassau","4160662","592841"
"merrick","nassau","5951121","658501"
"island trees","nassau","13668395","1897648"
"west hempstead","nassau","7685388","1208763"
"north merrick","nassau","5836781","332607"
"valley str uf","nassau","5204567","935814"
"island park","nassau","2381737","346947"
"valley str chs","nassau","17013189","3276060"
"sewanhaka","nassau","26859187","5129786"
"bellmore-merri","nassau","18024751","1728300"
"long beach","nassau","19911536","1632072"
"westbury","nassau","26655380","3654331"
"east williston","nassau","2662727","392015"
"roslyn","nassau","4711198","1003338"
"port washingto","nassau","8237277","1420145"
"new hyde park","nassau","4433471","941554"
"manhasset","nassau","4034721","840826"
"great neck","nassau","8631809","1510964"
"herricks","nassau","8933705","1112589"
"mineola","nassau","5533420","726396"
"carle place","nassau","3799165","684665"
"north shore","nassau","4493887","858055"
"syosset","nassau","11179393","2217309"
"locust valley","nassau","3724975","598387"
"plainview","nassau","14352354","2154635"
"oyster bay","nassau","2599994","302676"
"jericho","nassau","4913263","634891"
"hicksville","nassau","14643368","3004548"
"plainedge","nassau","16550627","1463394"
"bethpage","nassau","9210453","1603110"
"farmingdale","nassau","24641474","1225327"
"massapequa","nassau","23679791","2694528"
"new york city","new york city","7516726801","712182800"
"manhattan","manhattan","-","-"
"bronx","bronx","-","-"
"brooklyn","brooklyn","-","-"
"queens","queens","-","-"
"richmond","richmond","-","-"
"lewiston porte","niagara","13161687","341868"
"lockport","niagara","38495106","2945645"
"newfane","niagara","17771990","693890"
"niagara wheatf","niagara","30085423","5103836"
"niagara falls","niagara","92105911","9914825"
"n. tonawanda","niagara","31619270","385666"
"starpoint","niagara","19018688","1431640"
"royalton hartl","niagara","12931546","808043"
"barker","niagara","5812374","130434"
"wilson","niagara","12248817","525655"
"adirondack","oneida","15203460","1544936"
"camden","oneida","27992545","2451551"
"clinton","oneida","9627302","178361"
"new hartford","oneida","11558436","502514"
"new york mills","oneida","3703356","182188"
"sauquoit valle","oneida","10380904","541361"
"remsen","oneida","5731949","358328"
"rome","oneida","59809452","2221611"
"waterville","oneida","9427153","359055"
"sherrill","oneida","17825621","582936"
"holland patent","oneida","14869793","780546"
"utica","oneida","85706343","9374850"
"westmoreland","oneida","9565832","349842"
"oriskany","oneida","6344922","440846"
"whitesboro","oneida","24441116","2179377"
"west genesee","onondaga","27601069","2477041"
"north syracuse","onondaga","58163394","3985450"
"e syracuse-min","onondaga","21978689","1414148"
"jamesville-dew","onondaga","11024061","1472854"
"jordan elbridg","onondaga","14084995","1077881"
"fabius-pompey","onondaga","8175260","782159"
"westhill","onondaga","11466409","666025"
"solvay","onondaga","12564709","1504538"
"la fayette","onondaga","8750312","453319"
"baldwinsville","onondaga","36395224","2310600"
"fayetteville","onondaga","17076922","2062720"
"marcellus","onondaga","13041007","3284927"
"onondaga","onondaga","7368678","442534"
"liverpool","onondaga","57400238","4467240"
"lyncourt","onondaga","2306583","339875"
"skaneateles","onondaga","7076339","285487"
"syracuse","onondaga","245679089","22431647"
"tully","onondaga","8414215","1108456"
"canandaigua","ontario","23084055","1813979"
"east bloomfiel","ontario","9149801","1089356"
"geneva","ontario","23891742","3038020"
"gorham-middles","ontario","13970609","1078152"
"manchstr-shrts","ontario","7132282","393178"
"naples","ontario","5621684","542921"
"phelps-clifton","ontario","20126898","1228209"
"honeoye","ontario","7417887","732233"
"victor","ontario","16328398","1053656"
"washingtonvill","orange","29362982","2970524"
"chester","orange","5958369","478770"
"cornwall","orange","14563222","1870445"
"pine bush","orange","49318635","1320973"
"goshen","orange","12754356","1330533"
"highland falls","orange","8594288","1006256"
"middletown","orange","66095314","13698632"
"minisink valle","orange","35375333","2146867"
"monroe woodbur","orange","41694313","3146787"
"kiryas joel","orange","3747921","559842"
"valley-montgmr","orange","31509230","1887362"
"newburgh","orange","113741091","12863795"
"port jervis","orange","28747570","2282958"
"tuxedo","orange","1190480","220019"
"warwick valley","orange","23600676","2271702"
"greenwood lake","orange","5380272","339173"
"florida","orange","4536313","432595"
"albion","orleans","22210879","3026729"
"kendall","orleans","9498525","907870"
"holley","orleans","12248117","1413083"
"medina","orleans","19125961","1742946"
"lyndonville","orleans","7651122","880197"
"altmar parish","oswego","18130786","1513557"
"fulton","oswego","34955602","2250546"
"hannibal","oswego","18116887","1515788"
"central square","oswego","38956144","4708713"
"mexico","oswego","23384126","1860628"
"oswego","oswego","16678387","3337556"
"pulaski","oswego","11124145","881999"
"sandy creek","oswego","13623491","813095"
"phoenix","oswego","21527087","1558581"
"glbtsvlle-mt u","otsego","5112850","662926"
"edmeston","otsego","6330938","661181"
"laurens","otsego","4571476","514586"
"schenevus","otsego","4307515","262026"
"milford","otsego","4642132","319043"
"morris","otsego","5367242","553794"
"oneonta","otsego","13635601","1105760"
"otego-unadilla","otsego","11840511","1665246"
"cooperstown","otsego","5436733","362534"
"richfield spri","otsego","6592683","536599"
"cherry vly-spr","otsego","6626509","194318"
"worcester","otsego","4414789","315646"
"mahopac","putnam","28089893","2827739"
"carmel","putnam","21966311","1662418"
"haldane","putnam","2504717","83673"
"garrison","putnam","910624","175942"
"putnam valley","putnam","8085227","632094"
"brewster","putnam","15193001","1206373"
"berlin","rensselaer","9033678","373592"
"brunswick cent","rensselaer","8784102","329785"
"east greenbush","rensselaer","26874478","536211"
"hoosick falls","rensselaer","9822205","1409716"
"lansingburgh","rensselaer","20163655","2459222"
"wynantskill","rensselaer","2486101","159933"
"rensselaer","rensselaer","8660820","808592"
"averill park","rensselaer","24790384","991620"
"hoosic valley","rensselaer","9136221","869965"
"schodack","rensselaer","7360463","531537"
"troy","rensselaer","50271574","3736898"
"clarkstown","rockland","25414013","1132651"
"nanuet","rockland","5229208","677373"
"haverstraw-st","rockland","43492429","3789247"
"s. orangetown","rockland","9242398","1663058"
"nyack","rockland","8409348","567143"
"pearl river","rockland","7374406","1458260"
"ramapo","rockland","16305400","1325991"
"east ramapo","rockland","54656594","3731407"
"brasher falls","st. lawrence","12872281","1153838"
"canton","st. lawrence","14299844","770766"
"clifton fine","st. lawrence","4289128","163381"
"colton pierrep","st. lawrence","2685954","(371746)"
"gouverneur","st. lawrence","21705951","2053683"
"hammond","st. lawrence","2919176","283082"
"hermon dekalb","st. lawrence","5442048","263810"
"lisbon","st. lawrence","6789263","296561"
"madrid wadding","st. lawrence","7777710","520703"
"massena","st. lawrence","22043265","2980164"
"morristown","st. lawrence","4775532","510979"
"norwood norfol","st. lawrence","12284116","1186766"
"ogdensburg","st. lawrence","21145649","586307"
"heuvelton","st. lawrence","7343640","439846"
"parishville","st. lawrence","5425667","572452"
"potsdam","st. lawrence","12289601","1092240"
"edwards-knox","st. lawrence","8761691","659893"
"burnt hills","saratoga","18986545","958330"
"shenendehowa","saratoga","41237223","3288328"
"corinth","saratoga","10490398","1088138"
"edinburg","saratoga","664335","50760"
"galway","saratoga","7802571","800320"
"mechanicville","saratoga","8984586","490414"
"ballston spa","saratoga","25645099","2413259"
"s. glens falls","saratoga","22735071","1856143"
"schuylerville","saratoga","14516394","949524"
"saratoga sprin","saratoga","30856773","846866"
"stillwater","saratoga","9734263","411965"
"waterford","saratoga","6571580","1059984"
"duanesburg","schenectady","6641076","475308"
"scotia glenvil","schenectady","18405350","1934954"
"niskayuna","schenectady","15066129","1550514"
"schalmont","schenectady","11859989","418772"
"mohonasen","schenectady","17531240","(78664)"
"schenectady","schenectady","84382885","14449491"
"gilboa conesvi","schoharie","3227820","356130"
"jefferson","schoharie","2736554","241070"
"middleburgh","schoharie","9921065","275232"
"cobleskl-richm","schoharie","20399688","1208259"
"schoharie","schoharie","10066902","669021"
"sharon springs","schoharie","4651009","434998"
"odessa montour","schuyler","8320885","468089"
"watkins glen","schuyler","13261906","729785"
"south seneca","seneca","10892147","850637"
"romulus","seneca","5157499","128083"
"seneca falls","seneca","11600241","960773"
"waterloo cent","seneca","19739831","2163904"
"addison","steuben","13921691","1200733"
"avoca","steuben","7486414","569984"
"bath","steuben","19634173","952772"
"bradford","steuben","4254676","284682"
"campbell-savon","steuben","13314973","883577"
"corning","steuben","35516294","3048334"
"canisteo-green","steuben","15108262","689047"
"hornell","steuben","19927339","1506349"
"arkport","steuben","4982741","595345"
"prattsburg","steuben","5458827","357744"
"jasper-trpsbrg","steuben","6964926","580992"
"hammondsport","steuben","4023186","295997"
"wayland-cohoct","steuben","19122485","1457424"
"babylon","suffolk","7326175","224850"
"west babylon","suffolk","28033825","1246259"
"north babylon","suffolk","40446630","764248"
"lindenhurst","suffolk","47321804","4239322"
"copiague","suffolk","39159130","4440414"
"amityville","suffolk","19353573","1859850"
"deer park","suffolk","22395850","1525981"
"wyandanch","suffolk","31466841","3020072"
"three village","suffolk","34493072","2478381"
"comsewogue","suffolk","27345175","1606651"
"sachem","suffolk","116260887","6575857"
"port jefferson","suffolk","3560316","418195"
"mount sinai","suffolk","16230342","679995"
"miller place","suffolk","17546307","929660"
"rocky point","suffolk","23254873","1824322"
"middle country","suffolk","79485628","5648158"
"longwood","suffolk","81127143","5735820"
"patchogue-medf","suffolk","63687238","4725794"
"william floyd","suffolk","106483358","4992897"
"center moriche","suffolk","9815993","626169"
"east moriches","suffolk","5520653","93321"
"south country","suffolk","40837950","1255235"
"east hampton","suffolk","2740879","501567"
"amagansett","suffolk","391099","153484"
"springs","suffolk","1142263","297472"
"sag harbor","suffolk","1763330","259577"
"montauk","suffolk","784201","204146"
"elwood","suffolk","10542793","335546"
"cold spring ha","suffolk","3131480","319092"
"huntington","suffolk","11317777","1576129"
"northport","suffolk","11790165","2189666"
"half hollow hi","suffolk","25385172","2511834"
"harborfields","suffolk","12708875","603252"
"commack","suffolk","27888415","2110005"
"s. huntington","suffolk","23398591","1793103"
"bay shore","suffolk","35598635","1809791"
"islip","suffolk","18944978","1684287"
"east islip","suffolk","35641288","2192782"
"sayville","suffolk","23768187","1401711"
"bayport blue p","suffolk","15324049","970900"
"hauppauge","suffolk","12233151","1048654"
"connetquot","suffolk","44311451","4729854"
"west islip","suffolk","31580986","1937736"
"brentwood","suffolk","193024489","21660900"
"central islip","suffolk","71636955","5622886"
"fire island","suffolk","396521","133125"
"shoreham-wadin","suffolk","8098953","1387411"
"riverhead","suffolk","19082791","1735806"
"shelter island","suffolk","785391","378482"
"smithtown","suffolk","37451850","4405384"
"kings park","suffolk","13385239","1236012"
"remsenburg","suffolk","536987","164181"
"westhampton be","suffolk","2137360","335091"
"quogue","suffolk","374759","145754"
"hampton bays","suffolk","4105543","987545"
"southampton","suffolk","2412427","364754"
"bridgehampton","suffolk","818468","294732"
"eastport-south","suffolk","27720905","2335794"
"tuckahoe commo","suffolk","703508","79642"
"east quogue","suffolk","1173584","138624"
"oysterponds","suffolk","464618","127422"
"fishers island","suffolk","263772","111962"
"southold","suffolk","2111842","640292"
"greenport","suffolk","1349187","176181"
"mattituck-cutc","suffolk","2673922","450805"
"fallsburgh","sullivan","14858162","1912162"
"eldred","sullivan","4803675","815636"
"liberty","sullivan","17582794","1160396"
"tri valley","sullivan","8597528","1200560"
"roscoe","sullivan","2585569","302130"
"livingston man","sullivan","5878717","491105"
"monticello","sullivan","28854619","5725519"
"sullivan west","sullivan","15363995","1231194"
"waverly","tioga","14374935","1191561"
"candor","tioga","10592988","995870"
"newark valley","tioga","14353709","(275786)"
"owego-apalachi","tioga","18244043","926959"
"spencer van et","tioga","11899173","1144110"
"tioga","tioga","11240082","1198252"
"dryden","tompkins","16258638","779153"
"groton","tompkins","10164760","461245"
"ithaca","tompkins","25415817","1577084"
"lansing","tompkins","6803790","605814"
"newfield","tompkins","9125452","798623"
"trumansburg","tompkins","11604749","1054773"
"kingston","ulster","49661588","4441223"
"highland","ulster","12872598","1204312"
"rondout valley","ulster","21031135","1523332"
"marlboro","ulster","8521477","1786692"
"new paltz","ulster","13651785","680454"
"onteora","ulster","9011569","200178"
"saugerties","ulster","19418735","2133899"
"wallkill","ulster","27145707","2633895"
"ellenville","ulster","16213370","2124211"
"bolton","warren","708708","105615"
"north warren","warren","3565763","168516"
"glens falls","warren","15427868","1234302"
"johnsburg","warren","3332263","297292"
"lake george","warren","2041500","368156"
"hadley luzerne","warren","8172158","609318"
"queensbury","warren","21348420","2319119"
"glens falls co","warren","1159512","219346"
"warrensburg","warren","10235228","279435"
"argyle","washington","6514302","838340"
"fort ann","washington","6048337","564244"
"fort edward","washington","5715668","175570"
"granville","washington","14270706","1470986"
"greenwich","washington","9460134","745610"
"hartford","washington","5611922","553355"
"hudson falls","washington","20674238","1918999"
"putnam","washington","223134","27849"
"salem","washington","6191803","481287"
"cambridge","washington","9257621","807881"
"whitehall","washington","8237355","1321155"
"newark","wayne","24048807","969907"
"clyde-savannah","wayne","11399064","999766"
"lyons","wayne","10554471","827233"
"marion","wayne","11093261","1535925"
"wayne","wayne","14749989","357829"
"palmyra-macedo","wayne","14845131","1635754"
"gananda","wayne","8979692","795885"
"sodus","wayne","13966369","594319"
"williamson","wayne","10529757","718624"
"n. rose-wolcot","wayne","15083033","1204956"
"red creek","wayne","11842691","1363542"
"katonah lewisb","westchester","7599801","511239"
"bedford","westchester","6078018","375690"
"croton harmon","westchester","3497728","(204572)"
"hendrick hudso","westchester","4624101","517128"
"eastchester","westchester","3540503","516636"
"tuckahoe","westchester","1854794","34370"
"bronxville","westchester","2346587","239410"
"tarrytown","westchester","7102369","1016812"
"irvington","westchester","2845758","258485"
"dobbs ferry","westchester","3517318","75847"
"hastings on hu","westchester","4652874","299096"
"ardsley","westchester","5580020","542112"
"edgemont","westchester","2473548","237612"
"greenburgh","westchester","4500640","128651"
"elmsford","westchester","1700598","209171"
"harrison","westchester","4218147","402486"
"mamaroneck","westchester","8135879","1930678"
"mt pleas cent","westchester","4373545","385997"
"pocantico hill","westchester","922270","106971"
"valhalla","westchester","3064882","269498"
"pleasantville","westchester","4902189","769550"
"mount vernon","westchester","75431495","3904977"
"chappaqua","westchester","6802205","376099"
"new rochelle","westchester","33663136","3227680"
"byram hills","westchester","4015458","861010"
"north salem","westchester","2396948","129780"
"ossining","westchester","11868362","1384979"
"briarcliff man","westchester","3808249","25705"
"peekskill","westchester","31251715","3508870"
"pelham","westchester","4988796","514709"
"rye","westchester","3294793","740265"
"rye neck","westchester","1775213","156321"
"port chester","westchester","13572054","2138534"
"blind brook-ry","westchester","2603410","372249"
"scarsdale","westchester","5974220","84369"
"somers","westchester","6577133","1102001"
"white plains","westchester","15034201","1895064"
"yonkers","westchester","212400943","18657903"
"lakeland","westchester","32692642","(505692)"
"yorktown","westchester","14698061","1646929"
"attica","wyoming","16279321","1884143"
"letchworth","wyoming","12027148","1140196"
"wyoming","wyoming","2501584","166768"
"perry","wyoming","9862327","679089"
"warsaw","wyoming","10846354","967166"
"penn  yan","yates","13568161","1399277"
"dundee","yates","8421808","1245166"
