"abeliophyllum                         distichum","schneeforsythie                         wei&szlig;e forsythie","oleaceae"
"adenium                         boehmianum var. swazicum","&nbsp;","apocynaceae"
"adenium                         obesum","&nbsp;","apocynaceae"
"adenostyles                         alliariae","grauer                         alpendost","asteraceae"
"adonis                         aestivalis","sommer-adonisr&ouml;schen","ranunculaceae"
"adonis                         vernalis","fr�hlings-adonisr�schen","ranunculaceae"
"adoxa                         moschatellina","moschuskraut","adoxaceae"
"adromischus                         cooperi","&nbsp;","crassulaceae"
"aechmea                         chantinii","&nbsp;","bromeliaceae"
"aechmea                         dactylina","&nbsp;","bromeliaceae"
"aechmea                         fulgens var. discolor","&nbsp;","bromeliaceae"
"aechmea                         penduliflora","&nbsp;","bromeliaceae"
"aechmea                         pyramidalis","&nbsp;","bromeliaceae"
"aechmea                         rubens","&nbsp;","bromeliaceae"
"aechmea                         tillandsioides","&nbsp;","bromeliaceae"
"aeginetia                         indica","&nbsp;","orobanchaceae"
"aegopodium                         podagraria","giersch                         gei�fu�","brassicaceae"
"aeonium                         canariense","&nbsp;","crassulaceae"
"aeonium                         cuneatum","&nbsp;","crassulaceae"
"aeonium                         goochiae","&nbsp;","crassulaceae"
"aeonium                         tabuliforme","&nbsp;","crassulaceae"
"aerangis                         rhodosticta","&nbsp;","orchidaceae"
"aeranthes                         grandiflora","&nbsp;","orchidaceae"
"aeschynanthus                         radicans","&nbsp;","gesneriaceae"
"aesculus                         flava (= aesculus octandra)","gelbe rosskastanie appalachen-rosskastanie","sapindaceae"
"aesculus                         hippocastanum","balkan-rosskastanie","sapindaceae"
"aethephyllum                         pinnatifidum","&nbsp;","aizoaceae"
"aethionema                         eunomioides","&nbsp;","brassicaceae"
"aethionema                         schistosum","&nbsp;","brassicaceae"
"aethusa                         cynapium","hundspetersilie","apiaceae"
"afrocarpus                         falcatus","&nbsp;","podocarpaceae"
"afrocarpus                         gracilior","&nbsp;","podocarpaceae"
"agapanthus","&nbsp;","agapanthaceae liliaceae s.l."
"agathis                         australis","&nbsp;","araucariaceae"
"agathis                         robusta","&nbsp;","araucariaceae"
"ageratum                         houstonianum","leberbalsam","asteraceae"
"agalonema                         commutatum","&nbsp;","araceae"
"agastache                         urticifolia","&nbsp;","lamiaceae"
"agrimonia                         eupatoria","kleiner                         odermennig","rosaceae"
"agrimonia                         procera","gro&szlig;er                         odermennig","rosaceae"
"agrostemma                         githago","kornrade","caryophyllaceae"
"agave                         nizandensis","&nbsp;","agavaceae                         liliaceae s.l."
"agave                         parviflora","&nbsp;","agavaceae                         liliaceae s.l."
"agave                         striata","&nbsp;","agavaceae                         liliaceae s.l."
"agave                         victoriae-reginae","&nbsp;","agavaceae                         liliaceae s.l."
"ailanthus                         altissima","chinesischer                         g&ouml;tterbaum","simaroubaceae"
"ajuga                         chamaepitys","gelber                         g&uuml;nsel","lamiaceae"
"ajuga                         reptans","kriechender                         g&uuml;nsel","lamiaceae"
"ajuga                         reptans 'burgundyglow'","kriech-g�nsel                         (kultivar)","lamiaceae"
"akebia                         quinata","fingerbl&auml;ttrige                         akebie","lardizabalaceae"
"albizia                         julibrissin","schlafbaum","mimosaceae"
"albizia lophanta = paraserianthes                         lophantha","&nbsp;","&nbsp;"
"alchemilla                         mollis","weicher                         frauenmantel","rosaceae"
"alchemilla                         vulgaris agg.","artengruppe                         gew�hnlicher frauenmantel","rosaceae"
"alisma                         lanceolatum","lanzettbl&auml;ttriger                         froschl&ouml;ffel","alismataceae"
"alisma                         plantago-aquatica","gew�hnlicher                         froschl�ffel","alismataceae"
"alliaria                         petiolata","lauchhedrich                         knoblauchsrauke","brassicaceae"
"alkanna                         orientalis","&nbsp;","boraginaceae"
"allium                         aflatunese","&nbsp;","alliaceae                         liliaceae s. l."
"allium                         cepa","k�chenzwiebel","alliaceae                         liliaceae s. l."
"allium                         flavum","gelber                         lauch","alliaceae                         liliaceae s. l."
"allium                         karataviense","&nbsp;","alliaceae                         liliaceae s. l."
"allium                         moly","gold-lauch","alliaceae                         liliaceae s. l."
"allium                         montanum","berg-lauch","alliaceae                         liliaceae s. l."
"allium                         oleraceum","kohl-lauch","alliaceae                         liliaceae s. l."
"allium                         paradoxum","seltsamer                         lauch","alliaceae                         liliaceae s. l."
"allium                         pulchellum","&nbsp;","alliaceae                         liliaceae s. l."
"allium                         schoenoprasum","schnitt-lauch","alliaceae                         liliaceae s. l."
"allium                         sphaerocephalon","kugel-lauch","alliaceae                         liliaceae s. l."
"allium                         ursinum","b&auml;r-lauch","alliaceae                         liliaceae s. l."
"allium                         victorialis","allermannsharnisch","alliaceae                         liliaceae s. l."
"allium                         vineale","weinbergs-lauch","alliaceae                         liliaceae s. l."
"alluaudiopsis                         fiherenensis","&nbsp;","didiereaceae"
"alnus                         glutinosa","schwarz-erle","betulaceae"
"alnus                         incana","grau-erle","betulaceae"
"alnus                         japonica","japanische                         erle","betulaceae"
"aloe                         arborescens","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         aristata","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         ciliaris","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         dichotoma","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         erinacea","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         ferox","wilde                         aloe","aloaceae                         liliaceae s. l."
"aloe                         lateritia","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         plicatilis","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         polyphylla","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         sinkatana","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         spicata","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         striata","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         variegata","papagei-aloe","aloaceae                         liliaceae s. l."
"aloe                         vera","&nbsp;","aloaceae                         liliaceae s. l."
"aloe                         zebrina","&nbsp;","aloaceae                         liliaceae s. l."
"aloinopsis                         schooneesii","&nbsp;","aizoaceae"
"alopecurus                         myosuroides","acker-fuchsschwanz","poaceae"
"alopecurus                         pratensis","wiesen-fuchsschwanz","poaceae"
"alpinia                         formosana","&nbsp;","zingiberaceae"
"alstroemeria                         ligtu","inkalilie","alstroemeriaceae"
"althaea                         officinalis","echter                         eibisch","malvaceae"
"alyogyne                         huegelii","&nbsp;","malvaceae"
"alyssum                         montanum","berg-steinkraut","brassicaceae"
"alyxia                         buxifolia","&nbsp;","apocynaceae"
"amaranthus                         retroflexus","zur&uuml;ckgekr&uuml;mmter                         fuchsschwanz","amaranthaceae"
"amaryllis                         belladonna","belladonna-lilie","amaryllidaceae"
"amelanchier                         denticulata","&nbsp;","rosaceae"
"amelanchier                         lamarckii","kupfer-felsenbirne","rosaceae"
"amelanchier                         ovalis","echte                         felsenbirne gew&ouml;hnliche felsenbirne","rosaceae"
"amentotaxus                         argotaenia","&nbsp;","taxaceae"
"amorpha                         fruticosa","gew&ouml;hnlicher                         bleibusch bastardindigo","fabaceae"
"amorphophallus                         rivieri","&nbsp;","araceae"
"anacampseros                         filamentosa","&nbsp;","portulacaceae"
"anacampseros                         lubbersii","&nbsp;","portulacaceae"
"anacardium                         occidentale","&nbsp;","anacardiaceae"
"anacyclus                         pyrethrum var. depressus","&nbsp;","asteraceae"
"anagallis                         arvensis","acker-gauchheil","primulaceae"
"anagyris                         foetida","stinkstrauch","fabaceae"
"anchusa                         arvensis","acker-krummhals","boraginaceae"
"anchusa                         officinalis","gew&ouml;hnliche                         ochsenzunge","boraginaceae"
"anemone                         blanda","berg-anemone                         balkan-windr�schen","ranunculaceae"
"anemone                         nemorosa","busch-windr�schen","ranunculaceae"
"anemone                         ranunculoides","gelbes                         windr�schen","ranunculaceae"
"anemone                         sylvestris","gro&szlig;es                         windr&ouml;schen","ranunculaceae"
"anemopsis                         californica","&nbsp;","saururaceae"
"anethum                         graveolens","dill","apiaceae"
"angelica                         archangelica","arznei-engelwurz","apiaceae"
"angelica                         sylvestris","{angelika                         echte brustwurz|wald-engelwurz}","apiaceae"
"anigozanthos                         viridis","gr&uuml;ne                         k&auml;ngurupfote","haemodoraceae"
"annona                         muricata","stachel-annone                         sauersack","annonaceae"
"anomatheca                         laxa","&nbsp;","iridaceae"
"antennaria                         parviflora","kleinbl&uuml;tiges                         katzenpf&ouml;tchen","asteraceae"
"anthemis                         arvensis","acker-hundskamille","asteraceae"
"anthemis                         tinctoria","f&auml;rber-hundskamille","asteraceae"
"anthericum                         liliago","astlose                         graslilie","anthericaceae                         liliaceae s.l."
"anthoxanthum                         odoratum","gew&ouml;hnliches                         ruchgras","poaceae"
"anthoxanthum                         puelli (= a. aristatum)","grannen-ruchgras","poaceae"
"anthriscus                         sylvestris","wiesenkerbel","apiaceae"
"anthurium                         bakeri","&nbsp;","araceae"
"anthurium                         palmatum","&nbsp;","araceae"
"anthurium                         scherzerianum","&nbsp;","araceae"
"anthurium                         schlechtendalii","&nbsp;","araceae"
"anthurium                         wendlingeri","&nbsp;","araceae"
"anthyllis                         barba-jovis","jupiterbart","fabaceae"
"anthyllis                         hermanniae","&nbsp;","fabaceae"
"anthyllis                         vulneraria","gew&ouml;hnlicher                         wundklee","fabaceae"
"antigonon                         leptopus","&nbsp;","polygonaceae"
"apera                         spica-venti","gew&ouml;hnlicher                         windhalm","poaceae"
"aphanes                         arvensis","gew&ouml;hnlicher                         acker-frauenmantel","rosaceae"
"aphyllanthes                         monspeliensis","binsenlilie","aphyllanthaceae                         liliaceae s.l."
"aquilegia                         formosana","&nbsp;","ranunculaceae"
"aquilegia                         vulgaris","gew&ouml;hnliche                         akelei","ranunculaceae"
"arabidopsis                         thaliana","acker-schmalwand","brassicaceae"
"arabis                         alpina","alpen-g&auml;nsekresse","brassicaceae"
"arachis                         hypogaea","erdnuss","fabaceae"
"aralia                         elata","japanischer                         angelikabaum","araliaceae"
"araucaria                         angustifolia","schmalbl&auml;ttrige                         schmucktanne","araucariaceae"
"araucaria                         araucana","andentanne                         chilenische schmucktanne","araucariaceae"
"araucaria                         heterophylla","zimmertanne","araucariaceae"
"arctium                         lappa","gro&szlig;e                         klette","asteraceae"
"arctium                         minus","kleine                         klette","asteraceae"
"arctotis                         aspera","&nbsp;","asteraceae"
"arbutus                         unedo","westlicher                         erdbeerbaum","ericaceae"
"arceuthobium                         oxycedri","wacholder-zwergmistel","viscaceae"
"ardisia                         crenata","gekerbte                         spitzblume","myrsinaceae"
"arenaria                         serpyllifolia","thymianbl&auml;ttriges                         sandkraut","caryophyllaceae"
"arenga                         engleri","&nbsp;","arecaceae"
"argemone                         grandiflora","&nbsp;","papaveraceae"
"argemone                         platyceras","&nbsp;","papaveraceae"
"arisaema                         amurense","&nbsp;","araceae"
"arisaema                         sikokianum","&nbsp;","araceae"
"arisaema                         triphyllum","&nbsp;","araceae"
"aristotelia                         chilensis","&nbsp;","elaeocarpaceae"
"armoracia                         rusticana","gew&ouml;hnlicher                         meerrettich","brassicaceae"
"arnica                         montana","arnika                         bergwohlverleih","asteraceae"
"argyroderma                         crateriforme","&nbsp;","aizoaceae"
"argyroderma                         deleatii","&nbsp;","aizoaceae"
"argyroderma                         pearsonii","&nbsp;","aizoaceae"
"argyroderma                         testiculare","&nbsp;","aizoaceae"
"aristolochia                         brasiliensis (= aristolochia labiata)","brasilianische                         pfeifenblume","aristolochiaceae"
"aristolochia                         clematitis","gew&ouml;hnliche                         osterluzei","aristolochiaceae"
"aristolochia                         fimbriata","&nbsp;","aristolochiaceae"
"aristolochia                         grandiflora","gro&szlig;bl&uuml;tige                         pfeifenblume","aristolochiaceae"
"aristolochia                         littoralis","&nbsp;","aristolochiaceae"
"aristolochia                         rotunda","rundbl&auml;ttrige                         pfeifenblume","aristolochiaceae"
"aristolochia                         tricaudata","&nbsp;","aristolochiaceae"
"armeria                         welwitschii","&nbsp;","plumbaginaceae"
"aronia                         melanocarpa","kahle                         apfelbeere","rosaceae"
"arrhenatherum                         elatius","glatthafer","poaceae"
"artocarpus                         altilis","brotfrucht","moraceae"
"artocarpus                         heterophyllus","jackfrucht","moraceae"
"arum                         dioscoridis","&nbsp;","araceae"
"arum                         italicum","italienischer                         aronstab","araceae"
"arum                         maculatum","gefleckter                         aronstab","araceae"
"artemisia                         absinthium","wermuth                         absinth","asteraceae"
"artemisia                         vulgaris","gew�hnlicher                         beifu&szlig;","asteraceae"
"arthrocereus                         rondonianus","&nbsp;","cactaceae"
"arthropodium                         cirrhatum","&nbsp;","anthericaceae                         liliaceae s.l."
"aruncus                         dioicus","wald-gei&szlig;bart","rosaceae"
"asarina                         procumbens","nierenbl&auml;ttriges                         l&ouml;wenmaul","plantaginaceae"
"asarina                         scandens","&nbsp;","plantaginaceae"
"asarum                         canadense","kanadische                         haselwurz","aristolochiaceae"
"asarum                         caudatum","geschw&auml;nzte                         haselwurz","aristolochiaceae"
"asarum                         europaeum","europ&auml;ische                         haselwurz","aristolochiaceae"
"asparagus                         officinalis","gem&uuml;se-spargel","asparagaceae                         liliaceae s.l."
"asclepias                         curassavica","seidenpflanze","asclepiadaceae"
"asclepias                         syriaca","gew&ouml;hnliche                         seidenpflanze","asclepiadaceae"
"asimina                         triloba","papau","annonaceae"
"asphodeline                         lutea","junkerlilie","asphodelaceae                         liliaceae s.l."
"aspidistra                         elatior","schusterpalme","convallariaceae"
"asplenium                         nidus","nestfarn","aspleniaceae"
"asplenium                         ruta-muraria","mauerraute                         mauer-streifenfarn","aspleniaceae"
"asplenium                         scolopendrium (= phyllitis scolopendrium)","hirschzunge","aspleniaceae"
"asplenium                         trichomanes subsp. quadrivalens","gew�hnlicher                         brauner streifenfarn","aspleniaceae"
"aster                         amellus","kalk-aster","asteraceae"
"aster                         novae-angliae","neuengland-aster","asteraceae"
"astragalus                         balearicus","&nbsp;","fabaceae"
"astragalus                         glycyphyllos","s&uuml;&szlig;er                         tragant b�renschote","fabaceae"
"astrantia                         major","gro&szlig;e                         sterndolde","apiaceae"
"astrophytum                         asterias","sternkaktus","cactaceae"
"astrophytum                         capricorne","bischofsm�tze","cactaceae"
"astrophytum                         myriostigma","bischofsm�tze","cactaceae"
"astrophytum                         myriostigma var. quadricostatum","bischofsm�tze","cactaceae"
"astydamia                         canariensis","&nbsp;","apiaceae"
"athrotaxis                         cupressoides","zypressen-schuppenfichte","cupressaceae"
"athrotaxis                         laxifolia","&nbsp;","cupressaceae"
"athrotaxis                         selaginoides","&nbsp;","cupressaceae"
"athyrium                         filix-femina","wald-frauenfarn","woodsiaceae"
"atrichum                         undulatum","kahlm&uuml;tzenmoos","polytrichaceae"
"atriplex                         patula","spreizende                         melde","chenopodiaceae"
"atropa                         belladonna","echte                         tollkirsche","solanaceae"
"aucuba                         japonica","japanische                         aucube japanische goldorange","aucubaceae                         cornaceae s.l."
"austrocactus                         patagonicus","&nbsp;","cactaceae"
"austrocedrus                         chilensis","chilezeder","cupressaceae"
"avena                         fatua","flug-hafer","poaceae"
"avena                         sativa","saat-hafer","poaceae"
"averrhoa                         carambola","karambole                         sternfrucht","oxalidaceae"
"aylostera albiflora                         = rebutia                         albiflora","&nbsp;","&nbsp;"
"aylostera muscula                         = rebutia                         fiebrigii","&nbsp;","&nbsp;"
"azara                         petiolaris","&nbsp;","flacourtiaceae"
"azolla                         filiculoides","&nbsp;","azollaceae"
"aztekium                         hintonii","&nbsp;","cactaceae"
"bacopa                         caroliniana","&nbsp;","plantaginaceae"
"baldellia                         ranunculoides","gew&ouml;hnlicher                         igelschlauch","alismataceae"
"ballota                         nigra ssp. meridionalis","westliche                         scharznessel","lamiaceae"
"banksia                         integrifolia","k&uuml;sten-banksie","proteaceae"
"banksia                         serrata","&nbsp;","proteaceae"
"barbacenia                         elegans","&nbsp;","velloziaceae"
"barosma                         apiculata","&nbsp;","rutaceae"
"bartlettina                         sordida","&nbsp;","asteraceae"
"bauhinia                         forficata","&nbsp;","caesalpiniaceae"
"bauhinia                         tomentosa","&nbsp;","caesalpiniaceae"
"bauhinia variegata","orchideenbaum","caesalpiniaceae"
"beaucarnea                         recurvata","elefantenfu&szlig;","nolinaceae                         liliaceae s.l."
"begonia                         bowerae","&nbsp;","begoniaceae"
"begonia                         socotrana","&nbsp;","begoniaceae"
"begonia                         staudtii","&nbsp;","begoniaceae"
"bellis                         perennis","g&auml;nsebl&uuml;mchen","asteraceae"
"berberis                         aristata","begrannte                         berberitze","berberidaceae"
"berberis                         buxifolia","buxbl�ttrige                         berberitze","berberidaceae"
"berberis                         julianae","julianes                         berberitze","berberidaceae"
"berberis                         koreana","koreanische                         berberitze","berberidaceae"
"berberis                         x ottawensis","&nbsp;","berberidaceae"
"berberis                         thunbergii","thunbergs                         berberitze","berberidaceae"
"berberis                         vulgaris","gew&ouml;hnliche                         berberitze sauerdorn","berberidaceae"
"bergeranthus                         scapiger","&nbsp;","aizoaceae"
"betula                         nigra","schwarz-birke","betulaceae"
"betula                         pendula","sand-birke                         h�nge-birke wei�-birke","betulaceae"
"biarum                         tenuifolium","&nbsp;","araceae"
"billbergia                         euphemiae","&nbsp;","bromeliaceae"
"billbergia                         kuhlmannii","&nbsp;","bromeliaceae"
"billbergia                         vittata","&nbsp;","bromeliaceae"
"billbergia                         zebrina","&nbsp;","bromeliaceae"
"bituminaria                         bituminosa (= psoralea bituminosa)","asphaltklee","fabaceae"
"blechnum                         spicant","gew�hnlicher                         rippenfarn","blechnaceae"
"blossfeldia                         liliputana","&nbsp;","cactaceae"
"boesenbergia                         rotunda (= kaempferia pandurata)","fingerwurz","zingiberaceae"
"borago                         officinalis","boretsch","boraginaceae"
"bothriochloa                         ischaemum","gew�hnliches                         bartgras","poaceae"
"bougainvillea                         glabra","bougainvillea","nyctaginaceae"
"bougainvillea                         spectabilis","&nbsp;","nyctaginaceae"
"bouteloua                         gracilis","moskitogras","poaceae"
"bowkeria                         gerrardiana","&nbsp;","scrophulariaceae"
"brachychilum                         horsfieldii (= hedychium horsfieldii)","&nbsp;","zingiberaceae"
"brachychiton                         populneus","&nbsp;","sterculiaceae"
"brachypodium                         pinnatum","fieder-zwenke","poaceae"
"brachypodium                         sylvaticum","wald-zwenke","poaceae"
"brachythecium                         rutabulum","kr&uuml;ckenf&ouml;rmiges                         kurzb&uuml;chsenmoos","brachytheciaceae"
"brasilicactus                         haselbergii","&nbsp;","cactaceae"
"brassica                         napus","raps","brassicaceae"
"brassica                         oleracea","gem&uuml;se-kohl","brassicaceae"
"brighamia                         insignis","&nbsp;","lobeliaceae                         campanulaceae s.l."
"brimeura                         amethystina","amethyst-wildhyazinthe","hyacinthaceae"
"briza                         maxima","gro&szlig;es                         zittergras","poaceae"
"briza                         media","gew&ouml;hnliches                         zittergras","poaceae"
"bromelia                         nidus-puellae","&nbsp;","bromeliaceae"
"bromus                         erectus","aufrechte                         trespe","poaceae"
"bromus                         hordeaceus","weiche                         trespe","poaceae"
"bromus                         sterilis","taube                         trespe","poaceae"
"bromus                         tectorum","dach-trespe","poaceae"
"broussonetia                         papyrifera","papiermaulbeerbaum","moraceae"
"brownea                         ariza","&nbsp;","caesalpiniaceae"
"browningia                         hertlingiana","&nbsp;","cactaceae"
"brugmansia                         arborea (= datura arborea)","engelstrompete","solanaceae"
"brugmansia                         suaveolens (= datura suaveolens)","engelstrompete","solanaceae"
"brunfelsia                         pauciflora","&nbsp;","solanaceae"
"brunnera                         macrophylla","gro�bl�ttriges                         kaukasus-vergissmeinnicht","boraginaceae"
"bryonia                         dioica","rotfr&uuml;chtige                         zaunr&uuml;be","cucurbitaceae"
"bryophyllum                         rosei (= kalanchoe rosei)","&nbsp;","crassulaceae"
"buckleya                         lanceolata","&nbsp;","santalaceae"
"buddleja                         alternifolia","schmalbl&auml;ttriger                         sommerflieder","buddlejaceae"
"buddleja                         davidii","sommerflieder                         schmetterlingsstrauch","buddlejaceae"
"buddleja                         globosa","&nbsp;","buddlejaceae"
"buglossoides purpureocaeruleum                         = lithospermum purpureocaeruleum","&nbsp;","&nbsp;"
"bulbine                         alooides","&nbsp;","asphodelaceae                         liliaceae s.l."
"bulbine                         capitata","&nbsp;","asphodelaceae                         liliaceae s.l."
"bulbophyllum                         ambrosia","&nbsp;","orchidaceae"
"bulbophyllum                         medusae (= cirrhopetalum medusae)","&nbsp;","orchidaceae"
"bunias                         orientalis","orientalische                         zackenschote","brassicaceae"
"bunium                         bulbocastanum","erdkastanie                         knollenk&uuml;mmel","apiaceae"
"burbidgea schizocheila","&nbsp;","zingiberaceae"
"butomus                         umbellatus","schwanenblume","butomaceae"
"buxus                         balearica","balearen-buchsbaum","buxaceae"
"buxus                         sempervirens","gew&ouml;hnlicher                         buchsbaum","buxaceae"
"byblis                         liniflora","regenbogenpflanze","byblidaceae"
"caesalpinia                         gilliesii","&nbsp;","caesalpiniaceae"
"caesalpinia                         pulcherrima","flamboyant                         zwerg-poinciane","caesalpiniaceae"
"cakile                         maritima","europ&auml;ischer                         meersenf","brassicaceae"
"calathea                         crotalifera","&nbsp;","marantaceae"
"calceolaria                         biflora","zweibl&uuml;tige                         pantoffelblume","calceolariaceae"
"calceolaria                         valdiviana","&nbsp;","calceolariaceae"
"calendula                         arvensis","acker-ringelblume","asteraceae"
"calendula                         officinalis","garten-ringelblume","asteraceae"
"calibanus                         hookeri","&nbsp;","dracaenaceae                         liliaceae s.l."
"calla                         palustris","schlangenwurz","araceae"
"callaeum                         macropterum","&nbsp;","malpighiaceae"
"calliandra                         tweedii","&nbsp;","mimosaceae"
"callicarpa                         japonica","japanische                         sch&ouml;nfrucht","verbenaceae"
"callistemon                         citrinus","&nbsp;","myrtaceae"
"callistemon                         macropunctatus var. lacrifolius","&nbsp;","myrtaceae"
"callistemon                         pallidus","&nbsp;","myrtaceae"
"callistemon                         rigidus","&nbsp;","myrtaceae"
"callitriche                         palustris","sumpf-wasserstern","callitrichaceae"
"callitris                         drummondii","&nbsp;","cupressaceae"
"callitris                         endlicheri","endlichers                         schmuckzypresse","cupressaceae"
"callitris                         preissii","&nbsp;","cupressaceae"
"callitris                         rhomboidea","&nbsp;","cupressaceae"
"callopsis                         volkensii","&nbsp;","araceae"
"calluna                         vulgaris","besenheide","ericaceae"
"calocedrus                         decurrens 'fastigiata'","kalifornische                         weihrauchzeder kalifornische flusszeder","cupressaceae"
"calocedrus                         formosana","taiwan-weihrauchzeder","cupressaceae"
"calochortus                         luteus","&nbsp;","calochortaceae                         liliaceae s.l."
"calochortus                         venustus","&nbsp;","calochortaceae                         liliaceae s.l."
"caltha                         palustris","sumpfdotterblume","ranunculaceae"
"calycanthus                         floridus","karolina-nelkenpfeffer","calycanthaceae"
"calystegia                         sepium","gew&ouml;hnliche                         zaunwinde","convolvulaceae"
"camelina                         microcarpa","kleinbl&uuml;tiger                         leindotter","brassicaceae"
"camellia                         japonica","japanische                         kamelie","theaceae"
"campanula                         barbata","b&auml;rtige                         glockenblume","campanulaceae"
"campanula                         betulifolia","birkenbl&auml;ttrige                         glockenblume","campanulaceae"
"campanula                         cochleariifolia","zwerg-glockenblume","campanulaceae"
"campanula                         fragilis","&nbsp;","campanulaceae"
"campanula                         glomerata","kn&auml;uel-glockenblume","campanulaceae"
"campanula                         latifolia","breitbl&auml;ttrige                         glockenblume","campanulaceae"
"campatula                         patula","wiesen-glockenblume","campanulaceae"
"campanula                         persicifolia","pfirsichbl&auml;ttrige                         glockenblume","campanulaceae"
"campanula                         persicifolia 'alba'","&nbsp;","campanulaceae"
"campanula                         portenschlagiana","&nbsp;","campanulaceae"
"campanula                         rotundifolia","rundbl&auml;ttrige                         glockenblume","campanulaceae"
"campanula                         rapunculoides","acker-glockenblume","campanulaceae"
"campanula                         trachelium","nesselbl&auml;ttrige                         glockenblume","campanulaceae"
"campylopus                         introflexus","&quot;heidepest&quot;","dicranaceae"
"canarina                         canariensis","kanarenglocke","campanulaceae"
"cannabis                         sativa","hanf","cannabaceae"
"cantua                         buxifolia","heilige                         blume der inka","polemoniaceae"
"capsella                         bursa-pastoris","hirten-t&auml;schelkraut","brassicaceae"
