"organizational identifier","state","pre_1988","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","total"
"harvard college president and fellows","ma","50","17","15","23","9","16","17","16","14","32","28","49","41","26","32","48","40","41","26","34","43","43","660"
"georgia tech research corp.","ga","81","7","8","18","11","16","16","20","21","22","16","17","33","37","32","36","43","37","42","54","50","42","659"
"university of washington","wa","26","5","3","7","8","11","11","13","17","25","37","47","47","59","43","41","36","31","32","37","39","42","617"
"university of florida","fl","68","21","31","30","37","36","29","18","21","15","25","26","28","50","36","21","44","21","24","19","5","2","607"
"north carolina state university","nc","21","5","10","14","11","24","27","32","30","26","24","26","23","24","31","33","44","42","39","34","31","34","585"
"duke university","nc","33","9","11","7","6","8","12","29","20","37","21","28","33","32","55","38","40","26","25","51","29","33","583"
"scripps research institute","ca","0","0","0","0","0","9","28","24","36","27","26","58","42","36","55","32","28","19","29","40","32","42","563"
"university of illinois","il","25","8","15","7","8","10","13","14","12","16","17","21","29","26","34","31","39","58","34","51","45","47","560"
"purdue research foundation","in","172","2","11","15","11","5","6","11","10","12","24","20","18","10","13","23","21","23","25","24","32","21","509"
"washington university","mo","23","6","12","7","20","17","18","19","21","18","22","40","50","36","37","19","22","20","15","19","17","15","473"
"university of southern california","ca","78","7","9","6","5","18","13","15","6","15","18","16","13","15","20","31","27","31","25","35","25","39","467"
"penn state research foundation inc.","pa","0","0","0","0","0","0","4","10","16","20","19","26","35","37","50","47","51","38","29","29","27","27","465"
"university of pittsburgh","pa","47","6","11","11","16","10","10","10","13","11","17","31","39","38","38","22","22","24","18","23","18","30","465"
"university of north carolina","nc","10","2","6","8","3","11","14","13","21","22","39","29","43","27","36","22","29","24","30","21","30","24","464"
"northwestern university","il","68","10","7","5","4","8","8","12","17","10","27","35","23","17","33","27","21","18","18","19","24","27","438"
"new york university","ny","42","4","9","14","7","11","19","15","14","18","21","22","23","24","29","19","22","23","14","26","41","20","437"
"university of maryland","md","8","2","1","4","4","14","20","14","21","20","15","24","32","24","24","25","31","29","22","40","29","31","434"
"university of iowa research foundation","ia","50","6","8","12","6","7","11","9","17","11","14","25","29","16","38","25","30","17","16","28","26","22","423"
"princeton university","nj","4","1","12","4","13","4","11","7","12","13","16","24","30","28","39","36","31","21","32","23","29","30","420"
"ohio state university","oh","138","14","13","10","15","17","8","5","10","9","13","11","13","22","11","13","13","23","21","22","10","6","417"
"texas a and m university","tx","29","9","8","9","12","14","22","20","16","14","14","21","23","19","25","29","19","24","24","24","26","15","416"
"rockefeller university","ny","30","11","6","8","14","23","23","13","9","8","20","35","34","42","25","32","13","15","5","21","3","19","409"
"rutgers university","nj","3","2","7","2","14","12","15","18","20","18","21","26","31","25","21","35","24","21","18","31","21","24","409"
"university of florida research foundation incorporated","fl","0","0","2","3","1","6","5","8","10","21","18","26","22","14","15","21","15","20","40","60","57","43","407"
"yale university","ct","25","6","11","10","4","12","14","13","16","7","20","34","28","29","29","25","28","19","23","21","16","7","397"
"university of utah research foundation","ut","26","1","3","3","1","5","10","16","13","24","22","32","30","17","38","24","14","21","17","22","27","25","391"
"university of chicago","il","14","6","7","2","0","0","6","13","16","13","22","22","25","16","27","28","27","41","24","37","19","15","380"
"university of kentucky research foundation","ky","67","7","6","4","7","7","4","3","11","13","14","19","25","24","19","31","22","17","19","23","13","19","374"
"university of nebraska the board of regents of","ne","28","4","0","3","4","4","10","16","21","29","24","25","23","27","18","24","18","20","12","18","14","18","360"
"mayo foundation for medical education and research","mn","0","0","3","4","4","8","9","4","6","12","17","20","28","18","27","26","29","28","27","26","25","29","350"
"louisiana state university","la","17","4","9","4","5","20","16","11","14","14","20","37","15","20","34","19","17","11","15","13","14","15","344"
"thomas jefferson university","pa","29","2","7","5","7","8","9","13","14","15","25","29","26","26","36","29","21","10","8","5","9","4","337"
"university of rochester","ny","65","11","11","13","12","10","11","10","6","3","5","15","7","12","16","19","18","15","15","25","19","19","337"
"carnegie-mellon university","pa","21","2","5","3","5","10","4","8","10","13","9","26","27","33","12","19","25","25","7","30","15","13","322"
"boston university","ma","31","9","9","11","6","22","14","14","14","16","20","19","15","16","18","14","15","10","10","8","13","10","314"
"university of south florida","fl","1","0","2","2","7","5","7","4","6","13","14","18","18","20","15","19","11","30","18","32","28","34","304"
"emory university","ga","2","0","7","3","10","6","14","5","11","12","12","35","26","20","18","28","22","17","11","19","13","10","301"
"university of central florida","fl","0","0","1","0","0","0","4","4","6","9","14","12","14","11","19","16","26","29","23","32","31","40","291"
"baylor college of medicine","tx","31","3","7","8","4","6","9","9","4","15","15","27","19","26","12","17","15","13","7","14","12","16","289"
"university of missouri","mo","52","9","5","6","7","9","8","7","10","8","16","13","16","6","12","14","17","18","8","20","15","11","287"
"university of arkansas","ar","3","1","2","3","10","16","8","10","5","6","8","9","30","18","28","17","25","16","17","23","16","14","285"
"vanderbilt university","tn","18","4","4","5","7","4","7","6","9","6","11","16","14","21","20","20","21","21","16","22","17","16","285"
"uab research foundation","al","0","0","0","1","1","4","4","4","6","5","13","18","31","22","25","21","41","31","13","14","15","4","273"
"virginia tech intellectual properties inc.","va","0","1","7","3","11","16","7","14","3","11","16","16","20","13","9","10","13","13","12","24","28","13","260"
"university of virginia alumni patents foundation","va","24","4","8","10","10","9","6","5","9","13","12","15","15","10","15","9","20","6","9","11","13","21","254"
"university of utah","ut","136","8","10","11","4","8","10","6","4","8","9","5","4","3","5","5","5","3","1","0","2","2","249"
"case western reserve university","oh","34","1","1","2","1","9","6","8","8","6","9","15","28","18","18","22","14","10","11","11","6","9","247"
"university of akron","oh","39","6","6","9","14","11","9","17","11","12","5","9","12","11","13","11","9","14","8","7","7","7","247"
"university of georgia research foundation inc.","ga","27","0","3","5","8","10","18","7","10","12","11","18","10","18","18","20","12","8","11","5","7","7","245"
"university of connecticut","ct","7","1","2","8","3","9","9","2","8","9","13","11","17","13","7","13","13","10","18","28","19","21","241"
"university of delaware","de","96","8","8","11","10","10","5","4","5","5","4","6","2","3","5","9","7","9","6","5","10","12","240"
"university of tennessee research corporation","tn","34","7","12","13","10","12","3","5","14","8","12","9","12","16","22","31","4","3","1","2","2","1","233"
"university of oklahoma","ok","10","6","2","4","4","7","13","7","11","9","16","9","15","17","20","8","10","3","6","22","22","11","232"
"wayne state university","mi","15","6","15","9","8","16","12","14","9","8","8","10","10","8","12","11","5","6","8","13","8","5","216"
"university patents inc.","ct","164","15","12","5","5","9","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","215"
"rensselear polytechnic institute","ny","27","2","5","4","2","2","7","7","7","12","6","4","5","9","8","6","14","13","14","17","26","10","207"
"oregon health sciences university","or","3","0","3","4","6","5","5","6","10","12","16","13","13","21","13","14","8","11","6","8","9","11","197"
"kansas state university research foundation","ks","50","3","4","1","7","7","8","20","11","9","4","7","12","8","9","8","7","9","2","2","3","3","194"
"temple university","pa","36","7","10","9","3","14","9","9","11","7","9","6","5","4","6","8","12","8","5","7","4","3","192"
"university of massachusetts","ma","4","1","0","1","2","0","0","1","1","2","1","14","39","11","11","11","15","15","9","16","14","23","191"
"university of cincinnati","oh","13","3","8","9","9","7","8","7","8","7","10","5","5","16","16","12","9","8","7","8","8","7","190"
"albert einstein college of medicine of yeshiva university","ny","20","1","5","1","0","1","4","3","3","11","6","14","10","17","17","15","11","14","9","13","5","9","189"
"university of new mexico","nm","6","3","9","9","10","11","5","9","15","8","13","12","15","23","13","14","6","1","1","0","1","0","184"
"florida state university","fl","5","1","1","1","1","2","9","5","10","8","6","13","9","14","7","19","12","9","11","13","13","7","176"
"northeastern university","ma","8","1","3","4","6","11","10","15","16","11","12","11","9","15","6","4","2","8","8","4","4","3","171"
"university of colorado the regents of","co","5","0","0","0","0","0","0","2","8","14","20","16","7","2","3","3","14","13","11","20","12","21","171"
"clemson university","sc","16","3","6","6","2","10","4","10","8","7","9","8","2","3","6","7","13","10","11","13","9","7","170"
"brown university research foundation","ri","5","3","3","2","4","5","1","4","6","6","9","18","18","12","19","7","13","8","8","8","4","6","169"
"georgetown university","dc","22","3","1","5","3","5","5","7","6","7","8","11","8","13","8","8","12","9","1","8","8","5","163"
"research triangle institute","nc","26","2","3","6","8","4","7","7","7","2","4","6","10","10","8","5","13","7","6","11","7","3","162"
"university of medicine and dentistry of new jersey","nj","13","2","4","7","2","6","1","4","5","3","7","15","9","5","14","5","12","8","4","18","9","9","162"
"william marsh rice university","tx","1","0","0","1","0","0","2","2","0","4","2","1","2","2","6","9","6","21","20","31","24","25","159"
"dartmouth college","nh","10","3","2","4","1","1","4","4","3","4","2","9","8","11","7","8","9","10","7","16","16","9","148"
"indiana university foundation","in","64","1","6","1","3","6","1","7","6","8","11","11","4","5","1","2","0","0","0","1","0","0","138"
"ohio state research foundation","oh","1","0","0","0","0","4","2","5","7","13","14","13","9","4","9","6","6","11","8","8","8","9","137"
"brigham young university","ut","22","1","8","9","5","9","13","3","3","2","5","2","2","4","2","6","2","7","3","11","12","5","136"
"university of hawaii","hi","11","3","2","6","2","5","8","6","7","6","5","6","8","10","4","6","6","4","6","10","7","7","135"
"university of illinois foundation","il","134","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","135"
"university of alabama","al","36","3","3","5","2","3","2","3","3","8","6","9","6","4","7","8","1","8","4","2","3","6","132"
"arizona state university","az","5","0","9","9","12","6","2","3","6","14","8","1","4","4","6","6","5","2","7","9","6","6","130"
"washington state university research foundation","wa","19","1","5","3","3","3","2","4","3","2","5","5","9","9","13","7","7","6","7","4","3","8","128"
"arizona board of regents","az","0","0","0","0","0","0","1","3","6","5","4","5","7","3","8","14","5","19","12","14","12","9","127"
"university of miami","fl","37","5","5","1","1","5","2","5","5","5","14","3","2","3","3","6","8","3","3","2","5","4","127"
"oregon state university","or","7","2","1","1","6","9","5","11","6","3","7","8","3","2","8","6","5","9","6","7","6","4","122"
"trustees of tufts college","ma","4","1","4","0","2","4","7","4","1","3","4","8","6","6","11","10","10","8","5","11","8","5","122"
"scripps clinic and research foundation","ca","38","12","18","14","9","12","10","5","0","0","1","1","1","0","0","0","0","0","0","0","0","0","121"
"virginia commonwealth university","va","1","0","0","1","1","3","6","2","2","4","7","6","18","18","9","9","11","4","1","5","8","5","121"
"michigan technological university","mi","50","2","1","5","6","6","3","3","2","3","0","0","2","3","1","3","2","5","6","5","8","2","118"
"wake forest university","nc","1","3","3","0","1","0","3","4","1","6","6","6","9","11","11","6","8","13","3","8","9","6","118"
"university of toledo","oh","20","0","3","0","2","4","7","6","14","7","9","6","5","4","5","4","3","5","2","4","2","4","116"
"university of dayton","oh","23","6","3","5","5","1","3","2","4","4","2","7","7","5","5","6","2","4","1","5","7","3","110"
"auburn university","al","0","0","0","1","0","4","0","2","2","1","3","6","9","8","8","8","5","9","11","10","14","8","109"
"university of arizona","az","1","0","1","2","1","1","3","6","4","4","9","8","7","5","3","6","6","5","3","10","14","10","109"
"tulane educational fund","la","5","2","4","4","6","5","6","6","4","7","4","9","2","6","5","6","7","2","0","3","3","7","103"
"harbor branch oceanographic institute inc.","fl","5","8","15","16","7","5","4","4","4","2","2","1","1","4","3","6","4","3","1","4","1","0","100"
"university of idaho research foundation inc.","id","14","0","2","2","2","5","8","4","5","7","6","5","2","5","6","4","4","1","2","9","1","3","97"
"colorado state university research foundation","co","14","2","0","2","4","1","4","1","1","6","2","8","5","4","4","11","5","4","2","3","5","6","94"
"associated universities inc.","dc","1","1","3","7","7","5","5","14","12","12","13","9","1","0","0","0","0","0","1","1","0","0","92"
"mount sinai school of medicine of the city university of new york","ny","24","2","1","2","5","3","3","2","3","8","10","10","6","4","2","3","1","0","0","0","1","0","90"
"brandeis university","ma","3","1","9","4","5","4","2","2","3","6","4","9","6","4","1","2","9","4","1","5","3","2","89"
"state university of new york","ny","56","9","3","3","3","5","2","3","1","0","0","0","0","2","1","0","0","0","0","0","0","0","88"
"new jersey institute of technology","nj","1","0","2","0","1","2","0","1","2","2","6","6","8","9","4","6","5","7","0","6","7","11","86"
"university technology corporation","co","0","0","0","0","0","0","0","0","0","0","2","11","18","16","17","14","2","1","1","1","0","0","83"
"oklahoma state university","ok","22","2","1","1","1","2","0","0","3","2","0","2","5","3","1","5","3","7","7","3","6","4","80"
"syracuse university","ny","8","5","4","9","2","5","5","3","1","2","9","7","4","3","0","2","1","1","1","3","1","4","80"
"drexel university","pa","6","0","3","2","2","2","5","6","4","1","2","5","4","4","5","7","3","5","1","1","4","7","79"
"illinois institute of technology","il","2","0","0","0","2","1","4","0","7","3","4","4","4","1","4","7","7","4","5","6","8","6","79"
"kent state university","oh","2","0","0","1","3","2","3","3","4","4","3","5","5","5","6","2","3","2","8","7","6","5","79"
"university of kansas","ks","1","0","1","3","3","7","3","2","2","3","1","5","8","4","3","9","6","4","3","0","4","5","77"
"university of colorado foundation","co","1","0","3","9","6","19","7","12","10","2","1","3","1","0","0","0","2","0","0","0","0","0","76"
"loma linda university medical center","ca","1","0","1","2","2","1","2","2","7","5","1","5","5","4","3","4","5","4","2","7","7","5","75"
"science &amp; technology corporation at university of new mexico","nm","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","13","13","12","8","10","13","74"
"university of houston","tx","3","0","0","1","1","0","2","2","6","4","4","4","2","9","6","4","12","2","4","1","3","4","74"
"lehigh university","pa","13","1","5","4","6","6","4","3","1","1","0","2","2","4","3","3","4","1","3","1","1","2","70"
"university corporation for atmospheric research","co","1","0","0","0","2","1","8","3","5","7","4","4","2","3","2","4","6","11","0","3","2","2","70"
"university of south carolina","sc","6","4","2","0","4","6","2","3","0","3","4","1","4","1","5","2","3","2","2","7","4","3","68"
"mississippi state university","ms","0","0","0","0","0","0","0","0","1","4","3","3","5","5","5","9","3","5","7","7","6","4","67"
"university of maryland biotechnology institute","md","0","0","0","0","0","0","0","0","0","0","3","0","5","2","9","6","14","6","5","4","5","7","66"
"uchicago argonne llc","il","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","25","37","65"
"southeastern universities research association inc.","va","0","0","0","0","1","2","0","1","2","2","4","4","10","1","3","7","6","8","8","4","0","0","63"
"university of mississippi","ms","20","0","2","0","0","1","2","0","1","4","2","0","3","4","1","3","0","3","1","3","4","8","62"
"university of notre dame","in","19","2","2","0","3","1","2","3","0","2","2","4","0","1","2","3","1","2","5","1","6","1","62"
"university of southern mississippi","ms","8","1","1","3","4","1","2","0","1","1","1","1","6","5","5","1","3","3","7","2","2","3","61"
"university of massachusetts medical center","ma","0","0","3","1","2","2","2","1","2","10","9","7","6","3","3","2","1","1","3","0","0","2","60"
"ohio university","oh","4","0","1","0","1","1","3","3","5","3","1","6","2","3","2","3","6","2","3","3","5","2","59"
"st. louis university","mo","6","1","0","0","2","1","0","0","1","1","2","3","10","2","5","7","4","3","5","3","2","1","59"
"southern illinois university","il","19","1","1","2","1","1","1","0","0","0","0","0","4","2","7","2","4","6","1","2","1","1","56"
"university of california office of technology transfer","ca","0","0","0","0","0","0","1","8","10","11","11","9","2","2","0","0","0","0","0","1","1","0","56"
"new york institute of technology","ny","40","4","3","1","1","2","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","55"
"institute of paper science and technology inc.","ga","0","0","0","0","2","1","2","4","0","4","3","9","4","3","6","12","3","0","1","0","0","0","54"
"polytechnic university","ny","0","1","3","3","2","1","1","0","1","3","3","3","1","2","2","5","4","1","3","6","5","3","53"
"university of massachusetts at lowell","ma","0","0","2","1","2","3","2","2","8","3","5","3","4","4","2","2","0","2","1","2","3","2","53"
"wright state university","oh","23","2","3","3","3","1","4","3","0","0","2","1","1","0","0","0","3","0","2","1","0","1","53"
"duquesne university of the holy ghost","pa","0","0","0","0","0","1","0","1","3","4","1","5","9","5","4","7","3","4","1","2","0","0","50"
"university of virginia","va","30","0","0","2","1","0","1","0","1","0","1","5","0","4","3","0","1","0","0","0","1","0","50"
"mount sinai school of medicine of new york university","ny","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","19","2","7","4","1","8","49"
"university of vermont and state agricultural college","vt","1","1","4","1","1","2","0","0","1","0","1","1","3","2","3","5","4","1","3","2","6","7","49"
"research foundation the city university of new york","ny","0","1","1","0","0","0","0","0","1","0","1","0","3","1","4","6","5","5","4","4","7","5","48"
"stevens institute of technology","nj","0","4","0","1","2","0","0","1","1","2","2","1","6","5","3","3","1","5","4","2","3","2","48"
"university of tennessee research foundation","tn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","7","12","13","9","48"
"medical university of south carolina","sc","1","1","0","1","0","0","0","1","2","1","1","5","5","6","2","5","3","3","5","2","0","2","46"
"florida atlantic university","fl","1","0","0","0","1","0","3","3","1","0","3","3","1","2","3","1","1","5","3","5","5","4","45"
"george washington university","dc","4","0","1","0","0","0","2","0","0","3","3","3","2","7","3","7","3","0","1","2","2","1","44"
"university of wyoming","wy","2","0","0","0","0","0","0","0","2","0","4","5","3","0","2","4","3","3","3","3","9","1","44"
"utah state university","ut","0","0","0","0","0","0","0","0","3","2","0","3","5","4","2","2","4","1","5","2","5","6","44"
"university of oregon","or","4","0","2","0","0","3","2","1","2","4","0","4","2","1","2","2","2","2","2","3","0","5","43"
"texas tech university","tx","0","0","0","0","1","0","0","0","0","0","2","1","0","1","5","12","2","4","4","4","3","3","42"
"tufts university","ma","0","1","3","1","3","3","2","2","2","4","0","2","0","3","1","2","1","3","3","4","0","1","41"
"worcester polytechnic institute","ma","1","0","0","1","0","4","1","2","3","0","0","3","0","3","3","1","3","1","3","4","6","2","41"
"alfred university","ny","0","0","1","6","5","5","6","4","3","4","3","2","0","0","0","0","0","0","0","1","0","0","40"
"utah state university foundation","ut","15","1","1","2","3","2","2","2","5","4","1","2","0","0","0","0","0","0","0","0","0","0","40"
"west virginia university","wv","3","0","2","1","1","0","0","1","1","1","1","0","1","0","4","4","10","2","0","2","2","3","39"
"east carolina university","nc","0","0","0","1","1","1","1","1","1","2","2","0","3","5","1","3","3","3","2","4","1","3","38"
"fordham university","ny","0","0","0","0","0","0","0","0","0","0","0","2","4","8","2","21","0","1","0","0","0","0","38"
"university of maine","me","10","0","1","1","0","0","0","0","0","0","0","0","1","2","2","1","2","5","1","5","2","5","38"
"loyola university of chicago","il","1","0","0","1","1","1","3","1","2","2","4","2","4","3","3","1","3","0","1","0","1","2","36"
"mt. sinai school of medicine","ny","0","0","0","0","0","0","0","2","1","1","2","4","6","3","1","1","4","1","1","2","2","5","36"
"universities research association inc.","dc","0","1","1","2","2","3","3","4","1","4","3","2","1","2","1","0","0","0","2","4","0","0","36"
"rochester institute of technology","ny","2","0","0","0","0","0","0","1","0","1","0","0","1","0","1","3","6","4","3","1","9","3","35"
"university of kansas medical center","ks","0","0","0","0","1","0","0","0","0","2","1","1","2","0","4","11","3","7","1","2","0","0","35"
"research and development institute inc. at montana state university","mt","6","0","1","3","2","1","0","4","2","3","1","1","5","2","1","1","0","1","0","0","0","0","34"
"new mexico state university technology transfer corporation","nm","0","0","0","0","1","0","1","4","0","1","3","2","4","3","2","2","5","3","1","0","0","0","32"
"university of rhode island","ri","19","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","32"
"pennsylvania research corporation","pa","3","1","0","2","5","7","6","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","31"
"cleveland state university","oh","0","0","0","0","0","3","4","3","0","6","1","2","1","1","0","3","2","1","0","3","0","0","30"
"baylor university","tx","2","0","0","0","0","0","0","1","3","2","3","0","3","3","3","1","1","1","2","0","2","2","29"
"medical college of ohio","oh","9","1","0","1","2","0","0","0","2","2","1","4","2","1","1","0","0","0","0","1","1","1","29"
"university of puerto rico","pr","0","0","0","0","1","0","1","0","4","1","0","1","0","0","5","2","7","1","0","2","2","2","29"
"new mexico tech research foundation","nm","5","0","0","0","0","1","0","3","2","0","2","0","1","0","2","3","3","0","2","0","2","2","28"
"albany medical college","ny","0","0","1","1","0","0","1","0","0","0","1","3","4","2","4","0","2","5","0","0","2","1","27"
"colorado school of mines","co","0","0","0","0","0","1","1","1","2","0","3","0","3","1","5","2","0","2","0","2","3","1","27"
"medical college of wisconsin research foundation inc.","wi","1","4","2","0","0","0","0","2","4","1","2","2","0","2","0","3","0","0","0","0","3","1","27"
"north dakota state university","nd","1","0","1","0","2","1","3","0","3","3","4","0","1","3","1","0","2","0","0","1","1","0","27"
"medical college of georgia research institute inc.","ga","3","0","0","0","0","0","0","0","0","0","0","1","0","2","0","11","1","2","2","1","2","1","26"
"north dakota state university research foundation","nd","0","0","0","0","0","1","0","1","2","1","1","1","3","2","3","2","1","2","3","2","0","1","26"
"oregon graduate center for study and research","or","18","1","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"university of louisville research foundation incorporated","ky","0","0","0","0","0","0","1","1","1","0","2","0","1","0","0","1","1","3","3","5","3","4","26"
"university of montana","mt","1","0","0","0","0","0","1","1","2","0","3","2","3","1","3","0","2","0","4","2","0","1","26"
"fsu research foundation inc.","fl","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","6","5","3","4","0","25"
"medical college of wisconsin inc.","wi","14","6","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","25"
"southern methodist university","tx","2","0","0","0","0","0","0","0","0","1","3","1","1","2","1","0","1","2","2","5","4","0","25"
"university of new hampshire","nh","3","0","1","0","1","0","0","1","0","0","1","0","0","1","3","3","0","2","3","2","2","2","25"
"university of vermont","vt","2","0","0","3","1","2","1","1","0","1","2","1","3","0","0","2","1","2","1","2","0","0","25"
"university of nevada","nv","1","0","0","0","0","1","0","1","0","1","0","0","1","1","2","2","1","2","1","1","4","5","24"
"alfred e. mann institute for biomedical engineering at the university of southern california","ca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","6","3","8","2","23"
"clemson university research foundation","sc","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","14","4","1","0","0","1","1","23"
"loma linda university","ca","2","0","0","0","0","0","0","0","1","0","0","1","1","0","2","1","2","2","1","6","0","4","23"
"research foundation of city college of new york","ny","0","0","0","0","0","0","0","1","1","0","4","5","4","3","1","1","1","1","0","1","0","0","23"
"indiana university research and technology corporation","in","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","4","7","3","22"
"university of south alabama","al","4","0","2","0","1","0","4","2","1","0","1","1","2","1","0","1","1","0","0","0","1","0","22"
"woods hole oceanographic institution","ma","5","0","1","0","1","0","0","2","1","2","2","2","0","0","1","0","1","1","0","2","0","1","22"
"boston college","ma","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","6","3","4","6","21"
"creighton university","ne","1","0","0","0","0","0","0","2","0","1","3","1","0","0","3","0","1","1","2","1","2","3","21"
"new york university medical center","ny","0","0","0","0","1","0","0","1","1","1","2","1","4","2","4","2","0","1","0","0","0","1","21"
"northern illinois university","il","0","1","0","0","1","0","2","2","1","1","3","0","5","0","1","0","2","1","0","1","0","0","21"
"virginia polytechnic institute and state university","va","0","1","0","1","0","2","5","2","3","3","1","0","1","1","0","0","0","1","0","0","0","0","21"
"montana state university","mt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","1","4","7","5","20"
"board of regents of the university and community college system of nevada","nv","0","0","0","0","0","0","0","0","0","0","2","0","2","2","2","1","5","1","0","3","1","0","19"
"george mason university","va","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","4","3","3","3","1","1","0","19"
"new york medical college","ny","2","1","2","1","1","0","0","2","0","1","0","2","1","1","1","1","2","0","0","1","0","0","19"
"research and education institute inc. harbor - ucla medical center","ca","3","1","2","0","1","1","0","0","0","0","2","0","1","1","1","1","2","2","1","0","0","0","19"
"san diego state university","ca","0","0","0","0","0","0","0","0","0","1","2","1","1","1","2","3","3","2","3","0","0","0","19"
"university of houston-university park","tx","0","0","3","2","2","1","1","3","2","1","0","0","1","0","1","1","0","0","0","1","0","0","19"
"alfred university research foundation inc.","ny","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"board of regents for the oklahoma agricultural and mechanical college acting for and on behalf of oklahoma state university","ok","10","0","2","3","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","18"
"catholic university of america","dc","0","0","0","0","0","0","1","3","4","2","0","0","1","1","1","0","1","1","2","0","0","1","18"
"eastern virginia medical school","va","2","1","0","0","0","1","2","1","0","2","0","2","0","1","1","0","0","0","0","3","1","1","18"
"northeastern ohio universities college of medicine","oh","0","0","0","0","0","0","1","0","1","1","3","3","0","1","1","1","1","0","0","4","1","0","18"
"university of arizona foundation","az","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","18"
"university of kansas endowment association","ks","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"university of new orleans research &amp; technology foundation","la","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","5","3","1","1","1","0","18"
"western michigan university","mi","2","0","0","0","2","0","1","1","0","0","0","2","3","2","2","0","0","2","1","0","0","0","18"
"miami university","oh","1","2","0","0","0","0","0","0","0","0","1","0","3","0","5","2","0","1","1","1","0","0","17"
"pennsylvania state university","pa","0","0","1","1","1","0","0","1","0","0","0","0","1","0","2","5","1","1","0","0","3","0","17"
"syracuse university research corporation","ny","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"university of alaska","ak","0","0","0","0","1","1","1","3","2","3","2","0","0","1","0","2","0","1","0","0","0","0","17"
