"scientific name","common name","family","us status","state status","global rank","state rank","more information"
"baptisia lactea(baptisia leucantha)","white or prairie false indigo","fabaceae","NULL","sc","g4q","s3","{explorer}"
"baptisia leucophaea","cream wild indigo","fabaceae","NULL","e","g4g5t4t5","s1","{explorer}"
"bartonia paniculata","panicled screwstem","gentianaceae","NULL","t","g5","s2","{explorer|abstract}"
"beckmannia syzigachne","slough grass","poaceae","NULL","t","g5","s2","{explorer|abstract}"
"berula erecta(berula pusilla)","cut-leaved water parsnip","apiaceae","NULL","t","g4g5","s2","{explorer}"
"besseya bullii","kitten-tails","scrophulariaceae","NULL","e","g3","s1","{explorer}"
"betula murrayana","murray birch","betulaceae","NULL","sc","g1q","s1","{explorer}"
"betula populifolia","gray birch","betulaceae","NULL","sc","g5","s3","{explorer}"
"botrychium acuminatum","moonwort","ophioglossaceae","NULL","e","g1","s1","{explorer|abstract}"
"botrychium campestre","prairie moonwort or dunewort","ophioglossaceae","NULL","t","g3g4","s2","{explorer|abstract}"
"botrychium hesperium","western moonwort","ophioglossaceae","NULL","t","g4","s2","{explorer|abstract}"
"botrychium mormo","goblin moonwort","ophioglossaceae","NULL","t","g3","s2","{explorer|abstract}"
"botrychium pallidum","pale moonwort","ophioglossaceae","NULL","sc","g3","s3","{explorer}"
"botrychium spathulatum","spatulate moonwort","ophioglossaceae","NULL","t","g3","s2","{explorer}"
"bouteloua curtipendula","side-oats grama grass","poaceae","NULL","e","g5","s1","{explorer}"
"braya humilis","low northern rock cress","brassicaceae","NULL","t","g5","s1","{explorer}"
"bromus nottowayanus","satin brome","poaceae","NULL","sc","g3g5","s3","{explorer}"
"bromus pumpellianus","pumpelly's bromegrass","poaceae","NULL","t","g5t4","s2","{explorer|abstract}"
"buchnera americana","bluehearts","scrophulariaceae","NULL","x","g5?","sx","{explorer}"
"cacalia plantaginea(arnoglossum plantagineum)","prairie indian-plantain","asteraceae","NULL","sc","g4g5","s3","{explorer|abstract}"
"calamagrostis lacustris","northern reedgrass","poaceae","NULL","t","g3q","s1","{explorer}"
"calamagrostis stricta","narrow-leaved reedgrass","poaceae","NULL","t","g5","s1","{explorer}"
"callitriche hermaphroditica","autumnal water-starwort","callitrichaceae","NULL","sc","g5","s2","{explorer}"
"callitriche heterophylla","large water starwort","callitrichaceae","NULL","t","g5","s1","{explorer}"
"caltha natans","floating marsh marigold","ranunculaceae","NULL","t","g5","snr",""
"calypso bulbosa","calypso or fairy-slipper","orchidaceae","NULL","t","g5","s2","{explorer|abstract}"
"camassia scilloides","wild hyacinth","liliaceae","NULL","t","g4g5","s2","{explorer}"
"carex albolutescens","sedge","cyperaceae","NULL","t","g5","s2","{explorer}"
"carex assiniboinensis","assiniboia sedge","cyperaceae","NULL","t","g4g5","s2","{explorer|abstract}"
"carex atratiformis","sedge","cyperaceae","NULL","t","g5","s2","{explorer|abstract}"
"carex conjuncta","sedge","cyperaceae","NULL","t","g4g5","s1","{explorer}"
"carex crus-corvi","raven's-foot sedge","cyperaceae","NULL","e","g5","s1","{explorer}"
"carex davisii","davis's sedge","cyperaceae","NULL","sc","g4","s3","{explorer}"
"carex decomposita","log sedge","cyperaceae","NULL","x","g3","sx","{explorer}"
"carex festucacea","fescue sedge","cyperaceae","NULL","sc","g5","s1","{explorer}"
"carex gravida","sedge","cyperaceae","NULL","x","g5","sx","{explorer}"
"carex haydenii","hayden's sedge","cyperaceae","NULL","x","g5","sx","{explorer}"
"carex heleonastes","hudson bay sedge","cyperaceae","NULL","e","g4","s1","{explorer}"
"{carex inops|heliophila}","sun sedge","cyperaceae","NULL","sc","g5t5","s3","{explorer}"
"carex lupuliformis","false hop sedge","cyperaceae","NULL","t","g4","s2","{explorer|abstract}"
"carex media","sedge","cyperaceae","NULL","t","g5t5?","s2s3","{explorer}"
"carex nigra","black sedge","cyperaceae","NULL","e","g5","s1","{explorer}"
"carex novae-angliae","new england sedge","cyperaceae","NULL","t","g5","s1","{explorer}"
"carex oligocarpa","eastern few-fruited sedge","cyperaceae","NULL","t","g4","s2","{explorer}"
"carex platyphylla","broad-leaved sedge","cyperaceae","NULL","e","g5","s1","{explorer|abstract}"
"carex richardsonii","richardson's sedge","cyperaceae","NULL","sc","g4","s3s4","{explorer|abstract}"
"carex rossii","ross's sedge","cyperaceae","NULL","t","g5","s2","{explorer}"
"carex scirpoidea","bulrush sedge","cyperaceae","NULL","t","g5","s2","{explorer}"
"carex seorsa","sedge","cyperaceae","NULL","t","g4","s2","{explorer}"
"carex squarrosa","sedge","cyperaceae","NULL","sc","g4g5","s1","{explorer}"
"carex straminea","straw sedge","cyperaceae","NULL","e","g5","sh","{explorer}"
"carex tincta","sedge","cyperaceae","NULL","t","g4g5","s1","{explorer}"
"carex trichocarpa","hairy-fruited sedge","cyperaceae","NULL","sc","g4","s2","{explorer}"
"carex typhina","cattail sedge","cyperaceae","NULL","t","g5","s1","{explorer}"
"carex wiegandii","wiegand's sedge","cyperaceae","NULL","sc","g4","s3","{explorer}"
"castanea dentata","american chestnut","fagaceae","NULL","e","g4","s1s2","{explorer}"
"castilleja septentrionalis","pale indian paintbrush","scrophulariaceae","NULL","t","g5","s2s3","{explorer|abstract}"
"ceanothus sanguineus","wild lilac","rhamnaceae","NULL","t","g4g5","s2","{explorer|abstract}"
"celtis tenuifolia","dwarf hackberry","ulmaceae","NULL","sc","g5","s3","{explorer|abstract}"
"cerastium brachypodum","shortstalk chickweed","caryophyllaceae","NULL","t","g5","s2","{explorer}"
"cerastium velutinum","field chickweed","caryophyllaceae","NULL","x","g5t4?","sx","{explorer}"
"chamaerhodos nuttallii var. keweenawensis(chamaerhodos erecta)","rock-rose","rosaceae","NULL","e","g5t1q","s1","{explorer}"
"chasmanthium latifolium(uniola latifolia)","wild oats","poaceae","NULL","e","g5","s1","{explorer}"
"chelone obliqua","purple turtlehead","scrophulariaceae","NULL","e","g4","s1","{explorer|abstract}"
"cirsium hillii(cirsium pumilum var. hillii)","hill's thistle","asteraceae","NULL","sc","g3","s3","{explorer|abstract}"
"cirsium pitcheri","pitcher's thistle","asteraceae","lt","t","g3","s3","{explorer|abstract}"
"clematis occidentalis","purple clematis","ranunculaceae","NULL","sc","g5","s3","{explorer|abstract}"
"collinsia parviflora","small blue-eyed mary","scrophulariaceae","NULL","t","g5","s2","{explorer}"
"commelina erecta","slender dayflower","commelinaceae","NULL","x","g5","sx","{explorer}"
"coreopsis palmata","prairie coreopsis","asteraceae","NULL","t","g5","s2","{explorer|abstract}"
"corydalis flavula","yellow fumewort","fumariaceae","NULL","t","g5","s2","{explorer|abstract}"
"crataegus douglasii","douglas's hawthorn","rosaceae","NULL","sc","g5","s3s4","{explorer}"
"cryptogramma acrostichoides","american rock-brake","pteridaceae","NULL","t","g5","s2","{explorer}"
"cuscuta campestris","field dodder","cuscutaceae","NULL","sc","g5","sh","{explorer}"
"cuscuta glomerata","rope dodder","cuscutaceae","NULL","sc","g5","sh","{explorer}"
"cuscuta indecora","dodder","cuscutaceae","NULL","sc","g5","sh","{explorer}"
"cuscuta pentagona","dodder","cuscutaceae","NULL","sc","g4g5","sh","{explorer}"
"cuscuta polygonorum","knotweed dodder","cuscutaceae","NULL","sc","g5","s2","{explorer}"
"cyperus acuminatus","cyperus nut grass","cyperaceae","NULL","x","g5","sx","{explorer}"
"cypripedium arietinum","ram's head lady's-slipper","orchidaceae","NULL","sc","g3","s3","{explorer|abstract}"
"cypripedium candidum","white lady slipper","orchidaceae","NULL","t","g4","s2","{explorer|abstract}"
"cystopteris laurentiana","laurentian fragile fern","dryopteridaceae","NULL","sc","g3","s1s2","{explorer}"
"cystopteris tennesseensis","tennissee bladder fern","dryopteridaceae","NULL","t","g5","s2","{explorer}"
"dalea purpurea(petalostemum purpureum)","purple prairie clover","fabaceae","NULL","x","g5","sx","{explorer}"
"dalibarda repens","false violet","rosaceae","NULL","t","g5","s1s2","{explorer|abstract}"
"danthonia intermedia","wild oat grass","poaceae","NULL","sc","g5","s1s2","{explorer}"
"dasistoma macrophylla(seymeria macrophylla)","mullein-foxglove","scrophulariaceae","NULL","e","g4","s1","{explorer}"
"dennstaedtia punctilobula","hay-scented fern","dennstaedtiaceae","NULL","t","g5","s1","{explorer}"
"dentaria maxima(cardamine maxima)","large toothwort","brassicaceae","NULL","t","g5","s1s2","{explorer|abstract}"
"diarrhena obovata(diarrhena americana)","beak grass","poaceae","NULL","t","g4g5","s2","{abstract}"
"dichanthelium leibergii(panicum leibergii)","leiberg's panic grass","poaceae","NULL","t","g5","s2","{explorer|abstract}"
"dichanthelium microcarpon(panicum microcarpon)","small-fruited panic-grass","poaceae","NULL","sc","gnr","s2","{explorer}"
"dichanthelium polyanthes(panicum polyanthes)","round-seed panic-grass","poaceae","NULL","e","gnr","s1","{explorer|abstract}"
"digitaria filiformis","slender finger grass","poaceae","NULL","x","g5","sx","{explorer}"
"diphasiastrum alpinum(lycopodium alpinum)","alpine clubmoss","lycopodiaceae","NULL","x","g5","sx","{explorer}"
"dodecatheon meadia","shooting star","primulaceae","NULL","e","g5","s1","{explorer|abstract}"
"draba arabisans","rock whitlow grass","brassicaceae","NULL","sc","g4","s3","{explorer|abstract}"
"draba cana","ashy whitlow grass","brassicaceae","NULL","t","g5","s1","{explorer}"
"draba glabella","smooth whitlow grass","brassicaceae","NULL","e","g4g5","s1","{explorer}"
"draba incana","twisted whitlow grass","brassicaceae","NULL","t","g5","s1","{explorer}"
"draba reptans","creeping whitlow grass","brassicaceae","NULL","t","g5","s1","{explorer}"
"drosera anglica(drosera xanglica)","english sundew","droseraceae","NULL","sc","g5","s3","{explorer|abstract}"
"dryopteris celsa","small log fern","dryopteridaceae","NULL","t","g4","s2","{explorer}"
"dryopteris filix-mas","male fern","dryopteridaceae","NULL","sc","g5","s3","{explorer}"
"dryopteris fragrans","fragrant cliff woodfern","dryopteridaceae","NULL","sc","g5","s3","{explorer|abstract}"
"echinacea purpurea","purple coneflower","asteraceae","NULL","x","g4","sx","{explorer}"
"echinodorus tenellus(echinodorus parvulus)","dwarf burhead","alismataceae","NULL","e","g5?","s1","{explorer}"
"eleocharis atropurpurea","purple spike rush","cyperaceae","NULL","e","g4g5","s1","{explorer}"
"eleocharis compressa","flattened spike rush","cyperaceae","NULL","t","g4","s2","{explorer}"
"eleocharis engelmannii","engelmann's spike rush","cyperaceae","NULL","sc","g4g5q","s2s3","{explorer}"
"eleocharis equisetoides","horsetail spike rush","cyperaceae","NULL","sc","g4","s3","{explorer}"
"eleocharis geniculata","spike-rush","cyperaceae","NULL","x","g5","sx",""
"eleocharis melanocarpa","black-fruited spike-rush","cyperaceae","NULL","sc","g4","s3","{explorer|abstract}"
"eleocharis microcarpa","small-fruited spike-rush","cyperaceae","NULL","e","g5","s1","{explorer}"
"eleocharis nitida","slender spike rush","cyperaceae","NULL","e","g4","s1","{explorer}"
"eleocharis parvula","dwarf spike-rush","cyperaceae","NULL","e","g5","s1","{explorer}"
"eleocharis radicans","spike rush","cyperaceae","NULL","x","g5","sx","{explorer}"
"eleocharis tricostata","three-ribbed spike rush","cyperaceae","NULL","t","g4","s2","{explorer}"
"elymus glaucus","blue wild-rye","poaceae","NULL","sc","g5","s3","{explorer}"
"empetrum nigrum","black crowberry","empetraceae","NULL","t","g5","s2","{explorer|abstract}"
"equisetum telmateia","giant horsetail","equisetaceae","NULL","x","g5","sx","{explorer}"
"eragrostis capillaris","love grass","poaceae","NULL","sc","g5","sh","{explorer}"
"eragrostis pilosa","small love grass","poaceae","NULL","sc","g4","sh","{explorer}"
"erigeron acris","fleabane","asteraceae","NULL","t","g5","s1s2","{explorer}"
"erigeron hyssopifolius","hyssop-leaved fleabane","asteraceae","NULL","t","g5","s1","{explorer}"
"eryngium yuccifolium","rattlesnake-master or button snakeroot","apiaceae","NULL","t","g5","s2","{explorer}"
"euonymus atropurpurea","wahoo","celastraceae","NULL","sc","g5","s3","{explorer|abstract}"
"eupatorium fistulosum(eutrochium fistulosum)","hollow-stemmed joe-pye weed","asteraceae","NULL","t","g5?","s1","{explorer|abstract}"
"eupatorium sessilifolium","upland boneset","asteraceae","NULL","t","g5","s1","{explorer}"
"euphorbia commutata","tinted spurge","euphorbiaceae","NULL","t","g5","s1","{explorer|abstract}"
"euphrasia hudsoniana","eyebright","scrophulariaceae","NULL","t","g5?","s1","{explorer}"
"euphrasia nemorosa(euphrasia arctica)","eyebright","scrophulariaceae","NULL","t","g5","s1","{explorer}"
"festuca scabrella(festuca altaica var. scabrella)","rough fescue","poaceae","NULL","t","g5","s2s3","{explorer|abstract}"
"filipendula rubra","queen-of-the-prairie","rosaceae","NULL","t","g4g5","s2","{explorer|abstract}"
"fimbristylis puberula","chestnut sedge","cyperaceae","NULL","x","g5","sx","{explorer|abstract}"
"fraxinus profunda(fraxinus tomentosa)","pumpkin ash","oleaceae","NULL","t","g4","s2","{explorer|abstract}"
"fuirena pumila","umbrella-grass","cyperaceae","NULL","t","g4","s2",""
"galearis spectabilis(orchis spectabilis)","showy orchis","orchidaceae","NULL","t","g5","s2","{explorer|abstract}"
"galium kamtschaticum","bedstraw","rubiaceae","NULL","e","g5","s1","{explorer}"
"gentiana flavida(gentiana alba)","white gentian","gentianaceae","NULL","e","g4","s1","{explorer}"
"gentiana linearis","narrow-leaved gentian","gentianaceae","NULL","t","g4g5","s2","{explorer}"
"gentiana puberulenta(gentiana puberula)","downy gentian","gentianaceae","NULL","e","g4g5","s1","{explorer}"
"gentiana saponaria","soapwort gentian","gentianaceae","NULL","x","g5","sx","{explorer}"
"gentianella quinquefolia","stiff gentian","gentianaceae","NULL","t","g5","s2","{explorer}"
"geum triflorum","prairie smoke","rosaceae","NULL","t","g5","s2s3","{explorer|abstract}"
"geum virginianum","pale avens","rosaceae","NULL","sc","g5","s1s2","{explorer}"
"gillenia trifoliata(porteranthus trifoliatus)","bowman's root","rosaceae","NULL","e","g4g5","s1","{explorer}"
"glyceria acutiflora","manna grass","poaceae","NULL","x","g5","sx","{explorer}"
"glyceria melicaria","slender manna grass","poaceae","NULL","t","g5","s1","{explorer}"
"gnaphalium sylvaticum(omalotheca sylvatica)","woodland everlasting","asteraceae","NULL","t","g4","s1","{explorer}"
"gratiola aurea(gratiola lutea)","hedge-hyssop","scrophulariaceae","NULL","t","g5","s1s2","{explorer}"
"gratiola virginiana","annual hedge hyssop","scrophulariaceae","NULL","t","g5","s1","{explorer|abstract}"
"gymnocarpium jessoense","northern oak fern","dryopteridaceae","NULL","e","g5","s1","{explorer}"
"gymnocarpium robertianum","limestone oak fern","dryopteridaceae","NULL","t","g5","s2","{explorer|abstract}"
"hedyotis nigricans(stenaria nigricans)","hedyotis","rubiaceae","NULL","x","g5","sx","{explorer}"
"hedysarum alpinum","alpine sainfoin","fabaceae","NULL","e","g5","s1","{explorer}"
"helianthus hirsutus","whiskered sunflower","asteraceae","NULL","sc","g5","s3","{explorer|abstract}"
"helianthus microcephalus","small wood sunflower","asteraceae","NULL","x","g5","sx","{explorer}"
"helianthus mollis","downy sunflower","asteraceae","NULL","t","g4g5","s2","{explorer}"
"hemicarpha micrantha(lipocarpha micrantha)","dwarf-bulrush","cyperaceae","NULL","sc","g5","s3","{explorer}"
"hibiscus laevis(hibiscus militaris)","smooth rose-mallow","malvaceae","NULL","x","g5","sx","{explorer}"
"hieracium paniculatum","panicled hawkweed","asteraceae","NULL","t","g5","s2","{explorer|abstract}"
"houstonia caerulea","azure bluet","rubiaceae","NULL","x","g5","sx","{explorer}"
"huperzia appalachiana","mountain fir-moss","lycopodiaceae","NULL","sc","g4g5","s2","{explorer}"
"huperzia selago(lycopodium selago)","fir clubmoss","lycopodiaceae","NULL","sc","g5","s3","{explorer}"
"hybanthus concolor","green violet","violaceae","NULL","sc","g5","s3","{explorer}"
"hydrastis canadensis","goldenseal","ranunculaceae","NULL","t","g4","s2","{explorer|abstract}"
"hymenoxys herbacea(tetraneuris herbacea)","lakeside daisy","asteraceae","lt","e","g3","s1","{explorer|abstract}"
"hypericum adpressum","creeping st. john's-wort","clusiaceae","NULL","t","g3","s1","{explorer}"
"hypericum gentianoides","gentian-leaved st. john's-wort","clusiaceae","NULL","sc","g5","s3","{explorer|abstract}"
"hypericum sphaerocarpum","round-fruited st. john's-wort","clusiaceae","NULL","e","g5","s1","{explorer}"
"ipomoea pandurata","wild potato vine or man-of-the-earth","convolvulaceae","NULL","t","g5","s2","{explorer}"
"iris lacustris","dwarf lake iris","iridaceae","lt","t","g3","s3","{explorer|abstract}"
"isoetes engelmannii","engelmann's quilwort","isoetaceae","NULL","e","g4","s1","{explorer}"
"isotria medeoloides","smaller whorled pogonia","orchidaceae","lt","x","g2","sx","{explorer}"
"isotria verticillata","whorled pogonia","orchidaceae","NULL","t","g5","s2","{explorer}"
"jeffersonia diphylla","twinleaf","berberidaceae","NULL","sc","g5","s3","{explorer}"
"juncus brachycarpus","short-fruited rush","juncaceae","NULL","t","g4g5","s1s2","{explorer|abstract}"
"juncus militaris","bayonet rush","juncaceae","NULL","t","g4","s1","{explorer}"
"juncus scirpoides","scirpus-like rush","juncaceae","NULL","t","g5","s2","{explorer|abstract}"
"juncus stygius","moor rush","juncaceae","NULL","t","g5","s1s2","{explorer}"
"juncus vaseyi","vasey's rush","juncaceae","NULL","t","g5?","s1s2","{explorer|abstract}"
"justicia americana","water willow","acanthaceae","NULL","t","g5","s2","{explorer}"
"kuhnia eupatorioides(brickellia eupatorioides)","false boneset","asteraceae","NULL","sc","g5","s2","{explorer}"
"lactuca floridana","woodland lettuce","asteraceae","NULL","t","g5","s2","{explorer}"
"lactuca pulchella(mulgedium pulchellum)","blue lettuce","asteraceae","NULL","x","g5t5","sx","{explorer}"
"lechea minor","least pinweed","cistaceae","NULL","x","g5","sx","{explorer}"
"lechea pulchella(lechea leggettii)","leggett's pinweed","cistaceae","NULL","t","g5","s1s2","{explorer}"
"lechea stricta","erect pinweed","cistaceae","NULL","sc","g4?","s1","{explorer}"
"lemna valdiviana","pale duckweed","lemnaceae","NULL","x","g5","sx","{explorer}"
"lespedeza procumbens","trailing bush clover","fabaceae","NULL","x","g5","sx","{explorer}"
"leucospora multifida(conobea multifida)","conobea","scrophulariaceae","NULL","sc","g5","snr","{explorer}"
"leymus mollis(elymus mollis)","american dune wild-rye","poaceae","NULL","sc","g5","s3","{explorer|abstract}"
"liatris punctata","dotted blazing star","asteraceae","NULL","x","g5","sx","{explorer}"
"liatris squarrosa","plains blazing star","asteraceae","NULL","x","g5","sx","{explorer}"
"linum sulcatum","furrowed flax","linaceae","NULL","sc","g5","s2s3","{explorer}"
"linum virginianum","virginia flax","linaceae","NULL","t","g4g5","s2","{explorer}"
"liparis liliifolia","purple twayblade","orchidaceae","NULL","sc","g5","s3","{explorer|abstract}"
"listera auriculata","auricled twayblade","orchidaceae","NULL","sc","g3g4","s2s3","{explorer}"
"lithospermum incisum","narrow-leaved puccoon","boraginaceae","NULL","x","g5","sx","{explorer}"
"lithospermum latifolium","broad-leaved puccoon","boraginaceae","NULL","sc","g4","s2","{explorer}"
"littorella uniflora(littorella uniflora var. americana)","american shore-grass","plantaginaceae","NULL","sc","g5","s2s3","{explorer}"
"lonicera involucrata","black twinberry","caprifoliaceae","NULL","t","g4g5t4t5","s2","{explorer}"
"ludwigia sphaerocarpa","globe-fruited seedbox","onagraceae","NULL","t","g5","s1","{explorer}"
"luzula parviflora","small-flowered wood rush","juncaceae","NULL","t","g5","s1","{explorer|abstract}"
"lycopodiella margueritae(lycopodiella appressa)","northern prostrate clubmoss","lycopodiaceae","NULL","t","g2","s2","{explorer}"
"lycopodiella subappressa(lycopodiella appressa)","northern appressed clubmoss","lycopodiaceae","NULL","sc","g2","s2","{explorer|abstract}"
"lycopus virginicus","virginia water-horehound","lamiaceae","NULL","t","g5","s2","{explorer|abstract}"
"lygodium palmatum","climbing fern","schizaeaceae","NULL","e","g4","s1","{explorer}"
"lysimachia hybrida","swamp candles","primulaceae","NULL","x","g5","sx","{explorer}"
"mertensia virginica","virginia bluebells","boraginaceae","NULL","e","g5","s1s2","{explorer|abstract}"
"mikania scandens","mikania","asteraceae","NULL","x","g5","sx","{explorer}"
"mimulus alatus","winged monkey flower","scrophulariaceae","NULL","x","g5","sx","{explorer|abstract}"
"mimulus guttatus","western monkey flower","scrophulariaceae","NULL","sc","g5","s1","{explorer}"
"mimulus michiganensis(mimulus glabratus var. michiganensis)","michigan monkey flower","scrophulariaceae","le","e","g5t1","s1","{explorer|abstract}"
"moehringia macrophylla(arenaria macrophylla)","big-leaf sandwort","caryophyllaceae","NULL","t","g4","s1","{explorer}"
"morus rubra","red mulberry","moraceae","NULL","t","g5","s2","{explorer|abstract}"
"muhlenbergia cuspidata","plains muhly","poaceae","NULL","x","g4","sx","{explorer}"
"muhlenbergia richardsonis","mat muhly","poaceae","NULL","t","g5","s2","{explorer|abstract}"
"myrica pensylvanica","northern bayberry","myricaceae","NULL","t","g5","s2","{explorer}"
"myriophyllum alterniflorum","alternate-leaved water-milfoil","haloragaceae","NULL","sc","g5","s2s3","{explorer}"
"myriophyllum farwellii","farwell's water milfoil","haloragaceae","NULL","t","g5","s2","{explorer}"
"nelumbo lutea(nelumbo pentapetala)","american lotus","nelumbonaceae","NULL","t","g4","s2","{explorer}"
"nuphar pumila(nuphar microphylla)","small yellow pond lily","nymphaeaceae","NULL","e","g5t4t5","s1s2","{explorer}"
"nymphaea leibergii(nymphaea tetragona)","pygmy water lily","nymphaeaceae","NULL","e","g5","s1","{explorer}"
"onosmodium molle","marbleweed","boraginaceae","NULL","x","g4g5","sx","{explorer}"
"ophioglossum vulgatum(ophioglossum pycnostichum)","southeastern adder's-tongue","ophioglossaceae","NULL","e","g5","s1","{explorer}"
"oplopanax horridus","devil's club","araliaceae","NULL","t","g4","s2","{explorer}"
"opuntia fragilis","fragile prickly pear","cactaceae","NULL","e","g4g5","s1","{explorer}"
"orobanche fasciculata","broomrape","orobanchaceae","NULL","t","g4","s2","{explorer|abstract}"
"oryzopsis canadensis(piptatherum canadense)","canada rice grass","poaceae","NULL","t","g5","s2","{explorer|abstract}"
"osmorhiza depauperata(osmorhiza obtusa)","sweet cicely","apiaceae","NULL","t","g5","s2","{explorer}"
"oxalis violacea","violet wood sorrel","oxalidaceae","NULL","x","g5","sx","{explorer}"
"panax quinquefolius","ginseng","araliaceae","NULL","t","g3g4","s2s3","{explorer|abstract}"
"panicum longifolium(panicum rigidulum var. pubescens)","panic grass","poaceae","NULL","t","g4","s2","{explorer}"
"panicum philadelphicum","philadelphia panic-grass","poaceae","NULL","t","gnr","s2","{explorer}"
"panicum verrucosum","warty panic grass","poaceae","NULL","t","g4","s1","{explorer}"
"parnassia palustris","marsh grass-of-parnassus","saxifragaceae","NULL","t","g5","s2","{explorer|abstract}"
"paronychia fastigiata","low-forked chickweed","caryophyllaceae","NULL","x","g5","sx","{explorer}"
"pellaea atropurpurea","purple cliff brake","pteridaceae","NULL","t","g5","s2","{explorer|abstract}"
"penstemon calycosus","beard tongue","scrophulariaceae","NULL","t","g5","s2","{explorer|abstract}"
"penstemon gracilis","slender beard tongue","scrophulariaceae","NULL","e","g5","s1","{explorer}"
"penstemon pallidus","pale beard tongue","scrophulariaceae","NULL","sc","g5","s3","{explorer}"
"petasites sagittatus(petasites frigidus var. sagittatus)","sweet coltsfoot","asteraceae","NULL","t","g5","s1s2","{explorer|abstract}"
"phacelia franklinii","franklin's phacelia","hydrophyllaceae","NULL","t","g5","s1","{explorer|abstract}"
"phaseolus polystachios","wild bean","fabaceae","NULL","x","g5","sx","{explorer}"
"phleum alpinum","mountain timothy","poaceae","NULL","x","g5","sx","{explorer}"
"phlox bifida","cleft phlox","polemoniaceae","NULL","x","g5?","sx","{explorer}"
"phlox maculata","wild sweet william","polemoniaceae","NULL","t","g5","s1","{explorer}"
