"rank","company","country","industry","sales ($bil)","profits ($bil)","assets ($bil)","market value ($bil)"
"60","rwe group","germany","utilities","66.57","4.98","130.36","47.93"
"61","novartis","switzerland","drugs & biotechnology","44.27","8.40","90.89","126.22"
"62","bhp billiton","australia/united kingdom","materials","50.21","5.88","74.86","192.45"
"63","zurich financial services","switzerland","insurance","70.27","3.22","366.66","34.71"
"64","statoil","norway","oil & gas operations","79.76","3.16","97.09","72.26"
"65","generali group","italy","insurance","123.14","1.83","607.37","35.19"
"66","roche holding","switzerland","drugs & biotechnology","47.35","7.51","69.64","146.19"
"67","westpac banking group","australia","banking","31.19","3.04","519.03","70.99"
"68","rio tinto","united kingdom/australia","materials","41.83","4.87","95.01","118.34"
"69","lukoil","russia","oil & gas operations","86.34","9.14","70.94","45.18"
"70","anheuser-busch inbev","belgium","food drink & tobacco","36.76","4.61","111.58","81.48"
"71","glaxosmithkline","united kingdom","drugs & biotechnology","45.83","8.94","65.38","95.36"
"72","merck & co","united states","drugs & biotechnology","27.43","12.90","112.09","116.11"
"73","cr&eacute;dit agricole","france","banking","91.96","1.61","2227.22","34.42"
"74","munich re","germany","insurance","59.31","3.67","284.21","30.12"
"75","apple","united states","technology hardware & equip","46.71","9.36","53.93","189.51"
"75","cisco systems","united states","technology hardware & equip","35.53","6.07","76.40","140.85"
"77","rosneft","russia","oil & gas operations","34.70","6.51","83.11","83.19"
"78","mitsubishi corp","japan","trading companies","63.12","3.80","109.74","42.64"
"79","national australia bank","australia","banking","32.50","2.29","574.41","48.80"
"80","vale","brazil","materials","27.82","5.88","100.81","145.14"
"81","cvs caremark","united states","retailing","98.73","3.70","61.64","47.85"
"82","ita&uacute;sa","brazil","conglomerates","66.36","2.25","342.63","28.74"
"83","anz banking","australia","banking","26.91","2.60","420.52","53.72"
"84","tesco","united kingdom","food markets","77.94","3.10","65.61","51.43"
"85","unilever","netherlands/united kingdom","food drink & tobacco","57.05","4.83","52.05","91.33"
"86","honda motor","japan","consumer durables","102.82","1.41","117.24","63.22"
"86","toronto-dominion bank","canada","banking","23.60","2.90","517.28","55.43"
"88","iberdrola","spain","utilities","35.15","3.94","125.21","42.16"
"89","comcast","united states","media","35.76","3.64","112.73","47.76"
"90","china life insurance","china","insurance","24.01","3.12","153.13","118.75"
"91","bank of nova scotia","canada","banking","23.27","3.29","460.93","47.26"
"92","unitedhealth group","united states","health care equipment & svcs","87.14","3.82","59.05","39.40"
"93","sberbank","russia","banking","23.27","3.20","220.62","57.70"
"94","united technologies","united states","conglomerates","52.92","3.83","55.76","65.28"
"95","nordea bank","sweden","banking","22.81","3.41","729.06","39.42"
"96","bank of communications","china","banking","19.05","4.17","392.83","57.34"
"97","basf","germany","chemicals","72.63","2.02","72.06","52.12"
"98","walt disney","united states","media","36.29","3.31","69.31","61.17"
"99","standard chartered group","united kingdom","banking","20.94","3.38","435.56","46.16"
"100","astrazeneca","united kingdom","drugs & biotechnology","32.80","7.52","53.63","63.56"
