"majorgroup","family","species","essexthreat"
"bees wasps & ants","anthophorinae","anthophora retusa","essex endangered"
"bees wasps & ants","anthophorinae","epeolus cruciger","essex threatened"
"bees wasps & ants","anthophorinae","eucera longicornis","essex endangered"
"bees wasps & ants","anthophorinae","melecta luctuosa","essex endangered"
"bees wasps & ants","anthophorinae","nomada argentata","&nbsp;"
"bees wasps & ants","anthophorinae","nomada armata","essex endangered"
"bees wasps & ants","anthophorinae","nomada baccata","&nbsp;"
"bees wasps & ants","anthophorinae","nomada ferruginata","essex endangered"
"bees wasps & ants","anthophorinae","nomada flavopicta","regionally important"
"bees wasps & ants","anthophorinae","nomada fucata","regionally important"
"bees wasps & ants","anthophorinae","nomada fulvicornis","regionally important"
"bees wasps & ants","anthophorinae","nomada guttulata","essex endangered"
"bees wasps & ants","anthophorinae","nomada integra","essex endangered"
"bees wasps & ants","anthophorinae","nomada leucophthalma","essex endangered"
"bees wasps & ants","anthophorinae","nomada obtusifrons","essex endangered"
"bees wasps & ants","anthophorinae","nomada rufipes","essex threatened"
"bees wasps & ants","anthophorinae","nomada sexfasciata","essex endangered"
"bees wasps & ants","anthophorinae","nomada sheppardana","essex threatened"
"bees wasps & ants","anthophorinae","nomada signata","essex endangered"
"bees wasps & ants","apinae","bombus humilis","essex vulnerable"
"bees wasps & ants","apinae","bombus jonellus","essex vulnerable"
"bees wasps & ants","apinae","bombus muscorum","essex vulnerable"
"bees wasps & ants","apinae","bombus ruderatus","essex endangered"
"bees wasps & ants","apinae","bombus rupestris","essex threatened"
"bees wasps & ants","apinae","bombus subterraneus","essex extinct"
"bees wasps & ants","apinae","bombus sylvarum","essex vulnerable"
"bees wasps & ants","chrysididae","chrysis gracillima","regionally important"
"bees wasps & ants","chrysididae","chrysis illigeri","essex threatened"
"bees wasps & ants","chrysididae","chrysis schencki","essex threatened"
"bees wasps & ants","chrysididae","chrysis viridula","essex vulnerable"
"bees wasps & ants","chrysididae","chrysura radians","essex endangered"
"bees wasps & ants","chrysididae","cleptes nitidulus","essex endangered*"
"bees wasps & ants","chrysididae","cleptes semiauratus","essex threatened"
"bees wasps & ants","chrysididae","elampus panzeri","essex endangered"
"bees wasps & ants","chrysididae","hedychridium coriaceum","essex threatened"
"bees wasps & ants","chrysididae","hedychridium cupreum","essex endangered"
"bees wasps & ants","chrysididae","hedychridium roseum","essex threatened"
"bees wasps & ants","chrysididae","hedychrum niemelai","essex threatened"
"bees wasps & ants","chrysididae","omalus aeneus","essex threatened"
"bees wasps & ants","chrysididae","omalus puncticollis","essex vulnerable"
"bees wasps & ants","chrysididae","philoctetes truncatus","essex endangered"
"bees wasps & ants","chrysididae","pseudomalus violaceus","essex endangered"
"bees wasps & ants","chrysididae","pseudospinolia neglecta","essex endangered"
"bees wasps & ants","colletinae","colletes halophilus","regionally important"
"bees wasps & ants","colletinae","colletes marginatus","essex threatened"
"bees wasps & ants","colletinae","colletes succinctus","essex threatened"
"bees wasps & ants","colletinae","hylaeus cornutus","regionally important"
"bees wasps & ants","colletinae","hylaeus gibbus","&nbsp;"
"bees wasps & ants","colletinae","hylaeus pectoralis","essex threatened"
"bees wasps & ants","colletinae","hylaeus pictipes","essex threatened"
"bees wasps & ants","colletinae","hylaeus signatus","regionally important"
"bees wasps & ants","eumenidae","ancistrocerus antilope","essex endangered"
"bees wasps & ants","eumenidae","ancistrocerus nigricornis","essex threatened"
"bees wasps & ants","eumenidae","ancistrocerus parietum","essex threatened"
"bees wasps & ants","eumenidae","ancistrocerus scoticus","essex threatened"
"bees wasps & ants","eumenidae","gymnomerus laevipes","essex threatened"
"bees wasps & ants","eumenidae","microdynerus exilis","regionally important"
"bees wasps & ants","eumenidae","odynerus melanocephalus","regionally important"
"bees wasps & ants","eumenidae","odynerus simillimus","essex endangered"
"bees wasps & ants","eumenidae","symmorphus connexus","essex endangered"
"bees wasps & ants","eumenidae","symmorphus crassicornis","essex endangered"
"bees wasps & ants","eumenidae","symmorphus gracilis","essex threatened"
"bees wasps & ants","formicidae","formica rufa","regionally important"
"bees wasps & ants","formicidae","formica sanguinea","essex endangered"
"bees wasps & ants","formicidae","formicoxenus nitidulus","essex vulnerable"
"bees wasps & ants","formicidae","lasius alienus sens. str.","essex vulnerable"
"bees wasps & ants","formicidae","lasius brunneus","regionally important"
"bees wasps & ants","formicidae","lasius psammophilus","essex threatened"
"bees wasps & ants","formicidae","leptothorax albipennis","essex endangered"
"bees wasps & ants","formicidae","myrmica bessarabica","regionally important"
"bees wasps & ants","formicidae","myrmica lobicornis","essex threatened"
"bees wasps & ants","formicidae","myrmica schencki","regionally important"
"bees wasps & ants","formicidae","ponera coarctata","essex threatened"
"bees wasps & ants","formicidae","solenopsis fugax","essex endangered"
"bees wasps & ants","formicidae","stenamma westwoodii sens. str.","essex threatened"
"bees wasps & ants","formicidae","tetramorium caespitum","essex endangered"
"bees wasps & ants","halictinae","halictus confusus","essex endangered"
"bees wasps & ants","halictinae","hylaeus spilotus","&nbsp;"
"bees wasps & ants","halictinae","lasioglossum brevicorne","essex endangered"
"bees wasps & ants","halictinae","lasioglossum cupromicans","essex vulnerable"
"bees wasps & ants","halictinae","lasioglossum fratellum","essex endangered"
"bees wasps & ants","halictinae","lasioglossum lativentre","essex threatened"
"bees wasps & ants","halictinae","lasioglossum nitidiusculum","essex threatened"
"bees wasps & ants","halictinae","lasioglossum pauperatum","regionally important"
"bees wasps & ants","halictinae","lasioglossum pauxillum","regionally important"
"bees wasps & ants","halictinae","lasioglossum puncticolle","regionally important"
"bees wasps & ants","halictinae","lasioglossum quadrinotatum","essex threatened"
"bees wasps & ants","halictinae","lasioglossum rufitarse","essex endangered"
"bees wasps & ants","halictinae","lasioglossum xanthopus","essex threatened"
"bees wasps & ants","halictinae","lasioglossum zonulus","essex vulnerable"
"bees wasps & ants","halictinae","sphecodes crassus","regionally important"
"bees wasps & ants","halictinae","sphecodes ferruginatus","essex threatened"
"bees wasps & ants","halictinae","sphecodes hyalinatus","essex threatened"
"bees wasps & ants","halictinae","sphecodes longulus","regionally important"
"bees wasps & ants","halictinae","sphecodes miniatus","essex threatened"
"bees wasps & ants","halictinae","sphecodes niger","regionally important"
"bees wasps & ants","halictinae","sphecodes reticulatus","regionally important"
"bees wasps & ants","halictinae","sphecodes rubicundus","regionally important"
"bees wasps & ants","halictinae","sphecodes spinulosus","essex vulnerable"
"bees wasps & ants","megachilinae","coelioxys elongata","essex vulnerable"
"bees wasps & ants","megachilinae","coelioxys inermis","essex threatened"
"bees wasps & ants","megachilinae","coelioxys quadridentata","essex endangered"
"bees wasps & ants","megachilinae","heriades truncorum","essex endangered"
"bees wasps & ants","megachilinae","hoplitis claviventris","essex vulnerable"
"bees wasps & ants","megachilinae","megachile circumcincta","essex threatened"
"bees wasps & ants","megachilinae","megachile dorsalis","regionally important"
"bees wasps & ants","megachilinae","osmia bicolor","essex endangered"
"bees wasps & ants","megachilinae","osmia pilicornis","essex endangered"
"bees wasps & ants","megachilinae","osmia xanthomelana","essex endangered"
"bees wasps & ants","megachilinae","stelis ornatula","essex endangered"
"bees wasps & ants","megachilinae","stelis phaeoptera","essex endangered"
"bees wasps & ants","megachilinae","stelis punctulatissima","essex threatened"
"bees wasps & ants","melittinae","dasypoda hirtipes","regionally important"
"bees wasps & ants","melittinae","macropis europaea","essex vulnerable"
"bees wasps & ants","melittinae","melitta haemorrhoidalis","essex endangered"
"bees wasps & ants","melittinae","melitta leporina","essex threatened"
"bees wasps & ants","melittinae","melitta tricincta","regionally important"
"bees wasps & ants","mutillidae","mutilla europaea","regionally important"
"bees wasps & ants","mutillidae","smicromyrme rufipes","regionally important"
"bees wasps & ants","pompilidae","anoplius concinnus","essex threatened"
"bees wasps & ants","pompilidae","anoplius nigerrimus","essex threatened"
"bees wasps & ants","pompilidae","anoplius viaticus","essex endangered"
"bees wasps & ants","pompilidae","aporus unicolor","essex vulnerable"
"bees wasps & ants","pompilidae","arachnospila consobrina","essex extinct"
"bees wasps & ants","pompilidae","arachnospila minutula","essex threatened"
"bees wasps & ants","pompilidae","arachnospila spissa","essex threatened"
"bees wasps & ants","pompilidae","arachnospila wesmaeli","essex vulnerable"
"bees wasps & ants","pompilidae","auplopus carbonarius","essex vulnerable"
"bees wasps & ants","pompilidae","ceropales maculata","essex endangered"
"bees wasps & ants","pompilidae","evagetes dubius","essex endangered"
"bees wasps & ants","pompilidae","evagetes pectinipes","essex endangered"
"bees wasps & ants","pompilidae","priocnemis agilis","essex threatened"
"bees wasps & ants","pompilidae","priocnemis cordivalvata","essex vulnerable"
"bees wasps & ants","pompilidae","priocnemis coriacea","essex threatened"
"bees wasps & ants","pompilidae","priocnemis gracilis","essex threatened"
"bees wasps & ants","pompilidae","priocnemis hyalinata","essex endangered"
"bees wasps & ants","pompilidae","priocnemis schioedtei","essex endangered"
"bees wasps & ants","sapygidae","monosapyga clavicornis","essex threatened"
"bees wasps & ants","sphecidae","argogorytes fargei","essex endangered"
"bees wasps & ants","sphecidae","astata boops","essex threatened"
"bees wasps & ants","sphecidae","cerceris quadricincta","essex endangered"
"bees wasps & ants","sphecidae","cerceris quinquefasciata","essex threatened"
"bees wasps & ants","sphecidae","cerceris ruficornis","essex vulnerable"
"bees wasps & ants","sphecidae","crabro peltarius","essex endangered"
"bees wasps & ants","sphecidae","crossocerus binotatus","essex endangered"
"bees wasps & ants","sphecidae","crossocerus capitosus","essex vulnerable"
"bees wasps & ants","sphecidae","crossocerus cetratus","essex threatened"
"bees wasps & ants","sphecidae","crossocerus distinguendus","regionally important"
"bees wasps & ants","sphecidae","crossocerus exiguus","essex endangered"
"bees wasps & ants","sphecidae","crossocerus palmipes","essex endangered"
"bees wasps & ants","sphecidae","crossocerus styrius","essex endangered"
"bees wasps & ants","sphecidae","crossocerus vagabundus","essex endangered"
"bees wasps & ants","sphecidae","crossocerus walkeri","essex endangered"
"bees wasps & ants","sphecidae","didineis lunicornis","regionally important"
"bees wasps & ants","sphecidae","diodontus insidiosus","essex threatened"
"bees wasps & ants","sphecidae","ectemnius dives","regionally important"
"bees wasps & ants","sphecidae","ectemnius lituratus","essex threatened"
"bees wasps & ants","sphecidae","ectemnius ruficornis","essex endangered"
"bees wasps & ants","sphecidae","ectemnius sexcinctus","essex threatened"
"bees wasps & ants","sphecidae","gorytes laticinctus","essex endangered"
"bees wasps & ants","sphecidae","gorytes quadrifasciatus","essex threatened"
"bees wasps & ants","sphecidae","lestiphorus bicinctus","regionally important"
"bees wasps & ants","sphecidae","mimesa bruxellensis","essex endangered"
"bees wasps & ants","sphecidae","mimesa equestris","essex vulnerable"
"bees wasps & ants","sphecidae","mimesa lutarius","essex vulnerable"
"bees wasps & ants","sphecidae","mimumesa unicolor","regionally important"
"bees wasps & ants","sphecidae","nitela lucens","&nbsp;"
"bees wasps & ants","sphecidae","nysson dimidiatus","essex threatened"
"bees wasps & ants","sphecidae","nysson interruptus","essex endangered"
"bees wasps & ants","sphecidae","nysson trimaculatus","regionally important"
"bees wasps & ants","sphecidae","passaloecus clypealis","regionally important"
"bees wasps & ants","sphecidae","passaloecus eremita","essex vulnerable"
"bees wasps & ants","sphecidae","passaloecus insignis","essex threatened"
"bees wasps & ants","sphecidae","pemphredon morio","essex endangered"
"bees wasps & ants","sphecidae","podalonia affinis","essex vulnerable"
"bees wasps & ants","sphecidae","psenulus schencki","essex endangered"
"bees wasps & ants","sphecidae","spilomena troglodytes","essex vulnerable"
"bees wasps & ants","sphecidae","stigmus pendulus","regionally important"
"bees wasps & ants","tiphiidae","methocha articulata","essex endangered"
"bees wasps & ants","tiphiidae","tiphia minuta","essex threatened"
"bees wasps & ants","vespidae","dolichovespula norwegica","&nbsp;"
"bees wasps & ants","vespidae","dolichovespula saxonica","&nbsp;"
"bees wasps & ants","vespidae","vespula rufa","&nbsp;"
"bees wasps & ants","xylocopinae","ceratina cyanea","essex vulnerable"
"beetles","aderidae","aderus oculatus","&nbsp;"
"beetles","aderidae","aderus populneus","&nbsp;"
"beetles","anobiidae","anitys rubens","&nbsp;"
"beetles","anobiidae","anobium inexspectatum","&nbsp;"
"beetles","anobiidae","caenocara bovistae","&nbsp;"
"beetles","anobiidae","dorcatoma ambjoerni","&nbsp;"
"beetles","anobiidae","dorcatoma flavicornis","&nbsp;"
"beetles","anobiidae","dorcatoma serra","&nbsp;"
"beetles","anobiidae","gastrallus immarginatus","&nbsp;"
"beetles","anobiidae","hadrobregmus denticollis","&nbsp;"
"beetles","anobiidae","ptinomorphus imperialis","&nbsp;"
"beetles","anthicidae","anthicus angustatus","&nbsp;"
"beetles","anthicidae","anthicus bifasciatus","&nbsp;"
"beetles","anthicidae","anthicus salinus","&nbsp;"
"beetles","anthribidae","anthribus nebulosus","&nbsp;"
"beetles","anthribidae","choragus sheppardi","&nbsp;"
"beetles","anthribidae","platyrhinus resinosus","&nbsp;"
"beetles","anthribidae","tropideres sepicola","&nbsp;"
"beetles","apionidae","apion rubiginosum","&nbsp;"
"beetles","apionidae","catapion curtisii","&nbsp;"
"beetles","apionidae","catapion pubescens","&nbsp;"
"beetles","apionidae","diplapion stolidum","&nbsp;"
"beetles","apionidae","exapion difficile","&nbsp;"
"beetles","apionidae","exapion genistae","&nbsp;"
"beetles","apionidae","kalcapion semivittatum","&nbsp;"
"beetles","apionidae","melanapion minimum","&nbsp;"
"beetles","apionidae","oxystoma cerdo","&nbsp;"
"beetles","apionidae","perapion affine","&nbsp;"
"beetles","apionidae","protapion difforme","&nbsp;"
"beetles","apionidae","protapion dissimile","&nbsp;"
"beetles","apionidae","protapion filirostre","&nbsp;"
"beetles","apionidae","protapion laevicolle","&nbsp;"
"beetles","apionidae","protapion schoenherri","&nbsp;"
"beetles","apionidae","protapion varipes","&nbsp;"
"beetles","apionidae","pseudaplemonus limonii","&nbsp;"
"beetles","apionidae","squamapion cineraceum","&nbsp;"
"beetles","apionidae","squamapion flavimanum","&nbsp;"
"beetles","apionidae","squamapion vicinum","&nbsp;"
"beetles","attelabidae","byctiscus betulae","&nbsp;"
"beetles","attelabidae","byctiscus populi","&nbsp;"
"beetles","attelabidae","rhynchites cavifrons","&nbsp;"
"beetles","attelabidae","rhynchites cupreus","&nbsp;"
"beetles","attelabidae","rhynchites interpunctatus","&nbsp;"
"beetles","attelabidae","rhynchites longiceps","&nbsp;"
"beetles","attelabidae","rhynchites olivaceus","&nbsp;"
"beetles","attelabidae","rhynchites pauxillus","&nbsp;"
"beetles","attelabidae","rhynchites tomentosus","&nbsp;"
"beetles","biphyllidae","diplocoelus fagi","&nbsp;"
"beetles","bothrideridae","anommatus duodecimstriatus","&nbsp;"
"beetles","bruchidae","bruchus atomarius","&nbsp;"
"beetles","buprestidae","agrilus angustulus","&nbsp;"
"beetles","buprestidae","agrilus laticornis","&nbsp;"
"beetles","buprestidae","agrilus pannonicus","&nbsp;"
"beetles","buprestidae","agrilus sinuatus","&nbsp;"
"beetles","buprestidae","agrilus sulcicollis","&nbsp;"
"beetles","buprestidae","aphanisticus pusillus","&nbsp;"
"beetles","buprestidae","trachys minutus","&nbsp;"
"beetles","cantharidae","cantharis fusca","&nbsp;"
"beetles","cantharidae","malthinus balteatus","&nbsp;"
"beetles","cantharidae","malthinus frontalis","&nbsp;"
"beetles","cantharidae","malthodes crassicornis","&nbsp;"
"beetles","cantharidae","rhagonycha lutea","&nbsp;"
"beetles","cantharidae","rhagonycha translucida","&nbsp;"
"beetles","cantharidae","silis ruficollis","&nbsp;"
"beetles","carabidae","acupalpus exiguus","&nbsp;"
"beetles","carabidae","acupalpus flavicollis","&nbsp;"
"beetles","carabidae","agonum nigrum","&nbsp;"
"beetles","carabidae","agonum sexpunctatum","&nbsp;"
"beetles","carabidae","agonum versutum","&nbsp;"
"beetles","carabidae","amara consularis","&nbsp;"
"beetles","carabidae","amara equestris","&nbsp;"
"beetles","carabidae","amara famelica","&nbsp;"
"beetles","carabidae","amara fulva","&nbsp;"
"beetles","carabidae","amara lucida","&nbsp;"
"beetles","carabidae","amara nitida","&nbsp;"
"beetles","carabidae","amara strenua","&nbsp;"
"beetles","carabidae","anisodactylus poeciloides","&nbsp;"
"beetles","carabidae","anthracus consputus","&nbsp;"
"beetles","carabidae","badister collaris","&nbsp;"
"beetles","carabidae","badister dilatatus","&nbsp;"
"beetles","carabidae","badister peltatus","&nbsp;"
"beetles","carabidae","badister unipustulatus","&nbsp;"
"beetles","carabidae","bembidion callosum","&nbsp;"
"beetles","carabidae","bembidion clarkii","&nbsp;"
"beetles","carabidae","bembidion ephippium","&nbsp;"
"beetles","carabidae","bembidion fumigatum","&nbsp;"
"beetles","carabidae","bembidion gilvipes","&nbsp;"
"beetles","carabidae","bembidion lunatum","&nbsp;"
"beetles","carabidae","bembidion nigropiceum","&nbsp;"
"beetles","carabidae","bembidion pallidipenne","&nbsp;"
"beetles","carabidae","bembidion quadripustulatum","&nbsp;"
"beetles","carabidae","bembidion saxatile","&nbsp;"
"beetles","carabidae","blethisa multipunctata","&nbsp;"
"beetles","carabidae","brachinus crepitans","&nbsp;"
"beetles","carabidae","brachinus sclopeta","&nbsp;"
"beetles","carabidae","bracteon litorale","&nbsp;"
"beetles","carabidae","calathus ambiguus","&nbsp;"
"beetles","carabidae","calosoma inquisitor","&nbsp;"
"beetles","carabidae","carabus monilis","&nbsp;"
"beetles","carabidae","chlaenius nigricornis","&nbsp;"
"beetles","carabidae","cicindela campestris","&nbsp;"
"beetles","carabidae","cicindela maritima","&nbsp;"
"beetles","carabidae","cicindela sylvatica","&nbsp;"
"beetles","carabidae","demetrias imperialis","&nbsp;"
"beetles","carabidae","demetrias monostigma","&nbsp;"
"beetles","carabidae","dicheirotrichus obsoletus","&nbsp;"
"beetles","carabidae","dromius sigma","&nbsp;"
"beetles","carabidae","dyschirius extensus","&nbsp;"
"beetles","carabidae","dyschirius nitidus","&nbsp;"
"beetles","carabidae","elaphropus parvulus","&nbsp;"
"beetles","carabidae","harpalus dimidiatus","&nbsp;"
"beetles","carabidae","harpalus froelichii","&nbsp;"
"beetles","carabidae","harpalus melancholicus","&nbsp;"
"beetles","carabidae","harpalus pumilus","&nbsp;"
"beetles","carabidae","harpalus serripes","&nbsp;"
"beetles","carabidae","harpalus servus","&nbsp;"
"beetles","carabidae","harpalus smaragdinus","&nbsp;"
"beetles","carabidae","lasiotrechus discus","&nbsp;"
"beetles","carabidae","lebia chlorocephala","&nbsp;"
"beetles","carabidae","licinus punctatulus","&nbsp;"
"beetles","carabidae","lionychus quadrillum","&nbsp;"
"beetles","carabidae","masoreus wetterhallii","&nbsp;"
"beetles","carabidae","notiophilus quadripunctatus","&nbsp;"
"beetles","carabidae","odacantha melanura","&nbsp;"
"beetles","carabidae","oodes helopioides","&nbsp;"
"beetles","carabidae","ophonus ardosiacus","&nbsp;"
"beetles","carabidae","ophonus azureus","&nbsp;"
"beetles","carabidae","ophonus parallelus","&nbsp;"
"beetles","carabidae","ophonus punctatulus","&nbsp;"
"beetles","carabidae","ophonus puncticollis","&nbsp;"
"beetles","carabidae","ophonus rupicola","&nbsp;"
"beetles","carabidae","ophonus sabulicola","&nbsp;"
"beetles","carabidae","ophonus schaubergerianus","&nbsp;"
"beetles","carabidae","ophonus stictus","&nbsp;"
"beetles","carabidae","panagaeus bipustulatus","&nbsp;"
"beetles","carabidae","panagaeus cruxmajor","&nbsp;"
"beetles","carabidae","platyderus ruficollis","&nbsp;"
"beetles","carabidae","pogonus littoralis","&nbsp;"
"beetles","carabidae","pogonus luridipennis","&nbsp;"
"beetles","carabidae","polistichus connexus","&nbsp;"
"beetles","carabidae","pterostichus gracilis","&nbsp;"
"beetles","carabidae","pterostichus longicollis","&nbsp;"
"beetles","carabidae","pterostichus quadrifoveolatus","&nbsp;"
"beetles","carabidae","scybalicus oblongiusculus","&nbsp;"
"beetles","carabidae","stenolophus skrimshiranus","&nbsp;"
"beetles","carabidae","stenolophus teutonus","&nbsp;"
"beetles","carabidae","tachys scutellaris","&nbsp;"
"beetles","carabidae","trechus fulvus","&nbsp;"
"beetles","carabidae","zabrus tenebrioides","&nbsp;"
"beetles","cerambycidae","acanthocinus aedilis","&nbsp;"
"beetles","cerambycidae","anaglyptus mysticus","&nbsp;"
"beetles","cerambycidae","anastrangalia sanguinolenta","&nbsp;"
"beetles","cerambycidae","aromia moschata","&nbsp;"
"beetles","cerambycidae","corymbia scutellata","&nbsp;"
"beetles","cerambycidae","gracilia minuta","&nbsp;"
"beetles","cerambycidae","grammoptera abdominalis","&nbsp;"
"beetles","cerambycidae","mesosa nebulosa","&nbsp;"
"beetles","cerambycidae","molorchus umbellatarum","&nbsp;"
"beetles","cerambycidae","obrium cantharinum","&nbsp;"
"beetles","cerambycidae","pedostrangalia revestita","&nbsp;"
"beetles","cerambycidae","phymatodes alni","&nbsp;"
"beetles","cerambycidae","phytoecia cylindrica","&nbsp;"
"beetles","cerambycidae","plagionotus arcuatus","&nbsp;"
"beetles","cerambycidae","prionus coriarius","&nbsp;"
"beetles","cerambycidae","rhagium inquisitor","&nbsp;"
"beetles","cerambycidae","saperda carcharias","&nbsp;"
"beetles","cerambycidae","stenurella nigra","&nbsp;"
"beetles","cerambycidae","strangalia attenuata","&nbsp;"
"beetles","cerambycidae","tetrops starkii","&nbsp;"
"beetles","cerylonidae","cerylon fagi","&nbsp;"
"beetles","chrysomelidae","agelastica alni","&nbsp;"
"beetles","chrysomelidae","altica brevicollis","&nbsp;"
"beetles","chrysomelidae","batophila aerata","&nbsp;"
"beetles","chrysomelidae","calomicrus circumfusus","&nbsp;"
"beetles","chrysomelidae","cassida hemisphaerica","&nbsp;"
"beetles","chrysomelidae","cassida nebulosa","&nbsp;"
"beetles","chrysomelidae","cassida nobilis","&nbsp;"
"beetles","chrysomelidae","cassida prasina","&nbsp;"
"beetles","chrysomelidae","cassida vittata","&nbsp;"
"beetles","chrysomelidae","chaetocnema sahlbergii","&nbsp;"
"beetles","chrysomelidae","chrysolina haemoptera","&nbsp;"
"beetles","chrysomelidae","chrysolina marginata","&nbsp;"
"beetles","chrysomelidae","chrysolina oricalcia","&nbsp;"
"beetles","chrysomelidae","chrysolina sanguinolenta","&nbsp;"
"beetles","chrysomelidae","chrysomela tremula","&nbsp;"
"beetles","chrysomelidae","crepidodera nitidula","&nbsp;"
"beetles","chrysomelidae","cryptocephalus aureolus","&nbsp;"
"beetles","chrysomelidae","cryptocephalus bilineatus","&nbsp;"
"beetles","chrysomelidae","cryptocephalus bipunctatus","&nbsp;"
"beetles","chrysomelidae","cryptocephalus frontalis","&nbsp;"
"beetles","chrysomelidae","cryptocephalus parvulus","&nbsp;"
"beetles","chrysomelidae","cryptocephalus querceti","&nbsp;"
"beetles","chrysomelidae","cryptocephalus sexpunctatus","&nbsp;"
"beetles","chrysomelidae","donacia aquatica","&nbsp;"
"beetles","chrysomelidae","donacia bicolora","&nbsp;"
"beetles","chrysomelidae","donacia clavipes","&nbsp;"
"beetles","chrysomelidae","donacia crassipes","&nbsp;"
"beetles","chrysomelidae","donacia dentata","&nbsp;"
"beetles","chrysomelidae","donacia impressa","&nbsp;"
"beetles","chrysomelidae","donacia sparganii","&nbsp;"
"beetles","chrysomelidae","donacia thalassina","&nbsp;"
"beetles","chrysomelidae","donaciella cinerea","&nbsp;"
"beetles","chrysomelidae","epitrix atropae","&nbsp;"
"beetles","chrysomelidae","gonioctena decemnotata","&nbsp;"
"beetles","chrysomelidae","longitarsus absynthii","&nbsp;"
"beetles","chrysomelidae","longitarsus aeneicollis","&nbsp;"
"beetles","chrysomelidae","longitarsus anchusae","&nbsp;"
"beetles","chrysomelidae","longitarsus ballotae","&nbsp;"
"beetles","chrysomelidae","longitarsus brunneus","&nbsp;"
"beetles","chrysomelidae","longitarsus dorsalis","&nbsp;"
"beetles","chrysomelidae","longitarsus ferrugineus","&nbsp;"
"beetles","chrysomelidae","longitarsus ganglbaueri","&nbsp;"
"beetles","chrysomelidae","longitarsus nasturtii","&nbsp;"
"beetles","chrysomelidae","longitarsus ochroleucus","&nbsp;"
"beetles","chrysomelidae","longitarsus parvulus","&nbsp;"
"beetles","chrysomelidae","longitarsus quadriguttatus","&nbsp;"
"beetles","chrysomelidae","macroplea mutica","&nbsp;"
"beetles","chrysomelidae","mantura obtusata","&nbsp;"
"beetles","chrysomelidae","mantura rustica","&nbsp;"
"beetles","chrysomelidae","neocrepidodera impressa","&nbsp;"
"beetles","chrysomelidae","ochrosis ventralis","&nbsp;"
"beetles","chrysomelidae","orsodacne lineola","&nbsp;"
"beetles","chrysomelidae","phaedon concinnus","&nbsp;"
"beetles","chrysomelidae","phyllotreta cruciferae","&nbsp;"
"beetles","chrysomelidae","phyllotreta punctulata","&nbsp;"
"beetles","chrysomelidae","plateumaris braccata","&nbsp;"
"beetles","chrysomelidae","podagrica fuscicornis","&nbsp;"
"beetles","chrysomelidae","podagrica fuscipes","&nbsp;"
"beetles","chrysomelidae","psylliodes chalcomera","&nbsp;"
"beetles","chrysomelidae","psylliodes luteola","&nbsp;"
"beetles","chrysomelidae","zeugophora flavicollis","&nbsp;"
"beetles","ciidae","orthocis festivus","&nbsp;"
"beetles","ciidae","sulcacis bicornis","&nbsp;"
"beetles","cleridae","korynetes caeruleus","&nbsp;"
"beetles","cleridae","opilo mollis","&nbsp;"
"beetles","cleridae","tarsostenus univittatus","&nbsp;"
"beetles","cleridae","tillus elongatus","&nbsp;"
"beetles","coccinellidae","adonia variegata","&nbsp;"
"beetles","coccinellidae","clitostethus arcuatus","&nbsp;"
"beetles","coccinellidae","coccinella magnifica","&nbsp;"
