"{|1}","ist autor von","wird erw�hnt in"
"camilla abnett","the effect of multiple input devices on collaboration and gender issues(2001) &nbsp;&nbsp;",""
"roland abold","weblogs in political campaigns(2007) (erschienen in blogtalks reloaded)",""
"gregory abowd","mensch maschine methodik(1993) &nbsp;anchoring discussions in lecture(1999) &nbsp;&nbsp;&nbsp;","{recognizing and supporting roles in cscw|beyond adoption to invention|text entry for mobile computing|from usenet to cowebs|bringing design to software|squeak|sociable cscl environments|what we know about cscl and implementing it in higher education|emerging technologies for learning}"
"christoph s. abplanalp","m�glichkeiten chancen und grenzen des lernens mit dem internet(1997) &nbsp;","{weblog publishing as support for exploratory learning on the world wide web|learning via internet|lehren und lernen mit informationstechnologien|schulen auf dem weg in die informationsgesellschaft|internet @ schule|monitoring internationaler trends des schulisches einsatzes neuer medien|das internet und die schule|computereinsatz an �sterreichischen grundschulen|lehren und lernen mit ikt i|ein p�dagogischer leitfaden f�r die gestaltung von internet-lernumgebungen}"
"abraham","","{die kunst des liebens}"
"ajith abraham","computational social network analysis(2009) &nbsp;&nbsp;",""
"ulf abraham","harry potter und die medien der muggel(2001)","{technologie imagination und lernen|konstruktionst�tigkeit mit digitalen medien}"
"louis abrahamson","a brief history of networked classrooms(2006) (erschienen in audience response systems in higher education)theorizing the transformed classroom(2006) (erschienen in audience response systems in higher education)","{reflections at hand}"
"philip c. abrami","ubiquitous computing in k-12 classrooms(2008) &nbsp;&nbsp;",""
"douglas abrams","baby signs &nbsp;&nbsp;&nbsp;",""
"annemarie abshoff","zur problematik von softwareentwicklung f�r den unterricht(1986) (erschienen in informatik-grundbildung in schule und beruf)",""
"ashraf abu baker","xml-basierte dreidimensionale animation von algorithmen und datenstrukturen(2008) (erschienen in delfi 2008)ein generisches konzept zur realisierung von self-assessments zur studienwahl und selbsteinsch�tzung der studierf�higkeit(2007) (erschienen in delfi 2007)",""
"nael b. abu-ghazaleh","getting cs undergraduates to communicate effectively(2011) (erschienen in iticse 2011)",""
"bruno achermann","fragebogenerhebung zur langzeitfortbildung f�r lehrpersonen der deutschsprachigen schweiz(1993) (erschienen in formen und themen der fort- und weiterbildung)",""
"viktor achter","sugi(2010) &nbsp;&nbsp;",""
"an ackaert","e-learning am ausbildungzentrum insel(2004) &nbsp;&nbsp;",""
"mark s. ackerman","the intellectual challenge of cscw(2000) &nbsp;&nbsp;&nbsp;virtual community maintenance with a repository(2007) &nbsp;&nbsp;&nbsp;","{virtual community maintenance with a repository}"
"edith ackermann","dialoge - heinz von foerster zum 85. geburtstag(1997) (erschienen in konstruktivismus und kognitionswissenschaft)piaget�s constructivism papert�s constructionism(2009) &nbsp;&nbsp;&nbsp;perspective-taking and object construction(1996)","{das digitale medium die macht der konkreten bilder und der zugang zu den abstrakten modellen als bildungsaufgabe|konstruktionst�tigkeit mit digitalen medien}"
"silvia ackermann","verteilung von unterrichtsmaterialien �ber world wide web (www)(1996) &nbsp;&nbsp;",""
"linda acredolo","baby signs &nbsp;&nbsp;&nbsp;",""
"f. adam","source software solutions to problems related to perfecting and implementing dialogs on a computer(1974) (erschienen in rechner-gest�tzter unterricht)",""
"michal adamaszek","viper a student-friendly visual interpreter of pascal(2008) (erschienen in informatics education - supporting computational thinking)",""
"sascha adamek","die facebook-falle(2011) &nbsp;&nbsp;","{kinder und jugendliche im internet}"
"marco adamina","lehrpl�ne und lehrmittelentwicklung zum integrativen sach- und sozialkundlichen unterricht im lernbereich natur - mensch - mitwelt (nmm)(2004) (erschienen in naturwissenschaftsdidaktik und lehrerinnen- und lehrerbildung)die modularisierung der fachlich-fachdidaktischen ausbildung am institut vorschulstufe und primarstufe der p�dagogischen hochschule bern(2006) (erschienen in modularisierung an p�dagogischen hochschulen und die folgen - eine zwischenbilanz)",""
"catherine adams","icyborg(2009) (erschienen in looking toward the future of technology-enhanced education)",""
"douglas adams","siehe douglas adams","siehe douglas adams"
"joel c. adams","building an economical vr system for cs education(2008) (erschienen in iticse 2008)",""
"paul adams","demystifying constructivism(2006) (erschienen in handbook of research on literacy in technology at the k-12 level)",""
"s. adams","the horizon report 2012(2012) &nbsp;&nbsp;&nbsp;the horizon report 2011 k-12 edition(2011) &nbsp;&nbsp;&nbsp;",""
"scott adams","das dilbert-prinzip(1996) &nbsp;&nbsp;&nbsp;","{campus management}"
"chris adamson","entwickeln mit dem iphone sdk(2010) &nbsp;&nbsp;",""
"frank adamson","singapore tablet pc program study(2005) &nbsp;&nbsp;&nbsp;","{integration von tablet pcs im rahmen des medieneinsatzes einer gymnasialen oberstufe}"
"robert adelmann","idea(2007) (erschienen in iticse 2007)",""
"heimo h. adelsberger","handbook on information technologies for education and trainingreflexion im netz(2009) &nbsp;&nbsp;","{freie elektronische bildungsressourcen}"
"bijan adl-amini","schultheorie(1967)didaktik und methodik(1981)ebenen didaktischer theoriebildung(1985)","{didaktisches interaktions- und informationsdesign|unterrichtsmethoden i}"
"alfred adler","siehe alfred adler","siehe alfred adler"
"b. thomas adler","measuring author contributions to the wikipedia(2008) &nbsp;&nbsp;assigning trust to wikipedia content(2008) (erschienen in wikisym 2008)","{wikisym 2008}"
"frederic adler","didaktische innovation durch blended learning(2003)","{blended learning: forschungsfragen und perspektiven|design virtueller lernumgebungen f�r die universit�re lehre|e-didakt - ein mediendidaktisches support-projekt|nachhaltigkeit von medienprojekten in der lehrerfortbildung|lernort universit�t?|innovation ohne forschung?|handbuch e-learning|e-learning: das w�rterbuch|e-learning in hochschulen und bildungszentren|wissensprojekte|scripts for computer-supported collaborative learning|blended learning in der lehrerbildung|learning design|vom e-learning zum blended-learning|zeitschrift f�r heilp�dagogik 4/06|e-learning - alltagstaugliche innovation?|handbuch der kompetenzentwicklung f�r e-learning innovationen|roadmap to e-learning @eth zurich|begleitetes selbststudium|fernausbildung geht weiter...|online-communities als soziale systeme|studieren neu erfinden - hochschule neu denken|e-competence f�r lehrende|ver�nderungen wissenschaftlicher literalit�t durch digitale medien|bildung und schule auf dem weg in die wissensgesellschaft|digitale medien f�r lehre und forschung|medienp�dagogik|wissensmanagement}"
"richard p. adler","minds on fire(2008)","{cscl 2009|web 2.0-based e-learning|mobile learning in widening contexts|the digital scholar}"
"wilfried admiraal","the affordance of anchored discussion for the collaborative processing of academic texts(2006) (erschienen in international journal of computer-supported collaborative learning volume 1)",""
"heike adolphs","computer und schriftspracherwerb(1993) &nbsp;",""
"johanna adorj�n","harry potter als h�rhorror(2006)",""
"theodor w. adorno","negative dialektik(1984)erziehung zur m�ndigkeit(1971)theorie der halbbildungr�sume �ber kulturindustrie(1999) (erschienen in kursbuch medienkultur)","{didaktische kompetenz|e-man|aktuelle str�mungen in der p�dagogik|�berfachliche kompetenzen junger erwachsener am �bergang zwischen schule und beruf|wissen schaffendes schreiben|theorie der unbildung|der computer als didaktisches medium|kritische informations- und medienkompetenz}"
"w. richards adrion","automatic creation of indexed presentations from classroom lectures(2008) (erschienen in iticse 2008)evaluation of automatic classroom capture for computer science education(2010) (erschienen in iticse 2010)first experiences with a classroom recording system(2009) (erschienen in iticse 2009)",""
"christian aeberli","das einmaleins der tagesschule(2005) &nbsp;&nbsp;",""
"daniel aebi","zeitsprung 2000(1998) &nbsp;re-engineering und migration betrieblicher nutzdaten(1996) &nbsp;praxishandbuch sicherer it-betrieb(2004) &nbsp;","{effektivit�tssteigerung mittels konzeptionellem informationsmanagement|datenqualit�tsmetrik f�r informationsprozesse|praxishandbuch sicherer it-betrieb}"
"j�rg aebischer","","{quereinsteiger dominieren noch immer}"
"hans aebli","siehe hans aebli","siehe hans aebli"
"ignacio aedo","md2 method(2006) (erschienen in innovative approaches for learning and knowledge sharing)",""
"veronika aegerter","informations- und kommunikationstechnologien an den volksschulen in der schweiz(2003) &nbsp;&nbsp;&nbsp;informations- und kommunikationstechnologien an den volksschulen in der schweiz(2002) &nbsp;&nbsp;&nbsp;","{ict-kompass|ict in primarschulen|erhebung zum support der computer in der volksschule des kantons schwyz|schule im netz|ict und bildung in der schweiz|erfahrungen mit e-learning in der berufsbildung|schulen und bildungswege der sekundarstufe ii in der schweiz|lehren und lernen mit neuen informations- und kommunikationstechnologien i|konzepte und wirkungszusammenh�nge bei beschaffung und betrieb von informatikmitteln an schulen|das notebookprojekt use-it an den oberstufenschulen der stadt solothurn|digitale spaltung in der schweiz|content management systeme als infrastruktur des schulischen lernens|e-quality learning|bits und bytes im portfolio|pisa 2003: kompetenzen f�r die zukunft ii|wege aus der technikfalle ii|schlussbericht test your ict-knowledge|pers�nliche handhelds in der primarschule|computer (ict) grundschule kindergarten und neue lernkultur|digital natives vs. digital immigrants|ict und bildung: hype oder umbruch?|ict-chancengerechtigkeit durch einsatz pers�nlicher smartphones|digitale medien in der lehrerinnen- und lehrerbildung|jahrbuch medienp�dagogik 9}"
"j�rg aeppli","lehren aus einem fallbeispiel(2006)",""
"regine aeppli","","{hat sich die bildungsdirektorin auch weitergebildet?}"
"uwe afemann","e-velopment!(2003) (erschienen in missing link)",""
"beat affolter","video-streaming und podcasting(2006) &nbsp;&nbsp;","{lifetime podcasting|offener bildungsraum hochschule}"
"christine affolter","innovation durch umweltbildung(2000)umweltbildung und bildung f�r eine nachhaltige entwicklung(2004) &nbsp;&nbsp;&nbsp;","{naturwissenschaftsdidaktik und lehrerinnen- und lehrerbildung}"
"nitin agarwal","clustering of blog sites using collective wisdom(2009)",""
"muna agha","e-learning: hexenkessel oder zauberstube?(2010) &nbsp;&nbsp;&nbsp;",""
"shirley agostinho","a visual learning design representation to facilitate dissemination and reuse of innovative pedagogical strategies in university teaching(2007) (erschienen in handbook of visual languages for instructional design)",""
"ademar aguiar","incremental knowledge acquisition in software development using a weakly-typed wiki(2009) (erschienen in wikisym 2009)wikis4se'2008(2008) (erschienen in wikisym 2008)wikis4se 2009(2009) (erschienen in wikisym 2009)tutorial on agile documentation with wikis(2009) (erschienen in wikisym 2009)",""
"gibert ahamer","rules of the new web-supported negotiation game 'surfingglobalchange'(2004) &nbsp;&nbsp;",""
"dan aharoni","the israeli summer seminars for cs leading teachers(2007) (erschienen in iticse 2007)",""
"terence c. ahern","cmc for language acquisition(2008) (erschienen in handbook of research on computer-enhanced language acquisition and learning)",""
"{|�}","ist autor von","wird erw�hnt in"
"mauri �hlberg","third international conference on concept mapping(2008) &nbsp;&nbsp;&nbsp;varieties of concept mapping(2005) &nbsp;&nbsp;&nbsp;","{knowledge and information visualization|interaktive maps|handbook of research on new media literacy at the k-12 level}"
"{|a}","ist autor von","wird erw�hnt in"
"michael ahlers","neue medien im interdisziplin�ren musikunterricht(2011) &nbsp;&nbsp;&nbsp;",""
"marzieh ahmadzadeh","javamarker(2010) (erschienen in iticse 2010)",""
"luis von ahn","telling humans and computers apart (automatically)(2004) &nbsp;&nbsp;&nbsp;",""
"alfred v. aho","compilerbau &nbsp;the theory of parsing translation and compiling(1972) &nbsp;&nbsp;&nbsp;",""
"tuukka ahoniemi","analyzing the use of a rubric-based grading tool(2009) (erschienen in iticse 2009)rubyric(2009) (erschienen in iticse 2009)",""
"v. ahrens","panorama: itg in bremen(1996) (erschienen in log in 4/1996)",""
"gerd aiglstorfer","fundamente der informatik(2004)","{unterrichtskonzepte f�r informatische bildung|technologie imagination und lernen|medienbildung und medienkompetenz|konstruktionst�tigkeit mit digitalen medien}"
"robert m. aiken","the information resource model(1989) (erschienen in iccal '89)",""
"john ainley","technological issues for computer-based assessment(2011) (erschienen in assessment and teaching of 21st century skills)",""
"larry ainsworth","common formative assessments(2006)","{leistungsnachweise in der lehrerbildung|leistungsnachweise in modularisierten studieng�ngen}"
"erwin aitenbichler","webreg(2008) (erschienen in iticse 2008)",""
"stuart aitken","wikisim(2008) (erschienen in wikisym 2008)",""
"akademien der wissenschaften schweiz","siehe akademien der wissenschaften schweiz","siehe akademien der wissenschaften schweiz"
"sedat akayoglu","the functions of negotiation of meaning in text-based cmc(2009) (erschienen in handbook of research on e-learning methodologies for language acquisition)",""
"monika akbar","how educators find educational resources online(2011) (erschienen in iticse 2011)",""
"mostafa akbari","programmierungslehrveranstaltung unter der lupe(2009)",""
"reza akbarinia","xwiki concerto(2008) (erschienen in wikisym 2008)",""
"abdeljalil akkari","l'int�gration des tic dans l'enseignement secondaire(2007) (erschienen in formation des enseignants et int�gration des tic)",""
"jan van den akker","educational design research(2006)","{publishing and perishing|can educational research be both rigorous and relevant?}"
"leila akremi","datenanalyse mit spss f�r fortgeschrittene 1(2011) &nbsp;&nbsp;",""
"arwa y. al-aama","the effect of visualizing roles of variables on student performance in an introductory programming course(2009) (erschienen in iticse 2009)",""
"ilgim veryeri alaca","fine arts perspective in user interface design(2009) (erschienen in iticse 2009)",""
"h. alam�ki","mobile learning in teacher training(2003) &nbsp;&nbsp;",""
"solomon alao","integrating tablet pc technology into the dimensions of learning pedagogical framework(2006)",""
"satu alaoutinen","student self-assessment in a programming course using bloom's revised taxonomy(2010) (erschienen in iticse 2010)",""
"nouf m. al-barakati","the effect of visualizing roles of variables on student performance in an introductory programming course(2009) (erschienen in iticse 2009)",""
"carsten albers","schule in der digitalen welt(2011)",""
"dietrich albert","digital game-based learning(2009) (erschienen in looking toward the future of technology-enhanced education)",""
"adrian albin-clark","the use of role play to simulate a tethered swarm of robots for urban search and rescue (usar)(2008) (erschienen in iticse 2008)virtual chat in an enquiry-based team project(2008) (erschienen in iticse 2008)mabl(2007) (erschienen in iticse 2007)",""
"adrian albisser","schulwebsites: der preis der offenheit(2009) &nbsp;&nbsp;&nbsp;auf dem weg zur ischule?(2012) &nbsp;&nbsp;&nbsp;der usb-stick als allesk�nner(2011) &nbsp;&nbsp;&nbsp;wiki macht auch ohne pedia schule(2006) &nbsp;&nbsp;scratchen mit bits und bytes(2008) &nbsp;&nbsp;wir brauchen keine neuen ressourcen sondern gute filter(2007) &nbsp;&nbsp;mit mymoment gehen spannende kindergeschichten ins netz(2006) &nbsp;&nbsp;","{p�dagogischer mehrwert und implementierung von notebooks an der hochschule}"
"enrico albonico","course management with trucstudio(2008) (erschienen in iticse 2008)",""
"mohammed al-bow","using game creation for teaching computer programming to high school students and teachers(2009) (erschienen in iticse 2009)",""
"dietmar albrecht","web 2.0: strategievorschl�ge zur st�rkung von bildung und innovation in deutschland(2007) &nbsp;&nbsp;","{kooperative technologien in arbeit ausbildung und zivilgesellschaft}"
"rainer albrecht","e-learning in hochschulen(2003) &nbsp;&nbsp;&nbsp;","{blended learning an p�dagogischen hochschulen}"
"steffen albrecht","netzwerke und kommunikation(2008)",""
"turadg aleahmad","integrating handheld technology and web-based science activities(2002) &nbsp;&nbsp;",""
"igor aleksander","how to build a mind(2003) &nbsp;&nbsp;",""
"jos� luis fern�ndez alem�n","a course on algorithms and data structures using on-line judging(2009) (erschienen in iticse 2009)samtool a tool for deducing and implementing loop patterns(2010) (erschienen in iticse 2010)",""
"vincent aleven","schwachstellenermittlung und r�ckmeldungsprinzipen in einem intelligenten tutorensystem f�r juristische argumentation(2006) (erschienen in delfi 2006)",""
"panagiota alevizou","engaging with open education(2010) (erschienen in wikisym 2010)",""
"bryan alexander","the new digital storytelling(2011) &nbsp;&nbsp;social software and the future of conferences - right now(2005) &nbsp;&nbsp;&nbsp;web 2.0: a new wave of innovation for teaching and learning?(2006) &nbsp;&nbsp;&nbsp;going nomadic(2004) &nbsp;&nbsp;&nbsp;","{using a wiki to evaluate individual contribution to a collaborative learning project|wiki as a teaching tool|open educational practices and resources|mlearn 2005|balance fidelity mobility|ne(x)t generation learning|lernplattformen in schulen|new technologies new pedagogies}"
"christopher alexander","siehe christopher alexander","siehe christopher alexander"
"jeffrey alexander","a visual learning engine for interactive generation ofinstructional materials(2007) (erschienen in iticse 2007)",""
"luca de alfaro","measuring author contributions to the wikipedia(2008) &nbsp;&nbsp;assigning trust to wikipedia content(2008) (erschienen in wikisym 2008)measuring wikipedia(2009) (erschienen in wikisym 2009)","{wikisym 2008}"
"klaus alfert","musoft(2003) (erschienen in delfi 2003)",""
"juli� minguill�n alfonso","content management for e-learning(2010) &nbsp;&nbsp;",""
"nour ali","shywiki-a spatial hypertext wiki(2008) &nbsp;&nbsp;",""
"daniel g. aliaga","a collaborative undergraduate course for pen-based computing using tablet pcs(2006) &nbsp;&nbsp;&nbsp;",""
"marc alier","an application of social constructivism and open source software(2005) &nbsp;&nbsp;",""
"hend s. al-khalifa","fasta(2007) (erschienen in creating new learning experiences on a global scale)",""
"mario allegra","metacognition in web-based learning activities(2006) (erschienen in informatics education - the bridge between using and understanding computers)",""
"jacob e. allen","using technology to enhance connections between home and school(2002) &nbsp;&nbsp;&nbsp;","{das virtuelle klassenbuch|notebook-klassen an einer hauptschule}"
"lee allen","technology and young children(2011) &nbsp;&nbsp;",""
"michael allen","dimensions of authoring aids intelligence(1990) (erschienen in iccal '90)",""
"paul allen","","{faszination programmieren}"
"robert allen","a digital library-based recommender service for multimedia development in a learning community(2001) &nbsp;&nbsp;",""
"b.j. allen-conn","powerful ideas in the classroom(2004)","{programmieren lernen mit squeak|tracing the dynabook}"
"isabel allende","paula","{wir sind erinnerung}"
"heidrun allert","designentwicklung - anregungen aus designtheorie und designforschung(2011) &nbsp;&nbsp;&nbsp;",""
"lee r. alley","ten keys to quality assurance and assessment in online learning(2009)","{wisskom 2007}"
"paul allie","a room of your own(1998) &nbsp;&nbsp;&nbsp;",""
"lesley allinson","learning styles and computer-based learning environments(1992) (erschienen in iccal '92)",""
"colin allison","802.11 wireless experiments in a virtual world(2009) (erschienen in iticse 2009)using disruptive technology for explorative learning(2007) (erschienen in iticse 2007)a group based system for group based learning(2001) &nbsp;",""
"katrin allmendinger","bedarfsanalysen(2004) (erschienen in cscl-kompendium)synchrones online-lernen in einer kollaborativen virtuellen umgebung(2007) &nbsp;&nbsp;",""
"gordon allport","the psychology of rumor(1947)","{der tipping point}"
"gerard allwein","logical reasoning with diagrams(1996) &nbsp;&nbsp;",""
"mohamed ally","mobile learning(2009) &nbsp;&nbsp;&nbsp;","{smartphones im klassenzimmer|ed-media 2011}"
"antonie alm","blogging for self-determination with l2 learner journals(2008) (erschienen in handbook of research on web 2.0 and second language learning)",""
"francisco j. almeida-mart�nez","student-centered design of a parser visualization tool(2010) (erschienen in iticse 2010)vast(2009) (erschienen in iticse 2009)",""
"mag� almirall hill","made-to-measure learning materials(2006) (erschienen in innovative approaches for learning and knowledge sharing)",""
"vicki l. almstrum","the computing educators oral history project(2007) (erschienen in iticse 2007)teaching with ceohp(2011) (erschienen in iticse 2011)",""
"m. goretti alonso","assisting lecturers to adapt e-learning content for deaf students(2007) (erschienen in iticse 2007)",""
"sherman r. alpert","comprehensive mapping of knowledge and information resources(2005) &nbsp;&nbsp;&nbsp;","{interaktive maps}"
"laurent alquier","knowit a semantic informatics knowledge management system(2009) (erschienen in wikisym 2009)",""
"kurd alsleben","netzkunstw�rterbuch(2001) &nbsp;",""
"anton alstes","verkkoke(2007) (erschienen in iticse 2007)",""
"helmut alt","algorithms unplugged(2010) &nbsp;&nbsp;",""
"j�rgen august alt","richtig argumentieren(2000) &nbsp;",""
"eva altenbernd-giani","feedback mit einem webbasierten �bungsbetrieb(2009)programmierungslehrveranstaltung unter der lupe(2009)",""
"richard alterman","wikis to support the collaborative part of collaborative learning(2009) &nbsp;&nbsp;&nbsp;",""
"stefan altevogt","hilfreicher mehrwert oder l�stige pflicht?(2010) (erschienen in digitale medien f�r lehre und forschung)",""
"nadja althaus","mapa - a mapping architecture for people�s associations(2004) &nbsp;&nbsp;&nbsp;",""
"thomas althaus","ver�nderte bez�ge(2010)",""
"rukiye altin","working across time zones in cross-cultural student teams(2009) (erschienen in iticse 2009)use of intuitive tools to enhance student learning and user experience(2009) (erschienen in iticse 2009)",""
"douglas g. altman","the scandal of poor medical research(1994) &nbsp;&nbsp;&nbsp;statistical reviewing for medical journals(1998) &nbsp;&nbsp;&nbsp;","{statistical reviewing for medical journals|forschen f�r den papierkorb|ict-chancengerechtigkeit durch einsatz pers�nlicher smartphones|jahrbuch medienp�dagogik 9}"
"herbert altrichter","wege zur schulqualit�t(1999)handbuch neue steuerung im schulsystem(2010) &nbsp;&nbsp;lehrer erforschen ihren unterricht(1990)","{handlungsstrategien von lehrerinnen|total quality management in schulen|infos 2007 - didaktik der informatik in theorie und praxis|mathematische vorstellungen bilden|guter unterricht|universit�re lehrerbildung|e-learning 2009|wissensmanagement}"
"arif altun","the functions of negotiation of meaning in text-based cmc(2009) (erschienen in handbook of research on e-learning methodologies for language acquisition)",""
"christine alvarado","breadth-first cs 1 for scientists(2007) (erschienen in iticse 2007)",""
"maria amarlariotou","e-lectures to support blended instruction in multimedia programming course(2010) (erschienen in iticse 2010)",""
"anna christine m. amarra","affective and behavioral predictors of novice programmer achievement(2009) (erschienen in iticse 2009)",""
"amazon.com","","{e-publish or perish|everything is miscellaneous|book: a futurist's manifesto}"
"ana paula ambrosio","what matters most when teaching cs1(2011) (erschienen in iticse 2011)",""
"hans amb�hl","tertiarisierung der lehrerinnen- und lehrerbildung(2010) &nbsp;&nbsp;&nbsp;schule im netz aus bildungspolitischer sicht(2003) (erschienen in schule im netz)forum(2006) (erschienen in modularisierung an p�dagogischen hochschulen und die folgen - eine zwischenbilanz)",""
"walter ameling","genius(2 0)(1986) (erschienen in informatik-grundbildung in schule und beruf)konzepte einer adaptiven lehr-lern-oberfl�che in einer objektorientierten multi-tasking-umgebung(1991) (erschienen in informatik: wege zur vielfalt beim lehren und lernen)",""
"marije van amelsvoort","rainbow(2007) (erschienen in international journal of computer-supported collaborative learning volume 2)",""
"mario amelung","e-learning-komponenten zur intensivierung der �bungen in der informatik-lehre(2006) (erschienen in hochschuldidaktik der informatik)eine service-orientierte architektur f�r flexibles e-assessment(2009)flexibles e-assessment mit olat und ecspooler (2011) (erschienen in delfi 2011)educomponents(2007) (erschienen in iticse 2007)towards generic and flexible web services for e-assessment(2008) (erschienen in iticse 2008)llschecker ein caa-system f�r die lehre im bereich programmiersprachen(2005) (erschienen in delfi 2005)",""
"morgan ames","can one latop per child save the world's poor?(2010) &nbsp;&nbsp;&nbsp;",""
"june amillo","iticse 2008(2008)",""
"l. w. amiot","doomsday(1961)doomsday: friday november 13 ad 2026(1960)population density and growth(1961)","{teil der welt|90 jahre heinz von foerster|so l�gt man mit statistik}"
"mehdi amirijoo","what impacts course evaluation?(2007) (erschienen in iticse 2007)",""
"daniel ammann","medienkompass 1(2008) &nbsp;&nbsp;&nbsp;kommentar zum medienkompass 1(2008) &nbsp;&nbsp;&nbsp;kommentar zum medienkompass 2(2008) &nbsp;&nbsp;medienkompass 2(2008) &nbsp;&nbsp;&nbsp;kinder- und jugendliteratur als computerspiel(2004) (erschienen in klicken lesen und spielend lernen)medienkompass(2008) &nbsp;&nbsp;&nbsp;","{handy im schulfeld|medienkompass|stufen�bergreifendes ict-konzept f�r die z�rcher volksschule|ilearnit.ch|kommentar zum medienkompass 1|kommentar zum medienkompass 2|interaktive whiteboards}"
"thomas ammann","hacker f�r moskau(1989)klicken lesen und spielend lernen(2004)","{computerspiele und videogames in formellen und informellen bildungskontexten}"
"reinhard ammer","der wissenschaftliche vortrag(2005) &nbsp;&nbsp;",""
"dorothee ammermann","facetten der romantik(2002)",""
"ricardo r. amorim","the problem of ld execution and the need for an ims ld level b ontology(2006) (erschienen in innovative approaches for learning and knowledge sharing)",""
"edward amoroso","cyber attacks(2010) &nbsp;&nbsp;",""
"alice h. amsden","software entrepreneurship among the urban poor(1998) (erschienen in high technology and low-income communities)",""
"m. amsler","clab - eine web-basierte interaktive lernplattform f�r studierende der computerlinguistik(2007) (erschienen in delfi 2007)",""
"hanspeter amstutz","die mediale bild- und tonflut schadet unseren kindern(2011)","{z�rcher lehrerverb�nde greifen die p�dagogische hochschule an}"
"awa amt f�r wirtschaft und arbeit des kantons z�rich","erster z�rcher ikt-bericht(2010) &nbsp;&nbsp;",""
"ulrich amthor","evaluation als anstoss(2006) (erschienen in auf dem weg zu standards?)",""
"sai anand","sharef: xml-centric software design(2005) &nbsp;&nbsp;&nbsp;",""
"maria anastasiadis","letzte hoffnung n�chstenliebe(2006) (erschienen in arbeit)",""
"michael anderes","informatik(1997) &nbsp;die initiative ppp-sin aus sicht der edk und am beispiel zweier kantone(2007)","{didaktik der informatik}"
"g�nther anders","die welt als phantom und matrize(1999) (erschienen in kursbuch medienkultur)",""
"bj�rn andersen","methodological errors in medical research(1990)","{statistical reviewing for medical journals|the scandal of poor medical research}"
"d. k. andersen","cognitive flexibility theory(1988)","{technological pedagogical content knowledge|grundlagen hypermedialer lernsysteme|three worlds of cscl|information und lernen mit multimedia|constructivism and the technology of instruction|learning to solve problems|learning to solve problems with technology (2nd ed.)|sociable cscl environments|mediendidaktik|aktuelle theoretische ans�tze und empirische befunde im bereich der lehr-lern-forschung|handbook of technological pedagogical content knowledge (tpck) for educators}"
