"country","capital","area sq.km.","population 2008 est."
"czech          republic","prague","78866","10220911"
"denmark","copenhagen","43094","5484723"
"djibouti","djibouti","23000","506221"
"dominica","roseau","754","72514"
"dominican          republic","santo          domingo","48730","9507133"
"ecuador","quito","283560","13927650"
"egypt","cairo","1001450","81713520"
"el          salvador","san          salvador","21040","7066403"
"equatorial guinea","malabo","28051","616459"
"eritrea","asmara","121320","5502026"
"estonia","tallinn","45226","1307605"
"ethiopia","addis          ababa","1127127","82544840"
"falkland          islands (islas malvinas)","stanley","12173","3140"
"faroe          islands","torshavn","1399","48668"
"fiji","suva","18270","931741"
"finland","helsinki","338145","5244749"
"france","paris","643427","64057792"
"french          polynesia","papeete","4167","283019"
"gabon","libreville","267667","1485832"
"gambia          the","banjul","11300","1735464"
"georgia","t'bilisi","69700","4630841"
"germany","berlin","357021","82369552"
"ghana","accra","239460","23382848"
"gibraltar","gibraltar","7","28002"
"greece","athens","131940","10722816"
"greenland","nuuk","2166086","57564"
"grenada","saint          george's","344","90343"
"guam","hagatna","541","175877"
"guatemala","guatemala","108890","13002206"
"guernsey","saint          peter port","78","65726"
"guinea","conakry","245857","9806509"
"guinea-bissau","bissau","36120","1503182"
"guyana","georgetown","214970","770794"
"haiti","port-au-prince","27750","8924553"
"holy see          (vatican city)","vatican          city","0","824"
"honduras","tegucigalpa","112090","7639327"
"hungary","budapest","93030","9930915"
"iceland","reykjavik","103000","304367"
"india","new delhi","3287590","1147995904"
"indonesia","jakarta","1919440","237512352"
"iran","tehran","1648000","65875224"
"iraq","baghdad","437072","28221180"
"ireland","dublin","70280","4156119"
"israel","jerusalem","20770","7112359"
"italy","rome","301230","58145320"
"jamaica","kingston","10991","2804332"
"japan","tokyo","377835","127288416"
"jersey","saint          helier","116","91533"
"jordan","amman","92300","6198677"
"kazakhstan","astana","2717300","15340533"
"kenya","nairobi","582650","37953840"
"kiribati","tarawa","811","110356"
"korea          north","p'yongyang","120540","23479088"
"korea          south","seoul","98480","48379392"
"kosovo","pristina","10887","2126708"
"kuwait","kuwait","17820","2596799"
"kyrgyzstan","bishkek","198500","5356869"
"laos","vientiane","236800","6677534"
"latvia","riga","64589","2245423"
"lebanon","beirut","10400","3971941"
"lesotho","maseru","30355","2128180"
"liberia","monrovia","111370","3334587"
"libya","tripoli","1759540","6173579"
"liechtenstein","vaduz","160","34498"
"lithuania","vilnius","65200","3565205"
"luxembourg","luxembourg","2586","486006"
"macedonia","skopje","25333","2061315"
"madagascar","antananarivo","587040","20042552"
"malawi","lilongwe","118480","13931831"
"malaysia","kuala          lumpur","329750","25274132"
"maldives","male","300","385925"
"mali","bamako","1240000","12324029"
"malta","valletta","316","403532"
"man isle          of","douglas","572","76220"
"marshall          islands","majuro","181","63174"
"mauritania","nouakchott","1030700","3364940"
"mauritius","port          louis","2040","1274189"
"mayotte","mamoutzou","374","216306"
"mexico","mexico","1972550","109955400"
"micronesia federated states of","palikir","702","107665"
"moldova","chisinau","33843","4324450"
"monaco","monaco","2","32796"
"mongolia","ulaanbaatar","1564116","2996081"
"montenegro","podgorica","14026","678177"
"montserrat","plymouth          �","102","5079"
"morocco","rabat","446550","34343220"
"mozambique","maputo","801590","21284700"
"namibia","windhoek","825418","2088669"
"nauru","no          official capital","21","13770"
"nepal","kathmandu","147181","29519114"
"netherlands","amsterdam","41526","16645313"
"netherlands antilles","willemstad","960","225369"
"new          caledonia","noumea","19060","224824"
"new          zealand","wellington","268680","4173460"
"nicaragua","managua","129494","5785846"
"niger","niamey","1267000","13272679"
"nigeria","abuja","923768","146255312"
"niue","alofi","260","1444"
"norfolk          island","kingston","35","2128"
"northern          mariana islands","saipan","477","86616"
"norway","oslo","323802","4644457"
"oman","muscat","212460","3311640"
"pakistan","islamabad","803940","172800048"
"palau","melekeok","458","21093"
"palestinian territory occupied","ramallah","6220","3907883"
"panama","panama","78200","3309679"
"papua new          guinea","port          moresby","462840","5931769"
"paraguay","asuncion","406750","6831306"
"peru","lima","1285220","29180900"
"philippines","manila","300000","96061680"
"pitcairn          islands","adamstown","47","48"
"poland","warsaw","312685","38500696"
"portugal","lisbon","92391","10676910"
"puerto          rico","san juan","13790","3958128"
"qatar","doha","11437","824789"
"romania","bucharest","237500","22246862"
"russia","moscow","17075200","140702096"
"rwanda","kigali","26338","10186063"
"saint          barthelemy","gustavia","21","7492"
"saint          helena","jamestown","413","7601"
"saint          kitts and nevis","basseterre","261","39817"
"saint          lucia","castries","616","159585"
"saint          martin","marigot","54","29376"
"saint          pierre and miquelon","saint-pierre","242","7044"
"saint          vincent and the grenadines","kingstown","389","118432"
"samoa","apia","2944","217083"
"san          marino","san          marino","61","29973"
"sao tome          and principe","sao tome","1001","206178"
"saudi          arabia","riyadh","2149690","28146656"
"senegal","dakar","196190","12853259"
"serbia","belgrade","77474","10159046"
"seychelles","victoria","455","82247"
"sierra          leone","freetown","71740","6294774"
"singapore","singapore","693","4608167"
"slovakia","bratislava","48845","5455407"
"slovenia","ljubljana","20273","2007711"
"solomon          islands","honiara","28450","581318"
"somalia","mogadishu","637657","9558666"
"south          africa","pretoria          �","1219912","48782756"
"spain","madrid","504782","40491052"
"sri lanka","colombo","65610","21128772"
"sudan","khartoum","2505810","40218456"
"suriname","paramaribo","163270","475996"
"svalbard","longyearbyen","61020","2165"
"swaziland","mbabane �","17363","1128814"
"sweden","stockholm","449964","9045389"
"switzerland","bern","41290","7581520"
"syria","damascus","185180","19747586"
"taiwan","taipei","35980","22920946"
"tajikistan","dushanbe","143100","7211884"
"tanzania","dar es          salaam","945087","40213160"
"thailand","bangkok","514000","65493296"
"timor-leste          (east-timor)","dili","15007","1108777"
"togo","lome","56785","5858673"
"tokelau","none","10","1433"
"tonga","nuku'alofa","748","119009"
"trinidad          and tobago","port-of-spain","5128","1047366"
"tunisia","tunis","163610","10383577"
"turkey","ankara","780580","71892808"
"turkmenistan","ashgabat","488100","5179571"
"turks and          caicos islands","cockburn          town","430","22352"
"tuvalu","fongafale","26","12177"
"uganda","kampala","236040","31367972"
"ukraine","kiev","603700","45994288"
"united          arab emirates","abu dhabi","83600","4621399"
"united          kingdom","london","244820","60943912"
"united          states of america","washington dc","9826630","303824640"
"uruguay","montevideo","176220","3477778"
"uzbekistan","tashkent","447400","27345026"
"vanuatu","port-vila","12200","215446"
"venezuela","caracas","912050","26414816"
"vietnam","hanoi","329560","86116560"
"virgin          islands u.s.","charlotte          amalie","1910","109840"
"wallis          and futuna","mata-utu","274","15237"
"western          sahara","none","266000","393831"
"yemen","sanaa","527970","23013376"
"zambia","lusaka","752614","11669534"
"zimbabwe","harare","390580","11350111"
"world","&nbsp;","510072000","6706993152"
