"rank","organization","total","main","extendedd","h-index","g-index"
"97","university of north carolina","12.10","4.84","7.26","6","2"
"98","university of bath","11.92","5.42","6.50","3","2"
"99","interval research","11.87","5.42","6.45","7","2"
"100","boeing","11.87","4.50","7.37","4","2"
"101","swedish institute of computer science","11.82","3.75","8.08","6","2"
"102","lancaster university","11.75","3.22","8.53","5","2"
"103","tec-ed","11.73","0.33","11.40","3","2"
"104","rensselaer polytechnic institute","11.67","6.50","5.17","3","2"
"105","university of guelph","11.50","5.67","5.83","7","2"
"106","city university london","11.48","4.75","6.73","6","2"
"107","university of new brunswick","11.33","4.83","6.50","6","3"
"108","philips research","11.00","1.25","9.75","4","2"
"109","yahoo!","10.94","2.67","8.27","2","1"
"110","ohio state university","10.92","2.00","8.92","3","2"
"111","rutgers university","10.73","3.98","6.75","5","2"
"112","siemens","10.68","3.08","7.59","4","2"
"113","technische universitat darmstadt","10.28","&nbsp;","10.28","3","2"
"114","helsinki university of technology","10.22","4.65","5.57","4","2"
"115","university of maryland baltimore county","10.10","0.67","9.43","5","2"
"116","keio university","9.95","3.00","6.95","4","2"
"117","yale university","9.75","8.75","1.00","6","2"
"118","royal institute of technology","9.69","3.49","6.19","4","2"
"119","george washington university","9.68","5.53","4.14","6","2"
"120","maya design","9.65","1.00","8.65","5","2"
"121","university of twente","9.62","1.25","8.37","5","2"
"122","swiss federal institute of technology zurich","9.58","2.67","6.92","4","2"
"123","nynex science &amp; technology","9.51","2.17","7.34","4","2"
"124","university of dundee","9.39","2.35","7.04","4","2"
"125","rice university","9.32","5.23","4.08","3","2"
"126","fidelity investments","9.31","&nbsp;","9.31","3","1"
"127","university of new mexico","9.27","5.03","4.23","6","2"
"128","universitat wien","9.25","0.75","8.50","2","2"
"129","university of electro-communications","9.23","1.40","7.83","4","2"
"130","oregon state university","9.18","6.19","2.99","5","2"
"131","oracle","9.17","2.67","6.50","2","1"
"132","mitre corporation","8.94","0.33","8.61","3","2"
"133","university of arizona","8.80","3.33","5.47","4","2"
"134","university of southampton","8.78","2.50","6.28","3","2"
"135","university of massachusetts lowell","8.67","0.67","8.00","3","2"
"136","harvard university","8.62","3.88","4.73","4","2"
"137","technische universitat munchen","8.54","3.03","5.50","3","2"
"138","university of cape town","8.50","&nbsp;","8.50","4","2"
"139","university of sunderland","8.45","1.42","7.03","5","2"
"140","microelectronics and computer technology corporation","8.40","8.40","&nbsp;","7","2"
"141","royal college of art","8.34","3.33","5.01","5","2"
"142","ideo","8.31","1.00","7.31","3","2"
"143","korea advanced institute of science &amp; technology","8.26","1.00","7.26","3","1"
"144","mcc","8.05","8.05","&nbsp;","7","2"
"145","university of helsinki","8.03","4.75","3.28","4","2"
"146","philips medical systems","8.00","4.33","3.67","4","2"
"147","north carolina state university","8.00","4.00","4.00","5","2"
"148","goteborg university","7.83","&nbsp;","7.83","3","2"
"149","alias   wavefront","7.66","6.17","1.49","6","2"
"150","dec systems research center","7.58","3.83","3.75","4","2"
"151","university of melbourne","7.57","2.95","4.62","3","1"
"152","university of canterbury","7.50","5.00","2.50","5","2"
"153","toshiba","7.50","1.00","6.50","2","2"
"154","brunel university","7.50","0.83","6.67","5","2"
"155","university of wisconsin madison","7.49","2.12","5.37","4","2"
"156","university of southern california","7.48","1.90","5.58","2","2"
"157","saitama university","7.37","1.87","5.50","3","2"
"158","i.n.r.i.a.","7.34","5.54","1.80","3","2"
"159","university of surrey","7.32","4.53","2.78","4","2"
"160","princeton university","7.28","3.33","3.94","6","2"
"161","texas a&amp;m university","7.25","2.92","4.33","4","2"
"162","queen mary university of london","7.24","2.75","4.49","4","2"
"163","us naval research laboratory","7.17","4.83","2.33","4","2"
"164","national university of singapore","7.01","1.67","5.34","2","1"
"165","ibm research watson research center","7.00","7.00","&nbsp;","4","2"
"166","michigan state university","6.98","3.28","3.70","2","1"
"167","dray &amp; associates","6.98","&nbsp;","6.98","2","1"
"168","sap","6.66","0.25","6.41","2","1"
"169","university of sheffield","6.62","5.12","1.50","5","2"
"170","sics","6.56","2.17","4.39","4","2"
"171","waseda university","6.55","&nbsp;","6.55","1","1"
"172","new jersey institute of technology","6.53","1.00","5.53","3","2"
"173","university of sussex","6.49","2.20","4.29","5","2"
"174","university of tsukuba","6.48","1.07","5.42","3","2"
"175","mcgill university","6.42","1.50","4.92","4","2"
"176","sun microsystems laboratories","6.31","1.67","4.64","4","2"
"177","deborah j. mayhew &amp; associates","6.25","&nbsp;","6.25","1","1"
"178","gdansk university of technology","6.00","&nbsp;","6.00","1","1"
"179","university of waikato","6.00","&nbsp;","6.00","4","2"
"180","depaul university","6.00","&nbsp;","6.00","2","1"
"181","middlesex university","5.92","&nbsp;","5.92","1","1"
"182","university of pennsylvania","5.83","4.67","1.17","4","2"
"183","sri international","5.82","2.97","2.85","5","2"
"184","the hiser group","5.79","&nbsp;","5.79","3","1"
"185","facultes universitaires notre dame de la paix","5.75","1.00","4.75","4","2"
"186","chalmers university of technology","5.74","0.90","4.83","2","2"
"187","ncr","5.70","3.20","2.50","2","1"
"188","ibaraki university","5.67","1.42","4.25","2","2"
"189","northumbria university","5.67","0.75","4.92","2","1"
"190","universite paris xi sud","5.66","3.05","2.62","3","2"
"191","information and communications university","5.65","&nbsp;","5.65","1","1"
"192","telecommunications research center vienna","5.60","&nbsp;","5.60","2","1"
"193","universitat zurich","5.59","1.14","4.45","2","1"
"194","university of queensland","5.59","2.92","2.68","3","1"
"195","tokyo denki university","5.58","1.00","4.58","1","1"
"196","university of texas austin","5.56","1.87","3.69","1","1"
"197","london south bank university","5.50","1.00","4.50","1","1"
"198","cisco","5.48","&nbsp;","5.48","2","1"
"199","claris","5.45","3.00","2.45","3","2"
"200","aaron marcus and associates","5.39","1.00","4.39","2","1"
"201","wang laboratories","5.37","5.37","&nbsp;","5","2"
"202","wichita state university","5.33","1.00","4.33","3","1"
"203","usc/information sciences institute","5.33","4.67","0.67","4","2"
"204","university of massachusetts boston","5.31","2.20","3.11","3","1"
"205","lund university","5.25","&nbsp;","5.25","2","1"
"206","clemson university","5.20","2.00","3.20","3","1"
"207","mississippi state university","5.17","&nbsp;","5.17","1","1"
"208","laboratoire de genie informatique (imag)","5.17","3.17","2.00","4","2"
"209","universitat salzburg","5.07","0.25","4.82","2","1"
"210","samsung","5.04","&nbsp;","5.04","2","1"
"211","ebay","5.04","&nbsp;","5.04","1","1"
"212","university of nebraska lincoln","5.03","1.33","3.70","3","1"
"213","osaka university","5.01","1.93","3.08","3","2"
"214","centre d'etudes de la navigation aerienne","5.00","2.50","2.50","4","2"
"215","adobe systems","5.00","0.33","4.67","1","1"
"216","arizona state university","5.00","&nbsp;","5.00","0","0"
"217","universidade de lisboa","5.00","&nbsp;","5.00","1","1"
"218","university of bristol","4.93","3.03","1.90","1","1"
"219","serco usability services","4.90","&nbsp;","4.90","2","1"
"220","czech technical university","4.83","&nbsp;","4.83","1","1"
"221","technische universitat berlin","4.83","1.50","3.33","2","1"
"222","university of birmingham","4.81","0.33","4.48","2","1"
"223","general electric company","4.77","2.00","2.77","3","1"
"224","bt laboratories","4.75","0.25","4.50","2","1"
"225","lewis &amp; clark college","4.67","0.17","4.50","3","1"
"226","cnuce","4.67","&nbsp;","4.67","3","2"
"227","electronics and telecommunications research institute","4.67","1.00","3.67","1","1"
"228","yonsei university","4.62","2.42","2.20","3","1"
"229","human factors international","4.62","&nbsp;","4.62","1","1"
"230","university of sydney","4.58","0.92","3.67","1","1"
"231","clips-imag","4.55","1.00","3.55","3","2"
"232","university of oulu","4.55","0.50","4.05","2","1"
"233","university of wales aberystwyth","4.50","1.00","3.50","1","1"
"234","tektronix","4.50","3.50","1.00","3","1"
"235","sandia national laboratories","4.50","1.00","3.50","2","1"
"236","dialogdesign","4.34","&nbsp;","4.34","1","1"
"237","universitat stuttgart","4.33","2.50","1.83","4","2"
"238","university of london","4.25","0.80","3.45","1","1"
"239","eurisco","4.20","1.00","3.20","1","1"
"240","andersen consulting","4.20","&nbsp;","4.20","3","2"
"241","university of manitoba","4.17","3.17","1.00","1","1"
"242","free university of amsterdam","4.09","0.25","3.84","1","1"
"243","queen's university belfast","4.00","2.00","2.00","1","1"
"244","ben gurion university of the negev","4.00","1.00","3.00","1","1"
"245","canon","4.00","1.00","3.00","1","1"
"246","ontario institute for studies in education","4.00","&nbsp;","4.00","0","0"
"247","japan advanced institute of science &amp; technology","4.00","&nbsp;","4.00","1","1"
"248","savannah college of art and design","4.00","&nbsp;","4.00","0","0"
"249","oregon graduate institute school of science &amp; engineering","4.00","1.67","2.33","3","1"
"250","oregon health &amp; science university","3.96","1.75","2.21","2","1"
"251","national institute of standards and technology","3.93","1.00","2.93","1","1"
"252","fujitsu","3.90","1.20","2.70","2","1"
"253","national university of ireland dublin","3.90","2.73","1.17","2","1"
"254","auburn university","3.83","&nbsp;","3.83","1","1"
"255","san francisco state university","3.83","0.33","3.50","0","0"
"256","netscape","3.83","1.00","2.83","2","1"
"257","unisys","3.83","0.50","3.33","0","0"
"258","university of iowa","3.82","0.67","3.15","1","1"
"259","university of alberta","3.78","2.53","1.25","2","1"
"260","university of edinburgh","3.76","1.62","2.14","2","1"
"261","ecole polytechnique federale de lausanne","3.75","2.50","1.25","3","1"
"262","att labs-research","3.75","1.75","2.00","3","1"
"263","dfki","3.75","&nbsp;","3.75","1","1"
"264","universitat hamburg","3.70","0.95","2.75","2","1"
"265","university of aberdeen","3.67","0.50","3.17","1","1"
"266","universitat bremen","3.65","&nbsp;","3.65","2","1"
"267","brown university","3.62","1.03","2.58","1","1"
"268","eastman kodak company","3.62","1.25","2.37","2","1"
"269","university of california los angeles","3.61","2.28","1.33","3","1"
"270","compaq computer","3.58","3.00","0.58","2","1"
"271","kyoto university","3.58","1.25","2.33","1","1"
"272","colby college","3.54","&nbsp;","3.54","2","1"
"273","university of auckland","3.50","1.50","2.00","2","1"
"274","ricoh","3.50","2.50","1.00","2","1"
"275","gte laboratories incorporated","3.50","2.00","1.50","3","1"
"276","tampere university of technology","3.50","&nbsp;","3.50","0","0"
"277","university of huddersfield","3.50","0.50","3.00","2","1"
"278","illinois institute of technology","3.50","0.33","3.17","1","1"
"279","wayne state university","3.50","&nbsp;","3.50","0","0"
"280","university of california santa barbara","3.47","1.60","1.87","1","1"
"281","state university of new york","3.45","1.00","2.45","3","1"
"282","media lab europe","3.43","0.33","3.10","1","1"
"283","university of haifa","3.34","1.00","2.34","1","1"
"284","universitat karlsruhe","3.33","0.50","2.83","3","1"
"285","universidad de las americas puebla","3.33","1.00","2.33","2","1"
"286","catholic university of america","3.33","0.83","2.50","1","1"
"287","ericsson","3.32","1.00","2.32","1","1"
"288","bbn","3.29","1.00","2.29","3","1"
"289","bowling green state university","3.26","1.50","1.76","1","1"
"290","virginia commonwealth university","3.25","&nbsp;","3.25","1","1"
"291","glasgow caledonian university","3.25","0.50","2.75","2","1"
"292","concordia university montreal","3.25","&nbsp;","3.25","1","1"
"293","hasselt university (university of limburg)","3.25","&nbsp;","3.25","0","0"
"294","pontificia universidade catolica do rio de janeiro","3.20","&nbsp;","3.20","0","0"
"295","nanyang technological university","3.18","&nbsp;","3.18","1","1"
"296","georgia state university","3.18","&nbsp;","3.18","1","1"
"297","napier university","3.17","0.50","2.67","1","1"
"298","university of the west of england","3.10","0.25","2.85","3","1"
"299","university of south florida","3.10","&nbsp;","3.10","1","1"
"300","city university of new york","3.08","0.33","2.74","2","1"
"301","isti-cnr","3.06","&nbsp;","3.06","1","1"
"302","ochanomizu women's university","3.04","&nbsp;","3.04","2","1"
"303","boston university","3.03","0.67","2.37","3","1"
"304","heriot-watt university","3.00","1.00","2.00","0","0"
"305","diamond bullet design","3.00","&nbsp;","3.00","2","1"
"306","copenhagen business school","3.00","&nbsp;","3.00","0","0"
"307","university of connecticut","3.00","1.00","2.00","2","1"
"308","chiba university","3.00","&nbsp;","3.00","1","1"
"309","university of hong kong","3.00","2.00","1.00","1","1"
"310","university of trondheim","3.00","1.00","2.00","1","1"
"311","national taiwan university","3.00","1.00","2.00","1","1"
"312","interaction design institute ivrea","3.00","&nbsp;","3.00","0","0"
"313","technische universitat dresden","3.00","1.50","1.50","1","1"
"314","tandem computers","3.00","1.00","2.00","1","1"
"315","cwi","3.00","1.00","2.00","1","1"
"316","case western reserve university","3.00","&nbsp;","3.00","0","0"
"317","universidad de santiago de chile","3.00","0.25","2.75","1","1"
"318","contact consortium","3.00","&nbsp;","3.00","2","1"
"319","telia research","3.00","&nbsp;","3.00","1","1"
"320","universidad tecnologica de la mixteca","3.00","&nbsp;","3.00","0","0"
"321","intuit","2.99","0.50","2.49","1","1"
"322","national research council canada","2.95","0.20","2.75","2","1"
"323","cure - center for usability research &amp; engineering","2.88","0.75","2.13","0","0"
"324","aalborg university","2.85","2.43","0.42","1","1"
"325","autodesk","2.84","1.00","1.84","1","1"
"326","universite de geneve","2.80","&nbsp;","2.80","2","1"
"327","apollo computer","2.78","2.78","&nbsp;","2","1"
"328","chinese academy of science","2.76","2.76","&nbsp;","2","1"
"329","roskilde university","2.75","1.75","1.00","2","1"
"330","university of hertfordshire","2.72","&nbsp;","2.72","2","1"
"331","imedia","2.67","&nbsp;","2.67","0","0"
"332","texas instruments","2.67","2.67","&nbsp;","2","1"
"333","cicese","2.60","&nbsp;","2.60","1","1"
"334","university of amsterdam","2.57","1.00","1.57","1","1"
"335","stockholm university","2.55","1.50","1.05","1","1"
"336","bauhaus universitat weimar","2.50","1.00","1.50","0","0"
"337","sharp corporation","2.50","0.50","2.00","2","1"
"338","national ict australia","2.50","&nbsp;","2.50","1","1"
"339","accenture technology labs","2.50","&nbsp;","2.50","1","1"
"340","california state university long beach","2.50","&nbsp;","2.50","0","0"
"341","university of brighton","2.45","&nbsp;","2.45","1","1"
"342","university of western ontario","2.45","0.20","2.25","2","1"
"343","future university-hakodate","2.43","0.50","1.93","2","1"
"344","technical university of denmark","2.42","2.42","&nbsp;","2","1"
"345","tokyo institute of technology","2.42","1.00","1.42","1","1"
"346","pitney bowes","2.38","&nbsp;","2.38","1","1"
"347","universidad autonoma de madrid","2.33","0.33","2.00","1","1"
"348","university of victoria british columbia","2.33","0.25","2.08","1","1"
"349","fachhochschule potsdam","2.33","&nbsp;","2.33","0","0"
"350","university of new south wales","2.25","&nbsp;","2.25","1","1"
"351","commonwealth scientific and industrial research organiztionsation","2.25","1.00","1.25","1","1"
"352","freie universitat berlin","2.25","1.25","1.00","2","1"
"353","university of california santa cruz","2.23","0.40","1.83","1","1"
"354","pacific northwest national laboratory","2.20","0.25","1.95","1","1"
"355","sheffield hallam university","2.19","0.50","1.69","1","1"
"356","ameritech","2.17","0.17","2.00","1","1"
"357","honeywell corporation","2.16","0.37","1.79","1","1"
"358","towson university","2.11","0.25","1.86","1","1"
"359","johannes kepler universitat linz","2.08","1.00","1.08","1","1"
"360","saint mary's university","2.08","1.00","1.08","1","1"
"361","universita di modena e reggio emilia","2.08","&nbsp;","2.08","0","0"
"362","leeds metropolitan university","2.06","&nbsp;","2.06","2","1"
"363","universita degli studi di roma la sapienza","2.05","0.67","1.38","1","1"
"364","tsinghua university china","2.02","1.69","0.33","1","1"
"365","silicon graphics","2.00","2.00","&nbsp;","0","0"
"366","universiti malaysia sarawak","2.00","1.00","1.00","0","0"
"367","humboldt universitat zu berlin","2.00","0.67","1.33","1","1"
"368","nova southeastern university","2.00","&nbsp;","2.00","1","1"
"369","university of nevada reno","2.00","&nbsp;","2.00","1","1"
"370","us bureau of labor statistics","2.00","&nbsp;","2.00","1","1"
"371","athens university of economics and business","2.00","&nbsp;","2.00","1","1"
"372","knowledge systems incorporated","2.00","2.00","&nbsp;","1","1"
"373","swinburne university of technology","2.00","&nbsp;","2.00","0","0"
"374","kingston university london","2.00","0.50","1.50","0","0"
"375","alpen adria universitat klagenfurt","2.00","2.00","&nbsp;","1","1"
"376","csiro ict centre","2.00","1.00","1.00","0","0"
"377","fachhochschule vorarlberg","2.00","&nbsp;","2.00","1","1"
"378","jet propulsion laboratory","2.00","&nbsp;","2.00","1","1"
"379","johns hopkins university","2.00","1.00","1.00","1","1"
"380","purdue university","2.00","1.00","1.00","1","1"
"381","tokyo university of agriculture and technology","2.00","&nbsp;","2.00","1","1"
"382","university of kentucky","2.00","1.00","1.00","0","0"
"383","worcester state college","2.00","1.00","1.00","1","1"
"384","dun laoghaire institute of art design &amp; technology","2.00","&nbsp;","2.00","0","0"
"385","free state university","2.00","&nbsp;","2.00","1","1"
"386","universidad de puerto rico mayaguez","2.00","&nbsp;","2.00","0","0"
"387","florida state university","2.00","&nbsp;","2.00","1","1"
"388","institut national de recherche en informatique et en automatique","2.00","&nbsp;","2.00","0","0"
"389","instituto superior tecnico","2.00","&nbsp;","2.00","0","0"
"390","iowa state university","2.00","&nbsp;","2.00","0","0"
"391","memorial university of newfoundland","2.00","&nbsp;","2.00","1","1"
"392","national institute of informatics","1.95","0.83","1.12","1","1"
"393","sara bly consulting","1.93","1.03","0.90","1","1"
"394","washington university saint louis","1.92","0.67","1.25","1","1"
"395","otto von guericke universitat magdeburg","1.92","1.42","0.50","1","1"
"396","tel aviv university","1.92","0.67","1.25","1","1"
"397","university of houston","1.90","0.33","1.57","1","1"
"398","universitat koblenz-landau","1.87","&nbsp;","1.87","0","0"
"399","queensland university of technology","1.87","0.33","1.53","1","1"
"400","universite toulouse 1 sciences sociales","1.87","&nbsp;","1.87","1","1"
"401","bentley college","1.84","&nbsp;","1.84","0","0"
"402","university of new hampshire","1.83","0.83","1.00","1","1"
"403","ecole polytechnique de montreal","1.83","1.00","0.83","1","1"
"404","universidad nacional de la plata","1.83","0.50","1.33","1","1"
"405","rmit university","1.80","0.40","1.40","0","0"
"406","florida international university","1.78","0.20","1.58","0","0"
"407","technische universitat graz","1.77","&nbsp;","1.77","1","1"
"408","swedish institute","1.75","1.00","0.75","1","1"
"409","meru research","1.75","&nbsp;","1.75","0","0"
"410","universita degli studi di verona","1.75","&nbsp;","1.75","0","0"
"411","british aerospace","1.73","0.33","1.40","1","1"
"412","east japan railway","1.71","&nbsp;","1.71","0","0"
"413","fordham university","1.70","&nbsp;","1.70","1","1"
"414","acm","1.70","&nbsp;","1.70","0","0"
"415","universite catholique de louvain","1.67","&nbsp;","1.67","1","1"
"416","universidade tecnica de lisboa","1.67","&nbsp;","1.67","1","1"
"417","appliance studio","1.67","0.67","1.00","1","1"
"418","telematica","1.67","0.25","1.42","1","1"
"419","informaat","1.67","&nbsp;","1.67","0","0"
"420","trilogy","1.63","0.50","1.13","0","0"
"421","universita' degli studi di bari","1.62","0.67","0.95","1","1"
"422","university of dublin trinity college","1.60","&nbsp;","1.60","0","0"
"423","universitat duisburg essen","1.60","0.20","1.40","0","0"
"424","nielsen norman group","1.59","&nbsp;","1.59","1","1"
"425","technische universitat kaiserslautern","1.58","&nbsp;","1.58","0","0"
"426","universitat passau","1.58","1.00","0.58","0","0"
"427","university of limerick","1.58","0.50","1.08","1","1"
"428","king's college london","1.57","1.57","&nbsp;","1","1"
"429","shizuoka university","1.54","&nbsp;","1.54","0","0"
"430","university of yamanashi","1.52","&nbsp;","1.52","0","0"
"431","hamilton institute","1.52","0.58","0.93","1","1"
"432","staffordshire university","1.50","0.33","1.17","0","0"
"433","sintef","1.50","&nbsp;","1.50","1","1"
"434","university of hawaii hilo","1.50","&nbsp;","1.50","0","0"
"435","southern polytechnic state university","1.50","&nbsp;","1.50","0","0"
"436","university of art and design helsinki","1.50","0.50","1.00","1","1"
"437","worcester polytechnic institute","1.50","0.50","1.00","0","0"
"438","cambridge technology partners","1.50","&nbsp;","1.50","0","0"
"439","university of ulster","1.50","&nbsp;","1.50","0","0"
"440","universite de nantes","1.50","0.50","1.00","1","1"
"441","pixar","1.50","0.50","1.00","0","0"
"442","university of western australia","1.50","&nbsp;","1.50","0","0"
"443","radboud university nijmegen","1.50","&nbsp;","1.50","0","0"
"444","university of central lancashire","1.45","&nbsp;","1.45","0","0"
"445","universitat pompeu fabra","1.45","&nbsp;","1.45","0","0"
"446","peoplesoft","1.43","0.50","0.93","1","1"
"447","ludwig maximilians universitat munchen","1.42","&nbsp;","1.42","0","0"
"448","universidad carlos iii de madrid","1.40","&nbsp;","1.40","0","0"
"449","cardiff university","1.39","0.39","1.00","1","1"
"450","malmo university","1.34","&nbsp;","1.34","1","1"
"451","liverpool john moores university","1.33","&nbsp;","1.33","0","0"
"452","siebel systems","1.33","0.33","1.00","0","0"
"453","adapx","1.33","1.33","&nbsp;","0","0"
"454","uppsala university","1.33","1.00","0.33","1","1"
"455","university of portsmouth","1.33","0.33","1.00","1","1"
"456","university of south dakota","1.33","0.33","1.00","1","1"
"457","at&amp;t labs research","1.33","&nbsp;","1.33","0","0"
"458","syracuse university","1.33","&nbsp;","1.33","0","0"
"459","national university of ireland cork","1.28","0.70","0.58","0","0"
"460","university of miami","1.27","0.60","0.67","0","0"
"461","university of central florida","1.25","1.25","&nbsp;","1","1"
"462","national institutes of health","1.20","1.00","0.20","0","0"
"463","university of rochester","1.20","1.20","&nbsp;","1","1"
"464","centrum voor wiskunde en informatica","1.20","&nbsp;","1.20","0","0"
"465","universita degli studi di udine","1.20","&nbsp;","1.20","0","0"
"466","toyota","1.20","&nbsp;","1.20","1","1"
"467","kpn","1.17","&nbsp;","1.17","0","0"
"468","national cancer institute","1.17","&nbsp;","1.17","1","1"
"469","national institute of advanced industrial science &amp; technology","1.17","0.50","0.67","1","1"
"470","ums841 maison mediterraneenne des sciences de l'homme","1.17","&nbsp;","1.17","1","1"
"471","universidad de chile","1.17","0.50","0.67","1","1"
"472","telenor","1.17","&nbsp;","1.17","1","1"
"473","university of derby","1.17","&nbsp;","1.17","0","0"
"474","centre for usability research","1.15","&nbsp;","1.15","0","0"
"475","new york institute of technology","1.13","1.13","&nbsp;","1","1"
"476","british telecom","1.11","1.00","0.11","1","1"
"477","university of lincoln","1.11","0.11","1.00","0","0"
"478","vanderbilt university","1.11","&nbsp;","1.11","1","1"
"479","universitat bielefeld","1.09","&nbsp;","1.09","0","0"
"480","rheinische friedrich wilhelms universitat bonn","1.08","0.75","0.33","1","1"
"481","university of southern denmark","1.08","0.50","0.58","1","1"
"482","georgetown university","1.00","&nbsp;","1.00","0","0"
"483","university of idaho","1.00","&nbsp;","1.00","0","0"
"484","university of california davis","1.00","1.00","&nbsp;","0","0"
"485","university of san francisco","1.00","&nbsp;","1.00","0","0"
"486","instituto tecnologico de aeronautica","1.00","&nbsp;","1.00","0","0"
"487","michigan technological university","1.00","1.00","&nbsp;","0","0"
"488","brandeis university","1.00","&nbsp;","1.00","0","0"
