"peak name","height m","height ft","mtn id"
"mount ball","3311","10863","102"
"banded peak","2934","9626","32"
"barbette mountain","3072","10079","33"
"barbican peak","3120","10237","31"
"baril peak","2998","9836","34"
"mount barlow","3120","10237","35"
"barnaby ridge","2471","8106","36"
"mount barnard","3339","10955","988"
"barra mountain","2515","8252","51"
"barricade mountain","3180","10434","52"
"barrier mountain","2957","9702","53"
"mount barwell","1905","6250","1386"
"baseline mountain","1910","6265","54"
"basilica mountain","2865","9400","55"
"bastille mountain","2545","8350","1432"
"bastion peak","2970","9744","56"
"mount battisti","3155","10352","989"
"mount bauerman","2377","7799","57"
"mount bazalgette","2438","8000","59"
"beacon peak","2986","9797","58"
"beatrice peak","3125","10253","990"
"mount beatty","2999","9840","60"
"mount beaupre","2778","9115","61"
"bedson ridge","2240","7350","62"
"the beehive","2270","7448","63"
"beehive mountain","2895","9498","64"
"mount belanger","3120","10237","65"
"mount bell","2910","9548","67"
"bellevue hill","2110","6923","1487"
"belmore browne peak","2332","7650","1578"
"bennington peak","3265","10712","66"
"mount bergne","3176","10420","68"
"mount berland","2362","7750","1525"
"mount berry","2362","7750","69"
"bertha peak","2454","8050","70"
"bertram peak","3060","10040","211"
"mount bess","3216","10552","71"
"mount biddle","3319","10890","212"
"bident mountain","3084","10119","72"
"big shale hill","2210","7250","1315"
"big sister","2936","9634","879"
"mount bill nye","2423","7950","1535"
"mount bingay","2636","8650","1519"
"bingley peak","2438","8000","73"
"mount birdwood","3097","10161","74"
"mount bisaro","2850","9350","1522"
"mount bishop","2850","9350","75"
"bison tower","3185","10450","213"
"mount bistre","2346","7697","76"
"black mountain","1930","6332","77"
"black cat mountain","1800","5908","110"
"mount black prince","2932","9620","111"
"black ridge","2606","8550","1503"
"black rock mountain","2462","8078","112"
"blackface mountain","2867","9407","113"
"blackfriars peak","3210","10532","119"
"blackhorn peak","3000","9843","114"
"mount blackman","2606","8550","1374"
"blackrock mountain","2910","9548","115"
"blackwater mountain","2732","8964","214"
"the blade","2910","9548","215"
"mount blakiston","2910","9548","120"
"mount blane","2993","9820","121"
"mount bleasdell","2590","8498","1273"
"block mountain","2935","9630","122"
"bluerock mountain","2789","9150","123"
"bluff mountain","2145","7038","124"
"mount bogart","3144","10315","125"
"mount bolton","2706","8878","126"
"roche bonhomme","2495","8186","127"
"bonnet peak","3235","10614","128"
"boom mountain","2760","9056","129"
"mount borsato","2441","8010","91"
"roche a bosche","2123","6966","130"
"mount boswell","2400","7874","131"
"mount bosworth","2771","9092","78"
"roche boule","2385","7826","79"
"mount bourgeau","2930","9613","80"
"bow peak","2868","9410","81"
"mount bowlen","3072","10079","82"
"brachiopod mountain","2667","8750","132"
"mount braithwaite","2134","7002","133"
"mount bras croche","3286","10781","216"
"mount brazeau","3470","11385","134"
"breaker mountain","3058","10033","135"
"mount brett","2984","9791","136"
"mount brewster","2859","9380","137"
"brewster rock","2819","9250","138"
"mount bridgland","2930","9613","139"
"broadview mountain","2454","8050","1435"
"mount broadwood","2423","7950","1278"
"mount brock","2902","9521","140"
"brouillard mountain","3210","10532","217"
"mount brown","2799","9184","141"
"mount bruce","3090","10138","218"
"brussels peak","3161","10371","317"
"mount brussilof","3005","9859","219"
"mount bryan","2484","8150","1400"
"mount bryant (kananaskis)","2629","8626","318"
"mount bryant (jasper)","2621","8600","319"
"mount bryce","3507","11505","320"
"bucephalus peak","3130","10270","220"
"buchanan peak","2409","7904","321"
"buchanan ridge","2565","8416","1317"
"mount buchanan","2728","8950","1436"
"bull mountain","2641","8665","1530"
"bull creek hills","2179","7150","1544"
"buller mountain","2805","9203","322"
"mount bulyea","3304","10840","323"
"mount burgess","2599","8527","991"
"mount burke","2542","8340","324"
"mount burney","2934","9626","325"
"mount burns","2936","9633","326"
"mount burstall","2760","9056","327"
"bury ridge","2454","8050","37"
"bush peak","3103","10180","1268"
"buttress peak","2752","9029","992"
"buttress mountain","2685","8809","328"
"butwell peak","2942","9653","993"
"mount byng","2940","9646","329"
"cabin ridge","2513","8245","118"
"cadomin mountain","2400","7877","330"
"mount cadorna","3145","10319","994"
"mount cairnes","3060","10040","995"
"cairngorm","2610","8563","331"
"caldron peak","2911","9550","144"
"caledonia mountain","2856","9371","145"
"calumet peak","2977","9768","146"
"mount cambrai","3134","10283","147"
"mount campion","2484","8150","149"
"campion mountain","2506","8223","1335"
"campus peak","2810","9220","996"
"caniche peak","2552","8373","150"
"capitol mountain","2438","8000","151"
"mount cardinal","2515","8252","152"
"mount carnarvon","3040","9974","997"
"mount carr-hilton","2301","7550","1462"
"mount carthew","2636","8650","153"
"cascade mountain","2998","9836","998"
"cascade rock","2880","9450","1250"
"casemate mountain","3090","10138","999"
"casket mountain","2231","7319","1316"
"the castelets","2865","9400","1302"
"mount castelnau","3005","9859","1000"
"castle rock","2972","9750","698"
"castle mountain (alberta)","2766","9076","154"
"castle peak","2558","8394","155"
"castle mountain (bc)","2545","8350","242"
"castleguard mountain","3090","10138","156"
"catacombs mountain","3330","10926","157"
"cataract peak","3333","10936","158"
"cathedral mountain","3189","10463","1001"
"cathedral crags","3073","10083","1002"
"cathedral rock","2680","8793","1492"
"cauldron peak","2393","7850","159"
"mount cautley","2880","9450","160"
"cave mountain","2651","8698","161"
"cegnfs","2804","9200","1490"
"centre mountain (alberta)","2700","8859","162"
"centre peak","2549","8364","163"
"centre mountain (bc)","2601","8533","1262"
"centurion peak","2790","9154","1004"
"chaba peak","3212","10539","164"
"chak peak","2774","9101","246"
"chalco mountain","2598","8524","1337"
"mount chamberlin","2325","7628","679"
"chancellor peak","3280","10762","1005"
"chaperon mountain","2627","8619","1006"
"mount charles stewart","2809","9216","247"
"mount charlton","3217","10555","248"
"cheguin mountain","2454","8050","1463"
"mount chephren","3266","10716","249"
"mount chester","3054","10020","250"
"chetamon mountain","2606","8550","251"
"chetang ridge","2697","8850","1314"
"mount chettan","3040","9974","1007"
"cheviot mountain","2720","8924","252"
"chevron mountain","2835","9302","253"
"mount chief warden","3126","10256","1008"
"childear mountain","2485","8153","254"
"chimney peak","3000","9843","1009"
"chinook peak","2591","8501","256"
"chisel peak","3049","10004","1010"
"chocolate mountain","3049","10004","257"
"mount chown","3331","10930","258"
"christian peak","3398","11150","259"
"mount christie","3103","10181","261"
"chrysler peak","2548","8360","1012"
"cinnamon peak","2667","8750","1313"
"cinquefoil mountain","2259","7412","262"
"cirque peak","2993","9820","263"
"cirrus mountain","3270","10729","264"
"citadel peak","2610","8563","265"
"mount clairvaux","2690","8826","266"
"clawson peak","2667","8750","240"
"clearwater mountain","3275","10745","267"
"mount clemenceau","3658","12002","1011"
"cliff mountain","2743","9000","268"
"climax mountain","2823","9262","269"
"mount cline","3361","11027","270"
"mount clitheroe","2747","9013","271"
"cloister mountains","3060","10040","272"
"cloudy ridge","2591","8500","1288"
"coal ridge","2271","7450","1475"
"coal mountain","2088","6850","1548"
"cockscomb mountain (bc)","3094","10150","1265"
"cockscomb mountain (alberta)","2776","9108","273"
"coffin mountain","2429","7970","117"
"mount coleman","3135","10286","274"
"mount colin","2687","8816","1013"
"coliseum mountain","2040","6693","1414"
"mount collembola","2758","9050","697"
"mount collie","3116","10224","1018"
"collier peak","3215","10548","275"
"the colonel","2786","9141","1019"
"mount columbia","3747","12294","276"
"the comb","2514","8250","1309"
"commerce peak","2554","8381","1342"
"commonwealth peak","2774","9101","277"
"compression ridge","2545","8350","1099"
"condor peak","2945","9663","278"
"cone mountain","2910","9548","279"
"mount confederation","2969","9741","280"
"conical peak","2840","9318","281"
"conner peak","2860","9384","1361"
"mount connor","2938","9640","1020"
"consort mountain","2883","9459","282"
"mount conway","3100","10171","283"
"copper mountain","2795","9170","284"
"coral mountain (alberta)","3146","10322","1021"
"coral mountain (bc)","2460","8071","1391"
"mount cordonnier","3021","9912","285"
"corkscrew mountain","1900","6234","286"
"cornice peak","3180","10434","1022"
"cornucopia peak","3210","10532","1023"
"mount cornwall","2970","9745","287"
"mount cornwell","2972","9750","288"
"corona ridge","3065","10055","1511"
"coronach mountain","2462","8078","289"
"coronation mountain","3170","10401","293"
"coronet mountain","3152","10342","294"
"mount corrigan","2365","7760","92"
"corsair mountain","2621","8600","1269"
"mount cory","2802","9193","295"
"mount costigan","2980","9777","296"
"mount cote","2391","7845","297"
"cougar mountain","2863","9394","298"
"mount coulthard","2642","8668","299"
"courcelette peak","3044","9987","1024"
"cowl mountain","3060","10040","1025"
"mount cr2","2620","8596","1474"
"mount cradock","3030","9941","1026"
"mount crandell","2381","7812","300"
"mount cromwell","3330","10926","301"
"cromwell tower","3215","10548","1028"
"mount crook","2636","8650","228"
"mount cross","2454","8050","1437"
"crowfoot mountain","3050","10007","302"
"crowsnest mountain","2785","9138","303"
"the cube ridge","2460","8071","1499"
"mount cummins","2586","8485","1373"
"mount cumnock","2460","8071","304"
"curator mountain","2622","8603","305"
"curia mountain","2835","9302","306"
"mount currie","2810","9220","307"
"curtis peak","3051","10010","1029"
"cyclone mountain","3050","10007","308"
"mount daer","2959","9708","172"
"mount dainard","2658","8721","1030"
"dais mountain","3300","10827","309"
"mount dalhousie","2438","8000","310"
"mount daly","3152","10342","311"
"mount darrah","2755","9039","178"
"mount david thompson","2780","9121","179"
"mount davidson","2919","9577","1563"
"daybreak peak","2420","7940","180"
"mount de gaulle","2952","9685","1032"
"mount de margerie","3000","9843","1033"
"roche de smet","2539","8330","181"
"mount de smet","2149","7050","1515"
"mount de veber","2573","8442","182"
"mount de wind","2438","8000","183"
"deception mountain","2819","9249","184"
"defender mountain","2790","9154","1031"
"deltaform mountain","3424","11234","185"
"mount dennis","2539","8330","1034"
"mount denny","3000","9843","438"
"mount dent","3267","10719","186"
"mount des poilus","3161","10371","439"
"mount deville","2924","9594","440"
"devil's head","2997","9833","187"
"devil's thumb","2458","8065","441"
"devon mountain","3004","9856","188"
"diadem peak","3371","11060","104"
"mount dimsdale","2880","9450","1465"
"mount dingley","2667","8750","1348"
"dip slope mountain","3125","10253","105"
"divergence peak","2827","9275","106"
"divide mountain","2865","9400","572"
"division mountain","3030","9941","107"
"dix lacs mountain","2575","8450","1439"
"mount docking","2853","9361","442"
"dolomite peak","2782","9128","108"
"the dome","3078","10100","437"
"mount domke","2606","8550","1258"
"mount doolan","2484","8150","1347"
"door jamb mountain","1996","6548","109"
"mount dorman","2798","9180","443"
"dormer mountain","2766","9075","313"
"dorsal mountain","2636","8650","1441"
"douai mountain","3120","10237","314"
"mount douglas","3235","10614","315"
"mount doupe","2664","8740","1529"
"draco peak","2587","8489","316"
"dragon peak","2940","9646","245"
"drawbridge peak","2720","8924","332"
"mount drinnan","2242","7356","333"
"mount dromore","2660","8727","334"
"mount drummond","3148","10329","335"
"mount drysdale","2932","9620","444"
"drywood mountain","2514","8250","336"
"mount duchesnay","2927","9603","445"
"mount dungarvan","2575","8450","337"
"dungeon peak","3130","10270","338"
"mount dunkirk","3030","9941","446"
"duplicate mountain","3150","10335","447"
"mount dyson","1768","5800","339"
"eagle mountain","2820","9252","340"
"eagle ridge","2484","8150","1382"
"east peak","3000","9843","448"
"ebon peak","2910","9548","341"
"eden peak","3180","10434","342"
"edgegrain mountain","2484","8150","1452"
"mount edith","2554","8381","343"
"mount edith cavell","3363","11034","344"
"edward peak","3514","11528","345"
"eeor","2530","8301","1514"
"ego mountain","3002","9850","1266"
"eiffel peak","3084","10119","346"
"eiffel tower","3080","10105","1500"
"eisenhower peak","2752","9029","347"
"ekusquin mountain","2088","6850","1466"
"elbe peak","2240","7350","1369"
"elephas mountain","2940","9646","348"
"the elevators","2911","9550","90"
"mount elkan","2760","9056","449"
"elliott peak","2872","9423","349"
"mount ellis","2970","9745","1035"
"elpoca mountain","3029","9938","350"
"ely's dome","2830","9285","1410"
"elysium mountain","2446","8025","351"
"emerald peak","2545","8350","1358"
"emerald ridge","2575","8450","1304"
"emigrants mountain","2553","8376","352"
"emir mountain","2616","8584","353"
"empire state peak","2603","8540","1036"
"end mountain","2453","8050","354"
"endless chain ridge","2867","9407","355"
"mount engadine","2970","9745","356"
"mount engelhard","3270","10729","357"
"engelhard tower","3210","10532","1037"
"mount ennis","3133","10279","1038"
"eon mountain","3310","10860","358"
"epaulette mountain","3095","10155","359"
"mount erasmus","3265","10712","360"
"mount erebus","3119","10233","361"
"eremite mountain","2910","9548","362"
"mount erickson","2485","8153","166"
"erickson ridge","2514","8350","1261"
"mount ermatinger","3060","10040","363"
"ernest peak","3511","11520","364"
"mount ernest ross","2454","8050","365"
"mount erris","2820","9252","366"
"esplanade mountain","2301","7550","367"
"mount estella","3069","10069","368"
"mount etherington","2877","9439","369"
"etim mountain","2149","7050","1458"
"mount evans","3210","10532","371"
"mount evan-thomas","3097","10161","370"
"ex coelis mountain","2545","8350","704"
"excelsior mountain","2744","9003","372"
"exshaw mountain","1783","5850","373"
"extinguisher tower","2393","7850","1039"
"mount fable","2702","8865","1040"
"fairmont mountain","2620","8596","175"
"fairview mountain","2744","9003","374"
"farbus mountain","3150","10335","375"
"mount farquhar","2905","9531","376"
"mount farrar","3255","10680","1194"
"fatigue mountain","2959","9708","377"
"mount fay","3235","10614","378"
"felucca mountain","2765","9072","1041"
"mount fernie","2210","7250","1325"
"festubert mountain","2522","8275","379"
"mount fetherstonhaugh","2088","6851","380"
"feuz tower","3140","10302","1301"
"fiddle peak","2243","7359","381"
"mount field","2643","8672","1042"
"mount fifi","2621","8600","382"
"the finger","2545","8350","1043"
"fisher peak (bc)","2621","8600","1300"
"mount fisher","2845","9336","1320"
"fisher peak (alberta)","3053","10017","383"
"the fist","2630","8629","1044"
"mount fitzwilliam","2907","9538","1045"
"flanders mountain","2179","7150","1290"
"flat ridge","2787","9145","1377"
"flett peak","2728","8950","96"
"flints peak","2950","9682","384"
"flood mountain","1814","5952","385"
"mount florence","2970","9745","1046"
"mount foch","3180","10434","386"
"folding mountain","2844","9331","387"
"mount folk","3087","10128","1047"
"font mountain","2353","7720","388"
"mount forbes","3612","11851","389"
"fording mountain","1753","5750","1549"
"mount forget","2121","6959","189"
"forgetmenot mountain (alberta)","2332","7651","190"
"forgetmenot ridge","2332","7650","1385"
"forgetmenot mountain (bc)","2227","7306","1425"
"mount forsythe","2993","9820","1048"
"fortalice mountain","2835","9302","191"
"the fortress","3000","9843","192"
"fortress mountain","3020","9909","193"
"mount fortune","2332","7650","194"
"forum peak","2415","7924","195"
"fossil mountain","2946","9666","196"
"foster peak","3204","10512","1049"
"four points mountain","1905","6250","1540"
"mount fox","2973","9754","197"
"mount frances","2730","8957","1050"
"franchere peak","2812","9226","198"
"francis peak (alberta)","2450","8038","390"
"francis peak (bc)","2423","7950","1478"
"franklin peaks","2892","9489","1051"
"mount fraser","3322","10726","391"
"mount frayn","2914","9561","1052"
"mount french","3234","10611","392"
"mount freshfield","3336","10945","393"
"fresnoy mountain","3240","10630","394"
"frigate mountain","2880","9450","1068"
"frontier peak","2700","8859","1333"
"mount fryatt","3361","11027","395"
"mount fuhrer","3063","10050","1069"
"mount fullerton","2728","8951","396"
"fulmen mountain","2393","7850","1242"
"gable mountain","2928","9607","397"
"mount gagnebin","2905","9531","1070"
"mount galatea","3185","10450","398"
"mount galwey","2377","7799","399"
"gap mountain","2667","8750","400"
"gargoyle mountain","2693","8836","401"
"garnet mountain","2332","7650","1071"
"mount garth","3030","9941","402"
"mount gass","2865","9400","403"
"gateway peak","2697","8850","1352"
"mount gaunce","2286","7500","404"
"mount gec","3130","10270","405"
"mount geikie","3270","10729","1072"
"gendarme mountain","2922","9587","406"
"george peak","2423","7950","407"
"mount george graham","2575","8450","1307"
"mount gerald","2700","8859","1359"
"mount geraldine","2900","9515","1493"
"gest tower","3170","10401","1073"
"ghita mountain","2514","8250","1306"
"ghost mountain","3204","10512","1074"
"gibraltar mountain","2665","8744","408"
"gibraltar rock","2870","9416","409"
"gilgit mountain","3090","10138","410"
"gill peak","2880","9450","1520"
"mount girouard","2995","9827","411"
"glacier peak","3283","10772","412"
"glacis ridge","2490","8170","1303"
"mount gladstone","2370","7776","413"
"mount glasgow","2935","9630","414"
"mount glendowan","2673","8770","415"
"mount glenn","2240","7350","1328"
"mount gloria","2908","9541","416"
"goat peak","2810","9220","1053"
"goat haven peak","2411","7911","1319"
"golden mountain","2911","9550","1248"
"golden eagle peak","3048","10000","417"
"gong peak","3120","10237","418"
"goodair peak","2810","9220","1054"
"goodsir towers (north tower)","3525","11565","1055"
"goodsir towers (south tower)","3562","11686","1411"
"mount gordon","3203","10510","1003"
"mount gorman","2380","7809","419"
"mount goslin","2606","8550","1165"
"gould dome","2894","9495","420"
"mount grainger","1804","5920","1329"
"grande mountain","1987","6519","421"
"grant macewan peak","2148","7050","1582"
"grassy ridge (jasper)","2693","8836","1404"
"grassy mountain","2065","6775","423"
"grassy ridge (dutch creek)","1979","6493","424"
"gravenstafel ridge","2391","7845","425"
"mount gray","3000","9843","1075"
"green mountain","1844","6050","426"
"greenhills range","2407","7897","1562"
"mount greenock","2065","6775","427"
"mount gregg","2530","8300","428"
"mount griesbach","2682","8800","429"
"grisette mountain","2620","8596","430"
"grizzly peak (alberta)","2545","8350","1257"
"grizzly peak (bc)","2495","8185","1551"
"grotto mountain","2706","8878","431"
"gunnery mountain","2088","6850","1495"
"gusty peak","3000","9843","702"
"mount gydosic","2789","9150","95"
"ha ling peak","2408","7900","255"
"mount habel","3073","10083","432"
"haddo peak","3070","10073","168"
"mount hadiken","2886","9469","1076"
"mount haffner","2514","8250","170"
"hagen peak","2627","8619","1077"
"haiduk peak","2920","9581","169"
"mount haig","2610","8563","177"
"hailstone butte","2373","7786","243"
"mount haley","2789","9150","1533"
"hall tower","3215","10548","1078"
"mount hamell","2129","6985","260"
"hanbury peak","2911","9550","1079"
"mount hanington","2575","8450","1446"
"mount hardisty","2700","8859","433"
"mount harkin","2980","9777","221"
"mount harris","3299","10824","434"
"mount harrison","3359","11021","222"
"mount harvey","2438","8000","435"
"mount haultain","2621","8600","450"
"hawk mountain","2553","8376","451"
"hawk ridge","2514","8250","1271"
"mount hawkins","2694","8839","452"
"mount hawley","3000","9843","223"
"mount haynes","2941","9649","224"
"mount head","2782","9128","453"
"heart mountain","2042","6700","454"
"heather ridge","2636","8650","1240"
"mount hector","3394","11136","455"
"mount hedrick","2149","7050","1473"
"mount hefty","2271","7450","1550"
"helena ridge","2862","9390","456"
"mount helmer","3030","9941","457"
"helmet mountain (alberta)","2612","8570","458"
"the helmet","3420","11221","225"
"helmet mountain (bc)","3124","10250","241"
"mount henday","2682","8800","459"
"mount henry","2629","8626","460"
"mount henry macleod","3288","10788","461"
"mount herchmer","2606","8550","1346"
"hickson peak","3080","10105","226"
"highwood ridge","2697","8850","1485"
"hilda peak","3060","10040","462"
"the hill of the flowers","2400","7840","1494"
"hillcrest mountain","2164","7100","463"
"mount hoffman","1829","6001","464"
"mount holcroft","2713","8901","465"
"hollebeke mountain","2221","7288","466"
"holloway rock","2650","8695","1332"
"mount holmes","2505","8219","467"
"holy cross mountain (alberta)","2650","8695","468"
"holy cross mountain (bc)","2104","6903","1429"
"mount hood","2903","9525","469"
"mount hooge","3216","10552","470"
"mount hooker","3286","10781","471"
"mount hornecker","2271","7450","1517"
"horned mountain","2667","8750","238"
"mount hornickel","3002","9850","227"
"horseshoe mountain","3090","10138","1094"
"mount horsey","2980","9777","1095"
"mount hosmer","2506","8223","1321"
"mount howard","2777","9111","472"
"mount howard douglas","2820","9252","473"
"howse peak","3290","10794","474"
"mount huber","3368","11050","1096"
"mount huestis","3063","10050","475"
"hugh allan ridge","2179","7150","1375"
"mount hungabee","3492","11457","1097"
"hungary peak","2332","7650","1541"
"mount hunter (bc)","2615","8580","1098"
"mount hunter (alberta)","2603","8540","476"
"mount hurd","2993","9820","229"
"mount ian monroe","2179","7150","1477"
"icefall peak","3210","10532","230"
"icefall mountain","3221","10568","477"
"mount ida","3180","10434","1418"
"idlewilde mountain","1945","6380","478"
"idol peak","2332","7650","1430"
"mount indefatigable","2670","8760","1080"
"indian peak","2992","9817","1081"
"indian head mountain","2697","8850","174"
"indian lookout","2591","8501","479"
"indian ridge","2752","9029","480"
"mount inflexible","3000","9843","481"
"mount inglismaldie","2964","9725","482"
"mount ingram","2749","9019","1082"
"interpass ridge","2362","7750","1338"
"intersection mountain","2452","8045","483"
"mount invincible","2670","8760","484"
"mount irvine","3060","10040","1083"
"mount isaac","2632","8636","485"
"isabelle peak","2926","9600","486"
"mount ishbel","2908","9541","487"
"isola peak","2494","8183","488"
"isolated peak","2845","9334","1084"
"jackpine mountain","2560","8399","489"
"roche jacques","2603","8540","490"
"mount james walker","3035","9958","491"
"mount jarvis","2179","7150","1447"
"mount jellicoe","3246","10650","492"
"wall of jericho","2910","9548","930"
"mount jerram","2996","9830","493"
"mount jessie","2660","8727","494"
"mount jimmy simpson","2966","9730","495"
"mount jobe","2301","7550","1339"
"mount joffre","3450","11319","496"
"jones peak","2990","9810","1085"
"mount julian","2760","9056","1086"
"jumpingpound mountain","2225","7300","497"
"junction mountain","2682","8800","498"
"jutland mountain","2408","7901","499"
"mount k2","3090","10138","1087"
"mount kahl","3185","10450","1509"
"mount kain","2880","9450","1057"
"kakwa mountain","2295","7531","500"
"mount kane","3090","10138","501"
"kapristo mountain","2722","8930","1390"
"mount karakal","2966","9731","1058"
"kataka mountain","2621","8600","502"
"kaufmann peaks (north)","3094","10150","503"
"kaufmann peaks (south)","3109","10201","504"
"mount keays","2697","8850","1232"
"mount kelsey","2482","8143","505"
"kemmel mountain","3120","10237","1059"
"kenow mountain","2697","8850","1292"
"mount kent","2635","8645","506"
"mount kentigern","3176","10420","507"
"mount kephala","2429","7970","508"
"mount kerkeslin","2984","9791","509"
"mount kerr (alberta)","2560","8399","510"
"mount kerr (bc)","2863","9394","1060"
"mount kidd","2958","9705","511"
"mount kindersley","2697","8850","1542"
"mount king","2892","9489","1061"
"mount king albert","2987","9800","512"
"mount king edward","3490","11451","513"
"king edward peak","2789","9150","1296"
"mount king george","3422","11228","1062"
"mount kinross","2650","8695","514"
"kisano mountain","2301","7550","1464"
"kishinena peak","2436","7993","515"
"kishinena ridge","2789","9150","1295"
"mount kitchener","3505","11500","516"
"kitchi mountain","2851","9352","1443"
"kiwetinok peak","2902","9521","1063"
"klapperhorn mountain","2301","7550","1312"
"mount klauer","2697","8850","1521"
"klingzut mountain","1846","6055","1587"
"knife mountain","2057","6749","517"
"mount knight","2845","9334","518"
"koona mountain","2697","8850","1453"
"mount kuleski","2494","8182","167"
"la clytte mountain","2910","9548","1064"
"la coulotte peak","2438","8000","1281"
"la coulotte ridge","2438","8000","1282"
"la creche mountain","2314","7592","519"
"mount la grace","2822","9259","520"
"labyrinth mountain","2118","6950","522"
"lachine mountain","2620","8596","143"
"mount lady macdonald","2606","8550","1387"
"ladylove mountain","2880","9450","1264"
"lakeview ridge","1945","6382","1488"
"lakit mountain","2545","8350","1181"
"mount lambe","3182","10440","523"
"mount lancaster","3155","10352","1066"
"langemarck mountain","2575","8450","1291"
"mount lapensee","3106","10191","524"
"mount laurie(�y�mnathka)","2240","7349","525"
"mount laussedat","3059","10037","1067"
"mount laut","2408","7901","526"
"mount lawrence grassi","2685","8809","422"
"mount lawson","2795","9170","527"
"leah peak","2801","9190","528"
"leather peak","2457","8061","529"
"lectern peak","2772","9095","530"
"mount lefroy","3423","11231","531"
"mount leman","2730","8957","532"
"lens mountain","3150","10335","1088"
"mount leroy","2970","9745","1089"
"mount leval","2713","8901","533"
"leyland mountain","2545","8350","534"
"lick peak","2877","9439","535"
"lid mountain","2880","9450","1362"
"lighthouse tower","2960","9712","1090"
"lilliput mountain","2908","9541","1091"
"limestone peak","2878","9443","1092"
"limestone mountain (kananaskis)","2180","7153","536"
"limestone mountain (clearwater)","2230","7315","537"
"mount lindsay","2743","9000","538"
"mount lineham","2728","8950","539"
"lion peak","3150","10335","540"
"lioness peak","3100","10171","541"
"lipalian mountain","2710","8892","542"
"mount lipsett","2575","8450","543"
"listening mountain","3149","10332","544"
"mount little","3088","10132","545"
"little alberta","2956","9700","546"
"little cataract peak","3173","10410","1299"
"little hector","3124","10250","290"
"little odaray","2955","9695","1491"
"little sister","2694","8840","881"
"mount livingstone (bc)","3094","10150","1093"
"mount livingstone (alberta)","2422","7948","547"
"llama mountain","2301","7550","548"
"llysfran peak","3141","10306","549"
"loaf mountain","2639","8659","550"
"lockwood peak","2880","9450","1100"
"loder peak","2088","6851","551"
"lone mountain","2423","7950","552"
"lone peak","1813","5950","1327"
"mount longstaff","3180","10434","1101"
"longview mountain","2820","9252","553"
"lookout point","2210","7250","176"
"mount loomis","2822","9259","554"
"mount lorette","2469","8101","555"
"lost mountain","2512","8242","556"
"mount lotosky","2970","9745","1102"
"mount loudon","3221","10568","557"
"mount lougheed","3105","10188","558"
"mount louie","1844","6050","559"
"mount louis","2682","8800","560"
"mount low","3090","10138","561"
"mount lowell","3150","10335","1103"
"lucerne peak","2412","7915","562"
"mount lucifer","3060","10040","563"
"mount lum","2697","8850","1532"
"lunette peak","3398","11150","1104"
"luscar mountain","2606","8550","564"
