"date","preferred_species_name","common name","wra score","wra designation"
"7/2/2009","atractocarpus fitzalanii","randia","3","h (hpwra)"
"7/2/2009","hibiscus sabdariffa","roselle","-3","l"
"7/2/2009","acer rubrum","red maple","8","h (hpwra)"
"7/2/2009","achillea millefolium","common yarrow","19","h (hpwra)"
"7/2/2009","aesculus californica","california buckeye","0","l"
"7/2/2009","allamanda blanchetii","purple allamanda","6","evaluate"
"7/2/2009","alyogyne huegelii","lilac hibiscus","0","l"
"7/2/2009","cestrum elegans","crimson cestrum","18","h (hpwra)"
"7/2/2009","asclepias physocarpa","milkweed","8","h (hpwra)"
"7/2/2009","chenopodium carinatum","tasmanian goosefoot","9","h (hpwra)"
"7/2/2009","azadirachta indica","neem","10","h (hpwra) [updated 2july 2009]"
"7/2/2009","basella alba","malabar spinach","8","h (hpwra)"
"7/2/2009","bidens alba","beggar's-tick","12","h (hpwra)"
"7/2/2009","bidens pilosa","spanish needle","23","h (hpwra)"
"7/2/2009","boesenbergia rotunda","chinese-keys","0","l"
"7/2/2009","brunfelsia densifolia","serpentine hill raintree","-4","l"
"7/2/2009","ambrosia psilostachya","western ragweed","15","h (hpwra)"
"7/2/2009","crateva religiosa","spider tree","0","l"
"7/2/2009","euphorbia cyathophora","fire-on-the-mountain","7","h (hpwra)"
"7/2/2009","escallonia rubra var. macrantha","redclaws","4","evaluate"
"7/2/2009","erica lusitanica","spanish heath","20.5","h (hpwra)"
"7/2/2009","erblichia odorata","butterfly tree","0","l"
"7/2/2009","elaeocarpus hainanensis","hainan elaeocarpus","1","evaluate"
"7/2/2009","derris elliptica","tubaroot","7","h (hpwra)"
"7/2/2009","bryophyllum tubiflorum","chandelier plant","9","h (hpwra)"
"7/2/2009","cuphea subuligera","mauve cuphea","1","l"
"7/2/2009","sorghum bicolor ssp. drummondii","shattercane","17.5","h (hpwra)"
"7/2/2009","coccothrinax barbadensis","puerto rico silver palm","2","evaluate"
"7/2/2009","clerodendrum glabrum","natal glorybower","-1","l"
"7/2/2009","cissus repens","cissus","7","h (hpwra)"
"7/2/2009","cirsium vulgare","bull thistle","18.5","h (hpwra)"
"7/2/2009","chrysopogon zizanioides (fertile)","vetiver grass wild type","9","h (hpwra)"
"7/2/2009","chrysanthemum cinerariifolium","pyrethrum","3","evaluate"
"7/2/2009","curcuma zedoaria","rose turmeric","-3","l"
"4/28/2009","parkia speciosa","petai","-3","l"
"4/28/2009","episcia dianthiflora","lace flower vine","-2","l"
"4/28/2009","guzmania lindenii","guzmania","7","h (hpwra)"
"4/28/2009","thevetia thevetioides","giant thevetia","1","l"
"4/28/2009","hedera algeriensis","algerian ivy","4","h (hpwra)"
"4/28/2009","tabernaemontana elegans","warty toad tree","-1","l"
"4/28/2009","syngonium auritum","five-fingers","1","l"
"4/28/2009","strophanthus amboensis","elephant vine","2","evaluate"
"4/28/2009","stromanthe macrochlamys","stromanthe","0","l"
"4/28/2009","ixora chinensis","chinese ixora","-2","l"
"4/28/2009","lophospermum erubescens","creeping gloxinia","5","l"
"4/28/2009","strelitzia nicolai","bird-of-paradise-tree","-1","l"
"4/28/2009","nicotiana glauca","tree tobacco","15","h (hpwra)"
"4/28/2009","elaeis guineensis","african oil palm","10","h (hpwra)"
"4/28/2009","pongamia pinnata","indian beech","9","h (hpwra)"
"4/28/2009","passiflora tarminiana","banana poka","24","h (hawai`i)"
"4/28/2009","paulownia elongata","paulownia","-1","l"
"4/28/2009","phoenix dactylifera","date palm","10","h (hpwra)"
"4/28/2009","serianthes kanehirae","ukall","-5","l"
"4/28/2009","ruttya fruticosa","rabbit ears","1","evaluate"
"4/28/2009","sabal mauritiiformis","savannah palm","-2","l"
"4/28/2009","salsola kali","tumbleweed","18.5","h (hpwra)"
"4/28/2009","senecio mandraliscae","blue finger","-3","l"
"4/28/2009","senna spectabilis","spectacular cassia","11","h (hpwra)"
"4/28/2009","macadamia integrifolia","macadamia","-1","l"
"4/28/2009","alluaudia procera","madagascar ocotillo","-7","l"
"4/28/2009","erythrina sigmoidea","none","6","evaluate"
"4/28/2009","eucalyptus urophylla","timor mountain gum","4","l"
"4/28/2009","koelreuteria elegans","chinese flame tree","8","h (hpwra) [revised]"
"4/28/2009","eucalyptus yarraensis","yarra gum","1","l"
"4/28/2009","excoecaria indica","mock willow","1","evaluate"
"4/28/2009","foeniculum vulgare","fennel","19","h (hpwra)"
"4/28/2009","frangula californica ssp. californica","coffeeberry","5","h (hpwra)"
"4/28/2009","godmania aesculifolia","cachillo","-3","l"
"4/28/2009","griffonia simplicifolia","griffonia","0","l"
"4/28/2009","thymus vulgaris","thyme","4","l"
"4/28/2009","allium sativum","garlic","-4","l"
"4/28/2009","dolichandrone spathacea","mangrove trumpet-tree","-5","l"
"4/28/2009","balaka longirostris","mbalaka","0","l"
"4/28/2009","bothriochloa bladhii","caucasian bluestem","19","h (hpwra)"
"4/28/2009","callicarpa japonica","japanese beautyberry","5","evaluate"
"4/28/2009","calotropis gigantea","crownplant","15","h (hpwra)"
"4/28/2009","cannabis sativa","marijuana","8.5","h (hpwra)"
"4/28/2009","centaurea melitensis","yellow star thistle","18","h (hpwra)"
"4/28/2009","chamaesyce albomarginata","rattle snake weed","3","l"
"4/28/2009","cleistocactus baumannii","firecracker cactus","-4","l"
"4/28/2009","colpothrinax wrightii","barrel palm","-2","l"
"4/28/2009","cyamopsis tetragonoloba","cluster bean","-11","l"
"4/28/2009","davallia fejeensis","lacy hare�s-foot fern","6","l"
"11/23/2008","prunus cerasifera","cherry plum","8","h (hpwra)"
"11/23/2008","andropogon glomeratus","bushy bluestem","14","h (hpwra)"
"11/23/2008","acacia holosericea","candelabra wattle","4","evaluate"
"11/23/2008","odontonema cuspidatum","firespike","7","h (hpwra)[revised]"
"11/23/2008","melaleuca nesophila","mauve honey-myrtle","8","h (hpwra)"
"11/23/2008","rauvolfia vomitoria","poison devil's pepper","11","h (hpwra)"
"11/23/2008","senna bicapsularis","christmasbush","8","h (hpwra)"
"11/23/2008","solanum capsicoides","cockroach berry","15","h (hpwra)"
"11/23/2008","stenocarpus sinuatus","wheel-of-fire","-4","l (hpwra)"
"11/23/2008","tetrastigma pubinerve","tetrastigma","8","h (hpwra)"
"11/23/2008","tetrastigma voinierianum","lizard plant","8","h (hpwra)"
"11/23/2008","thunbergia laurifolia","blue trumpet vine","11","h (hpwra)"
"11/23/2008","typha latifolia","common cattail","26","h (hpwra)"
"11/23/2008","wallaceodendron celebicum","banuyo","0","l (hpwra)"
"11/23/2008","zantedeschia aethiopica","calla lily","15","h (hpwra)"
"11/23/2008","haematoxylum campechianum","logwood","8","h (hpwra)[revised]"
"11/23/2008","elaeocarpus angustifolius","blue marble tree","4","evaluate"
"11/23/2008","hygrophila polysperma","east indian swampweed","20","h (hpwra)"
"11/23/2008","melaleuca styphelioides","prickly-leaf teatree","-2","l (hpwra)"
"11/23/2008","haplophragma adenophyllum","karenwood","0","l (hpwra)"
"11/23/2008","carallia brachiata","corkwood","3","evaluate"
"11/23/2008","carmona retusa","fukien tea","4","evaluate"
"11/23/2008","cecropia obtusifolia","trumpet-tree","10","h (hpwra)"
"11/23/2008","clerodendrum macrostegium","velvetleaf glorybower","8","h (hpwra)"
"11/23/2008","passiflora quadrangularis","giant granadilla","11","h (hpwra)"
"11/23/2008","eleusine coracana","finger millet","2","evaluate"
"11/23/2008","bambusa lako","timor black bamboo","-1","l (hpwra)"
"11/23/2008","laccospadix australasica","atherton palm","1","evaluate"
"11/23/2008","macaranga mappa","bingabing","11","h (hawai'i)"
"11/23/2008","malpighia glabra","wild crapemyrtle","-5","l (hpwra)"
"11/23/2008","melaleuca leucadendra","broadleaved paperback","-1","l (hpwra)"
"11/23/2008","digitalis purpurea","foxglove","7.5","h (hpwra)"
"8/14/2008","agrostis stolonifera","carpet bentgrass","19","h (hpwra)"
"8/14/2008","helianthus annuus","sunflower","10.5","h (hpwra)"
"8/14/2008","asparagus falcatus","sicklethorn","11","h (hpwra)"
"8/14/2008","linum usitatissimum","flax","9.5","h (hpwra)"
"8/14/2008","cissus nodosa","javanese treebine","8","h (hpwra)"
"8/14/2008","cocos nucifera","coconut palm","-4","l"
"8/14/2008","gymnostoma papuanum","gymnostoma","0","l"
"8/14/2008","erythrina abyssinica","erythrina","5","l"
"8/14/2008","lavatera maritima","tree mallow","-6","l"
"8/14/2008","polypogon monspeliensis","rabbitfoot grass","18","h (hpwra)"
"8/14/2008","ricinus communis","castorbean","21","h (hpwra)"
"8/14/2008","brassica napus","turnip","16","h (hpwra)"
"8/14/2008","anthoxanthum odoratum","sweet vernalgrass","11","h (hpwra)"
"8/14/2008","calotropis procera","small crownflower","15","h (hpwra)"
"8/14/2008","ipomoea quamoclit","cypress vine","14","h (hpwra)"
"7/3/2008","carex muskingumensis","muskingum sedge","8","h (hpwra)"
"7/3/2008","ardisia crenata","coral ardisia","10","h (hpwra) [revised 07/03/08]"
"7/3/2008","angiopteris evecta","giant fern","8","h (hpwra) [revised 07/03/08]"
"7/3/2008","casuarina equisetifolia","iron wood","21","h (hpwra) [revised 07/03/08]"
"7/3/2008","costus woodsonii","indian-head ginger","11","h (hpwra)"
"7/3/2008","casuarina glauca","gray sheoak","20","h (hpwra)"
"7/3/2008","buddleja asiatica","asian butterfly bush","9","h (hpwra)"
"7/3/2008","agapanthus praecox","common agapanthus","12","h (hpwra)"
"7/3/2008","pueraria montana var. lobata","kudzu vine","24","h (hpwra)"
"7/3/2008","pilea nummulariifolia","creeping charlie","0","l"
"7/3/2008","pennisetum villosum","feathertop","24","h (hpwra)"
"7/3/2008","nassella tenuissima","mexican feather grass","24","h (hpwra)"
"7/3/2008","medinilla scortechinii","medinilla","5","evaluate"
"7/3/2008","caesalpinia ferrea","brazilian ironwood","-3","l"
"7/3/2008","luzula nivea","snowy wood rush","4","l"
"7/3/2008","agapanthus africanus","lily of the nile","2.5","l"
"7/3/2008","chasmanthium latifolium","northern sea oats","8.5","h (hpwra)"
"7/3/2008","lagurus ovatus","hare's tail grass","7","h (hpwra)"
"7/3/2008","podocarpus chinensis","maki","-4","l"
"7/3/2008","ailanthus altissima","tree of heaven","21","h (hpwra)"
"7/3/2008","alpinia zerumbet","shell ginger","10","h (hpwra)"
"7/3/2008","bouteloua aristidoides","needle grama","9","h"
"7/3/2008","cardiospermum grandiflorum","showy balloonvine","18","h (hpwra)"
"7/3/2008","heliocarpus popayanensis","moho","7","h (hpwra)"
"7/3/2008","luzula sylvactica","greater woodrush","7","h (hpwra)"
"5/12/2008","panicum virgatum","switchgrass","11","h (hpwra)"
"5/12/2008","medinilla magnifica","malaysian orchid","8","h (hpwra) [revised 5/12/08]"
"5/12/2008","pennisetum petiolare","petioled fountaingrass","7","h (hpwra)"
"5/12/2008","allamanda cathartica","golden trumpet allamanda","8","h (hpwra)"
"5/12/2008","hedera helix","english ivy","10","h (hpwra)"
"5/12/2008","fraxinus uhdei","tropical ash","11","h (hpwra) [revised 5/12/08]"
"5/12/2008","episcia cupreata","flame violet","3","l"
"5/12/2008","alstonia macrophylla","deviltree","9","h (hpwra)"
"5/12/2008","aristolochia ringens","gaping dutchman's pipe","4","evaluate"
"5/12/2008","bambusa textilis","weaver's bamboo","-3","l"
"5/12/2008","bauhinia hookeri","white bauhinia","-4","l"
"5/12/2008","ilex paraguariensis","yerba mate","8","h (hpwra)"
"5/12/2008","canna indica","african arrowroot","17","h (hpwra)"
"5/12/2008","pittosporum resiniferum","petroleum nut","6","evaluate"
"5/12/2008","eragrostis elliottii","blue lovegrass","12","h (hpwra)"
"5/12/2008","euphorbia lathyris","petroleum plant","9","h (hpwra)"
"5/12/2008","mimusops caffra","coastal red milkwood","-1","l"
"5/12/2008","calathea majestica","","-1","l"
"5/12/2008","medinilla heterophylla","","9","h (hpwra)"
"5/12/2008","majidea zanguebarica","black pearl tree","-2","l"
"5/12/2008","ochna serrulata","mickey mouse plant","11","h (hpwra)"
"5/12/2008","schizostachyum brachycladum","sacred bali bamboo","-1","l"
"5/12/2008","tabebuia berteroi","hispaniolan rosy trumpet tree","-4","l"
"5/12/2008","melica transsilvanica","red spire","7","h (hpwra)"
"5/12/2008","hamelia patens","firebush","7","h (hpwra)"
"5/12/2008","wollastonia biflora","wedelia","0","l"
"4/3/2008","simmondsia chinensis","jojoba","-3","l"
"4/3/2008","otatea aztecorum","mexican weeping bamboo","4","l"
"4/3/2008","ochna thomasiana","mickey-mouse bush","8","h (hpwra)"
"4/3/2008","nastus elatus","new guinea edible bamboo","2","l"
"4/3/2008","copaifera langsdorffii","diesel tree","4","evaluate"
"4/3/2008","bambusa glaucophylla","malay dwarf bamboo","-3","l"
"4/3/2008","bambusa chungii","emporer's blue bamboo","-1","l"
"4/3/2008","triadica sebifera","chinese tallow","14","h (hpwra)"
"1/24/2008","ilex dimorphophylla","okinawan holly","2","l"
"1/24/2008","gaura lindheimeri","gaura","6","l"
"1/24/2008","fagopyrum esculentum","buckwheat","-6","l"
"1/24/2008","gmelina arborea","gmelina","2","l"
"1/24/2008","medinilla cummingii","chandelier tree","6","evaluate"
"1/24/2008","imperata cylindrica","cogon grass","22","h (hpwra)"
"1/24/2008","myoporum laetum","ngaio","6","evaluate"
"1/24/2008","phytolacca dioica","ombu","9","h (hpwra)"
"1/24/2008","plectranthus prostratus","pillow plant","5","l"
"1/24/2008","solanum muricatum","melon pear","5","l"
"1/24/2008","mimosa tenuiflora","jurema","7","h (hpwra)"
"1/22/2008","archontophoenix alexandrae","alexandra palm","8","h (hpwra) [revised 1/22/08]"
"1/22/2008","cestrum nocturnum","night-blooming jasmine","17","h (hpwra)"
"1/22/2008","camellia sinensis","tea","-4","l"
"1/22/2008","bunchosia argentea","peanut butter fruit","-3","l"
"1/22/2008","beccariophoenix madagascariensis","window palm","-7","l"
"1/22/2008","bambusa oldhamii","oldham's bamboo","1","evaluate"
"1/22/2008","aphelandra aurantiaca","fiery spike","-2","l"
"1/22/2008","archontophoenix cunninghamiana","king palm","6","evaluate [revised 1/22/08]"
"1/22/2008","citrus sinensis","sweet orange","-2","l"
"1/22/2008","metrosideros kermadecensis","kermadec pohutukawa","3","evaluate"
"1/22/2008","archontophoenix tuckeri","peach creek palm","4","evaluate"
"1/22/2008","echinochloa esculenta","japanese millet","8","h (hpwra)"
"1/22/2008","metrosideros excelsa","new zealand christmas tree","5","evaluate"
"1/22/2008","pereskia aculeata","barbados gooseberry","13","h (hpwra)"
"1/22/2008","pereskia grandifolia","rose cactus","0","l"
"1/22/2008","pereskia lychnidiflora","arbol del matrimonio","-1","l"
"1/22/2008","rosa multiflora","multiflora rose","12","h (hpwra)"
"1/22/2008","saccharum spontaneum","wild sugarcane","17","h (hpwra)"
"1/22/2008","ulmus pumila","siberian elm","9","h (hpwra)"
"1/22/2008","lycium chinense","chinese desert-thorn","8","h (hpwra)"
"3/9/2007","pleiostachya pruinosa","prayer plant","2","l"
"3/9/2007","dolichos lablab","lablab bean","-1","l"
"3/9/2007","costus dubius","costus","8","h (hpwra)"
"3/9/2007","axonopus fissifolius.","carpet grass","16","h (hpwra)"
"3/9/2007","eucalyptus globulus","blue gum","10","h (hpwra)"
"3/9/2007","ficus natalensis","natal fig","1","evaluate"
"3/9/2007","roystonea oleracea","cabbage palm","-3","l"
"3/9/2007","schefflera taiwaniana","umbrella plant","1","evaluate"
"3/9/2007","sequoia sempervirens","california redwood","-4","l"
"3/9/2007","stromanthe tonckat","stromanthe","1","l"
"3/9/2007","chrysopogon zizanioides 'sunshine'","vetiver grass sunshine","-8","l"
"3/9/2007","prunus grisea","amongyang","2","evaluate"
"12/21/2006","tibouchina herbacea","cane tibouchina","24","h (hpwra)"
"12/21/2006","euterpe oleracea","assai","5","evaluate"
"12/21/2006","crotalaria juncea","indian hemp","-3","l"
"12/21/2006","ilex cassine","dahoon holly","3","evaluate"
"12/21/2006","kalanchoe tomentosa","panda plant","4","l"
"12/21/2006","pennisetum glaucum variety 'purple majesty'","ornamental pearl millet","3","l"
"12/21/2006","rubus discolor","himalayan blackberry","24","h (hpwra)"
"12/21/2006","schizachyrium condensatum","bush beardgrass","8","h (hpwra)"
"12/21/2006","tibouchina granulosa","purple glory bush","1","l"
"12/21/2006","tibouchina multiflora","today-tomorrow tibouchina","-4","l"
"12/21/2006","topobea parasitica","topobea","3","h (hpwra)"
"12/21/2006","cissus rotundifolia","venezuelan treebine","9","h (hpwra)"
"12/21/2006","acmella grandiflora","acmella","0","l"
"12/21/2006","terminalia myriocarpa","east indian almond","-2","l"
"11/2/2006","arundo donax","arundo","12","h (hpwra)"
"11/2/2006","dasylirion acrotrichum","green desert spoon","0","l"
"11/2/2006","eucalyptus pellita","red mahogany","3","l"
"11/2/2006","eucalyptus saligna","sydney blue gum","7","h (hpwra)"
"11/2/2006","eucalyptus sideroxylon","black ironbark","2","l"
"11/2/2006","eucalyptus dunnii","dunn's white gum","0","l"
"11/2/2006","eucalyptus torelliana","blood-leaf gum","4","evaluate"
"11/2/2006","eucalyptus cloeziana","queensland messmate","-1","l"
"11/2/2006","euphorbia amygdaloides variety �efanthia�","wood spurge","12","h (hpwra)"
"11/2/2006","dypsis decaryi","triangle palm","-7","l"
"11/2/2006","cupressus lusitanica","mexican cypress","6","l"
"11/2/2006","cortaderia jubata","andean pampas grass","26","h (hpwra)"
"11/2/2006","ceiba pentandra","kapok tree","2","l"
"11/2/2006","cedrela odorata","spanish cedar","2","evaluate"
"11/2/2006","carpentaria acuminata","carpentaria palm","-5","l"
"11/2/2006","bauhinia binata","unknown","-1","l"
"11/2/2006","hibiscus immaculatus","koki'o ke'oke'o","-3","l"
"11/2/2006","acacia mangium","mangium","8","h (hpwra)"
"11/2/2006","acacia stenophylla","shoestring acacia","2","l"
"11/2/2006","afrocarpus falcatus","bastard yellow wood","0","l"
"11/2/2006","albizia guachapele","chime tree","-4","l"
"11/2/2006","aleurites moluccana","kukui","12","h (hpwra)"
"11/2/2006","cortaderia selloana","pampas grass","24","h (hpwra)"
"11/2/2006","bauhinia purpurea","purple bauhinia","7","h (hpwra)"
"11/2/2006","morinda citrifolia","noni","10","h (hpwra)"
"11/2/2006","thespesia populnea","milo","9","h (hpwra)"
"11/2/2006","mangifera indica","mango","1","l"
"11/2/2006","rondeletia amoena","rondeletia","-2","l"
"11/2/2006","mascagnia macroptera","yellow butterfly vine","6","evaluate"
"11/2/2006","mecardonia procumbens 'goldflake'","baby jump-up","7","h (hpwra)"
"11/2/2006","santalum album","indian sandalwood","-3","l"
"11/2/2006","rubus rosifolius","thimbleberry","10","h (hpwra)"
"11/2/2006","pandanus pygmaeus","small screwpine","0","l"
"11/2/2006","pseuderanthemum graciliflorum","blue crossandra","1","l"
"11/2/2006","sesbania sesban","egyptian riverhemp","11","h (hpwra)"
"11/2/2006","oxera pulchella","royal vine","-1","l"
"11/2/2006","melaleuca incana var. prostrata","prostrate gray honey myrtle","0","l"
"11/2/2006","tecoma alata","cahuato","-3","l"
"11/2/2006","salicornia virginica","virginia pickleweed","4","l"
"11/2/2006","polyalthia longifolia var pendula","mast tree","-4","l"
"11/2/2006","pritchardia thurstonii","thurstons fan palm","-4","l"
"11/2/2006","syzygium malaccense","mountain apple","0","l"
"11/2/2006","tabebuia aurea","silver trumpet tree","3","l"
"11/2/2006","hymenea courbaril","west indian locust","0","l"
"11/2/2006","tabebuia rosea","rosie trumpet tree","3","evaluate"
"11/2/2006","tabebuia impetiginosa","mauve tabebuia","-2","l"
"11/2/2006","microsorum musifolium","crocodile fern","5","l"
"11/2/2006","hibiscus insularis","philip island hibiscus","-3","l"
"11/2/2006","macroptilium bracteatum","burgundy bean","-1","l"
"11/2/2006","lysimachia fortunei  variety super snow","lysimachia","8","h (hpwra)"
"11/2/2006","piper methysticum","kava","-4","l"
"11/2/2006","wodyetia bifurcata","foxtail palm","0","l"
"11/2/2006","rubus ellipticus","yellow himalayan raspberry","18","h (hpwra)"
"11/2/2006","jatropha curcas","physicnut","17","h (hpwra)"
"11/2/2006","khaya nyasica","east african mahogany","-1","l"
"11/2/2006","kopsia fruticosa","shrub vinca","-6","l"
"11/2/2006","lomandra longifolia 'tanika'","fine leaf lomandra","1","l"
"11/2/2006","kopsia singapurensis","singapore kopsia","-4","l"
"11/2/2006","lophospermum scandens","twining snapdragon","-2","l"
"6/27/2005","heliconia psittacorum","parrot's beak","11","h (hpwra)"
"6/27/2005","falcataria moluccana","albizia","8","h (hpwra)"
"6/27/2005","liriope spicata","creeping lilyturf","7.5","h (hpwra)"
"6/27/2005","musa balbisiana","japanese fiber banana","-2","l"
"6/27/2005","corymbia citriodora","lemon-scented gum","9","h (hpwra)"
"6/27/2005","eucalyptus paniculata","grey ironbark","11","h (hpwra)"
"6/27/2005","ixora coccinea","jungle flame","4","evaluate"
"6/27/2005","alocasia cucullata","dwarf elephant ear","9","h (hpwra)"
"6/27/2005","eucalyptus grandis","rose gum","11","h (hpwra)"
"6/27/2005","gazania rigens var. leucolaena","trailing gazania","9","h (hpwra)"
"6/27/2005","zizyphus mauritiana","indian jujube","9.5","h (hpwra)"
"6/15/2005","dianella caerulea","cerulean flaxlily","5","evaluate"
"6/15/2005","cymbopogon citratus","lemongrass","-2","l"
"6/15/2005","pachystachys lutea","yellow shrimp plant","-4","l"
"6/15/2005","cordia lutea","yellow geiger","-6","l"
"6/15/2005","dasylirion quadrangulatum","mexican grass tree","-4","l"
"6/8/2005","holmskioldia tettensis","purple chinese hatplant","-5","l"
"6/8/2005","dianella revoluta","spreading flax lily","2","l"
"6/8/2005","saccharum officinarum","sugar cane","-2","l"
"6/8/2005","beaumontia grandiflora","easter-lily-vine","-6","l"
"6/8/2005","strophanthus preussii","climbing oleander","0","l"
"6/8/2005","leucospermum bolusii","gordon's bay pincushion","-4","l"
"6/8/2005","lagerstroemia indica l. x l. fauriei","crepe myrtle hybrid","4","l"
"6/8/2005","dianella tasmanica","tasman flax lily","0","l"
"5/17/2005","trachelospermum jasminoides","confederate jasmine","-3","l"
"5/17/2005","thunbergia mysorensis","mysore clock vine","-6","l"
"5/17/2005","cyrtostachys renda","sealing wax palm","1","evaluate"
"5/17/2005","podranea ricasoliana","pink trumpet vine","3","evaluate"
"5/17/2005","copernicia prunifera","carnauba wax palm","0","l"
"5/17/2005","strongylodon macrobotrys","jade vine","-9","l"
"5/17/2005","stigmaphyllon floribundum","woolly amazonvine","-6","l"
"5/17/2005","aechmea fasciata","urn plant","2","l"
"5/17/2005","aechmea blanchetiana","orange blanchetiana","0","l"
"5/17/2005","caryota mitis","fishtail palm","1","evaluate"
"5/17/2005","tristellateia australasiae","galphimia vine","-3","l"
"5/17/2005","poranopsis paniculata","bridal bouquet","-5","l"
"12/3/2004","sansevieria trifasciata","mother-in-law's tongue","9","h (hpwra)"
"12/3/2004","heliconia stricta","small lobster claw","6","l"
"12/3/2004","tillandsia cyanea","pink quill","-5","l"
"12/3/2004","senecio cineraria","dusty miller","2","l"
"12/3/2004","acoelorraphe wrightii","everglades palm","2","evaluate"
"12/3/2004","serissa japonica","serissa","-10","l"
"12/3/2004","albizia chinensis","chinese albizia","8","h (hpwra)"
"12/3/2004","cycas revoluta","king sago","-2","l"
"12/3/2004","cyathea cooperi","australian tree fern","8","h (hawai�i)"
"12/3/2004","thunbergia grandiflora","blue trumpet vine","11","h (hpwra)"
"12/3/2004","hiptage benghalensis","hiptage","8","h (hpwra)"
"12/3/2004","asparagus setaceus","common asparagus fern","13","h (hpwra)"
"12/3/2004","lespedeza cuneata","chinese lespedeza","17","h (hpwra)"
"12/3/2004","bismarckia nobilis","bismarck palm","-7","l"
"12/3/2004","brahea armata","blue hesper palm","3","l"
"12/3/2004","turnera ulmifolia","yellow alder","10","h (hpwra)"
"12/3/2004","otacanthus caeruleus","brazilian snapdragon","-4","l"
"12/3/2004","cissus discolor","rex begonia vine","1","evaluate"
"12/3/2004","mandevilla � amabilis","pink allamanda hybrid","-11","l"
"8/27/2004","rhododendron indicum","evergreen azalea","4","l (hawai�i)"
"8/27/2004","ravenala madagascariensis","traveller's palm","5","l (hawai�i)"
"8/27/2004","nerium oleander","oleander","6","l (hawai�i)"
"8/27/2004","bauhinia variegata","mountain ebony","9","l (hawai�i)"
"8/27/2004","tecoma capensis","cape honeysuckle","6","l (hawai�i)"
"8/27/2004","chlorophytum comosum","spiderplant","8","l (hawai�i)"
"8/27/2004","pterocarpus indicus","burmese rosewood","4","l (hawai�i)"
"8/27/2004","dypsis lutescens","areca  palm","2","l (hawai�i)"
"8/27/2004","eremochloa ophiuroides","centipede grass","8","l (hawai�i)"
"8/27/2004","etlingera elatior","torch ginger","1","l (hawai�i)"
"8/12/2004","pentalinon luteum","wild allamanda","9","h (hpwra)"
"8/12/2004","cryptostegia madagascariensis","madagascar rubber vine","13","h (hpwra)"
"8/12/2004","philodendron scandens","heart-leaf philodendron","-3","l"
"8/12/2004","ficus pumila","creeping fig","2","l"
"8/12/2004","passiflora vitifolia","crimson passion flower","-1","l"
"8/12/2004","lonicera xheckrottii","goldflame honeysuckle","-5","l"
"8/12/2004","mansoa hymenaea","membranous garlic vine","0","l"
"8/12/2004","beaumontia multiflora","herald's trumpet","-4","l"
"8/12/2004","clitoria ternatea","butterfly pea","9","h (hpwra)"
"8/12/2004","mansoa alliaceum","garlic vine","0","l"
"8/12/2004","dieffenbachia seguine (outdoors)","dumbcane","7","h (hpwra)"
"8/12/2004","dichorisandra thyrsiflora","blue ginger","1","l"
"8/12/2004","ipomoea horsfalliae","kuhio vine","1","l"
