"university name","university&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; location","university             type"
"east tennessee state university","johnson city (tn)","public"
"eastern kentucky university","richmond (ky)","public"
"eastern mennonite university","harrisonburg (va)","private"
"eastern michigan university","ypsilanti (mi)","public"
"eastern washington university","cheney (wa)","public"
"edgewood college","madison (wi)","private"
"edinboro university","edinboro (pa)","public"
"elms college","chicopee (ma)","private"
"emory university","atlanta (ga)","private"
"excelsior college","albany (ny)","private"
"fairfield university","fairfield (ct)","private"
"fairleigh dickinson university","teaneck (nj)","private"
"fayetteville state university","fayetteville (nc)","public"
"felician college","lodi (nj)","private"
"fitchburg state college","fitchburg (ma)","public"
"florida a&amp;m university","tallahassee (fl)","public"
"florida atlantic university","boca raton (fl)","public"
"florida gulf coast university","fort myers (fl)","public"
"florida international university","miami (fl)","public"
"florida state university","tallahassee (fl)","public"
"fort hays state university","hays (ks)","public"
"gardner-webb university","boiling springs (nc)","private"
"george mason university","fairfax (va)","public"
"georgetown university","washington d.c.","private"
"georgia college &amp; state university","milledgeville (ga)","public"
"georgia southern university","statesboro (ga)","public"
"georgia state university","atlanta (ga)","public"
"gonzaga university","spokane (wa)","private"
"governors state university","university park (il)","public"
"grambling state university","grambling (la)","public"
"grand valley state university","allendale (mi)","public"
"gwynedd-mercy college","gwynedd valley (pa)","private"
"hampton university","hampton (va)","private"
"harding university","searcy (ar)","private"
"hardin-simmons university","abilene (tx)","private"
"hawaii pacific university","honolulu (hi)","private"
"holy family university","philadelphia (pa)","private"
"hope college","holland (mi)","private"
"houston baptist university","houston (tx)","private"
"howard university","washington d.c.","private"
"humboldt state university","arcata (ca)","public"
"hunter college","new york (ny)","public"
"husson college","bangor (me)","private"
"idaho state university","pocatello (id)","public"
"illinois state university","normal (il)","public"
"indiana state university","terre haute (in)","public"
"indiana university","bloomington (in)","public"
"indiana university - purdue university fort wayne","fort wayne (in)","public"
"indiana university - purdue university indianapolis","indianapolis (in)","public"
"indiana university east","richmond (in)","public"
"indiana university kokomo","kokomo (in)","public"
"indiana university northwest","gary (in)","public"
"indiana university of pennsylvania","indiana (pa)","public"
"indiana university south bend","south bend (in)","public"
"indiana university southeast","new albany (in)","public"
"indiana wesleyan university","indiana (in)","private"
"jacksonville state university","jacksonville (al)","public"
"james madison university","harrisonburg (va)","public"
"johns hopkins university","baltimore (md)","private"
"kean university","union (nj)","public"
"kennesaw state university","kennesaw (ga)","public"
"kent state university","kent (oh)","public"
"kentucky christian college","grayson (ky)","private"
"kentucky state university","frankfort (ky)","public"
"keuka college","penn yan (ny)","private"
"la salle university","philadelphia (pa)","private"
"lamar university","beaumont (tx)","public"
"lehman college","bronx (ny)","public"
"lewis university","romeoville (il)","private"
"lewis-clark state college","lewiston (id)","public"
"liberty university","lynchburg (va)","private"
"loma linda university","loma linda (ca)","private"
"long island university","brookville (ny)","private"
"louisiana college","pineville (la)","private"
"louisiana state university health sciences center - new orleans","new orleans (la)","public"
"lourdes college","sylvania (oh)","private"
"loyola university chicago","chicago (il)","private"
"loyola university new orleans","new orleans (la)","private"
"lynchburg college","lynchburg (va)","private"
"macmurray college","jacksonville (il)","private"
"madonna university","livonia (mi)","private"
"malone college","canton (oh)","private"
"mansfield university","mansfield (pa)","public"
"marquette university","milwaukee (wi)","private"
"marshall university","huntington (wv)","public"
"marymount university","arlington (va)","private"
"maryville university","saint louis (mo)","private"
"marywood university","scranton (pa)","private"
"mcneese state university","lake charles (la)","public"
"medical college of georgia","augusta (ga)","public"
"medical college of ohio","toledo (oh)","public"
"medical university of south carolina","charleston (sc)","public"
"mercer university","macon (ga)","private"
"mercy college","dobbs ferry (ny)","private"
"messiah college","grantham (pa)","private"
"metropolitan state college of denver","denver (co)","public"
"metropolitan state university","saint paul (mn)","public"
"mgh institute of health professions","boston (ma)","private"
"michigan state university","east lansing (mi)","public"
"middle tennessee state university","murfreesboro (tn)","public"
"midwestern state university","wichita falls (tx)","public"
"millersville university","millersville (pa)","public"
"minnesota state university - mankato","mankato (mn)","public"
"minnesota state university - moorhead","moorhead (mn)","public"
"minot state university","minot (nd)","public"
"mississippi college","clinton (ms)","private"
"mississippi university for women","columbus (ms)","public"
"molloy college","rockville centre (ny)","private"
"monmouth university","west long branch (nj)","private"
"montana state university - bozeman","bozeman (mt)","public"
"morehead state university","morehead (ky)","public"
"mount carmel college of nursing","columbus (oh)","private"
"mount marty college","yankton (sd)","private"
"mount mary college","milwaukee (wi)","private"
"mount saint mary college","newburgh (ny)","private"
"murray state university","murray (ky)","public"
"national university","san diego (ca)","private"
"nazareth college","rochester (ny)","private"
"nebraska methodist college","omaha (ne)","private"
"nebraska wesleyan university","lincoln (ne)","private"
"neumann college","aston (pa)","private"
"new jersey city university","jersey city (nj)","public"
"new mexico state university","las cruces (nm)","public"
"newman university","wichita (ks)","private"
"niagara university","niagara university (ny)","private"
"north carolina a&amp;t state university","greensboro (nc)","public"
"north carolina central university","durham (nc)","public"
"north dakota state university","fargo (nd)","public"
"north georgia college &amp; state university","dahlonega (ga)","public"
"north park university","chicago (il)","private"
"northeastern state university","tahlequah (ok)","public"
"northeastern university","boston (ma)","private"
"northern arizona university","flagstaff (az)","public"
"northern illinois university","de kalb (il)","public"
"northern kentucky university","highland heights (ky)","public"
"northern michigan university","marquette (mi)","public"
"northwest nazarene university idaho","nampa (id)","private"
"northwestern state university","natchitoches (la)","public"
"nova southeastern university","fort lauderdale (fl)","private"
"oakland university","rochester (mi)","public"
"oakwood college","huntsville (al)","private"
"ohio state university the","columbus (oh)","public"
"ohio university","athens (oh)","public"
"oklahoma baptist university","shawnee (ok)","private"
"oklahoma city university","oklahoma city (ok)","private"
"old dominion university","norfolk (va)","public"
"olivet nazarene university","bourbonnais (il)","private"
"oregon health &amp; science university","portland (or)","public"
"otterbein college","westerville (oh)","private"
"pace university","new york (ny)","private"
"pacific lutheran university","tacoma (wa)","private"
"pacific union college","angwin (ca)","private"
"palm beach atlantic university","west palm beach (fl)","private"
"pennsylvania state university","university park (pa)","public"
"pittsburg state university","pittsburg (ks)","public"
"point loma nazarene university","san diego (ca)","private"
"prairie view a&amp;m university","prairie view (tx)","public"
"presentation college","aberdeen (sd)","private"
"purdue university","west lafayette (in)","public"
"queens university of charlotte","charlotte (nc)","private"
"quincy university","quincy (il)","private"
"quinnipiac university","hamden (ct)","private"
"radford university","radford (va)","public"
"regis college","weston (ma)","private"
"rhode island college","providence (ri)","public"
"rivier college","nashua (nh)","private"
"roberts wesleyan college","rochester (ny)","private"
"rush university","chicago (il)","private"
"rutgers university","new brunswick (nj)","public"
"rutgers university - newark","newark (nj)","public"
"sacred heart university","fairfield (ct)","private"
"sage graduate school","troy (ny)","private"
"saginaw valley state university","university center (mi)","public"
"saint ambrose university","davenport (ia)","private"
"saint joseph college","west hartford (ct)","private"
"saint louis university","saint louis (mo)","private"
"saint mary's college","notre dame (in)","private"
"saint olaf college","northfield (mn)","private"
"saint peter's college","jersey city (nj)","private"
"saint xavier university","chicago (il)","private"
"salem state college","salem (ma)","public"
"salisbury university","salisbury (md)","public"
"salve regina university","newport (ri)","private"
"samford university","birmingham (al)","private"
"samuel merritt college","oakland (ca)","private"
"san diego state university","san diego (ca)","public"
"san fransisco state university","san francisco (ca)","public"
"san jose state university","san jose (ca)","public"
"seattle pacific university","seattle (wa)","private"
"seattle university","seattle (wa)","private"
"seton hall university","south orange (nj)","private"
"shenandoah university","winchester (va)","private"
"simmons college","boston (ma)","private"
"slippery rock university","slippery rock (pa)","public"
"sonoma state university","rohnert park (ca)","public"
"south carolina state university","orangeburg (sc)","public"
"south dakota state university","brookings (sd)","public"
"southeast missouri state university","cape girardeau (mo)","public"
"southeastern louisiana university","hammond (la)","public"
"southern adventist university","collegedale (tn)","private"
"southern arkansas university","magnolia (ar)","public"
"southern connecticut state university","new haven (ct)","public"
"southern illinois university - edwardsville","edwardsville (il)","public"
"southern university - baton rouge","baton rouge (la)","public"
"southwest missouri state university","springfield (mo)","public"
"southwestern adventist university","keene (tx)","private"
"southwestern oklahoma state university","weatherford (ok)","public"
"spalding university","louisville (ky)","private"
"st. cloud state university","saint cloud (mn)","public"
"st. john fisher college","rochester (ny)","private"
"state university of west georgia","carrollton (ga)","public"
"stephen f. austin state university","nacogdoches (tx)","public"
"stony brook university","stony brook (ny)","public"
"suny - new paltz","new paltz (ny)","public"
"suny - plattsburgh","plattsburgh (ny)","public"
"suny downstate medical center","brooklyn (ny)","public"
"suny upstate medical university","syracuse (ny)","public"
"syracuse university","syracuse (ny)","private"
"tarleton state university","stephenville (tx)","public"
"temple university","philadelphia (pa)","public"
"tennessee state university","nashville (tn)","public"
"texas a&amp;m international university","laredo (tx)","public"
"texas a&amp;m university-corpus christi","corpus christi (tx)","public"
"texas a&amp;m university-texarkana","texarkana (tx)","public"
"texas christian university","fort worth (tx)","private"
"texas tech university hsc - lubbock","lubbock (tx)","public"
"texas woman's university","denton (tx)","public"
"thomas jefferson university","philadelphia (pa)","private"
"towson university","towson (md)","public"
"trinity christian college","palos heights (il)","private"
"troy state university","troy (al)","public"
"tuskegee university","tuskegee (al)","private"
"uniformed services university of the health sciences","bethesda (md)","public"
"union university","jackson (tn)","private"
"university at buffalo","buffalo (ny)","public"
"university of akron the","akron (oh)","public"
"university of alabama - birmingham","birmingham (al)","public"
"university of alabama - huntsville","huntsville (al)","public"
"university of alabama - tuscaloosa","tuscaloosa (al)","public"
"university of alaska anchorage","anchorage (ak)","public"
"university of arizona","tucson (az)","public"
"university of arkansas - fayetteville","fayetteville (ar)","public"
"university of arkansas - little rock","little rock (ar)","public"
"university of arkansas - monticello","monticello (ar)","public"
"university of arkansas for medical sciences","little rock (ar)","public"
"university of california - los angeles","los angeles (ca)","public"
"university of california - san francisco","san francisco (ca)","public"
"university of central arkansas","conway (ar)","public"
"university of central florida","orlando (fl)","public"
"university of central oklahoma","edmond (ok)","public"
"university of cincinnati","cincinnati (oh)","public"
"university of colorado - colorado springs","colorado springs (co)","public"
"university of colorado health sciences center","denver (co)","public"
"university of connecticut","storrs (ct)","public"
"university of delaware","newark (de)","public"
"university of detroit mercy","detroit (mi)","private"
"university of evansville","evansville (in)","private"
"university of florida","gainesville (fl)","public"
"university of hartford","west hartford (ct)","private"
"university of hawaii - manoa","honolulu (hi)","public"
"university of illinois - chicago","chicago (il)","public"
"university of indianapolis","indianapolis (in)","private"
"university of iowa","iowa city (ia)","public"
"university of kansas medical center","kansas city (ks)","public"
"university of kentucky","lexington (ky)","public"
"university of louisiana - lafayette","lafayette (la)","public"
"university of louisiana - monroe","monroe (la)","public"
"university of louisville","louisville (ky)","public"
"university of maine","orono (me)","public"
"university of mary","bismarck (nd)","private"
"university of maryland - baltimore","baltimore (md)","public"
"university of massachusetts - amherst","amherst (ma)","public"
"university of massachusetts - boston","boston (ma)","public"
"university of massachusetts - dartmouth","north dartmouth (ma)","public"
"university of massachusetts - lowell","lowell (ma)","public"
"university of massachusetts medical school","worcester (ma)","public"
"university of medicine &amp; dentistry of new jersey","newark (nj)","public"
"university of memphis","memphis (tn)","public"
"university of miami","coral gables (fl)","private"
"university of michigan - ann arbor","ann arbor (mi)","public"
"university of michigan - flint","flint (mi)","public"
"university of minnesota - twincities","minneapolis (mn)","public"
"university of mississippi medical center","jackson (ms)","public"
"university of missouri - columbia","columbia (mo)","public"
"university of missouri - kansas city","kansas city (mo)","public"
"university of missouri - st. louis","saint louis (mo)","public"
"university of mobile","mobile (al)","private"
"university of nebraska medical center","omaha (ne)","public"
"university of nevada las vegas","las vegas (nv)","public"
"university of nevada reno","reno (nv)","public"
"university of new england","biddeford (me)","private"
"university of new hampshire","durham (nh)","public"
"university of new mexico","albuquerque (nm)","public"
"university of north alabama","florence (al)","public"
"university of north carolina - chapel hill","chapel hill (nc)","public"
"university of north carolina - greensboro","greensboro (nc)","public"
"university of north carolina - pembroke","pembroke (nc)","public"
"university of north carolina - wilmington","wilmington (nc)","public"
"university of north dakota","grand forks (nd)","public"
"university of north florida","jacksonville (fl)","public"
"university of northern colorado","greeley (co)","public"
"university of oklahoma health sciences center","oklahoma city (ok)","public"
"university of pennsylvania","philadelphia (pa)","private"
"university of pittsburgh","pittsburgh (pa)","public"
"university of portland","portland (or)","private"
"university of rhode island","kingston (ri)","public"
"university of rochester","rochester (ny)","private"
"university of saint francis","fort wayne (in)","private"
"university of san diego","san diego (ca)","private"
"university of san francisco","san francisco (ca)","private"
"university of scranton","scranton (pa)","private"
"university of south alabama","mobile (al)","public"
"university of south carolina-columbia","columbia (sc)","public"
"university of south dakota","vermillion (sd)","public"
"university of south florida","tampa (fl)","public"
"university of southern indiana","evansville (in)","public"
"university of southern maine","portland (me)","public"
"university of southern mississippi","hattiesburg (ms)","public"
"university of tampa","tampa (fl)","private"
"university of tennessee health science center the","memphis (tn)","public"
"university of tennessee-chattanooga","chattanooga (tn)","public"
"university of tennessee-knoxville","knoxville (tn)","public"
"university of tennessee-martin","martin (tn)","public"
"university of texas - arlington","arlington (tx)","public"
"university of texas - austin","austin (tx)","public"
"university of texas - el paso","el paso (tx)","public"
"university of texas - pan american","edinburg (tx)","public"
"university of texas - tyler","tyler (tx)","public"
"university of texas health science center - houston","houston (tx)","public"
"university of texas health science center - san antonio","san antonio (tx)","public"
"university of texas medical branch","galveston (tx)","public"
"university of the incarnate word","san antonio (tx)","private"
"university of utah","salt lake city (ut)","public"
"university of vermont","burlington (vt)","public"
"university of virginia","charlottesville (va)","public"
"university of washington","seattle (wa)","public"
"university of washington - bothell","bothell (wa)","public"
"university of washington - tacoma","tacoma (wa)","public"
"university of west florida","pensacola (fl)","public"
"university of wisconsin - eau claire","eau claire (wi)","public"
"university of wisconsin - green bay","green bay (wi)","public"
"university of wisconsin - madison","madison (wi)","public"
"university of wisconsin - milwaukee","milwaukee (wi)","public"
"university of wisconsin - oshkosh","oshkosh (wi)","public"
"university of wyoming","laramie (wy)","public"
"ursuline college","pepper pike (oh)","private"
"valdosta state university","valdosta (ga)","public"
"valparaiso university","valparaiso (in)","private"
"vanderbilt university","nashville (tn)","private"
"villanova university","villanova (pa)","private"
"virginia commonwealth university","richmond (va)","public"
"viterbo university","la crosse (wi)","private"
"wagner college","staten island (ny)","private"
"walla walla college","college place (wa)","private"
"washburn university","topeka (ks)","public"
"washington state university","pullman (wa)","public"
"wayne state university","detroit (mi)","public"
"webster university","saint louis (mo)","private"
"wesley college","dover (de)","private"
"west chester university","west chester (pa)","public"
"west texas a&amp;m university","canyon (tx)","public"
"west virginia university","morgantown (wv)","public"
"western carolina university","cullowhee (nc)","public"
"western connecticut state university","danbury (ct)","public"
"western kentucky university","bowling green (ky)","public"
"western michigan university","kalamazoo (mi)","public"
"western university of health sciences","pomona (ca)","private"
"westminster college","salt lake city (ut)","private"
"wheeling jesuit university","wheeling (wv)","private"
"wichita state university","wichita (ks)","public"
"widener university","chester (pa)","private"
"wilkes university","wilkes-barre (pa)","private"
"william paterson university","wayne (nj)","public"
"wilmington college","new castle (de)","private"
"winona state university","winona (mn)","public"
"worcester state college","worcester (ma)","public"
"wright state university","dayton (oh)","public"
"xavier university","cincinnati (oh)","private"
"yale university","new haven (ct)","private"
"youngstown state university","youngstown (oh)","public"
