"&nbsp;","latin","fran�ais","italien","anglais"
"{308/324 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. est)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;}","{licinius i (gaius valerius licinianus). aug.|�&nbsp;&nbsp;&nbsp; constantia �pouse}","{licinius i p�re|�&nbsp;&nbsp;&nbsp; constance}","licinio i p�re","licinius i"
"{317/324&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. est)}","licinius ii (flavius valerius licinianus). c. 317/324","licinius ii fils","licinio ii fils","licinius ii"
"161/169&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{lucius verus (aelius aur�lius commodus)|�&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; lucilla. aug. 164/183 �pouse}","{lucien verus|�&nbsp;&nbsp; lucille}","lucio vero","lucius verus"
"260/262 (usurp. co-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; emp. emp. orient)","macrianus i (titus fulvius junius) p�re aug.","macrien i p�re","macriano i p�re","macrianus i"
"260/262 (usurp. co-emp. orient)","macrianus ii (titus fulvius junius) fils","macrien ii fils","macriano ii fils","macrianus ii"
"217/218","macrinus (marcus oppeblius). aug.","macrin","macrino","macrinus"
"{350/353&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(usurp. gaulle)}","magnentius (flavius magnus). aug","magnence","magnenzio","magnentius"
"{383/388|(usurp. ouest gaulle espagne g. bretagne)}","magnus maximus (flavius magnus clemens). aug.","maxime le grand","magno massimo","magnus maximus"
"457/461","majorianus (flavius julius valerius). aug. beau fr�re d�honorin","majorien","maggioriano","majorian"
"450/457","{marcianus (flavius valerius) aug. 457/467|�&nbsp;&nbsp;&nbsp; pulcheria �pouse}","{marcien|�&nbsp;&nbsp; pulch�rie}","marciano","marcian"
"407 (usurp. g.bretagne)","marcus","marc","marco","marcus"
"161/180&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","marcus aur�lius (antoninus verus). c&nbsp;: 139/161. aug 161/180","marc-aur�le","marc-aurelio","marcus aur�lius"
"475/476","marcus basilicus","marcus basilicus","marco basilico","marcus basilicus"
"269 (usurp. germanie)","marius (marcus aurelius)","marius","mario","marius"
"323/324 (ursurp)","martinianus","martinien","martiniano","martinianus"
"306/312&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{maxentius (marcus aurelius valerius). c&nbsp;: 306/307. aug. 307/312|�&nbsp;&nbsp;&nbsp; romulus c&nbsp;: 309 fils}","{maxence|�&nbsp;&nbsp;&nbsp; romulus}","massenzio","maxentius"
"{286/305 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. ouest)}","{maximianus erculus (marcus aurelius valerius)|c&nbsp;: 285/286 aug 286/305 307/308 et 310}","maximien &nbsp;l�hercule&nbsp;","massimiano �&nbsp;ercule&nbsp;�","maximian �&nbsp;erculus&nbsp;�"
"235/238","{maximinus i (caius julius verus). aug.|�&nbsp;&nbsp;&nbsp; paolina �pouse}","{maximin i le thrace|�&nbsp;&nbsp;&nbsp; pauline}","{massimino i|&nbsp;}","{maximinus i|&nbsp;}"
"{305/313&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. est)}","maximinus ii da�a (gaius galerius valerius). c&nbsp;: 305/310. aug. 310/313","maximin ii le dace","{massimino ii|�&nbsp;daza&nbsp;�}","{maximinus ii|�&nbsp;dacia&nbsp;�}"
"409/411 (usurp. espagne)","maximus","maxime","massimo","maximus"
"236/238","maximus caesar (caius julius verus) fils de maximinus","maxime","massimo","maximus"
"{350|(usurp. ouest)}","nepotianus (constantinus flavius popilius). aug","n�potien","nepoziano","nepotian"
"54/68&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","nero (claudius caesar drusus germanicus augustus). c: 50/54 aug. 54/68)","n�ron","nerone","nero"
"96/98&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","nerva (marcus cocceius). aug.","nerva","nerva","nerva"
"283/284","numerianus (marcus aurelius). c&nbsp;: 282/283 aug. 283/284 fils de carus","numerien","numeriano","numerian"
"{261/267|(co-r�gent syrie)}","odenathus (septimius)","odenath","odenatto","odenathus"
"472","olybrius (anicius)","olybrius","olibrio","olybrius"
"69","otho (marcus salvius)","othon","ottone","otho"
"248 (usurp. hongrie)","pacatianus","pacatien","pacationo","pacatian"
"193","pertinax (publius halvius)","pertinax","pertinace","pertinax"
"193/194 (usurp)","pescennius niger (gaius). aug.","pescennius le noir","pescennio nigro","pescennius niger"
"455","petronius maximus (anicius)","petronie maxime","petronio massimo","petronius maximus"
"{244/249&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;}","{philippus i (marcus julius verus) aug.|�&nbsp;&nbsp;&nbsp;&nbsp; otacilia (marcia severa) �pouse aug 224/249}","{philippe i l�arabe|�&nbsp;&nbsp; otaccilie}","{filippo i|p�re}","{philip i|�&nbsp;the arab&nbsp;�}"
"{244/249|(co-emp)}","{philippus ii (marcus julius severus)|c: 244/247 aug 247/249}","philippe ii","{filippo ii|fils}","philip ii"
"261 (usurp. gr�ce)","pison","pison","pison","pison"
"{260/269&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(usurp. gaulle espagne g. bretagne)}","postumus (marcus cassianius latinius). aug.","postume","postumo","postumus"
"409/416 (usurp.)","priscus attalus. aug&nbsp;: 409/410 et 414/416","priscus attale","prisco attalo","priscus allalus"
"250 (usurp. syrie)","priscus fr�re de philippe i","priscus","prisco","priscus"
"276/282&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","probus (marcus aurelius) aug.","probus","probo","probus"
"365/366 (usurp emp. est)","procopius","procope","procopio","procopius"
"280-281 (usurp. gaulle)","proculus (titus illius)","procule","proculo","proculus"
"238","pupienus (marcus clodius maximus)","pupien","pupino","pupienus"
"{260/262|(usurp. orient)}","quietus (titus fulvius junius) fils de macren i. aug.","quietus","quieto","quietus"
"270&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","quintillus (marcus aurelius claudius). aug.","quintille","quintello","quintillus"
"260 (usurp. hongrie)","regalianus","regalien","regaliano","regalianus"
"475/476","romulus augustule (flavius)","romulus augustule","romolo augustulo","romulus augustulus"
"258/260 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","saloninus (publius licinius cornelius valerianus). c: 258/260 aug 260","salonin","salonino","saloninus"
"281 (usurp. syrie)","saturninus (caius julius)","saturnin","saturnino","saturninus"
"{193/211&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;}","{septimius severus (lucius) aug 193/211|�&nbsp;&nbsp;&nbsp; julia domina �pouse. aug. 193/197}","{septime s�v�re|�&nbsp;&nbsp;&nbsp; julie domina}","settimio severo","septimius severus"
"222/235&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{severus alexander (marcus aurelius).c&nbsp;: 221/222. aug. 222/235|�&nbsp;&nbsp;&nbsp; orbiana|�&nbsp;&nbsp;&nbsp; julia mamaea (julia avita). m�re aug. 218/222}","{alexandre s�v�re|�&nbsp;&nbsp;&nbsp; orbiane|�&nbsp;&nbsp;&nbsp; julie mamaea}","{severo|alexandro}","severus alexander"
"{306/307&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. ouest)}","severus ii (flavius valerius).&nbsp; c&nbsp;: 305/306 aug.","severe ii","severo ii","severus ii"
"461/465","severus iii (libius)","s�v�re iii (libius)","severo iii","severus iii"
"248 (usurp)","silbannacus","silbannacus","silbannacos","silbannacus"
"275/276&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","tacitus (marcus claudius). aug.","tacite","tacito","tacitus"
"{271/274&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(usurp. gaulle)}","tetricus i (gaius pius esuvius). aug.","t�tricus i p�re","tetrico i p�re","tetricus i"
"{271/274&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(usurp. co-emp gaulle)}","tetricus ii (gaius pius esuvius) c: 273/274 aug. 274","t�tricus ii fils","tetrico ii fils","tetricus ii"
"408/450&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","theodosius ii (flavius). aug. 402/450","th�odose ii","theodosio ii","treod�sio ii"
"{379/395 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(co-emp. emp. est)}","{th�odosius magnus i (flavius) aug.|�&nbsp;&nbsp;&nbsp; a�lia flaccilla �pouse}","{th�odose i le grand|�&nbsp;&nbsp;&nbsp;&nbsp; a�lia flaccila}","{teodosio i|magno}","{theodosius i|�&nbsp;the great&nbsp;�}"
"14/37&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{tiberius (claudius nero). aug.|�&nbsp;&nbsp;&nbsp; drusus le jeune (julius caesar) fils tribun. n.d: 14 av/23 ap.|�&nbsp;&nbsp;&nbsp; nero claudius drusus (drusus l�ain�) n.d.&nbsp;: 38 av / 9 ap. fr�re|&nbsp;&nbsp;&nbsp;&nbsp; (surnomn� germanicus)}","{tib�re|�&nbsp;&nbsp;&nbsp; drusus le jeune|�&nbsp;&nbsp;&nbsp; n�ron claude (drusus l�ain�)}","tiberio","{tiberius|&nbsp;}"
"79/81","{titus (flavius vespasianus). c&nbsp;: 69/79. aug 79/81|�&nbsp;&nbsp;&nbsp; julia fille}","{titus|�&nbsp; julie}","tito","titus"
"235 (usurp. orient)","titus (quartinus)","titus","tito","titus"
"249/251","{traianus (decius gaius messius quintus). aug.|�&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; etruscilla (herennia cupressenia) �pouse aug 249/253}","{trajan le dece&nbsp;|�&nbsp;&nbsp;&nbsp; etruscille}","traiano �decio�","trajan decius"
"98/117&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{trajanus (marcus ulpius). c&nbsp;: 97. aug 98/117|�&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; plotina �pouse|�&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; marciana s�ur|�&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; matidia ni�ce}","{trajan|�&nbsp;&nbsp;&nbsp;&nbsp; plotine|�&nbsp;&nbsp;&nbsp;&nbsp; marciane|�&nbsp;&nbsp;&nbsp;&nbsp; matidie}","{&nbsp;|traiano}","{&nbsp;|trajan}"
"251/253&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","trebonianus gallus (gaius vibius afinius vendumnianus volusiamus)","tr�bonien galle","treboniano gallo","trebonanius gallus"
"253/254 (usurp.)","uranus antoninus","uranus antonin","uranio antonio","uranus antonius"
"{270/272|(usurp. syrie)}","{vabalathus (lucius julius aurelius septimius athenodorus)|aug. 272}","vaballath","vabalato","vabalathus"
"308/316 (ursurp)","valens","valens","valente","valens"
"{364/378 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(co-emp. emp. est)}","valens (flavius julius). aug. fils de valentinien i","valens","valente","valens"
"261 (usurp. gr�ce)","valens th�ssalonicus","valens le th�ssalonique","valens le th�ssalonico","valens le thessalonic"
"364/375 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","valentinianus i (flavius). aug","valentinien i","valentiniano i","valentinian i"
"{375/392 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(co-emp. emp. ouest)}","valentinianus ii (flavius). aug.","valentinien ii","valentiniano ii","valentinian ii"
"425/455","{valentinianus iii (flavius placidus). c&nbsp;: 424/425. aug&nbsp;: 425/455|�&nbsp;&nbsp;&nbsp; eudoxia (licinia) �pouse|�&nbsp;&nbsp;&nbsp; honoria soeur}","{valentinien iii|�&nbsp;&nbsp;&nbsp; eudoxie|�&nbsp;&nbsp;&nbsp; honorine}","valentiniano","valentinian iii"
"253/260&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{valerianus i (publius licinius) aug.|�&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; mariniana �pouse}","{valerien i|�&nbsp;&nbsp;&nbsp; mariniane}","valeriano i p�re","valerian i"
"256/258&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{valerianus ii (publius licinius cornelius).|c: 256/258}","val�rien ii","valeriano ii fils","valerian ii"
"69/79&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{vespasianus (titus flavius). aug.|�&nbsp;&nbsp; domitilla �pouse|�&nbsp;&nbsp; domitilla fille}","{vespasien|�&nbsp;&nbsp;&nbsp; domitille|�&nbsp;&nbsp;&nbsp; domitille}","vespasiano","vespasian"
"{350/356|(usurp. gaulle)}","vetranius. aug","v�tranion","vetranione","vetranius"
"{269/271 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(usurp. gaulle)}","victorinus (marcus piauvonius). aug.","victorin","vittorino","victorinus"
"69","vitellius (aulus)","vittellius","vittelio","vitellius"
"{251/253&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(co-emp)}","{volusianus (gaius vibius alinius gallus vendunnianus)|c&nbsp;: 251 aug 251/253}","volusien","volusiano","volusian"
"{474/476|477/491}","{zeno (tarasicodissa). aug. 474/491|�&nbsp;&nbsp;&nbsp; ariana}","{z�non|�&nbsp;&nbsp; ariane}","zenone","zeno"
"{267/272|(usurp. syrie)}","zenobia (septimia). aug. 272","z�nobie","zenobia","zenobia"
