"nom(s) scientifique(s)","tropical","non tropical","commentaires"
"allocasuarina fraseriana","s/o","x","s/o"
"alsodeia paniculata","x","s/o","s/o"
"alstonia boonei","x","s/o","s/o"
"alstonia congensis","x","s/o","s/o"
"alstonia costulata","x","s/o","s/o"
"alstonia polyphylla","x","s/o","s/o"
"&#167; amanoacaribaea","x","s/o","s/o"
"amapa guianensis","x","s/o","s/o"
"amburana cearensis","x","s/o","s/o"
"amburana claudii","x","s/o","s/o"
"amerimnon latifolium","x","s/o","s/o"
"amerimnon pinnatum","x","s/o","s/o"
"amphimas pterocarpoides","x","s/o","s/o"
"anadenanthera colubrina","s/o","x","s/o"
"{anadenanthera colubrina|var.|cebil}","s/o","x","s/o"
"anadenanthera macrocarpa","s/o","x","s/o"
"andira amazonum","x","s/o","s/o"
"andira bracteosa","x","s/o","s/o"
"androstachys johnsonii","x","s/o","s/o"
"{aningueria|spp.}","x","s/o","s/o"
"{anisoptera|spp.}","x","s/o","s/o"
"anopyxis klaineana","x","s/o","s/o"
"anthonotha fragrans","x","s/o","s/o"
"antiaris africana","x","s/o","s/o"
"apeiba aspera","x","s/o","s/o"
"aphanocalyx heitzii","x","s/o","s/o"
"apuleia leiocarpa","s/o","x","s/o"
"araucaria heterophylla","s/o","x","s/o"
"aristoclesia esculenta","x","s/o","s/o"
"aspalathus ebenus","x","s/o","s/o"
"aspidosperma curranii","x","s/o","s/o"
"aspidosperma excelsum","x","s/o","s/o"
"aspidosperma peroba","s/o","x","s/o"
"aspidosperma polyneuron","s/o","x","s/o"
"aspidosperma quebracho","s/o","x","s/o"
"aspidosperma sandwithianum","x","s/o","s/o"
"aspidosperma tomentosum","s/o","x","s/o"
"astronium fraxinifolium","s/o","x","s/o"
"astronium gracile","s/o","x","s/o"
"astronium graveolens","x","s/o","s/o"
"astronium lecointei","x","s/o","s/o"
"astronium macrocalyx","x","s/o","s/o"
"atalaya hemiglauca","s/o","x","s/o"
"aucoumea klaineana","x","s/o","s/o"
"austrocedrus chilensis","s/o","x","s/o"
"autranella congolensis","x","s/o","s/o"
"aydendron cannella","x","s/o","s/o"
"bagassa guianensis","x","s/o","s/o"
"bagassa tiliaefolia","x","s/o","s/o"
"baikiaea plurijuga","x","s/o","s/o"
"baillonella heckelii","x","s/o","s/o"
"baillonella toxisperma","x","s/o","s/o"
"balfourodendron riedelianum","s/o","x","s/o"
"banksia grandis","s/o","x","s/o"
"banksia seminuda","s/o","x","s/o"
"bassia djave","x","s/o","s/o"
"belis lanceolata","s/o","x","s/o"
"berchemia zeyheri","s/o","x","s/o"
"berlinia acuminata","x","s/o","s/o"
"berlinia confusa","x","s/o","s/o"
"berlinia ledermannii","x","s/o","s/o"
"bertholletia excelsa","x","s/o","s/o"
"betchea australiensis","x","s/o","s/o"
"bignonia heptaphylla","s/o","x","s/o"
"bignonia longissima","x","s/o","s/o"
"bignonia serratifolia","s/o","x","s/o"
"bombacopsis quinata","x","s/o","s/o"
"bombax aquaticum","s/o","x","s/o"
"bombax buonopozense","x","s/o","s/o"
"bombax macrocarpum","s/o","x","s/o"
"bombax pyramidale","s/o","x","s/o"
"bombax quinatum","x","s/o","s/o"
"bontia mitchellii","s/o","x","s/o"
"borassus flabellifer","s/o","x","s/o"
"bowdichia guianensis","x","s/o","s/o"
"bowdichia nitida","x","s/o","s/o"
"bowdichia virgilioides","x","s/o","s/o"
"brachylaena hutchinsii","x","s/o","s/o"
"brachystegia cynometroides","s/o","x","s/o"
"brachystegia leonensis","x","s/o","s/o"
"brasilettia blasiana","s/o","x","s/o"
"breonadia microcephala","s/o","x","s/o"
"brosimum acutifolium","x","s/o","s/o"
"brosimum alicastrum","x","s/o","s/o"
"brosimum aubletii","x","s/o","s/o"
"brosimum guianense","x","s/o","s/o"
"brosimum paraense","x","s/o","s/o"
"brosimum rubescens","x","s/o","s/o"
"brosimum utile","x","s/o","s/o"
"brya ebenus","x","s/o","s/o"
"bucida buceras","s/o","x","s/o"
"bursera graveolens","x","s/o","s/o"
"bursera simaruba","s/o","x","s/o"
"&#167; byrsonimamartinicensis","x","s/o","s/o"
"&#167; byrsonimatrinitensis","x","s/o","s/o"
"cadellia pentastylis","s/o","x","s/o"
"caesalpinia blasiana","s/o","x","s/o"
"caesalpinia echinata","x","s/o","s/o"
"caesalpinia ferrea","s/o","x","s/o"
"caesalpinia platyloba","s/o","x","s/o"
"caesalpinia sclerocarpa","s/o","x","s/o"
"caldcluvia australiensis","x","s/o","s/o"
"callitris glauca","s/o","x","s/o"
"callitris glaucophylla","s/o","x","s/o"
"callitris huegelii","s/o","x","s/o"
"callitris rhomboidea","s/o","x","s/o"
"calocarpum mammosum","s/o","x","s/o"
"calophyllum brasiliense","x","s/o","s/o"
"calophyllum inophyllum","s/o","x","s/o"
"calophyllum neo-ebudicum","x","s/o","s/o"
"calophyllum vitiense","x","s/o","s/o"
"calycophyllum candidissimum","x","s/o","s/o"
"calycophyllum multiflorum","s/o","x","s/o"
"calycophyllum spruceanum","x","s/o","s/o"
"campnosperma panamense","x","s/o","s/o"
"campnosperma panamensis","x","s/o","s/o"
"&#167; canangacaribaea","x","s/o","s/o"
"canarium schweinfurthii","x","s/o","s/o"
"canarium vanikoroense","x","s/o","s/o"
"canarium vitiense","s/o","x","s/o"
"carapa guianensis","x","s/o","s/o"
"carapa latifolia","x","s/o","s/o"
"carapa macrocarpa","x","s/o","s/o"
"carapa nicaraguensis","x","s/o","s/o"
"carapa procera","x","s/o","s/o"
"carapa slateri","x","s/o","s/o"
"carapa surinamensis","x","s/o","s/o"
"carapa touloucouna","x","s/o","s/o"
"cardwellia sublimis","x","s/o","s/o"
"cariniana clavata","x","s/o","s/o"
"cariniana exigua","x","s/o","s/o"
"cariniana pyriformis","x","s/o","s/o"
"carolinea macrocarpa","s/o","x","s/o"
"caryocar villosum","x","s/o","s/o"
"cassia parahyba","s/o","x","s/o"
"cassia siamea","s/o","x","s/o"
"castanospermum australe","s/o","x","s/o"
"castilla costaricana","s/o","x","s/o"
"castilla elastica","s/o","x","s/o"
"castilla lactiflua","s/o","x","s/o"
"castilla nicoyensis","s/o","x","s/o"
"castilla panamensis","s/o","x","s/o"
"casuarina cambagei","s/o","x","s/o"
"casuarina cristata","s/o","x","s/o"
"casuarina decussata","s/o","x","s/o"
"casuarina fraseriana","s/o","x","s/o"
"casuarina lepidophloia","s/o","x","s/o"
"casuarina pauper","s/o","x","s/o"
"catalpa longissima","x","s/o","s/o"
"catostemma fragrans","x","s/o","s/o"
"cavanillea philippensis","x","s/o","s/o"
"&#167; cecropiaantillarum","x","s/o","s/o"
"cecropia peltata","s/o","x","s/o"
"&#167; cecropiaschreberiana","x","s/o","s/o"
"cedrela fissilis","s/o","x","s/o"
"cedrela glaziovii","s/o","x","cites"
"cedrela mexicana","s/o","x","cites"
"cedrela odorata","s/o","x","cites"
"cedrela sinensis","s/o","x","s/o"
"cedrela toona","s/o","x","s/o"
"cedrela velutina","s/o","x","s/o"
"cedrelinga catenaeformis","x","s/o","s/o"
"cedrelinga cateniformis","x","s/o","s/o"
"cedrus brevifolia","s/o","x","s/o"
"cedrus libanensis","s/o","x","s/o"
"cedrus libani","s/o","x","s/o"
"cedrus libanitica subsp. stenocoma","s/o","x","s/o"
"cedrus libanotica","s/o","x","s/o"
"ceiba pentandra","s/o","x","s/o"
"celtis franksiae","s/o","x","s/o"
"celtis guineensis","s/o","x","s/o"
"celtis mildbraedii","s/o","x","s/o"
"celtis orientalis","s/o","x","s/o"
"celtis soyauxii","s/o","x","s/o"
"celtis usambarensis","s/o","x","s/o"
"celtis zenkeri","x","s/o","s/o"
"{centrolobium|spp.}","x","s/o","s/o"
"ceratopetalum succirubrum","x","s/o","s/o"
"chaemacyparis thyoides","s/o","x","s/o"
"chimarrhis hookeri","x","s/o","s/o"
"chlorocardium rodiei","x","s/o","s/o"
"chlorocardium venenosum","x","s/o","s/o"
"chloroleucon tortum","x","s/o","s/o"
"chlorophora excelsa","x","s/o","s/o"
"chlorophora regia","x","s/o","s/o"
"chlorophora tinctoria","s/o","x","s/o"
"chloroxylon swietenia","x","s/o","s/o"
"chuncoa amazonia","x","s/o","s/o"
"cinnamomum camphora","s/o","x","s/o"
"cinnamomum oliveri","s/o","x","s/o"
"cinnamomum virens","s/o","x","s/o"
"cistanthera papaverifera","x","s/o","s/o"
"citrus acida","s/o","x","s/o"
"citrus amara","s/o","x","s/o"
"citrus aurantiifolia","s/o","x","s/o"
"citrus aurantium","s/o","x","s/o"
"citrus bigarradia","s/o","x","s/o"
"citrus lima","s/o","x","s/o"
"citrus vulgaris","s/o","x","s/o"
"clathrotropis brachypetala","x","s/o","s/o"
"clathrotropis macrocarpa","x","s/o","s/o"
"cocos nucifera","s/o","x","s/o"
"colophospermum mopane","s/o","x","s/o"
"combretodendron macrocarpum","x","s/o","s/o"
"combretum imberbe","s/o","x","s/o"
"combretum macrocarpum","x","s/o","s/o"
"copaiba arnoldiana","x","s/o","s/o"
"copaiba hymenaeifolia","s/o","x","s/o"
"copaifera arnoldiana","x","s/o","s/o"
"copaifera aromatica","x","s/o","s/o"
"copaifera chodatiana","s/o","x","s/o"
"copaifera demeusei","x","s/o","s/o"
"copaifera ehie","x","s/o","s/o"
"copaifera hymenaeifolia","s/o","x","s/o"
"copaifera langsdorffii","s/o","x","s/o"
"copaifera officinalis","x","s/o","s/o"
"copaifera palustris","x","s/o","s/o"
"copaifera salikounda","x","s/o","s/o"
"copaifera tessmannii","x","s/o","s/o"
"&#167; cordiaabyssinica","s/o","x","s/o"
"&#167; cordiaafricana","s/o","x","s/o"
"&#167; cordiaholstii","s/o","x","s/o"
"cordyline terminalis","x","s/o","s/o"
"cornus controversa","s/o","x","s/o"
"corymbia calophylla","s/o","x","s/o"
"corymbia maculata","s/o","x","s/o"
"{corynanthe|spp.}","x","s/o","s/o"
"cosmocalyx spectabilis","s/o","x","s/o"
"couma macrocarpa","x","s/o","s/o"
"coumarouna micrantha","x","s/o","s/o"
"coumarouna panamensis","x","s/o","cites"
"coumarouna punctata","x","s/o","s/o"
"coumarouna trifoliolata","x","s/o","s/o"
"{couratari|spp.}","x","s/o","s/o"
"cryptocarya camphorata","s/o","x","s/o"
"cryptocarya glaucescens","s/o","x","s/o"
"cryptomeria fortunei","s/o","x","s/o"
"cryptomeria japonica","s/o","x","s/o"
"cunninghamia lanceolata","s/o","x","s/o"
"cunninghamia konishii","s/o","x","s/o"
"cupressus japonica","s/o","x","s/o"
"cyanothyrsus ogea","x","s/o","s/o"
"cybistax donnell-smithii","s/o","x","s/o"
"cylicodiscus gabunensis","x","s/o","s/o"
"cymbosepalum baronii","s/o","x","s/o"
"cynometra ananta","x","s/o","s/o"
"dacridium nausoriense","x","s/o","s/o"
"dacrydium cupressinum","s/o","x","s/o"
"dacrydium franklinii","s/o","x","s/o"
"dacrydium nidulum","x","s/o","s/o"
"&#167; dacryodesexcelsa","x","s/o","s/o"
"&#167; dalbergialatifolia","s/o","x","s/o"
"dammara australis","s/o","x","s/o"
"daniellia ogea","x","s/o","s/o"
"daniellia thurifera","x","s/o","s/o"
"decussocarpus vitiensis","x","s/o","s/o"
"dendrocalamus asper","s/o","x","s/o"
"detarium heudelotianum","x","s/o","s/o"
"detarium senegalense","x","s/o","s/o"
"dialium guianense","x","s/o","s/o"
"{dialyanthera|spp.}","x","s/o","sous r&#233;vision"
"dibrachion guianense","x","s/o","s/o"
"dicorynia guianensis","x","s/o","s/o"
"dicorynia paraensis","x","s/o","s/o"
"didelotia africana","x","s/o","s/o"
"didymopanax morototoni","s/o","x","s/o"
"dimorpha falcata","x","s/o","s/o"
"dimorphandra excelsa","x","s/o","s/o"
"dimorphandra gonggrijpii","x","s/o","s/o"
"dimorphandra mora","x","s/o","s/o"
"dinizia excelsa","x","s/o","s/o"
"diospyros celebica","x","s/o","s/o"
"diospyros crassiflora","x","s/o","s/o"
"diospyros discolor","x","s/o","s/o"
"diospyros ebenum","s/o","x","s/o"
"diospyros embryopteris","s/o","x","s/o"
"diospyros ferrea","x","s/o","sous r&#233;vision"
"diospyros macassar","x","s/o","s/o"
"diospyros mespiliformis","s/o","x","s/o"
"diospyros mun","x","s/o","s/o"
"diospyros peregrina","s/o","x","s/o"
"diospyros perrieri","x","s/o","s/o"
"diospyros philippensis","x","s/o","s/o"
"diospyros rumphii","x","s/o","s/o"
"diospyros sabiensis","s/o","x","s/o"
"diospyros senegalensis","s/o","x","s/o"
"diospyros utilis","x","s/o","s/o"
"diplotropis guianensis","x","s/o","s/o"
"diplotropis purpurea","x","s/o","s/o"
"{dipterocarpus|spp.}","x","s/o","sous r&#233;vision"
"dipteryx micrantha","x","s/o","s/o"
"dipteryx odorata","x","s/o","s/o"
"dipteryx oleifera","x","s/o","cites"
"dipteryx panamensis","x","s/o","cites"
"dipteryx punctata","x","s/o","s/o"
"dipteryx trifoliolata","x","s/o","s/o"
"distemonanthus benthamianus","x","s/o","s/o"
"dodonaea angustifolia","s/o","x","s/o"
"{dodonaea viscosa|var.|angustifolia}","s/o","x","s/o"
"dracaena terminalis","x","s/o","s/o"
"dracontomelon dao","s/o","x","s/o"
"dracontomelon edule","s/o","x","s/o"
"dracontomelon mangiferum","s/o","x","s/o"
"dracontomelon puberulum","s/o","x","s/o"
"dracontomelon sylvestre","s/o","x","s/o"
"drimys winteri","s/o","x","s/o"
"{dryobalanops|spp.}","x","s/o","sous r&#233;vision"
"dumoria heckelii","x","s/o","s/o"
"{durio|spp.}","x","s/o","s/o"
"dyera costulata","x","s/o","s/o"
"dyera laxiflora","x","s/o","s/o"
"dyera lowii","x","s/o","s/o"
"dyera polyphylla","x","s/o","s/o"
"elaeis guineensis","s/o","x","s/o"
"{elaeis guineensis|var.|madagascariensis}","s/o","x","s/o"
"elaeis madagascariensis","s/o","x","s/o"
"elaeis melanococca","s/o","x","s/o"
"elaeodendron maculosum","s/o","x","s/o"
"elaphrium graveolens","x","s/o","s/o"
"elaphrium simaruba","s/o","x","s/o"
"elmerillia papuana","x","s/o","s/o"
"embuia","s/o","x","s/o"
"endiandra palmerstonii","s/o","x","s/o"
"endlicheria grandis","x","s/o","s/o"
"&#167; endlicheriasericea","x","s/o","s/o"
"endospermum macrophyllum","x","s/o","s/o"
"entandrophragma angolense","x","s/o","s/o"
"entandrophragma candollei","x","s/o","s/o"
"entandrophragma congoense","x","s/o","s/o"
"entandrophragma cylindricum","x","s/o","s/o"
"entandrophragma excelsum","x","s/o","s/o"
"entandrophragma utile","x","s/o","s/o"
"enterolobium cyclocarpum","x","s/o","s/o"
"enterolobium schomburgkii","x","s/o","s/o"
"eperua falcata","x","s/o","s/o"
"eremophila mitchellii","s/o","x","s/o"
"eribroma oblonga","x","s/o","s/o"
"erica arborea","s/o","x","s/o"
"erisma pulverulentum","x","s/o","s/o"
"erisma uncinatum","x","s/o","s/o"
"erythrina abyssinica","x","s/o","s/o"
"erythrina caffra","s/o","x","s/o"
"erythrina corallodendron","s/o","x","s/o"
"erythrina crista-galli","s/o","x","s/o"
"erythrina indica","s/o","x","s/o"
"erythrina piscipula","s/o","x","s/o"
"erythrina variegata","s/o","x","s/o"
"erythrina vespertilio","s/o","x","s/o"
"erythrophleum ivorense","x","s/o","s/o"
"erythrophleum suaveolens","x","s/o","s/o"
"erythroxylum areolatum","x","s/o","s/o"
"eschweilera laevifolia","x","s/o","s/o"
"eschweilera subglandulosa","x","s/o","s/o"
"eucalyptus andrewsii","s/o","x","s/o"
"eucalyptus astringens","s/o","x","s/o"
"eucalyptus bicostata","s/o","x","s/o"
"eucalyptus botryoides","s/o","x","s/o"
"eucalyptus calophylla","s/o","x","s/o"
"eucalyptus camaldulensis","s/o","x","s/o"
"eucalyptus clelandii","s/o","x","s/o"
"eucalyptus coolabah","s/o","x","s/o"
"eucalyptus deglupta","s/o","x","s/o"
"eucalyptus delegatensis","s/o","x","s/o"
"eucalyptus diversicolor","s/o","x","s/o"
"eucalyptus dumosa","s/o","x","s/o"
"eucalyptus dundasii","s/o","x","s/o"
"eucalyptus fibrosa","s/o","x","s/o"
"eucalyptus flocktoniae","s/o","x","s/o"
"eucalyptus gigantea","s/o","x","s/o"
"eucalyptus globulus","s/o","x","s/o"
"eucalyptus gomphocephala","s/o","x","s/o"
"eucalyptus grandis","s/o","x","s/o"
"eucalyptus guilfoylei","s/o","x","s/o"
"eucalyptus gunnii","s/o","x","s/o"
"eucalyptus intertexta","s/o","x","s/o"
"eucalyptus lesouefii","s/o","x","s/o"
"eucalyptus longicornis","s/o","x","s/o"
"eucalyptus longirostris","s/o","x","s/o"
"eucalyptus loxophleba","s/o","x","s/o"
"eucalyptus maculata","s/o","x","s/o"
"eucalyptus maidenii","s/o","x","s/o"
"eucalyptus marginata","s/o","x","s/o"
"eucalyptus melanoxylon","s/o","x","s/o"
"eucalyptus melliodora","s/o","x","s/o"
"eucalyptus microtheca","s/o","x","s/o"
"eucalyptus multiflora","s/o","x","s/o"
"eucalyptus nitens","s/o","x","s/o"
"eucalyptus nubila","s/o","x","s/o"
"eucalyptus obliqua","s/o","x","s/o"
"eucalyptus patens","s/o","x","s/o"
"eucalyptus pilularis","s/o","x","s/o"
"eucalyptus populifolia","s/o","x","s/o"
"eucalyptus populnea","s/o","x","s/o"
"eucalyptus pseudoglobulus","s/o","x","s/o"
"eucalyptus regnans","s/o","x","s/o"
"eucalyptus rostrata","s/o","x","s/o"
"eucalyptus rudis","s/o","x","s/o"
"eucalyptus saint-johnii","s/o","x","s/o"
"eucalyptus salicola","s/o","x","s/o"
"eucalyptus saligna","s/o","x","s/o"
"eucalyptus salmonophloia","s/o","x","s/o"
"eucalyptus salubris","s/o","x","s/o"
"eucalyptus transcontinentalis","s/o","x","s/o"
"eucalyptus urophylla","x","s/o","s/o"
"eucarya spicata","s/o","x","s/o"
"eucommia ulmoides","s/o","x","s/o"
"eucryphia cordifolia","s/o","x","s/o"
"euphorbia pinnata","x","s/o","s/o"
"euplassa pinnata","x","s/o","s/o"
"euxlophora paraensis","x","s/o","s/o"
"fagara heitzii","x","s/o","s/o"
"fagara macrophylla","x","s/o","s/o"
"fagraea gracilipes","x","s/o","s/o"
"fagus moesiaca","s/o","x","s/o"
"fagus orientalis","s/o","x","s/o"
"fagus pumilio","s/o","x","s/o"
"fagus sylvatica","s/o","x","s/o"
"&#167; farameaoccidentalis","x","s/o","s/o"
"feuilleea incurialis","s/o","x","s/o"
"feuilleea lebbeck","s/o","x","s/o"
"fitzroya cupressoides","s/o","x","s/o"
"flindersia bourjotiana","x","s/o","s/o"
"flindersia brayleyana","s/o","x","s/o"
"flindersia laevicarpa","x","s/o","s/o"
"flindersia maculosa","s/o","x","s/o"
"flindersia pimenteliana","x","s/o","s/o"
"flindersia schottiana","s/o","x","s/o"
"&#167; fothergillaguianensis","x","s/o","s/o"
"&#167; fothergillamirabilis","x","s/o","s/o"
"fusanus spicatus","s/o","x","s/o"
"gambeya lacourtiana","x","s/o","s/o"
"ganophyllum giganteum","x","s/o","s/o"
"garcinia myrtifolia","x","s/o","s/o"
"garretia anthotheca","x","s/o","s/o"
"geijera parviflora","s/o","x","s/o"
"geissospermum sericeum","x","s/o","s/o"
"genipa americana","x","s/o","s/o"
"gilbertiodendron dewevrei","x","s/o","s/o"
"gluta elegans","x","s/o","s/o"
"gluta papuana","x","s/o","s/o"
"gmelina arborea","s/o","x","s/o"
"gmelina vitiensis","x","s/o","s/o"
"{gonystylus|spp.}","x","s/o","sous r&#233;vision"
"gossweilerodendron balsamiferum","x","s/o","s/o"
"goupia glabra","x","s/o","s/o"
"goupia paraensis","x","s/o","s/o"
"granatum guianense","x","s/o","s/o"
"granatum nicaraguense","x","s/o","s/o"
"granatum surinamensis","x","s/o","s/o"
"grevillea robusta","s/o","x","s/o"
"grevillea striata","s/o","x","s/o"
"guaiacum bijugum","s/o","x","s/o"
"guaiacum guatemalense","s/o","x","s/o"
"guaiacum multijugum","s/o","x","s/o"
"guaiacum officinale","s/o","x","s/o"
"guaiacum sanctum","s/o","x","s/o"
"guaiacum sloanei","s/o","x","s/o"
"guaiacum verticale","s/o","x","s/o"
"guajacum officinale","s/o","x","s/o"
"guajacum sanctum","s/o","x","s/o"
"guarea cedrata","x","s/o","s/o"
"guarea mucronulata","x","s/o","s/o"
"{guarea|spp.}","x","s/o","sous r&#233;vision"
"guarea thompsonii","x","s/o","s/o"
"&#167; guatteriacaribaea","x","s/o","s/o"
"guazuma ulmifolia","s/o","x","s/o"
"guibourtia arnoldiana","x","s/o","s/o"
"guibourtia chodatiana","s/o","x","s/o"
"guibourtia demeusei","x","s/o","s/o"
"guibourtia ehie","x","s/o","s/o"
"guibourtia hymenaefolia","s/o","x","s/o"
"guibourtia tessmannii","x","s/o","s/o"
"guilandina echinata","s/o","x","s/o"
"haematoxylon campechianum","s/o","x","s/o"
"haematoxylum campechianum","s/o","x","s/o"
"hallea stipulosa","x","s/o","s/o"
"hampea appendiculata","x","s/o","s/o"
"hannoa klaineana","x","s/o","s/o"
"{heritiera|spp.}","x","s/o","sous r&#233;vision"
"heritiera utilis","x","s/o","s/o"
"heterodendrum oleifolium","s/o","x","s/o"
"heterodendrum oleifolium","s/o","x","s/o"
"hevea brasiliensis","s/o","x","s/o"
"hibiscus populneus","s/o","x","s/o"
"hieronyma alchorneoides","s/o","x","s/o"
"hieronyma chocoensis","s/o","x","s/o"
"&#167; hippomaneglandulosa","s/o","x","s/o"
"holoptelea grandis","x","s/o","s/o"
"hopea iriana","x","s/o","s/o"
"hopea papuana","x","s/o","s/o"
"humiria balsamifera","x","s/o","s/o"
"hura crepitans","x","s/o","s/o"
"hyeronima alchorneoides","s/o","x","s/o"
"hyeronima chocoensis","s/o","x","s/o"
"hyeronima laxiflora","x","s/o","s/o"
"hymenaea courbaril","x","s/o","s/o"
"hymenaea davisii","x","s/o","s/o"
"hymenaea oblongifolia","x","s/o","s/o"
"{hymenolobium|spp.}","x","s/o","s/o"
"ichthyomethia acuminata","x","s/o","s/o"
"ichthyomethia americana","x","s/o","s/o"
"ichthyomethia piscipula","s/o","x","s/o"
"{ichthyomethia piscipula|var.|acuminata}","x","s/o","s/o"
"inga dulcis","s/o","x","s/o"
"&#167; inga ingoides","x","s/o","s/o"
"inga pubescens","x","s/o","s/o"
"intsia bakeri","x","s/o","s/o"
"intsia bijuga","s/o","x","s/o"
"intsia palembanica","x","s/o","s/o"
"intsia quanzensis","s/o","x","s/o"
"intsia retusa","x","s/o","s/o"
"irina tomentosa","x","s/o","s/o"
"&#167; ixoraoccidentalis","x","s/o","s/o"
"jacaranda copaia","s/o","x","s/o"
"jacaranda mimosifolia","s/o","x","s/o"
"juglans columbiensis","s/o","x","s/o"
"juglans duclouxiana","s/o","x","s/o"
"juglans fallax","s/o","x","s/o"
"juglans honorei","s/o","x","s/o"
"juglans kamaonica","s/o","x","s/o"
"juglans neotropica","s/o","x","s/o"
"juglans nigra","s/o","x","s/o"
"juglans orientalis","s/o","x","s/o"
"juglans regia","s/o","x","s/o"
"juglans sinensis","s/o","x","s/o"
"julbernardia ogoouensis","x","s/o","s/o"
"julbernardia pellegriniana","x","s/o","s/o"
"julbernardia seretii","x","s/o","s/o"
"juniperus bermudiana","s/o","x","s/o"
"khaya anthotheca","x","s/o","s/o"
"khaya grandifoliola","x","s/o","s/o"
"khaya ivorensis","x","s/o","s/o"
"khaya nyasica","x","s/o","s/o"
"khaya senegalensis","x","s/o","s/o"
"koompassia malaccensis","x","s/o","s/o"
"koompassia excelsa","x","s/o","s/o"
"lagerstroemia indica","s/o","x","s/o"
"lannea welwitschii","x","s/o","s/o"
"laurelia philippiana","s/o","x","s/o"
"laurelia sempervirens","s/o","x","s/o"
"laurus aestivalis","s/o","x","s/o"
"laurus leucoxylon","s/o","x","s/o"
"laurus persea","s/o","x","s/o"
"laurus reticulata","s/o","x","s/o"
"lecythis couratari","x","s/o","s/o"
"lecythis davisii","x","s/o","s/o"
"lecythis laevifolia","x","s/o","s/o"
"lecythis subglandulosa","x","s/o","s/o"
"lecythis zabucaja","x","s/o","s/o"
"leucaena latisiliqua","s/o","x","s/o"
"leucochloron incuriale","s/o","x","s/o"
"libidibia sclerocarpa","s/o","x","s/o"
"libocedrus chilensis","s/o","x","s/o"
"licania benthamii","x","s/o","s/o"
"licania biglandulosa","x","s/o","s/o"
"licania costata","x","s/o","s/o"
"licania glabra","x","s/o","s/o"
"licania heteromorpha","x","s/o","s/o"
"licania macrophylla","x","s/o","s/o"
"licania prismatocarpa","x","s/o","s/o"
"licania sparsipilis","x","s/o","s/o"
"licania subcordata","x","s/o","s/o"
"&#167; licaniaternatensis","x","s/o","s/o"
"licaria cannella","x","s/o","s/o"
"lingoum santalinum","s/o","x","cites"
"limonia aurantiifolia","s/o","x","s/o"
